,Concept_ID,ba,uz
171,Schlange[Tier]::N,йылан,ilon
172,Wurm::N,селяүсен,qurt
173,Spinne::N,үрмәксе,o'rgimchak
174,Ameise::N,ҡырмыҫҡа,chumoli
175,Laus::N,бет,bit
176,Mücke::N,серәкәй,chivin
177,Fliege::N,себен,pashsha
178,Schmetterling::N,күбәләк,kapalak
179,Beere::N,еләк,meva
180,Apfel::N,алма,olma
181,Pilz::N,бәшмәк,qo'ziqorin
182,Zwiebel::N,һуган,piyoz
183,Saat::N,орлоҡ,äkin
184,Korn::N,иген,zarra
185,Heu::N,бесән,xashak
186,Schale::N,ҡабыҡ,po'choq
187,Grube::N,соҡор,co'ra
188,Falle::N,тоҙак,qopqon
189,Falle::N,ҡапҡан,qopqon
190,Schlinge::N,тоҙак,sirtmoq
191,Spur::N,әҫер,iz
192,Asche::N,көл,kul
193,Dreck::N,батҡаҡ,kir
194,Eisen::N,тимер,temir
195,Gold::N,алтын,tilla
196,Silber::N,көмөш,kumush
197,Kohle::N,күмер,ko'mir
198,Glas::N,быяла,oyna
199,Lehm::N,балсыҡ,loy
200,Sand::N,ҡом,qum
201,Mensch::N,кеше,odam
202,Mann::N,ир,ärkak
203,Frau::N,ҡатын,ayol
204,Kind::N,бала,bola
205,Kind::N,бала,kichkintoy
206,Junge::N,малай,bola
207,Mädchen::N,ҡыҙ,qiz
208,Mädchen::N,ҡыҙыҡай,qiz
209,Familie::N,ғаилә,oila
210,Großvater::N,олатай,buva
211,Großvater::N,олатай,katta ota
212,Großmutter::N,әбәй,buvi
213,Großmutter::N,әбәй,katta oyi
214,Eltern::N,ата-әсә,ota-ona
215,Vater::N,атай,ota
216,Mutter::N,әсә,ona
217,Sohn::N,ул,o'g'il
218,Tochter::N,ҡыҙ,qiz
219,Bruder::N,агай,og'a
220,Bruder::N,агай,uka
221,Schwester::N,алай,opa
222,Schwester::N,алай,singil
223,Schwester::N,һеңле,opa
224,Schwester::N,һеңле,singil
225,Onkel::N,ағай,amaki
226,Tante::N,апай,amma
227,Tante::N,апай,xola
228,Ehemann::N,ир,är
229,Ehefrau::N,ҡатын,rafiqa
230,Freude::N,шатлыҡ,ayish
231,Freude::N,ҡыуаныс,ayish
232,Gelächter::N,көлөү,kulgi
233,Glück::N,бәхет,saodat
234,Kummer::N,ҡайғы,g'am
235,Wunsch::N,теләк,orzu
236,Lust::N,әүәҫлек,rag'bat
237,Geist::N,аң,ruh
238,Geist::N,рух,ruh
239,Gedanke::N,уй,fikr
240,Gedanke::N,фекер,fikr
241,Gedächtnis::N,хәтер,äs
242,Verstand::N,аҡыл,aql
243,Sinn::N,мәғәня,ma'ni
244,Grund::N,сәбәп,sabab
245,Wahrheit::N,дөрөҫлөк,haq
246,Gespräch::N,әңгәмә,gap
247,Märchen::N,әкиәт,ärtak
248,Erzählung::N,хикәйә,rivoyat
249,Nachricht::N,хәбәр,xabar
250,Neuigkeit::N,яңылыҡ,yangilik
251,Name::N,исем,ot
252,Rätsel::N,йомаҡ,topishmoq
253,Rede::N,телмәр,nutq
254,Sprache::N,тел,til
255,Sprache::N,телмәр,til
256,Stimme::N,тауыш,ovoz
257,Wort::N,һүҙ,so'z
258,Zeichen::N,билдә,alomat
259,Ruf::N,саҡырыу,chaqiriq
260,Lärm::N,шаулау,taraq
261,Laut::N,тауыш,tovush
262,Ton::N,яңғырау,un
263,Lied::N,йыр,ashula
264,Ruhe::N,ял,tinchlik
265,Ruhe::N,тыныслыҡ,tinchlik
266,Leute::N,кешеләр,xaloyiq
267,Volk::N,халҡ,xalq
268,Arbeit::N,эш,ish
269,Gast::N,ҡунаҡ,mehmon
270,Geschenk::N,бүләк,hadya
271,Spiel::N,уйын,o'yin
272,Gesellschaft::N,йәмғиәт,jamiyat
273,Hilfe::N,ярҙам,yordam
274,Freund::N,дуҫ,do'st
275,Kamerad::N,иптәш,yo'ldosh
276,Angelegenheit::N,әш,daxl
277,Anzahl::N,һан,son
278,Art::N,төр,tur
279,Stück::N,киҫәк,parcha
280,Teil::N,өлөш,bo'lak
281,Hälfte::N,ярты,yarim
282,Kreis::N,түңәрәк,aylana
283,Kreuz::N,тәре,xoch
284,Linie::N,һыҙыҡ,liniya
285,Strich::N,һыҙат,chiziq
286,Abstand::N,ара,oralik
287,Entfernung::N,алыҫлыҡ,uzoqlik
288,Gegend::N,урын,yer
289,Platz::N,арауыҡ,oralig
290,Ort::N,ерҙәр,joy
291,Ort::N,урындар,joy
292,Ort::N,эш урыны,joy
293,Seite::N,яҡ,yon
294,Mitte::N,урталыҡ,o'rta
295,Gegenstand::N,нәмә,ashyo
296,Sache::N,нәмә,buyum
297,Sache::N,әйбер,buyum
298,Rand::N,сит,chek
299,Kante::N,ҡабырға,tig'
300,Kante::N,ян,tig'
301,Ecke::N,мөйөш,burchak
302,Spitze::N,ос,uch
303,Ende::N,аҙаҡ,oxir
304,Loch::N,тишек,teshik
305,Winkel::N,мөйөш,go'sha
306,Muster::N,биҙәк,nusha
307,Größe::N,ҙурлыҡ,kattalik
308,Länge::N,оҙонлоҡ,uzunlik
309,Höhe::N,бейеклек,yuksaklik
310,Gewicht::N,үлсәү,solmoq
311,Menge::N,һан,miqdor
312,Haufen::N,өйөм,uyum
313,Reihe::N,рәт,saf
314,Boot::N,кәмә,qayiq
315,Ruder::N,ишкәк,äshkak
316,Schlitten::N,сана,chana
317,Ski::N,саңгы,chang'i
318,Lagerfeuer::N,костер,gulxan
319,Last::N,ауырлыҡ,yuk
320,Gang::N,барыу,yurish
321,Schritt::N,аҙым,qadam
322,Norden::N,төньяҡ,shimol
323,Süden::N,көньяҡ,janub
324,Westen::N,көнбайыш,g'arb
325,Osten::N,көнсығыш,sharq
326,Holz::N,үағас,yog'och
327,Brett::N,таҡта,taxta
328,Platte::N,плита,tabaqa
329,Stütze::N,терәк,tayanchi
330,Stange::N,кәртә,qo'noq
331,Stock::N,таяҡ,tayoq
332,Stab::N,ҡолға,gavron
333,Rohr::N,торба,tarnov
334,Haus::N,өй,uy
335,Haus::N,йорт,uy
336,Heim::N,өй,makon
337,Ofen::N,мейес,pechka
338,Fußboden::N,енес,pol
339,Tisch::N,өҫтәл,mosa
340,Stuhl::N,ултырғыс,o'rindiq
341,Wiege::N,бишек,beshik
342,Bett::N,карауат,yotoq
343,Regal::N,кәштә,tokcha
344,Kiste::N,йәшинк,sandiq
345,Fenster::N,тәҙрә,deraza
346,Tür::N,ишек,äshik
347,Tor::N,ҡапҡа,darvoza
348,Zaun::N,ҡойма,panjara
349,Dach::N,түбә,tom
350,Dach::N,ҡыйыҡ,tom
351,Leiter::N,баҫҡыс,narvon
352,Besen::N,һепертке,supurgi
353,Spaten::N,көрәк,bel
354,Schaufel::N,көрәк,kurak
355,Gabel::N,сәнске,bilka
356,Löffel::N,ҡалаҡ,qoshiq
357,Messer::N,бысаҡ,pichoq
358,Nagel::N,сөй,mix
359,Netz::N,ау,to'r
360,Haken::N,ыргаҡ,ilgak
361,Griff::N,тотҡа,sop
362,Griff::N,тотҡа,tutqich
363,Schloss::N,йоҙаҡ,qulf
364,Bild::N,картина,rasm
365,Figur::N,һын,shakl
366,Puppe::N,ҡурсаҡ,ko'g'irchoq
367,Beutel::N,тоҡ,to'rva
368,Bündel::N,төргәк,bog'lam
369,Tasche::N,сумка,kissa
370,Eimer::N,биҙрә,chelak
371,Deckel::N,ҡапҡас,qopqoq
372,Geschirr::N,һауыт-һаба,idish
373,Sack::N,тоҡ,qop
374,Tasse::N,сынаяҡ,piyola
375,Topf::N,кәстрүл,tuvak
376,Kessel::N,ҡаҙан,qozon
377,Essen::N,ашау,tomoq
378,Nahrung::N,аҙыҡ,emak
379,Speise::N,аш,taom
380,Fleisch::N,ит,go'sht
381,Getreide::N,иген,g'alla
382,Getreide::N,ашлыҡ,g'alla
383,Brei::N,бутҡа,bo'tqa
384,Brot::N,икмәк,non
385,Scheibe::N,телем,disk
386,Fett::N,май,moy
387,Butter::N,май,yog'
388,Öl::N,май буяуы,moy
389,Salz::N,тоҙ,tuz
390,Suppe::N,һурпа,sho'rva
391,Honig::N,бал,asal
392,Milch::N,һөт,sut
393,Tee::N,сәй,choy
394,Leder::N,күн,charm
395,Wolle::N,йөн,jun
396,Stoff::N,туҡыма,mato
397,Nadel::N,энә,igna
398,Faden::N,еп,ip
399,Knopf::N,төймә,tugma
400,Knoten::N,төйөн,tugun
401,Farbe::N,буяу,bo'yok
402,Kleidung::N,кейем,kiyim
403,Hemd::N,күлдәк,ko'ylak
404,Kragen::N,яға,yoqa
405,Ärmel::N,ең,yeng
406,Hose::N,салбар,shim
407,Gürtel::N,ҡайыш,tasma
408,Mütze::N,бүрк,shapka
409,Schuh::N,туфли,but
410,Stiefel::N,итек,botinka
411,Ring::N,йөҙөк,yuzuk
412,Ring::N,балдаҡ,yuzuk
413,Band::N,таҫма,rishta
414,Kamm::N,тараҡ,taroq
415,Spiegel::N,көзгө,ko'zgu
416,Riemen::N,ҡайыш,qayish
417,Schnur::N,бау,bog'ich
418,Leine::N,бау,etak
419,Decke::N,одеяд,odyol
420,Kissen::N,мендәр,yostiq
421,Tuch::N,яулыҡ,gazlama
422,Handtuch::N,таҫтамал,sochiq
423,Kraft::N,көс,kuch
424,Stärke::N,көс,quvvat
425,Gesundheit::N,һаулыҡ,sog'lik
426,Krankheit::N,сир,kasallik
427,Krankheit::N,ауырыу,kasallik
428,Schmerz::N,һыҙлау,og'riq
429,Schmerz::N,әрнеү,og'riq
430,Wunde::N,йәрәхәт,yara
431,Fieber::N,тапма,bezgak
432,Fieber::N,биҙгәк,bezgak
433,Arznei::N,дарыу,dori
434,Brücke::N,күпер,ko'prik
435,Brunnen::N,ҡоҙоҡ,buloq
436,Weide::N,көтөүлек,yaylov
437,Pfad::N,һуҡмаҡ,dorojka
438,Weg::N,юл,yo'l
439,Straße::N,урам,ko'cha
440,Dorf::N,ауыл,ovul
441,Stadt::N,ҡала,shahar
442,Brief::N,хат,maktub
443,Buch::N,китап,kitob
444,Buch::N,кенәгә,kitob
445,Buchstabe::N,хәреф,harf
446,Zeitung::N,гәзит,gazet
447,Leben::N,йәшәү,hayot
448,Tod::N,үлем,o'lim
449,Grab::N,ҡәбер,go'r
450,Kirche::N,сиркәү,cherkov
451,Sünde::N,гөнаһ,gunoh
452,Gott::N,алла,olloh
453,Gott::N,хоҙай,olloh
454,Arbeiter::N,эшсе,ishchi
455,Chef::N,башлыҡ,rais
456,Meister::N,оҫта,usta
457,Arzt::N,врач,hakim
458,Lehrer::N,уҡытыусы,muallim
459,Geld::N,аҡса,pul
460,Geschäft::N,эш,savdo
461,Laden::N,магазин,do'kon
462,Preis::N,хаҡ,baho
463,Ware::N,тауар,mol
464,Nutzen::N,файҙа,foyda
465,Reichtum::N,байлыҡ,boylik
466,Welt::N,донъя,olam
467,Land::N,ил,o'lka
468,Staat::N,дәүләт,davlat
469,König::N,король,qirol
470,Macht::N,власть,iqtidor
471,Grenze::N,сик,chegara
472,Krieg::N,һуғыш,harb
473,Feind::N,йылан,dushman
474,Gewalt::N,көслөк,zo'rlik
475,Kampf::N,көрәш,kurash
476,Bogen[Waffe]::N,йәйә,yoy
477,Pfeil::N,уҡ,o'q
478,Gewehr::N,мылтыҡ,vintovka
479,Fehler::N,хата,xato
480,Lüge::N,ялған,yolg'on
481,Schaden::N,зыян,ziyon
482,Schaden::N,зарар,ziyon
483,Unglück::N,ҡаза,balo
484,Schuld::N,ғәйеп,ayb
485,Alter::N,йәш,yosh
486,Schluss::N,һуң,tamom
487,Schluss::N,аҙаҡ,tamom
488,Zeit::N,мәл,vaqt
489,Zeit::N,заман,vaqt
490,Tag::N,көн,kun
491,Morgen::N,иртә,saboh
492,Morgen::N,иртәнсәк,saboh
493,Mittag::N,төш,kun tushlik
494,Abend::N,кис,oqshom
495,Nacht::N,төн,tun
496,Woche::N,аҙна,hafta
497,Monat::N,ай,oy
498,Jahr::N,йыл,yil
499,Frühling::N,яҙ,bahor
500,Sommer::N,йәй,yoz
501,Herbst::N,көз,kuz
502,Herbst::N,көз,xazon
503,Winter::N,ҡыш,qish
504,Januar::N,ғинуар,yanvar'
505,Februar::N,февраль,fevral'
506,März::N,март,mart
507,April::N,апрель,aprel'
508,Mai::N,май,may
509,Juni::N,июнь,iyun'
510,Juli::N,июль,iyul'
511,August::N,август,avgust
512,September::N,сентябрь,sentyabr'
513,Oktober::N,октябрь,oktyabr'
514,November::N,ноябрь,noyabr'
515,Dezember::N,декабрь,dekabr'
516,Montag::N,дүшәмбе,dushanba
517,Dienstag::N,шишәмбе,seshanba
518,Mittwoch::N,шаршамбы,chorshanba
519,Donnerstag::N,кесаҙна,payshanba
520,Freitag::N,йома,juma
521,Samstag::N,шәмбе,shanba
522,Sonntag::N,йәкшәмбе,yakshanba
523,groß::A,ҙур,buyuk
524,klein::A,бәләкәс,kichik
525,lang::A,оҙон,uzun
526,kurz::A,ҡыҫҡа,qisqa
527,breit::A,киң,keng
528,schmal::A,тар,änsiz
529,dicht::A,йыш,quyuq
530,dicht::A,ҡуйы,quyuq
531,dick[Gegenstand]::A,ҡалын,qalin
532,dünn::A,йоҡа,ingichka
533,dünn::A,нәҙек,ingichka
534,fein::A,нескә,mayin
535,fest::A,ныҡ,qattiq
536,flach::A,яҫы,yalpoq
537,flach::A,ялпаҡ,yalpoq
538,glatt::A,шыма,tekis
539,hart::A,ҡаты,qattiq
540,weich::A,йомшаҡ,yumshoq
541,rund::A,түңәрәк,yumaloq
542,spitz::A,осло түбәле,uchli
543,scharf::A,үткер,keskir
544,stumpf::A,утмәҫ,to'mtoq
545,schwer::A,ауыр,salmoqli
546,schön::A,матур,go'zal
547,heiß::A,эҫе,qiziq
548,warm::A,йылы,issiq
549,kalt::A,һыуыҡ,sovuq
550,kühl::A,һалҡынса,salqin
551,frisch::A,һалҡынса,toza
552,feucht::A,еүеш,namli
553,feucht::A,дымлы,namli
554,nass::A,еүеш,nam
555,trocken::A,кипкән,quruq
556,voll::A,тулы,to'la
557,leer::A,буш,puch
558,offen::A,асыҡ,ochiq
559,geschlossen::A,ябыҡ,berk
560,sauber::A,таҙа,ozoda
561,schmutzig::A,бысраҡ,kir
562,roh::A,сей,xom
563,reif::A,өлгөрғән,pishiq
564,lecker::A,тәмле,shirin
565,süß::A,тямле,shirin
566,süß::A,тәм-том,shirin
567,bitter::A,әсе,achchiq
568,sauer::A,әсе,achchiq
569,hell::A,яҡты,yorug'
570,dunkel::A,ҡараңғы,qorong'i
571,schwarz::A,ҡара,qora
572,weiß::A,аҡ,oq
573,rot::A,матур,qizil
574,rot::A,һылыу,qizil
575,rot::A,сибәр,qizil
576,gelb::A,һары,sariq
577,blau::A,күк,zangori
578,grün::A,йәшел,yashil
579,grau::A,буҙ,bo'z
580,bunt::A,сыбар,ola
581,bunt::A,ала-ҡола,ola
582,billig::A,арзан,arzon
583,teuer::A,ҡыйбатлы,qimmat
584,wertvoll::A,ҡиммәтле,qimmat
585,blind::A,һуҡыр,ko'r
586,taub::A,һаңғырау,garang
587,kräftig::A,көслө,kuchli
588,kräftig::A,ҡеүәтле,kuchli
589,stark::A,көслө,quvvatli
590,stark::A,ҡеүәтле,quvvatli
591,schwach::A,көсһөҙ,kuchsiz
592,fett::A,һимеҙ,semiz
593,schlank::A,зифа,ingichka
594,hübsch::A,матур,ko'rkam
595,böse::A,асыулы,yovuz
596,dumm::A,иҫәр,aqlsiz
597,faul::A,иренсәк,ärinchak
598,fleißig::A,тырыш,ishchan
599,geizig::A,һаран,qurumsoq
600,klug::A,аҡыллы,oqil
601,geschickt::A,оҫта,äpchil
602,lieb::A,яғымлы,aziz
603,lustig::A,күңелле,chaqchaq
604,sanft::A,йыуаш,asta
605,hungrig::A,ас,och
606,krank::A,сирле,kasal
607,krank::A,ауырыу,kasal
608,nackt::A,яланғас,yalang
609,traurig::A,яманһыу,xafa
610,lebendig::A,тере,hayotiy
611,lebendig::A,йәнле,hayotiy
612,gut::A,яҡшы,soz
613,schlecht::A,хөрт,yomon
614,schlecht::A,алама,yomon
615,richtig::A,дөрөҫ,rost
616,schlimm::A,хөрт,yovuz
617,schlimm::A,алама,yovuz
618,wahr::A,дөрөҫ,haqiqiy
619,alt::A,иҫке,äski
620,alt::A,боронғо,äski
621,neu::A,яңы,yangi
622,ehemalig::A,элекке,sobiq
623,alt[Lebewesen]::A,ҡарт,qari
624,jung::A,йәш,navqiron
625,arm::A,фәҡир,abgor
626,reich::A,бай,boy
627,bekannt::A,таныш,ma'lum
628,berühmt::A,атаҡлы,mashhur
629,berühmt::A,данлыҡлы,mashhur
630,fremd::A,ят,yot
631,fremd::A,сит,yot
632,verschieden::A,төрлө,turli
633,nah::A,яҡын,yaqindagi
634,fern::A,алыҫ,uzoq
635,fern::A,йыраҡ,uzoq
636,linker::A,һул,so'l
637,rechter::A,уң,o'ng
638,anderer::A,бутән,boshqa
639,erster::A,тәүге,birinchi
640,zweiter::A,икенсе,ikkinchi
641,dritter::A,өсөнсө,uchinchi
642,letzter::A,һуңғы,oxirgi
643,allein::ADV,бер үҙе,o'zicha
644,allein::ADV,яңғыҙ,o'zicha
645,auf einmal::ADV,бер юлы,varakay
646,zusammen::ADV,бергә,barobar
647,lange::ADV,оҙаҡ,uzoq
648,plötzlich::ADV,ҡапыл,qo'qqisdan
649,sofort::ADV,шунда уҡ,darrov
650,später::ADV,һуңыраҡ,so'ngra
651,jetzt::ADV,хәҙер,hozirgina
652,heute::ADV,бөгөн,bugun
653,morgen::ADV,иртәгә,ärta
654,bald::ADV,тиҙҙән,toz
655,dann::ADV,һуңынан,keyin
656,gestern::ADV,кисә,kecha
657,einst::ADV,ҡасандыр,avvallari
658,einst::ADV,бер баҡыт,avvallari
659,damals::ADV,ул саҡта,ugal
660,danach::ADV,һуңынан,so'ngra
661,vorher::ADV,элек,avval
662,zuerst::ADV,башта,avval
663,einmal::ADV,бер,bir marta
664,manchmal::ADV,ҡайһы берҙә,onda-sonda
665,oft::ADV,йыш,tez-tez
666,immer::ADV,һәр ҡасан,har vaqt
667,niemals::ADV,бер ҡасан да,hargiz
668,niemals::ADV,бер ваҡытта ла,hargiz
669,hier::ADV,бында,shu erda
670,hierhin::ADV,бында,beri
671,von hier::ADV,бынан,shu erdan
672,von hier::ADV,ошонан,shu erdan
673,dort::ADV,шунда,ana
674,dort::ADV,тегендә,ana
675,dorthin::ADV,шунда,u yerga
676,dorthin::ADV,тегеләй,u yerga
677,geradeaus::ADV,тура,to'g'ri
678,vorwärts::ADV,алға,ilgari
679,rückwärts::ADV,кирегә,qoloq
680,zurück::ADV,кирегә,orqada
681,unten::ADV,түбәндә,pastda
682,hinab::ADV,түбәнгә,tubanga
683,oben::ADV,юғарыла,ustida
684,hinauf::ADV,юғарыға,yuqorida
685,überall::ADV,бөтә урында,har erda
686,nicht::ADV,тугел,ämas
687,ein wenig::ADV,аҙ,biroz
688,kaum::ADV,көскә,arang
689,kaum::ADV,саҡ-саҡ,arang
690,sehr::ADV,ифат,ancha
691,so::ADV,шулай,shunday
692,noch::ADV,йәнә,hali
693,nur::ADV,бары,yolg'iz
694,schon::ADV,инде,endi
695,wieder::ADV,тағы,yana
696,vergebens::ADV,бушҡа,bekorga
697,vor::PRP,алдында,burun
698,hinter::PRP,артында,ketida
699,unter::PRP,аҫтында,ostida
700,durch::PRP,үтә,bo'ylab
701,neben::PRP,эргәһендә,yonida
702,zwischen::PRP,араһында,orada
703,wegen::PRP,өсөн,sababli
704,wegen::PRP,сәбәпле,sababli
705,dies::PRN,был,o'sha
706,dies::PRN,ошо,o'sha
707,das::PRN,ул,narigi
708,alles::PRN,бөтә,har nima
709,ich::PRN,мин,men
710,du::PRN,һин,sen
711,er::PRN,ул,u
712,wir::PRN,беҙ,biz
713,ihr::PRN,һеҙ,siz
714,sie::PRN,улар,ular
715,was::FPRN,ә,nima
716,was::FPRN,ни,nima
717,was::FPRN,нәмә,nima
718,wer::FPRN,ҡем,kim
719,wo::FADV,ҡайҙа,qaerda
720,wohin::FADV,ҡайҙа,qayerga
721,wie::FADV,инидәй,qanday
722,warum::FADV,ин өсөн,nega
723,wieviel::FNUM,күпме,qancha
724,eins::NUM,бер,bir
725,zwei::NUM,ике,ikki
726,zwei::NUM,икәү,ikki
727,drei::NUM,өс,uch
728,vier::NUM,дүрт,to'rt
729,fünf::NUM,биш,besh
730,sechs::NUM,алты,olti
731,sieben::NUM,ете,etti
732,acht::NUM,һигеҙ,sakkiz
733,neun::NUM,туғыҙ,to'qqiz
734,zehn::NUM,ун,o'n
735,elf::NUM,ун бер,o'n bir
736,zwölf::NUM,ун ике,o'n ikki
737,zwanzig::NUM,егерме,yigirma
738,dreißig::NUM,утыҙ,o'ttiz
739,vierzig::NUM,ҡырҡ,qirq
740,fünfzig::NUM,илле,ällik
741,sechzig::NUM,алтмыш,oltmish
742,siebzig::NUM,етмеш,etmish
743,achtzig::NUM,һикһән,sakson
744,neunzig::NUM,туҡһан,to'qson
745,hundert::NUM,йөҙ,yuz
746,tausend::NUM,мең,ming
747,und::CNJ,да,va
748,oder::CNJ,йәки,yo
749,stehen::V,тороу,turmoq
750,sitzen::V,ултырыу,o'tirmoq
751,liegen::V,ятыу,yotmoq
752,hängen::V,аҫылынып тороу,osilmoq
753,werden::V,булыу,bo'lmoq
754,passieren::V,булыу,bo'lib o'tmoq
