,Concept_ID,hy,da
78,Feuer::N,հրդեհ,ild
79,Licht::N,լույս,lys
80,Schatten::N,ստվեր,skygge
81,Wetter::N,եղանակ,vejr
82,Nebel::N,մեգ,tåge
83,Nebel::N,մառախուղ,tåge
84,Wolke::N,ամպ,sky
85,Regen::N,անձրև,regn
86,Schnee::N,ձյուն,sne
87,Eis::N,սառույց,is
88,Frost::N,սառնամանիք,frost
89,Kälte::N,դող,kulde
90,Hitze::N,շոգ,hede
91,Raureif::N,ցօղեղեամ,rimfrost
92,Regenbogen::N,ծիածան,regnbue
93,Donner::N,որոտ,torden
94,Strömung::N,հոսանք,strømning
95,Tropfen::N,կաթիլ,dråbe
96,Schaum::N,փրփուր,skum
97,Schmutz::N,կեղտ,snavs
98,See::N,լիճ,sø
99,Sumpf::N,ճահիճ,sump
100,Moor::N,ճահիճ,mose
101,Wiese::N,մարգագետին,eng
102,Wald::N,անտառ,skov
103,Hügel::N,բլուր,høj
104,Hügel::N,բլուր,bakke
105,Anhöhe::N,բարձունք,høj
106,Anhöhe::N,բարձունք,bakke
107,Berg::N,լեռ,bjerg
108,Gipfel::N,գագաթ,top
109,Gipfel::N,կատար,top
110,Höhle::N,քարայր,hule
111,Abhang::N,լանջ,skrænt
112,Abhang::N,լանջ,skråning
113,Abhang::N,զառիվայր,skrænt
114,Abhang::N,զառիվայր,skråning
115,Quelle::N,աղբյուր,kilde
116,Bach::N,վտակ,bæk
117,Fluss::N,գետ,flod
118,Ufer::N,ծովափ,bred
119,Küste::N,ափ,kyst
120,Küste::N,ծովափ,kyst
121,Festland::N,ցամաք,fastland
122,Meer::N,ծով,hav
123,Bucht::N,հաչիւն,bugt
124,Insel::N,վղզի,ø
125,Blume::N,ծաղիկ,blomst
126,Gras::N,խոտ,græs
127,Wurzel::N,արմատ,rod
128,Baum::N,ծառ,træ
129,Stamm::N,իրան,stamme
130,Rinde::N,կեղեւ,bark
131,Rinde::N,հաչոց,bark
132,Ast::N,ճյուղ,gren
133,Zweig::N,ճյուղ,kvist
134,Blatt::N,տերեւ,blad
135,Birke::N,ցարասի,birk
136,Kiefer[Baum]::N,սոճի,fyrretræ
137,Weide[Baum]::N,ուռենի,piletræ
138,Tanne::N,եղեւին,gran
139,Feder::N,փետուր,fjer
140,Fell::N,մորթի,skind
141,Flügel::N,թեւ,vinge
142,Klaue::N,չանչ,klov
143,Kralle::N,ճանկ,klo
144,Schwanz::N,պոչ,hale
145,Ei::N,ձու,æg
146,Nest::N,բույն,rede
147,Bau::N,որջ,bo
148,Bau::N,բայոց,bo
149,Tier::N,կենդանի,dyr
150,Herde::N,հոտ,flok
151,Kuh::N,կով,ko
152,Bulle::N,ցուլ,tyr
153,Pferd::N,ձի,hest
154,Schaf::N,ոչխար,får
155,Schwein::N,խոզ,gris
156,Hund::N,շուն,hund
157,Katze::N,կատու,kat
158,Bär::N,արջ,bjørn
159,Eichhörnchen::N,սկյուռ,egern
160,Elch::N,հիւսիսային եղջերու,elg
161,Fuchs::N,աղվես,ræv
162,Hase::N,նապաստակ,hare
163,Maus::N,մուկ,mus
164,Wolf::N,գայլ,ulv
165,Vogel::N,թռչուն,fugl
166,Schwarm::N,երամ,sværm
167,Huhn::N,հավ,høne
168,Hahn::N,աքաղաղ,hane
169,Gans::N,սագ,gås
170,Adler::N,արծիվ,ørn
171,Ente::N,բադ,and
172,Eule::N,բու,ugle
173,Kranich::N,կռունկ,trane
174,Krähe::N,ագռավ,krage
175,Kuckuck::N,կուկու,gøg
176,Schwan::N,կարապ,svane
177,Fisch::N,ձուկ,fisk
178,Barsch::N,պերկես,aborre
179,Hecht::N,գայլաձուկ,gedde
180,Schlange[Tier]::N,օձ,slange
181,Wurm::N,որդ,orm
182,Wurm::N,ճիճու,orm
183,Spinne::N,սարդ,edderkop
184,Ameise::N,միջյուն,myre
185,Laus::N,ոջիլ,lus
186,Mücke::N,մժղուկ,myg
187,Fliege::N,ճանճ,flue
188,Schmetterling::N,թիթեռ,sommerfugl
189,Beere::N,հատապտուղ,bær
190,Apfel::N,խնձոր,æble
191,Pilz::N,սունկ,svamp
192,Zwiebel::N,սոխ,løg
193,Saat::N,սերմ,sæd
194,Korn::N,հատիկ,korn
195,Heu::N,խոտ,hø
196,Schale::N,կեղեւ,skræl
197,Grube::N,փոս,grav
198,Falle::N,ծուղակ,fælde
199,Schlinge::N,խեղդան,snare
200,Spur::N,հետք,spor
201,Asche::N,մոխիր,aske
202,Dreck::N,աղտ,snavs
203,Eisen::N,երկաթ,jern
204,Gold::N,ոսկի,guld
205,Silber::N,արծաթ,sølv
206,Kohle::N,քարածուխ,kul
207,Glas::N,ապակի,glas
208,Lehm::N,կավ,ler
209,Sand::N,ավազ,sand
210,Mensch::N,մարդ,mennesge
211,Mann::N,մարդ,mand
212,Mann::N,տղամարդ,mand
213,Frau::N,կին,kvinde
214,Kind::N,զավակ,barn
215,Junge::N,տղա,dreng
216,Mädchen::N,աղջիկ,pige
217,Familie::N,ընտանիք,familie
218,Großvater::N,պապ,bedstefar
219,Großmutter::N,տատ,bedstemor
220,Eltern::N,ծնողներ,forældre
221,Vater::N,հայր,far
222,Mutter::N,մայր,mor
223,Sohn::N,որդի,søn
224,Tochter::N,աղջիկ,datter
225,Tochter::N,դուստր,datter
226,Bruder::N,եղբայր,bror
227,Schwester::N,քույր,søster
228,Onkel::N,քեռի,onkel
229,Onkel::N,հորեղբայր,onkel
230,Tante::N,մորաքույր,tante
231,Ehemann::N,մարդ,ægtemand
232,Ehemann::N,ամուսին,ægtemand
233,Ehefrau::N,կին ամուսին,hustru
234,Freude::N,ուրախություն,glæde
235,Gelächter::N,ծիծաղ,latter
236,Glück::N,երջանկություն,lykke
237,Kummer::N,վիշտ,sorg
238,Wunsch::N,ցանկություն,ønske
239,Lust::N,փափագ,lyst
240,Lust::N,իղձ,lyst
241,Geist::N,ոգի,ånd
242,Gedanke::N,միտք,tanke
243,Gedächtnis::N,հիշողություն,hukommelse
244,Verstand::N,խելք,forstand
245,Sinn::N,իմաստ,mening
246,Sinn::N,իմաստ,betydning
247,Grund::N,պատճառ,grund
248,Wahrheit::N,ճշմարտություն,sandhed
249,Gespräch::N,զրույց,samtale
250,Märchen::N,պայիկի պատմություն,eventyr
251,Erzählung::N,պատմվածք,fortælling
252,Erzählung::N,պատմություն,fortælling
253,Nachricht::N,հաղորդագրություն,efterretning
254,Neuigkeit::N,լուր,nyhed
255,Neuigkeit::N,նորություն,nyhed
256,Name::N,անուն,navn
257,Rätsel::N,բարդ խնդիր,gåde
258,Rede::N,ճառ,tale
259,Rede::N,ելույթ,tale
260,Sprache::N,լեզու,sprog
261,Stimme::N,ձայն,stemme
262,Wort::N,բառ,ord
263,Zeichen::N,նշան,tegn
264,Ruf::N,կոչ,råb
265,Ruf::N,կանչ,råb
266,Lärm::N,աղմուկ,larm
267,Laut::N,հնչյուն,lyd
268,Laut::N,ձայն,lyd
269,Ton::N,տոն,tone
270,Lied::N,երգ,sang
271,Ruhe::N,անդորրություն,ro
272,Ruhe::N,անդորրություն,hvile
273,Leute::N,մարդիկ,folk
274,Leute::N,մարդիկ,mennesker
275,Volk::N,ազգ,folk
276,Arbeit::N,գործ,arbejde
277,Arbeit::N,աշխատանք,arbejde
278,Gast::N,հյուր,gæst
279,Geschenk::N,նվեր,gave
280,Spiel::N,խաղ,leg
281,Gesellschaft::N,ընկերություն,selskab
282,Hilfe::N,օգնությթուն,hjælp
283,Freund::N,ընկեր,ven
284,Freund::N,բարեկամ,ven
285,Kamerad::N,ուղեկից,kammerat
286,Angelegenheit::N,բան,sag
287,Angelegenheit::N,բան,anliggende
288,Angelegenheit::N,գործ,sag
289,Angelegenheit::N,գործ,anliggende
290,Anzahl::N,քանակ,antal
291,Anzahl::N,գումար,antal
292,Art::N,տեսակ,art
293,Stück::N,կտոր,stykke
294,Teil::N,մաս,del
295,Hälfte::N,կես,halvdel
296,Kreis::N,շիջանակ,cirkel
297,Kreuz::N,խաչ,kors
298,Kreuz::N,խաչ,kryds
299,Linie::N,գիծ,linie
300,Strich::N,գիծ,streg
301,Abstand::N,անջրպետ,afstand
302,Entfernung::N,հեռավորություն,afstand
303,Gegend::N,շրջան,egn
304,Platz::N,տարածություն,plads
305,Ort::N,տեղ,sted
306,Ort::N,վայր,sted
307,Seite::N,կողմ,side
308,Mitte::N,մեջտեղ,midte
309,Gegenstand::N,առարկա,genstand
310,Sache::N,բան,sag
311,Rand::N,վերջք,rand
312,Kante::N,եզր,kant
313,Ecke::N,անկյուն,hjørne
314,Spitze::N,ծայր,spids
315,Ende::N,ծայր,ende
316,Loch::N,անցք,hul
317,Winkel::N,անկյուն,vinkel
318,Muster::N,օրինակ,mønster
319,Größe::N,մեծություն,størrelse
320,Länge::N,երկարություն,længde
321,Höhe::N,բարձրություն,højde
322,Gewicht::N,կշիռ,vægt
323,Menge::N,քանակ,mængde
324,Haufen::N,դեզ,bunke
325,Haufen::N,կույտ,bunke
326,Reihe::N,շարք,række
327,Reihe::N,կարգ,række
328,Boot::N,նավակ,båd
329,Ruder::N,թի,åre
330,Ruder::N,թիակ,åre
331,Schlitten::N,բալխիր,kælk
332,Schlitten::N,բալխիր,slæde
333,Ski::N,դահուկ,ski
334,Lagerfeuer::N,բացօդեայ կրակ,lejrbål
335,Last::N,բեռ,last
336,Last::N,բեռ,byrde
337,Gang::N,զբոսանք,gang
338,Schritt::N,քայլ,skridt
339,Norden::N,հյուսիս,nord
340,Süden::N,հարավ,syd
341,Westen::N,արեւմուտք,vest
342,Osten::N,արեւելք,øst
343,Holz::N,փայտ,træ
344,Brett::N,տախտակ,bræt
345,Platte::N,թիթեղ,plade
346,Stütze::N,նեցուկ,støtte
347,Stange::N,ձող,stang
348,Stock::N,փայտ,stok
349,Stab::N,ցուպ,stav
350,Stab::N,գավազան,stav
351,Rohr::N,խողովակ,rør
352,Haus::N,տուն,hus
353,Heim::N,տուն,hjem
354,Ofen::N,վառարան,ovn
355,Fußboden::N,հատակ,gulv
356,Tisch::N,սեղան,bord
357,Stuhl::N,աթոռ,stol
358,Wiege::N,օրորոց,vugge
359,Bett::N,անկողին,seng
360,Regal::N,դարակ,reol
361,Kiste::N,տուփ,kasse
362,Fenster::N,պատուհան,vindue
363,Tür::N,դուռ,dør
364,Tor::N,դարպաս,port
365,Zaun::N,ցանկապատ,stakit
366,Dach::N,տանիք,tag
367,Dach::N,կտուր,tag
368,Leiter::N,սանդուղք,stige
369,Besen::N,ավել,kost
370,Spaten::N,բահ,spade
371,Schaufel::N,թի,skovl
372,Gabel::N,պատառաքաղ,gaffel
373,Löffel::N,գդալ,ske
374,Messer::N,դանակ,kniv
375,Nagel::N,մեխ,søm
376,Netz::N,ցանց,net
377,Haken::N,կարթ,krog
378,Griff::N,կոթ,tag
379,Griff::N,կոթ,håndtag
380,Griff::N,բռնակ,tag
381,Griff::N,բռնակ,håndtag
382,Schloss::N,կողպեք,lås
383,Bild::N,նկար,billede
384,Bild::N,պատկեր,billede
385,Figur::N,քանդակ,figur
386,Figur::N,պատկեր,figur
387,Puppe::N,տիկնիկ,dukke
388,Beutel::N,տոպրակ,pose
389,Bündel::N,կապոց,bylt
390,Bündel::N,կապոց,bundt
391,Tasche::N,պայուսակ,taske
392,Eimer::N,դույլ,spand
393,Deckel::N,կափարիչ,låg
394,Geschirr::N,ամանեղեն,husgeråd
395,Sack::N,պարկ,sæk
396,Sack::N,տոպրակ,sæk
397,Tasse::N,թաս,kop
398,Tasse::N,գավաթ,kop
399,Topf::N,անոթ,gryde
400,Kessel::N,կաթսա,kedel
401,Essen::N,կերակուր,måltid
402,Nahrung::N,ուտելիք,mad
403,Nahrung::N,ուտելիք,næring
404,Speise::N,խորտիկ,ret
405,Speise::N,կերակուր,ret
406,Fleisch::N,միս,kød
407,Getreide::N,հացահատիկ,korn
408,Brei::N,լանդակ,grød
409,Brot::N,հաց,brød
410,Scheibe::N,կտոր,skive
411,Scheibe::N,պատառ,skive
412,Fett::N,ճարպ,fedt
413,Butter::N,կարագ,smør
414,Öl::N,ձեթ,olie
415,Salz::N,աղ,salt
416,Suppe::N,սուպ,suppe
417,Suppe::N,ապուր,suppe
418,Honig::N,մեղր,honning
419,Milch::N,կաթ,mælk
420,Tee::N,թեյ,te
421,Leder::N,կաշի,skind
422,Wolle::N,բուրդ,uld
423,Stoff::N,գործվածք,stof
424,Nadel::N,ասեղ,nål
425,Faden::N,թել,tråd
426,Knopf::N,կոճակ,knap
427,Knoten::N,հանգույց,knude
428,Farbe::N,ներկ,farve
429,Kleidung::N,հագուստ,påklædning
430,Hemd::N,վերնաշապիկ,skjorte
431,Kragen::N,օձիք,krave
432,Ärmel::N,թեւք,ærme
433,Hose::N,շալվար,bukser
434,Gürtel::N,գոտի,bælte
435,Mütze::N,կեպի,hue
436,Schuh::N,կոշիկ,sko
437,Stiefel::N,երկարաճիթ կոշիկ,støvle
438,Ring::N,զնգալ,ring
439,Band::N,ժապավեն,bånd
440,Kamm::N,սանր,kam
441,Spiegel::N,հայելի,spejl
442,Riemen::N,փոկ,rem
443,Schnur::N,լար,snor
444,Leine::N,փոկ,snor
445,Decke::N,վերմակ,tæppe
446,Kissen::N,բարձ,pude
447,Tuch::N,թաշկինակ,sjaltørklæde
448,Handtuch::N,սրբիչ,håndklæde
449,Kraft::N,ուժ,kraft
450,Stärke::N,պնդություն,styrke
451,Stärke::N,ամրություն,styrke
452,Gesundheit::N,առողջություն,sundhed
453,Krankheit::N,ախտ,sygdom
454,Krankheit::N,հիվանդություն,sygdom
455,Schmerz::N,ցավ,smerte
456,Schmerz::N,տանջանք,smerte
457,Wunde::N,վերք,sår
458,Fieber::N,տենդ,feber
459,Arznei::N,դեղ,medicin
460,Arznei::N,դեղ,lægemiddel
461,Brücke::N,կամուրջ,bro
462,Brunnen::N,հոր,brønd
463,Brunnen::N,ջրհոր,brønd
464,Weide::N,արոտավայր,græsgang
465,Pfad::N,արահետ,sti
466,Weg::N,ուղի,vej
467,Straße::N,ճանապարհ,gade
468,Dorf::N,գյուղ,landsby
469,Stadt::N,քաղաք,by
470,Brief::N,նամակ,brev
471,Buch::N,գիրք,bog
472,Buchstabe::N,տառ,bogstav
473,Buchstabe::N,գիր,bogstav
474,Zeitung::N,լրագիր,avis
475,Leben::N,կյանք,liv
476,Tod::N,մահ,død
477,Grab::N,գերեզման,grav
478,Kirche::N,եկեղեցի,kirke
479,Sünde::N,մեղք,synd
480,Gott::N,աստված,gud
481,Arbeiter::N,բանվոր,arbejder
482,Arbeiter::N,աշխատող,arbejder
483,Chef::N,տեր,chef
484,Meister::N,վարպետ,mester
485,Arzt::N,բժիշկ,læge
486,Lehrer::N,ուսուցիչ,lærer
487,Geld::N,փող,penge
488,Geschäft::N,գործ,forretning
489,Geschäft::N,աշխատանք,forretning
490,Laden::N,կրպակ,butik
491,Laden::N,կրպակ,forretning
492,Laden::N,խանութ,butik
493,Laden::N,խանութ,forretning
494,Preis::N,գին,pris
495,Ware::N,ապրանք,vare
496,Nutzen::N,օգուտ,nytte
497,Reichtum::N,հարստություն,rigdom
498,Welt::N,աշխարհ,verden
499,Land::N,երկիր,land
500,Staat::N,պետություն,stat
501,König::N,արքա,konge
502,König::N,թագավոր,konge
503,Macht::N,իշխանություն,magt
504,Grenze::N,սահման,grænse
505,Krieg::N,պատերազմ,krig
506,Feind::N,թշնամի,fjende
507,Gewalt::N,բռնություն,vold
508,Gewalt::N,սաստկություն,vold
509,Kampf::N,մարտ,kamp
510,Bogen[Waffe]::N,աղեղ,bue
511,Pfeil::N,նետ,pil
512,Gewehr::N,հրացան,gevær
513,Fehler::N,սխալ,fejl
514,Lüge::N,սուտ,løgn
515,Schaden::N,վնաս,skade
516,Unglück::N,դժբախտություն,uheld
517,Unglück::N,դժբախտություն,ulykke
518,Schuld::N,պակասություն,skyld
519,Alter::N,հասակ,alder
520,Schluss::N,վերջ,slut
521,Schluss::N,վերջ,slutning
522,Schluss::N,վախճան,slut
523,Schluss::N,վախճան,slutning
524,Zeit::N,ժամանակ,tid
525,Tag::N,օր,dag
526,Morgen::N,առավոտ,morgen
527,Mittag::N,կեսօր,middag
528,Abend::N,երեկո,aften
529,Nacht::N,գիշեր,nat
530,Woche::N,շաբաթ,uge
531,Monat::N,ամիս,måned
532,Jahr::N,տարի,år
533,Frühling::N,գարուն,forår
534,Sommer::N,ամառ,sommer
535,Herbst::N,աշուն,efterår
536,Winter::N,ձմեռ,vinter
537,Januar::N,հունվար,januar
538,Februar::N,փետրվար,februar
539,März::N,մարտ,marts
540,April::N,ապրիլ,april
541,Mai::N,մայիս,maj
542,Juni::N,հունիս,juni
543,Juli::N,հուլիս,juli
544,August::N,օգոստոս,august
545,September::N,սեպտեմբեր,september
546,Oktober::N,հոկտեմբեր,oktober
547,November::N,նոյեմբեր,november
548,Dezember::N,դեկտեմբեր,december
549,Montag::N,երկուշաբթի,mandag
550,Dienstag::N,երեքշաբթի,tirsdag
551,Mittwoch::N,չորեքշաբթի,onsdag
552,Donnerstag::N,հինգշաբթի,torsdag
553,Freitag::N,ուրբաթ,fredag
554,Samstag::N,շաբաթ,lørdag
555,Sonntag::N,կիրակի,søndag
556,groß::A,մեծ,stor
557,groß::A,խոշոր,stor
558,klein::A,պստիկ,lille
559,klein::A,փոքրիկ,lille
560,lang::A,երկար,lang
561,kurz::A,կարճ,kort
562,breit::A,լայն,bred
563,schmal::A,նեղ,smal
564,dicht::A,խիտ,tæt
565,dick[Gegenstand]::A,հաստ,tyk
566,dünn::A,բարակ,tynd
567,fein::A,նուրբ,fin
568,fest::A,ամուր,fast
569,fest::A,պինդ,fast
570,flach::A,տափակ,flad
571,glatt::A,հարթ,glat
572,hart::A,կարծր,hård
573,weich::A,մեղմ,blød
574,weich::A,փափուկ,blød
575,rund::A,կլոր,rund
576,spitz::A,սրածայր,spids
577,scharf::A,սուր,skarp
578,stumpf::A,գուլ,sløv
579,stumpf::A,գուլ,stump
580,schwer::A,ծանր,tung
581,schön::A,սիրուն,skøn
582,schön::A,գեղեցիկ,skøn
583,heiß::A,թեժ,hed
584,warm::A,տաք,varm
585,warm::A,ջերմ,varm
586,kalt::A,ցուրտ,kold
587,kühl::A,զով,kølig
588,frisch::A,թարմ,frisk
589,feucht::A,ղոնավ,fugtig
590,nass::A,թաց,våd
591,trocken::A,ցամաք,tør
592,voll::A,լի,fuld
593,voll::A,լիքը,fuld
594,leer::A,դատարկ,tom
595,offen::A,բաց,åben
596,geschlossen::A,գոց,lukket
597,sauber::A,մաքուր,ren
598,schmutzig::A,կեղտոտ,snavset
599,roh::A,հում,rå
600,reif::A,հասած,moden
601,reif::A,հասուն,moden
602,lecker::A,համեղ,lækker
603,süß::A,անուշ,sød
604,bitter::A,կծու,bitter
605,sauer::A,թթու,sur
606,sauer::A,թթված,sur
607,hell::A,պայծառ,lys
608,hell::A,խելամիտ,lys
609,dunkel::A,մութ,mørk
610,schwarz::A,սեւ,sort
611,weiß::A,սպիտակ,hvid
612,rot::A,կարմիր,rød
613,gelb::A,դեղին,gul
614,blau::A,կապույտ,blå
615,grün::A,կանաչ,grøn
616,grau::A,գորշ,grå
617,bunt::A,գոյնզգոյն,broget
618,billig::A,էժան,billig
619,teuer::A,թանկ,dyr
620,wertvoll::A,թանկարժեք,værdifuld
621,blind::A,կույր,blind
622,taub::A,խուլ,døv
623,kräftig::A,հզոր,kraftig
624,stark::A,ուժեղ,stærk
625,schwach::A,տկար,svag
626,schwach::A,թույլ,svag
627,fett::A,գեր,fed
628,schlank::A,նիհար,slank
629,hübsch::A,գրավիչ,køn
630,hübsch::A,սիրունիկ,køn
631,böse::A,չար,ond
632,böse::A,չար,slem
633,dumm::A,հիմար,dum
634,faul::A,ծույլ,doven
635,fleißig::A,ջանասեր,flittig
636,fleißig::A,փութաջան,flittig
637,geizig::A,ագահ,gerrig
638,geizig::A,կծծի,gerrig
639,klug::A,խելոք,klog
640,klug::A,ընդունակ,klog
641,geschickt::A,ճարտար,dygtig
642,geschickt::A,ճարտար,behændig
643,lieb::A,սիրելի,rar
644,lustig::A,զվարթ,lystig
645,sanft::A,հեզ,blid
646,hungrig::A,քաղցած,sulten
647,krank::A,հիվանդ,syg
648,nackt::A,մերկ,nøgen
649,traurig::A,տխուր,bedrøvet
650,lebendig::A,կենդանի,levende
651,gut::A,լավ,god
652,schlecht::A,վատ,dårlig
653,richtig::A,ձիշտ,rigtig
654,schlimm::A,լղրճուկ,slem
655,wahr::A,ճիշտ,sand
656,wahr::A,իրական,sand
657,alt::A,հին,gammel
658,neu::A,նոր,ny
659,ehemalig::A,նախկին,forhenværende
660,alt[Lebewesen]::A,ծեր,gammel
661,alt[Lebewesen]::A,պառավ,gammel
662,jung::A,մատաղ,ung
663,arm::A,աղքատ,fattig
664,reich::A,հարուստ,rig
665,bekannt::A,ծանոթ,kendt
666,berühmt::A,հայտնի,berømt
667,berühmt::A,հռչակավոր,berømt
668,fremd::A,օտար,fremmed
669,verschieden::A,տարբեր,forskellig
670,nah::A,մոտ,nær
671,nah::A,մերձ,nær
672,fern::A,հեռավոր,fjern
673,linker::A,ձախ,venstre
674,rechter::A,աջ,højre
675,anderer::A,այլ,anden
676,anderer::A,ուրիշ,anden
677,erster::A,առաջին,første
678,zweiter::A,երկրորդ,anden
679,dritter::A,երրորդ,tredje
680,letzter::A,վերջին,sidste
681,allein::ADV,միայնակ,alene
682,auf einmal::ADV,միասնաբար,på én gang
683,zusammen::ADV,միասին,sammen
684,zusammen::ADV,իրար հետ,sammen
685,lange::ADV,երկար ժամանակ,længe
686,plötzlich::ADV,հանկարծ,pludselig
687,sofort::ADV,իսկույն,straks
688,später::ADV,ավելի ուշ,senere
689,später::ADV,հետո,senere
690,jetzt::ADV,այժմ,nu
691,heute::ADV,այսօր,i dag
692,morgen::ADV,վաղը,i morgen
693,bald::ADV,շուտով,snart
694,dann::ADV,ապա,så
695,dann::ADV,հետո,så
696,gestern::ADV,երեկ,i går
697,einst::ADV,հին ատեն,engang
698,damals::ADV,ատէնին,dengang
699,danach::ADV,ապա,derefter
700,danach::ADV,այն ժամանակ,derefter
701,vorher::ADV,առաջ,før
702,vorher::ADV,առաջ,forud
703,zuerst::ADV,նախ,først
704,einmal::ADV,մի անգամ,en gang
705,manchmal::ADV,երբեմն,sommetider
706,oft::ADV,հաճախ,ofte
707,immer::ADV,միշտ,altid
708,niemals::ADV,երբեք,aldrig
709,hier::ADV,այստեղ,her
710,hierhin::ADV,այստեղ,hid
711,hierhin::ADV,այստեղ,herhen
712,von hier::ADV,այդտեղից,herfra
713,dort::ADV,այնտեղ,der
714,dorthin::ADV,այնտեղ,derhen
715,geradeaus::ADV,ուղիղ,lige ud
716,vorwärts::ADV,առաջ,fremad
717,rückwärts::ADV,դեպի ետ,baglæns
718,zurück::ADV,ետ,tilbage
719,unten::ADV,ներքեւում,nede
720,unten::ADV,ներքեւում,forneden
721,hinab::ADV,ներքեւ,ned
722,hinab::ADV,ներքեւ,nedad
723,oben::ADV,վերեւում,oppe
724,oben::ADV,վերեւում,ovenpå
725,hinauf::ADV,վերեւ,op
726,hinauf::ADV,վերեւ,opad
727,überall::ADV,ամենուր,overalt
728,nicht::ADV,չէ,ikke
729,ein wenig::ADV,մի քիչ,lidt
730,kaum::ADV,հազիվ,knap
731,kaum::ADV,հազիվ,næppe
732,sehr::ADV,շատ,meget
733,so::ADV,այդպես,så
734,noch::ADV,դեռ,endnu
735,nur::ADV,միայն,kun
736,nur::ADV,միայն,bare
737,schon::ADV,արդեն,alt
738,schon::ADV,արդեն,allerede
739,wieder::ADV,նորից,igen
740,wieder::ADV,դարձյալ,igen
741,vergebens::ADV,իզուր,forgæves
742,vor::PRP,դիմացը,foran
743,vor::PRP,դիմացը,uden for
744,hinter::PRP,ետեւը,bag
745,hinter::PRP,ետեւը,bagved
746,unter::PRP,տակ,under
747,durch::PRP,միջով,gennem
748,durch::PRP,միջով,igennem
749,neben::PRP,քովը,ved siden af
750,zwischen::PRP,միջեւ,mellem
751,wegen::PRP,պատճառով,på grund af
752,wegen::PRP,շնորհից,på grund af
753,dies::PRN,սա,dette
754,dies::PRN,այս,dette
755,das::PRN,դա,det
756,das::PRN,այդ,det
757,alles::PRN,ամեն ինչ,alt
758,ich::PRN,ես,jeg
759,du::PRN,դու,du
760,er::PRN,նա,han
761,wir::PRN,մենք,vi
762,ihr::PRN,դուք,I
763,sie::PRN,նրանք,de
764,was::FPRN,ինչ,hvad
765,wer::FPRN,ով,hvem
766,wo::FADV,ուր,hvor
767,wo::FADV,որտեղ,hvor
768,wohin::FADV,դեպի ուր,hvorhen
769,wie::FADV,ինչպես,hvordan
770,warum::FADV,ինչու,hvorfor
771,wieviel::FNUM,որչափ,hvor meget
772,eins::NUM,մեկ,én
773,zwei::NUM,երկու,to
774,drei::NUM,երեք,tre
775,vier::NUM,չորս,fire
776,fünf::NUM,հինգ,fem
777,sechs::NUM,վեց,seks
778,sieben::NUM,յոթ,syv
