,Concept_ID,lez,da
362,Schaufel::N,хекендаз,skovl
363,Gabel::N,шиш,gaffel
364,Löffel::N,тӏур,ske
365,Messer::N,чукӏул,kniv
366,Nagel::N,мих,søm
367,Netz::N,чил,net
368,Haken::N,къармах,krog
369,Griff::N,ттум,tag
370,Griff::N,ттум,håndtag
371,Schloss::N,куьлег,lås
372,Bild::N,шикил,billede
373,Bild::N,суьрет,billede
374,Figur::N,фигура,figur
375,Puppe::N,нини,dukke
376,Beutel::N,тагъар,pose
377,Bündel::N,галгам,bylt
378,Bündel::N,галгам,bundt
379,Tasche::N,чанта,taske
380,Eimer::N,ведре,spand
381,Deckel::N,кьил,låg
382,Deckel::N,къалпагъ,låg
383,Geschirr::N,къаб-къажах,husgeråd
384,Sack::N,чувал,sæk
385,Tasse::N,сукӏра,kop
386,Topf::N,къажгъан,gryde
387,Kessel::N,къажгъан,kedel
388,Essen::N,тӏуьн,måltid
389,Nahrung::N,тӏуьн,mad
390,Nahrung::N,тӏуьн,næring
391,Speise::N,хуьрек,ret
392,Fleisch::N,як,kød
393,Getreide::N,техил,korn
394,Brei::N,хапӏа,grød
395,Brei::N,хешил,grød
396,Brot::N,фу,brød
397,Scheibe::N,чӏук,skive
398,Fett::N,ягълу,fedt
399,Butter::N,гъери,smør
400,Öl::N,ягълу,olie
401,Salz::N,кьел,salt
402,Suppe::N,суп,suppe
403,Suppe::N,шурпа,suppe
404,Honig::N,вирт,honning
405,Milch::N,нек,mælk
406,Tee::N,чай,te
407,Leder::N,тумаж,skind
408,Wolle::N,йис,uld
409,Stoff::N,парча,stof
410,Nadel::N,раб,nål
411,Faden::N,гъал,tråd
412,Knopf::N,дуьгме,knap
413,Knoten::N,тӏвал,knude
414,Farbe::N,ранг,farve
415,Kleidung::N,партал,påklædning
416,Hemd::N,перем,skjorte
417,Kragen::N,хев,krave
418,Ärmel::N,хел,ærme
419,Hose::N,шалвар,bukser
420,Gürtel::N,чӏул,bælte
421,Mütze::N,бармак,hue
422,Mütze::N,бапӏах,hue
423,Schuh::N,ботинка,sko
424,Stiefel::N,чекме,støvle
425,Ring::N,тупӏал,ring
426,Band::N,тасма,bånd
427,Kamm::N,регъ,kam
428,Spiegel::N,гуьзгуь,spejl
429,Riemen::N,къайиш,rem
430,Schnur::N,еб,snor
431,Decke::N,яргъан,tæppe
432,Kissen::N,хъуьцуьган,pude
433,Tuch::N,шал,sjaltørklæde
434,Handtuch::N,дасмал,håndklæde
435,Kraft::N,гуж,kraft
436,Stärke::N,къуват,styrke
437,Gesundheit::N,сагъвал,sundhed
438,Krankheit::N,тӏал,sygdom
439,Schmerz::N,тӏал,smerte
440,Schmerz::N,тӏарвал,smerte
441,Wunde::N,хер,sår
442,Fieber::N,ифин,feber
443,Arznei::N,дарман,medicin
444,Arznei::N,дарман,lægemiddel
445,Brücke::N,муьгъ,bro
446,Brunnen::N,къуй,brønd
447,Weide::N,уьруьш,græsgang
448,Pfad::N,рехъ,sti
449,Weg::N,рехъ,vej
450,Straße::N,рехъ,gade
451,Dorf::N,хуьр,landsby
452,Stadt::N,шегьер,by
453,Brief::N,кагъаз,brev
454,Buch::N,улуб,bog
455,Buchstabe::N,гьарф,bogstav
456,Zeitung::N,газета,avis
457,Leben::N,уьмуьр,liv
458,Tod::N,кьиникь,død
459,Grab::N,сур,grav
460,Kirche::N,килиса,kirke
461,Sünde::N,гунагь,synd
462,Gott::N,аллагь,gud
463,Arbeiter::N,фяле,arbejder
464,Chef::N,гьаким,chef
465,Meister::N,устӏар,mester
466,Arzt::N,доктор,læge
467,Lehrer::N,муаллим,lærer
468,Geld::N,пул,penge
469,Laden::N,магазин,butik
470,Laden::N,магазин,forretning
471,Preis::N,къимет,pris
472,Ware::N,мал,vare
473,Ware::N,товар,vare
474,Nutzen::N,хийир,nytte
475,Nutzen::N,менфят,nytte
476,Reichtum::N,девлет,rigdom
477,Welt::N,дуьнья,verden
478,Land::N,уьлкве,land
479,Staat::N,пачагьлугъ,stat
480,Staat::N,государство,stat
481,König::N,пачагь,konge
482,Macht::N,власть,magt
483,Grenze::N,сергьят,grænse
484,Krieg::N,дяве,krig
485,Feind::N,душман,fjende
486,Gewalt::N,гуж,vold
487,Kampf::N,женг,kamp
488,Bogen[Waffe]::N,чӏемерук,bue
489,Pfeil::N,хьел,pil
490,Gewehr::N,тфенг,gevær
491,Fehler::N,гъалатӏ,fejl
492,Lüge::N,ттаб,løgn
493,Schaden::N,зиян,skade
494,Schaden::N,зарар,skade
495,Unglück::N,бала,uheld
496,Unglück::N,бала,ulykke
497,Unglück::N,бедбахтвал,uheld
498,Unglück::N,бедбахтвал,ulykke
499,Schuld::N,тахсир,skyld
500,Alter::N,яш,alder
501,Schluss::N,эхир,slut
502,Schluss::N,эхир,slutning
503,Zeit::N,вяде,tid
504,Tag::N,югъ,dag
505,Morgen::N,пакама,morgen
506,Mittag::N,нисин,middag
507,Abend::N,няни,aften
508,Nacht::N,йиф,nat
509,Woche::N,гьафте,uge
510,Monat::N,варз,måned
511,Jahr::N,йис,år
512,Frühling::N,гатфар,forår
513,Sommer::N,гад,sommer
514,Herbst::N,зул,efterår
515,Winter::N,кьуьд,vinter
516,Januar::N,январь,januar
517,Februar::N,февраль,februar
518,März::N,март,marts
519,April::N,апрель,april
520,Mai::N,май,maj
521,Juni::N,июнь,juni
522,Juli::N,июль,juli
523,August::N,август,august
524,September::N,сентябрь,september
525,Oktober::N,октябрь,oktober
526,November::N,ноябрь,november
527,Dezember::N,декабрь,december
528,Montag::N,ислен,mandag
529,Dienstag::N,саласа,tirsdag
530,Mittwoch::N,арбе,onsdag
531,Donnerstag::N,хемис югъ,torsdag
532,Freitag::N,жуьмя,fredag
533,Freitag::N,жуьмя югъ,fredag
534,Samstag::N,киш,lørdag
535,Sonntag::N,гьяд,søndag
536,groß::A,еке,stor
537,groß::A,чӏехи,stor
538,klein::A,гъвечӏи,lille
539,lang::A,яргъи,lang
540,kurz::A,куьруь,kort
541,breit::A,гьяркьуь,bred
542,schmal::A,гуьтӏуь,smal
543,dicht::A,къалин,tæt
544,dünn::A,кьелечӏ,tynd
545,fein::A,шуькӏуь,fin
546,fest::A,кӏеви,fast
547,flach::A,кьулу,flad
548,glatt::A,цӏалцӏам,glat
549,hart::A,кӏеви,hård
550,weich::A,хъуьтуьл,blød
551,rund::A,элкъвей,rund
552,spitz::A,хци,spids
553,scharf::A,хци,skarp
554,stumpf::A,къуьруь,sløv
555,stumpf::A,къуьруь,stump
556,schwer::A,залан,tung
557,schön::A,иер,skøn
558,heiß::A,кудай,hed
559,warm::A,чими,varm
560,kalt::A,мекьи,kold
561,kühl::A,къайи,kølig
562,frisch::A,таза,frisk
563,frisch::A,михьи,frisk
564,feucht::A,ламу,fugtig
565,nass::A,кьежей,våd
566,trocken::A,кьуру,tør
567,voll::A,ацӏай,fuld
568,leer::A,буш,tom
569,leer::A,ичӏи,tom
570,offen::A,ахъа,åben
571,geschlossen::A,кӏеви,lukket
572,sauber::A,михьи,ren
573,schmutzig::A,чиркин,snavset
574,schmutzig::A,кьацӏай,snavset
575,roh::A,чиг,rå
576,roh::A,ицӏи,rå
577,reif::A,дигмиш хьайи,moden
578,lecker::A,дадлу,lækker
579,süß::A,ширин,sød
580,bitter::A,туькьуьл,bitter
581,sauer::A,цуру,sur
582,hell::A,экуь,lys
583,dunkel::A,мичӏи,mørk
584,schwarz::A,чӏулав,sort
585,weiß::A,лацу,hvid
586,rot::A,яру,rød
587,gelb::A,хъипи,gul
588,blau::A,вили,blå
589,grün::A,къацу,grøn
590,grau::A,рехи,grå
591,bunt::A,цӏару,broget
592,bunt::A,яру-цӏару,broget
593,billig::A,ужуз,billig
594,teuer::A,багьа,dyr
595,wertvoll::A,масан,værdifuld
596,blind::A,буьркьуь,blind
597,taub::A,биши,døv
598,kräftig::A,гужлу,kraftig
599,stark::A,къуватлу,stærk
600,schwach::A,такьатсуз,svag
601,fett::A,куьк,fed
602,schlank::A,шумал,slank
603,hübsch::A,гуьрчег,køn
604,böse::A,пис,ond
605,böse::A,пис,slem
606,dumm::A,ахмакь,dum
607,faul::A,тенпел,doven
608,fleißig::A,сяй ийидай,flittig
609,fleißig::A,сяйи ийидай,flittig
610,geizig::A,мискьи,gerrig
611,klug::A,акьуллу,klog
612,geschickt::A,магьир,dygtig
613,geschickt::A,магьир,behændig
614,lieb::A,играми,rar
615,lustig::A,шад,lystig
616,sanft::A,назик,blid
617,sanft::A,милайим,blid
618,hungrig::A,гишин,sulten
619,krank::A,кефсуз,syg
620,nackt::A,кьецӏил,nøgen
621,traurig::A,пашман,bedrøvet
622,lebendig::A,ччан алай,levende
623,gut::A,хъсан,god
624,gut::A,вижевай,god
625,schlecht::A,пис,dårlig
626,richtig::A,дуьз,rigtig
627,schlimm::A,нифретлу,slem
628,wahr::A,гьакъикъи,sand
629,alt::A,эски,gammel
630,alt::A,куьгьне,gammel
631,neu::A,цӏийи,ny
632,ehemalig::A,виликан,forhenværende
633,alt[Lebewesen]::A,кьуьзуь,gammel
634,jung::A,жегьил,ung
635,arm::A,кесиб,fattig
636,reich::A,девлетлу,rig
637,bekannt::A,чидай,kendt
638,berühmt::A,машгьур,berømt
639,fremd::A,ччара,fremmed
640,verschieden::A,жуьреба-жуьре,forskellig
641,nah::A,мукьвал,nær
642,fern::A,яргъал,fjern
643,linker::A,чапла,venstre
644,rechter::A,эрчӏи,højre
645,anderer::A,маса,anden
646,anderer::A,муькуь,anden
647,erster::A,сад лагьай,første
648,zweiter::A,кьвед лагьай,anden
649,dritter::A,пуд лагьай,tredje
650,letzter::A,эхиримжи,sidste
651,allein::ADV,кьилди,alene
652,zusammen::ADV,санал,sammen
653,lange::ADV,яргъалди,længe
654,plötzlich::ADV,садлагьана,pludselig
655,sofort::ADV,гьасятда,straks
656,später::ADV,гуьгъуьнлай,senere
657,jetzt::ADV,гила,nu
658,heute::ADV,къе,i dag
659,morgen::ADV,пака,i morgen
660,bald::ADV,мукьва,snart
661,bald::ADV,мукьвара,snart
662,dann::ADV,ахпа,så
663,gestern::ADV,накь,i går
664,einst::ADV,садра,engang
665,damals::ADV,а чӏавуз,dengang
666,danach::ADV,ахпа,derefter
667,vorher::ADV,вилик,før
668,vorher::ADV,вилик,forud
669,zuerst::ADV,сифте,først
670,einmal::ADV,садра,en gang
671,manchmal::ADV,гагь-гагь,sommetider
