,Concept_ID,uz,ta
85,Tropfen::N,tomchi,துளி
86,Schaum::N,ko'pik,நுரை
87,Schmutz::N,gard,அழுக்கு
88,See::N,ko'l,ஏரி
89,Sumpf::N,botqoq,சதுப்பு நிலம்
90,Moor::N,qir-adir,முட்புதற்காடு
91,Wiese::N,o'tzor,பசும் புல்தரை
92,Wald::N,o'rmon,காடு
93,Hügel::N,tepa,குன்று
94,Anhöhe::N,adir,பதுக்கை
95,Berg::N,tog',மலை
96,Gipfel::N,cho'qqi,உச்சி மாநாடு
97,Höhle::N,kavak,குகை
98,Abhang::N,to'sh,சரிவு
99,Quelle::N,buloq,மூலம்
100,Bach::N,o'zan,ஓடை
101,Fluss::N,daryo,ஆறு
102,Ufer::N,sohil,நீர்க்கரை
103,Küste::N,qirg'oq,கடற்கரை
104,Festland::N,materik,நிலம்
105,Meer::N,dengiz,கடல்
106,Bucht::N,qo'ltiq,சிறுகுடா
107,Insel::N,orol,தீவு
108,Blume::N,gul,பூ
109,Gras::N,sabza,புல்தரை
110,Wurzel::N,tub,வேர்
111,Wurzel::N,tomir,வேர்
112,Baum::N,daraxt,மரம்
113,Stamm::N,o'simta,அடிமரம்
114,Rinde::N,qobiq,பட்டை
115,Rinde::N,qobiq,மரப்பட்டை
116,Ast::N,shox,கினை
117,Zweig::N,butoq,குச்சி
118,Blatt::N,barg,இலை
119,Birke::N,qayin,பிர்ச் மரம்
120,Kiefer[Baum]::N,qarag'ay,தேவதாரு மரம்
121,Weide[Baum]::N,shum,மர வகைகளுள் ஒன்று
122,Tanne::N,archa,சாதிக்கய்
123,Horn::N,mugiz,கொம்பு
124,Feder::N,par,இறகு
125,Fell::N,mo'yna,மென்முடி
126,Flügel::N,qanot,இறக்கை
127,Klaue::N,tirnoq,நகம்
128,Kralle::N,tirnoq,நகம்
129,Schwanz::N,quyruq,வால்
130,Ei::N,tuxum,முட்டை
131,Nest::N,oshyon,கூடு
132,Bau::N,o'pqon,குகை
133,Tier::N,hayvon,விலங்கு
134,Herde::N,gala,கூட்டம்
135,Kuh::N,inak,பசு
136,Bulle::N,ho'kiz,காளை
137,Pferd::N,ot,குதிரை
138,Schaf::N,qo'y,செம்மறிஆடு
139,Schwein::N,cho'chqa,பன்றி
140,Hund::N,it,நாய்
141,Katze::N,mushuk,பூனை
142,Bär::N,ayiq,கரடி
143,Eichhörnchen::N,tiyin,அணில்
144,Elch::N,los,கடம்பை
145,Fuchs::N,tulki,நரி
146,Hase::N,kuyon,முயல்
147,Maus::N,sichqon,எலி
148,Wolf::N,bo'ri,ஓநாய்
149,Vogel::N,qush,பறவை
150,Schwarm::N,to'da,தொகுதி
151,Huhn::N,tovuq,கோழிக்குஞசு
152,Hahn::N,xo'roz,சேவல்
153,Gans::N,g'oz,பெண் வாத்து
154,Adler::N,burgut,பருநது
155,Ente::N,o'rdak,வாத்து
156,Eule::N,boyo'g'li,ஆந்தை
157,Kranich::N,turna,நாரை
158,Krähe::N,qarg'a,காகம்
159,Kuckuck::N,kakku,குயில்
160,Schwan::N,oqkush,அன்னம்
161,Fisch::N,baliq,மீன்
162,Barsch::N,olabug'a,பேர்ச்
163,Hecht::N,cho'rtan,கோலாச்சி மீன்
164,Schlange[Tier]::N,ilon,பாம்பு
165,Wurm::N,qurt,புழு
166,Spinne::N,o'rgimchak,சிலந்தி
167,Ameise::N,chumoli,எறும்பு
168,Laus::N,bit,பேன்
169,Mücke::N,chivin,கொசுவினப்பூச்சி
170,Fliege::N,pashsha,ஈ
171,Schmetterling::N,kapalak,வண்ணத்துப்பூச்சி
172,Beere::N,meva,சதைப்பழம்
173,Apfel::N,olma,ஆப்பிள பழம்
174,Pilz::N,qo'ziqorin,காளான்
175,Zwiebel::N,piyoz,வெங்காயம்
176,Saat::N,äkin,விதை
177,Korn::N,zarra,தானியம்
178,Heu::N,xashak,வைக்கோல்
179,Schale::N,po'choq,தோல்
180,Grube::N,co'ra,குழி
181,Falle::N,qopqon,பொறி
182,Schlinge::N,sirtmoq,கண்ணி
183,Spur::N,iz,சுவடு
184,Asche::N,kul,சாம்பல்
185,Dreck::N,kir,அழுக்கு
186,Eisen::N,temir,இரும்பு
187,Gold::N,tilla,தங்கம்
188,Silber::N,kumush,வெள்ளி
189,Kohle::N,ko'mir,நிலக்கரி
190,Glas::N,oyna,கண்ணாடி
191,Lehm::N,loy,களிமண்
192,Sand::N,qum,மணல்
193,Mensch::N,odam,மனிதர்கள்
194,Mann::N,ärkak,மனிதன்
195,Frau::N,ayol,பெண்
196,Kind::N,bola,குழந்தை
197,Kind::N,kichkintoy,குழந்தை
198,Junge::N,bola,பையன்
199,Mädchen::N,qiz,சிறுமி
200,Familie::N,oila,குடும்பம்
201,Großvater::N,buva,தாத்தா
202,Großvater::N,katta ota,தாத்தா
203,Großmutter::N,buvi,பாட்டி
204,Großmutter::N,katta oyi,பாட்டி
205,Eltern::N,ota-ona,பெற்றோர்
206,Vater::N,ota,தந்தை
207,Mutter::N,ona,தாய்
208,Sohn::N,o'g'il,மகன்
209,Tochter::N,qiz,மகள்
210,Bruder::N,og'a,சகோதரன்
211,Bruder::N,uka,சகோதரன்
212,Schwester::N,opa,அக்கா
213,Schwester::N,singil,அக்கா
214,Onkel::N,amaki,தாய் மாமன்
215,Tante::N,amma,அத்தை
216,Tante::N,xola,அத்தை
217,Ehemann::N,är,கணவன்
218,Ehefrau::N,rafiqa,மனைவி
219,Freude::N,ayish,கொண்டாட்டம்
220,Gelächter::N,kulgi,சிரிப்பு
221,Glück::N,saodat,மகிழ்ச்சி
222,Kummer::N,g'am,துயரம்
223,Wunsch::N,orzu,விருப்பம்
224,Lust::N,rag'bat,விருப்பம்
225,Geist::N,ruh,ஆன்மா
226,Gedanke::N,fikr,எண்ணம்
227,Gedächtnis::N,äs,ஞாபகம்
228,Verstand::N,aql,மனம்
229,Sinn::N,ma'ni,அர்த்தம்
230,Grund::N,sabab,காரணம்
231,Wahrheit::N,haq,உண்நை
232,Gespräch::N,gap,பெசு
233,Märchen::N,ärtak,நம்பத்தகாத கதை
234,Erzählung::N,rivoyat,கதை
235,Nachricht::N,xabar,செய்தி
236,Neuigkeit::N,yangilik,செய்தி
237,Name::N,ot,பெயர்
238,Rätsel::N,topishmoq,புதிர்
239,Rede::N,nutq,பேச்சு
240,Sprache::N,til,மொழி
241,Stimme::N,ovoz,குரல்
242,Wort::N,so'z,வார்த்தை
243,Zeichen::N,alomat,குறி
244,Ruf::N,chaqiriq,அழைப்பு
245,Lärm::N,taraq,சத்தம்
246,Laut::N,tovush,ஒலி
247,Ton::N,un,குரல்
248,Lied::N,ashula,பாட்டு
249,Ruhe::N,tinchlik,அமைதி
250,Leute::N,xaloyiq,மக்கள்
251,Volk::N,xalq,மக்கள்
252,Arbeit::N,ish,வேலை
253,Gast::N,mehmon,விருந்தாளி
254,Geschenk::N,hadya,பரிசுப் பொருள்
255,Spiel::N,o'yin,விளையாட்டு
256,Gesellschaft::N,jamiyat,சமுதாயம்
257,Hilfe::N,yordam,உதவி
258,Freund::N,do'st,நண்பன்
259,Kamerad::N,yo'ldosh,உடனிருப்பவன்
260,Angelegenheit::N,daxl,செய்தி
261,Anzahl::N,son,எண்ணிக்கை
262,Art::N,tur,வகை
263,Stück::N,parcha,துண்டம்
264,Teil::N,bo'lak,பகுதி
265,Hälfte::N,yarim,பாதி
266,Kreis::N,aylana,வட்டம்
267,Kreuz::N,xoch,சிலுவை
268,Linie::N,liniya,கோடு
269,Strich::N,chiziq,வாத நோய்
270,Abstand::N,oralik,இடைவெளி
271,Entfernung::N,uzoqlik,தூரம்
272,Gegend::N,yer,வட்டாரம்
273,Platz::N,oralig,வெற்றிடம்
274,Ort::N,joy,இடம்
275,Seite::N,yon,பக்கம்
276,Mitte::N,o'rta,இடைப்பகுதி
277,Gegenstand::N,ashyo,உருப்படி
278,Sache::N,buyum,பொருள்
279,Rand::N,chek,தொங்கு
280,Kante::N,tig',விளிம்பு
281,Ecke::N,burchak,மூலை
282,Spitze::N,uch,முனை
283,Ende::N,oxir,முடிவு
284,Loch::N,teshik,துளை
285,Winkel::N,go'sha,கோணம்
286,Muster::N,nusha,பாங்கு
287,Größe::N,kattalik,அளவு
288,Länge::N,uzunlik,நீளம்
289,Höhe::N,yuksaklik,உயரம்
290,Gewicht::N,solmoq,எடை
291,Menge::N,miqdor,தொகை
292,Haufen::N,uyum,குவியல்
293,Reihe::N,saf,வரிசை
294,Boot::N,qayiq,படகு
295,Ruder::N,äshkak,துடுப்பு
296,Schlitten::N,chana,சகடையிலா வண்டி
297,Ski::N,chang'i,பனிச் சறுக்கல்
298,Lagerfeuer::N,gulxan,மூட்டம்
299,Last::N,yuk,பாரம்
300,Gang::N,yurish,நடை
301,Schritt::N,qadam,காலடி
302,Norden::N,shimol,வடக்கு
303,Süden::N,janub,தெற்கு
304,Westen::N,g'arb,மேற்கு திசை
305,Osten::N,sharq,கிழக்கு
306,Holz::N,yog'och,மரக்கட்டை
307,Brett::N,taxta,பலகை
308,Platte::N,tabaqa,பலகம்
309,Stütze::N,tayanchi,அடைப்புகன்
310,Stange::N,qo'noq,கம்பம்
311,Stock::N,tayoq,குச்சி
312,Stab::N,gavron,கம்பு
313,Rohr::N,tarnov,குழாய்
314,Haus::N,uy,வீடு
315,Heim::N,makon,வீடு
316,Ofen::N,pechka,அடுப்பு
317,Fußboden::N,pol,தரை
318,Tisch::N,mosa,மேசை
319,Stuhl::N,o'rindiq,நாற்காலி
320,Wiege::N,beshik,தொட்டில்
321,Bett::N,yotoq,படுக்கை
322,Regal::N,tokcha,அலமாரி
323,Kiste::N,sandiq,பெட்டி
324,Fenster::N,deraza,சாளரம்
325,Tür::N,äshik,கதவு
326,Tor::N,darvoza,வாசற்கதவு
327,Zaun::N,panjara,வேலி
328,Dach::N,tom,கூரை
329,Leiter::N,narvon,ஏணி
330,Besen::N,supurgi,விளக்குமாறு
331,Spaten::N,bel,மண்வெட்டி
332,Schaufel::N,kurak,அடிதண்டா
333,Gabel::N,bilka,முட்கரண்டி
334,Löffel::N,qoshiq,கரண்டி
335,Messer::N,pichoq,கத்தி
336,Nagel::N,mix,ஆணி
337,Netz::N,to'r,வலை
338,Haken::N,ilgak,கொக்கி
339,Griff::N,sop,கைப்பிடி
340,Griff::N,tutqich,கைப்பிடி
341,Schloss::N,qulf,பூட்டு
342,Bild::N,rasm,படம்
343,Figur::N,shakl,எண்ணிக்கை
344,Puppe::N,ko'g'irchoq,பொம்மை
345,Beutel::N,to'rva,பை
346,Bündel::N,bog'lam,பொதி
347,Tasche::N,kissa,பை
348,Eimer::N,chelak,வாளி
349,Deckel::N,qopqoq,உறை
350,Geschirr::N,idish,பாத்திரம்
351,Sack::N,qop,பை
352,Tasse::N,piyola,கிண்ணம்
353,Topf::N,tuvak,பானை
354,Kessel::N,qozon,கெண்டி
355,Essen::N,tomoq,உணவருந்துதல்
356,Nahrung::N,emak,உணவு
357,Speise::N,taom,உணவு வகை
358,Fleisch::N,go'sht,இறைச்சி
359,Getreide::N,g'alla,மக்காச்சோளம்
360,Brei::N,bo'tqa,கஞ்சி
361,Brot::N,non,ரொட்டி
362,Scheibe::N,disk,துண்டு
363,Fett::N,moy,கொழுப்பு
364,Butter::N,yog',வெண்ணெய்
365,Öl::N,moy,எண்ணெய்
366,Salz::N,tuz,உப்பு
367,Suppe::N,sho'rva,ரசம்
368,Honig::N,asal,தேன்
369,Milch::N,sut,பால்
370,Tee::N,choy,தெனீர்
371,Leder::N,charm,பதம் செய்யப்பட்ட தோல்
372,Wolle::N,jun,கம்பளி
373,Stoff::N,mato,துணி
374,Nadel::N,igna,ஊசி
375,Faden::N,ip,நூல்
376,Knopf::N,tugma,பொத்தான்
377,Knoten::N,tugun,முடிச்சு
378,Farbe::N,bo'yok,வண்ணக் குழம்பு
379,Kleidung::N,kiyim,ஆடைகள்
380,Hemd::N,ko'ylak,சட்டை
381,Kragen::N,yoqa,கழுத்துப் பட்டை
382,Ärmel::N,yeng,சட்டைக்கை
383,Hose::N,shim,கால்சட்டை
384,Gürtel::N,tasma,பெல்ட்
385,Mütze::N,shapka,தொப்பி
386,Schuh::N,but,காலணி
387,Stiefel::N,botinka,காலணி
388,Ring::N,yuzuk,மோதிரம்
389,Band::N,rishta,நாடா
390,Kamm::N,taroq,கீப்பு
391,Spiegel::N,ko'zgu,ஆடி
392,Spiegel::N,ko'zgu,கண்ணாடி
393,Riemen::N,qayish,வார்
394,Schnur::N,bog'ich,கயிறு
395,Leine::N,etak,தோல்வார்
396,Decke::N,odyol,போர்வை
397,Kissen::N,yostiq,தலையணை
398,Tuch::N,gazlama,துணி
399,Handtuch::N,sochiq,தண்டு
400,Kraft::N,kuch,நிர்பந்தம்
401,Stärke::N,quvvat,பலம்
402,Gesundheit::N,sog'lik,ஆரோக்கியம்
403,Krankheit::N,kasallik,நோய்
404,Schmerz::N,og'riq,வலி
405,Wunde::N,yara,காயம்
406,Fieber::N,bezgak,காய்ச்சல்
407,Arznei::N,dori,மருந்து
408,Brücke::N,ko'prik,பாலம்
409,Brunnen::N,buloq,கேணி
410,Weide::N,yaylov,மேய்ச்சல் நிலம்
411,Pfad::N,dorojka,நடை வழி
412,Weg::N,yo'l,வழி
413,Straße::N,ko'cha,சாலை
414,Dorf::N,ovul,கிராமம்
415,Stadt::N,shahar,நகரம்
416,Brief::N,maktub,கடிதம்
417,Buch::N,kitob,புத்தகம்
418,Buchstabe::N,harf,எழத்து
419,Zeitung::N,gazet,செய்தித்தாள்
420,Leben::N,hayot,வாழ்க்கை
421,Tod::N,o'lim,மரணம்
422,Grab::N,go'r,சமாதி
423,Kirche::N,cherkov,தேவாலயம்
424,Sünde::N,gunoh,பாவம்
425,Gott::N,olloh,கடவுள்
426,Arbeiter::N,ishchi,தொழிலாளி
427,Chef::N,rais,மேலாளர்
428,Meister::N,usta,தலைவன்
429,Arzt::N,hakim,மருத்துவர்
430,Lehrer::N,muallim,ஆசிரியர்
431,Geld::N,pul,பணம்
432,Geschäft::N,savdo,வாணிபம்
433,Laden::N,do'kon,கடை
434,Preis::N,baho,விலை
435,Ware::N,mol,சாமன்கள்
436,Nutzen::N,foyda,இலாபம்
437,Reichtum::N,boylik,சொத்து
438,Welt::N,olam,உலகம்
439,Land::N,o'lka,நாடு
440,Staat::N,davlat,நாடு
441,König::N,qirol,அரசன்
442,Macht::N,iqtidor,அதிகாரம்
443,Grenze::N,chegara,எல்லை
444,Krieg::N,harb,போர்
445,Feind::N,dushman,எதிரி
446,Gewalt::N,zo'rlik,வன்முறை
447,Kampf::N,kurash,போராட்டம்
448,Bogen[Waffe]::N,yoy,வில்
449,Pfeil::N,o'q,அம்பு
450,Gewehr::N,vintovka,துப்பாக்கி
451,Fehler::N,xato,தவறு
452,Lüge::N,yolg'on,பொய்
453,Schaden::N,ziyon,சேதாரம்
454,Unglück::N,balo,இடையூறு
455,Schuld::N,ayb,குற்றம்
456,Alter::N,yosh,வயது
457,Schluss::N,tamom,முடிவு
458,Zeit::N,vaqt,காலம்
459,Tag::N,kun,நாள்
460,Morgen::N,saboh,காலை நேரம்
461,Mittag::N,kun tushlik,மதியம்
462,Abend::N,oqshom,மாலைப் பொழுது
463,Nacht::N,tun,இரவு
464,Woche::N,hafta,வாரம்
465,Monat::N,oy,மாதம்
466,Jahr::N,yil,வருடம்
467,Frühling::N,bahor,வசந்தம்
468,Sommer::N,yoz,கோடை
469,Herbst::N,kuz,இலையுதிர் காலம்
470,Herbst::N,xazon,இலையுதிர் காலம்
471,Winter::N,qish,குளிர்காலம்
472,Januar::N,yanvar',ஜனவரி
473,Februar::N,fevral',பிபரவரி மாதம்
474,März::N,mart,மார்ச் மாதம்
475,April::N,aprel',ஏப்ரல் மாதம்
476,Mai::N,may,மே மாதம்
477,Juni::N,iyun',ஜூன் மாதம்
478,Juli::N,iyul',ஜூலை மாதம்
479,August::N,avgust,ஆகஸ்ட் மாதம்
480,September::N,sentyabr',செப்டம்பர் மாதம்
481,Oktober::N,oktyabr',அக்டோபர் மாதம்
482,November::N,noyabr',நவம்பர் மாதம்
483,Dezember::N,dekabr',டிசம்பர்
484,Montag::N,dushanba,திங்கட் கிழமை
485,Dienstag::N,seshanba,செவ்வாய்க்கிழமை
486,Mittwoch::N,chorshanba,புதன் கிழமை
487,Donnerstag::N,payshanba,வியாழக் கிழமை
488,Freitag::N,juma,வெள்ளிக்கிழமை
489,Samstag::N,shanba,சனிக்கிழமை
490,Sonntag::N,yakshanba,ஞாயிறுக் கிழமை
491,groß::A,buyuk,பெரிய
492,klein::A,kichik,சிறிய
493,lang::A,uzun,நீண்ட
494,kurz::A,qisqa,குட்டையான
495,breit::A,keng,அகலமான
496,schmal::A,änsiz,குறுகலான
497,dicht::A,quyuq,அடர்த்தியான
498,dick[Gegenstand]::A,qalin,தடித்த
499,dünn::A,ingichka,சன்னமான
500,fein::A,mayin,மெல்லிய
501,fest::A,qattiq,உறுதியாள
502,flach::A,yalpoq,தட்டையான
503,glatt::A,tekis,வழுவழுப்பான
504,hart::A,qattiq,கடினமான
505,weich::A,yumshoq,மென்மையான
506,rund::A,yumaloq,உருண்டையான
507,spitz::A,uchli,திகந்தமாக
508,scharf::A,keskir,கூரான
509,stumpf::A,to'mtoq,உளம் திறந்த
510,schwer::A,salmoqli,கனமான
511,schön::A,go'zal,அழகான
512,heiß::A,qiziq,சூடான
513,warm::A,issiq,இதமான
514,kalt::A,sovuq,குளிர்ச்சியான
515,kühl::A,salqin,குளிர்ச்சியான
516,frisch::A,toza,சுத்தமான
517,feucht::A,namli,ஈரமான
518,nass::A,nam,ஈரமான
519,trocken::A,quruq,உலர்ந்த
520,voll::A,to'la,நிரம்பிய
521,leer::A,puch,காலியான
522,offen::A,ochiq,திறந்த
523,geschlossen::A,berk,மூடப்பட்ட
524,sauber::A,ozoda,சுத்தமான
525,schmutzig::A,kir,அழக்கான
526,roh::A,xom,கச்சா
527,reif::A,pishiq,பழுத்த
528,lecker::A,shirin,சுவைமிக்க
529,süß::A,shirin,இனிப்பான
530,bitter::A,achchiq,கசப்பான
531,sauer::A,achchiq,புளிப்பாக
532,hell::A,yorug',பளபளப்பான
533,dunkel::A,qorong'i,கருமையான
534,schwarz::A,qora,கருப்பு வண்ண
535,weiß::A,oq,வெண்மையன
536,rot::A,qizil,சிவப்பு
537,gelb::A,sariq,மஞ்சள் வண்ணம்
538,blau::A,zangori,நீல வண்ண
539,grün::A,yashil,பச்சை வண்ண
540,grau::A,bo'z,சாம்பல் நிற
541,bunt::A,ola,வண்ண மயமான
542,billig::A,arzon,மலிவான
543,teuer::A,qimmat,விலை அதிகமான
544,wertvoll::A,qimmat,மதிப்புள்ள
545,blind::A,ko'r,பார்வையற்ற
546,taub::A,garang,செவிடான
547,kräftig::A,kuchli,வலிமையான
548,stark::A,quvvatli,பலமான
549,schwach::A,kuchsiz,பலவீனமான
550,fett::A,semiz,பருமனாக
551,schlank::A,ingichka,ஒல்லியான
552,hübsch::A,ko'rkam,அழகிய
553,böse::A,yovuz,கேடு விளைவிக்கும்
554,dumm::A,aqlsiz,முட்டாள்தனமான
555,faul::A,ärinchak,சோம்பலான
556,fleißig::A,ishchan,ஊக்கந்தளராத
557,geizig::A,qurumsoq,கஞேசத்தனமான
558,klug::A,oqil,சாதுரியமான
559,geschickt::A,äpchil,திறமையள்ள
560,lieb::A,aziz,அன்புக்குரிய
561,lustig::A,chaqchaq,களிப்புமிக்க
562,sanft::A,asta,சாதுவான
563,hungrig::A,och,பசியுடன்
564,krank::A,kasal,நோயுற்று
565,nackt::A,yalang,ஆடையற்ற
566,traurig::A,xafa,சோகமான
567,lebendig::A,hayotiy,பிழைப்பு
568,gut::A,soz,நல்ல
569,schlecht::A,yomon,கெட்ட
570,richtig::A,rost,சரியான
571,schlimm::A,yovuz,அருவருப்பான
572,wahr::A,haqiqiy,உண்மையான
573,alt::A,äski,பழைய
574,neu::A,yangi,புதிய
575,ehemalig::A,sobiq,முன்நாள்
576,alt[Lebewesen]::A,qari,வயதான
577,jung::A,navqiron,இளமையான
578,arm::A,abgor,ஏழ்மையான
579,reich::A,boy,செல்வம் படைத்த
580,bekannt::A,ma'lum,பழக்கப்பட்ட
581,berühmt::A,mashhur,புகழ்பெற்ற
582,fremd::A,yot,அயல் நாட்டு
583,verschieden::A,turli,வித்தியாசமான
584,nah::A,yaqindagi,பக்கத்தில் உள்ள
585,fern::A,uzoq,தொலை தூரத்தில்
586,linker::A,so'l,மீந்திருக்கும்
587,rechter::A,o'ng,வலதுபக்கம்
588,anderer::A,boshqa,மற்ற
589,erster::A,birinchi,முதனமையான
590,zweiter::A,ikkinchi,இரண்டாவது
591,dritter::A,uchinchi,மூன்றாவது
592,letzter::A,oxirgi,கடைசி
593,allein::ADV,o'zicha,தனியாக
594,auf einmal::ADV,varakay,தடீரென்று
595,zusammen::ADV,barobar,சேர்ந்து
596,lange::ADV,uzoq,அதிக நோம்
597,plötzlich::ADV,qo'qqisdan,தடீரென்று
598,sofort::ADV,darrov,உடனடியாக
599,später::ADV,so'ngra,பிறகு
600,jetzt::ADV,hozirgina,இப்பொழது
601,heute::ADV,bugun,இன்று
602,morgen::ADV,ärta,நாளைக்கு
603,bald::ADV,toz,சீக்கிரம்
604,dann::ADV,keyin,அப்பொழுது
605,gestern::ADV,kecha,நேற்று
606,einst::ADV,avvallari,ஒரே முறை
607,damals::ADV,ugal,அப்பொழுது
608,danach::ADV,so'ngra,பிற்பாடு
609,vorher::ADV,avval,முன்பாக
610,zuerst::ADV,avval,முதலில்
611,einmal::ADV,bir marta,ஒரே முறை
612,manchmal::ADV,onda-sonda,சில நேரங்களில்
613,oft::ADV,tez-tez,அடிக்கடி
614,immer::ADV,har vaqt,எப்பொழுதும்
615,niemals::ADV,hargiz,ஒருபோதும் இல்லை
616,hier::ADV,shu erda,இங்கே
617,hierhin::ADV,beri,இவ்விடத்திற்கு
618,von hier::ADV,shu erdan,இனி
619,dort::ADV,ana,அங்கே
620,dorthin::ADV,u yerga,அவ்விடத்திற்கு
621,geradeaus::ADV,to'g'ri,முன்னாலிருக்கும்
622,vorwärts::ADV,ilgari,முன்புறமாக
623,rückwärts::ADV,qoloq,பின்னோக்கி
624,zurück::ADV,orqada,பின்பக்கம்
625,unten::ADV,pastda,கீழாக
626,hinab::ADV,tubanga,கீழ் நோக்கி
627,oben::ADV,ustida,மேலே
628,hinauf::ADV,yuqorida,மேலே
629,überall::ADV,har erda,எல்லா இடத்திலும்
630,nicht::ADV,ämas,இல்லை
631,ein wenig::ADV,biroz,கொஞ்சம்
632,kaum::ADV,arang,அரிதாக
633,sehr::ADV,ancha,மிக்க
634,so::ADV,shunday,மிகவும்
635,noch::ADV,hali,இப்பொழுதும்
636,nur::ADV,yolg'iz,மட்டும்
637,schon::ADV,endi,ஏற்கனவே
638,wieder::ADV,yana,மறுபடியும்
639,vergebens::ADV,bekorga,வீண்
640,vor::PRP,burun,முன்
641,hinter::PRP,ketida,பின்பக்கம்
642,unter::PRP,ostida,கீழே
643,durch::PRP,bo'ylab,ஊடே
644,neben::PRP,yonida,அடுத்து
645,zwischen::PRP,orada,இடையில்
646,wegen::PRP,sababli,ஏனெனில்
647,dies::PRN,o'sha,இது
648,das::PRN,narigi,அது
649,alles::PRN,har nima,ஒவ்வொன்றும்
650,ich::PRN,men,நான்
651,du::PRN,sen,நீ
652,er::PRN,u,அவன்
653,wir::PRN,biz,நாம்
654,wir::PRN,biz,நாங்கள்
655,ihr::PRN,siz,நீங்கள்
656,sie::PRN,ular,அவர்கள்
657,was::FPRN,nima,என்ன
658,wer::FPRN,kim,யார்
659,wo::FADV,qaerda,எங்கே
660,wohin::FADV,qayerga,எதற்கு
661,wie::FADV,qanday,எப்படி
662,warum::FADV,nega,ஏன்
663,wieviel::FNUM,qancha,எவ்வளவு
664,eins::NUM,bir,ஒன்று
665,zwei::NUM,ikki,இரண்டு
666,drei::NUM,uch,மூன்று
667,vier::NUM,to'rt,நான்கு
668,fünf::NUM,besh,ஐந்து
669,sechs::NUM,olti,ஆறு
670,sieben::NUM,etti,ஏழு
671,acht::NUM,sakkiz,எட்டு
672,neun::NUM,to'qqiz,ஒன்பது
673,zehn::NUM,o'n,பத்து
674,elf::NUM,o'n bir,பதினொன்று
675,zwölf::NUM,o'n ikki,பன்னிரண்டு
676,zwanzig::NUM,yigirma,இருபது
