,Concept_ID,et,te
102,Wald::N,mets,అడవి
103,Hügel::N,küngas,చివ్నకొండ
104,Anhöhe::N,küngas,కొండ
105,Berg::N,mägi,పర్వతము
106,Gipfel::N,mäetipp,శిఖరము
107,Höhle::N,koobas,గుహ
108,Abhang::N,nõlvak,ఏటవాలు
109,Quelle::N,allikas,మూలము
110,Bach::N,oja,కాలువ
111,Fluss::N,jõgi,నది
112,Ufer::N,kallas,తీరము
113,Küste::N,rannik,తీరము
114,Festland::N,mander,భూమి
115,Festland::N,maismaa,భూమి
116,Meer::N,meri,సముద్రము
117,Bucht::N,laht,మరుగు
118,Insel::N,saar,దీవి
119,Blume::N,lill,పుష్పము
120,Gras::N,rohi,పచ్చగడ్డి
121,Wurzel::N,juur,వేరు
122,Baum::N,puu,చెట్టు
123,Stamm::N,tüvi,చెట్టుబోదె
124,Rinde::N,koor,చెట్టుపట్ట
125,Ast::N,oks,కొమ్మ
126,Zweig::N,oks,చివుకు
127,Blatt::N,leht,ఆకు
128,Birke::N,kask,తరహా చెట్టు
129,Kiefer[Baum]::N,mänd,దేవదారు చెట్టు
130,Weide[Baum]::N,paju,జాతిచెట్టు
131,Tanne::N,nulg,దేవదారుచెట్టు
132,Horn::N,sarv,కొమ్ము
133,Feder::N,sulg,ఈక
134,Fell::N,karvkate,తోలు
135,Fell::N,karusnahk,తోలు
136,Flügel::N,tiib,ఱెక్క
137,Flügel::N,tiivik,ఱెక్క
138,Klaue::N,küüs,వంకరగోరు
139,Kralle::N,küünis,వంకరగోరు
140,Schwanz::N,saba,తోక
141,Ei::N,muna,గ్రుడ్డు
142,Nest::N,pesa,పక్షిగూడు
143,Bau::N,urg,గుహ
144,Tier::N,loom,జంతువు
145,Herde::N,kari,మంద
146,Kuh::N,lehm,ఆవు
147,Bulle::N,pull,గిత్త
148,Pferd::N,hobune,గుఱ్ఱము
149,Schaf::N,lammas,గొఱ్ఱె
150,Schwein::N,siga,పంది
151,Hund::N,koer,కుక్క
152,Katze::N,kass,పిల్లి
153,Bär::N,karu,ఎలుగుబంటి
154,Eichhörnchen::N,orav,ఉడుత
155,Elch::N,põder,కణంజు
156,Fuchs::N,rebane,గుంటనక్క
157,Hase::N,jänes,కుందేలు
158,Maus::N,hiir,చిట్టెలుక
159,Wolf::N,hunt,తోడేలు
160,Vogel::N,lind,పక్షి
161,Schwarm::N,parv,గుంపు
162,Huhn::N,kana,కోడిపిల్ల
163,Hahn::N,kukk,కోడివుంజు
164,Gans::N,hani,ఆడుబాతు
165,Adler::N,kotkas,గ్రద్ద
166,Ente::N,part,పాట్టిబాతు
167,Eule::N,kakk,గ్రుడ్లగూబ
168,Eule::N,öökull,గ్రుడ్లగూబ
169,Kranich::N,kurg,కొంగ
170,Krähe::N,vares,కాకి
171,Kuckuck::N,kägu,కోయల
172,Schwan::N,luik,హంస
173,Fisch::N,kala,చేప
174,Barsch::N,ahven,ఒకచేఁప
175,Hecht::N,haug,గండుమీను
176,Schlange[Tier]::N,uss,పాము
177,Wurm::N,uss,పురుగు
178,Wurm::N,vagel,పురుగు
179,Spinne::N,ämblik,సాలె పురుగు
180,Ameise::N,sipelgas,చీమ
181,Laus::N,täi,పేను
182,Mücke::N,sääsk,చీకటీగ
183,Fliege::N,kärbes,ఈగ
184,Schmetterling::N,liblikas,సీతాకోకచిలుక
185,Beere::N,mari,కాయ
186,Apfel::N,õun,ఆపిల్ పండు
187,Pilz::N,seen,కుక్కగొడుగు
188,Zwiebel::N,sibul,నీరుల్లి
189,Saat::N,seeme,విత్తనము
190,Korn::N,iva,గింజ
191,Korn::N,tera,గింజ
192,Heu::N,hein,ఎండుగడ్డి
193,Schale::N,koor,పొట్టు
194,Grube::N,kaevand,గొయ్యి
195,Falle::N,lõks,బోను
196,Falle::N,püünis,బోను
197,Schlinge::N,aas,ఉరి
198,Spur::N,jälg,జాడ
199,Asche::N,tuhk,బూడిద
200,Dreck::N,saast,ముఱికి
201,Dreck::N,mustus,ముఱికి
202,Eisen::N,raud,ఇనుము
203,Gold::N,kuld,బంగారము
204,Silber::N,hõbe,వెండి
205,Kohle::N,süsi,నేలబొగ్గు
206,Glas::N,klaas,గాజు
207,Lehm::N,savi,బంకమన్ను
208,Sand::N,liiv,ఇసుక
209,Mensch::N,inimene,నరుడు
210,Mann::N,mees,పురుమడు
211,Frau::N,naine,ఆడుది
212,Kind::N,laps,బిడ్డ
213,Junge::N,poiss,బాలుడు
214,Mädchen::N,tüdruk,బాలిక
215,Familie::N,perekond,కుటుంబము
216,Großvater::N,vanaisa,తాత
217,Großmutter::N,vanaema,అయ్యమ్మ
218,Eltern::N,vanemad,తల్లితండ్రులు
219,Vater::N,isa,తండ్రి
220,Mutter::N,ema,తల్లి
221,Sohn::N,poeg,కొడుకు
222,Tochter::N,tütar,కూతురు
223,Bruder::N,vend,పోదరుడు
224,Schwester::N,õde,సోదరి
225,Onkel::N,onu,మేనమామ
226,Tante::N,tädi,మేనత్త
227,Tante::N,tädi,పినతల్లి
228,Ehemann::N,mees,భర్త
229,Ehemann::N,abikaasa,భర్త
230,Ehefrau::N,naine,భార్య
231,Ehefrau::N,abikaasa,భార్య
232,Freude::N,rõõm,సంతోషము
233,Gelächter::N,naer,నవ్వు
234,Glück::N,õnn,సంతోషము
235,Kummer::N,mure,దుఃఖము
236,Kummer::N,kurbus,దుఃఖము
237,Wunsch::N,soov,కోరిక
238,Lust::N,himu,కోరిక
239,Geist::N,vaim,ఆత్మ
240,Gedanke::N,mõte,ఆలోచన
241,Gedächtnis::N,mälu,జ్ఞాపకము
242,Verstand::N,aru,మనస్సు
243,Verstand::N,mõistus,మనస్సు
244,Sinn::N,tähendus,అర్థము
245,Grund::N,põhjus,కారణము
246,Wahrheit::N,tõde,సత్యము
247,Gespräch::N,kõne,పంభాషణ
248,Gespräch::N,vestlus,పంభాషణ
249,Märchen::N,muinasjutt,అద్భుతకథ
250,Erzählung::N,jutustus,కథ
251,Nachricht::N,teade,వార్త
252,Neuigkeit::N,uudis,వార్త
253,Name::N,nimi,పేరు
254,Rätsel::N,mõistatus,చిక్కు
255,Rede::N,kõne,ఉపన్యాసము
256,Sprache::N,keel,భాష
257,Stimme::N,hääl,కంరథ్సని
258,Wort::N,sõna,మాట
259,Zeichen::N,märk,గుర్తు
260,Ruf::N,hüüe,పిలువు
261,Lärm::N,müra,సందడి
262,Laut::N,hääl,ధ్వని
263,Ton::N,toon,స్వరము
264,Lied::N,laul,పాట
265,Ruhe::N,rahu,గాలిలేమి
266,Ruhe::N,vaikus,గాలిలేమి
267,Leute::N,inimesed,జనులు
268,Volk::N,rahvas,జాతి
269,Arbeit::N,töö,పని
270,Gast::N,külaline,అతిధి
271,Geschenk::N,kingitus,దానము
272,Spiel::N,mäng,ఆట
273,Gesellschaft::N,selts,జట్టు
274,Hilfe::N,abi,సాహాయ్యము
275,Freund::N,sõber,స్నేహితుడు
276,Kamerad::N,sõber,చెలికాడు
277,Angelegenheit::N,asi,విషయము
278,Anzahl::N,arv,లెక్క
279,Anzahl::N,hulk,లెక్క
280,Art::N,liik,జాతి
281,Stück::N,tükk,తునుక
282,Teil::N,osa,భాగము
283,Hälfte::N,pool,సగము
284,Kreis::N,ring,వృత్తము
285,Kreuz::N,rist,సిలువ
286,Linie::N,joon,గీత
287,Strich::N,joon,గీత
288,Abstand::N,vahe,సందు
289,Entfernung::N,kaugus,దూరము
290,Entfernung::N,vahemaa,దూరము
291,Gegend::N,ümbrus,విస్తీర్ణము
292,Platz::N,ruum,ఎడము
293,Ort::N,paik,స్థలము
294,Seite::N,pool,ప్రక్క
295,Mitte::N,keskpaik,నడిమి
296,Gegenstand::N,ese,పద్దు
297,Sache::N,ese,వస్తువు
298,Rand::N,äär,అంచు
299,Rand::N,serv,అంచు
300,Kante::N,kant,అంచు
301,Ecke::N,nurk,మూల
302,Spitze::N,teravik,మొన
303,Ende::N,ots,కొన
304,Ende::N,jupp,కొన
305,Loch::N,auk,రంధ్రము
306,Winkel::N,nurk,కోణము
307,Muster::N,muster,మాదిరి
308,Größe::N,suurus,పరిమాణము
309,Länge::N,pikkus,పొడుగు
310,Höhe::N,kõrgus,పొడుగు
311,Gewicht::N,kaal,భారము
312,Gewicht::N,raskus,భారము
313,Menge::N,arv,మొత్తము
314,Menge::N,hulk,మొత్తము
315,Haufen::N,hunnik,రాశి
316,Reihe::N,rivi,వరుస
317,Boot::N,paat,పడవ
318,Ruder::N,aer,అడక
319,Schlitten::N,saan,సరవండ్లు
320,Ski::N,suusk,స్కీ
321,Lagerfeuer::N,lõke,నెగడు
322,Last::N,koorem,బరువు
323,Gang::N,käik,నడక
324,Schritt::N,samm,అడుగు
325,Norden::N,põhi,ఉత్తరదిక్కు
326,Süden::N,lõuna,దక్షిణము
327,Westen::N,lääs,పడమర
328,Osten::N,ida,తూర్పు
329,Holz::N,puu,కొయ్య
330,Brett::N,saelaud,పలక
331,Platte::N,plaat,పలక
332,Stütze::N,tugi,వాల్సేడ్లు
333,Stange::N,latt,స్తంభము
334,Stange::N,teivas,స్తంభము
335,Stock::N,kepp,కఱ్ఱ
336,Stab::N,varras,కఱ్ఱ
337,Rohr::N,toru,గొట్టము
338,Haus::N,maja,ఇల్లు
339,Heim::N,kodu,స్వగృహము
340,Ofen::N,ahi,పొయ్యి
341,Fußboden::N,põrand,నేల
342,Tisch::N,laud,మేజా
343,Stuhl::N,tool,కుర్చీ
344,Wiege::N,häll,ఉయ్యాల
345,Wiege::N,kätki,ఉయ్యాల
346,Bett::N,voodi,పడక
347,Bett::N,voodi,మంచం
348,Regal::N,riiul,అటక
349,Kiste::N,kast,వెట్టె
350,Fenster::N,aken,కిటికి
351,Tür::N,uks,ద్వారము
352,Tor::N,värav,ద్వారము
353,Zaun::N,aed,కంచె
354,Zaun::N,tara,కంచె
355,Dach::N,katus,ఇంటివైకప్పు
356,Leiter::N,redel,నిచ్చెన
357,Besen::N,luud,చీపురుకట్ట
358,Spaten::N,labidas,పాఱ
359,Schaufel::N,kühvel,పాఱ
360,Gabel::N,kahvel,ముండ్లగరిటె
361,Löffel::N,lusikas,గరిటె
362,Messer::N,nuga,కత్తి
363,Nagel::N,nael,మేకు
364,Netz::N,võrk,వల
365,Haken::N,haak,కొక్కెము
366,Haken::N,konks,కొక్కెము
367,Griff::N,sang,పిడి
368,Griff::N,käepide,పిడి
369,Schloss::N,lukk,తాళము
370,Bild::N,pilt,చిత్రము
371,Figur::N,kuju,రూపము
372,Figur::N,kujund,రూపము
373,Puppe::N,nukk,బొమ్మ
374,Beutel::N,paun,సంచి
375,Bündel::N,kimp,మూట
376,Tasche::N,kott,సంచి
377,Eimer::N,pang,చేద
378,Eimer::N,ämber,చేద
379,Deckel::N,kaas,మూత
380,Geschirr::N,nõud,వంటకాలు
381,Sack::N,kott,గోనెసంచి
382,Tasse::N,tass,గిన్నె
383,Topf::N,pada,కుండ
384,Kessel::N,pada,నీరుకాచుపాత్ర
385,Essen::N,söök,ఆహారము
386,Nahrung::N,toit,ఆహారము
387,Speise::N,roog,ఆహారము
388,Fleisch::N,liha,మాంసము
389,Getreide::N,teravili,ధాన్యము
390,Brei::N,puder,గుజ్జు
391,Brot::N,sai,రొట్టె
392,Brot::N,leib,రొట్టె
393,Scheibe::N,viil,బద్ద
394,Scheibe::N,viilukas,బద్ద
395,Fett::N,rasv,క్రొవ్వు
396,Butter::N,või,వెన్న
397,Öl::N,õli,నూనె
398,Salz::N,sool,ఉప్పు
399,Suppe::N,supp,చారు
400,Honig::N,mesi,తెనె
401,Milch::N,piim,పాలు
402,Tee::N,tee,తేనీరు
403,Leder::N,nahk,బాగుచేసివతోలు
404,Wolle::N,vill,ఉన్ని
405,Stoff::N,kangas,బట్ట
406,Nadel::N,nõel,సూది
407,Faden::N,niit,దారము
408,Knopf::N,nööp,బొత్తాము
409,Knoten::N,sõlm,ముడి
410,Farbe::N,värv,రంగు
411,Kleidung::N,riided,బట్టలు
412,Kleidung::N,riietus,బట్టలు
413,Hemd::N,särk,చొక్కాయ
414,Kragen::N,krae,మాల
415,Ärmel::N,varrukas,చొక్కాయచెయ్యి
416,Hose::N,püksid,ఇజారు
417,Gürtel::N,vöö,పటకా
418,Mütze::N,müts,టోపి
419,Schuh::N,king,పాదరక్ష
420,Stiefel::N,saabas,బూటు
421,Ring::N,sõrmus,ఉంగరము
422,Band::N,lint,నాడా
423,Kamm::N,kamm,దువ్వెన
424,Spiegel::N,peegel,అద్దము
425,Riemen::N,rihm,వాడా
426,Schnur::N,nöör,దారము
427,Leine::N,jalutusrihm,వారు
428,Decke::N,tekk,కంబళి
429,Kissen::N,padi,తలగడ
430,Tuch::N,kalev,బట్ట
431,Handtuch::N,käterätik,తువాలు
432,Kraft::N,jõud,బలము
433,Stärke::N,tugevus,శక్తి
434,Gesundheit::N,tervis,ఆరోగ్యము
435,Krankheit::N,haigus,రోగము
436,Schmerz::N,valu,నొప్పి
437,Wunde::N,haav,గాయము
438,Fieber::N,palavik,జ్వరము
439,Arznei::N,ravim,మందు
440,Brücke::N,sild,వంతెన
441,Brunnen::N,kaev,బావి
442,Brunnen::N,kaev,కూపము
443,Brunnen::N,kaev,నుయ్యి
444,Weide::N,karjamaa,పచ్చికబయలు
445,Pfad::N,rada,కాలిత్రోవ
446,Weg::N,tee,మార్గము
447,Straße::N,tee,బాట
448,Dorf::N,küla,గ్రామము
449,Stadt::N,linn,పట్టణము
450,Brief::N,kiri,జాబు
451,Buch::N,raamat,పుస్తకము
452,Buchstabe::N,täht,అక్షరము
453,Zeitung::N,ajaleht,వార్తాపత్రిక
454,Leben::N,elu,ప్రాణము
455,Tod::N,surm,మరణము
456,Grab::N,haud,సమాధి
457,Kirche::N,kirik,క్రెస్తవులగుడి
458,Sünde::N,patt,పాపము
459,Gott::N,jumal,దేవుడు
460,Arbeiter::N,tööline,పనిపాటుచేశేవాడు
461,Chef::N,ülemus,యజమానుడు
462,Chef::N,juhataja,యజమానుడు
463,Meister::N,meister,కళాకారుడు
464,Arzt::N,arst,వైద్యుడు
465,Lehrer::N,õpetaja,ఉపాధ్యాయుడు
466,Geld::N,raha,ద్రవ్యము
467,Geschäft::N,äri,వ్యాపారము
468,Laden::N,pood,అంగడి
469,Laden::N,kauplus,అంగడి
470,Preis::N,hind,వెల
471,Ware::N,kaup,సరకులు
472,Nutzen::N,tulu,ప్రయోజనము
473,Nutzen::N,kasulikkus,ప్రయోజనము
474,Reichtum::N,rikkus,ధనము
475,Welt::N,maailm,ప్రపంచము
476,Land::N,maa,దేశము
477,Staat::N,riik,రాజ్యము
478,König::N,kuningas,రాజు
479,Macht::N,võim,అధికారము
480,Grenze::N,piir,సరిహద్దు
481,Krieg::N,sõda,యుద్ధము
482,Feind::N,vaenlane,శత్రువు
483,Gewalt::N,väevõim,దౌర్జన్యము
484,Kampf::N,võitlus,పోట్లాట
485,Bogen[Waffe]::N,vibu,విల్లు
486,Pfeil::N,nool,బాణము
487,Gewehr::N,püss,తుపాకి
488,Fehler::N,viga,తప్ప
489,Lüge::N,vale,అసత్యము
490,Schaden::N,kahju,నష్టము
491,Unglück::N,häda,దురదృష్టము
492,Unglück::N,õnnetus,దురదృష్టము
493,Schuld::N,süü,తప్పు
494,Alter::N,iga,వయస్సు
495,Schluss::N,lõpp,ముగింపు
496,Zeit::N,aeg,కాలము
497,Tag::N,päev,దినము
498,Morgen::N,hommik,ఉదయము
499,Mittag::N,lõuna,మధ్యాహ్నము
500,Mittag::N,keskpäev,మధ్యాహ్నము
501,Abend::N,õhtu,సాయంకాలము
502,Nacht::N,öö,రత్రి
503,Woche::N,nädal,వారము
504,Monat::N,kuu,నెల
505,Jahr::N,aasta,సంవత్సరము
506,Frühling::N,kevad,వసంతకాలము
507,Sommer::N,suvi,వేసవికాము
508,Herbst::N,sügis,ఆకురాలుకాలము
509,Winter::N,talv,శీతకాలము
510,Januar::N,jaanuar,జనవరి
511,Februar::N,veebruar,ఫిబ్రవరి
512,März::N,märts,మార్చి
513,April::N,aprill,ఏప్రిలు
514,Mai::N,mai,మే
515,Juni::N,juuni,జూన్
516,Juli::N,juuli,జూలై
517,August::N,august,ఆగస్టు
518,September::N,september,సెప్ఠెంబరు
519,Oktober::N,oktoober,అక్టోబరు
520,November::N,november,నవంబరు
521,Dezember::N,detsember,డిసెంబర్
522,Montag::N,esmaspäev,సోమవారము
523,Dienstag::N,teisipäev,మంగళవారము
524,Mittwoch::N,kesknädal,బుధవారము
525,Donnerstag::N,neljapäev,గురువారము
526,Freitag::N,reede,శుక్రవారము
527,Samstag::N,laupäev,శనివారము
528,Sonntag::N,pühapäev,ఆదివారము
529,groß::A,suur,గొప్పైన
530,klein::A,väike,చిన్న
531,klein::A,pisike,చిన్న
532,lang::A,pikk,పొడుగాటి
533,kurz::A,lühike,పొట్టి
534,breit::A,lai,వెడల్పైన
535,schmal::A,kitsas,ఇఱుకైన
536,dicht::A,tihe,దట్టమైన
537,dick[Gegenstand]::A,jäme,దట్టమైన
538,dünn::A,õhuke,పలుచని
539,dünn::A,peenike,పలుచని
540,fein::A,peen,నాజాకైన
541,fein::A,õhuke,నాజాకైన
542,fest::A,püsiv,దృడమైవ
543,fest::A,kindel,దృడమైవ
544,flach::A,lame,చదువైన
545,flach::A,tasane,చదువైన
546,glatt::A,sile,నున్నని
547,hart::A,kõva,కఠినమైన
548,weich::A,pehme,మృదువైన
549,rund::A,ümar,గుండ్రని
550,spitz::A,torkav,మొనగల
551,scharf::A,terav,పదనైన
552,stumpf::A,nüri,వాడిలేని
553,schwer::A,raske,బరువ్తెన
554,schön::A,kena,సుందరమైన
555,heiß::A,kuum,వేడియైన
556,heiß::A,palav,వేడియైన
557,warm::A,soe,వెచ్చని
558,kalt::A,külm,చల్లని
559,kühl::A,jahe,చల్లని
560,frisch::A,värske,తాజాయైన
561,feucht::A,niiske,చెమ్మగానున్న
562,nass::A,märg,తడిగామన్న
563,trocken::A,kuiv,ఎండిన
564,voll::A,täis,నిండు
565,leer::A,tühi,శూన్యమైన
566,offen::A,avatud,తెఱచియున్న
567,offen::A,lahtine,తెఱచియున్న
568,geschlossen::A,suletud,మూసిన
569,sauber::A,puhas,పరిశుద్ధమైన
570,schmutzig::A,räpane,ముఱికియైన
571,schmutzig::A,määrdunud,ముఱికియైన
572,roh::A,toores,పచ్చి
573,reif::A,küps,పండివ
574,lecker::A,hõrk,రుచి గల
575,lecker::A,maitsev,రుచి గల
576,süß::A,magus,తియ్యని
577,bitter::A,mõru,చేదైన
578,sauer::A,hapu,పుల్లని
579,hell::A,hele,కాంతిగల
580,dunkel::A,pime,చీకటియైన
581,schwarz::A,must,నల్లని
582,weiß::A,valge,తెలుపు
583,rot::A,punane,ఎఱ్ఱని
584,gelb::A,kollane,పసుపు పచ్చ
585,blau::A,sinine,నీలవర్ణము
586,grün::A,roheline,ఆకుపచ్చని
587,grau::A,hall,నెరిసిన
588,bunt::A,kirju,రంగేలీ
589,bunt::A,värviline,రంగేలీ
590,billig::A,odav,చౌకయైన
591,teuer::A,kallis,వెలపొడుగైన
592,wertvoll::A,väärtuslik,విలుప్తెన
593,blind::A,pime,గ్రుడ్డి
594,taub::A,kurt,చెవిటి
595,kräftig::A,jõuline,శక్తి గల
596,stark::A,tugev,బలమైన
597,schwach::A,nõrk,బలహీనమైన
598,schwach::A,jõuetu,బలహీనమైన
599,fett::A,rasvane,క్రొవ్విన
600,schlank::A,sale,సన్నని
601,hübsch::A,kena,సాగప్తెన
602,böse::A,tige,చెడ్డ
603,dumm::A,juhm,తెలివిలేని
604,dumm::A,rumal,తెలివిలేని
605,faul::A,laisk,సోమరియైన
606,fleißig::A,virk,శ్రద్దగల
607,fleißig::A,hoolas,శ్రద్దగల
608,geizig::A,ihne,పిసినారియైన
609,klug::A,tark,తెలివిగల
610,klug::A,arukas,తెలివిగల
611,klug::A,mõistlik,తెలివిగల
612,geschickt::A,osav,నిపుణతగల
613,lieb::A,armas,ప్రియమైన
614,lustig::A,lõbus,ఉల్లాసము గల
615,sanft::A,õrn,సాధువైన
616,hungrig::A,näljane,ఆకలిగొనిన
617,krank::A,haige,వ్యాధిగల
618,nackt::A,alasti,దిగంబరమైన
619,traurig::A,kurb,విచారముగల
620,lebendig::A,elus,ప్రాణముతో నున్న
621,gut::A,hea,మంచి
622,schlecht::A,halb,చెడ్డ
623,richtig::A,õige,సరియైన
624,schlimm::A,paha,అసహ్యమైన
625,wahr::A,tõene,నిజమైన
626,alt::A,vana,ముసలి
627,neu::A,uus,క్రొత్త
628,ehemalig::A,endine,పూర్వపు
629,alt[Lebewesen]::A,vana,ముసలి
630,jung::A,noor,పసి
631,arm::A,vaene,బీద
632,reich::A,rikas,ధనవంతుడైన
633,bekannt::A,teada,తెలిసిన
634,bekannt::A,tuttav,తెలిసిన
635,berühmt::A,tuntud,ప్రపిద్దికెక్కివ
636,fremd::A,võõras,అన్యమైన
637,verschieden::A,erinev,భేదమైన
638,nah::A,lähedane,దగ్గఱనున్న
639,fern::A,kauge,దూరమందున్న
640,linker::A,vasak,ఎడమప్రక్కగ
641,rechter::A,parem,కుడి
642,anderer::A,muu,వేఱ్తెన
643,anderer::A,teine,వేఱ్తెన
644,erster::A,esimene,మొదటి
645,zweiter::A,teine,రెండన
646,dritter::A,kolmas,మూడో
647,letzter::A,viimane,కడపటి
648,allein::ADV,üksi,ఒంటిగా
649,auf einmal::ADV,korraga,హరాత్తుగ
650,auf einmal::ADV,ühekorraga,హరాత్తుగ
651,zusammen::ADV,koos,కలిసి
652,zusammen::ADV,üheskoos,కలిసి
653,lange::ADV,kaua,బహుకాలము
654,plötzlich::ADV,äkki,హరాత్తుగ
655,plötzlich::ADV,järsku,హరాత్తుగ
656,sofort::ADV,kohe,తక్షణము
657,später::ADV,hiljem,ఇటీవలి
658,jetzt::ADV,nüüd,ఇప్పుడు
659,heute::ADV,täna,నేడు
660,morgen::ADV,homme,ఱేపు
661,bald::ADV,pea,శీఘ్రముగ
662,bald::ADV,varsti,శీఘ్రముగ
663,dann::ADV,siis,అప్పుడు
664,gestern::ADV,eile,నిన్నటి దినము
665,einst::ADV,vanasti,పూర్వమొకప్పుడు
666,damals::ADV,tookord,అప్పుడు
667,danach::ADV,seejärel,అప్పుడు
668,vorher::ADV,enne,ఎదుట
669,zuerst::ADV,enne,మొదటిలో
670,zuerst::ADV,esmalt,మొదటిలో
671,einmal::ADV,kord,ఒకసారి
672,einmal::ADV,üks kord,ఒకసారి
673,manchmal::ADV,mõnikord,అప్పటప్పటికి
674,oft::ADV,tihti,తఱచుగా
675,oft::ADV,sageli,తఱచుగా
676,immer::ADV,ikka,ఎల్లప్పుడు
677,immer::ADV,alati,ఎల్లప్పుడు
678,niemals::ADV,mitte kunagi,ఎప్పుడునులేదు
679,hier::ADV,siin,ఇక్కడ
680,hierhin::ADV,siia,ఇక్కడకు
681,von hier::ADV,siit,ఇక్కడనుండి
682,dort::ADV,seal,అక్కడ
683,dorthin::ADV,sinna,అక్కడికి
684,geradeaus::ADV,otse edasi,సూటిగా
685,vorwärts::ADV,edasi,ముందుకు
686,rückwärts::ADV,tagurpidi,వెనుకకు
687,zurück::ADV,tagasi,వెనుకభాగము
688,unten::ADV,all,క్రింద
689,unten::ADV,allpool,క్రింద
690,hinab::ADV,alla,కిందికి
691,oben::ADV,ülal,మీద
692,hinauf::ADV,üles,పైకి
693,überall::ADV,kõikjal,అంతటా
694,nicht::ADV,ei,కాదు
695,nicht::ADV,mitte,కాదు
696,ein wenig::ADV,veidi,కొంచెము
697,ein wenig::ADV,natuke,కొంచెము
698,kaum::ADV,vaevalt,చాలిచాలక
699,sehr::ADV,väga,చాల
700,so::ADV,nii,ఆలాగున
701,noch::ADV,veel,ఇప్పటికిని
702,nur::ADV,ainult,మాత్రము
