,Concept_ID,zh,ce
117,Rinde::N,树皮,кевстиг
118,Ast::N,树枝,га
119,Zweig::N,树枝,га
120,Blatt::N,叶子,гӏа
121,Birke::N,桦木,дакх
122,Kiefer[Baum]::N,松树,бага
123,Weide[Baum]::N,柳树,дак
124,Tanne::N,冷杉,база
125,Horn::N,角,маӏа
126,Feder::N,羽毛,пелаг
127,Fell::N,皮毛,цӏока
128,Flügel::N,翅膀,тӏам
129,Klaue::N,爪子,мӏара
130,Kralle::N,爪子,тlод
131,Schwanz::N,尾巴,цӏога
132,Ei::N,蛋,xӏoa
133,Nest::N,巢,бен
134,Bau::N,穴,lуьрг
135,Tier::N,动物,дийнат
136,Herde::N,群,жа
137,Kuh::N,母牛,етт
138,Bulle::N,公牛,сту
139,Pferd::N,马,говр
140,Schaf::N,羊,жий
141,Schaf::N,羊,уьстагӏ
142,Schwein::N,猪,хьакха
143,Hund::N,狗,жӏаьла
144,Katze::N,猫,цициг
145,Bär::N,熊,ча
146,Eichhörnchen::N,松鼠,тарсал
147,Elch::N,麋鹿,сай
148,Fuchs::N,狐狸,цхьогал
149,Hase::N,兔子,пхьагал
150,Maus::N,老鼠,дахка
151,Wolf::N,狼,борз
152,Vogel::N,鸟,олхазар
153,Schwarm::N,群,
154,Huhn::N,鸡,котам
155,Hahn::N,公鸡,нӏаьна
156,Hahn::N,公鸡,боргӏал
157,Gans::N,鹅,гӏаз
158,Adler::N,鹰,aьрзу
159,Ente::N,鸭,бад
160,Eule::N,猫头鹰,бухӏа
161,Kranich::N,鹤,гӏаргӏули
162,Krähe::N,乌鸦,къиг
163,Kuckuck::N,布谷鸟,aттйокх
164,Schwan::N,天鹅,гӏургӏаз
165,Fisch::N,鱼,чӏара
166,Barsch::N,鲈鱼,окунь
167,Hecht::N,狗鱼,гӏазкхийн чӏара
168,Schlange[Tier]::N,蛇,лаьхьа
169,Wurm::N,蠕虫,нӏаьна
170,Spinne::N,蜘蛛,гезг
171,Ameise::N,蚂蚁,зингат
172,Laus::N,虱子,меза
173,Laus::N,虱子,гӏениг
174,Mücke::N,蚊子,чуьрк
175,Fliege::N,苍蝇,моза
176,Schmetterling::N,蝴蝶,полла
177,Beere::N,将果,цӏазам
178,Apfel::N,苹果,ӏаж
179,Pilz::N,蘑菇,жӏаьлин нускал
180,Zwiebel::N,洋葱,xох
181,Saat::N,种子,чlу
182,Korn::N,谷粒,буьртиг
183,Heu::N,干草,йол
184,Schale::N,壳,пардо
185,Grube::N,坑,ор
186,Falle::N,圈套,кӏело
187,Schlinge::N,活扣,
188,Spur::N,踪迹,лар
189,Asche::N,灰烬,чим
190,Dreck::N,污垢,мода
191,Eisen::N,铁,эчиг
192,Gold::N,金子,деши
193,Silber::N,银,дети
194,Kohle::N,煤,кӏора
195,Glas::N,玻璃,aнгали
196,Lehm::N,粘土,поппар
197,Sand::N,沙,гӏум
198,Mensch::N,人,адам
199,Mann::N,男子,майра
200,Frau::N,妇女,зуда
201,Kind::N,小孩,бер
202,Junge::N,男孩,жимха
203,Mädchen::N,女孩,жима йоӏ
204,Familie::N,家庭,доьзал
205,Großvater::N,祖父,ненада
206,Großmutter::N,祖母,денана
207,Eltern::N,父母,да-нана
208,Vater::N,父亲,да
209,Mutter::N,母亲,нана
210,Sohn::N,儿子,кӏант
211,Tochter::N,女儿,йоӏ
212,Bruder::N,兄弟,ваша
213,Schwester::N,姐妹,йиша
214,Onkel::N,伯父,деваша
215,Tante::N,阿姨,дейиша
216,Ehemann::N,丈夫,майра
217,Ehefrau::N,妻子,зуда
218,Freude::N,愉快,самукъа
219,Freude::N,愉快,хазахетар
220,Gelächter::N,大笑,белам
221,Glück::N,运气,ирс
222,Kummer::N,苦恼,бала
223,Wunsch::N,愿望,лаам
224,Lust::N,乐趣,лаам
225,Geist::N,精神,са
226,Gedanke::N,思想,ойла
227,Gedächtnis::N,记性,диццадалар
228,Verstand::N,理智,хьекъал
229,Sinn::N,感觉,маьӏна
230,Grund::N,理由,бахьана
231,Wahrheit::N,真理,бакъдерг
232,Gespräch::N,谈话,къамел
233,Märchen::N,童话,туьйра
234,Erzählung::N,故事,дийцар
235,Nachricht::N,消息,хаам
236,Neuigkeit::N,新闻,керланиг
237,Name::N,名字,цӏе
238,Rätsel::N,谜语,хӏетал-метал
239,Rede::N,讲话,къамел
240,Sprache::N,语言,мотт
241,Stimme::N,声音,aз
242,Wort::N,词,дош
243,Zeichen::N,标记,билгало
244,Ruf::N,呼喊,кхайкхар
245,Lärm::N,噪音,гӏовгӏа
246,Laut::N,响声,аз
247,Ton::N,声音,aз
248,Lied::N,歌曲,илли
249,Ruhe::N,安静,тийналла
250,Leute::N,人们,нах
251,Volk::N,人民,халкъ
252,Arbeit::N,劳动,болх
253,Gast::N,客人,хьаша
254,Geschenk::N,礼物,совгӏат
255,Spiel::N,游戏,ловзар
256,Gesellschaft::N,陪同,юкъаралла
257,Hilfe::N,帮助,гӏо
258,Freund::N,朋友,доттагl
259,Kamerad::N,同志,накъост
260,Angelegenheit::N,事情,гӏуллакх
261,Anzahl::N,数目,терахь
262,Art::N,种类,
263,Stück::N,块,юьхк
264,Teil::N,部分,дакъа
265,Hälfte::N,一半,ах
266,Kreis::N,圆,го
267,Kreuz::N,十字架,жӏара
268,Linie::N,线条,сиз
269,Strich::N,划,сиз
270,Abstand::N,距离,юкъ
271,Entfernung::N,距离,
272,Gegend::N,地区,мeттиг
273,Platz::N,场所,майда
274,Ort::N,地点,меттиг
275,Seite::N,面,aгӏo
276,Mitte::N,中间,юкъ
277,Gegenstand::N,物品,хӏума
278,Sache::N,物,хӏума
279,Rand::N,边,йист
280,Kante::N,棱,йист
281,Ecke::N,角,са
282,Spitze::N,尖,ралла
283,Ende::N,结尾,юьхьиг
284,Loch::N,洞,ӏуьрг
285,Winkel::N,角度,са
286,Muster::N,模型,дагар
287,Muster::N,模型,тӏамар
288,Größe::N,大小,барам
289,Länge::N,长度,йохалла
290,Höhe::N,高度,локхалла
291,Gewicht::N,重量,йозалла
292,Menge::N,数量,дукхалла
293,Haufen::N,堆,сал
294,Haufen::N,堆,оьла
295,Reihe::N,行,рагӏ
296,Reihe::N,行,могӏа
297,Boot::N,小船,кема
298,Ruder::N,奖,пийсиг
299,Schlitten::N,雪橇,салаз
300,Ski::N,雪板,когсалаз
301,Lagerfeuer::N,营火,цӏе
302,Last::N,负担,дукъ
303,Gang::N,行走,лелар
304,Schritt::N,步伐,гӏулч
305,Norden::N,北,къилбаседе
306,Süden::N,南,къилбе
307,Westen::N,西,малхбузе
308,Osten::N,东,малхбале
309,Holz::N,木材,дечиг
310,Brett::N,木板,у
311,Platte::N,平板,у
312,Stütze::N,支架,гӏopтоp
313,Stange::N,杆,гӏуркх
314,Stock::N,棒,ӏаса
315,Stab::N,棍,гӏаж
316,Rohr::N,管子,биргӏа
317,Haus::N,房屋,цӏа
318,Heim::N,家,кхерч
319,Ofen::N,炉子,кхерч
320,Fußboden::N,地板,цӏенкъа
321,Tisch::N,桌子,шун
322,Stuhl::N,椅子,гӏант
323,Wiege::N,摇蓝,ага
324,Bett::N,床,маьнга
325,Regal::N,架子,терхи
326,Kiste::N,箱子,яьшка
327,Fenster::N,窗户,кор
328,Tür::N,门,неӏ
329,Tor::N,大门,ков
330,Zaun::N,篱笆,керт
331,Dach::N,屋顶,тхов
332,Leiter::N,梯子,лами
333,Besen::N,扫帚,нуй
334,Spaten::N,铁锹,бел
335,Schaufel::N,铁锹,аьшкал
336,Gabel::N,叉,мӏара
337,Löffel::N,食匙,ӏайг
338,Messer::N,刀,урс
339,Nagel::N,钉子,хьостам
340,Netz::N,网,бой
341,Haken::N,钩子,мӏара
342,Griff::N,把柄,
343,Schloss::N,锁,чӏега
344,Bild::N,图画,сурт
345,Figur::N,人像,
346,Puppe::N,娃娃,тайниг
347,Beutel::N,袋子,гали
348,Bündel::N,捆,кочар
349,Tasche::N,手提包,тӏоьрмиг
350,Eimer::N,桶,чийлик
351,Deckel::N,盖子,негӏар
352,Geschirr::N,餐具,пхьегӏа
353,Sack::N,袋子,гали
354,Tasse::N,杯子,кад
355,Topf::N,锅,яй
356,Kessel::N,水壶,яй
357,Essen::N,进餐,юург
358,Nahrung::N,食物,кхача
359,Speise::N,菜肴,юург
360,Fleisch::N,肉,жижиг
361,Getreide::N,谷物,буьртиг
362,Brei::N,粥,xудар
363,Brot::N,面包,бепиг
364,Brot::N,面包,кхаллар
365,Scheibe::N,片,цастар
366,Fett::N,脂肪,мохь
367,Butter::N,黄油,налха
368,Öl::N,油,даьтта
369,Salz::N,盐,туьха
370,Suppe::N,汤,чорпа
371,Honig::N,蜂蜜,моз
372,Milch::N,奶,шура
373,Tee::N,茶,чай
374,Leder::N,皮革,цӏока
375,Wolle::N,毛线,тӏapгӏa
376,Stoff::N,织物,кӏади
377,Nadel::N,针,маха
378,Faden::N,线,тай
379,Knopf::N,纽扣,нуьйда
380,Knoten::N,结,шад
381,Farbe::N,颜色,сир
382,Farbe::N,颜色,басар
383,Kleidung::N,衣服,бедар
384,Hemd::N,衬衫,коч
385,Kragen::N,领子,кач
386,Ärmel::N,袖子,пхьош
387,Hose::N,裤子,хеча
388,Gürtel::N,腰带,доьхка
389,Mütze::N,帽子,куй
390,Schuh::N,鞋,мача
391,Stiefel::N,靴子,этка
392,Ring::N,戒指,чӏуг
393,Band::N,带子,лента
394,Kamm::N,梳子,ехк
395,Spiegel::N,镜子,куьзга
396,Riemen::N,皮带,доьхка
397,Schnur::N,绳子,муш
398,Leine::N,皮带,кочатосу доьхка
399,Decke::N,被子,юргӏа
400,Kissen::N,软垫,гIайба
401,Tuch::N,巾,исхар
402,Handtuch::N,手巾,гата
403,Kraft::N,力,гӏора
404,Stärke::N,力量,гӏап
405,Gesundheit::N,健康,могашалла
406,Krankheit::N,病,цамгар
407,Schmerz::N,痛,лазар
408,Wunde::N,伤口,чов
409,Fieber::N,发烧,xорша
410,Arznei::N,药,молха
411,Brücke::N,桥,тӏай
412,Brunnen::N,井,гӏу
413,Weide::N,牧场,дак
414,Pfad::N,小路,тача
415,Weg::N,路,некъ
416,Straße::N,街,урам
417,Dorf::N,村庄,юрт
418,Stadt::N,城市,гӏала
419,Brief::N,信,кехат
420,Buch::N,书,жайна
421,Buchstabe::N,字母,элп
422,Zeitung::N,报纸,газет
423,Leben::N,生命,дахар
424,Tod::N,死亡,далар
425,Tod::N,死亡,ӏожалла
426,Grab::N,坟墓,каш
427,Kirche::N,教堂,килс
428,Sünde::N,罪,къа
429,Gott::N,上帝,дела
430,Arbeiter::N,工人,белхало
431,Chef::N,上司,хьаькам
432,Meister::N,师傅,говзанча
433,Arzt::N,医生,лор
434,Lehrer::N,教师,хьехархо
435,Geld::N,钱,aхча
436,Geschäft::N,交易,туька
437,Laden::N,商店,туька
438,Preis::N,价格,мах
439,Ware::N,商品,хlума
440,Nutzen::N,好处,пайда
441,Reichtum::N,财富,хьал
442,Welt::N,世界,дуьне
443,Land::N,国家,мохк
444,Staat::N,国家,пачхьалкх
445,König::N,国王,паччахь
446,Macht::N,权力,ӏедал
447,Grenze::N,边界,доза
448,Krieg::N,战争,тӏом
449,Feind::N,敌人,мостагӏ
450,Gewalt::N,暴力,гӏело
451,Kampf::N,战斗,къийсам
452,Bogen[Waffe]::N,弓,
453,Pfeil::N,箭,пха
454,Gewehr::N,枪,топ
455,Fehler::N,错误,гӏалат
456,Lüge::N,谎话,аьшпаш
457,Schaden::N,损失,зен
458,Unglück::N,不幸,бала
459,Schuld::N,过错,бехк
460,Alter::N,年龄,хан
461,Schluss::N,结束,чакхе
462,Zeit::N,时间,хан
463,Tag::N,天,де
464,Morgen::N,早晨,ӏуьйре
465,Mittag::N,中午,делкъе
466,Abend::N,晚上,суьйре
467,Nacht::N,夜,буьйса
468,Woche::N,星期,кӏира
469,Monat::N,月,бутт
470,Jahr::N,年,шо
471,Frühling::N,春天,бӏаьсте
472,Sommer::N,夏天,аьхке
473,Herbst::N,秋天,гуьйре
474,Winter::N,冬天,ӏа
475,Januar::N,一月,январь
476,Februar::N,二月,февраль
477,März::N,三月,март
478,April::N,四月,апрель
479,Mai::N,五月,май
480,Juni::N,六月,июнь
481,Juli::N,七月,июль
482,August::N,八月,август
483,September::N,九月,сентябрь
484,Oktober::N,十月,октябрь
485,November::N,十一月,ноябрь
486,Dezember::N,十二月,декабрь
487,Montag::N,星期一,оршот
488,Dienstag::N,星期二,шинара
489,Mittwoch::N,星期三,кхаара
490,Donnerstag::N,星期四,еара
491,Freitag::N,星期五,пӏераска
492,Samstag::N,星期六,шот
493,Sonntag::N,星期日,кӏиранде
494,groß::A,大,доккха
495,klein::A,小,кегий
496,lang::A,长,еха
497,kurz::A,短,доца
498,breit::A,宽,шуьйра
499,schmal::A,细长的,готта
500,dicht::A,密,луьста
501,dick[Gegenstand]::A,厚,стомма
502,dünn::A,薄,дуткъа
503,fein::A,细小,ховха
504,fest::A,固体,чӏогӏа
505,flach::A,平坦,чӏапа
506,glatt::A,光滑,шера
507,hart::A,硬,чӏогӏa
508,weich::A,软,кӏеда
509,rund::A,圆,горга
510,spitz::A,尖,ира
511,scharf::A,锋利,ира
512,stumpf::A,钝,аьртa
513,schwer::A,重,деза
514,schön::A,美丽,хаза
515,heiß::A,烫,довха
516,warm::A,暖和,довха
517,kalt::A,冷,шийла
518,kühl::A,凉,шийла
519,frisch::A,新鲜,керла
520,feucht::A,潮湿,тӏуьна
521,nass::A,湿,тӏеда
522,trocken::A,干,eкъа
523,voll::A,满,дуьзна
524,leer::A,空,яьсса
525,offen::A,敞开,диллина
526,geschlossen::A,关闭,дӏакъевлина
527,geschlossen::A,关闭,дӏачӏагӏдина
528,sauber::A,干净,цӏена
529,schmutzig::A,肮脏,боьха
530,roh::A,生,буьйда
531,reif::A,成熟,хилла
532,lecker::A,好吃,чоме
533,süß::A,甜,мерза
534,bitter::A,苦,къаьхьа
535,sauer::A,酸,муьста
536,hell::A,亮,сирла
537,dunkel::A,阴暗,бодане
538,schwarz::A,黑,ӏаьржа
539,weiß::A,白,кӏайн
540,rot::A,红,цӏен
541,gelb::A,黄,можа
542,blau::A,蓝,сийна
543,grün::A,绿,баьццара
544,grau::A,灰色,cира
545,grau::A,灰色,мокха
546,bunt::A,五彩,къорза
547,billig::A,便宜,дораха
548,teuer::A,贵,деза
549,wertvoll::A,贵重,мехала
550,blind::A,瞎,бӏаьрзе
551,taub::A,聋,къора
552,kräftig::A,强壮,нуьцкъала
553,stark::A,强壮,зоьртала
554,stark::A,强壮,нуьцкъала
555,schwach::A,弱,гӏорасиза
556,fett::A,胖,дерстана
557,schlank::A,苗条,куц долу
558,hübsch::A,漂亮,хаза
559,böse::A,邪恶,вон
560,dumm::A,笨,сонта
561,faul::A,懒惰,мало ен
562,fleißig::A,勤奋,тӏера
563,geizig::A,吝啬,пис
564,geizig::A,吝啬,сутара
565,klug::A,聪明,хьекъале
566,geschickt::A,灵巧,тӏахъаьлла
567,lieb::A,可爱,хьоме
568,lustig::A,快乐,самукъане
569,sanft::A,柔和,кlеда
570,hungrig::A,饥饿,меца
571,krank::A,患病,цомгуш долу
572,nackt::A,裸体,дерзана
573,traurig::A,悲哀,самукъане воцу
574,lebendig::A,活,дийна
575,gut::A,好,дика
576,schlecht::A,坏,вон
577,richtig::A,正确,нийса
578,schlimm::A,糟糕,вон
579,wahr::A,真,бакъдолу
580,alt::A,旧,къена
581,neu::A,新,керла
582,ehemalig::A,以前,хилла
583,alt[Lebewesen]::A,老,къена
584,jung::A,年轻,къона
585,arm::A,贫穷,къен
586,reich::A,富裕,хьоле
587,bekannt::A,出名,девзаш долу
588,berühmt::A,著名,цӏеяхана
589,fremd::A,陌生,нехан
590,verschieden::A,不同,тайп-тайпанара
591,nah::A,近,гергара
592,fern::A,遥远,гена
593,fern::A,遥远,генара
594,linker::A,左,аьрру
595,rechter::A,右,аьтту
596,anderer::A,别的,кхин
597,erster::A,第一,хьалхара
598,zweiter::A,第二,шолгIа
599,dritter::A,第三,кхоалгӏа
600,letzter::A,最后,тӏаьххьара
601,allein::ADV,单独,цхьаъ
602,auf einmal::ADV,同时,цу сохьтта
603,zusammen::ADV,一起,цхьана
604,lange::ADV,许久,дукха
605,plötzlich::ADV,忽然,цIеххьана
606,sofort::ADV,立刻,цу сохьтта
607,später::ADV,以后,тӏаьхьо
608,jetzt::ADV,现在,хӏинца
609,heute::ADV,今天,тахана
610,morgen::ADV,明天,кхана
611,bald::ADV,即将,кеста
612,dann::ADV,然后,тӏаккха
613,gestern::ADV,昨天,селхана
614,einst::ADV,曾经,цкъа
615,damals::ADV,当时,хӏетахьь
616,danach::ADV,随后,тӏаккха
617,vorher::ADV,事先,хьалхa
618,zuerst::ADV,首先,хьалха
619,einmal::ADV,一次,цкъа
620,manchmal::ADV,有时,цкъаццкъа
621,oft::ADV,时常,кест-кеста
622,immer::ADV,总是,даим
623,niemals::ADV,从未,цкъа а
624,hier::ADV,这里,кхузахь
625,hierhin::ADV,到这里,кхуза
626,von hier::ADV,由此,кхузара
627,dort::ADV,那里,цигахь
628,dorthin::ADV,到那里,цига
629,geradeaus::ADV,一直往前,нийса дӏа
630,vorwärts::ADV,向前,хьалха
631,rückwärts::ADV,向后,юха
632,zurück::ADV,退后,юха
633,unten::ADV,下面,лахахь
634,hinab::ADV,向下,охьа
635,oben::ADV,上面,лакхахь
636,hinauf::ADV,向上,хьала
637,überall::ADV,到处,массанхьа
638,nicht::ADV,不,ца
639,ein wenig::ADV,一点儿,кӏеззиг
640,kaum::ADV,几乎不,халла
641,sehr::ADV,很,вуно
642,so::ADV,如此,
643,noch::ADV,还,кхин
644,nur::ADV,只,бен ...ца
645,schon::ADV,已经,хӏинцале
646,wieder::ADV,又,юха а
647,vor::PRP,在...面前,хьалха
648,hinter::PRP,在...背后,тӏехьа
649,unter::PRP,在...下面,кIелахь
650,durch::PRP,穿过,чекх
651,neben::PRP,在...旁,юххе
652,zwischen::PRP,在...之间,юккъехь
653,wegen::PRP,由于,дуьхьа
654,dies::PRN,这,и
655,dies::PRN,这,иза
656,das::PRN,那,и
657,das::PRN,那,иза
658,alles::PRN,一切,дерриг
659,ich::PRN,我,cо
660,du::PRN,你,хьо
661,er::PRN,他,и
662,er::PRN,他,иза
663,wir::PRN,我们,тхо
664,wir::PRN,我们,вай
665,ihr::PRN,你们,шу
666,sie::PRN,她,уьш
667,was::FPRN,什么,хӏун
668,wer::FPRN,谁,мила
669,wo::FADV,哪里,мичaхь
670,wohin::FADV,去哪里,мича
671,wie::FADV,怎么,муха
672,warum::FADV,为什么,хӏунда
673,wieviel::FNUM,多少,мел
674,wieviel::FNUM,多少,маса
675,eins::NUM,一,цхьаъ
676,zwei::NUM,二,шиъ
677,drei::NUM,三,кхоъ
678,vier::NUM,四,диъ
679,fünf::NUM,五,пхиъ
680,sechs::NUM,六,ялх
681,sieben::NUM,七,ворхӏ
682,acht::NUM,八,бархӏ
683,neun::NUM,九,исс
684,zehn::NUM,十,итт
685,elf::NUM,十一,цхьайтта
686,zwölf::NUM,十二,шийтта
687,zwanzig::NUM,二十,ткъа
688,dreißig::NUM,三十,ткъе итт
689,vierzig::NUM,四十,шовзткъа
690,fünfzig::NUM,五十,шовзткъе итт
691,sechzig::NUM,六十,кхузткъа
692,siebzig::NUM,七十,кхузткъе итт
693,achtzig::NUM,八十,дезткъа
694,neunzig::NUM,九十,дезткъе итт
695,hundert::NUM,百,бӏе
696,tausend::NUM,千,эзар
697,und::CNJ,和,a
698,oder::CNJ,或者,я
699,stehen::V,站,латта
700,sitzen::V,坐,хиъна ӏан
701,liegen::V,躺着,ӏилла
702,hängen::V,挂着,кхаза
703,werden::V,成为,хила
704,passieren::V,发生,хила
705,beginnen::V,开始,доло
706,enden::V,终止,дӏадерза
707,wechseln::V,变迁,хийца
708,aufgehen[Sonne]::V,升起,кхета
709,untergehen[Sonne]::V,下落,чубуза
710,scheinen[Sonne]::V,照射,серло яла
711,donnern::V,打雷,къекъа
712,wehen::V,飘扬,хьекха
713,strömen::V,流,эха
714,fließen::V,流动,охьаэха
715,sich drehen::V,转动,хьийза
716,schwanken::V,摇摆,леста
717,schwingen::V,摇,лесто
718,fallen::V,坠落,охьакхета
719,brennen::V,燃烧,дага
720,rauchen::V,冒烟,оза
721,regnen::V,下雨,догlа догlу
722,gefrieren::V,结冰,гӏоро
723,tauen::V,融化,даша
724,schmelzen::V,溶化,лала
725,trocknen::V,变干,дакъо
726,sieden::V,煮,кхехка
727,faulen::V,腐烂,дахкадала
728,verfaulen::V,腐烂,дахкадала
729,reißen::V,撕,хеда
730,versinken::V,下沉,хичудаха
731,vergehen::V,流逝,дlаэха
732,erscheinen::V,出现,схьадала
733,erscheinen::V,出现,ӏоттадала
734,verschwinden::V,消失,къайладала
735,sinken::V,下降,лахдала
736,abnehmen::V,减少,
737,zunehmen::V,增加,лакхадала
738,steigen::V,上升,хьаладала
739,wachsen::V,生长,кхиа
740,glänzen::V,发光,лепа
741,funkeln::V,闪烁,къега
742,lärmen::V,吵闹,гӏовгӏаян
743,läuten::V,响,детта
744,klingeln::V,按铃,дека
745,brausen::V,疾驶,хьаьдда даха
746,klingen::V,听起来,дека
747,bellen::V,吠,лета
748,heulen::V,嗥,угӏа
749,blasen::V,吹,хӏуп баха
750,pfeifen::V,吹口哨,шок етта
751,schreien::V,叫喊,мохь бетта
752,stöhnen::V,呻吟,узарш дан
753,zittern::V,颤抖,дега
754,leben::V,生存,даха
755,geboren werden::V,出生,хила
756,atmen::V,呼吸,садеӏа
757,trinken::V,喝,мала
758,essen::V,吃,кхалла
759,schlucken::V,咽,къурдбан
760,müde werden::V,疲倦,кӏаддала
761,einschlafen::V,入睡,наб кхета
762,schlafen::V,睡觉,вижа
763,schlafen::V,睡觉,наб ян
764,schlafen::V,睡觉,дижина хила
765,aufwachen::V,睡醒,самадала
766,aufstehen::V,起床,гӏатта
767,sich erholen::V,休养,садаӏа
768,krank werden::V,生病,цомгуш хила
769,krank sein::V,生病,цомгуш хила
770,schmerzen::V,疼痛,лаза
771,schmerzen::V,疼痛,ӏийжа
772,husten::V,咳,йовхарш етта
773,genesen::V,痊愈,тадала
774,sterben::V,死,дала
775,umkommen::V,丧命,хӏаллакхила
776,sich bewegen::V,移动,лела
777,sich rühren::V,动弹,меттахъхьен
778,sich erheben::V,站起,хьалагlатта
779,sich setzen::V,坐,хаа
780,hinfallen::V,跌倒,дожа
781,hinfallen::V,跌倒,охьакхета
782,laufen::V,步行,вада
783,laufen::V,步行,хьада
784,schreiten::V,迈步,болар дан
785,schreiten::V,迈步,ког баккха
786,spazierengehen::V,散步,доладала
787,eilen::V,急忙,сихдала
788,sich beeilen::V,赶快,сихдала
789,sausen::V,疾驰,
790,rennen::V,奔跑,дада
791,springen::V,跳,ирхкхийсадала
792,klettern::V,攀缘,тӏедийла
793,schaukeln::V,荡秋千,техко
794,kriechen::V,爬行,такха
795,schwimmen::V,游泳,некадан
796,tauchen::V,潜水,чулелха
797,rudern::V,划船,дига лело
798,rudern::V,划船,кема лело
799,fahren::V,行驶,хахка
800,fliegen::V,飞,тӏемадала
801,gehen::V,走,лeла
802,weggehen::V,离去,дӏадаха
803,abfahren::V,出发,дӏадаха
804,anhalten::V,停住,саца
805,hineingehen::V,进去,чудала
806,eintreten::V,进入,чудала
807,kommen::V,来,кхача
808,kommen::V,来,дӏакхача
809,kommen::V,来,схьакхача
810,ankommen::V,到达,кхача
811,ankommen::V,到达,схьакхача
812,zurückkommen::V,回来,юхада
813,bleiben::V,停留,диса
814,warten::V,等,хьежа
815,warten::V,等,cобар дан
816,erwarten::V,等候,хьоьжуш ӏан
817,suchen::V,找,леха
818,finden::V,找到,каро
819,versuchen::V,尝试,дан хьажа
820,vorbereiten::V,预备,кечъян
