,Concept_ID,be,tt
61,Träne::N,сляза,яшь
62,Geschmack::N,смак,тәм
63,Geschmack::N,смак,зәвык
64,Geruch::N,пах,ис
65,Schlaf::N,сон,йокы
66,Traum::N,сон,төш
67,Himmel::N,неба,күк
68,Sonne::N,сонца,кояш
69,Mond::N,месяц,ай
70,Stern::N,зорка,йолдыз
71,Luft::N,паветра,һава
72,Wind::N,вецер,җил
73,Welle::N,хваля,дулкын
74,Wasser::N,вада,су
75,Stein::N,камень,таш
76,Boden::N,глеба,туфрак
77,Erde::N,зямля,җир
78,Staub::N,пыл,тузан
79,Rauch::N,дым,төтен
80,Funke::N,іскра,очкын
81,Feuer::N,агонь,ут
82,Licht::N,святло,якты
83,Schatten::N,цень,күләгә
84,Wetter::N,пагода,һава
85,Wetter::N,надворʼе,һава
86,Nebel::N,туман,томан
87,Wolke::N,воблака,болыт
88,Regen::N,дождж,яңгыр
89,Schnee::N,снег,кар
90,Eis::N,лёд,боз
91,Frost::N,мароз,суык
92,Frost::N,мароз,салкын
93,Kälte::N,холад,суык
94,Kälte::N,холад,салкын
95,Hitze::N,спёка,эсселек
96,Raureif::N,іней,бәс
97,Raureif::N,іней,сыкы
98,Regenbogen::N,вясёлка,салават күпере
99,Donner::N,гром,күкрәү
100,Strömung::N,цячэнне,агыш'агым
101,Tropfen::N,кропля,тамчы
102,Schaum::N,пена,күбек
103,Schmutz::N,гразь,пычрак
104,See::N,возера,күл
105,Sumpf::N,багна,саз
106,Moor::N,балота,торфлык
107,Wiese::N,луг,болын
108,Wald::N,лес,урман
109,Hügel::N,узгорак,калку
110,Anhöhe::N,узвышша,үр
111,Berg::N,гара,тау
112,Gipfel::N,вяршыня,оч
113,Höhle::N,пячора,мәгарә
114,Abhang::N,схіл,кабырга
115,Quelle::N,крыніца,чишмә
116,Bach::N,ручай,елга
117,Fluss::N,рака,дәрья
118,Ufer::N,бераг,су кырые
119,Küste::N,узбярэжжа,яр буе
120,Festland::N,суша,коры җир
121,Meer::N,мора,диңгез
122,Bucht::N,бухта,бухта
123,Bucht::N,бухта,култык
124,Insel::N,востраў,атау
125,Insel::N,востраў,утрау
126,Blume::N,кветка,чәчкә
127,Gras::N,трава,үлән
128,Wurzel::N,корань,тамыр
129,Baum::N,дрэва,агач
130,Stamm::N,ствол,кәүсә
131,Rinde::N,кара,кабык
132,Ast::N,сук,ботак
133,Zweig::N,галіна,ботак
134,Zweig::N,галіна,тармак
135,Blatt::N,ліст,яфрак
136,Birke::N,бяроза,каен
137,Kiefer[Baum]::N,хвоя,нарат
138,Kiefer[Baum]::N,сасна,нарат
139,Weide[Baum]::N,вярба,тал
140,Tanne::N,яліна,чыршы
141,Horn::N,рог,мөгез
142,Feder::N,пяро,йон
143,Fell::N,шкура,тире
144,Flügel::N,крыло,канат
145,Klaue::N,кіпцюр,тырнак
146,Kralle::N,лапа,тырнак
147,Schwanz::N,хвост,койрык
148,Ei::N,яйка,күкәй
149,Ei::N,яйка,йомырка
150,Nest::N,гняздо,оя
151,Bau::N,нара,өн
152,Tier::N,жывёла,хайван
153,Herde::N,статак,көтү
154,Kuh::N,карова,сыер
155,Bulle::N,бык,үгез
156,Pferd::N,конь,ат
157,Schaf::N,авечка,сарык
158,Schwein::N,свіння,дуңгыз
159,Hund::N,сабака,эт
160,Katze::N,кошка,песи
161,Bär::N,мядзведзь,аю
162,Eichhörnchen::N,вавёрка,тиен
163,Elch::N,лось,поши
164,Fuchs::N,ліса,төлке
165,Hase::N,заяц,куян
166,Maus::N,мыш,тычкан
167,Wolf::N,воўк,бүре
168,Vogel::N,птах,кош
169,Vogel::N,птушка,кош
170,Schwarm::N,чарада,көтү
171,Huhn::N,курыца,тавык
172,Hahn::N,певень,әтәч
173,Gans::N,гусь,каз
174,Adler::N,арол,каракош
175,Ente::N,качка,үрдәк
176,Eule::N,сава,ябалак
177,Kranich::N,жораў,торна
178,Kranich::N,журавель,торна
179,Krähe::N,варона,карга
180,Kuckuck::N,зязюля,күке
181,Kuckuck::N,зязюля,кәккүк
182,Schwan::N,лебедзь,аккош
183,Fisch::N,рыба,балык
184,Barsch::N,акунь,алабуга
185,Hecht::N,шчупак,чуртан
186,Schlange[Tier]::N,змяя,елан
187,Wurm::N,чарвяк,корт
188,Spinne::N,павук,үрмәкүч
189,Ameise::N,мурашка,кырмыска
190,Laus::N,вош,бет
191,Mücke::N,камар,черки
192,Mücke::N,камар,озынборын
193,Fliege::N,муха,чебен
194,Schmetterling::N,матыль,күбәләк
195,Beere::N,ягада,җиләк
196,Apfel::N,яблык,алма
197,Pilz::N,грыб,гөмбә
198,Zwiebel::N,цыбуля,суган
199,Zwiebel::N,цыбуля,суганбаш
200,Saat::N,семя,орлык
201,Korn::N,зерне,иген
202,Korn::N,зерне,орлык
203,Heu::N,сена,печән
204,Schale::N,шалупінне,кабык
205,Grube::N,яма,баз
206,Grube::N,яма,чокыр
207,Falle::N,пастка,тозак
208,Falle::N,пастка,капкын
209,Schlinge::N,сіло,элмәк
210,Spur::N,след,эз
211,Asche::N,попел,көл
212,Dreck::N,бруд,пычрак
213,Eisen::N,жалеза,тимер
214,Gold::N,золата,алтын
215,Silber::N,сребра,көмеш
216,Kohle::N,вугаль,күмер
217,Glas::N,шкло,пыяла
218,Lehm::N,гліна,балчык
219,Sand::N,пясок,ком
220,Mensch::N,чалавек,адәм
221,Mensch::N,чалавек,инсан
222,Mann::N,мужчына,ир
223,Frau::N,жанчына,хатын
224,Kind::N,дзіця,бала
225,Junge::N,хлопчык,малай
226,Mädchen::N,дзяўчынка,кыз
227,Familie::N,сямʼя,гаилә
228,Großvater::N,дзядуля,бабай
229,Großmutter::N,бабуля,әби
230,Eltern::N,бацькі,ата-ана
231,Vater::N,бацька,ата
232,Mutter::N,маці,ана
233,Sohn::N,сын,ул
234,Tochter::N,дачка,кыз
235,Bruder::N,брат,кардәш
236,Schwester::N,сястра,апа
237,Schwester::N,сястра,сеңел
238,Onkel::N,дзядзька,дәдә
239,Onkel::N,дзядзька,дәдәй
240,Tante::N,цётка,түти
241,Tante::N,цётка,тәтәй
242,Ehemann::N,муж,ир
243,Ehefrau::N,жонка,хатын
244,Freude::N,радасць,сөенеч
245,Gelächter::N,смех,көлү
246,Gelächter::N,смех,көлеш
247,Glück::N,шчасце,бәхет
248,Kummer::N,гора,хәсрәт
249,Wunsch::N,жаданне,теләк
250,Lust::N,цяга,теләк
251,Lust::N,цяга,теләү
252,Geist::N,дух,рух
253,Gedanke::N,думка,уй
254,Gedanke::N,думка,фикер
255,Gedächtnis::N,памяць,хәтер
256,Verstand::N,розум,акыл
257,Sinn::N,сэнс,мәгънә
258,Grund::N,зачэпка,сәбәп
259,Wahrheit::N,праўда,хак
260,Gespräch::N,размова,әңгәмә
261,Märchen::N,казка,әкият
262,Erzählung::N,расказ,хикәя
263,Erzählung::N,апавяданне,хикәя
264,Nachricht::N,вестка,хәбәр
265,Nachricht::N,паведамленне,хәбәр
266,Neuigkeit::N,навіна,яңалык
267,Name::N,імя,исем
268,Rätsel::N,загадка,табышмак
269,Rede::N,прамова,нотык
270,Sprache::N,мова,тел
271,Stimme::N,голас,тавыш
272,Wort::N,слова,сүз
273,Zeichen::N,знак,ишарә
274,Ruf::N,кліч,дәшү
275,Lärm::N,шум,шау
276,Laut::N,гук,аваз
277,Ton::N,гучанне,шалтырату
278,Lied::N,песня,җыр
279,Ruhe::N,спакой,тынлык
280,Leute::N,людзі,халык
281,Volk::N,народ,халык
282,Arbeit::N,праца,эш
283,Arbeit::N,праца,хезмәт
284,Arbeit::N,работа,эш
285,Arbeit::N,работа,хезмәт
286,Gast::N,госць,кунак
287,Geschenk::N,падарунак,бүләк
288,Spiel::N,гульня,уен
289,Gesellschaft::N,таварыства,җәмгыять
290,Hilfe::N,дапамога,ярдәм
291,Hilfe::N,дапамога,булышлык
292,Freund::N,друг,дус
293,Freund::N,сябар,дус
294,Kamerad::N,прыяцель,иптәш
295,Angelegenheit::N,справа,эш
296,Anzahl::N,колькасць,микъдар
297,Art::N,від,төр
298,Stück::N,кусок,кисәк
299,Stück::N,кавалак,кисәк
300,Teil::N,частка,өлеш
301,Hälfte::N,палова,ярым
302,Hälfte::N,палавіна,ярым
303,Kreis::N,круг,түгәрәк
304,Kreuz::N,крыж,хач
305,Kreuz::N,крыж,тәре
306,Linie::N,лінія,сызык
307,Strich::N,рыса,сызык
308,Abstand::N,прамежак,ара
309,Entfernung::N,адлегласць,ераклык
310,Gegend::N,мясцовасць,урын
311,Platz::N,месца,бушлык
312,Ort::N,месца,урын
313,Seite::N,бок,як
314,Mitte::N,сярэдзіна,урта
315,Gegenstand::N,прадмет,нәрсә
316,Sache::N,рэч,нәрсә
317,Rand::N,край,чит
318,Kante::N,руб,кырый
319,Kante::N,кант,кырый
320,Ecke::N,вугал,почмак
321,Spitze::N,кончык,оч
322,Ende::N,канец,азак
323,Loch::N,дзірка,тишек
324,Winkel::N,вугал,почмак
325,Muster::N,узор,парча
326,Größe::N,памер,зурлык
327,Länge::N,даўжыня,озынлык
328,Höhe::N,вышыня,биеклек
329,Gewicht::N,вага,авырлык
330,Menge::N,колькасць,микъдар
331,Haufen::N,куча,өем
332,Reihe::N,рад,рәт
333,Boot::N,лодка,каек
334,Boot::N,лодка,көймә
335,Ruder::N,вясло,ишкәк
336,Schlitten::N,сані,чана
337,Ski::N,лыжа,чаңгы
338,Lagerfeuer::N,вогнішча,костёр
339,Last::N,цяжар,йөк
340,Gang::N,ход,йөреш
341,Schritt::N,шаг,адым
342,Schritt::N,крок,адым
343,Norden::N,поўнач,төньяк
344,Süden::N,поўдзень,көньяк
345,Westen::N,захад,көнбатыш
346,Osten::N,усход,шәрык
347,Osten::N,усход,көнчыгыш
348,Holz::N,дрэва,агач
349,Holz::N,драўніна,агач
350,Brett::N,дошка,такта
351,Platte::N,пліта,плитә
352,Stütze::N,падпорка,таяу
353,Stange::N,жэрдка,колга
354,Stock::N,палка,таяк
355,Stab::N,шост,таяк
356,Rohr::N,труба,торба
357,Haus::N,дом,өй
358,Haus::N,дом,йорт
359,Heim::N,дом,гаилә
360,Heim::N,дом,нәсел
361,Heim::N,хата,гаилә
362,Heim::N,хата,нәсел
363,Ofen::N,печ,мич
364,Fußboden::N,падлога,идән
365,Tisch::N,стол,өстәл
366,Stuhl::N,стул,утыргыч
367,Stuhl::N,крэсла,утыргыч
368,Wiege::N,калыска,бишек
369,Bett::N,ложак,ятак
370,Bett::N,ложак,урын-җир
371,Bett::N,пасцель,ятак
372,Bett::N,пасцель,урын-җир
373,Regal::N,паліца,киштә
374,Regal::N,паліца,шүрлек
375,Kiste::N,скрынка,әрҗә
376,Fenster::N,акно,тәрәзә
377,Tür::N,дзверы,ишек
378,Tor::N,вароты,капка
379,Zaun::N,агароджа,койма
380,Dach::N,дах,түбә
381,Leiter::N,лесвіца,баскыч
382,Besen::N,мятла,себерке
383,Spaten::N,лапата,көрәк
384,Spaten::N,жалязняк,көрәк
385,Schaufel::N,шуфлік,көрәк
386,Schaufel::N,лапатка,көрәк
387,Gabel::N,відэлец,чәннечке
388,Löffel::N,лыжка,кашык
389,Messer::N,нож,пычак
390,Nagel::N,цвік,кадак
391,Netz::N,сетка,челтәр
392,Haken::N,крук,ыргак
393,Griff::N,ручка,тотка
394,Schloss::N,замок,йозак
395,Bild::N,карціна,рәсем
396,Bild::N,карціна,картина
397,Figur::N,фігура,сын
398,Figur::N,фігура,фигура
399,Puppe::N,лялька,курчак
400,Beutel::N,мяшок,луза
401,Bündel::N,вязка,бәйләм
402,Tasche::N,торба,букча
403,Eimer::N,вядро,чиләк
404,Deckel::N,накрыўка,капкач
405,Geschirr::N,пасуда,савыт-саба
406,Geschirr::N,пасуда,кашык-аяк
407,Sack::N,мех,капчык
408,Tasse::N,кубак,чынаяк
409,Topf::N,каструля,чүлмәк
410,Kessel::N,кацёл,казан
411,Essen::N,ежа,ашау
412,Nahrung::N,харч,азык
413,Nahrung::N,харч,тәгам
414,Nahrung::N,харч,ашамлык
415,Speise::N,страва,ризык
416,Fleisch::N,мяса,ит
417,Getreide::N,збожжа,ашлык
418,Brei::N,каша,ботка
419,Brot::N,хлеб,ипи
420,Brot::N,хлеб,икмәк
421,Scheibe::N,луста,телем
422,Scheibe::N,скібка,телем
423,Fett::N,тлушч,май
424,Butter::N,масла,май
425,Öl::N,алей,май
426,Salz::N,соль,тоз
427,Suppe::N,суп,шулпа
428,Honig::N,мёд,бал
429,Milch::N,малако,сөт
430,Tee::N,чай,чәй
431,Tee::N,гарбата,чәй
432,Leder::N,скура,күн
433,Wolle::N,воўна,йон
434,Stoff::N,тканіна,тукыма
435,Nadel::N,іголка,энә
436,Faden::N,нітка,җеп
437,Knopf::N,гузік,төймә
438,Knoten::N,вузел,төен
439,Farbe::N,фарба,буяу
440,Kleidung::N,адзенне,кием
441,Hemd::N,кашуля,күлмәк
442,Kragen::N,каўнер,яка
443,Ärmel::N,рукаў,җиң
444,Hose::N,штаны,чалбар
445,Gürtel::N,пояс,билбау
446,Mütze::N,шапка,бүрек
447,Schuh::N,чаравік,башмак
448,Stiefel::N,бот,итек
449,Ring::N,кольца,балдак
450,Band::N,стужка,тасма
451,Kamm::N,расчоска,тарак
452,Spiegel::N,люстра,көзге
453,Riemen::N,рэмень,каеш
454,Schnur::N,вяроўка,бау
455,Leine::N,павадок,тезген
456,Decke::N,коўдра,юрган
457,Kissen::N,падушка,мендәр
458,Tuch::N,хустка,яулык
459,Handtuch::N,ручнік,сөлгә
460,Kraft::N,сіла,егәр
461,Kraft::N,сіла,дәрман
462,Stärke::N,моц,көч
463,Stärke::N,моц,дәрман
464,Gesundheit::N,здароўе,саулык
465,Krankheit::N,хвароба,чир
466,Krankheit::N,хвароба,хаста
467,Krankheit::N,хвароба,сырхау
468,Schmerz::N,боль,авырту
469,Wunde::N,рана,яра
470,Wunde::N,рана,җәрәхәт
471,Fieber::N,гарачка,бизгәк
472,Fieber::N,ліхаманка,бизгәк
473,Arznei::N,лекі,дару
474,Brücke::N,мост,күпер
475,Brunnen::N,калодзеж,кое
476,Weide::N,паша,утлавык
477,Pfad::N,сцежка,сукмак
478,Weg::N,шлях,юл
479,Weg::N,дарога,юл
480,Straße::N,вуліца,урам
481,Dorf::N,вёска,авыл
482,Stadt::N,горад,шәһәр
483,Brief::N,ліст,хат
484,Brief::N,пісьмо,хат
485,Buch::N,кніга,китап
486,Buchstabe::N,літара,хәреф
487,Zeitung::N,газета,газет
488,Zeitung::N,газета,газета
489,Leben::N,жыццё,гомер
490,Leben::N,жыццё,тормыш
491,Leben::N,жыццё,тереклек
492,Tod::N,смерць,үлем
493,Grab::N,магіла,гүр
494,Grab::N,магіла,кабер
495,Kirche::N,касцёл,чиркәү
496,Kirche::N,царква,чиркәү
497,Sünde::N,грэх,язык
498,Sünde::N,грэх,гөнаһ
499,Gott::N,бог,алла
500,Gott::N,бог,ходай
501,Arbeiter::N,рабочы,эшче
502,Chef::N,начальнік,башлык
503,Meister::N,майстар,оста
504,Arzt::N,урач,врач
505,Arzt::N,урач,табиб
506,Lehrer::N,настаўнік,укытучы
507,Lehrer::N,настаўнік,мөгаллим
508,Geld::N,грошы,акча
509,Geschäft::N,заняцце,эш
510,Laden::N,крама,кибет
511,Laden::N,крама,магазин
512,Laden::N,магазін,кибет
513,Laden::N,магазін,магазин
514,Preis::N,цана,бәя
515,Preis::N,цана,бәһа
516,Ware::N,тавар,товар
517,Nutzen::N,выгада,файда
518,Reichtum::N,багацце,байлык
519,Welt::N,свет,дөнья
520,Land::N,краіна,ил
521,Staat::N,дзяржава,дәүләт
522,König::N,кароль,патша
523,Macht::N,улада,хакимият
524,Grenze::N,граніца,чик
525,Krieg::N,вайна,сугыш
526,Feind::N,вораг,дошман
527,Gewalt::N,насілле,көчләү
528,Kampf::N,барацьба,көрәш
529,Bogen[Waffe]::N,лук,җәя
530,Pfeil::N,страла,ук
531,Gewehr::N,ружжо,мылтык
532,Fehler::N,памылка,хата
533,Lüge::N,хлусня,ялган
534,Schaden::N,шкода,зыян
535,Schaden::N,шкода,зарар
536,Unglück::N,ліха,бәла
537,Unglück::N,бядота,бәла
538,Schuld::N,віна,гаеп
539,Alter::N,узрост,яшь
540,Schluss::N,канец,ахыр
541,Zeit::N,час,заман
542,Tag::N,дзень,көн
543,Morgen::N,ранак,иртә
544,Morgen::N,раніца,иртә
545,Mittag::N,паўдня,өйлә
546,Mittag::N,поўдзень,өйлә
547,Abend::N,вечар,кич
548,Nacht::N,ноч,төн
549,Woche::N,тыдзень,атна
550,Monat::N,месяц,ай
551,Jahr::N,год,ел
552,Frühling::N,вясна,яз
553,Sommer::N,лета,җәй
554,Herbst::N,восень,көз
555,Winter::N,зіма,кыш
556,Januar::N,студзень,гыйнвар
557,Februar::N,люты,февраль
558,März::N,сакавік,март
559,April::N,красавік,апрель
560,Mai::N,май,май
561,Mai::N,травень,май
562,Juni::N,чэрвень,июнь
563,Juli::N,ліпень,июль
564,August::N,жнівень,август
565,September::N,верасень,сентябрь
566,Oktober::N,кастрычнік,октябрь
567,November::N,лістапад,ноябрь
568,Dezember::N,снежань,декабрь
569,Montag::N,панядзелак,дүшәмбе
570,Dienstag::N,аўторак,сишәмбе
571,Mittwoch::N,серада,чәршәмбе
572,Donnerstag::N,чацвер,атнакич
573,Donnerstag::N,чацвер,пәнҗешәмбе
574,Freitag::N,пятніца,җомга
575,Samstag::N,субота,шимбә
576,Sonntag::N,нядзеля,якшәмбе
577,groß::A,вялікі,зур
578,klein::A,маленькі,кечкенә
579,lang::A,доўгі,озын
580,kurz::A,кароткі,кыска
581,breit::A,шырокі,киң
582,schmal::A,вузкі,кысык
583,dicht::A,густы,куе
584,dick[Gegenstand]::A,тоўсты,калын
585,dünn::A,тонкі,нечкә
586,fein::A,тонкі,нәзакәтле
587,fest::A,моцны,нык
588,flach::A,плоскі,яссы
589,flach::A,плоскі,ялпак
590,glatt::A,гладкі,шома
591,hart::A,цвёрды,каты
592,weich::A,мяккі,йомшак
593,rund::A,круглы,түгәрәк
594,spitz::A,спічасты,очлы
595,spitz::A,востраканцовы,очлы
596,scharf::A,востры,үткен
597,stumpf::A,тупы,үтмәс
598,schwer::A,цяжкі,салмак
599,schön::A,прыгожы,гүзәл
600,heiß::A,гарачы,эссе
601,warm::A,цёплы,җылы
602,kalt::A,холадны,суык
603,kalt::A,холадны,салкын
604,kühl::A,халаднаваты,салкынча
605,frisch::A,свежы,салкынча
606,feucht::A,вільготны,юеш
607,nass::A,мокры,дымлы
608,trocken::A,сухі,коры
609,voll::A,поўны,тулы
610,leer::A,пусты,буш
611,offen::A,адкрыты,ачык
612,offen::A,адчынены,ачык
613,geschlossen::A,закрыты,йомык
614,geschlossen::A,зачынены,йомык
615,sauber::A,чысты,пакь
616,sauber::A,чысты,чиста
617,schmutzig::A,брудны,керле
618,schmutzig::A,брудны,пычрак
619,roh::A,сыры,чи
620,reif::A,спелы,өлгергән
621,lecker::A,смачны,тәмле
622,süß::A,салодкі,татлы
623,bitter::A,горкі,ачы
624,sauer::A,кіслы,әче
625,hell::A,светлы,якты
626,dunkel::A,цёмны,кара
627,schwarz::A,чорны,кара
628,weiß::A,белы,ак
629,rot::A,чырвоны,кызыл
630,gelb::A,жоўты,сары
631,blau::A,сіні,күк
632,grün::A,зялёны,яшел
633,grau::A,шэры,соры
634,bunt::A,пяресты,чуар
635,billig::A,танны,арзан
636,teuer::A,дарагі,хаклы
637,wertvoll::A,цэнны,кыйммәтле
638,wertvoll::A,каштоўны,кыйммәтле
639,blind::A,сляпы,сукыр
640,blind::A,сляпы,күзсез
641,taub::A,глухі,чукрак
642,taub::A,глухі,саңгырау
643,kräftig::A,магутны,егәрле
644,stark::A,сільны,нык
645,stark::A,сільны,базык
646,schwach::A,слабы,зәгыйфь
647,fett::A,тлусты,симез
648,schlank::A,стройны,нәзек
649,hübsch::A,чароўны,чибәр
650,böse::A,злы,усал
651,dumm::A,дурны,акылсыз
652,faul::A,лянівы,ялкау
653,faul::A,лянівы,иренчәк
654,fleißig::A,руплівы,тырыш
655,fleißig::A,руплівы,тырышучан
656,geizig::A,прагны,саран
657,klug::A,разумны,акыллы
658,geschickt::A,умелы,маһир
659,lieb::A,мілы,сөекле
660,lustig::A,вясёлы,күңелле
661,sanft::A,ласкавы,басынкы
662,hungrig::A,галодны,ач
663,krank::A,хворы,чирле
664,krank::A,хворы,сырхау
665,nackt::A,голы,шәрә
666,traurig::A,сумны,ямансу
667,lebendig::A,жывы,тере
668,gut::A,добры,яхшы
669,schlecht::A,кепскі,начар
670,richtig::A,правільны,дөрес
671,schlimm::A,агідны,әшәкә
672,wahr::A,сапраўдны,чып-чын
673,alt::A,стары,иске
674,neu::A,новы,яңа
675,ehemalig::A,былы,элекке
676,alt[Lebewesen]::A,стары,карт
677,jung::A,малады,яшь
678,arm::A,бедны,фәкыйрь
679,reich::A,багаты,бай
680,bekannt::A,знаёмы,таныш
681,berühmt::A,славуты,атаклы
682,fremd::A,чужы,ят
683,verschieden::A,розны,төрле
684,nah::A,блізкі,якын
685,fern::A,далёкі,ерак
686,linker::A,левы,сул
687,rechter::A,правы,уң
688,anderer::A,іншы,бүтән
689,anderer::A,другі,бүтән
690,erster::A,першы,беренче
691,zweiter::A,другі,икенче
692,dritter::A,трэці,өченче
693,letzter::A,апошні,ахыргы
694,allein::ADV,сам,ялгыз
695,allein::ADV,адзін,ялгыз
696,auf einmal::ADV,адразу,бердән
697,zusammen::ADV,разам,бергә
698,lange::ADV,доўга,озак
699,plötzlich::ADV,раптам,искәрмәстән
700,sofort::ADV,зараз,хәзер
701,später::ADV,пазней,соңрак
702,jetzt::ADV,цяпер,хәзер
703,heute::ADV,сёння,бүген
704,morgen::ADV,заўтра,иртәгә
705,bald::ADV,хутка,тиздән
706,bald::ADV,неўзабаве,тиздән
707,dann::ADV,потым,аннары
708,gestern::ADV,учора,кичә
709,einst::ADV,аднойчы,берчак
710,damals::ADV,тады,ул вакытта
711,damals::ADV,тады,ул чакта
712,danach::ADV,затым,да
713,vorher::ADV,раней,элек
714,zuerst::ADV,спярша,башта
715,zuerst::ADV,спачатку,башта
716,einmal::ADV,адзін раз,бер
717,einmal::ADV,адзін раз,бер мәртәбә
718,manchmal::ADV,часам,кайчакта
719,oft::ADV,часта,еш
720,immer::ADV,заўсёды,һәркайчан
721,niemals::ADV,ніколі,hичбер вакыт
722,hier::ADV,тут,монда
723,hier::ADV,тут,биредә
724,hierhin::ADV,сюды,монда
725,von hier::ADV,адсюль,моннан
726,von hier::ADV,адгэтуль,моннан
727,dort::ADV,там,анда
728,dorthin::ADV,туды,тегеләй
729,geradeaus::ADV,прама,турыдан-туры
730,vorwärts::ADV,наперад,алга
731,rückwärts::ADV,назад,кире
732,zurück::ADV,назад,кире
733,unten::ADV,унізе,түбәндә
734,hinab::ADV,уніз,аска
735,oben::ADV,угары,өстә
736,oben::ADV,угары,югарыда
737,oben::ADV,наверсе,өстә
738,oben::ADV,наверсе,югарыда
739,hinauf::ADV,угару,өскә
740,überall::ADV,усюды,hәркайда
741,nicht::ADV,не,түгел
742,ein wenig::ADV,трошкі,бераз
743,kaum::ADV,ледзьве,көчкә
744,sehr::ADV,вельмі,бик
745,so::ADV,так,алай
746,noch::ADV,яшчэ,янә
747,noch::ADV,яшчэ,тагын
748,nur::ADV,толькі,фәкать
749,schon::ADV,ужо,инде
750,wieder::ADV,зноў,янә
751,wieder::ADV,зноў,тагын
752,vergebens::ADV,дарма,юкка
753,vergebens::ADV,дарэмна,юкка
754,vor::PRP,перад,алдыннан
755,hinter::PRP,за,арттан
756,hinter::PRP,ззаду,арттан
757,unter::PRP,пад,астында
758,durch::PRP,праз,аша
759,neben::PRP,каля,тирәсендә
760,zwischen::PRP,між,арасында
761,zwischen::PRP,паміж,арасында
762,wegen::PRP,з-за,сәбәпле
763,dies::PRN,гэта,бу
764,das::PRN,тое,ул
765,alles::PRN,усё,һәммә
766,ich::PRN,я,мин
767,du::PRN,ты,син
768,er::PRN,ён,ул
769,wir::PRN,мы,без
770,ihr::PRN,вы,сез
771,sie::PRN,яны,ул
772,was::FPRN,што,ни
773,was::FPRN,што,нәрсә
774,wer::FPRN,хто,кем
775,wo::FADV,дзе,кайда
776,wohin::FADV,куды,кая
777,wie::FADV,як,ничек
778,warum::FADV,чаму,нигә
779,wieviel::FNUM,колькі,ничә
780,eins::NUM,адзін,бер
781,zwei::NUM,два,ике
782,drei::NUM,тры,өч
783,vier::NUM,чатыры,дүрт
784,fünf::NUM,пяць,биш
785,sechs::NUM,шесць,алты
786,sieben::NUM,сем,җиде
787,acht::NUM,восем,сигез
788,neun::NUM,дзевяць,тугыз
789,zehn::NUM,дзесяць,ун
790,elf::NUM,адзінаццаць,унбер
791,zwölf::NUM,дванаццаць,унике
792,zwanzig::NUM,дваццаць,егерме
793,dreißig::NUM,трыццаць,утыз
794,vierzig::NUM,сорак,кырык
795,fünfzig::NUM,пядзесят,илле
796,sechzig::NUM,шесдзесят,алтмыш
797,siebzig::NUM,семдзесят,җитмеш
798,achtzig::NUM,восемдзесят,сиксән
799,neunzig::NUM,дзевяноста,туксан
800,hundert::NUM,сто,йөз
801,tausend::NUM,тысяча,мең
802,und::CNJ,і,вә
803,und::CNJ,ды,вә
804,oder::CNJ,або,яки
805,oder::CNJ,або,яисә
806,stehen::V,стаяць,тору
807,sitzen::V,сядзець,утыру
808,liegen::V,ляжаць,яту
809,hängen::V,вісець,эленү
810,werden::V,стаць,булу
811,werden::V,зрабіцца,булу
812,passieren::V,трапіцца,булу
813,beginnen::V,пачацца,башлану
