,Concept_ID,no,lbe
92,Raureif::N,rimfrost,бурса
93,Regenbogen::N,regnbue,ссурул ккуртта
94,Donner::N,torden,къув
95,Strömung::N,strømning,экьинанаву
96,Tropfen::N,dråpe,кӏунтӏ
97,Schaum::N,skum,хьама
98,Schmutz::N,søl,кьяркьи
99,Schmutz::N,skitt,кьяркьи
100,See::N,sjø,бяр
101,Sumpf::N,sump,кунцӏа
102,Sumpf::N,myrlende,кунцӏа
103,Moor::N,myr,
104,Moor::N,myrhei,
105,Wiese::N,eng,кьан
106,Wald::N,skog,вацӏа
107,Hügel::N,haug,бакӏу
108,Hügel::N,bakke,бакӏу
109,Anhöhe::N,haug,
110,Anhöhe::N,bakke,
111,Berg::N,berg,зунтту
112,Berg::N,fjell,зунтту
113,Gipfel::N,topp,мицӏ
114,Höhle::N,hule,нух
115,Abhang::N,li,сун
116,Abhang::N,skråning,сун
117,Quelle::N,kilde,дайдихьу
118,Quelle::N,kilde,бакӏ
119,Bach::N,bekk,чӏрир нех
120,Fluss::N,elv,нех
121,Ufer::N,bredd,зума
122,Küste::N,kyst,зумаинхалу
123,Küste::N,kyst,зуманицӏалу
124,Festland::N,fastland,кьири
125,Meer::N,hav,хьхьири
126,Bucht::N,bukt,
127,Insel::N,øy,жазира
128,Blume::N,blomst,тӏутӏи
129,Gras::N,gress,уртту
130,Wurzel::N,rot,мархха
131,Baum::N,tre,мурхь
132,Stamm::N,stamme,ттарцӏ
133,Rinde::N,bark,ккамара
134,Ast::N,gren,матӏи
135,Zweig::N,kvist,къяртта
136,Blatt::N,blad,чӏапӏи
137,Birke::N,bjørk,кӏялахӏи
138,Birke::N,bjørk,кӏялахӏилул мурхь
139,Kiefer[Baum]::N,furu,ттар
140,Kiefer[Baum]::N,furu,ттарлил мурхь
141,Weide[Baum]::N,selje,щавщи
142,Weide[Baum]::N,piletre,щавщи
143,Tanne::N,gran,ттарлил мурхь
144,Horn::N,horn,хъи
145,Feder::N,fjær,лелуххул тӏиму
146,Fell::N,skinn,бурчу
147,Flügel::N,vinge,хъа
148,Flügel::N,vinge,ххурупӏайрал тӏиму
149,Klaue::N,klauv,михь
150,Kralle::N,klo,ххяппа
151,Schwanz::N,hale,магъ
152,Ei::N,egg,ккунук
153,Nest::N,rede,кюру
154,Bau::N,hi,цукъуккутӏ
155,Tier::N,dyr,хӏайван
156,Herde::N,flokk,газу
157,Kuh::N,ku,оьл
158,Bulle::N,tyr,ниц
159,Pferd::N,hest,чу
160,Schaf::N,får,тта
161,Schwein::N,gris,дунгъуз
162,Hund::N,hund,ккаччи
163,Katze::N,katt,ччиту
164,Bär::N,bjørn,цуша
165,Eichhörnchen::N,ekorn,бюрхттукку
166,Elch::N,elg,ниц-бюрин
167,Fuchs::N,rev,цулчӏа
168,Fuchs::N,rev,куча цулчӏа
169,Hase::N,hare,бюрх
170,Maus::N,mus,кӏулу
171,Wolf::N,ulv,барцӏ
172,Wolf::N,varg,барцӏ
173,Vogel::N,fugl,лелуххи
174,Schwarm::N,sverm,гьухъала
175,Huhn::N,høne,аьнакӏи
176,Hahn::N,hane,ажари
177,Gans::N,gås,къаз
178,Adler::N,ørn,барзу
179,Ente::N,and,урдак
180,Eule::N,ugle,ису
181,Eule::N,ugle,ччиккумяв
182,Kranich::N,trane,кьурукь
183,Krähe::N,kråke,хъатӏу
184,Kuckuck::N,gjøk,ччикку
185,Schwan::N,svane,урттил къаз
186,Fisch::N,fisk,чавахъ
187,Barsch::N,abbor,
188,Hecht::N,gjedde,
189,Schlange[Tier]::N,orm,шатта
190,Schlange[Tier]::N,slange,шатта
191,Wurm::N,orm,кьюнукьай шатта
192,Wurm::N,mark,кьюнукьай шатта
193,Spinne::N,edderkopp,ххялцу
194,Ameise::N,maur,митӏикьукьу
195,Laus::N,lus,
196,Mücke::N,mygg,мичӏак
197,Fliege::N,flue,зимиз
198,Schmetterling::N,sommerfugl,чӏимучӏали
199,Beere::N,bær,хӏаллил ахъулсса
200,Apfel::N,eple,гьивч
201,Pilz::N,sopp,ттуккул иис
202,Zwiebel::N,løk,лаччул чсмусул бакӏ
203,Saat::N,sæd,гьанна
204,Korn::N,korn,къама
205,Heu::N,høy,ххулув
206,Schale::N,skall,ккиртту
207,Grube::N,grop,кӏаланг
208,Falle::N,felle,къатӏа
209,Schlinge::N,snare,хӏатӏ
210,Spur::N,spor,ша
211,Asche::N,aske,лах
212,Dreck::N,møkk,кьяркьи
213,Dreck::N,møkk,венп
214,Dreck::N,skitt,кьяркьи
215,Dreck::N,skitt,венп
216,Eisen::N,jern,мах
217,Gold::N,gull,муси
218,Silber::N,sølv,арцу
219,Kohle::N,kol,кӏалаш
220,Kohle::N,kol,хъуручӏ
221,Kohle::N,kull,кӏалаш
222,Kohle::N,kull,хъуручӏ
223,Glas::N,glass,пюрун
224,Lehm::N,leire,сина аьрщи
225,Sand::N,sand,къун
226,Mensch::N,menneske,инсан
227,Mann::N,mann,чув
228,Mann::N,mann,адимина
229,Frau::N,kvinne,щарсса
230,Frau::N,kvinne,хъамитайпа
231,Kind::N,barn,чӏиви оьрчӏ
232,Junge::N,gutt,оьрчӏ
233,Junge::N,gutt,бурхьин оьрчӏ
234,Mädchen::N,pike,душ
235,Mädchen::N,jente,душ
236,Familie::N,familie,кулпат
237,Großvater::N,bestefar,ттатта
238,Großvater::N,bestefar,ниттил ппу
239,Großmutter::N,bestemor,буттал нину
240,Eltern::N,foreldre,нину-ппу
241,Vater::N,far,ппу
242,Mutter::N,mor,нину
243,Sohn::N,sønn,арс
244,Tochter::N,datter,душ
245,Bruder::N,bror,уссу
246,Schwester::N,søster,ссу
247,Onkel::N,onkel,буттауссу
248,Tante::N,tante,буттал ссу
249,Ehemann::N,ektemann,лас
250,Ehefrau::N,hustru,щар
251,Ehefrau::N,hustru,щарсса
252,Freude::N,glede,шадшиву
253,Freude::N,glede,ххаришиву
254,Gelächter::N,latter,хъяхъаву
255,Glück::N,lykke,талихӏ
256,Kummer::N,sorg,дард
257,Wunsch::N,ønske,мурад
258,Lust::N,lyst,гьавас
259,Lust::N,lyst,ччаву
260,Geist::N,ånd,рухӏ
261,Gedanke::N,tanke,пикри
262,Gedächtnis::N,minne,дакӏний личӏаву
263,Gedächtnis::N,hukommelse,дакӏний личӏаву
264,Verstand::N,forstand,аькьлу
265,Sinn::N,mening,мяъна
266,Sinn::N,betydning,мяъна
267,Grund::N,grunn,багьана
268,Wahrheit::N,sannhet,тӏайламур
269,Wahrheit::N,sannhet,хӏакьмур
270,Gespräch::N,samtale,ихтилат
271,Märchen::N,eventyr,магьа
272,Erzählung::N,fortelling,хавар
273,Nachricht::N,melding,хавар
274,Neuigkeit::N,nyhet,хавар
275,Name::N,navn,цӏа
276,Rätsel::N,gåte,ссигьа
277,Rede::N,tale,гъалгъа
278,Sprache::N,språk,маз
279,Stimme::N,stemme,чӏу
280,Stimme::N,stemme,чӏукӏа
281,Wort::N,ord,махъ
282,Zeichen::N,tegn,лишан
283,Ruf::N,rop,
284,Lärm::N,bråk,чӏу
285,Laut::N,lyd,чӏу
286,Ton::N,tone,чӏу
287,Lied::N,vise,балай
288,Ruhe::N,ro,дигьалагру
289,Leute::N,folk,инсантал
290,Volk::N,folk,ил
291,Volk::N,folk,халкь
292,Arbeit::N,arbeid,заву
293,Gast::N,gjest,хъамаличу
294,Geschenk::N,gave,бухчакарши
295,Geschenk::N,gave,лажинккакку
296,Spiel::N,lek,тӏуркӏу
297,Spiel::N,spill,тӏуркӏу
298,Gesellschaft::N,selskap,жямат
299,Gesellschaft::N,selskap,ккуран
300,Hilfe::N,hjelp,кумаг
301,Freund::N,venn,дус
302,Kamerad::N,kamerat,хӏаласу
303,Angelegenheit::N,sak,иш
304,Angelegenheit::N,anliggende,иш
305,Anzahl::N,antall,аьдад
306,Art::N,art,жинс
307,Art::N,slag,жинс
308,Stück::N,stykke,касак
309,Teil::N,del,бутӏа
310,Hälfte::N,halvdel,дачӏи
311,Kreis::N,ring,кюрщан
312,Kreis::N,sirkel,кюрщан
313,Kreuz::N,kors,ххач
314,Kreuz::N,kryss,ххач
315,Linie::N,linje,щва
316,Strich::N,strek,щва
317,Abstand::N,avstand,манзил
318,Entfernung::N,avstand,манзил
319,Gegend::N,strøk,кӏану
320,Platz::N,plass,
321,Ort::N,sted,кӏану
322,Seite::N,side,чул
323,Seite::N,side,чулухалу
324,Mitte::N,midte,дя
325,Gegenstand::N,gjenstand,зат
326,Sache::N,sak,зат
327,Rand::N,rand,зума
328,Kante::N,kant,
329,Ecke::N,hjørne,мурцӏу
330,Spitze::N,spiss,мицӏ
331,Ende::N,ende,зума
332,Loch::N,hull,ккутӏ
333,Winkel::N,vinkel,мурцӏу
334,Muster::N,mønster,накьич
335,Größe::N,størrelse,
336,Länge::N,lengde,лахъишиву
337,Höhe::N,høyde,лахъшиву
338,Gewicht::N,vekt,дуццин
339,Gewicht::N,vekt,кӏушиву
340,Menge::N,mengde,
341,Haufen::N,haug,бакӏу
342,Haufen::N,bunke,бакӏу
343,Reihe::N,rekke,кьюкьа
344,Boot::N,båt,луткка
345,Ruder::N,åre,весло
346,Ruder::N,åre,чӏатӏа
347,Schlitten::N,slede,чана
348,Schlitten::N,slede,санкка
349,Schlitten::N,kjelke,чана
350,Schlitten::N,kjelke,санкка
351,Ski::N,ski,лижарду
352,Lagerfeuer::N,leirbål,къавтӏн
353,Last::N,bør,гьиву
354,Last::N,last,гьиву
355,Gang::N,gang,нанаву
356,Schritt::N,steg,ша
357,Schritt::N,skritt,ша
358,Norden::N,nord,ухссав
359,Norden::N,nord,ухссавнил чулухалу
360,Süden::N,sør,кьилва
361,Westen::N,vest,баргълагавал
362,Westen::N,vest,баргълагавал чул
363,Osten::N,øst,баргъбуккай чулухалу
364,Holz::N,tre,тӏама
365,Brett::N,fjøl,тахта
366,Brett::N,brett,тахта
367,Platte::N,plate,гъуни
368,Stütze::N,støtte,гьалакӏу
369,Stange::N,stang,къазихъ
370,Stock::N,pinne,ттархь
371,Stab::N,stav,ччантӏакъу
372,Stab::N,kjepp,ччантӏакъу
373,Rohr::N,rør,бургъу
374,Haus::N,hus,къатта
375,Heim::N,hjem,къатта
376,Ofen::N,ovn,пач
377,Fußboden::N,gulv,чӏанкъатта
378,Tisch::N,bord,усттул
379,Stuhl::N,stol,кӏану
380,Wiege::N,vogge,оьрчӏал кӏану
381,Bett::N,seng,тах
382,Regal::N,reol,чӏаму
383,Regal::N,hylle,чӏаму
384,Kiste::N,kasse,яшикӏ
385,Kiste::N,kasse,къурши
386,Fenster::N,vindu,чӏавахьулу
387,Tür::N,dør,нуз
388,Tür::N,dør,нузкьун
389,Tor::N,port,къапу
390,Tor::N,port,дарваза
391,Zaun::N,gjerde,дайгьузанну
392,Dach::N,tak,магъи
393,Dach::N,tak,цӏиялу
394,Leiter::N,stige,чуртту
395,Besen::N,kost,чӏатлу
396,Spaten::N,spade,бил
397,Schaufel::N,skuffe,чӏатӏа
398,Gabel::N,gaffel,гьиссилу
399,Löffel::N,skje,къуса
400,Messer::N,kniv,чӏила
401,Nagel::N,spiker,мяр
402,Netz::N,nett,къери
403,Haken::N,krok,къича
404,Griff::N,tak,куяму
405,Griff::N,håndtak,куяму
406,Schloss::N,lås,кьункьула
407,Bild::N,bilde,сурат
408,Figur::N,figur,
409,Puppe::N,dukke,ссихьу
410,Beutel::N,pose,чантай
411,Bündel::N,bylt,гьи
412,Bündel::N,bylt,къар
413,Tasche::N,veske,
414,Eimer::N,bøtte,бадра
415,Deckel::N,lokk,къапаза
416,Geschirr::N,kjøkkentøy,пюрунчӏул
417,Geschirr::N,kjøkkentøy,тӏахӏникӏичӏу
418,Sack::N,sekk,къап
419,Sack::N,sekk,дарваг
420,Tasse::N,kopp,пижан
421,Tasse::N,kopp,пинжан
422,Tasse::N,kopp,инкираччатӏи
423,Tasse::N,kopp,цинцилттал бушкъап
424,Topf::N,gryte,кӏункӏур
425,Kessel::N,kjele,чаг
426,Kessel::N,kjele,кӏункӏур
427,Essen::N,mål,дукия
428,Essen::N,mål,дукин
429,Nahrung::N,mat,дукра
430,Nahrung::N,næring,дукра
431,Speise::N,matrett,дукра
432,Fleisch::N,kjøtt,дикӏ
433,Getreide::N,korn,къама
434,Brei::N,grøt,ккурч
435,Brot::N,brød,ччатӏ
436,Scheibe::N,skive,парча
437,Fett::N,fett,аьгъушиву
438,Butter::N,smør,нагь
439,Butter::N,smør,лагаву
440,Öl::N,olje,
441,Salz::N,salt,цӏву
442,Suppe::N,suppe,накь
443,Honig::N,honning,ницӏ
444,Milch::N,melk,накӏ
445,Tee::N,te,чяй
446,Leder::N,lær,бурчу
447,Leder::N,skinn,бурчу
448,Wolle::N,ull,ппал
449,Stoff::N,tøy,янна
450,Stoff::N,stoff,янна
451,Nadel::N,nål,ххалаххи
452,Faden::N,tråd,ххал
453,Knopf::N,knapp,банд
454,Knoten::N,knute,къурхъ
455,Farbe::N,farge,сир
456,Kleidung::N,påkledning,янна
457,Kleidung::N,påkledning,лаххия
458,Hemd::N,skjorte,гьухъа
459,Kragen::N,krage,дарвач
460,Ärmel::N,erme,кахха
461,Hose::N,bukse,хӏажак
462,Gürtel::N,belte,мухӏлу
463,Mütze::N,lue,кьяпа
464,Schuh::N,sko,
465,Stiefel::N,støvel,чакма
466,Ring::N,ring,кӏисса
467,Band::N,band,линт
468,Kamm::N,kam,ттарал
469,Spiegel::N,speil,дагьани
470,Riemen::N,rem,эн
471,Schnur::N,snor,хьхьа
472,Leine::N,line,
473,Decke::N,teppe,виргъан
474,Kissen::N,pute,кӏаралу
475,Tuch::N,tøy,карщи
476,Handtuch::N,håndkle,калихьу
477,Handtuch::N,håndkle,лажинлихьу
478,Kraft::N,kraft,эллаж
479,Stärke::N,styrke,гуж
480,Gesundheit::N,helse,цӏуллу-сагъшиву
481,Gesundheit::N,sunnhet,цӏуллу-сагъшиву
482,Krankheit::N,syke,къашайшиву
483,Krankheit::N,sykdom,къашайшиву
484,Schmerz::N,smerte,къюву
485,Wunde::N,sår,щаву
486,Fieber::N,feber,кӏиришиву
487,Arznei::N,medisin,дару
488,Arznei::N,legemiddel,дару
489,Brücke::N,bro,ламу
490,Brunnen::N,brønn,къуй
491,Weide::N,beite,бизантту
492,Pfad::N,sti,жегъир ххуллу
493,Weg::N,vei,ххуллу
494,Straße::N,gate,ххуллу
495,Dorf::N,landsby,щар
496,Dorf::N,landsby,шяравалу
497,Stadt::N,by,шагьру
498,Brief::N,brev,чагъар
499,Buch::N,bok,лу
500,Buchstabe::N,bokstav,хӏарп
501,Zeitung::N,avis,кказит
502,Leben::N,liv,оьрму
503,Tod::N,død,ажал
504,Tod::N,død,бивкӏу
505,Tod::N,død,ивчӏаву
506,Grab::N,grav,гьав
507,Kirche::N,kirke,килиса
508,Sünde::N,synd,бунагъ
509,Gott::N,gud,зал
510,Arbeiter::N,arbeider,зузала
511,Chef::N,sjef,ялувма
512,Meister::N,mester,усттар
513,Arzt::N,lege,хӏакин
514,Lehrer::N,lærer,учитель
515,Geld::N,penger,арцу
516,Geschäft::N,forretning,даву
517,Laden::N,butikk,ттучан
518,Preis::N,pris,багъа
519,Ware::N,vare,хъус
520,Nutzen::N,nytte,хайр
521,Nutzen::N,nytte,мюнпат
522,Reichtum::N,rikdom,давлат
523,Reichtum::N,rikdom,аваданшиву
524,Welt::N,verden,дуниял
525,Land::N,land,билаят
526,Staat::N,stat,паччахӏлугъ
527,König::N,konge,
528,Macht::N,makt,власть
529,Grenze::N,grense,дазу
530,Krieg::N,krig,дяъви
531,Feind::N,fiende,душман
532,Gewalt::N,vold,къия
533,Kampf::N,kamp,лачӏуи уккаву
534,Bogen[Waffe]::N,bue,ккуртта
535,Pfeil::N,pil,чӏатӏаракӏ
536,Gewehr::N,gevær,ттупанг
537,Fehler::N,feil,гъалатӏ
538,Lüge::N,løgn,щялмахъ
539,Schaden::N,skade,зарал
540,Unglück::N,uhell,бала
541,Schuld::N,skyld,тахсир
542,Alter::N,alder,оьрму
543,Schluss::N,slutt,ахир
544,Zeit::N,tid,чӏун
545,Tag::N,dag,кьини
546,Morgen::N,morgen,кӏюрх
547,Mittag::N,middag,ахттайн
548,Mittag::N,middag,дяахттайн
549,Mittag::N,middag,ахттайн чӏун
550,Abend::N,aften,маркӏачӏан
551,Nacht::N,natt,хьхьу
552,Woche::N,uke,нюжмар
553,Monat::N,måned,барз
554,Jahr::N,år,шин
555,Frühling::N,vår,инт
556,Sommer::N,sommer,гъи
557,Herbst::N,høst,ссут
558,Winter::N,vinter,кӏи
559,Januar::N,januar,цалчинмур барз
560,Februar::N,februar,кӏилчинмур барз
561,März::N,mars,шамилчинмур барз
562,April::N,april,апрель
563,April::N,april,мукьилчинмур барз
564,Mai::N,mai,май
565,Mai::N,mai,ххюлчинмур барз
566,Juni::N,juni,июнь
567,Juni::N,juni,ряххилчинмур барз
568,Juli::N,juli,июль
569,Juli::N,juli,Арулчинмур барз
570,August::N,august,мяйлчинмур барз
571,September::N,september,урчӏилчинмур барз
572,Oktober::N,oktober,ацӏилчинмур барз
573,November::N,november,ацӏния цалчинмур барз
574,Dezember::N,desember,ацӏния кӏилчинмур барз
575,Montag::N,mandag,итин
576,Montag::N,mandag,итин кьини
577,Dienstag::N,tirsdag,тталат
578,Dienstag::N,tirsdag,тталат кьини
579,Mittwoch::N,onsdag,арвахӏ
580,Donnerstag::N,torsdag,хамис
581,Freitag::N,fredag,нюжмар
582,Freitag::N,fredag,нюжмар кьини
583,Samstag::N,lørdag,ххуллун
584,Samstag::N,lørdag,ххуллун кьини
585,Sonntag::N,søndag,алхӏат
586,Sonntag::N,søndag,алхӏат кьини
587,groß::A,stor,бугъарасса
588,klein::A,liten,чӏивисса
589,lang::A,lang,лахъисса
590,kurz::A,kort,кутӏасса
591,breit::A,bred,уттасса
592,schmal::A,smal,уттакӏюласса
593,dicht::A,tett,ццунсса
594,dick[Gegenstand]::A,tykk,ганзсса
595,dünn::A,tynn,кӏюласса
596,fein::A,fin,
597,fest::A,fast,цӏакьсса
598,fest::A,fast,кьянкьасса
599,flach::A,flat,баягъисса
600,flach::A,flat,цӏубакъасса
601,flach::A,flat,куртӏ дакъасса
602,glatt::A,glatt,дюрчӏусса
603,hart::A,hard,кьянкьасса
604,weich::A,myk,кӏукӏлусса
605,weich::A,bløt,кӏукӏлусса
606,rund::A,rund,ккурккисса
607,spitz::A,spiss,ярксса
608,spitz::A,spiss,дайлсса
609,spitz::A,spiss,мицӏ бусса
610,scharf::A,kvass,ярксса
611,scharf::A,kvass,дайлсса
612,scharf::A,kvass,мицӏ бусса
613,stumpf::A,stubb,къуркъасса
614,schwer::A,tung,кӏусса
615,schön::A,pen,аьнтӏикӏасса
616,schön::A,vakker,аьнтӏикӏасса
617,heiß::A,het,кӏирисса
618,warm::A,varm,гъелисса
619,kalt::A,kald,дяркъусса
620,kühl::A,kjølig,дюхлулсса
621,frisch::A,fersk,цӏусса
622,feucht::A,fuktig,атилсса
623,feucht::A,fuktig,хъавтусса
624,nass::A,våt,атилсса
625,nass::A,våt,хъавтусса
626,trocken::A,tørr,кьавкьсса
627,trocken::A,tørr,кьакьан бувсса
628,voll::A,full,бувцӏусса
629,leer::A,tom,бачӏвасса
630,offen::A,åpen,тӏивтӏусса
631,geschlossen::A,lukket,лавкьусса
632,sauber::A,ren,марцӏсса
633,schmutzig::A,skitten,чапалсса
634,roh::A,rå,шакъавхьсса
635,reif::A,moden,дирсса
636,lecker::A,lekker,нахӏусса
637,lecker::A,lekker,тӏааьнсса
638,süß::A,søt,нацӏусса
639,bitter::A,besk,кьурчӏисса
640,bitter::A,bitter,кьурчӏисса
641,sauer::A,sur,туршсса
642,hell::A,lys,чаннасса
643,dunkel::A,mørk,цӏансса
644,schwarz::A,svart,лухӏисса
645,weiß::A,hvit,кӏяласса
646,rot::A,rød,ятӏулсса
647,gelb::A,gul,хъахъисса
648,blau::A,blå,някӏсса
649,grün::A,grønn,щюлисса
650,grau::A,grå,оьрусса
651,bunt::A,broket,оьрчӏикӏурисса
652,billig::A,billig,кьювкьусса
653,teuer::A,dyr,ххирасса
654,wertvoll::A,verdifull,багьасса
655,blind::A,blind,мурчӏисса
656,taub::A,døv,къюкӏсса
657,kräftig::A,kraftig,гужсса
658,stark::A,sterk,кьянкьасса
659,schwach::A,svak,заэвсса
660,fett::A,fet,бучсса
661,schlank::A,slank,бювхъусса
662,hübsch::A,pen,янусса
663,böse::A,slem,оьсса
664,dumm::A,dum,ахӏмакьсса
665,faul::A,lat,танмалсса
666,faul::A,lat,курчӏилсса
667,faul::A,doven,танмалсса
668,faul::A,doven,курчӏилсса
669,fleißig::A,flittig,хӏарачат бусса
670,geizig::A,gjerrig,янттарцӏансса
671,klug::A,klok,аькьлу бусса
672,geschickt::A,hendig,паргалсса
673,geschickt::A,skikket,паргалсса
674,lieb::A,kjær,аьзизсса
675,lieb::A,snill,аьзизсса
676,lustig::A,morsom,тяхъасса
677,sanft::A,blid,иминсса
678,hungrig::A,sulten,ккашилсса
679,krank::A,syk,къашавайсса
680,nackt::A,naken,кӏачӏасса
681,traurig::A,sørgmodig,пашмансса
682,lebendig::A,levende,уттавасса
683,gut::A,god,ххуйсса
684,schlecht::A,dårlig,оьккисса
685,richtig::A,riktig,саргъунсса
686,schlimm::A,slem,оьккисса
687,wahr::A,sann,хӏакьсса
688,alt::A,gammel,кугьнасса
689,neu::A,ny,цӏусса
690,ehemalig::A,forhenværende,хъхъичӏвасса
691,alt[Lebewesen]::A,gammel,агьилсса
692,jung::A,ung,чӏавасса
693,jung::A,ung,жагьилсса
694,arm::A,fattig,мискинсса
695,reich::A,rik,авадансса
696,bekannt::A,kjent,дусъсса
697,berühmt::A,berømt,машгьурсса
698,fremd::A,fremmed,чил
699,verschieden::A,forskjellig,личӏи-личӏисса
700,nah::A,nær,гъансса
701,fern::A,fjern,архсса
702,linker::A,venstre,кияхсса
703,linker::A,venstre,кюччахсса
704,rechter::A,høyre,урчӏахсса
705,anderer::A,annen,цамур
706,erster::A,første,цалчинмур
707,erster::A,første,цалчиннсса
708,zweiter::A,annen,кӏилчиимур
709,dritter::A,tredje,шамулчинмур
710,letzter::A,sist,махъва-махъмур
711,allein::ADV,alene,ялгъузну
712,auf einmal::ADV,med ett,
713,zusammen::ADV,sammen,цачӏу
714,zusammen::ADV,sammen,архӏал
715,lange::ADV,lenge,батӏи къабуклай
716,lange::ADV,lenge,хъунмасса хӏаллай
717,plötzlich::ADV,plutselig,цакуну
718,sofort::ADV,straks,мугьлат бакъа
719,später::ADV,senere,махъ
720,jetzt::ADV,nå,утти
721,jetzt::ADV,nå,цӏана
722,heute::ADV,i dag,хӏакьину
723,morgen::ADV,i morgen,гьуит
724,morgen::ADV,i morgen,гьунттий
725,bald::ADV,snart,
726,dann::ADV,så,яла
727,gestern::ADV,i går,лахьхьу
728,einst::ADV,engang,
729,damals::ADV,den gang,та чӏумал
730,danach::ADV,deretter,яла
731,vorher::ADV,før,хьхьнчӏ
732,vorher::ADV,før,хьхьичӏва
733,vorher::ADV,i forveien,хьхьнчӏ
734,vorher::ADV,i forveien,хьхьичӏва
735,zuerst::ADV,først,бакӏрай
736,zuerst::ADV,først,цӏу бутӏуй
737,einmal::ADV,en gang,цал
738,manchmal::ADV,somme tider,ваксса-таксса
739,oft::ADV,ofte,чӏявуну
740,immer::ADV,alltid,мудан
741,immer::ADV,alltid,даиман
742,niemals::ADV,aldri,тачӏав
743,hier::ADV,her,шикку
744,hierhin::ADV,hit,шиккун
745,von hier::ADV,herfra,шичча
746,dort::ADV,der,гикку
747,dorthin::ADV,dit,тиккун
748,geradeaus::ADV,rett fram,тӏайланм
749,vorwärts::ADV,fram,хьхьичӏунмай
750,vorwärts::ADV,framover,хьхьичӏунмай
751,rückwärts::ADV,baklengs,махъа-хьхьичӏунмай
752,zurück::ADV,tilbake,махъунмай
753,unten::ADV,nede,лув
754,hinab::ADV,ned,бакӏ-ялавай
755,hinab::ADV,ned,бакӏъялавай
756,hinab::ADV,nedover,бакӏ-ялавай
757,hinab::ADV,nedover,бакӏъялавай
758,oben::ADV,oppe,ялув
759,oben::ADV,ovenpå,ялув
760,hinauf::ADV,opp,лавай
761,hinauf::ADV,oppover,лавай
762,überall::ADV,overalt,гьариий
763,überall::ADV,overalt,хьу-хьуний
764,überall::ADV,overalt,гьарца кӏанай
765,nicht::ADV,ikke,къа-
766,ein wenig::ADV,litt,чанни
