,Concept_ID,ml,ca
131,Rinde::N,പട്ട,escorça
132,Ast::N,ശാഖ,branca
133,Zweig::N,ശാഖ,ram
134,Blatt::N,ഇല,fulla
135,Birke::N,പൂവരശ്,bedoll
136,Kiefer[Baum]::N,പൈൻമരം,pi
137,Weide[Baum]::N,വില്ലോ,salze
138,Tanne::N,ദേവദാരു,avet
139,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,corn
140,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,banya
141,Feder::N,തൂവൽ,ploma
142,Fell::N,മൃദുരോമം,pell
143,Flügel::N,ചിറക്,ala
144,Klaue::N,നഖം,urpa
145,Kralle::N,നഖം,grapa
146,Schwanz::N,വാൽ,cua
147,Ei::N,മുട്ട,ou
148,Nest::N,കൂട്,niu
149,Bau::N,മാളം,cau
150,Tier::N,മൃഗം,animāl
151,Herde::N,കൂട്ടം,ramat
152,Kuh::N,പശു,vaca
153,Bulle::N,കാള,toro
154,Pferd::N,കുതിര,cavāll
155,Schaf::N,ആട്,be
156,Schaf::N,ആട്,ovella
157,Schwein::N,പന്നി,bacó
158,Hund::N,നായ്,ca
159,Hund::N,നായ്,gos
160,Katze::N,പൂച്ച,gat
161,Bär::N,കരടി,ós
162,Eichhörnchen::N,അണ്ണാൻ,esquirol
163,Elch::N,കടമാന്,ant
164,Fuchs::N,കുറുക്കൻ,guilla
165,Hase::N,മുയൽ,llebre
166,Maus::N,ചുണ്ടലി,ratolí
167,Wolf::N,ചെന്നായ,llop
168,Vogel::N,പക്ഷി,au
169,Vogel::N,പക്ഷി,ocēll
170,Schwarm::N,കൂട്ടം,bandada
171,Huhn::N,കോഴി,gallina
172,Hahn::N,പൂവൻകോഴി,gall
173,Gans::N,അരയന്നം,oca
174,Adler::N,കഴുകൻ,àguila
175,Ente::N,താറാവ്,ànec
176,Eule::N,മൂങ്ങ,òliba
177,Eule::N,മൂങ്ങ,mussol
178,Kranich::N,കൊക്ക്,grua
179,Krähe::N,കാക്ക,cornella
180,Kuckuck::N,കുയിൽ,cucut
181,Schwan::N,അരയന്നം,cigne
182,Fisch::N,മത്സ്യം,peix
183,Barsch::N,ഒരിനം മത്സ്യം,perca
184,Hecht::N,ഒരു മത്സ്യം,lluç
185,Schlange[Tier]::N,പാമ്പ്,serp
186,Wurm::N,വിര,cuc
187,Spinne::N,ചിലന്തി,aranya
188,Ameise::N,ഉറുമ്പ്,formiga
189,Laus::N,പേന്,poll
190,Mücke::N,മശകം,mosquit
191,Fliege::N,ഈച്ച,mosca
192,Schmetterling::N,ചിത്രശലഭം,papallona
193,Beere::N,ബെറി,baia
194,Apfel::N,ആപ്പിൾ,poma
195,Pilz::N,കൂൺ,bolet
196,Zwiebel::N,സവാള,ceba
197,Saat::N,വിത്ത്,sembra
198,Korn::N,ധാന്യം,gra
199,Heu::N,വയ്ക്കോൽ,fenc
200,Schale::N,തൊലി,closca
201,Grube::N,കുഴി,sot
202,Grube::N,കുഴി,clot
203,Falle::N,കെണി,trampa
204,Schlinge::N,കുടുക്ക്,baga
205,Spur::N,ചുവട്,traça
206,Asche::N,ചാരം,cendra
207,Dreck::N,അഴുക്ക്,llot
208,Eisen::N,ഇരുമ്പ്,ferro
209,Gold::N,സ്വർണ്ണം,or
210,Silber::N,വെള്ളി,plata
211,Kohle::N,കൽക്കരി,carbó
212,Glas::N,ഗ്ലാസ്,vidre
213,Lehm::N,കളിമണ്ണ്,fang
214,Lehm::N,കളിമണ്ണ്,argila
215,Sand::N,മണൽ,arena
216,Mensch::N,മനുഷ്യർ,humà
217,Mensch::N,മനുഷ്യർ,persona
218,Mann::N,പുരുഷൻ,home
219,Frau::N,സ്ത്രീ,dona
220,Kind::N,കുഞ്ഞ്,nen
221,Junge::N,ആൺകുട്ടി,noi
222,Mädchen::N,പെൺകുട്ടി,noia
223,Familie::N,കുടുംബം,família
224,Großvater::N,അപ്പൂപ്പൻ,avi
225,Großmutter::N,അമ്മുമ്മ,àvia
226,Eltern::N,മാതാപിതാക്കള്,pares
227,Vater::N,അച്ഛൻ,pare
228,Mutter::N,അമ്മ,mare
229,Sohn::N,മകൻ,fill
230,Tochter::N,മകൾ,filla
231,Bruder::N,ചേട്ടൻ,germà
232,Bruder::N,അനിയൻ,germà
233,Schwester::N,ചേച്ചി,germana
234,Schwester::N,അനിയത്തി,germana
235,Onkel::N,അമ്മാവൻ,oncle
236,Tante::N,മാമി,tia
237,Ehemann::N,ഭർത്താവ്,espòs
238,Ehefrau::N,ഭാര്യ,muller
239,Freude::N,ആഹ്ലാദം,goig
240,Freude::N,ആഹ്ലാദം,alegria
241,Gelächter::N,ചിരിയുടെ ശബ്ദം,riallada
242,Glück::N,സന്തോഷം,felicitat
243,Glück::N,സന്തുഷ്ടി,felicitat
244,Kummer::N,ശോകം,pena
245,Wunsch::N,ആഗ്രഹം,desig
246,Lust::N,ആഗ്രഹം,ganes
247,Geist::N,ചുറുചുറുക്ക്,ment
248,Geist::N,ചുറുചുറുക്ക്,esperit
249,Gedanke::N,ചിന്ത,pensament
250,Gedächtnis::N,ഓർമ്മശക്തി,memòria
251,Verstand::N,മനസ്സ്,raó
252,Verstand::N,മനസ്സ്,seny
253,Sinn::N,അർത്ഥം,solta
254,Sinn::N,അർത്ഥം,sentit
255,Grund::N,കാരണം,raó
256,Grund::N,കാരണം,causa
257,Wahrheit::N,സത്യം,veritāt
258,Gespräch::N,സല്ലാപം,conversa
259,Märchen::N,യക്ഷിക്കഥ,conte
260,Erzählung::N,കഥ,narració
261,Nachricht::N,സന്ദേശം,missatge
262,Neuigkeit::N,വാർത്ത,novetat
263,Name::N,പേര്,nom
264,Rätsel::N,പ്രഹേളിക,endevinalla
265,Rede::N,സംസാരം,discurs
266,Sprache::N,ഭാഷ,llēngua
267,Stimme::N,സ്വരം,veu
268,Wort::N,വാക്ക്,mot
269,Wort::N,വാക്ക്,paraula
270,Zeichen::N,സംജ്ഞ,signe
271,Zeichen::N,സംജ്ഞ,senyal
272,Ruf::N,വിളി,crida
273,Lärm::N,ആരവം,sorōll
274,Laut::N,ശബ്ദം,so
275,Ton::N,സ്വരഭേദം,to
276,Lied::N,പാട്ട്,cançó
277,Ruhe::N,നിശ്ചലത,calma
278,Ruhe::N,നിശ്ചലത,silenci
279,Leute::N,ജനങ്ങൾ,gent
280,Volk::N,രാഷ്ടം,poble
281,Arbeit::N,ജോലി,labor
282,Arbeit::N,ജോലി,treball
283,Gast::N,അതിലി,hoste
284,Geschenk::N,സമ്മാനം,regal
285,Geschenk::N,സമ്മാനം,obsequi
286,Spiel::N,കളി,joc
287,Gesellschaft::N,കൂട്ടായ്മ,companyia
288,Hilfe::N,സഹായം,ajut
289,Freund::N,സുഹൃത്ത്,amīc
290,Kamerad::N,കൂട്ടാളി,company
291,Kamerad::N,കൂട്ടാളി,camarada
292,Angelegenheit::N,കാര്യം,afer
293,Angelegenheit::N,കാര്യം,assumpte
294,Anzahl::N,എണ്ണം,nombre
295,Anzahl::N,എണ്ണം,quantitat
296,Art::N,തരം,tipus
297,Art::N,തരം,classe
298,Stück::N,കഷണം,peça
299,Teil::N,ഭാഗം,part
300,Hälfte::N,പകുതി,meitat
301,Kreis::N,വൃത്തം,cercle
302,Kreuz::N,കുരിശടയാളം,creu
303,Linie::N,വര,línia
304,Linie::N,രേഖ,línia
305,Strich::N,പക്ഷാഘാതം,traç
306,Strich::N,പക്ഷാഘാതം,ratlla
307,Abstand::N,വിടവ്,distància
308,Entfernung::N,അകലം,distància
309,Gegend::N,പ്രദേശം,regió
310,Gegend::N,പ്രദേശം,contrada
311,Platz::N,ഇടം,cabuda
312,Ort::N,സ്ഥലം,lloc
313,Seite::N,വശം,banda
314,Seite::N,വശം,costāt
315,Mitte::N,മധ്യസ്ഥാനം,mig
316,Mitte::N,മധ്യസ്ഥാനം,centre
317,Gegenstand::N,സാധനം,objecte
318,Sache::N,വസ്തു,cosa
319,Rand::N,തൊങ്ങൽ,vora
320,Rand::N,തൊങ്ങൽ,marge
321,Kante::N,അറ്റം,caire
322,Kante::N,അറ്റം,cantell
323,Ecke::N,മൂല,cantonada
324,Spitze::N,അഗ്രം,punta
325,Ende::N,അവസാനം,cap
326,Loch::N,ദ്വാരം,forāt
327,Winkel::N,കോൺ,racó
328,Muster::N,ക്രമം,dibuix
329,Muster::N,ക്രമം,disseny
330,Größe::N,വലുപ്പം,grandària
331,Länge::N,നീളം,longitud
332,Höhe::N,ഉയരം,altura
333,Höhe::N,ഉയരം,altitud
334,Gewicht::N,കട്ടി,pes
335,Menge::N,അളവ്,quantitat
336,Haufen::N,കൂമ്പാരം,pila
337,Reihe::N,വരി,fila
338,Boot::N,ബോട്ട്,bot
339,Boot::N,ബോട്ട്,barca
340,Ruder::N,പങ്കായം,rem
341,Schlitten::N,ഉരുളില്ലാവണ്ടി,trineu
342,Ski::N,ഹിമപാദുകം,esquí
343,Lagerfeuer::N,തീ,foc de campament
344,Last::N,ഭാരം,càrrega
345,Gang::N,നടത്തം,marxa
346,Schritt::N,ചുവട്,pas
347,Norden::N,വടക്ക്,nord
348,Süden::N,തെക്ക്,sud
349,Westen::N,പടിഞ്ഞാറ്,oest
350,Westen::N,പടിഞ്ഞാറ്,occident
351,Osten::N,കിഴക്ക്,est
352,Osten::N,കിഴക്ക്,orient
353,Holz::N,തടി,fusta
354,Brett::N,ബോർഡ്,taula
355,Platte::N,തകിട്,placa
356,Stütze::N,താങ്ങ്,suport
357,Stange::N,കമ്പ്,vara
358,Stock::N,വടി,pal
359,Stab::N,കുറുവടി,bastó
360,Rohr::N,കുഴൽ,tub
361,Haus::N,വീട്,casa
362,Heim::N,വീട്,llar
363,Ofen::N,സ്റ്റൌ,estufa
364,Fußboden::N,തറ,terra
365,Tisch::N,മേശ,taula
366,Stuhl::N,കസേര,cadira
367,Wiege::N,തൊട്ടിൽ,bressol
368,Bett::N,കിടക്ക,llit
369,Regal::N,ഷെൽഫ്,prestatgeria
370,Kiste::N,പെട്ടി,caixa
371,Fenster::N,ജനൽ,finestra
372,Tür::N,വാതിൽ,porta
373,Tor::N,കവാടം,portal
374,Zaun::N,വേലി,tanca
375,Dach::N,മേൽക്കുര,teulada
376,Leiter::N,ഏണി,escala
377,Leiter::N,ഏണി,escala de mà
378,Besen::N,ചൂല്,escombra
379,Spaten::N,തൂമ്പ,pala
380,Schaufel::N,തൂമ്പ,pala
381,Gabel::N,മുൾക്കത്തി,forquilla
382,Löffel::N,സ്പൂൺ,cullera
383,Messer::N,കത്തി,coltell
384,Nagel::N,ആണി,clau
385,Netz::N,വല,filat
386,Haken::N,കൊളുത്ത്,ganxo
387,Griff::N,കൈപ്പിടി,puny
388,Griff::N,കൈപ്പിടി,mànec
389,Schloss::N,പൂട്ട്,pany
390,Bild::N,ചിത്രം,imatge
391,Figur::N,കണക്ക്,figura
392,Puppe::N,പാവ,nina
393,Beutel::N,ബാഗ്,bossa
394,Bündel::N,കെട്ട്,feix
395,Bündel::N,കെട്ട്,paquet
396,Tasche::N,ബാഗ്,bossa
397,Eimer::N,ബക്കറ്റ്,galleda
398,Deckel::N,ഉറ,tapa
399,Deckel::N,ഉറ,tapadora
400,Geschirr::N,പിഞ്ഞാണം,vaixella
401,Sack::N,ചാക്ക്,sac
402,Sack::N,ചാക്ക്,saca
403,Tasse::N,കപ്പ്,tassa
404,Topf::N,പാത്രം,pot
405,Topf::N,പാത്രം,olla
406,Kessel::N,കെറ്റ്ല്,caldera
407,Essen::N,ആഹാരസമയം,àpat
408,Essen::N,ആഹാരസമയം,menjada
409,Nahrung::N,ഭക്ഷണം,aliment
410,Speise::N,ഡിഷ്,plat
411,Fleisch::N,മാംസം,carn
412,Getreide::N,ചോളം,cereals
413,Brei::N,കഞ്ഞി,puré
414,Brot::N,റോട്ടി,pa
415,Scheibe::N,തുണ്ട്,tall
416,Scheibe::N,തുണ്ട്,llesca
417,Fett::N,കൊഴുപ്പ്,greix
418,Butter::N,വെണ്ണ,mantega
419,Öl::N,എണ്ണ,oli
420,Salz::N,ഉപ്പ്,sal
421,Suppe::N,സൂപ്പ്,sopa
422,Honig::N,തേൻ,mel
423,Milch::N,പാൽ,llet
424,Tee::N,ചായ,te
425,Leder::N,തുകൽ,cuir
426,Wolle::N,കമ്പിളി,llana
427,Stoff::N,തുണി,tela
428,Nadel::N,സൂചി,agulla
429,Faden::N,നൂല്,fil
430,Knopf::N,ബട്ടൺ,botó
431,Knoten::N,കുരുക്ക്,nus
432,Farbe::N,പെയിൻറ്,pintura
433,Kleidung::N,വസ്ത്രങ്ങൾ,roba
434,Kleidung::N,വസ്ത്രങ്ങൾ,vestits
435,Hemd::N,ഷർട്ട്,camisa
436,Kragen::N,കുപ്പായക്കഴുത്ത്,coll
437,Ärmel::N,കുപ്പായക്കൈ,màniga
438,Hose::N,ട്രൌസർ,pantalōns
439,Gürtel::N,ബെൽറ്റ്,cinturó
440,Mütze::N,തൊപ്പി,gorra
441,Schuh::N,ഷൂ,sabata
442,Stiefel::N,ബൂട്ട്,bota
443,Ring::N,മോതിരം,anell
444,Band::N,റിബൺ,veta
445,Band::N,റിബൺ,cinta
446,Kamm::N,ചീപ്പ്,pinta
447,Spiegel::N,കണ്ണാടി,mirāll
448,Riemen::N,സ്ട്രാപ്പ്,corretja
449,Schnur::N,ചരട്,corda
450,Leine::N,കെട്ടാനുള്ള തോൽവാർ,corretja
451,Decke::N,പുതപ്പ്,manta
452,Decke::N,പുതപ്പ്,flassada
453,Kissen::N,തലയിണ,coixí
454,Tuch::N,സ്കാർഫ്,mocador
455,Handtuch::N,തോർത്ത്,tovallola
456,Kraft::N,ശക്തി,força
457,Stärke::N,ശക്തി,vigor
458,Gesundheit::N,ആരോഗ്യം,salut
459,Krankheit::N,അസുഖം,malaltia
460,Schmerz::N,വേദന,dolor
461,Wunde::N,മുറിവ്,ferida
462,Fieber::N,പനി,febre
463,Arznei::N,മരുന്ന്,medicament
464,Brücke::N,പാലം,pont
465,Brunnen::N,കിണർ,pou
466,Weide::N,മേച്ചൽ,pastura
467,Pfad::N,വഴി,senda
468,Pfad::N,വഴി,sender
469,Weg::N,വഴി,camí
470,Straße::N,റോഡ്,carretera
471,Dorf::N,ഗ്രാമം,poble
472,Stadt::N,നഗരം,ciutāt
473,Brief::N,കത്ത്,carta
474,Buch::N,പുസ്തകം,llibre
475,Buchstabe::N,അക്ഷരം,lletra
476,Zeitung::N,വർത്തമാനപത്രം,diāri
477,Leben::N,ജീവൻ,vida
478,Tod::N,മരണം,mort
479,Grab::N,ശവക്കുഴി,tomba
480,Kirche::N,പള്ളി,església
481,Sünde::N,പാപം,pecat
482,Gott::N,ദൈവം,déu
483,Arbeiter::N,ജോലിക്കാരൻ,obrer
484,Chef::N,മേധാവി,cap
485,Meister::N,യജമാനൻ,mestre
486,Arzt::N,ഡോക്ടർ,metge
487,Lehrer::N,അധ്യാപകൻ,mestre
488,Geld::N,പണം,dinērs
489,Geschäft::N,ബിസിനസ്,negoci
490,Laden::N,കട,tenda
491,Laden::N,കട,botiga
492,Preis::N,വില,preu
493,Ware::N,ചരക്ക്,mercaderia
494,Nutzen::N,ലാഭം,profit
495,Reichtum::N,ധനം,riquesa
496,Welt::N,ലോകം,món
497,Land::N,രാജ്യം,país
498,Staat::N,രാജ്യം,estat
499,König::N,രാജാവ്,rei
500,Macht::N,അധികാരം,poder
501,Macht::N,അധികാരം,potència
502,Grenze::N,അതിർത്തി,frontera
503,Krieg::N,യുദ്ധം,guerra
504,Feind::N,ശത്രു,enemic
505,Gewalt::N,അക്രമം,violència
506,Kampf::N,പോരാട്ടം,lluita
507,Bogen[Waffe]::N,വില്ല്,arc
508,Pfeil::N,അമ്പ്,fletxa
509,Gewehr::N,തോക്ക്,fusell
510,Gewehr::N,തോക്ക്,escopeta
511,Fehler::N,പിശക്,falta
512,Lüge::N,കള്ളം,mentida
513,Schaden::N,കേടുപാട്,dany
514,Unglück::N,ദൌർഭാഗ്യം,desgràcia
515,Schuld::N,തെറ്റ്,culpa
516,Alter::N,വയസ്സ്,edat
517,Schluss::N,നിഗമനം,fi
518,Schluss::N,നിഗമനം,final
519,Zeit::N,സമയം,temps
520,Tag::N,ദിവസം,dia
521,Morgen::N,പ്രഭാതം,matí
522,Mittag::N,ഉച്ച,migdia
523,Abend::N,സായാഹ്നം,vespre
524,Nacht::N,രാത്രി,nit
525,Woche::N,ആഴ്ച,setmana
526,Monat::N,മാസം,mes
527,Jahr::N,വർഷം,any
528,Frühling::N,വസന്തം,primavera
529,Sommer::N,വേനൽ,estīu
530,Herbst::N,ശരത്കാലം,tardor
531,Winter::N,ശൈത്യം,hivērn
532,Januar::N,ജനുവരി,gener
533,Februar::N,ഫെബ്രുവരി,febrer
534,März::N,മാർച്ച്,març
535,April::N,ഏപ്രിൾ മാസം,abril
536,Mai::N,മെയ് മാസം,maig
537,Juni::N,ജൂൺ,juny
538,Juli::N,ജൂലൈ,juliol
539,August::N,ആഗസ്റ്റ്,agost
540,September::N,സെപ്തംബർ,setembre
541,Oktober::N,ഒക്ടോബർ,octubre
542,November::N,നവംബർ,novembre
543,Dezember::N,ഡിസംബർ,desembre
544,Montag::N,തിങ്കളാഴ്ച,dilluns
545,Dienstag::N,ചൊവ്വ,dimarts
546,Mittwoch::N,ബുധനാഴ്ച,dimecres
547,Donnerstag::N,വ്യാഴാഴ്ച,dijous
548,Freitag::N,വെള്ളിയാഴ്ച,divendres
549,Samstag::N,ശനിയാഴ്ച,dissabte
550,Sonntag::N,ഞായറാഴ്ച,diumenge
551,groß::A,വലിയ,gros
552,klein::A,ചെറിയ,petīt
553,lang::A,നീണ്ട,llarg
554,kurz::A,ഹ്രസ്വമായ,curt
555,breit::A,വിശാലമായ,ample
556,schmal::A,ഇടുങ്ങിയ,estret
557,dicht::A,നിബിഡമായ,dens
558,dick[Gegenstand]::A,തടിച്ച,gruixūt
559,dünn::A,മെലിഞ്ഞ,prim
560,fein::A,നേർത്ത,fi
561,fest::A,ഉറപ്പുള്ള,ferm
562,fest::A,ഉറപ്പുള്ള,sòlid
563,flach::A,പരന്ന,pla
564,glatt::A,മിനുസമുള്ള,llis
565,hart::A,കട്ടിയുള്ള,dur
566,weich::A,മൃദുവായ,tou
567,rund::A,വട്ടത്തിലുള്ള,rodó
568,spitz::A,മുനയുള്ള,punxegut
569,scharf::A,മൂർച്ചയുള്ള,agut
570,stumpf::A,തുറന്നടിക്കുന്ന,rom
571,stumpf::A,തുറന്നടിക്കുന്ന,esmussat
572,schwer::A,ഭാരമുള്ള,pesāt
573,schön::A,മനോഹരമായ,bonīc
574,heiß::A,ചൂടുള്ള,calēnt
575,warm::A,ചൂടുള്ള,càlid
576,kalt::A,തണുത്ത,fred
577,kühl::A,തണുപ്പുള്ള,fresc
578,frisch::A,ശുദ്ധമായ,fresc
579,feucht::A,ഈറനുള്ള,humit
580,nass::A,നനഞ്ഞ,mullat
581,trocken::A,വരണ്ട,sec
582,voll::A,നിറയെ,ple
583,leer::A,ഒഴിഞ്ഞ,buit
584,offen::A,തുറന്ന,obert
585,geschlossen::A,അടച്ച,tancat
586,sauber::A,വൃത്തിയുള്ള,net
587,schmutzig::A,അഴുക്കുനിറഞ്ഞ,brut
588,roh::A,അസംസ്കൃതമായ,cru
589,reif::A,പഴുത്ത,madur
590,lecker::A,രുചികരമായ,deliciós
591,süß::A,മധുരമുള്ള,dolç
592,bitter::A,കടുത്ത,amarg
593,sauer::A,പുളിപ്പുള്ള,agre
594,hell::A,ജ്വലിക്കുന്ന,clar
595,dunkel::A,ഇരുണ്ട,fosc
596,schwarz::A,കറുത്ത,negre
597,weiß::A,വെളുത്ത,blanc
598,rot::A,ചുവന്ന,vermēll
599,gelb::A,മഞ്ഞനിറമായ,groc
600,blau::A,നീലനിറമുള്ള,blau
601,grün::A,പച്ചനിറമുള്ള,verd
602,grau::A,ചാരനിറത്തിലുള്ള,gris
603,bunt::A,വർണ്ണശബളമായ,multicolor
604,billig::A,വിലകുറഞ്ഞ,barat
605,teuer::A,ചെലവേറിയ,car
606,wertvoll::A,വിലപിടിപ്പുള്ള,preciós
607,blind::A,അന്ധനായ,cec
608,taub::A,കേൾവിക്കുറവുള്ള,sord
609,kräftig::A,ശക്തിയുള്ള,fort
610,kräftig::A,ശക്തിയുള്ള,vigorós
611,stark::A,ബലമുള്ള,fort
612,schwach::A,ക്ഷീണിച്ച,feble
613,fett::A,കൊഴുപ്പുള്ള,gras
614,schlank::A,മെലിഞ്ഞ,esvelt
615,hübsch::A,മനോഹരമായ,maco
616,böse::A,പാപിയായ,dolent
617,dumm::A,വിവരംകെട്ട,ximple
618,dumm::A,വിവരംകെട്ട,estúpid
619,faul::A,അലസനായ,gandūl
620,faul::A,അലസനായ,mandrós
621,fleißig::A,അദ്ധ്വാനശീലമുള്ള,diligēnt
622,geizig::A,പിശുക്കനായ,avar
623,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,intel·ligent
624,geschickt::A,പ്രതിഭാശാലി,hàbil
625,lieb::A,പ്രിയപ്പെട്ട,amat
626,lieb::A,പ്രിയപ്പെട്ട,estimat
627,lustig::A,ആനന്ദകരമായ,alegre
628,sanft::A,സൌമ്യമായ,suau
629,hungrig::A,വിശപ്പുള്ള,afamat
630,krank::A,അസുഖമുള്ള,malālt
631,nackt::A,നഡമായ,nu
632,traurig::A,വിഷമമുള്ള,trist
633,lebendig::A,ഉപജീവനം,viu
634,gut::A,നല്ല,bo
635,schlecht::A,മോശമായ,dolēnt
636,richtig::A,ശരിയായ,just
637,richtig::A,ശരിയായ,correcte
638,schlimm::A,വൃത്തികെട്ട,greu
639,wahr::A,ശരിയായ,vertader
640,wahr::A,ശരിയായ,veritable
641,alt::A,പഴയ,vell
642,neu::A,പുതിയ,nou
643,ehemalig::A,മുൻ,antic
644,alt[Lebewesen]::A,വയസ്സുള്ള,vell
645,jung::A,കൌമാരമായ,jove
646,arm::A,പാവപ്പെട്ട,pobre
647,reich::A,സമ്പന്നമായ,ric
648,bekannt::A,പരിചിതമായ,conegut
649,berühmt::A,പ്രശസ്തനായ,famós
650,fremd::A,വൈദേശികമായ,estrany
651,verschieden::A,വ്യത്യസ്തമായ,diferent
652,nah::A,അരികത്തുള്ള,pròxim
653,fern::A,അകലെയുള്ള,llunyà
654,fern::A,അകലെയുള്ള,distant
