,Concept_ID,tt,uz
367,Schaufel::N,көрәк,kurak
368,Gabel::N,чәннечке,bilka
369,Löffel::N,кашык,qoshiq
370,Messer::N,пычак,pichoq
371,Nagel::N,кадак,mix
372,Netz::N,челтәр,to'r
373,Haken::N,ыргак,ilgak
374,Griff::N,тотка,sop
375,Griff::N,тотка,tutqich
376,Schloss::N,йозак,qulf
377,Bild::N,рәсем,rasm
378,Bild::N,картина,rasm
379,Figur::N,сын,shakl
380,Figur::N,фигура,shakl
381,Puppe::N,курчак,ko'g'irchoq
382,Beutel::N,луза,to'rva
383,Bündel::N,бәйләм,bog'lam
384,Tasche::N,букча,kissa
385,Eimer::N,чиләк,chelak
386,Deckel::N,капкач,qopqoq
387,Geschirr::N,савыт-саба,idish
388,Geschirr::N,кашык-аяк,idish
389,Sack::N,капчык,qop
390,Tasse::N,чынаяк,piyola
391,Topf::N,чүлмәк,tuvak
392,Kessel::N,казан,qozon
393,Essen::N,ашау,tomoq
394,Nahrung::N,азык,emak
395,Nahrung::N,тәгам,emak
396,Nahrung::N,ашамлык,emak
397,Speise::N,ризык,taom
398,Fleisch::N,ит,go'sht
399,Getreide::N,ашлык,g'alla
400,Brei::N,ботка,bo'tqa
401,Brot::N,ипи,non
402,Brot::N,икмәк,non
403,Scheibe::N,телем,disk
404,Fett::N,май,moy
405,Butter::N,май,yog'
406,Öl::N,май,moy
407,Salz::N,тоз,tuz
408,Suppe::N,шулпа,sho'rva
409,Honig::N,бал,asal
410,Milch::N,сөт,sut
411,Tee::N,чәй,choy
412,Leder::N,күн,charm
413,Wolle::N,йон,jun
414,Stoff::N,тукыма,mato
415,Nadel::N,энә,igna
416,Faden::N,җеп,ip
417,Knopf::N,төймә,tugma
418,Knoten::N,төен,tugun
419,Farbe::N,буяу,bo'yok
420,Kleidung::N,кием,kiyim
421,Hemd::N,күлмәк,ko'ylak
422,Kragen::N,яка,yoqa
423,Ärmel::N,җиң,yeng
424,Hose::N,чалбар,shim
425,Gürtel::N,билбау,tasma
426,Mütze::N,бүрек,shapka
427,Schuh::N,башмак,but
428,Stiefel::N,итек,botinka
429,Ring::N,балдак,yuzuk
430,Band::N,тасма,rishta
431,Kamm::N,тарак,taroq
432,Spiegel::N,көзге,ko'zgu
433,Riemen::N,каеш,qayish
434,Schnur::N,бау,bog'ich
435,Leine::N,тезген,etak
436,Decke::N,юрган,odyol
437,Kissen::N,мендәр,yostiq
438,Tuch::N,яулык,gazlama
439,Handtuch::N,сөлгә,sochiq
440,Kraft::N,егәр,kuch
441,Kraft::N,дәрман,kuch
442,Stärke::N,көч,quvvat
443,Stärke::N,дәрман,quvvat
444,Gesundheit::N,саулык,sog'lik
445,Krankheit::N,чир,kasallik
