,Concept_ID,uk,uk
130,Horn::N,ріг,ріг
131,Feder::N,перо,перо
132,Fell::N,хутро,хутро
133,Flügel::N,крило,крило
134,Klaue::N,кіготь,кіготь
135,Kralle::N,лапа,лапа
136,Schwanz::N,хвіст,хвіст
137,Ei::N,яйце,яйце
138,Nest::N,гніздо,гніздо
139,Bau::N,лігво,лігво
140,Tier::N,тварина,тварина
141,Herde::N,стадо,стадо
142,Kuh::N,корова,корова
143,Bulle::N,бик,бик
144,Bulle::N,бик,бугай
145,Bulle::N,бугай,бик
146,Bulle::N,бугай,бугай
147,Pferd::N,кінь,кінь
148,Schaf::N,вівця,вівця
149,Schwein::N,свиня,свиня
150,Hund::N,собака,собака
151,Katze::N,кішка,кішка
152,Bär::N,ведмідь,ведмідь
153,Eichhörnchen::N,білка,білка
154,Elch::N,лось,лось
155,Fuchs::N,лисиця,лисиця
156,Hase::N,заєць,заєць
157,Maus::N,миша,миша
158,Wolf::N,вовк,вовк
159,Vogel::N,птах,птах
160,Schwarm::N,зграя,зграя
161,Huhn::N,курка,курка
162,Hahn::N,півень,півень
163,Gans::N,гуска,гуска
164,Adler::N,орел,орел
165,Ente::N,качка,качка
166,Eule::N,сова,сова
167,Kranich::N,журавель,журавель
168,Krähe::N,ворона,ворона
169,Kuckuck::N,зозуля,зозуля
170,Schwan::N,лебідь,лебідь
171,Fisch::N,риба,риба
172,Barsch::N,окунь,окунь
173,Hecht::N,щука,щука
174,Schlange[Tier]::N,змія,змія
175,Wurm::N,черв’як,черв’як
176,Spinne::N,павук,павук
177,Ameise::N,мурашка,мурашка
178,Laus::N,воша,воша
179,Mücke::N,комар,комар
180,Fliege::N,муха,муха
181,Schmetterling::N,метелик,метелик
182,Beere::N,ягода,ягода
183,Apfel::N,яблуко,яблуко
184,Pilz::N,гриб,гриб
185,Zwiebel::N,цибуля,цибуля
186,Saat::N,сім’я,сім’я
187,Korn::N,зерно,зерно
188,Heu::N,сіно,сіно
189,Schale::N,шкірка,шкірка
190,Grube::N,яма,яма
191,Falle::N,пастка,пастка
192,Schlinge::N,петля,петля
193,Spur::N,слід,слід
194,Asche::N,зола,зола
195,Asche::N,зола,попіл
196,Asche::N,попіл,зола
197,Asche::N,попіл,попіл
198,Dreck::N,бруд,бруд
199,Eisen::N,залізо,залізо
200,Gold::N,золото,золото
201,Silber::N,срібло,срібло
202,Kohle::N,вугілля,вугілля
203,Glas::N,скло,скло
204,Lehm::N,глина,глина
205,Sand::N,пісок,пісок
206,Mensch::N,людина,людина
207,Mann::N,чоловік,чоловік
208,Frau::N,жінка,жінка
209,Kind::N,дитина,дитина
210,Junge::N,хлопець,хлопець
211,Mädchen::N,дівчина,дівчина
212,Familie::N,сім’я,сім’я
213,Familie::N,сім’я,родина
214,Familie::N,родина,сім’я
215,Familie::N,родина,родина
216,Großvater::N,дідусь,дідусь
217,Großmutter::N,бабуся,бабуся
218,Eltern::N,батьки,батьки
219,Vater::N,батько,батько
220,Mutter::N,мати,мати
221,Sohn::N,син,син
222,Tochter::N,дочка,дочка
223,Bruder::N,брат,брат
224,Schwester::N,сестра,сестра
225,Onkel::N,дядько,дядько
226,Tante::N,тітка,тітка
227,Ehemann::N,чоловік,чоловік
228,Ehefrau::N,жінка,жінка
229,Ehefrau::N,жінка,дружина
230,Ehefrau::N,дружина,жінка
231,Ehefrau::N,дружина,дружина
232,Freude::N,радощі,радощі
233,Gelächter::N,сміх,сміх
234,Glück::N,щастя,щастя
235,Kummer::N,горе,горе
236,Wunsch::N,бажання,бажання
237,Lust::N,бажання,бажання
238,Geist::N,дух,дух
239,Gedanke::N,думка,думка
240,Gedächtnis::N,пам’ять,пам’ять
241,Verstand::N,розум,розум
242,Sinn::N,зміст,зміст
243,Sinn::N,зміст,значення
244,Sinn::N,значення,зміст
245,Sinn::N,значення,значення
246,Grund::N,причина,причина
247,Wahrheit::N,правда,правда
248,Gespräch::N,розмова,розмова
249,Märchen::N,байка,байка
250,Erzählung::N,повість,повість
251,Erzählung::N,повість,оповідання
252,Erzählung::N,оповідання,повість
253,Erzählung::N,оповідання,оповідання
254,Nachricht::N,повідомлення,повідомлення
255,Neuigkeit::N,новина,новина
256,Name::N,ім’я,ім’я
257,Rätsel::N,загадка,загадка
258,Rede::N,промова,промова
259,Sprache::N,мова,мова
260,Stimme::N,голос,голос
261,Wort::N,слово,слово
262,Zeichen::N,знак,знак
263,Ruf::N,оклик,оклик
264,Lärm::N,шум,шум
265,Laut::N,звук,звук
266,Ton::N,тон,тон
267,Lied::N,пісня,пісня
268,Ruhe::N,спокій,спокій
269,Leute::N,люди,люди
270,Volk::N,народ,народ
271,Arbeit::N,робота,робота
272,Gast::N,гість,гість
273,Geschenk::N,подарунок,подарунок
274,Spiel::N,гра,гра
275,Gesellschaft::N,товариство,товариство
276,Hilfe::N,допомога,допомога
277,Freund::N,друг,друг
278,Freund::N,друг,приятель
279,Freund::N,приятель,друг
280,Freund::N,приятель,приятель
281,Kamerad::N,товариш,товариш
282,Angelegenheit::N,справа,справа
283,Anzahl::N,число,число
284,Art::N,рід,рід
285,Stück::N,кусок,кусок
286,Teil::N,частина,частина
287,Hälfte::N,половина,половина
288,Kreis::N,круг,круг
289,Kreis::N,круг,коло
290,Kreis::N,коло,круг
291,Kreis::N,коло,коло
292,Kreuz::N,хрест,хрест
293,Linie::N,лінія,лінія
294,Strich::N,штрих,штрих
295,Abstand::N,проміжок,проміжок
296,Entfernung::N,відстань,відстань
297,Gegend::N,місцевість,місцевість
298,Platz::N,площа,площа
299,Ort::N,місце,місце
300,Seite::N,сторона,сторона
301,Mitte::N,середина,середина
302,Gegenstand::N,предмет,предмет
303,Sache::N,річ,річ
304,Rand::N,край,край
305,Kante::N,ребро,ребро
306,Ecke::N,ріг,ріг
307,Spitze::N,кінчик,кінчик
308,Ende::N,кінець,кінець
309,Loch::N,діра,діра
310,Winkel::N,куток,куток
311,Muster::N,узор,узор
312,Größe::N,розмір,розмір
313,Länge::N,довжина,довжина
314,Höhe::N,висота,висота
315,Gewicht::N,вага,вага
316,Menge::N,кількість,кількість
317,Haufen::N,купа,купа
318,Reihe::N,ряд,ряд
319,Boot::N,човен,човен
320,Ruder::N,весло,весло
321,Schlitten::N,сани,сани
322,Ski::N,лижа,лижа
323,Lagerfeuer::N,вогнище,вогнище
324,Last::N,тягар,тягар
325,Last::N,тягар,вантаж
326,Last::N,вантаж,тягар
327,Last::N,вантаж,вантаж
328,Gang::N,хід,хід
329,Schritt::N,крок,крок
330,Norden::N,північ,північ
331,Süden::N,південь,південь
332,Westen::N,захід,захід
333,Osten::N,схід,схід
334,Holz::N,дрова,дрова
335,Brett::N,дошка,дошка
336,Platte::N,плита,плита
337,Stütze::N,підпірка,підпірка
338,Stange::N,жердина,жердина
339,Stock::N,палиця,палиця
340,Stab::N,палиця,палиця
341,Rohr::N,труба,труба
342,Haus::N,дім,дім
343,Haus::N,дім,хата
344,Haus::N,хата,дім
345,Haus::N,хата,хата
346,Heim::N,житло,житло
347,Ofen::N,піч,піч
348,Fußboden::N,підлога,підлога
349,Tisch::N,стіл,стіл
350,Stuhl::N,стілець,стілець
351,Wiege::N,колиска,колиска
352,Bett::N,ліжко,ліжко
353,Bett::N,ліжко,постіль
354,Bett::N,постіль,ліжко
355,Bett::N,постіль,постіль
356,Regal::N,полиця,полиця
357,Kiste::N,ящик,ящик
358,Fenster::N,вікно,вікно
359,Tür::N,двері,двері
360,Tor::N,ворота,ворота
361,Zaun::N,паркан,паркан
362,Zaun::N,паркан,огорожа
363,Zaun::N,огорожа,паркан
364,Zaun::N,огорожа,огорожа
365,Dach::N,дах,дах
366,Leiter::N,драбина,драбина
367,Besen::N,мітла,мітла
368,Spaten::N,заступ,заступ
369,Schaufel::N,совок,совок
370,Schaufel::N,совок,лопата
371,Schaufel::N,лопата,совок
372,Schaufel::N,лопата,лопата
373,Gabel::N,виделка,виделка
374,Löffel::N,ложка,ложка
375,Messer::N,ніж,ніж
376,Nagel::N,цвях,цвях
377,Netz::N,сіть,сіть
378,Haken::N,крюк,крюк
379,Griff::N,ручка,ручка
380,Griff::N,ручка,держак
381,Griff::N,держак,ручка
382,Griff::N,держак,держак
383,Schloss::N,замок,замок
384,Bild::N,картина,картина
385,Figur::N,фігура,фігура
386,Puppe::N,лялька,лялька
387,Beutel::N,мішечок,мішечок
388,Beutel::N,мішечок,торбинка
389,Beutel::N,торбинка,мішечок
390,Beutel::N,торбинка,торбинка
391,Bündel::N,в’язка,в’язка
392,Tasche::N,сумка,сумка
393,Eimer::N,відро,відро
394,Deckel::N,кришка,кришка
395,Geschirr::N,посуд,посуд
396,Sack::N,мішок,мішок
397,Tasse::N,чашка,чашка
398,Topf::N,горщик,горщик
399,Kessel::N,котел,котел
400,Essen::N,їжа,їжа
401,Nahrung::N,харч,харч
402,Speise::N,страва,страва
403,Fleisch::N,м’ясо,м’ясо
404,Getreide::N,хліб,хліб
405,Getreide::N,хліб,збіжжя
406,Getreide::N,збіжжя,хліб
407,Getreide::N,збіжжя,збіжжя
408,Brei::N,каша,каша
409,Brot::N,хліб,хліб
410,Scheibe::N,скибочка,скибочка
411,Fett::N,жир,жир
412,Butter::N,масло,масло
413,Öl::N,олія,олія
414,Salz::N,сіль,сіль
415,Suppe::N,суп,суп
416,Honig::N,мед,мед
417,Milch::N,молоко,молоко
418,Tee::N,чай,чай
419,Leder::N,шкіра,шкіра
420,Wolle::N,шерсть,шерсть
421,Stoff::N,тканина,тканина
422,Nadel::N,голка,голка
423,Faden::N,нитка,нитка
424,Knopf::N,ґудзик,ґудзик
425,Knoten::N,вузол,вузол
426,Farbe::N,фарба,фарба
427,Kleidung::N,одяг,одяг
428,Kleidung::N,одяг,убрання
429,Kleidung::N,убрання,одяг
430,Kleidung::N,убрання,убрання
431,Hemd::N,сорочка,сорочка
432,Kragen::N,комір,комір
433,Ärmel::N,рукав,рукав
434,Hose::N,брюки,брюки
435,Gürtel::N,пояс,пояс
436,Mütze::N,шапка,шапка
437,Schuh::N,ботинок,ботинок
438,Stiefel::N,чобіт,чобіт
439,Ring::N,кільце,кільце
440,Band::N,стрічка,стрічка
441,Kamm::N,гребінець,гребінець
442,Spiegel::N,дзеркало,дзеркало
443,Riemen::N,ремінь,ремінь
444,Schnur::N,вірьовка,вірьовка
445,Leine::N,шворка,шворка
446,Decke::N,ковдра,ковдра
447,Kissen::N,подушка,подушка
448,Tuch::N,хустка,хустка
449,Handtuch::N,рушник,рушник
450,Kraft::N,сила,сила
451,Stärke::N,сила,сила
452,Gesundheit::N,здоров’я,здоров’я
453,Krankheit::N,хвороба,хвороба
454,Schmerz::N,біль,біль
455,Wunde::N,рана,рана
456,Fieber::N,гарячка,гарячка
457,Arznei::N,ліки,ліки
458,Brücke::N,міст,міст
459,Brunnen::N,колодязь,колодязь
460,Weide::N,пасовище,пасовище
461,Pfad::N,стежка,стежка
462,Weg::N,шлях,шлях
463,Weg::N,шлях,дорога
464,Weg::N,дорога,шлях
465,Weg::N,дорога,дорога
466,Straße::N,вулиця,вулиця
467,Dorf::N,село,село
468,Stadt::N,місто,місто
469,Brief::N,лист,лист
470,Buch::N,книга,книга
471,Buch::N,книга,книжка
472,Buch::N,книжка,книга
473,Buch::N,книжка,книжка
474,Buchstabe::N,буква,буква
475,Buchstabe::N,буква,літера
476,Buchstabe::N,літера,буква
477,Buchstabe::N,літера,літера
478,Zeitung::N,газета,газета
479,Leben::N,життя,життя
480,Tod::N,смерть,смерть
481,Grab::N,могила,могила
482,Kirche::N,церква,церква
483,Sünde::N,гріх,гріх
484,Gott::N,бог,бог
485,Arbeiter::N,робітник,робітник
486,Chef::N,хазяїн,хазяїн
487,Meister::N,умілець,умілець
488,Arzt::N,лікар,лікар
489,Lehrer::N,вчитель,вчитель
490,Geld::N,гроші,гроші
491,Geschäft::N,заняття,заняття
492,Laden::N,магазин,магазин
493,Laden::N,магазин,крамниця
494,Laden::N,крамниця,магазин
495,Laden::N,крамниця,крамниця
496,Preis::N,ціна,ціна
497,Ware::N,товар,товар
498,Nutzen::N,вигода,вигода
499,Nutzen::N,вигода,користь
500,Nutzen::N,користь,вигода
501,Nutzen::N,користь,користь
502,Reichtum::N,багатство,багатство
503,Welt::N,світ,світ
504,Land::N,країна,країна
505,Staat::N,держава,держава
506,König::N,король,король
507,Macht::N,влада,влада
508,Grenze::N,кордон,кордон
509,Krieg::N,війна,війна
510,Feind::N,ворог,ворог
511,Gewalt::N,насильство,насильство
512,Kampf::N,бій,бій
513,Kampf::N,бій,боротьба
514,Kampf::N,боротьба,бій
515,Kampf::N,боротьба,боротьба
516,Bogen[Waffe]::N,лук,лук
517,Pfeil::N,стріла,стріла
518,Gewehr::N,рушниця,рушниця
519,Gewehr::N,рушниця,гвинтівка
520,Gewehr::N,гвинтівка,рушниця
521,Gewehr::N,гвинтівка,гвинтівка
522,Fehler::N,помилка,помилка
523,Lüge::N,брехня,брехня
524,Schaden::N,шкода,шкода
525,Schaden::N,шкода,збиток
526,Schaden::N,збиток,шкода
527,Schaden::N,збиток,збиток
528,Unglück::N,нещастя,нещастя
529,Schuld::N,провина,провина
530,Alter::N,вік,вік
531,Alter::N,вік,літа
532,Alter::N,літа,вік
533,Alter::N,літа,літа
534,Schluss::N,кінець,кінець
535,Zeit::N,час,час
536,Tag::N,день,день
537,Morgen::N,ранок,ранок
538,Mittag::N,південь,південь
539,Abend::N,вечір,вечір
540,Nacht::N,ніч,ніч
541,Woche::N,тиждень,тиждень
542,Monat::N,місяць,місяць
543,Jahr::N,рік,рік
544,Frühling::N,весна,весна
545,Sommer::N,літо,літо
546,Herbst::N,осінь,осінь
547,Winter::N,зима,зима
548,Januar::N,січень,січень
549,Februar::N,лютий,лютий
550,März::N,березень,березень
551,April::N,квітень,квітень
552,Mai::N,травень,травень
553,Juni::N,червень,червень
554,Juli::N,липень,липень
555,August::N,серпень,серпень
556,September::N,вересень,вересень
557,Oktober::N,жовтень,жовтень
558,November::N,листопад,листопад
559,Dezember::N,грудень,грудень
560,Montag::N,понеділок,понеділок
561,Dienstag::N,вівторок,вівторок
562,Mittwoch::N,середа,середа
563,Donnerstag::N,четвер,четвер
564,Freitag::N,п’ятниця,п’ятниця
565,Samstag::N,субота,субота
566,Sonntag::N,неділя,неділя
567,groß::A,великий,великий
568,klein::A,малий,малий
569,klein::A,малий,маленький
570,klein::A,маленький,малий
571,klein::A,маленький,маленький
572,lang::A,довгий,довгий
573,kurz::A,короткий,короткий
574,breit::A,широкий,широкий
575,schmal::A,вузький,вузький
576,dicht::A,густий,густий
577,dick[Gegenstand]::A,товстий,товстий
578,dünn::A,тонкий,тонкий
579,fein::A,дрібний,дрібний
580,fest::A,міцний,міцний
581,flach::A,плоский,плоский
582,glatt::A,рівний,рівний
583,glatt::A,рівний,гладенький
584,glatt::A,гладенький,рівний
585,glatt::A,гладенький,гладенький
586,hart::A,твердий,твердий
587,weich::A,м’який,м’який
588,rund::A,круглий,круглий
589,spitz::A,гострокінцевий,гострокінцевий
590,scharf::A,гострий,гострий
591,stumpf::A,тупий,тупий
592,schwer::A,важкий,важкий
593,schön::A,вродливий,вродливий
594,heiß::A,жаркий,жаркий
595,heiß::A,жаркий,гарячий
596,heiß::A,гарячий,жаркий
597,heiß::A,гарячий,гарячий
598,warm::A,теплий,теплий
599,kalt::A,холодний,холодний
600,kühl::A,прохолодний,прохолодний
601,frisch::A,свіжий,свіжий
602,feucht::A,вогкий,вогкий
603,nass::A,мокрий,мокрий
604,trocken::A,сухий,сухий
605,voll::A,повний,повний
606,leer::A,пустий,пустий
607,offen::A,відкритий,відкритий
608,geschlossen::A,закритий,закритий
609,geschlossen::A,закритий,зачинений
610,geschlossen::A,зачинений,закритий
611,geschlossen::A,зачинений,зачинений
612,sauber::A,чистий,чистий
613,sauber::A,чистий,охайний
614,sauber::A,охайний,чистий
615,sauber::A,охайний,охайний
616,schmutzig::A,брудний,брудний
617,roh::A,сирий,сирий
618,reif::A,зрілий,зрілий
619,lecker::A,смачний,смачний
620,süß::A,солодкий,солодкий
621,bitter::A,гіркий,гіркий
622,sauer::A,кислий,кислий
623,hell::A,світлий,світлий
624,dunkel::A,темний,темний
625,schwarz::A,чорний,чорний
626,weiß::A,сивий,сивий
627,rot::A,червоний,червоний
628,gelb::A,жовтий,жовтий
629,blau::A,синій,синій
630,grün::A,зелений,зелений
631,grau::A,сірий,сірий
632,bunt::A,барвистий,барвистий
633,billig::A,дешевий,дешевий
634,teuer::A,дорогий,дорогий
635,wertvoll::A,цінний,цінний
636,blind::A,сліпий,сліпий
637,taub::A,глухий,глухий
638,kräftig::A,могутній,могутній
639,stark::A,сильний,сильний
640,schwach::A,слабкий,слабкий
641,fett::A,жирний,жирний
642,fett::A,жирний,товстий
643,fett::A,товстий,жирний
644,fett::A,товстий,товстий
645,schlank::A,тонкий,тонкий
646,schlank::A,тонкий,стрункий
647,schlank::A,стрункий,тонкий
648,schlank::A,стрункий,стрункий
649,hübsch::A,чарівний,чарівний
650,böse::A,злий,злий
651,böse::A,злий,лихий
652,böse::A,лихий,злий
653,böse::A,лихий,лихий
654,dumm::A,дурний,дурний
655,faul::A,ледачий,ледачий
656,fleißig::A,старанний,старанний
657,geizig::A,скупий,скупий
658,klug::A,мудрий,мудрий
659,klug::A,мудрий,розумний
660,klug::A,розумний,мудрий
661,klug::A,розумний,розумний
662,geschickt::A,умілий,умілий
663,lieb::A,милий,милий
664,lustig::A,веселий,веселий
665,sanft::A,лагідний,лагідний
666,hungrig::A,голодний,голодний
667,krank::A,слабий,слабий
668,nackt::A,голий,голий
669,traurig::A,сумний,сумний
670,lebendig::A,живий,живий
671,gut::A,добрий,добрий
672,schlecht::A,поганий,поганий
673,schlecht::A,поганий,кепський
674,schlecht::A,кепський,поганий
675,schlecht::A,кепський,кепський
676,richtig::A,правильний,правильний
677,schlimm::A,бридкий,бридкий
678,wahr::A,справжній,справжній
679,alt::A,старий,старий
680,neu::A,новий,новий
681,ehemalig::A,колишній,колишній
682,alt[Lebewesen]::A,старий,старий
683,jung::A,молодий,молодий
684,arm::A,бідний,бідний
685,reich::A,багатий,багатий
686,bekannt::A,знайомий,знайомий
687,berühmt::A,славетний,славетний
688,fremd::A,чужий,чужий
689,verschieden::A,різний,різний
690,nah::A,близький,близький
691,fern::A,далекий,далекий
692,linker::A,лівий,лівий
693,rechter::A,правий,правий
694,anderer::A,інакший,інакший
695,erster::A,перший,перший
696,zweiter::A,другий,другий
697,dritter::A,третій,третій
698,letzter::A,останній,останній
699,allein::ADV,сам,сам
700,allein::ADV,сам,один
701,allein::ADV,один,сам
702,allein::ADV,один,один
703,auf einmal::ADV,відразу,відразу
704,zusammen::ADV,разом,разом
705,zusammen::ADV,разом,спільно
706,zusammen::ADV,спільно,разом
707,zusammen::ADV,спільно,спільно
708,lange::ADV,довго,довго
709,plötzlich::ADV,раптом,раптом
710,sofort::ADV,зараз,зараз
711,später::ADV,пізніше,пізніше
712,jetzt::ADV,тепер,тепер
713,heute::ADV,сьогодні,сьогодні
714,morgen::ADV,завтра,завтра
715,bald::ADV,незабаром,незабаром
716,dann::ADV,потім,потім
717,gestern::ADV,вчора,вчора
718,einst::ADV,колись,колись
719,damals::ADV,тоді,тоді
720,danach::ADV,згодом,згодом
721,vorher::ADV,раніше,раніше
722,zuerst::ADV,спершу,спершу
723,zuerst::ADV,спершу,спочатку
724,zuerst::ADV,спочатку,спершу
725,zuerst::ADV,спочатку,спочатку
726,einmal::ADV,один раз,один раз
727,manchmal::ADV,іноді,іноді
728,manchmal::ADV,іноді,інколи
729,manchmal::ADV,інколи,іноді
730,manchmal::ADV,інколи,інколи
731,oft::ADV,часто,часто
732,immer::ADV,завжди,завжди
733,niemals::ADV,ніколи,ніколи
734,hier::ADV,тут,тут
735,hierhin::ADV,сюди,сюди
736,von hier::ADV,звідси,звідси
737,dort::ADV,там,там
738,dorthin::ADV,туди,туди
739,geradeaus::ADV,прямо,прямо
740,vorwärts::ADV,вперед,вперед
741,rückwärts::ADV,назад,назад
742,zurück::ADV,назад,назад
743,unten::ADV,внизу,внизу
744,hinab::ADV,вниз,вниз
745,oben::ADV,вгорі,вгорі
746,hinauf::ADV,вгору,вгору
747,überall::ADV,скрізь,скрізь
748,nicht::ADV,не,не
749,ein wenig::ADV,трохи,трохи
750,ein wenig::ADV,трохи,небагато
751,ein wenig::ADV,небагато,трохи
752,ein wenig::ADV,небагато,небагато
753,kaum::ADV,ледве,ледве
754,sehr::ADV,дуже,дуже
755,so::ADV,так,так
756,noch::ADV,ще,ще
757,nur::ADV,лише,лише
758,nur::ADV,лише,тільки
759,nur::ADV,тільки,лише
760,nur::ADV,тільки,тільки
761,schon::ADV,вже,вже
762,wieder::ADV,знову,знову
763,vergebens::ADV,дарма,дарма
764,vor::PRP,перед,перед
765,hinter::PRP,ззаду,ззаду
766,hinter::PRP,ззаду,позаду
767,hinter::PRP,позаду,ззаду
768,hinter::PRP,позаду,позаду
769,unter::PRP,під,під
770,durch::PRP,крізь,крізь
771,neben::PRP,біля,біля
772,zwischen::PRP,між,між
773,wegen::PRP,з-за,з-за
774,wegen::PRP,з-за,через
775,wegen::PRP,через,з-за
776,wegen::PRP,через,через
777,dies::PRN,це,це
778,das::PRN,то,то
779,alles::PRN,все,все
780,ich::PRN,я,я
781,du::PRN,ти,ти
782,er::PRN,він,він
783,wir::PRN,ми,ми
784,ihr::PRN,ви,ви
785,sie::PRN,вони,вони
786,was::FPRN,що,що
787,wer::FPRN,хто,хто
788,wo::FADV,де,де
789,wohin::FADV,куди,куди
790,wie::FADV,як,як
791,warum::FADV,чому,чому
792,wieviel::FNUM,скільки,скільки
793,eins::NUM,один,один
794,zwei::NUM,два,два
795,drei::NUM,три,три
796,vier::NUM,чотири,чотири
797,fünf::NUM,п’ять,п’ять
798,sechs::NUM,шість,шість
799,sieben::NUM,сім,сім
800,acht::NUM,вісім,вісім
801,neun::NUM,дев’ять,дев’ять
802,zehn::NUM,десять,десять
803,elf::NUM,одинадцять,одинадцять
804,zwölf::NUM,дванадцять,дванадцять
805,zwanzig::NUM,двадцять,двадцять
806,dreißig::NUM,тридцять,тридцять
807,vierzig::NUM,сорок,сорок
808,fünfzig::NUM,п’ятдесят,п’ятдесят
809,sechzig::NUM,шістдесят,шістдесят
810,siebzig::NUM,сімдесят,сімдесят
811,achtzig::NUM,вісімдесят,вісімдесят
812,neunzig::NUM,дев’яносто,дев’яносто
813,hundert::NUM,сто,сто
814,tausend::NUM,тисяча,тисяча
815,und::CNJ,і,і
816,oder::CNJ,або,або
817,stehen::V,стояти,стояти
818,sitzen::V,сидіти,сидіти
819,liegen::V,лежати,лежати
820,hängen::V,висіти,висіти
821,werden::V,стати,стати
822,werden::V,стати,робитися
823,werden::V,робитися,стати
824,werden::V,робитися,робитися
825,passieren::V,трапитися,трапитися
826,beginnen::V,початися,початися
827,enden::V,кінчитися,кінчитися
828,wechseln::V,мінятися,мінятися
829,aufgehen[Sonne]::V,зійти,зійти
830,untergehen[Sonne]::V,зайти,зайти
831,scheinen[Sonne]::V,світити,світити
832,donnern::V,гриміти,гриміти
833,wehen::V,віяти,віяти
834,strömen::V,литися,литися
835,fließen::V,текти,текти
836,sich drehen::V,обертатися,обертатися
837,schwanken::V,коливатися,коливатися
838,schwingen::V,хитатися,хитатися
839,schwingen::V,хитатися,гойдатися
840,schwingen::V,гойдатися,хитатися
841,schwingen::V,гойдатися,гойдатися
842,fallen::V,падати,падати
