,Concept_ID,lbe,sl
435,Fett::N,аьгъушиву,mást
436,Fett::N,аьгъушиву,maščôba
437,Butter::N,нагь,máslo
438,Butter::N,лагаву,máslo
439,Salz::N,цӏву,sól
440,Suppe::N,накь,júha
441,Honig::N,ницӏ,méd
442,Milch::N,накӏ,mléko
443,Tee::N,чяй,čáj
444,Leder::N,бурчу,úsnje
445,Wolle::N,ппал,vólna
446,Stoff::N,янна,blagó
447,Nadel::N,ххалаххи,ígla
448,Faden::N,ххал,nít
449,Knopf::N,банд,gúmb
450,Knoten::N,къурхъ,vôzel
451,Farbe::N,сир,bárva
452,Kleidung::N,янна,obléka
453,Kleidung::N,лаххия,obléka
454,Hemd::N,гьухъа,srájca
455,Kragen::N,дарвач,ovrátnik
456,Ärmel::N,кахха,rokáv
457,Hose::N,хӏажак,hláče
458,Gürtel::N,мухӏлу,pás
459,Mütze::N,кьяпа,kápa
460,Mütze::N,кьяпа,čépica
461,Stiefel::N,чакма,škórenj
462,Ring::N,кӏисса,pŕstan
463,Band::N,линт,trák
464,Kamm::N,ттарал,glavník
465,Spiegel::N,дагьани,zrcálo
466,Spiegel::N,дагьани,ogledálo
467,Riemen::N,эн,jêrmen
468,Schnur::N,хьхьа,vŕvca
469,Decke::N,виргъан,odéja
470,Kissen::N,кӏаралу,blazína
471,Tuch::N,карщи,pŕt
472,Tuch::N,карщи,rúta
473,Handtuch::N,калихьу,brisáča
474,Handtuch::N,лажинлихьу,brisáča
475,Kraft::N,эллаж,síla
476,Stärke::N,гуж,jákost
477,Gesundheit::N,цӏуллу-сагъшиву,zdrávje
478,Krankheit::N,къашайшиву,bolézen
479,Schmerz::N,къюву,ból
480,Schmerz::N,къюву,bolečína
481,Wunde::N,щаву,rána
482,Fieber::N,кӏиришиву,vročína
483,Arznei::N,дару,lék
484,Arznei::N,дару,zdravílo
485,Brücke::N,ламу,móst
486,Brunnen::N,къуй,vodnják
487,Weide::N,бизантту,páša
488,Pfad::N,жегъир ххуллу,stezà
489,Weg::N,ххуллу,pót
490,Straße::N,ххуллу,césta
491,Dorf::N,щар,vás
492,Dorf::N,шяравалу,vás
493,Stadt::N,шагьру,mésto
494,Brief::N,чагъар,písmo
495,Buch::N,лу,knjíga
496,Buchstabe::N,хӏарп,čŕka
497,Zeitung::N,кказит,čásnik
498,Leben::N,оьрму,življênje
499,Tod::N,ажал,smŕt
500,Tod::N,бивкӏу,smŕt
501,Tod::N,ивчӏаву,smŕt
502,Grab::N,гьав,gròb
503,Kirche::N,килиса,cérkev
504,Sünde::N,бунагъ,gréh
505,Gott::N,зал,bóg
506,Arbeiter::N,зузала,délavec
507,Chef::N,ялувма,šéf
508,Meister::N,усттар,mójster
509,Arzt::N,хӏакин,zdravník
510,Lehrer::N,учитель,učítelj
511,Geld::N,арцу,denár
512,Geschäft::N,даву,kupčíja
513,Laden::N,ттучан,trgovína
514,Preis::N,багъа,céna
515,Ware::N,хъус,róba
516,Nutzen::N,хайр,príd
517,Nutzen::N,мюнпат,príd
518,Reichtum::N,давлат,bogástvo
519,Reichtum::N,аваданшиву,bogástvo
520,Welt::N,дуниял,svét
521,Land::N,билаят,dežêla
522,Staat::N,паччахӏлугъ,držáva
523,Macht::N,власть,oblást
524,Grenze::N,дазу,mêja
525,Krieg::N,дяъви,vôjna
526,Feind::N,душман,sovrážnik
527,Gewalt::N,къия,nasílje
528,Kampf::N,лачӏуи уккаву,bòj
529,Kampf::N,лачӏуи уккаву,bórba
530,Bogen[Waffe]::N,ккуртта,lók
531,Pfeil::N,чӏатӏаракӏ,puščíca
532,Gewehr::N,ттупанг,púška
533,Fehler::N,гъалатӏ,zmóta
534,Lüge::N,щялмахъ,láž
535,Schaden::N,зарал,okvára
536,Unglück::N,бала,nesréča
537,Schuld::N,тахсир,krívda
538,Alter::N,оьрму,dôba
539,Schluss::N,ахир,kônec
540,Zeit::N,чӏун,čàs
541,Tag::N,кьини,dán
542,Morgen::N,кӏюрх,jútro
543,Mittag::N,ахттайн,póldan
544,Mittag::N,дяахттайн,póldan
545,Mittag::N,ахттайн чӏун,póldan
546,Abend::N,маркӏачӏан,večér
547,Nacht::N,хьхьу,nóč
548,Woche::N,нюжмар,téden
549,Monat::N,барз,mésec
550,Jahr::N,шин,léto
551,Frühling::N,инт,pomlád
552,Sommer::N,гъи,polétje
553,Herbst::N,ссут,jesén
554,Winter::N,кӏи,zíma
555,Januar::N,цалчинмур барз,jánuar
556,Februar::N,кӏилчинмур барз,fébruar
557,März::N,шамилчинмур барз,márec
558,April::N,апрель,apríl
559,April::N,мукьилчинмур барз,apríl
560,Mai::N,май,máj
561,Mai::N,ххюлчинмур барз,máj
562,Juni::N,июнь,júnij
563,Juni::N,ряххилчинмур барз,júnij
564,Juli::N,июль,júlij
565,Juli::N,Арулчинмур барз,júlij
566,August::N,мяйлчинмур барз,avgúst
567,September::N,урчӏилчинмур барз,septêmber
568,Oktober::N,ацӏилчинмур барз,október
569,November::N,ацӏния цалчинмур барз,novêmber
570,Dezember::N,ацӏния кӏилчинмур барз,decémber
571,Montag::N,итин,ponedéljek
572,Montag::N,итин кьини,ponedéljek
573,Dienstag::N,тталат,tôrek
574,Dienstag::N,тталат кьини,tôrek
575,Mittwoch::N,арвахӏ,sréda
576,Donnerstag::N,хамис,četŕtek
577,Freitag::N,нюжмар,pétek
578,Freitag::N,нюжмар кьини,pétek
579,Samstag::N,ххуллун,sobóta
580,Samstag::N,ххуллун кьини,sobóta
581,Sonntag::N,алхӏат,nedélja
582,Sonntag::N,алхӏат кьини,nedélja
583,groß::A,бугъарасса,vêlik
584,klein::A,чӏивисса,májhen
