,Concept_ID,et,sah
78,Funke::N,säde,кыым
79,Feuer::N,tuli,уот
80,Licht::N,valgus,уот
81,Schatten::N,vari,күлүк
82,Wetter::N,ilm,күн-дьыл
83,Nebel::N,udu,туман
84,Wolke::N,pilv,былыт
85,Regen::N,sadu,самыыр
86,Schnee::N,lumi,хаар
87,Eis::N,jää,муус
88,Frost::N,pakane,тымныы
89,Kälte::N,külm,тымныы
90,Kälte::N,külmus,тымныы
91,Hitze::N,kuumus,куйаас
92,Hitze::N,palavus,куйаас
93,Raureif::N,härmatis,кырыа
94,Regenbogen::N,vikerkaar,кустук
95,Donner::N,kõu,этиҥ
96,Donner::N,müristamine,этиҥ
97,Strömung::N,voolus,сүүрүк
98,Strömung::N,jõevool,сүүрүк
99,Tropfen::N,tilk,таммах
100,Tropfen::N,tilk,хааппыла
101,Schaum::N,vaht,күүгэн
102,Schmutz::N,pori,кир
103,Schmutz::N,mustus,кир
104,See::N,järv,күөл
105,Sumpf::N,soo,бадараан
106,Moor::N,raba,дьэбэрэ
107,Wiese::N,aas,ходуһа
108,Wiese::N,nurm,ходуһа
109,Wald::N,mets,ойуур
110,Hügel::N,küngas,булгунньах
111,Anhöhe::N,küngas,үрдэл
112,Berg::N,mägi,хайа
113,Gipfel::N,mäetipp,чыпчаал
114,Höhle::N,koobas,хайа_хаспаҕа
115,Höhle::N,koobas,көҥүс
116,Abhang::N,nõlvak,эниэ
117,Quelle::N,allikas,дьүүктэ
118,Bach::N,oja,үрүйэ
119,Fluss::N,jõgi,өрүс
120,Ufer::N,kallas,биэрэк
121,Küste::N,rannik,кытыл
122,Festland::N,mander,кураанах сир
123,Festland::N,maismaa,кураанах сир
124,Meer::N,meri,муора
125,Bucht::N,laht,хомо
126,Bucht::N,laht,бухта
127,Insel::N,saar,арыы
128,Blume::N,lill,сибэкки
129,Gras::N,rohi,от
130,Wurzel::N,juur,силис
131,Baum::N,puu,мас
132,Stamm::N,tüvi,умнас
133,Rinde::N,koor,хатырык
134,Ast::N,oks,мутук
135,Zweig::N,oks,лабаа
136,Blatt::N,leht,сэбирдэх
137,Birke::N,kask,хатыҥ
138,Kiefer[Baum]::N,mänd,бэс
139,Weide[Baum]::N,paju,үөт
140,Weide[Baum]::N,paju,талах
141,Tanne::N,nulg,харыйа
142,Horn::N,sarv,муос
143,Feder::N,sulg,куорсун
144,Fell::N,karvkate,тирии
145,Fell::N,karusnahk,тирии
146,Flügel::N,tiib,кынат
147,Flügel::N,tiivik,кынат
148,Klaue::N,küüs,тыҥырах
149,Kralle::N,küünis,баппаҕай
150,Schwanz::N,saba,кутурук
151,Ei::N,muna,сымыыт
152,Nest::N,pesa,уйа
153,Bau::N,urg,хороон
154,Tier::N,loom,кыыл
155,Tier::N,loom,харамай
156,Herde::N,kari,үөр
157,Kuh::N,lehm,ынах
158,Bulle::N,pull,оҕус
159,Pferd::N,hobune,сылгы
160,Schaf::N,lammas,овца
161,Schwein::N,siga,сибиинньэ
162,Hund::N,koer,ыт
163,Katze::N,kass,куоска
164,Bär::N,karu,эһэ
165,Eichhörnchen::N,orav,тииҥ
166,Elch::N,põder,тайах
167,Fuchs::N,rebane,саһыл
168,Hase::N,jänes,куобах
169,Maus::N,hiir,кутуйах
170,Wolf::N,hunt,бөрө
171,Vogel::N,lind,көтөр
172,Schwarm::N,parv,бөлөх
173,Huhn::N,kana,куурусса
174,Hahn::N,kukk,бөтүүк
175,Gans::N,hani,хаас
176,Adler::N,kotkas,хотой
177,Ente::N,part,кус
178,Eule::N,kakk,мэкчиргэ
179,Eule::N,öökull,мэкчиргэ
180,Kranich::N,kurg,туруйа
181,Krähe::N,vares,тураах
182,Kuckuck::N,kägu,кэҕэ
183,Schwan::N,luik,куба
184,Fisch::N,kala,балык
185,Barsch::N,ahven,алыһар
186,Hecht::N,haug,сордон
187,Schlange[Tier]::N,uss,моҕой
188,Schlange[Tier]::N,uss,эриэн үөн
189,Wurm::N,uss,үөн
190,Wurm::N,vagel,үөн
191,Spinne::N,ämblik,ооҕуй
192,Ameise::N,sipelgas,кымырдаҕас
193,Laus::N,täi,быт
194,Mücke::N,sääsk,кумаар
195,Fliege::N,kärbes,сахсырҕа
196,Schmetterling::N,liblikas,лыах
197,Schmetterling::N,liblikas,үрүмэччи
198,Beere::N,mari,отон
199,Apfel::N,õun,яблоко
200,Pilz::N,seen,тэллэй
201,Zwiebel::N,sibul,луук
202,Saat::N,seeme,сиэмэ
203,Korn::N,iva,сиэмэ
204,Korn::N,tera,сиэмэ
205,Heu::N,hein,от
206,Schale::N,koor,хах
207,Grube::N,kaevand,дьаама
208,Falle::N,lõks,сохсо
209,Falle::N,püünis,сохсо
210,Schlinge::N,aas,уктаа
211,Spur::N,jälg,суол
212,Asche::N,tuhk,күл
213,Dreck::N,saast,бадараан
214,Dreck::N,mustus,бадараан
215,Eisen::N,raud,тимир
216,Gold::N,kuld,көмүс
217,Gold::N,kuld,кыһыл көмүс
218,Silber::N,hõbe,көмүс
219,Silber::N,hõbe,үрүҥ көмүс
220,Kohle::N,süsi,чох
221,Glas::N,klaas,өстүөкүлэ
222,Lehm::N,savi,туой
223,Sand::N,liiv,кумах
224,Mensch::N,inimene,киһи
225,Mann::N,mees,эр
226,Frau::N,naine,дьахтар
227,Kind::N,laps,оҕо
228,Junge::N,poiss,уол
229,Mädchen::N,tüdruk,кыыс оҕо
230,Familie::N,perekond,кэргэн
231,Großvater::N,vanaisa,эһэ
232,Großmutter::N,vanaema,эбэ
233,Eltern::N,vanemad,аҕа-ийэ
234,Vater::N,isa,аҕа
235,Mutter::N,ema,ийэ
236,Sohn::N,poeg,уол
237,Tochter::N,tütar,кыыс
238,Bruder::N,vend,убай
239,Bruder::N,vend,быраат
240,Schwester::N,õde,аҕас
241,Schwester::N,õde,балыс
242,Onkel::N,onu,таай
243,Onkel::N,onu,абаҕа
244,Tante::N,tädi,эдьиий
245,Ehemann::N,mees,эр
246,Ehemann::N,abikaasa,эр
247,Ehefrau::N,naine,ойох
248,Ehefrau::N,abikaasa,ойох
249,Freude::N,rõõm,үөрүү
250,Gelächter::N,naer,күлүү
251,Glück::N,õnn,дьол
252,Glück::N,õnn,соргу
253,Kummer::N,mure,кутурҕан
254,Kummer::N,kurbus,кутурҕан
255,Wunsch::N,soov,баҕарыы
256,Lust::N,himu,баҕа
257,Geist::N,vaim,тыын
258,Gedanke::N,mõte,санаа
259,Gedächtnis::N,mälu,өй
260,Verstand::N,aru,өй
261,Verstand::N,mõistus,өй
262,Sinn::N,tähendus,суолта
263,Grund::N,põhjus,төрүөт
264,Wahrheit::N,tõde,кырдьык
265,Gespräch::N,kõne,бэсиэдэ
266,Gespräch::N,kõne,кэпсэтии
267,Gespräch::N,vestlus,бэсиэдэ
268,Gespräch::N,vestlus,кэпсэтии
269,Märchen::N,muinasjutt,остуоруйа
270,Erzählung::N,jutustus,кэпсээн
271,Nachricht::N,teade,биллэриллии
272,Neuigkeit::N,uudis,сонун
273,Name::N,nimi,аат
274,Rätsel::N,mõistatus,таабырын
275,Rede::N,kõne,этии
276,Sprache::N,keel,тыл
277,Stimme::N,hääl,куолас
278,Wort::N,sõna,тыл
279,Zeichen::N,märk,бэлиэ
280,Ruf::N,hüüe,ыҥырыы
281,Lärm::N,müra,айдаан
282,Laut::N,hääl,тыас
283,Ton::N,toon,дорҕоон
284,Lied::N,laul,ырыа
285,Ruhe::N,rahu,уу чуумпу
286,Ruhe::N,vaikus,уу чуумпу
287,Leute::N,inimesed,дьон
288,Volk::N,rahvas,дьон
289,Volk::N,rahvas,норуот
290,Arbeit::N,töö,үлэ
291,Gast::N,külaline,ыалдьыт
292,Geschenk::N,kingitus,бэлэх
293,Spiel::N,mäng,оонньуу
294,Gesellschaft::N,selts,общество
295,Hilfe::N,abi,көмө
296,Freund::N,sõber,доҕор
297,Kamerad::N,sõber,атас
298,Angelegenheit::N,asi,дьыала
299,Anzahl::N,arv,ахсаан
300,Anzahl::N,hulk,ахсаан
301,Art::N,liik,биис
302,Stück::N,tükk,кырбас
303,Teil::N,osa,ирээт
304,Hälfte::N,pool,аҥар
305,Kreis::N,ring,төгүрүк
306,Kreis::N,ring,төгүрүмтэ
307,Kreuz::N,rist,кириэс
308,Linie::N,joon,сурааһын
309,Strich::N,joon,сурааһын
310,Abstand::N,vahe,арыт
311,Entfernung::N,kaugus,ыраах
312,Entfernung::N,vahemaa,ыраах
313,Gegend::N,ümbrus,сир
314,Platz::N,ruum,арыт
315,Ort::N,paik,сир
316,Seite::N,pool,өрүт
317,Seite::N,pool,сирэй
318,Mitte::N,keskpaik,орто
319,Gegenstand::N,ese,предмет
320,Sache::N,ese,мал
321,Rand::N,äär,кытыы
322,Rand::N,äär,ойоҕос
323,Rand::N,serv,кытыы
324,Rand::N,serv,ойоҕос
325,Kante::N,kant,кырыы
326,Ecke::N,nurk,муннук
327,Spitze::N,teravik,чыпчаал
328,Ende::N,ots,төбө
329,Ende::N,jupp,төбө
330,Loch::N,auk,тэһэҕэс
331,Loch::N,auk,дьөлөҕөс
332,Winkel::N,nurk,муннук
333,Muster::N,muster,оһуор
334,Größe::N,suurus,кээмэй
335,Länge::N,pikkus,уста
336,Höhe::N,kõrgus,үрдүк
337,Gewicht::N,kaal,ыйааһын
338,Gewicht::N,raskus,ыйааһын
339,Menge::N,arv,ахсаан
340,Menge::N,hulk,ахсаан
341,Haufen::N,hunnik,чөмчөх
342,Reihe::N,rivi,кэккэ
343,Boot::N,paat,оҥочо
344,Ruder::N,aer,эрдии
345,Schlitten::N,saan,сыарҕа
346,Ski::N,suusk,хайыһар
347,Lagerfeuer::N,lõke,кутаа
348,Last::N,koorem,ыарахан
349,Gang::N,käik,хаамыы
350,Schritt::N,samm,хардыы
351,Norden::N,põhi,хоту
352,Süden::N,lõuna,соҕуруу
353,Westen::N,lääs,арҕаа
354,Osten::N,ida,илин
355,Holz::N,puu,мас
356,Brett::N,saelaud,дуоска
357,Brett::N,saelaud,хаптаһын
358,Platte::N,plaat,билиитэ
359,Stütze::N,tugi,тулааһын
360,Stange::N,latt,ураҕас
361,Stange::N,teivas,ураҕас
362,Stock::N,kepp,мас
363,Stock::N,kepp,баалкы
364,Stab::N,varras,ураҕас
365,Rohr::N,toru,турба
366,Haus::N,maja,дьиэ
367,Heim::N,kodu,дьиэ
368,Ofen::N,ahi,оһох
369,Fußboden::N,põrand,муоста
370,Tisch::N,laud,остуол
371,Stuhl::N,tool,устуул
372,Wiege::N,häll,биһик
373,Wiege::N,kätki,биһик
374,Bett::N,voodi,кырабаат
375,Regal::N,riiul,долбуур
376,Kiste::N,kast,дьааһык
377,Fenster::N,aken,түннүк
378,Tür::N,uks,аан
379,Tor::N,värav,аан
380,Zaun::N,aed,соппулуот
381,Zaun::N,tara,соппулуот
382,Dach::N,katus,кырыыса
383,Leiter::N,redel,кирилиэс
384,Besen::N,luud,миинньик
385,Spaten::N,labidas,күрдьэх
386,Schaufel::N,kühvel,күрдьэх
387,Gabel::N,kahvel,биилкэ
388,Löffel::N,lusikas,луоска
389,Messer::N,nuga,быһах
390,Nagel::N,nael,тоһоҕо
391,Netz::N,võrk,илим
392,Haken::N,haak,көхө
393,Haken::N,konks,көхө
394,Griff::N,sang,ук
395,Griff::N,sang,тутаах
396,Griff::N,käepide,ук
397,Griff::N,käepide,тутаах
398,Schloss::N,lukk,күлүүс
399,Bild::N,pilt,хартыына
400,Figur::N,kuju,фигура
401,Figur::N,kujund,фигура
402,Puppe::N,nukk,куукула
403,Beutel::N,paun,мөһөөччук
404,Bündel::N,kimp,баайыы
405,Tasche::N,kott,суумка
406,Eimer::N,pang,биэдэрэ
407,Eimer::N,ämber,биэдэрэ
408,Deckel::N,kaas,хаппах
409,Geschirr::N,nõud,иһит
410,Sack::N,kott,куул
411,Tasse::N,tass,сэлиэнэй
412,Topf::N,pada,көстүрүүҥкэ
413,Kessel::N,pada,хочуол
414,Essen::N,söök,аһылык
415,Nahrung::N,toit,ас
416,Speise::N,roog,аһылык
417,Fleisch::N,liha,эт
418,Getreide::N,teravili,злактар
419,Brei::N,puder,хааһы
420,Brot::N,sai,килиэп
421,Brot::N,leib,килиэп
422,Scheibe::N,viil,куһуок
423,Scheibe::N,viilukas,куһуок
424,Fett::N,rasv,сыа
425,Butter::N,või,арыы
426,Öl::N,õli,арыы
427,Salz::N,sool,туус
428,Suppe::N,supp,мин
429,Honig::N,mesi,мүөт
430,Milch::N,piim,үүт
431,Tee::N,tee,чэй
432,Leder::N,nahk,тирии
433,Wolle::N,vill,түү
434,Stoff::N,kangas,таҥас
435,Nadel::N,nõel,иннэ
436,Faden::N,niit,сап
437,Knopf::N,nööp,тимэх
438,Knoten::N,sõlm,түмүк
439,Farbe::N,värv,кырааска
440,Kleidung::N,riided,таҥас
441,Kleidung::N,riietus,таҥас
442,Hemd::N,särk,ырбаахы
443,Kragen::N,krae,саҕа
444,Ärmel::N,varrukas,сиэх
445,Hose::N,püksid,ыстаан
446,Hose::N,püksid,бүрүүкэ
447,Gürtel::N,vöö,кур
448,Mütze::N,müts,бэргэһэ
449,Schuh::N,king,бачыыҥка
450,Stiefel::N,saabas,саппыкы
451,Ring::N,sõrmus,биһилэх
452,Band::N,lint,лиэнтэ
453,Kamm::N,kamm,тараах
454,Spiegel::N,peegel,сиэркилэ
455,Riemen::N,rihm,кур
456,Schnur::N,nöör,быа
457,Leine::N,jalutusrihm,тэһиин
458,Decke::N,tekk,суорҕан
459,Kissen::N,padi,сыттык
460,Tuch::N,kalev,былаат
461,Handtuch::N,käterätik,соттор
462,Kraft::N,jõud,сыра
463,Stärke::N,tugevus,күүс
464,Gesundheit::N,tervis,доруобуйа
465,Krankheit::N,haigus,ыарыы
466,Schmerz::N,valu,ыарыы
467,Wunde::N,haav,баас
468,Fieber::N,palavik,түрүлгэн
469,Fieber::N,palavik,лихорадка
470,Fieber::N,palavik,температура
471,Arznei::N,ravim,эмп
472,Brücke::N,sild,күргэ
473,Brunnen::N,kaev,холуодьас
474,Weide::N,karjamaa,мэччирэҥ
475,Pfad::N,rada,ыллык
476,Weg::N,tee,суол
477,Straße::N,tee,суол
478,Dorf::N,küla,дэриэбинэ
479,Stadt::N,linn,куорат
480,Brief::N,kiri,сурук
481,Buch::N,raamat,кинигэ
482,Buchstabe::N,täht,буква
483,Zeitung::N,ajaleht,хаһыат
484,Leben::N,elu,тыын
485,Tod::N,surm,өлүү
486,Grab::N,haud,иин
487,Kirche::N,kirik,таҥара дьиэтэ
488,Sünde::N,patt,айыы
489,Gott::N,jumal,тангара
490,Arbeiter::N,tööline,үлэһит
491,Chef::N,ülemus,баһылык
492,Chef::N,ülemus,начальник
493,Chef::N,juhataja,баһылык
494,Chef::N,juhataja,начальник
495,Meister::N,meister,уус
496,Meister::N,meister,маастар
497,Arzt::N,arst,врач
498,Lehrer::N,õpetaja,учуутал
499,Geld::N,raha,харчы
500,Geschäft::N,äri,идэ
501,Laden::N,pood,маҕаһыын
502,Laden::N,kauplus,маҕаһыын
503,Preis::N,hind,сыана
504,Ware::N,kaup,табаар
505,Nutzen::N,tulu,туһа
506,Nutzen::N,kasulikkus,туһа
507,Reichtum::N,rikkus,баай
508,Welt::N,maailm,аан дойду
509,Land::N,maa,дойду
510,Staat::N,riik,государство
511,König::N,kuningas,король
512,Macht::N,võim,былаас
513,Grenze::N,piir,кыраныысса
514,Krieg::N,sõda,сэрии
515,Feind::N,vaenlane,өстөөх
516,Gewalt::N,väevõim,күүһүлээһин
517,Kampf::N,võitlus,охсуһуу
518,Bogen[Waffe]::N,vibu,ох
519,Pfeil::N,nool,ох
520,Gewehr::N,püss,саа
521,Fehler::N,viga,сыыһа
522,Lüge::N,vale,сымыйа
523,Schaden::N,kahju,хоромньу
524,Unglück::N,häda,алдьархай
525,Unglück::N,õnnetus,алдьархай
526,Schuld::N,süü,буруй
527,Alter::N,iga,саас
528,Schluss::N,lõpp,тиһэх
529,Zeit::N,aeg,бириэмэ
530,Tag::N,päev,күн
531,Morgen::N,hommik,сарсыарда
532,Mittag::N,lõuna,күн ортото
533,Mittag::N,keskpäev,күн ортото
534,Abend::N,õhtu,киэһэ
535,Nacht::N,öö,түүн
536,Woche::N,nädal,нэдиэлэ
537,Monat::N,kuu,ый
538,Jahr::N,aasta,сыл
539,Jahr::N,aasta,дьыл
540,Frühling::N,kevad,саас
541,Sommer::N,suvi,сайын
542,Herbst::N,sügis,күһүн
543,Winter::N,talv,кыһын
544,Januar::N,jaanuar,тохсунньу
545,Februar::N,veebruar,олунньу
546,März::N,märts,кулун тутар
547,April::N,aprill,муус устар ый
548,Mai::N,mai,ыам ыйа
549,Juni::N,juuni,бэс ыйа
550,Juli::N,juuli,от ыйа
551,August::N,august,атырдьах ыйа
552,September::N,september,балаҕан ыйа
553,Oktober::N,oktoober,алтынньы
554,November::N,november,сэтинньи
555,Dezember::N,detsember,ахсынньы
556,Montag::N,esmaspäev,бэнидиэнньик
557,Dienstag::N,teisipäev,оптуорунньук
558,Mittwoch::N,kesknädal,сэрэдэ
559,Donnerstag::N,neljapäev,чэппиэр
560,Freitag::N,reede,бээтинсэ
561,Samstag::N,laupäev,субуота
562,Sonntag::N,pühapäev,баскыһыанньа
563,groß::A,suur,бөдөҥ
564,groß::A,suur,улахан
565,klein::A,väike,кыр
566,klein::A,pisike,кыр
567,lang::A,pikk,уһун
568,kurz::A,lühike,кылгас
569,breit::A,lai,кэтит
570,schmal::A,kitsas,кыараҕас
571,dicht::A,tihe,хойуу
572,dick[Gegenstand]::A,jäme,суон
573,dick[Gegenstand]::A,jäme,хойуу
574,dünn::A,õhuke,чараас
575,dünn::A,peenike,чараас
576,fein::A,peen,бытархай
577,fein::A,peen,синньигес
578,fein::A,õhuke,бытархай
579,fein::A,õhuke,синньигес
580,fest::A,püsiv,бөҕө
581,fest::A,püsiv,кытаанах
582,fest::A,kindel,бөҕө
583,fest::A,kindel,кытаанах
584,flach::A,lame,хаптаҕай
585,flach::A,tasane,хаптаҕай
586,glatt::A,sile,кылааккай
587,hart::A,kõva,хатан
588,hart::A,kõva,кытаанах
589,weich::A,pehme,сымнаҕас
590,rund::A,ümar,төгүрүк
591,spitz::A,torkav,сытыы
592,spitz::A,torkav,уһуктаах
593,scharf::A,terav,сытыы
594,stumpf::A,nüri,сыппах
595,schwer::A,raske,ыарахан
596,schön::A,kena,кыраһыабай
597,heiß::A,kuum,итии
598,heiß::A,palav,итии
599,warm::A,soe,ичигэс
600,kalt::A,külm,тымныы
601,kühl::A,jahe,сөрүүн
602,frisch::A,värske,ыраас
603,frisch::A,värske,сөрүүн
604,frisch::A,värske,тымныы
605,feucht::A,niiske,сииктээх
606,nass::A,märg,инчэҕэй
607,trocken::A,kuiv,кураан
608,voll::A,täis,толору
609,leer::A,tühi,иччитэх
610,offen::A,avatud,аһаҕас
611,offen::A,lahtine,аһаҕас
612,geschlossen::A,suletud,бүтэй
613,sauber::A,puhas,сэбэр
614,schmutzig::A,räpane,кирдээх
615,schmutzig::A,määrdunud,кирдээх
616,roh::A,toores,сиикэй
617,reif::A,küps,буспут
618,reif::A,küps,сиппит-хоппут
619,lecker::A,hõrk,минньигэс
620,lecker::A,maitsev,минньигэс
621,süß::A,magus,минньигэс
622,bitter::A,mõru,аһыы
623,sauer::A,hapu,аһыы
624,hell::A,hele,сырдык
625,dunkel::A,pime,хараҥа
626,schwarz::A,must,хара
627,weiß::A,valge,үрүҥ
628,weiß::A,valge,маҥан
629,rot::A,punane,кыһыл
630,gelb::A,kollane,саһархай
631,blau::A,sinine,күөх
632,grün::A,roheline,күөх
633,grün::A,roheline,от күөҕэ
634,grau::A,hall,сиэрэй
635,bunt::A,kirju,эриэн
636,bunt::A,värviline,эриэн
637,billig::A,odav,чэпчэки
638,teuer::A,kallis,сыаналаах
639,wertvoll::A,väärtuslik,сыаналаах
640,blind::A,pime,хараҕа суох
641,taub::A,kurt,дьүлэй
642,kräftig::A,jõuline,модун
643,stark::A,tugev,күүстээх
644,schwach::A,nõrk,мөлтөх
645,schwach::A,jõuetu,мөлтөх
646,fett::A,rasvane,эмис
647,schlank::A,sale,дьылҕан
648,schlank::A,sale,дьыпсаҕай
649,hübsch::A,kena,олус кэрэ
650,hübsch::A,kena,көрүөхтэн үчүгэй
651,böse::A,tige,өһүөннээх
652,dumm::A,juhm,акаары
653,dumm::A,rumal,акаары
654,faul::A,laisk,нэс
655,fleißig::A,virk,кыһамньылаах
656,fleißig::A,hoolas,кыһамньылаах
657,geizig::A,ihne,иҥсэлээх
658,klug::A,tark,өйдөөх
659,klug::A,arukas,өйдөөх
660,klug::A,mõistlik,өйдөөх
661,geschickt::A,osav,наһаа дьоҕурдаах
662,lieb::A,armas,тапталлаах
663,lustig::A,lõbus,көрдөөх
664,sanft::A,õrn,намчы
665,sanft::A,õrn,сымнаҕас
666,hungrig::A,näljane,аччык
667,krank::A,haige,ыалдьар
668,nackt::A,alasti,сыгынньах
669,traurig::A,kurb,санаарҕабыллаах
670,lebendig::A,elus,тыыннаах
671,gut::A,hea,үтүө
672,gut::A,hea,үчүгэй
673,schlecht::A,halb,куһаҕан
674,richtig::A,õige,сөп
675,schlimm::A,paha,сидьиҥ
676,schlimm::A,paha,быдьар
677,wahr::A,tõene,кырдьык
678,alt::A,vana,былыргы
679,neu::A,uus,саҥа
680,ehemalig::A,endine,урукку
681,alt[Lebewesen]::A,vana,кырдьаҕас
682,jung::A,noor,эдэр
683,arm::A,vaene,дьадаҥы
684,reich::A,rikas,баай
685,bekannt::A,teada,билэр
686,bekannt::A,tuttav,билэр
687,berühmt::A,tuntud,аатырбыт
688,fremd::A,võõras,атын
689,verschieden::A,erinev,араас
690,nah::A,lähedane,чугас
691,fern::A,kauge,ыраах
692,linker::A,vasak,хаҥас
693,rechter::A,parem,уҥа
694,anderer::A,muu,атын
695,anderer::A,teine,атын
696,erster::A,esimene,маҥнайгы
697,zweiter::A,teine,иккис
698,dritter::A,kolmas,үһүс
699,letzter::A,viimane,тиһэх
700,allein::ADV,üksi,соҕотох
701,auf einmal::ADV,korraga,биирдэ
702,auf einmal::ADV,ühekorraga,биирдэ
703,zusammen::ADV,koos,холбуу
704,zusammen::ADV,üheskoos,холбуу
705,lange::ADV,kaua,уһуннук
706,plötzlich::ADV,äkki,эмискэ
707,plötzlich::ADV,järsku,эмискэ
708,sofort::ADV,kohe,тута
709,später::ADV,hiljem,хойут
710,jetzt::ADV,nüüd,билигин
711,heute::ADV,täna,бүгүн
712,morgen::ADV,homme,сарсын
713,bald::ADV,pea,өтөр
714,bald::ADV,varsti,өтөр
715,dann::ADV,siis,кэнна
716,gestern::ADV,eile,бэҕэһээ
717,einst::ADV,vanasti,биир төгүл
718,einst::ADV,vanasti,арай биирдэ
719,damals::ADV,tookord,оччоҕо
720,danach::ADV,seejärel,аары
721,danach::ADV,seejärel,ол кэнниттэн
722,vorher::ADV,enne,урут
723,zuerst::ADV,enne,маҥнай
724,zuerst::ADV,esmalt,маҥнай
725,einmal::ADV,kord,биирдэ
726,einmal::ADV,üks kord,биирдэ
727,manchmal::ADV,mõnikord,арыт
728,oft::ADV,tihti,чаастатык
729,oft::ADV,sageli,чаастатык
730,immer::ADV,ikka,мэлдьи
731,immer::ADV,alati,мэлдьи
732,niemals::ADV,mitte kunagi,хаһан да
733,hier::ADV,siin,маныаха
734,hierhin::ADV,siia,бэттэх
735,von hier::ADV,siit,мантан
736,dort::ADV,seal,онно
737,dorthin::ADV,sinna,онно
738,geradeaus::ADV,otse edasi,быһа
739,geradeaus::ADV,otse edasi,быһаччы
740,vorwärts::ADV,edasi,инники
741,rückwärts::ADV,tagurpidi,төттөру
742,zurück::ADV,tagasi,төттөрү
743,unten::ADV,all,аллара
744,unten::ADV,allpool,аллара
745,hinab::ADV,alla,аллара
746,oben::ADV,ülal,үөһэ
747,hinauf::ADV,üles,өрө
748,hinauf::ADV,üles,үөһэ
749,überall::ADV,kõikjal,бэйдиэ
750,nicht::ADV,ei,буолбатах
751,nicht::ADV,mitte,буолбатах
752,ein wenig::ADV,veidi,кыратык
753,ein wenig::ADV,natuke,кыратык
754,kaum::ADV,vaevalt,нэһиилэ
755,sehr::ADV,väga,бэрт
756,sehr::ADV,väga,наһаа
757,so::ADV,nii,оччо
758,so::ADV,nii,оннук
759,noch::ADV,veel,өссө
760,nur::ADV,ainult,эрэ
761,nur::ADV,ainult,сыччах
762,schon::ADV,juba,бэлиэр
763,wieder::ADV,jälle,эмиэ
764,vergebens::ADV,asjata,таак
765,vor::PRP,ees,иннигэр
766,hinter::PRP,taha,кэлин
767,unter::PRP,all,-ҕа
768,unter::PRP,all,оһох түгэҕэ
769,durch::PRP,läbi,курдары
770,durch::PRP,kaudu,курдары
771,neben::PRP,kõrval,аттыгар
772,zwischen::PRP,vahel,ыккардынан
773,wegen::PRP,tõttu,уҥуортан
774,wegen::PRP,pärast,уҥуортан
775,dies::PRN,see,ити
776,dies::PRN,see,бу
777,das::PRN,see,били
778,alles::PRN,kõik,барыта
