,Concept_ID,hy,sq
367,Gewicht::N,կշիռ,peshë
368,Menge::N,քանակ,sasi
369,Haufen::N,դեզ,grumbull
370,Haufen::N,կույտ,grumbull
371,Reihe::N,շարք,radhë
372,Reihe::N,շարք,rresht
373,Reihe::N,կարգ,radhë
374,Reihe::N,կարգ,rresht
375,Boot::N,նավակ,barkë
376,Boot::N,նավակ,lundër
377,Ruder::N,թի,rrem
378,Ruder::N,թիակ,rrem
379,Schlitten::N,բալխիր,sajë
380,Ski::N,դահուկ,ski
381,Lagerfeuer::N,բացօդեայ կրակ,flakadan
382,Lagerfeuer::N,բացօդեայ կրակ,zjarr i madh
383,Last::N,բեռ,barrë
384,Gang::N,զբոսանք,ecje
385,Schritt::N,քայլ,hap
386,Norden::N,հյուսիս,veri
387,Süden::N,հարավ,jug
388,Westen::N,արեւմուտք,perëndim
389,Osten::N,արեւելք,lindje
390,Holz::N,փայտ,dru
391,Brett::N,տախտակ,dërrasë
392,Platte::N,թիթեղ,pllakë
393,Stütze::N,նեցուկ,shtyllë
394,Stütze::N,նեցուկ,mbështetesë
395,Stange::N,ձող,shufër
396,Stock::N,փայտ,dajak
397,Stab::N,ցուպ,shkop
398,Stab::N,գավազան,shkop
399,Rohr::N,խողովակ,tub
400,Haus::N,տուն,shtëpi
401,Heim::N,տուն,konak
402,Heim::N,տուն,shtëpi
403,Ofen::N,վառարան,sobë
404,Ofen::N,վառարան,stufë
405,Fußboden::N,հատակ,dysheme
406,Tisch::N,սեղան,tryezë
407,Stuhl::N,աթոռ,karrige
408,Wiege::N,օրորոց,djep
409,Bett::N,անկողին,shtrat
410,Regal::N,դարակ,raft
411,Kiste::N,տուփ,kuti
412,Fenster::N,պատուհան,dritare
413,Tür::N,դուռ,derë
414,Tor::N,դարպաս,portë
415,Zaun::N,ցանկապատ,gardh
416,Dach::N,տանիք,çati
417,Dach::N,կտուր,çati
418,Leiter::N,սանդուղք,shkallë
419,Besen::N,ավել,fshesë
420,Spaten::N,բահ,lopatë
421,Schaufel::N,թի,qyrek
422,Gabel::N,պատառաքաղ,pirun
423,Löffel::N,գդալ,lugë
424,Messer::N,դանակ,thikë
425,Nagel::N,մեխ,gozhdë
426,Netz::N,ցանց,rrjetë
427,Haken::N,կարթ,grep
428,Haken::N,կարթ,grremç
429,Griff::N,կոթ,dorak
430,Griff::N,կոթ,dorezë
431,Griff::N,բռնակ,dorak
432,Griff::N,բռնակ,dorezë
433,Schloss::N,կողպեք,bravë
434,Bild::N,նկար,tablo
435,Bild::N,նկար,pikturë
436,Bild::N,պատկեր,tablo
437,Bild::N,պատկեր,pikturë
438,Figur::N,քանդակ,figurë
439,Figur::N,պատկեր,figurë
440,Puppe::N,տիկնիկ,kukull
441,Beutel::N,տոպրակ,qese
442,Beutel::N,տոպրակ,trastë
443,Bündel::N,կապոց,deng
444,Tasche::N,պայուսակ,çantë
445,Eimer::N,դույլ,kovë
446,Deckel::N,կափարիչ,kapak
447,Deckel::N,կափարիչ,mbulesë
448,Geschirr::N,ամանեղեն,enë
449,Sack::N,պարկ,thes
450,Sack::N,պարկ,torbë
451,Sack::N,տոպրակ,thes
452,Sack::N,տոպրակ,torbë
453,Tasse::N,թաս,filxhan
454,Tasse::N,գավաթ,filxhan
455,Topf::N,անոթ,kusi
456,Topf::N,անոթ,tenxhere
457,Kessel::N,կաթսա,kazan
458,Essen::N,կերակուր,ngrënie
459,Nahrung::N,ուտելիք,ushqim
460,Speise::N,խորտիկ,gatesë
461,Speise::N,կերակուր,gatesë
462,Fleisch::N,միս,mish
463,Getreide::N,հացահատիկ,drithë
464,Brei::N,լանդակ,qull
465,Brot::N,հաց,bukë
466,Scheibe::N,կտոր,fetë
467,Scheibe::N,պատառ,fetë
468,Fett::N,ճարպ,lyrë
469,Fett::N,ճարպ,yndyrë
470,Butter::N,կարագ,gjalpë
471,Öl::N,ձեթ,vaj
472,Salz::N,աղ,kripë
473,Suppe::N,սուպ,supë
474,Suppe::N,սուպ,çorbë
475,Suppe::N,ապուր,supë
476,Suppe::N,ապուր,çorbë
477,Honig::N,մեղր,mjaltë
478,Milch::N,կաթ,qumësht
479,Tee::N,թեյ,çaj
480,Leder::N,կաշի,lëkurë
481,Wolle::N,բուրդ,lesh
482,Stoff::N,գործվածք,pëlhurë
483,Nadel::N,ասեղ,gjilpërë
484,Faden::N,թել,pe
485,Faden::N,թել,fije
486,Knopf::N,կոճակ,kopsë
487,Knoten::N,հանգույց,komb
488,Farbe::N,ներկ,bojë
489,Kleidung::N,հագուստ,veshje
490,Hemd::N,վերնաշապիկ,këmishë
491,Kragen::N,օձիք,jakë
492,Ärmel::N,թեւք,mëngë
493,Hose::N,շալվար,brekë
494,Gürtel::N,գոտի,rrip
495,Mütze::N,կեպի,kësulë
496,Schuh::N,կոշիկ,këpucë
497,Stiefel::N,երկարաճիթ կոշիկ,çizme
498,Ring::N,զնգալ,unazë
499,Band::N,ժապավեն,shirit
500,Kamm::N,սանր,krehër
501,Spiegel::N,հայելի,pasqyrë
502,Riemen::N,փոկ,rrip
503,Schnur::N,լար,litar
504,Schnur::N,լար,cikomë
505,Leine::N,փոկ,rrip
506,Decke::N,վերմակ,batanije
507,Kissen::N,բարձ,jastëk
508,Tuch::N,թաշկինակ,shami
509,Handtuch::N,սրբիչ,peshqir
510,Kraft::N,ուժ,forcë
511,Stärke::N,պնդություն,koll
512,Stärke::N,ամրություն,koll
513,Gesundheit::N,առողջություն,shëndet
514,Krankheit::N,ախտ,sëmundje
515,Krankheit::N,հիվանդություն,sëmundje
516,Schmerz::N,ցավ,dhimbje
517,Schmerz::N,տանջանք,dhimbje
518,Wunde::N,վերք,plagë
519,Fieber::N,տենդ,ethe
520,Arznei::N,դեղ,ilaç
521,Brücke::N,կամուրջ,urë
522,Brunnen::N,հոր,pus
523,Brunnen::N,ջրհոր,pus
524,Weide::N,արոտավայր,kullotë
525,Pfad::N,արահետ,ravë
526,Pfad::N,արահետ,shteg
527,Weg::N,ուղի,udhë
528,Weg::N,ուղի,shteg
529,Straße::N,ճանապարհ,rrugë
530,Dorf::N,գյուղ,fshat
531,Dorf::N,գյուղ,katund
532,Stadt::N,քաղաք,qytet
533,Brief::N,նամակ,letër
534,Buch::N,գիրք,libër
535,Buchstabe::N,տառ,shkronjë
536,Buchstabe::N,գիր,shkronjë
537,Zeitung::N,լրագիր,gazetë
538,Leben::N,կյանք,jetë
539,Tod::N,մահ,mortje
540,Grab::N,գերեզման,varr
541,Kirche::N,եկեղեցի,kishë
542,Sünde::N,մեղք,mëkat
543,Sünde::N,մեղք,gjynah
544,Gott::N,աստված,hy
545,Gott::N,աստված,zot
546,Arbeiter::N,բանվոր,punëtor
547,Arbeiter::N,աշխատող,punëtor
548,Chef::N,տեր,shef
549,Chef::N,տեր,drejtues
550,Meister::N,վարպետ,mjeshtër
551,Arzt::N,բժիշկ,mjek
552,Arzt::N,բժիշկ,doktor
553,Lehrer::N,ուսուցիչ,mësues
554,Lehrer::N,ուսուցիչ,arsimtar
555,Geld::N,փող,para
556,Geld::N,փող,holla
557,Geschäft::N,գործ,ujdi
558,Geschäft::N,գործ,biznes
559,Geschäft::N,աշխատանք,ujdi
560,Geschäft::N,աշխատանք,biznes
561,Laden::N,կրպակ,dyqan
562,Laden::N,խանութ,dyqan
563,Preis::N,գին,çmim
564,Ware::N,ապրանք,mall
565,Nutzen::N,օգուտ,dobi
566,Nutzen::N,օգուտ,leverdi
567,Reichtum::N,հարստություն,kamje
568,Reichtum::N,հարստություն,pasuri
569,Welt::N,աշխարհ,botë
570,Land::N,երկիր,vend
571,Staat::N,պետություն,shtet
572,König::N,արքա,mbret
573,König::N,թագավոր,mbret
