,Concept_ID,no,mrj
66,Luft::N,luft,воздух
67,Wind::N,vind,мардеж
68,Welle::N,bølge,ко
69,Welle::N,bølge,коэ
70,Wasser::N,vann,вӹд
71,Stein::N,stein,кӱ
72,Boden::N,bakke,рок
73,Erde::N,jord,свет
74,Staub::N,støv,пырак
75,Rauch::N,røyk,шӹкш
76,Funke::N,gnist,ип
77,Funke::N,gnist,тылип
78,Feuer::N,ild,тыл
79,Licht::N,lys,соты
80,Licht::N,lys,валгыды
81,Schatten::N,skygge,ӹмӹл
82,Wetter::N,vær,игечӹ
83,Nebel::N,tåke,тӹтӹрӓ
84,Wolke::N,sky,пӹл
85,Regen::N,regn,юр
86,Schnee::N,snø,лым
87,Eis::N,is,и
88,Frost::N,frost,ӱштӹ
89,Kälte::N,kulde,ӱштӹ
90,Hitze::N,hete,шокшы
91,Raureif::N,rimfrost,пöрш
92,Regenbogen::N,regnbue,шанавӹл
93,Donner::N,torden,хӹдӹртӹш
94,Strömung::N,strømning,йогы
95,Tropfen::N,dråpe,капльы
96,Tropfen::N,dråpe,капльык
97,Schaum::N,skum,шонг
98,Schmutz::N,søl,лявӹрӓ
99,Schmutz::N,skitt,лявӹрӓ
100,See::N,sjø,йӓр
101,Sumpf::N,sump,лӱкӹ
102,Sumpf::N,myrlende,лӱкӹ
103,Moor::N,myr,куп
104,Moor::N,myrhei,куп
105,Wiese::N,eng,алык
106,Wald::N,skog,шӹргӹ
107,Hügel::N,haug,пӱгӹрикӓ
108,Hügel::N,bakke,пӱгӹрикӓ
109,Anhöhe::N,haug,кӱкшикӓ
110,Anhöhe::N,bakke,кӱкшикӓ
111,Berg::N,berg,кырык
112,Berg::N,fjell,кырык
113,Gipfel::N,topp,неркӓ
114,Höhle::N,hule,ы́раж
115,Abhang::N,li,полом
116,Abhang::N,skråning,полом
117,Quelle::N,kilde,вӹдсӹнзӓ
118,Bach::N,bekk,ӓнгӹр
119,Fluss::N,elv,вӹд
120,Ufer::N,bredd,сир
121,Küste::N,kyst,сир
122,Festland::N,fastland,мӱлӓндӹ
123,Meer::N,hav,тангыж
124,Bucht::N,bukt,вӹдъял
125,Insel::N,øy,острок
126,Blume::N,blomst,пеледӹш
127,Gras::N,gress,шуды
128,Wurzel::N,rot,важ
129,Baum::N,tre,пушӓнгӹ
130,Stamm::N,stamme,пушӓнгӹ тӹнг
131,Rinde::N,bark,каргыж
132,Ast::N,gren,укш
133,Zweig::N,kvist,укш
134,Blatt::N,blad,листӹ
135,Birke::N,bjørk,куги
136,Kiefer[Baum]::N,furu,йӓктӹ
137,Weide[Baum]::N,selje,уа
138,Weide[Baum]::N,piletre,уа
139,Tanne::N,gran,кож
140,Horn::N,horn,шур
141,Feder::N,fjær,пын
142,Fell::N,skinn,кавашты
143,Flügel::N,vinge,шылдыр
144,Klaue::N,klauv,кӹч
145,Kralle::N,klo,лапа
146,Schwanz::N,hale,пач
147,Ei::N,egg,мыны
148,Nest::N,rede,пӹжӓш
149,Bau::N,hi,ыраж
150,Tier::N,dyr,во́льык
151,Herde::N,flokk,кӹтö
152,Kuh::N,ku,ышкал
153,Bulle::N,tyr,ӱшкӱж
154,Pferd::N,hest,имни
155,Schaf::N,får,шарык
156,Schwein::N,gris,сасна
157,Hund::N,hund,пи
158,Katze::N,katt,коти
159,Bär::N,bjørn,мöскӓ
160,Eichhörnchen::N,ekorn,ур
161,Elch::N,elg,шарды
162,Fuchs::N,rev,рӹвӹж
163,Hase::N,hare,морен
164,Maus::N,mus,каля
165,Wolf::N,ulv,пирӹ
166,Wolf::N,varg,пирӹ
167,Vogel::N,fugl,кек
168,Schwarm::N,sverm,цуца
169,Huhn::N,høne,цӹвӹ
170,Hahn::N,hane,ӓптӓн
171,Gans::N,gås,комбы
172,Adler::N,ørn,кучкыж
173,Ente::N,and,лыды
174,Eule::N,ugle,тымана
175,Kranich::N,trane,тырня
176,Kranich::N,trane,тыртня
177,Krähe::N,kråke,лудыгарак
178,Kuckuck::N,gjøk,куку
179,Schwan::N,svane,йӱксӹ
180,Fisch::N,fisk,кол
181,Barsch::N,abbor,алангы
182,Hecht::N,gjedde,нуж
183,Hecht::N,gjedde,нужгол
184,Schlange[Tier]::N,orm,кӹшкы
185,Schlange[Tier]::N,slange,кӹшкы
186,Wurm::N,orm,шукш
187,Wurm::N,mark,шукш
188,Spinne::N,edderkopp,ӓнгӹремшӹ
189,Ameise::N,maur,кыткы
190,Laus::N,lus,ти
191,Mücke::N,mygg,кужнер
192,Mücke::N,mygg,кужынер
193,Fliege::N,flue,шӹнгӓ
194,Schmetterling::N,sommerfugl,лӹпӹ
195,Beere::N,bær,мöр
196,Apfel::N,eple,олма
197,Pilz::N,sopp,понгы
198,Zwiebel::N,løk,охыра
199,Saat::N,sæd,нӱшмӹ
200,Saat::N,sæd,нӱшмӱ
201,Korn::N,korn,пӹрцӹ
202,Heu::N,høy,шуды
203,Schale::N,skall,аваха
204,Schale::N,skall,карлангы
205,Grube::N,grop,йӓм
206,Falle::N,felle,лӱдӹ
207,Falle::N,felle,лӱдӹш
208,Schlinge::N,snare,онгы
209,Spur::N,spor,кишӓ
210,Asche::N,aske,ломых
211,Asche::N,aske,ломпыж
212,Dreck::N,møkk,лявӹрӓ
213,Dreck::N,skitt,лявӹрӓ
214,Eisen::N,jern,кӹртни
215,Gold::N,gull,шöртни
216,Gold::N,gull,шöртньӹ
217,Silber::N,sølv,ши
218,Kohle::N,kol,шӱ
219,Kohle::N,kull,шӱ
220,Glas::N,glass,охоница
221,Lehm::N,leire,шун
222,Sand::N,sand,ошма
223,Mensch::N,menneske,эдем
224,Mann::N,mann,пӱэргӹ
225,Frau::N,kvinne,ӹдӹрӓмӓш
226,Kind::N,barn,ӓзӓ
227,Kind::N,barn,шачшы
228,Junge::N,gutt,рвезӹ
229,Junge::N,gutt,ӹрвезӹ
230,Mädchen::N,pike,ӹдӹрӓш
231,Mädchen::N,jente,ӹдӹрӓш
232,Familie::N,familie,йиш
233,Familie::N,familie,семня
234,Großvater::N,bestefar,тьоти
235,Großmutter::N,bestemor,папа
236,Eltern::N,foreldre,ӓтя-ӓвӓ
237,Vater::N,far,ӓтя
238,Mutter::N,mor,ӓвӓ
239,Sohn::N,sønn,эргӹ
240,Tochter::N,datter,ӹдӹр
241,Bruder::N,bror,ӹза
242,Schwester::N,søster,ӓкӓ
243,Onkel::N,onkel,кугуза
244,Tante::N,tante,куака
245,Ehemann::N,ektemann,мары
246,Ehefrau::N,hustru,вӓтӹ
247,Freude::N,glede,ӹвӹртӹмӓш
248,Gelächter::N,latter,ваштылмаш
249,Glück::N,lykke,пиӓл
250,Kummer::N,sorg,ясы
251,Wunsch::N,ønske,охата
252,Wunsch::N,ønske,шанымаш
253,Lust::N,lyst,шӓр
254,Lust::N,lyst,охата
255,Lust::N,lyst,шанымаш
256,Geist::N,ånd,тух
257,Gedanke::N,tanke,шанымаш
258,Gedächtnis::N,minne,ӓш
259,Gedächtnis::N,hukommelse,ӓш
260,Verstand::N,forstand,ыш
261,Sinn::N,mening,кын
262,Sinn::N,betydning,кын
263,Grund::N,grunn,вир
264,Wahrheit::N,sannhet,тöр
265,Gespräch::N,samtale,хытырымаш
266,Märchen::N,eventyr,ямак
267,Erzählung::N,fortelling,шайыштмаш
268,Nachricht::N,melding,увертӓрӹмӓш
269,Neuigkeit::N,nyhet,увер
270,Name::N,navn,лӹм
271,Rätsel::N,gåte,тышты
272,Rede::N,tale,шая
273,Rede::N,tale,шамак
274,Sprache::N,språk,йӹлмӹ
275,Stimme::N,stemme,юк
276,Wort::N,ord,шамак
277,Zeichen::N,tegn,палӹ
278,Ruf::N,rop,сӹгӹрӹмӓш
279,Lärm::N,bråk,юкланымащ
280,Laut::N,lyd,юк
281,Ton::N,tone,юк
282,Lied::N,vise,мыры
283,Ruhe::N,ro,тыр
284,Leute::N,folk,эдемвлӓ
285,Volk::N,folk,халык
286,Arbeit::N,arbeid,пӓшӓ
287,Gast::N,gjest,хына
288,Geschenk::N,gave,подарка
289,Spiel::N,lek,мадыш
290,Spiel::N,spill,мадыш
291,Gesellschaft::N,selskap,йӓл
292,Gesellschaft::N,selskap,йӓлвлӓ
293,Hilfe::N,hjelp,палшык
294,Freund::N,venn,тӓнг
295,Kamerad::N,kamerat,тос
296,Angelegenheit::N,sak,дела
297,Angelegenheit::N,sak,йела
298,Angelegenheit::N,sak,йыла
299,Angelegenheit::N,sak,пӓшӓ
300,Angelegenheit::N,anliggende,дела
301,Angelegenheit::N,anliggende,йела
302,Angelegenheit::N,anliggende,йыла
303,Angelegenheit::N,anliggende,пӓшӓ
304,Anzahl::N,antall,шот
305,Art::N,art,цӹре
306,Art::N,slag,цӹре
307,Stück::N,stykke,лаштык
308,Teil::N,del,пай
309,Teil::N,del,часть
310,Hälfte::N,halvdel,пел
311,Kreis::N,ring,тӹртӹш
312,Kreis::N,sirkel,тӹртӹш
313,Kreuz::N,kors,крестӹ
314,Kreuz::N,kryss,крестӹ
315,Linie::N,linje,
316,Strich::N,strek,
317,Abstand::N,avstand,ло
318,Entfernung::N,avstand,ло
319,Gegend::N,strøk,вӓр
320,Platz::N,plass,вӓр
321,Ort::N,sted,вӓр
322,Seite::N,side,öрдӹж
323,Mitte::N,midte,ло
324,Gegenstand::N,gjenstand,хӓдӹр
325,Sache::N,sak,хӓдӹр
326,Rand::N,rand,шöр
327,Kante::N,kant,шöр
328,Ecke::N,hjørne,лык
329,Spitze::N,spiss,вуй
330,Ende::N,ende,вуй
331,Ende::N,ende,мычаш
332,Loch::N,hull,ыраж
333,Winkel::N,vinkel,лык
334,Muster::N,mønster,тӹрлец
335,Größe::N,størrelse,кӱкшӹц
336,Länge::N,lengde,кыт
337,Höhe::N,høyde,кӱкшӹц
338,Gewicht::N,vekt,нелӹц
339,Menge::N,mengde,шот
340,Haufen::N,haug,ара
341,Haufen::N,bunke,ара
342,Reihe::N,rekke,ряд
343,Boot::N,båt,пыш
344,Ruder::N,åre,вешлӓ
345,Schlitten::N,slede,тир
346,Schlitten::N,kjelke,тир
347,Ski::N,ski,ечӹ
348,Lagerfeuer::N,leirbål,тыл
349,Last::N,bør,нелӹц
350,Last::N,last,нелӹц
351,Gang::N,gang,ход
352,Schritt::N,steg,ашкыл
353,Schritt::N,skritt,ашкыл
354,Norden::N,nord,йыдпелвел
355,Süden::N,sør,кечӹвӓлвел
356,Westen::N,vest,кечӹ шӹцмӹ
357,Osten::N,øst,ирвел
358,Osten::N,øst,кечӹ лӱлтмӹ
359,Holz::N,tre,пушӓнгӹ
360,Brett::N,fjøl,ханга
361,Brett::N,brett,ханга
362,Platte::N,plate,плитӓ
363,Stütze::N,støtte,цӓрӓк
364,Stange::N,stang,равы
365,Stange::N,stang,намаш
366,Stock::N,pinne,панды
367,Stab::N,stav,равы
368,Stab::N,kjepp,равы
369,Rohr::N,rør,пыч
370,Haus::N,hus,пöрт
371,Heim::N,hjem,пöрт
372,Ofen::N,ovn,камака
373,Fußboden::N,gulv,седӹрӓ
374,Tisch::N,bord,стöл
375,Stuhl::N,stol,пöкен
376,Wiege::N,vogge,шипкӓ
377,Bett::N,seng,койка
378,Bett::N,seng,кравать
379,Regal::N,reol,полицӓ
380,Regal::N,hylle,полицӓ
381,Kiste::N,kasse,шӱ́ндӹк
382,Fenster::N,vindu,окня
383,Tür::N,dør,амаса
384,Tor::N,port,хапка
385,Zaun::N,gjerde,забор
386,Dach::N,tak,левӓш
387,Leiter::N,stige,ташкалтыш
388,Besen::N,kost,сало
389,Besen::N,kost,салко
390,Spaten::N,spade,кольмы
391,Schaufel::N,skuffe,лоток
392,Gabel::N,gaffel,ви́лка
393,Löffel::N,skje,савала
394,Messer::N,kniv,кӹзӹ
395,Nagel::N,spiker,пыда
396,Netz::N,nett,вӓпш
397,Haken::N,krok,крӱк
398,Haken::N,krok,кагак
399,Griff::N,tak,кычем
400,Griff::N,håndtak,кычем
401,Schloss::N,lås,замок
402,Schloss::N,lås,сыравач
403,Bild::N,bilde,картин
404,Figur::N,figur,кӓн
405,Puppe::N,dukke,поханя
406,Beutel::N,pose,мешӓк
407,Bündel::N,bylt,топ
408,Bündel::N,bylt,пидӹш
409,Bündel::N,bylt,кӹлдӹш
410,Tasche::N,veske,сумкы
411,Eimer::N,bøtte,ведӹрӓ
412,Deckel::N,lokk,комдыш
413,Geschirr::N,kjøkkentøy,ӓтӹ
414,Sack::N,sekk,мешӓк
415,Tasse::N,kopp,цӓшкӓ
416,Topf::N,gryte,ми́ска
417,Kessel::N,kjele,пад
418,Essen::N,mål,качкыш
419,Essen::N,mål,качкыш-йӱш
420,Nahrung::N,mat,качкыш
421,Nahrung::N,mat,качкыш-йӱш
422,Nahrung::N,næring,качкыш
423,Nahrung::N,næring,качкыш-йӱш
424,Speise::N,matrett,няня
425,Fleisch::N,kjøtt,пай
426,Getreide::N,korn,киндӹ
427,Brei::N,grøt,шӹрӓш
428,Brot::N,brød,сыкыр
429,Scheibe::N,skive,ламыт
430,Scheibe::N,skive,лаштык
431,Fett::N,fett,кая
432,Butter::N,smør,ӱ
433,Öl::N,olje,ӱ
434,Salz::N,salt,санзал
435,Suppe::N,suppe,лем
436,Honig::N,honning,мӱ
437,Milch::N,melk,шӹшер
438,Tee::N,te,чӓй
439,Leder::N,lær,шарга
440,Leder::N,lær,кавашты
441,Leder::N,skinn,шарга
442,Leder::N,skinn,кавашты
443,Wolle::N,ull,миж
444,Stoff::N,tøy,матер
445,Stoff::N,tøy,матери
446,Stoff::N,stoff,матер
447,Stoff::N,stoff,матери
448,Nadel::N,nål,им
449,Faden::N,tråd,шӹртӹ
450,Knopf::N,knapp,полдыш
451,Knoten::N,knute,пӱкшем
452,Farbe::N,farge,чиӓ
453,Farbe::N,farge,крӓскӓ
454,Kleidung::N,påkledning,выргем
455,Hemd::N,skjorte,тыгыр
456,Kragen::N,krage,шӱ
457,Ärmel::N,erme,шокш
458,Hose::N,bukse,ялаш
459,Gürtel::N,belte,ӹштӹ
460,Mütze::N,lue,упш
461,Schuh::N,sko,ту́фльы
462,Stiefel::N,støvel,кем
463,Ring::N,ring,шӓргӓш
464,Band::N,band,лемтӓ
465,Kamm::N,kam,шерге
466,Spiegel::N,speil,тӹгӹр
467,Riemen::N,rem,прӓжӓ
468,Schnur::N,snor,кӓндӹра
469,Leine::N,line,керем
470,Decke::N,teppe,одеял
471,Kissen::N,pute,кӹпцӹк
472,Tuch::N,tøy,савыц
473,Handtuch::N,håndkle,шӹргӹсавыц
474,Handtuch::N,håndkle,шӹргӹмсавыц
475,Kraft::N,kraft,ви
476,Stärke::N,styrke,ви
477,Gesundheit::N,helse,шу
478,Gesundheit::N,helse,шулык
479,Gesundheit::N,sunnhet,шу
480,Gesundheit::N,sunnhet,шулык
481,Krankheit::N,syke,мыж
482,Krankheit::N,sykdom,мыж
483,Schmerz::N,smerte,карштыш
484,Wunde::N,sår,шушыр
485,Fieber::N,feber,ӱштӹмыж
486,Arznei::N,medisin,лекӓрцӹ
487,Arznei::N,legemiddel,лекӓрцӹ
488,Brücke::N,bro,кӹвер
489,Brunnen::N,brønn,вӹдсӹнзӓ
490,Weide::N,beite,ныр
491,Pfad::N,sti,ялгорны
492,Weg::N,vei,корны
493,Straße::N,gate,корны
494,Dorf::N,landsby,сола
495,Stadt::N,by,города
496,Brief::N,brev,сирмӓш
497,Buch::N,bok,книгӓ
498,Buchstabe::N,bokstav,буква́
499,Zeitung::N,avis,газет
500,Zeitung::N,avis,кайзет
501,Leben::N,liv,житя
502,Tod::N,død,смöрт
503,Grab::N,grav,шӹгер
504,Grab::N,grav,мыгилӓ
505,Grab::N,grav,шӹгерлӓ
506,Kirche::N,kirke,церкӹ
507,Sünde::N,synd,сулык
508,Gott::N,gud,йымы
509,Arbeiter::N,arbeider,пӓшӓзӹ
510,Chef::N,sjef,вуй
511,Meister::N,mester,мастар
512,Arzt::N,lege,доктор
513,Lehrer::N,lærer,тымдышы
514,Geld::N,penger,окса
515,Geschäft::N,forretning,торге́йӹмӓш
516,Laden::N,butikk,лапка
517,Laden::N,butikk,магазин
518,Preis::N,pris,ӓк
519,Ware::N,vare,товар
520,Nutzen::N,nytte,пайда
521,Reichtum::N,rikdom,перке
522,Welt::N,verden,сӓндӓлӹк
523,Welt::N,verden,свет
524,Land::N,land,сӓндӓлӹк
525,Staat::N,stat,кугижӓншӹ
526,König::N,konge,король
527,Macht::N,makt,власть
528,Grenze::N,grense,пӹсмӓн
529,Krieg::N,krig,вырсы
530,Feind::N,fiende,тышман
531,Gewalt::N,vold,ви
532,Kampf::N,kamp,кредӓлмӓш
533,Bogen[Waffe]::N,bue,янгеж
534,Pfeil::N,pil,пикш
535,Gewehr::N,gevær,пичӓл
536,Fehler::N,feil,самынь
537,Lüge::N,løgn,шая
538,Schaden::N,skade,вре́дӓ
539,Unglück::N,uhell,пёда
540,Unglück::N,uhell,тымаша
541,Schuld::N,skyld,вуйнамат
542,Alter::N,alder,иӓш
543,Alter::N,alder,игечӹ
544,Schluss::N,slutt,пӹтӓртӹш
545,Zeit::N,tid,веремӓ
546,Tag::N,dag,кечӹ
547,Morgen::N,morgen,ир
548,Morgen::N,morgen,ирок
549,Mittag::N,middag,кечӹвӓл
550,Abend::N,aften,вады
551,Nacht::N,natt,йыд
552,Woche::N,uke,ӓрня
553,Monat::N,måned,тӹ́лзӹ
554,Jahr::N,år,год
555,Frühling::N,vår,шошым
556,Sommer::N,sommer,кӓнгӹж
557,Herbst::N,høst,шӹжӹ
558,Winter::N,vinter,тел
559,Winter::N,vinter,телӹ
560,Januar::N,januar,январ
561,Januar::N,januar,январь
562,Februar::N,februar,февраль
563,März::N,mars,март
564,April::N,april,апрель
565,Mai::N,mai,май
566,Juni::N,juni,июнь
567,Juli::N,juli,июль
568,August::N,august,август
569,September::N,september,сентябрь
570,Oktober::N,oktober,октябрь
571,November::N,november,ноябрь
572,Dezember::N,desember,декавыр
573,Montag::N,mandag,шачмы
574,Dienstag::N,tirsdag,кышкыжмы
575,Mittwoch::N,onsdag,вӹрчегӹ
576,Donnerstag::N,torsdag,изӓрня
577,Freitag::N,fredag,когарня
578,Samstag::N,lørdag,кукшыгечӹ
579,Sonntag::N,søndag,рушӓрня
580,groß::A,stor,кого
581,klein::A,liten,изи
582,lang::A,lang,кужы
583,kurz::A,kort,кӹтӹк
584,breit::A,bred,кымда
585,schmal::A,smal,ӓнгӹсӹр
586,dicht::A,tett,шӹре
587,dick[Gegenstand]::A,tykk,кӹжгӹ
588,dünn::A,tynn,вӹцкӹж
589,fein::A,fin,пыльга
590,fest::A,fast,цаткыды
591,flach::A,flat,тӓлякӓ
592,glatt::A,glatt,ягылгы
593,hart::A,hard,пингӹдӹ
594,weich::A,myk,пышкыды
595,weich::A,bløt,пышкыды
596,rund::A,rund,тӹртӹш
597,spitz::A,spiss,кашар
598,scharf::A,kvass,кашар
599,stumpf::A,stubb,нӹшкӹ
600,schwer::A,tung,нелӹ
601,schön::A,pen,цевер
602,schön::A,pen,олмыдшы
603,schön::A,vakker,цевер
604,schön::A,vakker,олмыдшы
605,heiß::A,het,шокшы
606,warm::A,varm,шокшы
607,kalt::A,kald,ӱштӹ
608,kühl::A,kjølig,юалгы
609,kühl::A,kjølig,йонгата
610,frisch::A,fersk,йонгата
611,feucht::A,fuktig,ӹлӹкшӹ
612,feucht::A,fuktig,вӹдӹжгӹ
613,nass::A,våt,начкы
614,trocken::A,tørr,кукшы
615,voll::A,full,темшӹ
616,voll::A,full,темыман
617,leer::A,tom,йӓрӓ
618,offen::A,åpen,виш
619,geschlossen::A,lukket,чӱчмӹ
620,geschlossen::A,lukket,тӹкӹлӓлтшӹ
621,sauber::A,ren,ире
622,schmutzig::A,skitten,шоран
623,schmutzig::A,skitten,лявӹрӓн
624,schmutzig::A,skitten,шорангшы
625,roh::A,rå,пеле кӱшӹ
626,reif::A,moden,кӱшӹ
627,lecker::A,lekker,тотан
628,süß::A,søt,мӱӓн
629,bitter::A,besk,качы
630,bitter::A,bitter,качы
631,sauer::A,sur,шапы
632,hell::A,lys,соты
633,hell::A,lys,валгыды
634,dunkel::A,mørk,пӹц
635,dunkel::A,mørk,пӹцкемӹш
636,schwarz::A,svart,шим
637,weiß::A,hvit,ош
638,weiß::A,hvit,ошы
639,rot::A,rød,якшаргы
640,gelb::A,gul,сар
641,gelb::A,gul,сары
642,blau::A,blå,симсӹ
643,grün::A,grønn,ыжар
644,grau::A,grå,луды
645,bunt::A,broket,ала
646,billig::A,billig,шулдаш
647,teuer::A,dyr,шергӹ
648,teuer::A,dyr,шергӓкӓн
649,wertvoll::A,verdifull,ӓкӓн
650,blind::A,blind,слöпöй
651,blind::A,blind,сльöпöй
652,taub::A,døv,тӱтӱк
653,kräftig::A,kraftig,виӓн
654,stark::A,sterk,виӓн
655,schwach::A,svak,шава
656,schwach::A,svak,лӹпкӓ
657,schwach::A,svak,слабка
658,fett::A,fet,таза
659,schlank::A,slank,яштака
660,hübsch::A,pen,сӹлнӹ
661,hübsch::A,pen,олмыдшы
662,böse::A,slem,шӹдӓн
663,dumm::A,dum,окмак
664,faul::A,lat,ялахай
665,faul::A,doven,ялахай
666,fleißig::A,flittig,пӓшам яратышы
667,geizig::A,gjerrig,шык
668,klug::A,klok,ышан
669,geschickt::A,hendig,мастар
670,geschickt::A,skikket,мастар
671,lieb::A,kjær,тыри
672,lieb::A,snill,тыри
673,lustig::A,morsom,мындыр
674,lustig::A,morsom,сусу
675,sanft::A,blid,йӹвӹжӓ
676,hungrig::A,sulten,шужышы
677,krank::A,syk,церлӹ
678,krank::A,syk,хворой
679,nackt::A,naken,цӓрӓ
680,traurig::A,sørgmodig,сы́лыкан
681,traurig::A,sørgmodig,кымы́лдымы
682,lebendig::A,levende,живой
683,gut::A,god,яжо
684,schlecht::A,dårlig,уда
685,schlecht::A,dårlig,худа
686,richtig::A,riktig,вургамла
687,schlimm::A,slem,йӹрнык
688,wahr::A,sann,настоящий
689,wahr::A,sann,настояшый
690,alt::A,gammel,шонгы
691,neu::A,ny,у
692,ehemalig::A,forhenværende,тошты
693,alt[Lebewesen]::A,gammel,ӹлалшӹ
694,jung::A,ung,нöргӹ
695,jung::A,ung,молода
696,arm::A,fattig,укеӓн
697,reich::A,rik,паян
698,reich::A,rik,пурлыкан
699,bekannt::A,kjent,палӹмӹ
700,berühmt::A,berømt,лӹмлы
701,fremd::A,fremmed,эдемӹн
702,verschieden::A,forskjellig,тӹрлӹ
703,nah::A,nær,лишӹл
704,fern::A,fjern,мӹндӹр
705,linker::A,venstre,шалахай
706,rechter::A,høyre,вургамла
707,anderer::A,annen,вес
708,anderer::A,annen,весӹ
709,erster::A,første,икшӹ
710,erster::A,første,икӹмшӹ
711,zweiter::A,annen,кокшы
712,dritter::A,tredje,кымшы
713,letzter::A,sist,остатка
714,allein::ADV,alene,иктӹ
715,allein::ADV,alene,иктӹт
716,auf einmal::ADV,med ett,тöрöк
717,zusammen::ADV,sammen,икараш
718,zusammen::ADV,sammen,цымырын
719,lange::ADV,lenge,кужын
720,plötzlich::ADV,plutselig,трӱк
721,sofort::ADV,straks,полт
722,sofort::ADV,straks,тöрöк
723,sofort::ADV,straks,тӹшӓкок
724,später::ADV,senere,вара
725,jetzt::ADV,nå,
726,heute::ADV,i dag,тагачы
727,morgen::ADV,i morgen,иргод
728,morgen::ADV,i morgen,иргодым
729,bald::ADV,snart,чӹнь
730,bald::ADV,snart,вӓшке
731,bald::ADV,snart,выртышты
732,dann::ADV,så,пакыла
733,gestern::ADV,i går,тенгечӹ
734,einst::ADV,engang,икӓнӓ
735,damals::ADV,den gang,тӹнӓм
736,danach::ADV,deretter,пакыла
737,vorher::ADV,før,перви
738,vorher::ADV,i forveien,перви
739,zuerst::ADV,først,андак
740,einmal::ADV,en gang,гӓнӓк
741,einmal::ADV,en gang,гӓнӓ
742,manchmal::ADV,somme tider,кынамжы
743,oft::ADV,ofte,чӹчкӹдӹн
744,immer::ADV,alltid,со
745,immer::ADV,alltid,соок
746,niemals::ADV,aldri,нинам
747,niemals::ADV,aldri,нигынам
748,niemals::ADV,aldri,нигынамат
749,hier::ADV,her,тиштӹ
750,hierhin::ADV,hit,тишкӹ
751,von hier::ADV,herfra,тишец
752,von hier::ADV,herfra,тишецӹн
753,dort::ADV,der,тӹштӹ
754,dorthin::ADV,dit,тӹшкӹ
755,dorthin::ADV,dit,тӹшкӹлӓ
756,geradeaus::ADV,rett fram,вик
757,geradeaus::ADV,rett fram,тура
758,vorwärts::ADV,fram,анзыкы
759,vorwärts::ADV,framover,анзыкы
760,rückwärts::ADV,baklengs,мӹнгеш
761,zurück::ADV,tilbake,мӹнгеш
762,unten::ADV,nede,ӱлнӹ
763,unten::ADV,nede,лӹвӓлнӹ
764,hinab::ADV,ned,ӱлӹкӹ
765,hinab::ADV,ned,лӹвӓкӹ
766,hinab::ADV,nedover,ӱлӹкӹ
767,hinab::ADV,nedover,лӹвӓкӹ
768,oben::ADV,oppe,вӹлнӹ
769,oben::ADV,ovenpå,вӹлнӹ
770,hinauf::ADV,opp,кӱшкӹлӓ
771,hinauf::ADV,opp,кӱш
772,hinauf::ADV,oppover,кӱшкӹлӓ
773,hinauf::ADV,oppover,кӱш
774,überall::ADV,overalt,йӹлт
775,überall::ADV,overalt,цилӓ вӓре
