,Concept_ID,mdf,cy
375,Last::N,канкс,llwyth
376,Last::N,сталма,llwyth
377,Gang::N,молема,tro
378,Schritt::N,аськолкс,cam
379,Norden::N,якшама шире,gogledd
380,Süden::N,ля́мбе ши́ре,de
381,Westen::N,ши валгома шире,gorllewin
382,Osten::N,шинь стяма шире,dwyrain
383,Holz::N,вирь,pren
384,Holz::N,шуфта,pren
385,Brett::N,лавця,bwrdd
386,Brett::N,лавця,astell
387,Platte::N,плита́,llech
388,Stütze::N,неже,ateg
389,Stütze::N,неже,cynhalydd
390,Stange::N,олга,polyn
391,Stock::N,байдек,ffon
392,Stock::N,байдек,brigyn
393,Stab::N,олгоня,ffon
394,Rohr::N,турама,pibell
395,Haus::N,куд,tŷ
396,Heim::N,куд,cartref
397,Ofen::N,пянакуд,stof
398,Fußboden::N,кия́кс,llawr
399,Tisch::N,шра,bwrdd
400,Tisch::N,моркш,bwrdd
401,Stuhl::N,стул,cadair
402,Wiege::N,нюря́м,crud
403,Bett::N,ацам,gwely
404,Regal::N,лавцяланга,silff
405,Kiste::N,парга,bocs
406,Kiste::N,парга,blwch
407,Fenster::N,валмья,ffenestr
408,Tür::N,кенкш,drws
409,Tor::N,ортат,porth
410,Zaun::N,перяфкс,ffens
411,Dach::N,кудпря,to
412,Leiter::N,куцема,ysgol
413,Besen::N,тяльме,ysgub
414,Spaten::N,ка́йме,rhaw
415,Schaufel::N,ко́поня,rhaw
416,Schaufel::N,ця́рдом,rhaw
417,Gabel::N,ця́нгоня,fforc
418,Löffel::N,куцю,llwy
419,Messer::N,пеель,cyllell
420,Nagel::N,эска,hoel
421,Haken::N,кя́чказ,bach
422,Griff::N,недь,carn
423,Griff::N,кунда́мка,carn
424,Schloss::N,замо́к,clo
425,Bild::N,карти́на,llun
426,Bild::N,карти́на,pictiwr
427,Figur::N,ронга-понда,ffigur
428,Puppe::N,ня́ка,dol
429,Beutel::N,кяскав,cwd
430,Bündel::N,кярьме,bwndel
431,Bündel::N,кярьме,coflaid
432,Tasche::N,кошяльня,cod
433,Eimer::N,ве́дарка,bwced
434,Eimer::N,ве́дарка,cunnog
435,Deckel::N,тавадкс,caead
436,Deckel::N,вельхкс,caead
437,Geschirr::N,кядьге,llestri
438,Sack::N,кяскав,sach
439,Tasse::N,ша́ваня,cwpan
440,Topf::N,кавозь,pot
441,Topf::N,кавозь,crochan
442,Kessel::N,сргавозь,tegell
443,Essen::N,ярхцама,pryd o fwyd
444,Nahrung::N,ярхцампяль,bwyd
445,Speise::N,ярхцама,saig
446,Fleisch::N,пал,cig
447,Fleisch::N,сиволь,cig
448,Getreide::N,сёра,ŷd
449,Getreide::N,сёра,llafur
450,Brei::N,ям,uwd
451,Brot::N,кши,bara
452,Scheibe::N,кочам,tafell
453,Fett::N,куя́,saim
454,Fett::N,куя́,braster
455,Butter::N,вай,ymenyn
456,Öl::N,вай,olew
457,Salz::N,сал,halen
458,Suppe::N,шонгарям,cawl
459,Suppe::N,коршампяль,cawl
460,Honig::N,медь,mêl
461,Milch::N,лофца,llaeth
462,Milch::N,лофца,llefrith
463,Tee::N,чай,te
464,Leder::N,кедь,lledr
465,Wolle::N,пона,gwlân
466,Stoff::N,котф,lliain
467,Stoff::N,котф,brethyn
468,Nadel::N,салмокс,nodwydd
469,Faden::N,сюре,edau
470,Faden::N,сюре,edefyn
471,Knopf::N,пуня,botwm
472,Knoten::N,сюлма,cwlwm
473,Farbe::N,архтомбяль,paent
474,Kleidung::N,щам,dillad
475,Kleidung::N,щам,gwisgoedd
476,Hemd::N,па́нар,crys
477,Kragen::N,сиве,coler
478,Ärmel::N,ожа,llawes
479,Hose::N,понкст,trowsus
480,Gürtel::N,каркс,gwregys
481,Mütze::N,вазь,cap
482,Schuh::N,башма́к,esgid
483,Stiefel::N,кя́ме,botasen
484,Ring::N,суркс,modrwy
485,Band::N,керькс,rhuban
486,Band::N,лента,rhuban
487,Kamm::N,сюрьхцем,crib
