,Concept_ID,ta,cv
71,Rauch::N,புகை,тӗтӗм
72,Funke::N,தீப்பொறி,хӗм
73,Feuer::N,தீ,вут
74,Feuer::N,தீ,ҫулӑм
75,Licht::N,வெளிச்சம்,ҫутӑ
76,Schatten::N,நிழல்,сулхӑн
77,Wetter::N,வானிலை,ҫанталӑк
78,Nebel::N,பனிமூட்டம்,тӗтре
79,Wolke::N,மேகம்,пӗлӗт
80,Regen::N,மழை,ҫумӑр
81,Schnee::N,உறைபனி,юр
82,Eis::N,பனிக்கட்டி,пӑр
83,Frost::N,உறைபனி,сивӗ
84,Kälte::N,குளிர்ந்த,сивӗ
85,Hitze::N,சூடு,вӗри
86,Hitze::N,சூடு,шӑрӑх
87,Raureif::N,உறைபனி வெண்திரை,пас
88,Regenbogen::N,வானவில்,асамат кӗперӗ
89,Donner::N,இடி,аслати
90,Strömung::N,நீரோட்டம்,юхӑ
91,Tropfen::N,துளி,тумлам
92,Schaum::N,நுரை,кӑпӑк
93,Schmutz::N,அழுக்கு,пылчӑк
94,See::N,ஏரி,кӳлӗ
95,Sumpf::N,சதுப்பு நிலம்,шур
96,Sumpf::N,சதுப்பு நிலம்,шурлӑх
97,Moor::N,முட்புதற்காடு,торфлӑ шурлӑх
98,Wiese::N,பசும் புல்தரை,улӑх
99,Wiese::N,பசும் புல்தரை,ҫаран
100,Wald::N,காடு,вӑрман
101,Hügel::N,குன்று,сӑрт
102,Hügel::N,குன்று,тӗмеске
103,Anhöhe::N,பதுக்கை,сӑрт
104,Berg::N,மலை,ту
105,Gipfel::N,உச்சி மாநாடு,тӳпе
106,Höhle::N,குகை,ҫӗр хӑвӑлӗ
107,Abhang::N,சரிவு,тӑвайкки
108,Quelle::N,மூலம்,ҫӑл куҫ
109,Bach::N,ஓடை,пӗчӗк шыв
110,Fluss::N,ஆறு,юхан шыв
111,Ufer::N,நீர்க்கரை,ҫыран
112,Küste::N,கடற்கரை,тинӗс ҫыранӗ
113,Festland::N,நிலம்,тип ҫӗр
114,Meer::N,கடல்,тинӗс
115,Bucht::N,சிறுகுடா,тинӗс кукӑрӗ
116,Insel::N,தீவு,утрав
117,Blume::N,பூ,чечек
118,Gras::N,புல்தரை,курӑк
119,Wurzel::N,வேர்,тымар
120,Baum::N,மரம்,йывӑҫ
121,Stamm::N,அடிமரம்,вулӑ
122,Rinde::N,பட்டை,хуйӑр
123,Rinde::N,மரப்பட்டை,хуйӑр
124,Ast::N,கினை,турат
125,Zweig::N,குச்சி,турат
126,Blatt::N,இலை,ҫулҫӑ
127,Birke::N,பிர்ச் மரம்,хурӑн
128,Kiefer[Baum]::N,தேவதாரு மரம்,хыр
129,Weide[Baum]::N,மர வகைகளுள் ஒன்று,хӑва
130,Tanne::N,சாதிக்கய்,чӑрӑш
131,Horn::N,கொம்பு,мӑйрака
132,Feder::N,இறகு,тӗк
133,Fell::N,மென்முடி,ҫӑм
134,Flügel::N,இறக்கை,ҫунат
135,Klaue::N,நகம்,чӗрне
136,Kralle::N,நகம்,ура
137,Schwanz::N,வால்,хӳре
138,Ei::N,முட்டை,ҫӑмарта
139,Nest::N,கூடு,йӑва
140,Bau::N,குகை,йӗнӗ
141,Tier::N,விலங்கு,выльӑх
142,Herde::N,கூட்டம்,кӗтӳ
143,Kuh::N,பசு,ӗне
144,Bulle::N,காளை,вӑкӑр
145,Pferd::N,குதிரை,лаша
146,Schaf::N,செம்மறிஆடு,сурӑх
147,Schwein::N,பன்றி,сысна
148,Hund::N,நாய்,йытӑ
149,Katze::N,பூனை,кушак
150,Bär::N,கரடி,упа
151,Eichhörnchen::N,அணில்,пакша
152,Elch::N,கடம்பை,пӑши
153,Fuchs::N,நரி,тилӗ
154,Hase::N,முயல்,куян
155,Hase::N,முயல்,мулкач
156,Maus::N,எலி,шӑши
157,Wolf::N,ஓநாய்,кашкӑр
158,Vogel::N,பறவை,кайӑк
159,Vogel::N,பறவை,вӗҫен кайӑк
160,Schwarm::N,தொகுதி,ушкӑн
161,Huhn::N,கோழிக்குஞசு,чӑх
162,Huhn::N,கோழிக்குஞசு,чӑхӑ
163,Hahn::N,சேவல்,автан
164,Gans::N,பெண் வாத்து,хур
165,Adler::N,பருநது,ӑмӑрт кайӑк
166,Ente::N,வாத்து,кӑвакал
167,Eule::N,ஆந்தை,тӑмана
168,Kranich::N,நாரை,тӑрна
169,Krähe::N,காகம்,ула курак
170,Kuckuck::N,குயில்,куккук
171,Schwan::N,அன்னம்,акӑш
172,Fisch::N,மீன்,пулӑ
173,Barsch::N,பேர்ச்,уланкӑ
174,Hecht::N,கோலாச்சி மீன்,ҫӑрттан
175,Schlange[Tier]::N,பாம்பு,ҫӗлен
176,Wurm::N,புழு,ӑман
177,Spinne::N,சிலந்தி,эрешмен
178,Ameise::N,எறும்பு,кӑткӑ
179,Laus::N,பேன்,пыйтӑ
180,Mücke::N,கொசுவினப்பூச்சி,вӑрӑм туна
181,Fliege::N,ஈ,шӑна
182,Schmetterling::N,வண்ணத்துப்பூச்சி,лӗпӗш
183,Beere::N,சதைப்பழம்,ҫырла
184,Apfel::N,ஆப்பிள பழம்,улма
185,Apfel::N,ஆப்பிள பழம்,пан улми
186,Pilz::N,காளான்,кӑмпа
187,Zwiebel::N,வெங்காயம்,сухан
188,Saat::N,விதை,вӑрӑ
189,Korn::N,தானியம்,тӗшӗ
190,Korn::N,தானியம்,пӗрчӗ
191,Heu::N,வைக்கோல்,утӑ
192,Schale::N,தோல்,хупӑ
193,Grube::N,குழி,шӑтӑк
194,Falle::N,பொறி,тапӑ
195,Falle::N,பொறி,капкӑн
196,Schlinge::N,கண்ணி,йӑлӑ
197,Spur::N,சுவடு,йӗр
198,Asche::N,சாம்பல்,кӗл
199,Dreck::N,அழுக்கு,пылчӑк
200,Eisen::N,இரும்பு,тимӗр
201,Gold::N,தங்கம்,ылтӑн
202,Silber::N,வெள்ளி,кӗмӗл
203,Kohle::N,நிலக்கரி,кӑмрӑк
204,Glas::N,கண்ணாடி,кӗленче
205,Lehm::N,களிமண்,тӑм
206,Sand::N,மணல்,хӑйӑр
207,Mensch::N,மனிதர்கள்,ҫын
208,Mensch::N,மனிதர்கள்,этем
209,Mann::N,மனிதன்,ар
210,Frau::N,பெண்,хӗрарӑм
211,Kind::N,குழந்தை,ача
212,Junge::N,பையன்,ача
213,Junge::N,பையன்,ар ҫын ача
214,Mädchen::N,சிறுமி,хӗр ача
215,Familie::N,குடும்பம்,ҫемье
216,Familie::N,குடும்பம்,кил-йыш
217,Großvater::N,தாத்தா,кукаҫи
218,Großmutter::N,பாட்டி,кукамай
219,Eltern::N,பெற்றோர்,аҫа-ама
220,Vater::N,தந்தை,атте
221,Mutter::N,தாய்,анне
222,Sohn::N,மகன்,ывӑл
223,Tochter::N,மகள்,хӗр
224,Bruder::N,சகோதரன்,ар тӑван
225,Schwester::N,அக்கா,аппа
226,Schwester::N,அக்கா,йӑмӑк
227,Onkel::N,தாய் மாமன்,мучи
228,Onkel::N,தாய் மாமன்,пичче
229,Tante::N,அத்தை,аппа
230,Ehemann::N,கணவன்,упӑшка
231,Ehefrau::N,மனைவி,арӑм
232,Freude::N,கொண்டாட்டம்,савӑнӑҫ
233,Freude::N,கொண்டாட்டம்,хаваслӑх
234,Gelächter::N,சிரிப்பு,кулӑ
235,Glück::N,மகிழ்ச்சி,телей
236,Glück::N,மகிழ்ச்சி,ӑраскал
237,Kummer::N,துயரம்,хурлӑх
238,Wunsch::N,விருப்பம்,ӗмӗт
239,Wunsch::N,விருப்பம்,кӑмӑл
240,Lust::N,விருப்பம்,кӑмӑл
241,Geist::N,ஆன்மா,чун-чӗм
242,Geist::N,ஆன்மா,ыр-усал
243,Geist::N,ஆன்மா,чун хавалӗ
244,Gedanke::N,எண்ணம்,шухӑш
245,Gedächtnis::N,ஞாபகம்,ас
246,Verstand::N,மனம்,ӑс
247,Verstand::N,மனம்,ӑс-тӑн
248,Verstand::N,மனம்,ӑс-хакӑл
249,Sinn::N,அர்த்தம்,тупсӑм
250,Sinn::N,அர்த்தம்,пӗлтерӗш
251,Grund::N,காரணம்,сӑлтав
252,Wahrheit::N,உண்நை,чӑнлӑх
253,Gespräch::N,பெசு,калаҫу
254,Märchen::N,நம்பத்தகாத கதை,юмах
255,Erzählung::N,கதை,акалав
256,Erzählung::N,கதை,каласа пани
257,Nachricht::N,செய்தி,хыпар
258,Neuigkeit::N,செய்தி,ҫӗнӗ хыпар
259,Name::N,பெயர்,ят
260,Rätsel::N,புதிர்,сутмалли юмах
261,Rede::N,பேச்சு,сӑмах
262,Sprache::N,மொழி,чӗлхе
263,Stimme::N,குரல்,сасӑ
264,Wort::N,வார்த்தை,сӑмах
265,Zeichen::N,குறி,паллӑ
266,Ruf::N,அழைப்பு,йыхрав
267,Ruf::N,அழைப்பு,чӗнӳ
268,Lärm::N,சத்தம்,шав
269,Laut::N,ஒலி,сасӑ
270,Ton::N,குரல்,сасӑ
271,Lied::N,பாட்டு,юрӑ
272,Ruhe::N,அமைதி,канӑҫлӑх
273,Ruhe::N,அமைதி,лӑпкӑлӑх
274,Leute::N,மக்கள்,ҫамрӑксем
275,Leute::N,மக்கள்,ҫамрӑк ҫынсем
276,Volk::N,மக்கள்,халӑх
277,Arbeit::N,வேலை,ӗҫхӗл
278,Arbeit::N,வேலை,ӗҫлев
279,Gast::N,விருந்தாளி,хӑна
280,Geschenk::N,பரிசுப் பொருள்,парне
281,Geschenk::N,பரிசுப் பொருள்,кучченеҫ
282,Spiel::N,விளையாட்டு,вӑйӑ
283,Gesellschaft::N,சமுதாயம்,общество
284,Hilfe::N,உதவி,пулӑшу
285,Freund::N,நண்பன்,тус
286,Kamerad::N,உடனிருப்பவன்,юлташ
287,Kamerad::N,உடனிருப்பவன்,тус
288,Angelegenheit::N,செய்தி,ӗҫ
289,Anzahl::N,எண்ணிக்கை,йыш
290,Anzahl::N,எண்ணிக்கை,хисеп
291,Art::N,வகை,тӗс
292,Stück::N,துண்டம்,татӑк
293,Teil::N,பகுதி,пай
294,Hälfte::N,பாதி,ҫурӑ
295,Kreis::N,வட்டம்,ункӑ
296,Kreis::N,வட்டம்,ҫавракӑш
297,Kreuz::N,சிலுவை,хӗрес
298,Linie::N,கோடு,йӗр
299,Strich::N,வாத நோய்,йӗр
300,Abstand::N,இடைவெளி,хушӑ
301,Entfernung::N,தூரம்,хушӑ
302,Gegend::N,வட்டாரம்,вырӑн
303,Platz::N,வெற்றிடம்,хутлӑх
304,Ort::N,இடம்,вырӑн
305,Seite::N,பக்கம்,ен
306,Seite::N,பக்கம்,аяк
307,Seite::N,பக்கம்,айӑк
308,Mitte::N,இடைப்பகுதி,варӑ
309,Gegenstand::N,உருப்படி,япала
310,Sache::N,பொருள்,япала
311,Rand::N,தொங்கு,вӗҫ
312,Rand::N,தொங்கு,хӗрӗ
313,Rand::N,தொங்கு,хӗрри
314,Kante::N,விளிம்பு,хайкача
315,Kante::N,விளிம்பு,хысак
316,Ecke::N,மூலை,кӗтес
317,Spitze::N,முனை,вӗҫ
318,Ende::N,முடிவு,вӗҫ
319,Loch::N,துளை,шӑтӑк
320,Winkel::N,கோணம்,кӗтес
321,Muster::N,பாங்கு,эреш
322,Größe::N,அளவு,пысӑкӑш
323,Länge::N,நீளம்,вӑрӑмӑш
324,Höhe::N,உயரம்,ҫӳллӗш
325,Gewicht::N,எடை,виҫе
326,Gewicht::N,எடை,йывӑрӑш
327,Menge::N,தொகை,йыш
328,Haufen::N,குவியல்,купа
329,Reihe::N,வரிசை,рет
330,Boot::N,படகு,кимӗ
331,Ruder::N,துடுப்பு,кӗсмен
332,Schlitten::N,சகடையிலா வண்டி,ҫуна
333,Ski::N,பனிச் சறுக்கல்,йӗлтӗр
334,Lagerfeuer::N,மூட்டம்,вут
335,Lagerfeuer::N,மூட்டம்,кӑвайт
336,Last::N,பாரம்,сулмаклӑх
337,Last::N,பாரம்,йывӑр япала
338,Gang::N,நடை,куҫӑм
339,Schritt::N,காலடி,утӑм
340,Schritt::N,காலடி,пусӑм
341,Norden::N,வடக்கு,ҫурҫӗр
342,Süden::N,தெற்கு,кӑнтӑр
343,Westen::N,மேற்கு திசை,анӑҫ
344,Westen::N,மேற்கு திசை,хӗвел анӑҫ
345,Osten::N,கிழக்கு,хӗвел тухӑҫ
346,Holz::N,மரக்கட்டை,йывӑҫ
347,Brett::N,பலகை,хӑма
348,Platte::N,பலகம்,плита
349,Stütze::N,அடைப்புகன்,ура
350,Stange::N,கம்பம்,шерте
351,Stock::N,குச்சி,патак
352,Stab::N,கம்பு,шӑчӑ
353,Rohr::N,குழாய்,пӑрӑх
354,Haus::N,வீடு,ҫурт
355,Heim::N,வீடு,кил
356,Ofen::N,அடுப்பு,кӑмака
357,Fußboden::N,தரை,урай
358,Tisch::N,மேசை,сӗтел
359,Stuhl::N,நாற்காலி,пукан
360,Wiege::N,தொட்டில்,сӑпка
361,Bett::N,படுக்கை,кравать
362,Regal::N,அலமாரி,ҫӳлӗк
363,Regal::N,அலமாரி,сентре
364,Kiste::N,பெட்டி,ещӗк
365,Kiste::N,பெட்டி,сунтӑх
366,Fenster::N,சாளரம்,чӳрече
367,Tür::N,கதவு,алӑк
368,Tor::N,வாசற்கதவு,хапха
369,Zaun::N,வேலி,хӳме
370,Dach::N,கூரை,тӑрӑ
371,Leiter::N,ஏணி,пусма
372,Besen::N,விளக்குமாறு,шӑпӑр
373,Spaten::N,மண்வெட்டி,кӗреҫе
374,Schaufel::N,அடிதண்டா,кӗреҫе
375,Gabel::N,முட்கரண்டி,вилка
376,Löffel::N,கரண்டி,кашӑк
377,Messer::N,கத்தி,ҫӗҫӗ
378,Nagel::N,ஆணி,пӑта
379,Netz::N,வலை,тетел
380,Haken::N,கொக்கி,йӑрхах
381,Haken::N,கொக்கி,ҫекӗл
382,Griff::N,கைப்பிடி,хӑлӑп
383,Schloss::N,பூட்டு,ҫӑра
384,Bild::N,படம்,сӑн
385,Bild::N,படம்,сӑнлӑх
386,Bild::N,படம்,картина
387,Figur::N,எண்ணிக்கை,кӗлетке
388,Puppe::N,பொம்மை,пукане
389,Beutel::N,பை,михӗ
390,Bündel::N,பொதி,ҫыхӑ
391,Bündel::N,பொதி,тӗрке
392,Tasche::N,பை,сумка
393,Eimer::N,வாளி,витре
394,Deckel::N,உறை,хупӑ
395,Geschirr::N,பாத்திரம்,савӑт-сапа
396,Sack::N,பை,михӗ
397,Tasse::N,கிண்ணம்,курка
398,Topf::N,பானை,кастрюль
399,Kessel::N,கெண்டி,хуран
400,Essen::N,உணவருந்துதல்,апат
401,Nahrung::N,உணவு,апат-ҫимӗс
402,Speise::N,உணவு வகை,апат
403,Speise::N,உணவு வகை,ҫимӗҫ
404,Fleisch::N,இறைச்சி,аш
405,Fleisch::N,இறைச்சி,какай
406,Getreide::N,மக்காச்சோளம்,тырӑ
407,Brei::N,கஞ்சி,пӑтӑ
408,Brot::N,ரொட்டி,ҫӑкӑр
409,Scheibe::N,துண்டு,чӗлӗ
410,Scheibe::N,துண்டு,касӑк
411,Fett::N,கொழுப்பு,ҫу
412,Butter::N,வெண்ணெய்,ҫу
413,Öl::N,எண்ணெய்,ҫу
414,Salz::N,உப்பு,тӑвар
415,Suppe::N,ரசம்,яшка
416,Honig::N,தேன்,пыл
417,Milch::N,பால்,сӗт
418,Tee::N,தெனீர்,чей
419,Leder::N,பதம் செய்யப்பட்ட தோல்,сӑран
420,Wolle::N,கம்பளி,ҫӑм
421,Stoff::N,துணி,тӗртӗм
422,Nadel::N,ஊசி,йӗп
423,Faden::N,நூல்,ҫип
424,Knopf::N,பொத்தான்,тӳме
425,Knoten::N,முடிச்சு,йӑлӑ
426,Farbe::N,வண்ணக் குழம்பு,сӑрӑ
427,Kleidung::N,ஆடைகள்,тум
428,Kleidung::N,ஆடைகள்,ҫипуҫ
429,Kleidung::N,ஆடைகள்,тум-тир
430,Hemd::N,சட்டை,кӗпе
431,Kragen::N,கழுத்துப் பட்டை,ҫуха
432,Ärmel::N,சட்டைக்கை,ҫанӑ
433,Hose::N,கால்சட்டை,шӑлавар
434,Gürtel::N,பெல்ட்,пиҫиххи
435,Mütze::N,தொப்பி,ҫӗлӗк
436,Schuh::N,காலணி,пушмак
437,Schuh::N,காலணி,ботинок
438,Stiefel::N,காலணி,атӑ
439,Ring::N,மோதிரம்,ҫӗрӗ
440,Band::N,நாடா,хаю
441,Band::N,நாடா,йӗсме
442,Kamm::N,கீப்பு,тура
443,Spiegel::N,ஆடி,тӗкӗр
444,Spiegel::N,ஆடி,куҫ кӗски
445,Spiegel::N,கண்ணாடி,тӗкӗр
446,Spiegel::N,கண்ணாடி,куҫ кӗски
447,Riemen::N,வார்,чӗн
448,Schnur::N,கயிறு,кантра
449,Leine::N,தோல்வார்,касмӑк
450,Decke::N,போர்வை,утиял
451,Kissen::N,தலையணை,ҫытар
452,Kissen::N,தலையணை,минтер
453,Tuch::N,துணி,тутӑр
454,Handtuch::N,தண்டு,ал шӑлли
455,Kraft::N,நிர்பந்தம்,вӑй
456,Kraft::N,நிர்பந்தம்,хӑват
457,Stärke::N,பலம்,хал
458,Stärke::N,பலம்,хӑват
459,Gesundheit::N,ஆரோக்கியம்,хал
460,Gesundheit::N,ஆரோக்கியம்,сывлӑх
461,Krankheit::N,நோய்,чир
462,Schmerz::N,வலி,ырату
463,Wunde::N,காயம்,суран
464,Fieber::N,காய்ச்சல்,сив чир
465,Arznei::N,மருந்து,эмел
466,Brücke::N,பாலம்,кӗпер
467,Brunnen::N,கேணி,ҫӑл
468,Brunnen::N,கேணி,пусӑ
469,Weide::N,மேய்ச்சல் நிலம்,ҫаран
470,Pfad::N,நடை வழி,йӗр
471,Pfad::N,நடை வழி,сукмак
472,Weg::N,வழி,ҫул
473,Weg::N,வழி,ҫул-йӗр
474,Straße::N,சாலை,ҫӳрев
475,Straße::N,சாலை,ҫул ҫӳрени
476,Dorf::N,கிராமம்,ял
477,Stadt::N,நகரம்,хула
478,Brief::N,கடிதம்,ҫыру
479,Buch::N,புத்தகம்,кӗнеке
480,Buchstabe::N,எழத்து,сас палли
481,Zeitung::N,செய்தித்தாள்,хаҫат
482,Leben::N,வாழ்க்கை,пурнӑҫ
483,Tod::N,மரணம்,вилӗм
484,Grab::N,சமாதி,масар шӑтӑкӗ
485,Kirche::N,தேவாலயம்,чиркӳ
486,Sünde::N,பாவம்,ҫылӑх
487,Gott::N,கடவுள்,турӑ
488,Arbeiter::N,தொழிலாளி,рабочи
489,Chef::N,மேலாளர்,пуҫлӑх
490,Meister::N,தலைவன்,ӑста
491,Meister::N,தலைவன்,мастер
492,Arzt::N,மருத்துவர்,врач
493,Arzt::N,மருத்துவர்,тухтӑр
494,Lehrer::N,ஆசிரியர்,учитель
495,Lehrer::N,ஆசிரியர்,вӗрентекен
496,Geld::N,பணம்,укҫа
497,Geschäft::N,வாணிபம்,бизнес
498,Laden::N,கடை,магазин
499,Preis::N,விலை,хак
500,Ware::N,சாமன்கள்,тавар
501,Nutzen::N,இலாபம்,пайта
502,Reichtum::N,சொத்து,мул
503,Welt::N,உலகம்,тӗнче
504,Land::N,நாடு,ҫӗр-шыв
505,Staat::N,நாடு,патшàлӑх
506,König::N,அரசன்,король
507,Macht::N,அதிகாரம்,власть
508,Grenze::N,எல்லை,чикӗ
509,Krieg::N,போர்,вӑрҫӑ
510,Feind::N,எதிரி,тӑшман
511,Gewalt::N,வன்முறை,ирӗксӗрлӳ
512,Kampf::N,போராட்டம்,кӗрешӳ
513,Bogen[Waffe]::N,வில்,ухӑ
514,Pfeil::N,அம்பு,ҫӗмрен
515,Pfeil::N,அம்பு,ухӑ йӗппи
516,Gewehr::N,துப்பாக்கி,пӑшал
517,Fehler::N,தவறு,йӑнӑш
518,Lüge::N,பொய்,суя
519,Lüge::N,பொய்,ултав
520,Schaden::N,சேதாரம்,сиен
521,Unglück::N,இடையூறு,шар
522,Unglück::N,இடையூறு,инкек
523,Schuld::N,குற்றம்,айӑп
524,Alter::N,வயது,ҫул шучӗ
525,Schluss::N,முடிவு,пӗтни
526,Schluss::N,முடிவு,пӗтмӗш
527,Zeit::N,காலம்,вӑхӑт
528,Tag::N,நாள்,кун
529,Morgen::N,காலை நேரம்,ир
530,Mittag::N,மதியம்,кӑнтӑрла
531,Abend::N,மாலைப் பொழுது,каҫ
532,Nacht::N,இரவு,каҫ
533,Woche::N,வாரம்,эрне
534,Monat::N,மாதம்,уйӑх
535,Jahr::N,வருடம்,ҫулталӑк
536,Frühling::N,வசந்தம்,ҫур
537,Frühling::N,வசந்தம்,ҫуркунне
538,Sommer::N,கோடை,ҫу
539,Sommer::N,கோடை,ҫулла
540,Herbst::N,இலையுதிர் காலம்,кӗр
541,Herbst::N,இலையுதிர் காலம்,кӗркунне
542,Winter::N,குளிர்காலம்,хӗл
543,Winter::N,குளிர்காலம்,хӗлле
544,Januar::N,ஜனவரி,январь
545,Februar::N,பிபரவரி மாதம்,февраль
546,Februar::N,பிபரவரி மாதம்,кӗҫӗн кӑрлач
547,März::N,மார்ச் மாதம்,март
548,März::N,மார்ச் மாதம்,пуш уйӑхӗ
549,April::N,ஏப்ரல் மாதம்,апрель
550,Mai::N,மே மாதம்,май
551,Juni::N,ஜூன் மாதம்,июнь
552,Juli::N,ஜூலை மாதம்,июль
553,August::N,ஆகஸ்ட் மாதம்,август
554,September::N,செப்டம்பர் மாதம்,сентябрь
555,September::N,செப்டம்பர் மாதம்,авӑн уйӑхӗ
556,Oktober::N,அக்டோபர் மாதம்,октябрь
557,November::N,நவம்பர் மாதம்,ноябрь
558,Dezember::N,டிசம்பர்,раштав
559,Dezember::N,டிசம்பர்,декабрь
560,Montag::N,திங்கட் கிழமை,тунти кун
561,Dienstag::N,செவ்வாய்க்கிழமை,ытлари кун
562,Mittwoch::N,புதன் கிழமை,юн кун
563,Donnerstag::N,வியாழக் கிழமை,кӗҫнерни кун
564,Freitag::N,வெள்ளிக்கிழமை,эрне кун
565,Samstag::N,சனிக்கிழமை,шӑмат кун
566,Sonntag::N,ஞாயிறுக் கிழமை,вырсарни кун
567,groß::A,பெரிய,пысӑк
568,klein::A,சிறிய,пӗчӗк
569,lang::A,நீண்ட,вӑрӑм
570,kurz::A,குட்டையான,кӗске
571,breit::A,அகலமான,сарлака
572,schmal::A,குறுகலான,ансӑр
573,dicht::A,அடர்த்தியான,йӑвӑ
574,dick[Gegenstand]::A,தடித்த,хулӑн
575,dünn::A,சன்னமான,ҫинҫе
576,dünn::A,சன்னமான,ҫӳхе
577,fein::A,மெல்லிய,тарай
578,fein::A,மெல்லிய,вӗлтӗрти
579,fest::A,உறுதியாள,тӗреклӗ
580,flach::A,தட்டையான,лаптак
581,glatt::A,வழுவழுப்பான,такӑр
582,hart::A,கடினமான,хытӑ
583,weich::A,மென்மையான,ҫемҫе
584,rund::A,உருண்டையான,ҫавра
585,spitz::A,திகந்தமாக,шӗвӗр
586,scharf::A,கூரான,ҫивӗч
587,stumpf::A,உளம் திறந்த,мӑка
588,stumpf::A,உளம் திறந்த,пуклак
589,stumpf::A,உளம் திறந்த,тӗрӗнчӗк
590,stumpf::A,உளம் திறந்த,ӑнкарусӑр
591,schwer::A,கனமான,йывӑр
592,schön::A,அழகான,илемлӗ
593,heiß::A,சூடான,вӗри
594,warm::A,இதமான,ӑшӑ
595,kalt::A,குளிர்ச்சியான,сивӗ
596,kühl::A,குளிர்ச்சியான,уҫӑ
597,frisch::A,சுத்தமான,уҫӑ
598,feucht::A,ஈரமான,йӗпе
599,nass::A,ஈரமான,нӳрӗ
600,trocken::A,உலர்ந்த,типӗ
601,voll::A,நிரம்பிய,тулли
602,leer::A,காலியான,пушӑ
603,offen::A,திறந்த,уҫӑ
604,geschlossen::A,மூடப்பட்ட,хупӑ
605,sauber::A,சுத்தமான,таса
606,schmutzig::A,அழக்கான,пылчӑклӑ
607,schmutzig::A,அழக்கான,вараланчӑк
608,roh::A,கச்சா,чӗрӗ
609,reif::A,பழுத்த,пулнӑ
610,reif::A,பழுத்த,пиҫӗхнӗ
611,reif::A,பழுத்த,аталаннӑ
612,reif::A,பழுத்த,пиҫсе ҫитнӗ
613,lecker::A,சுவைமிக்க,тутлӑ
614,lecker::A,சுவைமிக்க,техӗмлӗ
615,süß::A,இனிப்பான,пылак
616,bitter::A,கசப்பான,йӳҫӗ
617,sauer::A,புளிப்பாக,йӳҫӗ
618,sauer::A,புளிப்பாக,йӳҫек
619,sauer::A,புளிப்பாக,кӑвасак
620,hell::A,பளபளப்பான,ҫутӑ
621,dunkel::A,கருமையான,тӗттӗм
622,schwarz::A,கருப்பு வண்ண,хура
623,weiß::A,வெண்மையன,шурӑ
624,rot::A,சிவப்பு,хӗрлӗ
