,Concept_ID,he,kv
61,Wind::N,רוח,тӧв
62,Welle::N,גל,гы
63,Wasser::N,מים,ва
64,Stein::N,אבן,из
65,Boden::N,קרקע,му
66,Erde::N,אדמה,му
67,Staub::N,אבק,бус
68,Rauch::N,עשן,тшын
69,Funke::N,ניצוץ,бичир
70,Feuer::N,אש,би
71,Licht::N,אור,би
72,Schatten::N,צל,вуджӧр
73,Wetter::N,מזג אויר,погоддя
74,Nebel::N,ערפל,туман
75,Wolke::N,ענן,кымӧр
76,Regen::N,גשם,зэр
77,Schnee::N,שלג,лым
78,Eis::N,קרח,йы
79,Frost::N,צנה,мороз
80,Kälte::N,קר,кӧдзыт
81,Hitze::N,חם,ӧд
82,Raureif::N,כפור,кижа
83,Regenbogen::N,קשת,енӧшка
84,Donner::N,רעם,гым
85,Strömung::N,זרימה,визывтӧм
86,Tropfen::N,טפה,тёп
87,Schaum::N,קצף,быг
88,Schmutz::N,לכלוך,нять
89,See::N,אגם,ты
90,Sumpf::N,בצה,арай
91,Moor::N,בצה,нюр
92,Wiese::N,מרעה,видз
93,Wald::N,יער,вӧр
94,Hügel::N,תל,мыльк
95,Anhöhe::N,מעלה,вывтас
96,Anhöhe::N,מעלה,вылынін
97,Berg::N,הר,керӧс
98,Gipfel::N,פסגה,йыв
99,Höhle::N,מערה,нора
100,Abhang::N,מדרון,покат
101,Abhang::N,שפוע,покат
102,Quelle::N,מעין,больган
103,Bach::N,נחל,шор
104,Fluss::N,נהר,ю
105,Ufer::N,גדה,берег
106,Küste::N,חוף,берег
107,Festland::N,יבשה,му
108,Meer::N,ים,море
109,Bucht::N,מפרץ,курья
110,Insel::N,אי,
111,Blume::N,פרח,цветок
112,Gras::N,דשא,турун
113,Wurzel::N,שרש,вуж
114,Baum::N,עץ,пу
115,Stamm::N,גזע,мыр
116,Stamm::N,גזע,кер
117,Rinde::N,קלפת עץ,кач
118,Ast::N,ענף,ув
119,Zweig::N,ענף,ув
120,Blatt::N,עלה,лист
121,Birke::N,שדר,кыдз
122,Kiefer[Baum]::N,ארן,пожум
123,Weide[Baum]::N,ערבה,бадь
124,Tanne::N,אשוח,кӧз
125,Horn::N,קרן,сюр
126,Feder::N,נוצה,гӧн
127,Fell::N,פרוה,кучик
128,Flügel::N,כנף,борд
129,Klaue::N,טלף,гыж
130,Kralle::N,טפר,кабыр
131,Schwanz::N,זנב,бӧж
132,Ei::N,ביצה,кольть
133,Nest::N,קן,поз
134,Bau::N,מחלה,осьта
135,Bau::N,מחלה,нора
136,Tier::N,חיה,зверь
137,Herde::N,עדר,гурт
138,Kuh::N,פרה,мӧс
139,Bulle::N,פר,ӧшка
140,Pferd::N,סוס,вӧв
141,Schaf::N,כבשה,баля
142,Schwein::N,חזיר,порсь
143,Hund::N,כלב,пон
144,Katze::N,חתול,кань
145,Bär::N,דב,ош
146,Eichhörnchen::N,סנאי,ур
147,Elch::N,דישון,вӧр мӧс
148,Fuchs::N,שועל,руч
149,Hase::N,ארנב,кӧч
150,Maus::N,עכבר,шыр
151,Wolf::N,זאב,кӧин
152,Vogel::N,צפור,кай
153,Schwarm::N,נחיל,стая
154,Schwarm::N,נחיל,чукӧр
155,Schwarm::N,להקה,стая
156,Schwarm::N,להקה,чукӧр
157,Huhn::N,תרנגלת,курӧг
158,Hahn::N,תרנגול,петух
159,Hahn::N,תרנגול,ай курӧг
160,Gans::N,אוז,дзодзог
161,Adler::N,עיט,куч
162,Adler::N,עיט,кутш
163,Ente::N,ברוז,утка
164,Eule::N,ינשוף,тупка
165,Kranich::N,עגור,тури
166,Kranich::N,כרוכיה,тури
167,Krähe::N,עורב,рака
168,Kuckuck::N,קוקיה,кӧк
169,Schwan::N,ברבור,юсь
170,Fisch::N,דג,чери
171,Barsch::N,אוקונוס,ёкыш
172,Hecht::N,זאב הים,сирпинь
173,Schlange[Tier]::N,נחש,змей
174,Wurm::N,תולעת,номыр
175,Spinne::N,עכביש,черань
176,Ameise::N,נמלה,кӧдзывкар
177,Laus::N,כנה,ляпа той
178,Mücke::N,יתוש,ном
179,Fliege::N,זבוב,гут
180,Schmetterling::N,פרפר,бабыв
181,Beere::N,ענבה,ягӧд
182,Apfel::N,תפוח,яблоко
183,Pilz::N,פטריה,тшак
184,Zwiebel::N,בצל,грез
185,Saat::N,זרעים,кӧдзыс
186,Korn::N,גרעין,сю
187,Heu::N,חציר,турун
188,Schale::N,קלפה,кыш
189,Schale::N,קלפה,киль
190,Grube::N,בור,яма
191,Grube::N,שוחה,яма
192,Falle::N,מלכדת,нальк
193,Falle::N,מלכדת,кляпча
194,Schlinge::N,לולאה,лӧч
195,Spur::N,עקבה,туй
196,Asche::N,אפר,пӧим
197,Dreck::N,זהמה,нять
198,Eisen::N,ברזל,кӧрт
199,Gold::N,זהב,зарни
200,Silber::N,כסף,язісь
201,Kohle::N,פחם,шом
202,Kohle::N,פחם,уголь
203,Glas::N,זכוכית,стекло
204,Lehm::N,חרסית,сёй
205,Sand::N,חול,лыа
206,Mensch::N,אדם,морт
207,Mann::N,איש,мужик
208,Mann::N,גבר,мужик
209,Frau::N,אשה,инька
210,Frau::N,גברת,инька
211,Kind::N,ילד,кага
212,Junge::N,ילד,зонка
213,Mädchen::N,נערה,нывкаок
214,Familie::N,משפחה,семья
215,Großvater::N,סבא,дед
216,Großmutter::N,סבתא,баб
217,Eltern::N,הורים,ай-мам
218,Vater::N,אב,ай
219,Mutter::N,אם,мам
220,Sohn::N,בן,зон
221,Tochter::N,בת,ныв
222,Bruder::N,אח,вон
223,Schwester::N,אחות,сой
224,Onkel::N,דוד,дядь
225,Tante::N,דודה,айӧлӧн сой
226,Tante::N,דודה,ичинь
227,Ehemann::N,איש,жӧник
228,Ehemann::N,בעל,жӧник
229,Ehefrau::N,אשה,инь
230,Freude::N,שמחה,гаж
231,Freude::N,שמחה,радъялӧм
232,Gelächter::N,צחוק,сералӧм
233,Glück::N,אשר,мичлун
234,Kummer::N,יגון,шог
235,Kummer::N,עגמה,шог
236,Wunsch::N,אחול,мӧдӧм
237,Wunsch::N,אחול,охотитӧм
238,Wunsch::N,משאלה,мӧдӧм
239,Wunsch::N,משאלה,охотитӧм
240,Lust::N,חשק,охота
241,Lust::N,תשוקה,охота
242,Geist::N,רוח,лов
243,Gedanke::N,מחשבה,дума
244,Gedächtnis::N,זכרון,тӧдвыв
245,Verstand::N,שכל,вежӧр
246,Sinn::N,מובן,ылӧс
247,Sinn::N,משמעות,ылӧс
248,Grund::N,סבה,мог
249,Wahrheit::N,אמת,правда
250,Gespräch::N,דיון,сёрни
251,Märchen::N,אגדה,сказка
252,Erzählung::N,ספור,висьт
253,Nachricht::N,ידיעה,юӧр
254,Nachricht::N,ידיעה,висьталӧм
255,Neuigkeit::N,חדשה,новость
256,Name::N,שם,ним
257,Rätsel::N,תעלומה,загадка
258,Rede::N,נאום,сёрни
259,Sprache::N,לשון,кыв
260,Stimme::N,קול,голос
261,Wort::N,מלה,кыв
262,Zeichen::N,סימן,пас
263,Ruf::N,קריאה,чуксӧм
264,Ruf::N,קריאה,чукӧстӧм
265,Lärm::N,רעש,шум
266,Laut::N,הגה,шы
267,Ton::N,צליל,гор
268,Lied::N,שיר,сьыланкыв
269,Ruhe::N,שלוה,спокой
270,Leute::N,אנשים,йӧз
271,Volk::N,עם,йӧз
272,Volk::N,עם,народ
273,Arbeit::N,עבודה,удж
274,Gast::N,אורח,гӧсь
275,Geschenk::N,מתנה,гӧснеч
276,Geschenk::N,מתנה,подарок
277,Spiel::N,משחק,орсӧм
278,Gesellschaft::N,חברה,компания
279,Hilfe::N,עזרה,отсӧт
280,Freund::N,חבר,модз
281,Freund::N,חבר,дружок
282,Freund::N,ידיד,модз
283,Freund::N,ידיד,дружок
284,Kamerad::N,רע,тӧдса
285,Angelegenheit::N,ענין,дело
286,Anzahl::N,מספר,лыд
287,Art::N,סוג,пӧлӧс
288,Stück::N,חתיכה,тор
289,Teil::N,פרק,юкӧм
290,Hälfte::N,חצי,джын
291,Kreis::N,מעגל,круг
292,Kreuz::N,צלב,перна
293,Linie::N,קו,визь
294,Strich::N,קו קצר,кырӧв
295,Abstand::N,מרחק,колас
296,Entfernung::N,מרחק,ылына
297,Gegend::N,נוף,места
298,Platz::N,שטח,места
299,Ort::N,אתר,места
300,Ort::N,מקום,места
301,Seite::N,צד,ладор
302,Mitte::N,אמצע,шӧр
303,Gegenstand::N,אוביקט,тор
304,Sache::N,דבר,тор
305,Rand::N,פרור,дор
306,Kante::N,קצה,ордлы
307,Ecke::N,פנה,пельӧс
308,Spitze::N,קצה,йыв
309,Ende::N,סוף,йыв
310,Loch::N,חר,осьта
311,Winkel::N,פנה,пельӧс
312,Muster::N,תבנית,сер
313,Größe::N,גדל,ыжда
314,Länge::N,ארך,кузя
315,Höhe::N,קומה,сувда
316,Höhe::N,קומה,вылына
317,Höhe::N,גבה,сувда
318,Höhe::N,גבה,вылына
319,Gewicht::N,משקל,сьӧкта
320,Menge::N,כמות,
321,Haufen::N,ערמה,куча
322,Reihe::N,רצף,лёдз
323,Boot::N,סירה,пыж
324,Ruder::N,משוט,пелыс
325,Schlitten::N,מזחלת,додь
326,Ski::N,מגלשים,лямпа
327,Lagerfeuer::N,מדורה,бипур
328,Last::N,משא,тягота
329,Gang::N,הליכה,мунӧм
330,Schritt::N,צעד,вожмӧв
331,Norden::N,צפון,ой
332,Süden::N,דרום,лун
333,Westen::N,מערב,рытвыв
334,Osten::N,מזרח,асыв
335,Holz::N,עץ,пу
336,Brett::N,קרש,пӧв
337,Platte::N,לוח,плита
338,Stütze::N,משען,пика
339,Stange::N,מוט,зор
340,Stange::N,מוט,потш
341,Stock::N,מקל,бедь
342,Stab::N,מוט,шест
343,Rohr::N,צנור,труба
344,Haus::N,בית,керку
345,Heim::N,בית,керку
346,Ofen::N,תנור,пӧжавны
347,Fußboden::N,רצפה,джодж
348,Tisch::N,שלחן,пызан
349,Stuhl::N,כסא,стул
350,Wiege::N,ערש,зыбка
351,Bett::N,מטה,кровать
352,Regal::N,מדף,джадж
353,Kiste::N,תבה,ящик
354,Kiste::N,ארגז,ящик
355,Fenster::N,חלון,ӧшын
356,Tür::N,דלת,ыбӧс
357,Tor::N,שער,ворота
358,Zaun::N,גדר,забор
359,Dach::N,גג,крыша
360,Leiter::N,סלם,лиснич
361,Besen::N,מטאטא,рос
362,Spaten::N,את,зыр
363,Schaufel::N,את,зыр
364,Gabel::N,מזלג,вила
365,Löffel::N,כף,пань
366,Messer::N,סכין,пурт
367,Nagel::N,מסמר,кӧрттув
368,Netz::N,רשת,кыйӧт
369,Haken::N,וו,ем
370,Haken::N,קרס,ем
371,Griff::N,ידית,пу
372,Schloss::N,מנעול,замок
373,Bild::N,תמונה,картина
374,Figur::N,פסל,мыгӧр
375,Puppe::N,בבה,акань
376,Beutel::N,שק,мешӧк
377,Bündel::N,צרור,нин
378,Tasche::N,שקית,сумка
379,Eimer::N,דלי,ведра
380,Deckel::N,מכסה,вевт
381,Geschirr::N,כלים,доз
382,Geschirr::N,כלים,бекӧрпань
383,Sack::N,שק,мешӧк
384,Tasse::N,ספל,бекӧр
385,Topf::N,סיר,кастрюля
386,Kessel::N,קנקן,пӧрт
387,Essen::N,אכל,сёйӧм
388,Essen::N,ארוחה,сёйӧм
389,Nahrung::N,הזנה,вердан
390,Nahrung::N,תזונה,вердан
391,Speise::N,מאכל,сёян
392,Speise::N,ארוחה,сёян
393,Fleisch::N,בשר,яй
394,Getreide::N,דגן,сю
395,Brei::N,מחית,каша
396,Brot::N,לחם,нянь
397,Scheibe::N,עגול,шӧрӧм
398,Scheibe::N,פרוסה,шӧрӧм
399,Fett::N,שמן,гос
400,Butter::N,חמאה,ви
401,Öl::N,שמן,ви
402,Salz::N,מלח,сов
403,Suppe::N,מרק,шыд
404,Honig::N,דבש,ма
405,Milch::N,חלב,йӧв
406,Tee::N,תה,чай
407,Leder::N,עור,кучик
408,Wolle::N,צמר,гӧн
409,Stoff::N,בד,дӧра
410,Stoff::N,אריג,дӧра
411,Nadel::N,מחט,ем
412,Faden::N,חוט,сунис
413,Knopf::N,כפתור,кизь
414,Knoten::N,קשר,узӧв
415,Knoten::N,קשר,гӧрӧд
416,Farbe::N,צבע,краска
417,Kleidung::N,בגדים,паськӧм
418,Hemd::N,חלצה,йӧрнӧс
419,Kragen::N,צוארון,воротник
420,Ärmel::N,שרוול,сос
421,Hose::N,מכנסים,вешьян
422,Gürtel::N,חגורה,йи
423,Mütze::N,כובע,шапка
424,Schuh::N,נעל,ботинки
425,Stiefel::N,מגף,сапог
426,Ring::N,טבעת,чунькытш
427,Band::N,סרט,ленточка
428,Kamm::N,מסרק,сынан
429,Spiegel::N,מראה,зеркало
430,Riemen::N,רצועה,ремень
431,Schnur::N,חבל,гез
432,Leine::N,מושכות,повод
433,Decke::N,שמיכה,одеяло
434,Kissen::N,כרית,подушка
435,Tuch::N,צעיף,чышьян
436,Handtuch::N,מגבת,чышкӧт
437,Kraft::N,כוח,прак
438,Stärke::N,און,вын
439,Gesundheit::N,בריאות,здоровье
440,Krankheit::N,מחלה,шог
441,Schmerz::N,כאב,зубыт
442,Wunde::N,פציעה,рана
443,Fieber::N,חם,лёк тресся
444,Fieber::N,חם,кынтан шогӧт
445,Arznei::N,תרופה,лекарство
446,Brücke::N,גשר,пос
447,Brunnen::N,באר,колодец 
448,Weide::N,אחו,пода йирсян
449,Weide::N,מרעה,пода йирсян
450,Pfad::N,שביל,туй
451,Pfad::N,מדרכה,туй
452,Weg::N,דרך,туй
453,Straße::N,כביש,туй
454,Dorf::N,כפר,деревня
455,Stadt::N,עיר,город
456,Brief::N,מכתב,гижӧт
457,Buch::N,ספר,книга
458,Buchstabe::N,אות,буква
459,Zeitung::N,עתון,газета
460,Leben::N,חיים,олан
461,Tod::N,מות,кулӧм
462,Grab::N,קבר,гу
463,Kirche::N,כנסיה,вичку
464,Sünde::N,חטא,грек
465,Gott::N,אל,ен
466,Arbeiter::N,פועל,уджалiсь
467,Chef::N,ראש,начальник
468,Chef::N,מנהל,начальник
469,Meister::N,ממחה,мастер
470,Arzt::N,רופא,врач
471,Lehrer::N,מורה,велӧтісь
472,Geld::N,כסף,деньга
473,Geschäft::N,עסקה,удж
474,Laden::N,חנות,магазин
475,Preis::N,מחיר,дон
476,Ware::N,סחורה,товар
477,Nutzen::N,תועלת,путь
478,Reichtum::N,עשר,богатство
479,Welt::N,עולם,му
480,Land::N,ארץ,страна
481,Staat::N,מדינה,государство
482,König::N,מלך,кан
483,Macht::N,כוח,власть
484,Grenze::N,גבול,граница
485,Krieg::N,מלחמה,война
486,Feind::N,אויב,враг
487,Gewalt::N,אלימות,
488,Kampf::N,קרב,нярасьӧм
489,Kampf::N,קרב,вермасьӧм
490,Kampf::N,לחימה,нярасьӧм
491,Kampf::N,לחימה,вермасьӧм
492,Bogen[Waffe]::N,קשת,лук
493,Pfeil::N,חץ,ньӧв
494,Gewehr::N,רובה,ружьё
495,Fehler::N,טעות,ошибка
496,Lüge::N,שקר,ылӧтӧм
497,Lüge::N,שקר,пӧрьялӧм
498,Schaden::N,נזק,лёк
499,Unglück::N,מזל רע,пик
500,Unglück::N,מזל רע,оказзё
501,Schuld::N,אשמה,вина
502,Alter::N,גיל,
503,Schluss::N,סיום,ком
504,Zeit::N,זמן,кад
505,Tag::N,יום,лун
506,Morgen::N,בקר,асыв
507,Mittag::N,צהרים,луншӧр кад
508,Abend::N,ערב,рыт
509,Nacht::N,לילה,ой
510,Woche::N,שבוע,неделя
511,Monat::N,חדש,тӧлicь
512,Jahr::N,שנה,год
513,Frühling::N,אביב,тулыс
514,Sommer::N,קיץ,гожум
515,Herbst::N,סתו,ар
516,Winter::N,חרף,тӧв
517,Januar::N,ינואר,январ
518,Februar::N,פברואר,февраль
519,März::N,מרץ,март
520,April::N,אפריל,апрель
521,Mai::N,מאי,май
522,Juni::N,יוני,юнь
523,Juli::N,יולי,юль
524,August::N,אוגוסט,август
525,September::N,ספטמבר,сентяб
526,Oktober::N,אוקטובר,октяб
527,November::N,נובמבר,нояб
528,Dezember::N,דצמבר,декаб
529,Montag::N,יום שני,вильлун
530,Dienstag::N,יום שלישי,мӧдӧдзлун
531,Mittwoch::N,יום רביעי,шӧрлун
532,Donnerstag::N,יום חמישי,нёльӧдзлун
533,Freitag::N,יום ששי,витӧдзлун
534,Samstag::N,יום שבת,пывсянлун
535,Sonntag::N,יום ראשון,кресення
536,groß::A,גדול,ыджыт
537,klein::A,קטן,учӧтик
538,lang::A,ארך,кузь
539,kurz::A,קצר,дженыт
540,breit::A,רחב,ота
541,schmal::A,צר,векнит
542,dicht::A,צפוף,тшӧк
543,dick[Gegenstand]::A,עבה,кыз
544,dünn::A,דק,вӧснит
545,fein::A,מעדן,вӧснит
546,fest::A,מוצק,крепыт
547,flach::A,שטוח,лапкӧса
548,glatt::A,חלק,волькыт
549,hart::A,קשיח,чӧрыт
550,weich::A,רך,небыт
551,rund::A,עגל,гӧгрӧса
552,spitz::A,חד,ёся
553,scharf::A,חד,лэчыт
554,stumpf::A,קהה,ныж
555,schwer::A,כבד,сьӧкыт
556,schön::A,יפה,басӧк
557,heiß::A,חם,жар
558,warm::A,חם,шоныт
559,kalt::A,קר,кӧдзыт
560,kühl::A,צונן,сайкыт
561,frisch::A,טרי,виль
562,feucht::A,לח,вакодь
563,nass::A,רטוב,ва
564,trocken::A,יבש,кӧс
565,voll::A,מלא,тыра
566,leer::A,ריק,тыртӧм
567,offen::A,פתוח,оссьӧм
568,geschlossen::A,סגור,игана
569,geschlossen::A,סגור,пӧдана
570,sauber::A,נקי,сӧдз
571,sauber::A,נקי,сӧстӧм
572,schmutzig::A,מלכלך,нятьӧсь
573,roh::A,חי,путӧм
574,reif::A,בשל,кисьмалӧм
575,lecker::A,טעים,кӧра 
576,süß::A,מתוק,чӧскыт
577,bitter::A,מר,курыт
578,sauer::A,חמוץ,шӧма 
579,hell::A,בהיר,югыт
580,dunkel::A,עמום,пемыт
581,schwarz::A,שחר,сьӧд
582,weiß::A,לבן,чочком
583,rot::A,אדם,гӧрд
584,gelb::A,צהב,веж
585,blau::A,כחל,лӧз
586,grün::A,ירק,веж
587,grau::A,אפר,руд
588,grau::A,אפר,бусӧй
589,bunt::A,צבעוני,быдрӧма
590,billig::A,זול,донтӧм
591,teuer::A,יקר,дона
592,wertvoll::A,יקר ערך,дона
593,blind::A,עור,синтӧм
594,taub::A,חרש,пельтӧм
595,kräftig::A,חסן,вына
596,stark::A,חזק,вына
597,schwach::A,חלש,некодя
598,fett::A,שמן,госа
599,schlank::A,רזה,статя
600,hübsch::A,יפה תאר,басӧк
601,böse::A,רשע,лёк
602,dumm::A,טפש,бӧбӧв
603,dumm::A,טפש,вежӧртӧм
604,faul::A,עצלן,дыш
605,fleißig::A,חרוץ,уджалicь
606,geizig::A,קמצן,жикмӧра
607,geizig::A,קמצן,горшаліcь
608,klug::A,נבון,авья
609,klug::A,נבון,вежӧра
610,klug::A,פקח,авья
611,klug::A,פקח,вежӧра
612,geschickt::A,מימן,кипода
613,lieb::A,יקר,муса
614,lieb::A,יקר,дзулиньӧй
615,lieb::A,אהוב,муса
616,lieb::A,אהוב,дзулиньӧй
617,lustig::A,עליז,гажа
618,sanft::A,עדין,лебезнӧй
619,hungrig::A,רעב,тшыг
620,krank::A,חולה,шогалiсь
621,nackt::A,ערום,куш
622,traurig::A,עצוב,жугыль
623,lebendig::A,חי,ловья
624,gut::A,טוב,бур
625,schlecht::A,גרוע,умӧль
626,richtig::A,נכון,
627,schlimm::A,רע,нештӧм
628,wahr::A,אמתי,
629,alt::A,ישן,важ
630,neu::A,חדש,виль
631,ehemalig::A,לשעבר,вӧвлӧм
632,alt[Lebewesen]::A,זקן,года
633,alt[Lebewesen]::A,זקן,годдэза
634,jung::A,צעיר,том
635,arm::A,עני,гов
636,arm::A,עני,беднӧй
637,reich::A,עשיר,эма
638,bekannt::A,ידוע,тӧдса
639,berühmt::A,מפרסם,
640,fremd::A,זר,чужӧй
641,verschieden::A,שונה,быдкодь
642,nah::A,קרוב,матiсь
643,fern::A,רחוק,ылicь
644,linker::A,שמאלי,шульга
645,rechter::A,ימין,веськытланись
646,anderer::A,אחר,мукӧд
647,erster::A,ראשון,медодзза
648,zweiter::A,שני,кыкӧт
649,dritter::A,שלישי,куимӧт
650,dritter::A,שלישי,куимӧдз
651,letzter::A,אחרון,бӧрья
652,letzter::A,אחרון,мёдбӧрья
653,allein::ADV,לבד,
654,auf einmal::ADV,בו-זמנית,тшӧтш
655,zusammen::ADV,ביחד,ӧтлаын
656,lange::ADV,הרבה זמן,дыр
657,plötzlich::ADV,לפתע,друг
658,plötzlich::ADV,פתאום,друг
659,sofort::ADV,מיד,тшӧтш
660,später::ADV,לאחר זמן,медбӧрын
661,später::ADV,יותר מאחר,медбӧрын
662,jetzt::ADV,עכשיו,ӧні
663,heute::ADV,היום,талун
664,morgen::ADV,מחר,ашын
665,bald::ADV,בקרוב,чожа
666,dann::ADV,אחר-כך,сыбӧрын
667,gestern::ADV,אתמול,тӧн
668,einst::ADV,לפנים,ӧтпыр
669,damals::ADV,אז,сэк
670,damals::ADV,אז,сэки
671,danach::ADV,אחר-כך,сэсся
672,vorher::ADV,לפני זה,одзжык
673,zuerst::ADV,קדם,наперво
674,einmal::ADV,פעם,ӧтпыр
675,manchmal::ADV,לפעמים,мукӧдпыр
676,oft::ADV,לעתים קרובות,-лы-
677,immer::ADV,תמיד,быдпыр
678,immer::ADV,תמיד,быдпырся
679,niemals::ADV,אף פעם,некӧр
680,hier::ADV,כאן,татӧн
681,hierhin::ADV,פה,татчӧ
682,von hier::ADV,מפה,тасянь
683,dort::ADV,שם,сэтӧн
684,dorthin::ADV,שם,сэтчин
685,geradeaus::ADV,ישר,веськыта
686,vorwärts::ADV,קדימה,одзӧ
687,rückwärts::ADV,לאחור,бӧр
688,zurück::ADV,בחזרה,бӧр
689,zurück::ADV,אחורנית,бӧр
690,unten::ADV,למטה,увтын
691,hinab::ADV,למטה,увтас
692,oben::ADV,מעל,вевдӧрас
693,oben::ADV,למעלה,вевдӧрас
694,hinauf::ADV,למעלה,вывлань
695,hinauf::ADV,למעלה,вывланьӧ
696,überall::ADV,בכל מקום,быдлан
697,nicht::ADV,לא,ог
698,ein wenig::ADV,קצת,-ышт
699,ein wenig::ADV,קצת,невна
700,kaum::ADV,בקשי,ӧдва
701,sehr::ADV,מאוד,вывтi
702,so::ADV,כך,сiдз
703,so::ADV,ככה,сiдз
704,noch::ADV,עוד,эшӧ
705,noch::ADV,עדין,эшӧ
706,nur::ADV,רק,только
707,schon::ADV,כבר,ни
708,wieder::ADV,שוב,бӧра
709,vergebens::ADV,לריק,весись
710,vergebens::ADV,לשוא,весись
711,vor::PRP,מול,одзас
712,hinter::PRP,מאחורי,бӧрӧ
713,unter::PRP,מתחת,увтын
714,durch::PRP,דרך,пыр
715,neben::PRP,ליד,бокам
716,neben::PRP,ליד,боксиным
717,neben::PRP,על-יד,бокам
718,neben::PRP,על-יד,боксиным
719,zwischen::PRP,בין,коласас
720,wegen::PRP,בשל,понда
721,wegen::PRP,בגלל,понда
722,dies::PRN,זה,эта
723,das::PRN,זה,сiя
724,alles::PRN,הכל,быдӧс
725,ich::PRN,אני,ме
726,du::PRN,את,тэ
727,du::PRN,אתה,тэ
728,er::PRN,הוא,сiя
729,wir::PRN,אנחנו,мийӧ
730,ihr::PRN,לה,ті
731,sie::PRN,הם,нія
732,was::FPRN,מה,мый
733,wer::FPRN,מי,кин
734,wo::FADV,איפה,кытӧн
735,wohin::FADV,לאן,кытчӧ
736,wie::FADV,איך,дзик
737,warum::FADV,למה,мыля
738,warum::FADV,למה,мыйсянь
739,wieviel::FNUM,כמה,мымда
740,eins::NUM,אחד,ӧт
741,zwei::NUM,שתים,кык
742,drei::NUM,שלושה,куим
743,vier::NUM,ארבעה,нёль
744,fünf::NUM,חמשה,вит
745,sechs::NUM,ששה,квать
746,sieben::NUM,שבעה,сизим
747,acht::NUM,שמונה,кыкьямыс
748,neun::NUM,תשעה,ӧкмыс
749,zehn::NUM,עשרה,дас
750,elf::NUM,אחת עשרה,дасотік
751,zwölf::NUM,שתים עשרה,даскык
752,zwanzig::NUM,עשרים,кыкдас
753,dreißig::NUM,שלושים,куимдас
754,vierzig::NUM,ארבעים,нёльдас
755,fünfzig::NUM,חמשים,витдас
756,sechzig::NUM,ששים,кватьдас
757,siebzig::NUM,שבעים,сизимдас
758,achtzig::NUM,שמונים,кыкьямысдас
759,neunzig::NUM,תשעים,ӧкмысдас
760,hundert::NUM,מאה,сто
761,tausend::NUM,אלף,тысяча
762,und::CNJ,ו,и
763,und::CNJ,ו,да
764,oder::CNJ,או,или
765,stehen::V,עמד,сулавны
766,sitzen::V,ישב,пукавны
767,liegen::V,שכב,куйлыны
768,hängen::V,היה תלוי,ӧшавны
769,werden::V,הפך ל,лоны
770,passieren::V,קרה,аркмыны
771,beginnen::V,התחיל,петны
772,enden::V,הסתים,-сь
773,enden::V,הסתים,бырны
774,wechseln::V,השתנה,вежсьыны
775,aufgehen[Sonne]::V,זרח,петавны
776,untergehen[Sonne]::V,שקע,пуксьыны
777,scheinen[Sonne]::V,בהק,югьявны
778,donnern::V,רעם,гымавны
779,wehen::V,נשב,пӧлявны
780,strömen::V,זרם,киссьыны
781,fließen::V,זרם,визывтны
782,sich drehen::V,הסתובב,бергавны
783,schwanken::V,התנודד,кӧвьясьны
784,schwingen::V,התנענע,дюттясьны
785,fallen::V,נפל,усьны
786,brennen::V,בער,сотчыны
