,Concept_ID,bn,kk
107,Anhöhe::N,টিলা,дөң
108,Anhöhe::N,টিলা,адыр
109,Anhöhe::N,টিলা,қырат
110,Berg::N,পর্বত,тау
111,Gipfel::N,শীর্ষ,төбе
112,Höhle::N,গুহা,үңгір
113,Abhang::N,ঢাল,бауыр
114,Quelle::N,উৎস,қайнар
115,Bach::N,ক্ষুদ্র নদী,жылға
116,Fluss::N,নদী,өзен
117,Ufer::N,উপকূল,жиек
118,Küste::N,তীর,жиегі
119,Küste::N,তীর,жағалау
120,Festland::N,ভূমি,құрылық
121,Meer::N,সমুদ্র,теңіз
122,Bucht::N,উপসাগর,шығанақ
123,Insel::N,দ্বীপ,арал
124,Blume::N,ফুল,гүл
125,Gras::N,ঘাস,от
126,Wurzel::N,শিকড়,түбір
127,Baum::N,গাছ,ағаш
128,Baum::N,গাছ,дарақ
129,Stamm::N,স্কন্ধ,сояу
130,Stamm::N,স্কন্ধ,оқпан
131,Rinde::N,বল্কল,қабық
132,Ast::N,শাখা,бұтақ
133,Zweig::N,ডাল,шыбық
134,Blatt::N,পর্ণ,жапырақ
135,Birke::N,ভুর্জ,қайың
136,Kiefer[Baum]::N,পাইন গাছ,қарағай
137,Weide[Baum]::N,উইলো,тал
138,Tanne::N,দেবদারূ গাছ,шырша
139,Horn::N,শিং,мүйіз
140,Feder::N,পালক,қаламұш
141,Fell::N,রোম,тері
142,Flügel::N,ডানা,қанат
143,Klaue::N,নখর,тырнақ
144,Kralle::N,নখর,аяқ
145,Schwanz::N,লেজ,құйрық
146,Ei::N,ডিম,жұмыртқа
147,Nest::N,কুলায়,ұя
148,Bau::N,ডেরা,жатақ
149,Tier::N,জন্তু,айуан
150,Tier::N,জন্তু,жануар
151,Herde::N,ঝাঁক,пада
152,Kuh::N,গোরু,сиыр
153,Bulle::N,বৃষ,өгіз
154,Pferd::N,ঘোড়া,жылқы
155,Schaf::N,ভেড়া,қой
156,Schwein::N,শূকর,шошқа
157,Hund::N,কুকুর,ит
158,Katze::N,বেড়াল,мысық
159,Bär::N,ভল্লুক,аю
160,Eichhörnchen::N,কাঠবিড়াল,тиін
161,Elch::N,হরিণবিশেষ,бұғы
162,Fuchs::N,পাঁতিশিয়াল,түлкі
163,Hase::N,শশক,қоян
164,Maus::N,নেংটি ইঁদুর,қаптесер
165,Wolf::N,নেকড়ে,бөрі
166,Wolf::N,নেকড়ে,қасқыр
167,Vogel::N,পক্ষী,құс
168,Schwarm::N,ঝাঁক,топ
169,Schwarm::N,ঝাঁক,үйір
170,Huhn::N,মোরগ,тауық
171,Huhn::N,মোরগ,мекиен
172,Hahn::N,কুক্কুট,әтеш
173,Hahn::N,কুক্কুট,қораз
174,Gans::N,হংসী,қаз
175,Adler::N,ইগল,бүркіт
176,Ente::N,হংসী,үйрек
177,Eule::N,পেচক,жапалақ
178,Kranich::N,সারস,тырна
179,Krähe::N,কাক,қарға
180,Kuckuck::N,কোকিল,көкек
181,Schwan::N,মরাল,аққу
182,Fisch::N,মাছ,балық
183,Barsch::N,মৎন্যবিশেষ,алабұға
184,Hecht::N,বানমাছ,шортан
185,Schlange[Tier]::N,সর্প,жылан
186,Wurm::N,কীট,шұбалшаң
187,Spinne::N,মাকড়সা,өрмекші
188,Ameise::N,পিপীলিকা,қүмырска
189,Laus::N,উকুন,бит
190,Mücke::N,মশা,маса
191,Fliege::N,মাছি,шыбын
192,Schmetterling::N,প্রজাপতি,көбелек
193,Beere::N,বেরি,жидек
194,Apfel::N,আপেল,алма
195,Pilz::N,ছত্রক,қозықұйрық
196,Pilz::N,ছত্রক,саңыраукулақ
197,Zwiebel::N,পিয়াজ,жуа
198,Saat::N,বীজ,тұқым
199,Korn::N,শস্য,дән
200,Heu::N,খড়,шөп
201,Schale::N,খোসা,қабық
202,Schale::N,খোসা,қабығы
203,Grube::N,গর্ত,ор
204,Falle::N,ফাঁদ,дұзақ
205,Falle::N,ফাঁদ,қақпан
206,Schlinge::N,পাশ,ілмек
207,Spur::N,চিহ্ন,із
208,Asche::N,ভস্ম,күл
209,Dreck::N,ময়লা,былғаныш
210,Eisen::N,লোহা,темір
211,Gold::N,স্বর্ণ,алтын
212,Silber::N,রৌপ্য,күміс
213,Kohle::N,অঙ্গার,көмір
214,Glas::N,কাচ,шыны
215,Lehm::N,মৃত্তিকা,балшық
216,Sand::N,বালি,құм
217,Mensch::N,নর,адам
218,Mensch::N,মানুষ,адам
219,Mann::N,মানুষ,еркек
220,Mann::N,মানুষ,ер адам
221,Frau::N,নারী,бике
222,Frau::N,নারী,қатын
223,Kind::N,বাচ্চা,бала
224,Kind::N,বাচ্চা,перзент
225,Junge::N,ছেলে,бала
226,Junge::N,ছেলে,ер бала
227,Mädchen::N,মেয়ে,қыз
228,Familie::N,পরিবার,жанұя
229,Großvater::N,মাতামহ,ата
230,Großmutter::N,মাতামহী,әже
231,Großmutter::N,মাতামহী,әжей
232,Eltern::N,মাতাপিতা,ата-аналар
233,Vater::N,পিতা,әке
234,Mutter::N,মাতা,ана
235,Sohn::N,ছেলে,ұл
236,Tochter::N,মেয়ে,қызым
237,Bruder::N,দাদা,бауырым
238,Schwester::N,বোন,әпке
239,Schwester::N,দিদি,әпке
240,Onkel::N,মামা,көке
241,Tante::N,মাসী,тәте
242,Ehemann::N,স্বামী,ер
243,Ehefrau::N,পত্নী,зайып
244,Freude::N,উল্লাস,қуаныш
245,Freude::N,উল্লাস,сүйініш
246,Freude::N,উল্লাস,шат-думан
247,Freude::N,উল্লাস,қуаныштылық
248,Gelächter::N,হাসি,күлу
249,Glück::N,সুখ,бақыт
250,Glück::N,সুখ,бақыттылық
251,Kummer::N,দুঃখ,аза
252,Kummer::N,দুঃখ,қайғы
253,Kummer::N,দুঃখ,қасырет
254,Wunsch::N,আকাঙ্ক্ষা,мүдде
255,Lust::N,বাসনা,тәбет
256,Lust::N,বাসনা,ынтызар
257,Lust::N,বাসনা,құштарлық
258,Geist::N,আত্না,рух
259,Gedanke::N,চিন্তা,ой
260,Gedächtnis::N,স্মরণশক্তি,ес
261,Gedächtnis::N,স্মরণশক্তি,жады
262,Gedächtnis::N,স্মরণশক্তি,ақыл-ес
263,Verstand::N,মন,ақыл
264,Verstand::N,মন,парасат
265,Sinn::N,পদার্থ,мән
266,Sinn::N,পদার্থ,маныз
267,Sinn::N,পদার্থ,мағына
268,Sinn::N,পদার্থ,мән-мағына
269,Grund::N,কারণ,себеп
270,Wahrheit::N,সত্য,рас
271,Gespräch::N,কথাবার্তা,әңгіме
272,Märchen::N,রূপকথা,ертеп
273,Märchen::N,রূপকথা,ертек
274,Erzählung::N,গল্প,әңгіме
275,Nachricht::N,তথ্য,хабар
276,Neuigkeit::N,খবরাখবর,жаңалық
277,Name::N,নাম,ат
278,Name::N,নাম,атау
279,Rätsel::N,ধাঁধা,жұмбақ
280,Rede::N,বক্তৃতা,сөз
281,Sprache::N,ভাষা,тіл
282,Stimme::N,স্বর,үн
283,Stimme::N,স্বর,әуен
284,Stimme::N,স্বর,дауыс
285,Wort::N,শব্দ,сөз
286,Zeichen::N,প্রতীক,ишара
287,Ruf::N,ডাক,айғай
288,Lärm::N,হৈচৈ,айғай-шу
289,Lärm::N,হৈচৈ,айғай-ұйғай
290,Laut::N,ধ্বনি,дыбыс
291,Laut::N,ধ্বনি,дауыс
292,Ton::N,স্বর,әуен
293,Lied::N,গান,ән
294,Lied::N,গান,жыр
295,Lied::N,গান,ән-жыр
296,Ruhe::N,শান্তি,тыныштық
297,Leute::N,প্রজাপুঞ্জ,кісілер
298,Volk::N,জাতি,халық
299,Arbeit::N,চাকরি,еңбек
300,Gast::N,অতিথি,қонақ
301,Gast::N,অতিথি,мейман
302,Geschenk::N,উপহার,қадия
303,Spiel::N,খেলা,ойын
304,Gesellschaft::N,সঙ্গিগণ,қауым
305,Gesellschaft::N,সঙ্গিগণ,жұртшылық
306,Hilfe::N,সাহায্য,жэрдем
307,Freund::N,বন্ধু,дос
308,Kamerad::N,সঙ্গী,дос-жар
309,Angelegenheit::N,বিষয়,жұмыс
310,Anzahl::N,পরিমাণ,сан
311,Anzahl::N,পরিমাণ,саны
312,Art::N,রকম,түр
313,Stück::N,টুকরো,тілім
314,Teil::N,অংশ,үлес
315,Teil::N,অংশ,бөлшек
316,Hälfte::N,অর্ধেক,жарты
317,Kreis::N,বৃত্ত,шеңбер
318,Kreuz::N,ক্রুশ,крест
319,Linie::N,রেখা,сызық
320,Strich::N,কষি,сызық
321,Abstand::N,ফাঁক,ара
322,Abstand::N,ফাঁক,аралық
323,Entfernung::N,ব্যবধান,аралық
324,Gegend::N,ক্ষেত্র,өңір
325,Platz::N,জায়গা,орны
326,Ort::N,স্থান,орын
327,Seite::N,পার্শ্ব,жақ
328,Seite::N,পার্শ্ব,бүйір
329,Mitte::N,মধ্য,ортасы
330,Gegenstand::N,জিনিস,зат
331,Gegenstand::N,জিনিস,нәрсе
332,Sache::N,বস্তু,бұйым
333,Rand::N,কানা,шет
334,Rand::N,কানা,шеті
335,Kante::N,ধার,қыр
336,Kante::N,ধার,қыры
337,Ecke::N,কোণ,қыры
338,Ecke::N,কোণ,бұрыш
339,Spitze::N,ডগা,ұшы
340,Ende::N,প্রান্ত,аяқ
341,Ende::N,প্রান্ত,соңы
342,Loch::N,গর্ত,тесік
343,Winkel::N,কোণ,мүйіс
344,Muster::N,নমুন্,мәнер
345,Größe::N,আয়তন,ауқым
346,Größe::N,আয়তন,көлемдік
347,Länge::N,দৈর্ঘ্য,бой
348,Länge::N,দৈর্ঘ্য,ұзындық
349,Höhe::N,উচ্চতা,жоғарылық
350,Höhe::N,উচ্চতা,биіктік
351,Gewicht::N,ওজন,салмақ
352,Menge::N,পরিমাণ,мөлшер
353,Haufen::N,পুঞ্জ,үйме
354,Haufen::N,পুঞ্জ,үйінді
355,Reihe::N,শ্রেণী,сап
356,Boot::N,নৌকা,қайық
357,Ruder::N,দাঁড়,ескек
358,Schlitten::N,স্নেজ্-গাড়ি,шана
359,Ski::N,শী,шаңғы
360,Lagerfeuer::N,অগ্নি,алау
361,Last::N,বোঝা,ауырлық
362,Last::N,বোঝা,ауыр зат
363,Gang::N,হণ্টন,жүріс
364,Schritt::N,পদ,адым
365,Norden::N,উত্তরদিক্,солтүстік
366,Norden::N,উত্তরদিক্,терістік
367,Süden::N,দক্ষিণদিক,оңтүстік
368,Westen::N,পশ্চিমদিক্,батыс
369,Osten::N,পূর্বদিক,күншығыс
370,Holz::N,কাঠ,ағаш
371,Holz::N,কাঠ,сүрек
372,Brett::N,তক্তা,тақта
373,Platte::N,ফলক,тақта
374,Stütze::N,নাগদণ্ড,тіреу
375,Stange::N,দণ্ড,қада
376,Stock::N,ছড়ি,сойыл
377,Stab::N,যষ্টি,сырық
378,Rohr::N,নল,құбыр
379,Haus::N,ঘর,үй
380,Heim::N,বাসা,үйлі
381,Heim::N,বাসা,шаңырақ
382,Ofen::N,স্টোভ্,ошақ
383,Ofen::N,স্টোভ্,пеш
384,Fußboden::N,গহতল,еден
385,Tisch::N,মেজ,үстел
386,Tisch::N,টেবিল,үстел
387,Stuhl::N,চেয়ার,орындық
388,Stuhl::N,কেদারা,орындық
389,Wiege::N,দোলনা,бесік
390,Bett::N,শয্যা,кереует
391,Regal::N,তাক,сөре
392,Kiste::N,বাক্স,жәшік
393,Fenster::N,জানালা,терезе
394,Tür::N,দ্বার,есік
395,Tor::N,দ্বার,дарбаза
396,Zaun::N,বেড়া,дуал
397,Dach::N,ছাদ,шатыр
398,Leiter::N,মই,саты
399,Leiter::N,মই,басқыш
400,Besen::N,গুল্মবিশেষ,сыпырғыш
401,Spaten::N,কোদাল,күрек
402,Schaufel::N,বেলচা,қалақ
403,Gabel::N,কাঁটা,аша
404,Gabel::N,কাঁটা,шанышқы
405,Löffel::N,চামচ,қасық
406,Messer::N,ছুরি,пышақ
407,Nagel::N,পেরেক,мық
408,Nagel::N,পেরেক,шеге
409,Netz::N,জাল,керегекөз
410,Haken::N,কাচি,ілмек
411,Griff::N,হাতল,сап
412,Griff::N,হাতল,тұтқа
413,Schloss::N,তালা,құлып
414,Schloss::N,তালা,бекіткіш
415,Bild::N,ছবি,сурет
416,Bild::N,চিত্র,сурет
417,Figur::N,আকার,тұлға
418,Puppe::N,পুতুল,қуыршақ
419,Beutel::N,বটুয়া,қапшық
420,Bündel::N,আঁটি,байлам
421,Tasche::N,থলি,дорба
422,Eimer::N,বাল্তি,шелек
423,Deckel::N,আবরণ,жапқыш
424,Geschirr::N,থালা-বাসন,ыдыс
425,Sack::N,বস্তা,қап
426,Tasse::N,কাপ,шыныаяқ
427,Topf::N,পাত্র,кәстрөл
428,Kessel::N,কেটলি,қазан
429,Essen::N,আহার,ас
430,Nahrung::N,খাদ্য,ас
431,Nahrung::N,খাদ্য,тамақ
432,Speise::N,খাদ্য,тағам
433,Fleisch::N,মাংস,ет
434,Getreide::N,শস্য,дәнді
435,Brei::N,মণ্ড,ботқа
436,Brot::N,রুটি,күлше
437,Scheibe::N,ফালি,тілім
438,Fett::N,মেদ,май
439,Butter::N,মাখন,май
440,Öl::N,তৈল,май
441,Salz::N,নুন,тұз
442,Suppe::N,শুরুয়া,көже
443,Honig::N,মধু,бал
444,Milch::N,দুধ,сүт
445,Tee::N,চা,шай
446,Leder::N,পাকা চামড়া,көн
447,Wolle::N,পশম,жүн
448,Stoff::N,বস্ত্র,мата
449,Stoff::N,বস্ত্র,кездеме
450,Nadel::N,সুচ,ине
451,Faden::N,সূত্র,жіп
452,Knopf::N,বোতাম,түйме
453,Knoten::N,গিঁট,түйін
454,Farbe::N,রং,рең
455,Kleidung::N,কাপড়,киім
456,Hemd::N,শার্ট,жейде
457,Kragen::N,গলবন্ধ,жаға
458,Ärmel::N,আস্তিন্,жең
459,Hose::N,ট্রাউজার,шалбар
460,Gürtel::N,কটিবন্ধ,белбеу
461,Mütze::N,টুপি,қалпақ
462,Schuh::N,জুতো,кебіс
463,Stiefel::N,বুট,етік
464,Ring::N,আংটি,жүзік
465,Band::N,ফিতা,таспа
466,Kamm::N,চিরুনি,тарақ
467,Spiegel::N,আয়না,айна
468,Riemen::N,চাবুক,қайыс
469,Schnur::N,দড়ি,жіп
470,Leine::N,শিকল,тізгін
471,Decke::N,কম্বল,көрпе
472,Kissen::N,উপাধান,жастық
473,Tuch::N,বস্ত্র,орамал
474,Handtuch::N,তোয়ালে,сүлгі
475,Kraft::N,জোর,қуат
476,Kraft::N,জোর,қарқын
477,Kraft::N,জোর,әл-шама
478,Kraft::N,জোর,әл-дәрмен
479,Stärke::N,শক্তি,әл
480,Stärke::N,শক্তি,күш
481,Gesundheit::N,স্বাস্থ্য,денсаулык
482,Krankheit::N,অসুখ,ауру
483,Krankheit::N,ব্যামো,ауру
484,Schmerz::N,যন্ত্রণা,ауру
485,Wunde::N,ক্ষত,зақым
486,Wunde::N,ক্ষত,жарақат
487,Fieber::N,জ্বর,безгек
488,Fieber::N,জ্বর,қалтырау
489,Fieber::N,জ্বর,қызу көтерілуі
490,Arznei::N,ঔষধ,дәрі
491,Arznei::N,ঔষধ,дәрі-дәрмек
492,Brücke::N,সেতু,көпір
493,Brunnen::N,কূপ,құдық
494,Weide::N,পশুচারণভূমি,өріс
495,Weide::N,পশুচারণভূমি,жайылым
496,Pfad::N,পথ,жол
497,Weg::N,পথ,жол
498,Straße::N,রাস্তা,жол
499,Dorf::N,গ্রাম,ауыл
500,Stadt::N,শহর,қала
501,Stadt::N,শহর,шаһар
502,Brief::N,চিঠি,хат
503,Brief::N,চিঠি,жазу
504,Buch::N,বই,кітап
505,Buchstabe::N,অক্ষর,әріп
506,Buchstabe::N,অক্ষর,қаріп
507,Zeitung::N,সংবাদপত্র,газет
508,Leben::N,জীবন,өмір
509,Leben::N,জীবন,тіршілік
510,Tod::N,মৃত্যু,опат
511,Grab::N,কবর,мола
512,Grab::N,কবর,мазар
513,Kirche::N,গির্জা,шіркеу
514,Sünde::N,পাপ,күнә
515,Gott::N,দেবতা,алла
516,Gott::N,দেবতা,құдай
517,Gott::N,দেবতা,тәңірі
518,Gott::N,দেবতা,пәруардігер
519,Gott::N,দেবতা,жаратқан тәңірі
520,Arbeiter::N,শ্রমিক,жүмысшы
521,Chef::N,নেতা,басшы
522,Chef::N,নেতা,жұмыс басқарушысы
523,Meister::N,ব্যক্তি,шебер
524,Meister::N,ব্যক্তি,өнерпаз
525,Arzt::N,চিকিৎসক,дәрігер
526,Lehrer::N,অধ্যাপক,мұғалім
527,Geld::N,মুদ্রা,пұл
528,Geld::N,টাকাপয়সা,пұл
529,Geschäft::N,ব্যস্ততা,бизнес
530,Laden::N,দোকান,дүкен
531,Preis::N,মূল্য,ақы
532,Preis::N,মূল্য,құны
533,Preis::N,মূল্য,нарық
534,Ware::N,পণ্যদ্রব্য,тауар
535,Nutzen::N,সুবিধা,пайда
536,Reichtum::N,ধনদৌলত,бақ-дәулет
537,Welt::N,জগৎ,әлем
538,Welt::N,জগৎ,жиһан
539,Land::N,খেত,аймақ
540,Staat::N,রাষ্ট্র,мемлекет
541,König::N,রাজা,патша
542,Macht::N,প্রভাব,өкімет
543,Macht::N,প্রভাব,қожалық
544,Grenze::N,সীমা,шек
545,Krieg::N,যুদ্ধ,соғыс
546,Feind::N,শত্রু,жау
547,Feind::N,শত্রু,дұшпан
548,Gewalt::N,জোর,зорлык
549,Gewalt::N,জোর,зорлық-зомбылык
550,Kampf::N,লড়াই,күрес
551,Kampf::N,লড়াই,алыспақ
552,Bogen[Waffe]::N,ধনুক,саржа
553,Pfeil::N,বাণ,жебе
554,Gewehr::N,বন্দুক,қару
555,Fehler::N,ভুল,әбес
556,Fehler::N,ভুল,қаталық
557,Lüge::N,মিথ্যা,өтірік
558,Schaden::N,ক্ষতি,зиян
559,Schaden::N,ক্ষতি,зарар
560,Unglück::N,দুর্ভাগ্য,пәле
561,Unglück::N,দুর্ভাগ্য,қасырет
562,Unglück::N,দুর্ভাগ্য,ауыртпалық
563,Schuld::N,অপরাধ,айыптылық
564,Alter::N,আয়ু,жас
565,Alter::N,আয়ু,жас шамасы
566,Schluss::N,শেষ,ада
567,Schluss::N,শেষ,бітуі
568,Zeit::N,সময়,уақыт
569,Tag::N,দিন,күн
570,Morgen::N,সকাল,таң
571,Morgen::N,সকাল,таңертең
572,Mittag::N,মধ্যাহু,талтүс
573,Abend::N,সন্ধ্যা,кеш
574,Nacht::N,রাত্রি,түн
575,Woche::N,সপ্তাহ,апта
576,Monat::N,মাস,ай
577,Jahr::N,সৌরবর্ষ,жыл
578,Frühling::N,বসন্তকাল,көктем
579,Sommer::N,গ্রীষ্মকাল,жаз
580,Herbst::N,শরংঋতু,күз
581,Winter::N,শীতকাল,қыс
582,Januar::N,জানুয়ারী,каңтар
583,Februar::N,ফেব্রুয়ারী,ақпан
584,März::N,মার্চ,наурыз
585,April::N,এপ্রিল,сәуір
586,Mai::N,মে,мамыр
587,Juni::N,জুন,маусым
588,Juli::N,জুলাই,шілде
589,August::N,অগাস্ট,сүмбіле
590,August::N,অগাস্ট,тамыз
591,September::N,সেপ্টেম্বর,қыркүйек
592,Oktober::N,অক্টোবর,ақырап
593,November::N,নভেম্বর,қараша
594,Dezember::N,ডিসেম্বর,желтоқсан
595,Montag::N,সোমবার,дүйсенбі
596,Dienstag::N,মঙ্গলবার,сейсенбі
597,Mittwoch::N,বুধবার,сәрсенбі
598,Donnerstag::N,বৃহম্পতিবার,бейсенбі
599,Freitag::N,শুক্রবার,жұма
600,Samstag::N,শনিবার,сенбі
601,Sonntag::N,রবিবার,жексембі
602,groß::A,বৃহৎ,алпамсадай
603,klein::A,ছোট,кішкене
604,klein::A,ছোট,қарғадай
605,lang::A,দীর্ঘ,сопақ
606,lang::A,দীর্ঘ,сорайған
607,kurz::A,খর্ব,кеспелтек
608,kurz::A,হ্রস্ব,кеспелтек
609,breit::A,চওড়া,айдынды
610,schmal::A,সরু,қысық
611,dicht::A,ঘন,жиі
612,dick[Gegenstand]::A,পুরু,шомбал
613,dünn::A,কৃশ,жұқа
614,dünn::A,কৃশ,жіңішке
615,fein::A,সূক্ষ্ম,қаңылтақ
616,fest::A,দৃঢ়,берік
617,fest::A,দৃঢ়,мызғымас
618,flach::A,সমতল,жалпак
619,glatt::A,মসৃণ,типыл
620,hart::A,শক্ত,қатты
621,weich::A,নরম,жұмсақ
622,rund::A,গোলাকার,домалақ
623,spitz::A,তীক্ষ্ন,үшкір
624,scharf::A,শাণিত,сүйрік
625,stumpf::A,ভোঁতা,доғал
626,stumpf::A,ভোঁতা,өтпейтін
627,schwer::A,ভারী,салмақты
628,schön::A,সুন্দর,сұлу
629,heiß::A,গরম,ыссы
630,warm::A,ঈষদুষ্ণ,жылы
631,kalt::A,ঠাণ্ডা,аязды
632,kühl::A,শীতল,салқын
633,frisch::A,তাজা,таза
634,frisch::A,তাজা,жаңа
635,feucht::A,ভিজা,нам
636,feucht::A,ভিজা,дымқылды
637,nass::A,ভিজা,сулы
638,trocken::A,শুষ্ক,құрғақ
639,voll::A,পূর্ণ,толы
640,leer::A,খালি,бос
641,offen::A,খোলা,ашып қойылған
642,geschlossen::A,বন্ধ,жабулы
643,sauber::A,নির্মল,дақсыз
644,sauber::A,নির্মল,мұнтаздай
645,schmutzig::A,নোংরা,айғыз
646,schmutzig::A,নোংরা,сатпақ
647,schmutzig::A,নোংরা,сатал-сатал
648,roh::A,কাঁচা,шикі
649,reif::A,পাকা,піскен
650,lecker::A,সুস্বাদ,дәмді
651,süß::A,মিষ্ট,тәтті
652,bitter::A,তিক্ত,ащы
653,sauer::A,টক,қышқыл
654,hell::A,উজ্জ্বল,жарық
655,hell::A,উজ্জ্বল,жарқын
656,dunkel::A,অন্ধকারময়,қараңғы
657,schwarz::A,কালো,қара
658,weiß::A,সাদা,ақ
659,rot::A,লাল,қызыл
660,gelb::A,হলদে,сары
661,blau::A,নীল,көк
662,grün::A,সবুজ,жасыл
663,grau::A,ছাই-রঙা,бозамық
664,bunt::A,রঙিন,алабажак
665,billig::A,সস্তা,арзан
666,teuer::A,আক্রা,бағалы
667,wertvoll::A,মহার্ঘ,құнды
668,wertvoll::A,মহার্ঘ,қымбат
669,blind::A,কানা,көзсіз
670,blind::A,কানা,көр
671,blind::A,কানা,көр_соқыр
672,taub::A,বধির,керең
673,taub::A,বধির,саңырау
674,kräftig::A,বিশাল,қуатты
675,kräftig::A,বিশাল,қарымды
676,stark::A,শক্তিশালী,білекті
677,schwach::A,দুর্বল,әлсіз
678,schwach::A,দুর্বল,күшсіз
679,schwach::A,দুর্বল,қайратсыз
680,fett::A,মোটা,семіз
681,schlank::A,কৃশ,ашаң
682,hübsch::A,সুন্দর,ажарлы
683,hübsch::A,সুন্দর,шырайлы
684,böse::A,খারাপ,өш
685,böse::A,খারাপ,сұм
686,böse::A,খারাপ,жауыз
687,dumm::A,মূর্খ,көкми
688,dumm::A,মূর্খ,ақымақ
689,dumm::A,মূর্খ,миы жоқ
690,faul::A,শ্রমবিমুখ,жалқау
691,faul::A,শ্রমবিমুখ,еріншек
692,fleißig::A,পরিশ্রমী,ұқыпты
693,geizig::A,ব্যয়কুণ্ঠ,сараң
694,klug::A,দক্ষ,жетік
695,klug::A,দক্ষ,ақылды
696,geschickt::A,পটু,шебер
697,lieb::A,প্রেয়,абзал
698,lieb::A,প্রেয়,айналайын
699,lustig::A,প্রফুল্ল,көңілді
700,sanft::A,নম্র,жуас
