,Concept_ID,ar,kl
162,Schwanz::N,ذيل,paperuusaq
163,Ei::N,بيض,mannik
164,Nest::N,عش,ullut
165,Bau::N,جحر,ini
166,Tier::N,حيوان,uumasoq
167,Herde::N,قطيع,unguukkat
168,Kuh::N,بقرة,ussik
169,Bulle::N,ثور,angukulak
170,Bulle::N,ثور,anguteralak
171,Bulle::N,ثور,angutikulooq
172,Pferd::N,خيل,
173,Schaf::N,شاة,sava
174,Schwein::N,خنزير,puuluki
175,Hund::N,كلب,qimmeq
176,Katze::N,قطة,puisaaq
177,Bär::N,دب,allaq
178,Eichhörnchen::N,سنجاب,sissinnguaq
179,Elch::N,موظ,
180,Fuchs::N,ثعلب,terianniaq
181,Hase::N,أرنب,ukaleq
182,Maus::N,فأرة,teriannguaq
183,Wolf::N,ذئب,amaroq
184,Vogel::N,طير,timmiaq
185,Schwarm::N,سرب,
186,Huhn::N,دجاجة,kukkukooq
187,Huhn::N,دجاجة,marloraaqaaq
188,Hahn::N,ديك,kiasiusaq
189,Gans::N,وزة,nerleq
190,Adler::N,نسر,nattoralik
191,Ente::N,بطة,
192,Eule::N,بوم,uppik
193,Kranich::N,كركي,qorlorfik
194,Krähe::N,غراب,tuluatsiaq
195,Kuckuck::N,وقواق,kukkooq
196,Schwan::N,إوز عراقي,qussuk
197,Fisch::N,سمك,aalisagaq
198,Barsch::N,فرخ أوربي,
199,Hecht::N,سمك الكراكي,
200,Schlange[Tier]::N,حية,pulateriarsuk
201,Schlange[Tier]::N,حية,pulateriaarsuk
202,Schlange[Tier]::N,ثعبان,pulateriarsuk
203,Schlange[Tier]::N,ثعبان,pulateriaarsuk
204,Wurm::N,دودة,
205,Spinne::N,عنكبوت,aasiaq
206,Spinne::N,عنكبوت,nissavaarsuk
207,Ameise::N,نملة,uniaaluk
208,Laus::N,قملة,kumak
209,Mücke::N,ناموسة,ippernaq
210,Fliege::N,ذبابة,ippernaq
211,Schmetterling::N,فراشة,paluaq
212,Schmetterling::N,فراشة,pakkaluaq
213,Schmetterling::N,فراشة,utsuppaluaq
214,Schmetterling::N,فراشة,taqaleqisaaq
215,Beere::N,حبة,paarmaq
216,Beere::N,حبة,paarngaq
217,Apfel::N,تفاح,iipili
218,Pilz::N,فطر,anngiusaq
219,Zwiebel::N,بصل,uanitsoq
220,Saat::N,زرع,naatsiiassaq
221,Korn::N,حبة,maannineq
222,Heu::N,دريس,
223,Schale::N,قشرة,niutsivik
224,Schale::N,قشرة,ilulissaq qaartussaq
225,Grube::N,نقرة,itersaq
226,Falle::N,فخ,pualavoq
227,Falle::N,مصيدة,pualavoq
228,Schlinge::N,عروة,orseq
229,Schlinge::N,عروة,norloq
230,Spur::N,أثر,tumaa
