,Concept_ID,cv,de
76,Wetter::N,ҫанталӑк,Wetter
77,Nebel::N,тӗтре,Nebel
78,Wolke::N,пӗлӗт,Wolke
79,Regen::N,ҫумӑр,Regen
80,Schnee::N,юр,Schnee
81,Eis::N,пӑр,Eis
82,Frost::N,сивӗ,Frost
83,Kälte::N,сивӗ,Kälte
84,Hitze::N,вӗри,Hitze
85,Hitze::N,шӑрӑх,Hitze
86,Raureif::N,пас,Raureif
87,Regenbogen::N,асамат кӗперӗ,Regenbogen
88,Donner::N,аслати,Donner
89,Strömung::N,юхӑ,Strömung
90,Tropfen::N,тумлам,Tropfen
91,Schaum::N,кӑпӑк,Schaum
92,Schmutz::N,пылчӑк,Schmutz
93,See::N,кӳлӗ,See
94,Sumpf::N,шур,Sumpf
95,Sumpf::N,шурлӑх,Sumpf
96,Moor::N,торфлӑ шурлӑх,Moor
97,Wiese::N,улӑх,Wiese
98,Wiese::N,ҫаран,Wiese
99,Wald::N,вӑрман,Wald
100,Hügel::N,сӑрт,Hügel
101,Hügel::N,тӗмеске,Hügel
102,Anhöhe::N,сӑрт,Anhöhe
103,Berg::N,ту,Berg
104,Gipfel::N,тӳпе,Gipfel
105,Höhle::N,ҫӗр хӑвӑлӗ,Höhle
106,Abhang::N,тӑвайкки,Abhang
107,Quelle::N,ҫӑл куҫ,Quelle
108,Bach::N,пӗчӗк шыв,Bach
109,Fluss::N,юхан шыв,Fluss
110,Ufer::N,ҫыран,Ufer
111,Küste::N,тинӗс ҫыранӗ,Küste
112,Festland::N,тип ҫӗр,Festland
113,Meer::N,тинӗс,Meer
114,Bucht::N,тинӗс кукӑрӗ,Bucht
115,Insel::N,утрав,Insel
116,Blume::N,чечек,Blume
117,Gras::N,курӑк,Gras
118,Wurzel::N,тымар,Wurzel
119,Baum::N,йывӑҫ,Baum
120,Stamm::N,вулӑ,Stamm
121,Rinde::N,хуйӑр,Rinde
122,Ast::N,турат,Ast
123,Zweig::N,турат,Zweig
124,Blatt::N,ҫулҫӑ,Blatt
125,Birke::N,хурӑн,Birke
126,Kiefer[Baum]::N,хыр,Kiefer
127,Weide[Baum]::N,хӑва,Weide
128,Tanne::N,чӑрӑш,Tanne
129,Horn::N,мӑйрака,Horn
130,Feder::N,тӗк,Feder
131,Fell::N,ҫӑм,Fell
132,Flügel::N,ҫунат,Flügel
133,Klaue::N,чӗрне,Klaue
134,Kralle::N,ура,Kralle
135,Schwanz::N,хӳре,Schwanz
136,Ei::N,ҫӑмарта,Ei
137,Nest::N,йӑва,Nest
138,Bau::N,йӗнӗ,Bau
139,Tier::N,выльӑх,Tier
140,Herde::N,кӗтӳ,Herde
141,Kuh::N,ӗне,Kuh
142,Bulle::N,вӑкӑр,Bulle
143,Pferd::N,лаша,Pferd
144,Schaf::N,сурӑх,Schaf
145,Schwein::N,сысна,Schwein
146,Hund::N,йытӑ,Hund
147,Katze::N,кушак,Katze
148,Bär::N,упа,Bär
149,Eichhörnchen::N,пакша,Eichhörnchen
150,Elch::N,пӑши,Elch
151,Fuchs::N,тилӗ,Fuchs
152,Hase::N,куян,Hase
153,Hase::N,мулкач,Hase
154,Maus::N,шӑши,Maus
155,Wolf::N,кашкӑр,Wolf
156,Vogel::N,кайӑк,Vogel
157,Vogel::N,вӗҫен кайӑк,Vogel
158,Schwarm::N,ушкӑн,Schwarm
159,Huhn::N,чӑх,Huhn
160,Huhn::N,чӑхӑ,Huhn
161,Hahn::N,автан,Hahn
162,Gans::N,хур,Gans
163,Adler::N,ӑмӑрт кайӑк,Adler
164,Ente::N,кӑвакал,Ente
165,Eule::N,тӑмана,Eule
166,Kranich::N,тӑрна,Kranich
167,Krähe::N,ула курак,Krähe
168,Kuckuck::N,куккук,Kuckuck
169,Schwan::N,акӑш,Schwan
170,Fisch::N,пулӑ,Fisch
171,Barsch::N,уланкӑ,Barsch
172,Hecht::N,ҫӑрттан,Hecht
173,Schlange[Tier]::N,ҫӗлен,Schlange
174,Wurm::N,ӑман,Wurm
175,Spinne::N,эрешмен,Spinne
176,Ameise::N,кӑткӑ,Ameise
177,Laus::N,пыйтӑ,Laus
178,Mücke::N,вӑрӑм туна,Mücke
179,Fliege::N,шӑна,Fliege
180,Schmetterling::N,лӗпӗш,Schmetterling
181,Beere::N,ҫырла,Beere
182,Apfel::N,улма,Apfel
183,Apfel::N,пан улми,Apfel
184,Pilz::N,кӑмпа,Pilz
185,Zwiebel::N,сухан,Zwiebel
186,Saat::N,вӑрӑ,Saat
187,Korn::N,тӗшӗ,Korn
188,Korn::N,пӗрчӗ,Korn
189,Heu::N,утӑ,Heu
190,Schale::N,хупӑ,Schale
191,Grube::N,шӑтӑк,Grube
192,Falle::N,тапӑ,Falle
193,Falle::N,капкӑн,Falle
194,Schlinge::N,йӑлӑ,Schlinge
195,Spur::N,йӗр,Spur
196,Asche::N,кӗл,Asche
197,Dreck::N,пылчӑк,Dreck
198,Eisen::N,тимӗр,Eisen
199,Gold::N,ылтӑн,Gold
200,Silber::N,кӗмӗл,Silber
201,Kohle::N,кӑмрӑк,Kohle
202,Glas::N,кӗленче,Glas
203,Lehm::N,тӑм,Lehm
204,Sand::N,хӑйӑр,Sand
205,Mensch::N,ҫын,Mensch
206,Mensch::N,этем,Mensch
207,Mann::N,ар,Mann
208,Frau::N,хӗрарӑм,Frau
209,Kind::N,ача,Kind
210,Junge::N,ача,Junge
211,Junge::N,ар ҫын ача,Junge
212,Mädchen::N,хӗр ача,Mädchen
213,Familie::N,ҫемье,Familie
214,Familie::N,кил-йыш,Familie
215,Großvater::N,кукаҫи,Großvater
216,Großmutter::N,кукамай,Großmutter
217,Eltern::N,аҫа-ама,Eltern
218,Vater::N,атте,Vater
219,Mutter::N,анне,Mutter
220,Sohn::N,ывӑл,Sohn
221,Tochter::N,хӗр,Tochter
222,Bruder::N,ар тӑван,Bruder
223,Schwester::N,аппа,Schwester
224,Schwester::N,йӑмӑк,Schwester
225,Onkel::N,мучи,Onkel
226,Onkel::N,пичче,Onkel
227,Tante::N,аппа,Tante
228,Ehemann::N,упӑшка,Ehemann
229,Ehefrau::N,арӑм,Ehefrau
230,Freude::N,савӑнӑҫ,Freude
231,Freude::N,хаваслӑх,Freude
232,Gelächter::N,кулӑ,Gelächter
233,Glück::N,телей,Glück
234,Glück::N,ӑраскал,Glück
235,Kummer::N,хурлӑх,Kummer
236,Wunsch::N,ӗмӗт,Wunsch
237,Wunsch::N,кӑмӑл,Wunsch
238,Lust::N,кӑмӑл,Lust
239,Geist::N,чун-чӗм,Geist
240,Geist::N,ыр-усал,Geist
241,Geist::N,чун хавалӗ,Geist
242,Gedanke::N,шухӑш,Gedanke
243,Gedächtnis::N,ас,Gedächtnis
244,Verstand::N,ӑс,Verstand
245,Verstand::N,ӑс-тӑн,Verstand
246,Verstand::N,ӑс-хакӑл,Verstand
247,Sinn::N,тупсӑм,Sinn
248,Sinn::N,пӗлтерӗш,Sinn
249,Grund::N,сӑлтав,Grund
250,Wahrheit::N,чӑнлӑх,Wahrheit
251,Gespräch::N,калаҫу,Gespräch
252,Märchen::N,юмах,Märchen
253,Erzählung::N,акалав,Erzählung
254,Erzählung::N,каласа пани,Erzählung
255,Nachricht::N,хыпар,Nachricht
256,Neuigkeit::N,ҫӗнӗ хыпар,Neuigkeit
257,Name::N,ят,Name
258,Rätsel::N,сутмалли юмах,Rätsel
259,Rede::N,сӑмах,Rede
260,Sprache::N,чӗлхе,Sprache
261,Stimme::N,сасӑ,Stimme
262,Wort::N,сӑмах,Wort
263,Zeichen::N,паллӑ,Zeichen
264,Ruf::N,йыхрав,Ruf
265,Ruf::N,чӗнӳ,Ruf
266,Lärm::N,шав,Lärm
267,Laut::N,сасӑ,Laut
268,Ton::N,сасӑ,Ton
269,Lied::N,юрӑ,Lied
270,Ruhe::N,канӑҫлӑх,Ruhe
271,Ruhe::N,лӑпкӑлӑх,Ruhe
272,Leute::N,ҫамрӑксем,Leute
273,Leute::N,ҫамрӑк ҫынсем,Leute
274,Volk::N,халӑх,Volk
275,Arbeit::N,ӗҫхӗл,Arbeit
276,Arbeit::N,ӗҫлев,Arbeit
277,Gast::N,хӑна,Gast
278,Geschenk::N,парне,Geschenk
279,Geschenk::N,кучченеҫ,Geschenk
280,Spiel::N,вӑйӑ,Spiel
281,Gesellschaft::N,общество,Gesellschaft
282,Hilfe::N,пулӑшу,Hilfe
283,Freund::N,тус,Freund
284,Kamerad::N,юлташ,Kamerad
285,Kamerad::N,тус,Kamerad
286,Angelegenheit::N,ӗҫ,Angelegenheit
287,Anzahl::N,йыш,Anzahl
288,Anzahl::N,хисеп,Anzahl
289,Art::N,тӗс,Art
290,Stück::N,татӑк,Stück
291,Teil::N,пай,Teil
292,Hälfte::N,ҫурӑ,Hälfte
293,Kreis::N,ункӑ,Kreis
294,Kreis::N,ҫавракӑш,Kreis
295,Kreuz::N,хӗрес,Kreuz
296,Linie::N,йӗр,Linie
297,Strich::N,йӗр,Strich
298,Abstand::N,хушӑ,Abstand
299,Entfernung::N,хушӑ,Entfernung
300,Gegend::N,вырӑн,Gegend
301,Platz::N,хутлӑх,Platz
302,Ort::N,вырӑн,Ort
303,Seite::N,ен,Seite
304,Seite::N,аяк,Seite
305,Seite::N,айӑк,Seite
306,Mitte::N,варӑ,Mitte
307,Gegenstand::N,япала,Gegenstand
308,Sache::N,япала,Sache
309,Rand::N,вӗҫ,Rand
310,Rand::N,хӗрӗ,Rand
311,Rand::N,хӗрри,Rand
312,Kante::N,хайкача,Kante
313,Kante::N,хысак,Kante
314,Ecke::N,кӗтес,Ecke
315,Spitze::N,вӗҫ,Spitze
316,Ende::N,вӗҫ,Ende
317,Loch::N,шӑтӑк,Loch
318,Winkel::N,кӗтес,Winkel
319,Muster::N,эреш,Muster
320,Größe::N,пысӑкӑш,Größe
321,Länge::N,вӑрӑмӑш,Länge
322,Höhe::N,ҫӳллӗш,Höhe
323,Gewicht::N,виҫе,Gewicht
324,Gewicht::N,йывӑрӑш,Gewicht
325,Menge::N,йыш,Menge
326,Haufen::N,купа,Haufen
327,Reihe::N,рет,Reihe
328,Boot::N,кимӗ,Boot
329,Ruder::N,кӗсмен,Ruder
330,Schlitten::N,ҫуна,Schlitten
331,Ski::N,йӗлтӗр,Ski
332,Lagerfeuer::N,вут,Lagerfeuer
333,Lagerfeuer::N,кӑвайт,Lagerfeuer
334,Last::N,сулмаклӑх,Last
335,Last::N,йывӑр япала,Last
336,Gang::N,куҫӑм,Gang
337,Schritt::N,утӑм,Schritt
338,Schritt::N,пусӑм,Schritt
339,Norden::N,ҫурҫӗр,Norden
340,Süden::N,кӑнтӑр,Süden
341,Westen::N,анӑҫ,Westen
342,Westen::N,хӗвел анӑҫ,Westen
343,Osten::N,хӗвел тухӑҫ,Osten
344,Holz::N,йывӑҫ,Holz
345,Brett::N,хӑма,Brett
346,Platte::N,плита,Platte
347,Stütze::N,ура,Stütze
348,Stange::N,шерте,Stange
349,Stock::N,патак,Stock
350,Stab::N,шӑчӑ,Stab
351,Rohr::N,пӑрӑх,Rohr
352,Haus::N,ҫурт,Haus
353,Heim::N,кил,Heim
354,Ofen::N,кӑмака,Ofen
355,Fußboden::N,урай,Fußboden
356,Tisch::N,сӗтел,Tisch
357,Stuhl::N,пукан,Stuhl
358,Wiege::N,сӑпка,Wiege
359,Bett::N,кравать,Bett
360,Regal::N,ҫӳлӗк,Regal
361,Regal::N,сентре,Regal
362,Kiste::N,ещӗк,Kiste
363,Kiste::N,сунтӑх,Kiste
364,Fenster::N,чӳрече,Fenster
365,Tür::N,алӑк,Tür
366,Tor::N,хапха,Tor
367,Zaun::N,хӳме,Zaun
368,Dach::N,тӑрӑ,Dach
369,Leiter::N,пусма,Leiter
370,Besen::N,шӑпӑр,Besen
371,Spaten::N,кӗреҫе,Spaten
372,Schaufel::N,кӗреҫе,Schaufel
373,Gabel::N,вилка,Gabel
374,Löffel::N,кашӑк,Löffel
375,Messer::N,ҫӗҫӗ,Messer
376,Nagel::N,пӑта,Nagel
377,Netz::N,тетел,Netz
378,Haken::N,йӑрхах,Haken
379,Haken::N,ҫекӗл,Haken
380,Griff::N,хӑлӑп,Griff
381,Schloss::N,ҫӑра,Schloss
382,Bild::N,сӑн,Bild
383,Bild::N,сӑнлӑх,Bild
384,Bild::N,картина,Bild
385,Figur::N,кӗлетке,Figur
386,Puppe::N,пукане,Puppe
387,Beutel::N,михӗ,Beutel
388,Bündel::N,ҫыхӑ,Bündel
389,Bündel::N,тӗрке,Bündel
390,Tasche::N,сумка,Tasche
391,Eimer::N,витре,Eimer
392,Deckel::N,хупӑ,Deckel
393,Geschirr::N,савӑт-сапа,Geschirr
394,Sack::N,михӗ,Sack
395,Tasse::N,курка,Tasse
396,Topf::N,кастрюль,Topf
397,Kessel::N,хуран,Kessel
398,Essen::N,апат,Essen
399,Nahrung::N,апат-ҫимӗс,Nahrung
400,Speise::N,апат,Speise
401,Speise::N,ҫимӗҫ,Speise
402,Fleisch::N,аш,Fleisch
403,Fleisch::N,какай,Fleisch
404,Getreide::N,тырӑ,Getreide
405,Brei::N,пӑтӑ,Brei
406,Brot::N,ҫӑкӑр,Brot
407,Scheibe::N,чӗлӗ,Scheibe
408,Scheibe::N,касӑк,Scheibe
409,Fett::N,ҫу,Fett
410,Butter::N,ҫу,Butter
411,Öl::N,ҫу,Öl
412,Salz::N,тӑвар,Salz
413,Suppe::N,яшка,Suppe
414,Honig::N,пыл,Honig
415,Milch::N,сӗт,Milch
416,Tee::N,чей,Tee
417,Leder::N,сӑран,Leder
418,Wolle::N,ҫӑм,Wolle
419,Stoff::N,тӗртӗм,Stoff
420,Nadel::N,йӗп,Nadel
421,Faden::N,ҫип,Faden
422,Knopf::N,тӳме,Knopf
423,Knoten::N,йӑлӑ,Knoten
424,Farbe::N,сӑрӑ,Farbe
425,Kleidung::N,тум,Kleidung
426,Kleidung::N,ҫипуҫ,Kleidung
427,Kleidung::N,тум-тир,Kleidung
428,Hemd::N,кӗпе,Hemd
429,Kragen::N,ҫуха,Kragen
430,Ärmel::N,ҫанӑ,Ärmel
431,Hose::N,шӑлавар,Hose
432,Gürtel::N,пиҫиххи,Gürtel
433,Mütze::N,ҫӗлӗк,Mütze
434,Schuh::N,пушмак,Schuh
435,Schuh::N,ботинок,Schuh
436,Stiefel::N,атӑ,Stiefel
437,Ring::N,ҫӗрӗ,Ring
438,Band::N,хаю,Band
439,Band::N,йӗсме,Band
440,Kamm::N,тура,Kamm
441,Spiegel::N,тӗкӗр,Spiegel
442,Spiegel::N,куҫ кӗски,Spiegel
443,Riemen::N,чӗн,Riemen
444,Schnur::N,кантра,Schnur
445,Leine::N,касмӑк,Leine
446,Decke::N,утиял,Decke
447,Kissen::N,ҫытар,Kissen
448,Kissen::N,минтер,Kissen
449,Tuch::N,тутӑр,Tuch
450,Handtuch::N,ал шӑлли,Handtuch
451,Kraft::N,вӑй,Kraft
452,Kraft::N,хӑват,Kraft
453,Stärke::N,хал,Stärke
454,Stärke::N,хӑват,Stärke
455,Gesundheit::N,хал,Gesundheit
456,Gesundheit::N,сывлӑх,Gesundheit
457,Krankheit::N,чир,Krankheit
458,Schmerz::N,ырату,Schmerz
459,Wunde::N,суран,Wunde
460,Fieber::N,сив чир,Fieber
461,Arznei::N,эмел,Arznei
462,Brücke::N,кӗпер,Brücke
463,Brunnen::N,ҫӑл,Brunnen
464,Brunnen::N,пусӑ,Brunnen
465,Weide::N,ҫаран,Weide
466,Pfad::N,йӗр,Pfad
467,Pfad::N,сукмак,Pfad
468,Weg::N,ҫул,Weg
469,Weg::N,ҫул-йӗр,Weg
470,Straße::N,ҫӳрев,Straße
471,Straße::N,ҫул ҫӳрени,Straße
472,Dorf::N,ял,Dorf
473,Stadt::N,хула,Stadt
474,Brief::N,ҫыру,Brief
475,Buch::N,кӗнеке,Buch
476,Buchstabe::N,сас палли,Buchstabe
477,Zeitung::N,хаҫат,Zeitung
478,Leben::N,пурнӑҫ,Leben
479,Tod::N,вилӗм,Tod
480,Grab::N,масар шӑтӑкӗ,Grab
481,Kirche::N,чиркӳ,Kirche
482,Sünde::N,ҫылӑх,Sünde
483,Gott::N,турӑ,Gott
484,Arbeiter::N,рабочи,Arbeiter
485,Chef::N,пуҫлӑх,Chef
486,Meister::N,ӑста,Meister
487,Meister::N,мастер,Meister
488,Arzt::N,врач,Arzt
489,Arzt::N,тухтӑр,Arzt
490,Lehrer::N,учитель,Lehrer
491,Lehrer::N,вӗрентекен,Lehrer
492,Geld::N,укҫа,Geld
493,Geschäft::N,бизнес,Geschäft
494,Laden::N,магазин,Laden
495,Preis::N,хак,Preis
496,Ware::N,тавар,Ware
497,Nutzen::N,пайта,Nutzen
498,Reichtum::N,мул,Reichtum
499,Welt::N,тӗнче,Welt
500,Land::N,ҫӗр-шыв,Land
501,Staat::N,патшàлӑх,Staat
502,König::N,король,König
503,Macht::N,власть,Macht
504,Grenze::N,чикӗ,Grenze
505,Krieg::N,вӑрҫӑ,Krieg
506,Feind::N,тӑшман,Feind
507,Gewalt::N,ирӗксӗрлӳ,Gewalt
508,Kampf::N,кӗрешӳ,Kampf
509,Bogen[Waffe]::N,ухӑ,Bogen
510,Pfeil::N,ҫӗмрен,Pfeil
511,Pfeil::N,ухӑ йӗппи,Pfeil
512,Gewehr::N,пӑшал,Gewehr
513,Fehler::N,йӑнӑш,Fehler
514,Lüge::N,суя,Lüge
515,Lüge::N,ултав,Lüge
516,Schaden::N,сиен,Schaden
517,Unglück::N,шар,Unglück
518,Unglück::N,инкек,Unglück
519,Schuld::N,айӑп,Schuld
520,Alter::N,ҫул шучӗ,Alter
521,Schluss::N,пӗтни,Schluss
522,Schluss::N,пӗтмӗш,Schluss
523,Zeit::N,вӑхӑт,Zeit
524,Tag::N,кун,Tag
525,Morgen::N,ир,Morgen
526,Mittag::N,кӑнтӑрла,Mittag
527,Abend::N,каҫ,Abend
528,Nacht::N,каҫ,Nacht
529,Woche::N,эрне,Woche
530,Monat::N,уйӑх,Monat
531,Jahr::N,ҫулталӑк,Jahr
532,Frühling::N,ҫур,Frühling
533,Frühling::N,ҫуркунне,Frühling
534,Sommer::N,ҫу,Sommer
535,Sommer::N,ҫулла,Sommer
536,Herbst::N,кӗр,Herbst
537,Herbst::N,кӗркунне,Herbst
538,Winter::N,хӗл,Winter
539,Winter::N,хӗлле,Winter
540,Januar::N,январь,Januar
541,Februar::N,февраль,Februar
542,Februar::N,кӗҫӗн кӑрлач,Februar
543,März::N,март,März
544,März::N,пуш уйӑхӗ,März
545,April::N,апрель,April
546,Mai::N,май,Mai
547,Juni::N,июнь,Juni
548,Juli::N,июль,Juli
549,August::N,август,August
550,September::N,сентябрь,September
551,September::N,авӑн уйӑхӗ,September
552,Oktober::N,октябрь,Oktober
553,November::N,ноябрь,November
554,Dezember::N,раштав,Dezember
555,Dezember::N,декабрь,Dezember
556,Montag::N,тунти кун,Montag
557,Dienstag::N,ытлари кун,Dienstag
558,Mittwoch::N,юн кун,Mittwoch
559,Donnerstag::N,кӗҫнерни кун,Donnerstag
560,Freitag::N,эрне кун,Freitag
561,Samstag::N,шӑмат кун,Samstag
562,Sonntag::N,вырсарни кун,Sonntag
563,groß::A,пысӑк,groß
564,klein::A,пӗчӗк,klein
565,lang::A,вӑрӑм,lang
566,kurz::A,кӗске,kurz
567,breit::A,сарлака,breit
568,schmal::A,ансӑр,schmal
569,dicht::A,йӑвӑ,dicht
570,dick[Gegenstand]::A,хулӑн,dick
571,dünn::A,ҫинҫе,dünn
572,dünn::A,ҫӳхе,dünn
573,fein::A,тарай,fein
574,fein::A,вӗлтӗрти,fein
575,fest::A,тӗреклӗ,fest
576,flach::A,лаптак,flach
577,glatt::A,такӑр,glatt
578,hart::A,хытӑ,hart
579,weich::A,ҫемҫе,weich
580,rund::A,ҫавра,rund
581,spitz::A,шӗвӗр,spitz
582,scharf::A,ҫивӗч,scharf
583,stumpf::A,мӑка,stumpf
584,stumpf::A,пуклак,stumpf
585,stumpf::A,тӗрӗнчӗк,stumpf
586,stumpf::A,ӑнкарусӑр,stumpf
587,schwer::A,йывӑр,schwer
588,schön::A,илемлӗ,schön
589,heiß::A,вӗри,heiß
590,warm::A,ӑшӑ,warm
591,kalt::A,сивӗ,kalt
592,kühl::A,уҫӑ,kühl
593,frisch::A,уҫӑ,frisch
594,feucht::A,йӗпе,feucht
595,nass::A,нӳрӗ,nass
596,trocken::A,типӗ,trocken
597,voll::A,тулли,voll
598,leer::A,пушӑ,leer
599,offen::A,уҫӑ,offen
600,geschlossen::A,хупӑ,geschlossen
601,sauber::A,таса,sauber
602,schmutzig::A,пылчӑклӑ,schmutzig
603,schmutzig::A,вараланчӑк,schmutzig
604,roh::A,чӗрӗ,roh
605,reif::A,пулнӑ,reif
606,reif::A,пиҫӗхнӗ,reif
607,reif::A,аталаннӑ,reif
608,reif::A,пиҫсе ҫитнӗ,reif
609,lecker::A,тутлӑ,lecker
610,lecker::A,техӗмлӗ,lecker
611,süß::A,пылак,süß
612,bitter::A,йӳҫӗ,bitter
613,sauer::A,йӳҫӗ,sauer
614,sauer::A,йӳҫек,sauer
615,sauer::A,кӑвасак,sauer
616,hell::A,ҫутӑ,hell
617,dunkel::A,тӗттӗм,dunkel
618,schwarz::A,хура,schwarz
619,weiß::A,шурӑ,weiß
620,rot::A,хӗрлӗ,rot
621,gelb::A,сарӑ,gelb
622,blau::A,кӑвак,blau
623,grün::A,симӗс,grün
624,grün::A,пиҫмен,grün
625,grün::A,ӑс пухман,grün
626,grau::A,кӑвак,grau
627,bunt::A,чӑпар,bunt
628,billig::A,йӳнӗ,billig
629,teuer::A,хаклӑ,teuer
630,wertvoll::A,паха,wertvoll
631,blind::A,суккӑр,blind
632,taub::A,хӑлхасӑр,taub
633,kräftig::A,хӑватлӑ,kräftig
634,stark::A,вирлӗ,stark
635,schwach::A,халсӑр,schwach
636,fett::A,самӑр,fett
637,fett::A,мӑнтӑр,fett
638,schlank::A,йӑрӑс,schlank
639,schlank::A,яштака,schlank
640,hübsch::A,хитре,hübsch
641,böse::A,усал,böse
642,dumm::A,ухмах,dumm
643,faul::A,наян,faul
644,faul::A,юлхав,faul
645,faul::A,ӳркенчӗк,faul
646,fleißig::A,хастар,fleißig
647,geizig::A,хытӑ,geizig
648,klug::A,ӑслӑ,klug
649,geschickt::A,ӑста,geschickt
650,lieb::A,савнӑ,lieb
651,lustig::A,хаваслӑ,lustig
652,sanft::A,ачаш,sanft
653,hungrig::A,выҫӑ,hungrig
654,krank::A,чирлӗ,krank
655,nackt::A,ҫара,nackt
656,traurig::A,салхуллӑ,traurig
657,lebendig::A,чӗрӗ,lebendig
658,gut::A,аван,gut
659,gut::A,лайӑх,gut
660,schlecht::A,япӑх,schlecht
661,schlecht::A,начар,schlecht
662,richtig::A,тӗрӗс,richtig
663,schlimm::A,йӗрӗнчӗк,schlimm
664,wahr::A,чӑн,wahr
665,alt::A,кивӗ,alt
666,neu::A,ҫӗнӗ,neu
667,ehemalig::A,пулнӑ,ehemalig
668,alt[Lebewesen]::A,ватӑ,alt
669,jung::A,яш,jung
670,jung::A,ҫамрӑк,jung
671,arm::A,чухӑн,arm
672,reich::A,пуян,reich
673,bekannt::A,пӗлӗш,bekannt
674,berühmt::A,чаплӑ,berühmt
675,fremd::A,ют,fremd
676,verschieden::A,расна,verschieden
677,nah::A,ҫывӑх,nah
678,nah::A,ҫывӑхри,nah
679,fern::A,инҫе,fern
680,fern::A,аякри,fern
681,linker::A,сулахай,linker
682,rechter::A,сылтӑм,rechter
683,anderer::A,урӑх,anderer
684,erster::A,пӗрремӗш,erster
685,zweiter::A,иккӗмӗш,zweiter
686,dritter::A,виҫҫӗмӗш,dritter
687,letzter::A,юлашки,letzter
688,allein::ADV,пӗччен,allein
689,auf einmal::ADV,кӗмӗрккен,auf einmal
690,zusammen::ADV,пӗрле,zusammen
691,lange::ADV,вӑрах,lange
692,plötzlich::ADV,сасартӑк,plötzlich
693,sofort::ADV,тӳрех,sofort
694,später::ADV,кайран,später
695,jetzt::ADV,халь,jetzt
696,jetzt::ADV,халӗ,jetzt
697,heute::ADV,паян,heute
698,morgen::ADV,ыран,morgen
699,bald::ADV,халех,bald
700,bald::ADV,кӗҫех,bald
701,dann::ADV,унтан,dann
702,gestern::ADV,ӗнер,gestern
703,einst::ADV,пӗррехинче,einst
704,damals::ADV,ун чухне,damals
705,damals::ADV,апла пулсан,damals
706,danach::ADV,унтан,danach
707,vorher::ADV,малтан,vorher
708,zuerst::ADV,пирвай,zuerst
709,einmal::ADV,пӗррехинче,einmal
710,manchmal::ADV,хӑш чухне,manchmal
711,oft::ADV,тӑтӑш,oft
712,immer::ADV,ялан,immer
