,Concept_ID,ba,mn
105,Schaum::N,күбек,хөөс
106,Schmutz::N,батҡаҡ,хир
107,Schmutz::N,батҡаҡ,шавхай
108,See::N,күл,нуур
109,Sumpf::N,һаҙлык,намаг
110,Sumpf::N,һаҙлык,балчиг
111,Moor::N,һаҙ,хүлрийн намаг
112,Wiese::N,болон,нуга
113,Wald::N,урман,ой
114,Hügel::N,түбә,болдог
115,Anhöhe::N,түбә,гүвээ
116,Anhöhe::N,ҡалҡыулыҡ,гүвээ
117,Berg::N,тау,уул
118,Gipfel::N,түбә,орой
119,Gipfel::N,түбә,оргил
120,Höhle::N,мәмерйә,агуй
121,Abhang::N,ипкен,хүр
122,Quelle::N,шишмә,булаг
123,Bach::N,шишмә,горхи
124,Fluss::N,йылға,гол
125,Fluss::N,йылға,мөрөн
126,Ufer::N,яр,эрэг
127,Küste::N,яр буйы,эрэг
128,Festland::N,ҡоро ер,хуурай газар
129,Meer::N,диңгез,далай
130,Meer::N,диңгез,тэнгис
131,Bucht::N,бухта,булан
132,Bucht::N,бухта,далайн тохой
133,Insel::N,үтрау,арал
134,Blume::N,сәскә,цэцэг
135,Gras::N,үлән,өвс
136,Gras::N,үлән,ногоо
137,Wurzel::N,тамыр,үндэс
138,Baum::N,ағас,мод
139,Stamm::N,олон,иш
140,Stamm::N,олон,гуалин
141,Stamm::N,көбәк,иш
142,Stamm::N,көбәк,гуалин
143,Rinde::N,ҡабыҡ,холтос
144,Ast::N,ботаҡ,гишүү
145,Zweig::N,ботаҡ,салаа
146,Zweig::N,тармаҡ,салаа
147,Blatt::N,япраҡ,навч
148,Birke::N,ҡайын,хус
149,Kiefer[Baum]::N,ҡарғай,нарс
150,Weide[Baum]::N,тал,уд
151,Weide[Baum]::N,тал,бургас
152,Tanne::N,шыршы,гачуур
153,Horn::N,мөғөҙ,эвэр
154,Feder::N,ҡауырһын,өд
155,Fell::N,тире,арьс
156,Flügel::N,ҡанат,жигүүр
157,Flügel::N,ҡанат,далавч
158,Klaue::N,тырнаҡ,савар
159,Klaue::N,тырнаҡ,хумс
160,Kralle::N,аяҡ,савар
161,Schwanz::N,ҡойроҡ,сүүл
162,Ei::N,йомортҡа,өндөг
163,Nest::N,оя,үүр
164,Bau::N,оң,нүх
165,Bau::N,оң,элүү
166,Tier::N,жайуан,амьтан
167,Tier::N,жайуан,адгуус
168,Tier::N,йыртҡыс,амьтан
169,Tier::N,йыртҡыс,адгуус
170,Herde::N,көтөү,сүрэг
171,Kuh::N,һыйыр,үнээ
172,Bulle::N,үгеҙ,бух
173,Pferd::N,ат,морь
174,Pferd::N,ат,адуу
175,Schaf::N,һарыҡ,хонь
176,Schwein::N,сусҡа,гахай
177,Hund::N,эт,нохой
178,Katze::N,бесәй,муур
179,Katze::N,бесәй,мигуй
180,Bär::N,айыу,баавгай
181,Eichhörnchen::N,тейен,хэрэм
182,Elch::N,мышы,хандгай
183,Fuchs::N,төлкө,үнэг
184,Hase::N,ҡуян,туулай
185,Maus::N,сысҡан,хулгана
186,Wolf::N,бүре,чоно
187,Vogel::N,ҡош,шувуу
188,Schwarm::N,көтөү,сүрэг
189,Huhn::N,тауыҡ,тахиа
190,Hahn::N,әтәс,эр тахиа
191,Gans::N,ҡаҙ,галуу
192,Adler::N,бөркөт,бүргэд
193,Ente::N,өйрәк,нугас
194,Eule::N,өкө,ууль
195,Eule::N,ябалаҡ,ууль
196,Kranich::N,торна,тогоруу
197,Krähe::N,ҡарға,хэрээ
198,Kuckuck::N,кәкүк,хөхөө
199,Schwan::N,аҡҡош,хун
200,Fisch::N,балыҡ,загас
201,Barsch::N,алабуға,алгана
202,Hecht::N,суртан,цурхай
203,Schlange[Tier]::N,йылан,могой
204,Wurm::N,селяүсен,өт
205,Wurm::N,селяүсен,хорхой
206,Spinne::N,үрмәксе,аалз
207,Ameise::N,ҡырмыҫҡа,шоргоолж
208,Laus::N,бет,бөөс
209,Mücke::N,серәкәй,шумуул
210,Fliege::N,себен,ялаа
211,Schmetterling::N,күбәләк,эрвээхэй
212,Beere::N,еләк,жимсгэнэ
213,Apfel::N,алма,алим
214,Pilz::N,бәшмәк,мөөг
215,Zwiebel::N,һуган,сонгино
216,Saat::N,орлоҡ,тариа
217,Korn::N,иген,үр
218,Korn::N,иген,мөхлөг
219,Heu::N,бесән,өвс
220,Schale::N,ҡабыҡ,хальс
221,Grube::N,соҡор,алам
222,Grube::N,соҡор,нүх
223,Falle::N,тоҙак,хавх
224,Falle::N,тоҙак,занга
225,Falle::N,ҡапҡан,хавх
226,Falle::N,ҡапҡан,занга
227,Schlinge::N,тоҙак,урхи
228,Spur::N,әҫер,мөр
229,Asche::N,көл,үнс
230,Dreck::N,батҡаҡ,хир
231,Eisen::N,тимер,төмөр
232,Gold::N,алтын,алт
233,Silber::N,көмөш,мөнгө
234,Kohle::N,күмер,нүүрс
235,Glas::N,быяла,шил
236,Lehm::N,балсыҡ,шавар
237,Sand::N,ҡом,элс
238,Mensch::N,кеше,хүн
239,Mann::N,ир,эр
240,Mann::N,ир,эрэгтэй
241,Frau::N,ҡатын,эмэгтэй
242,Frau::N,ҡатын,хатагтай
243,Kind::N,бала,хүүхэд
244,Junge::N,малай,хүү
245,Mädchen::N,ҡыҙ,охин
246,Mädchen::N,ҡыҙ,бүсгүй
247,Mädchen::N,ҡыҙыҡай,охин
248,Mädchen::N,ҡыҙыҡай,бүсгүй
249,Familie::N,ғаилә,айл
250,Großvater::N,олатай,өвгөн аав
251,Großmutter::N,әбәй,эмэг эх
252,Großmutter::N,әбәй,эмгээ
253,Eltern::N,ата-әсә,эцэг эх
254,Vater::N,атай,аав
255,Vater::N,атай,эцэг
256,Mutter::N,әсә,эх
257,Mutter::N,әсә,ээж
258,Sohn::N,ул,хүү
259,Tochter::N,ҡыҙ,охин
260,Bruder::N,агай,ах
261,Bruder::N,агай,дүү
262,Schwester::N,алай,эгч
263,Schwester::N,алай,охин дүү
264,Schwester::N,һеңле,эгч
265,Schwester::N,һеңле,охин дүү
266,Onkel::N,ағай,авга ах
267,Onkel::N,ағай,нагац ах
268,Tante::N,апай,авга эгч
269,Tante::N,апай,нагац эгч
270,Ehemann::N,ир,нөхөр
271,Ehefrau::N,ҡатын,эхнэр
272,Ehefrau::N,ҡатын,гэргий
273,Freude::N,шатлыҡ,баяр
274,Freude::N,шатлыҡ,баясгалан
275,Freude::N,ҡыуаныс,баяр
276,Freude::N,ҡыуаныс,баясгалан
277,Gelächter::N,көлөү,инээдэм
278,Glück::N,бәхет,жаргалан
279,Kummer::N,ҡайғы,гаслан
280,Wunsch::N,теләк,ерөөл
281,Lust::N,әүәҫлек,дур
282,Lust::N,әүәҫлек,хүсэл
283,Geist::N,аң,оюун
284,Geist::N,рух,оюун
285,Gedanke::N,уй,сэтгэл
286,Gedanke::N,фекер,сэтгэл
287,Gedächtnis::N,хәтер,ой
288,Gedächtnis::N,хәтер,цээж
289,Verstand::N,аҡыл,ухаан
290,Sinn::N,мәғәня,утга
291,Grund::N,сәбәп,учир
292,Wahrheit::N,дөрөҫлөк,үнэн
293,Gespräch::N,әңгәмә,яриа
294,Märchen::N,әкиәт,явган үлгэр
295,Erzählung::N,хикәйә,тууж
296,Nachricht::N,хәбәр,мэдээ
297,Neuigkeit::N,яңылыҡ,сонин
298,Name::N,исем,нэр
299,Rätsel::N,йомаҡ,оньсого
300,Rede::N,телмәр,хэлсэн үг
301,Sprache::N,тел,хэл
302,Sprache::N,телмәр,хэл
303,Stimme::N,тауыш,дуу
304,Wort::N,һүҙ,үг
305,Zeichen::N,билдә,тамга
306,Zeichen::N,билдә,тэмдэг
307,Ruf::N,саҡырыу,дуудлага
308,Lärm::N,шаулау,шуугиан
309,Lärm::N,шаулау,чимээ
310,Laut::N,тауыш,анир
311,Laut::N,тауыш,дуу
312,Ton::N,яңғырау,авиа
313,Ton::N,яңғырау,аялгуу
314,Lied::N,йыр,дуу
315,Ruhe::N,ял,энх
316,Ruhe::N,ял,тайван
317,Ruhe::N,тыныслыҡ,энх
318,Ruhe::N,тыныслыҡ,тайван
319,Leute::N,кешеләр,хүмүүс
320,Volk::N,халҡ,улс
321,Arbeit::N,эш,ажил
322,Arbeit::N,эш,хөдөлмөр
323,Gast::N,ҡунаҡ,зочин
324,Gast::N,ҡунаҡ,айлчин
325,Geschenk::N,бүләк,бэлэг
326,Spiel::N,уйын,наадам
327,Spiel::N,уйын,тоглоом
328,Gesellschaft::N,йәмғиәт,хамт байх
329,Hilfe::N,ярҙам,тусламж
330,Freund::N,дуҫ,найз
331,Freund::N,дуҫ,нөхөр
332,Kamerad::N,иптәш,хань
333,Kamerad::N,иптәш,нөхөр
334,Angelegenheit::N,әш,хэрэг
335,Anzahl::N,һан,тоо
336,Art::N,төр,төрөл
337,Art::N,төр,янз
338,Stück::N,киҫәк,хэсэг
339,Teil::N,өлөш,хувь
340,Teil::N,өлөш,хэсэг
341,Hälfte::N,ярты,хагас
342,Kreis::N,түңәрәк,тойрог
343,Kreis::N,түңәрәк,хүрээ
344,Kreuz::N,тәре,загалмай
345,Linie::N,һыҙыҡ,шугам
346,Strich::N,һыҙат,зураас
347,Abstand::N,ара,зай
348,Entfernung::N,алыҫлыҡ,зай
349,Entfernung::N,алыҫлыҡ,хол ойр
350,Gegend::N,урын,хавь
351,Gegend::N,урын,газар
352,Platz::N,арауыҡ,зай
353,Platz::N,арауыҡ,завсар
354,Ort::N,ерҙәр,газар
355,Ort::N,ерҙәр,байр
356,Ort::N,урындар,газар
357,Ort::N,урындар,байр
358,Ort::N,эш урыны,газар
359,Ort::N,эш урыны,байр
360,Seite::N,яҡ,тал
361,Seite::N,яҡ,этгээд
362,Mitte::N,урталыҡ,төв
363,Mitte::N,урталыҡ,дунд
364,Gegenstand::N,нәмә,юм
365,Sache::N,нәмә,үйл
366,Sache::N,нәмә,хэрэг
367,Sache::N,әйбер,үйл
368,Sache::N,әйбер,хэрэг
369,Rand::N,сит,зах
370,Rand::N,сит,хөвөө
371,Kante::N,ҡабырға,ирмэг
372,Kante::N,ян,ирмэг
373,Ecke::N,мөйөш,өнцөг
374,Spitze::N,ос,үзүүр
375,Ende::N,аҙаҡ,зах
376,Ende::N,аҙаҡ,үзүүр
377,Loch::N,тишек,цоорхой
378,Loch::N,тишек,онгорхой
379,Winkel::N,мөйөш,өнцөг
380,Muster::N,биҙәк,хээ
381,Muster::N,биҙәк,угалз
382,Größe::N,ҙурлыҡ,хэмжээ
383,Länge::N,оҙонлоҡ,урт
384,Höhe::N,бейеклек,өндөр
385,Gewicht::N,үлсәү,жин
386,Menge::N,һан,тоо
387,Haufen::N,өйөм,бөөн
388,Reihe::N,рәт,эгнээ
389,Boot::N,кәмә,завь
390,Ruder::N,ишкәк,сэлүүр
391,Schlitten::N,сана,чарга
392,Ski::N,саңгы,цана
393,Lagerfeuer::N,костер,түүдэг
394,Last::N,ауырлыҡ,ачаа
395,Gang::N,барыу,явдал
396,Schritt::N,аҙым,алхам
397,Norden::N,төньяҡ,умар
398,Süden::N,көньяҡ,урд
399,Süden::N,көньяҡ,өмнө
400,Westen::N,көнбайыш,өрнө
401,Westen::N,көнбайыш,баруун
402,Osten::N,көнсығыш,зүүн
403,Osten::N,көнсығыш,дорно
404,Holz::N,үағас,мод
405,Brett::N,таҡта,банз
406,Platte::N,плита,хавтан
407,Stütze::N,терәк,тулгуур
408,Stütze::N,терәк,тулга
409,Stange::N,кәртә,сургааг
410,Stock::N,таяҡ,саваа
411,Stab::N,ҡолға,таяг
412,Rohr::N,торба,хоолой
413,Haus::N,өй,гэр
414,Haus::N,өй,байшин
415,Haus::N,йорт,гэр
416,Haus::N,йорт,байшин
417,Heim::N,өй,гэр
418,Ofen::N,мейес,зуух
419,Ofen::N,мейес,пийшин
420,Fußboden::N,енес,шал
421,Tisch::N,өҫтәл,ширээ
422,Stuhl::N,ултырғыс,сандал
423,Wiege::N,бишек,өлгий
424,Bett::N,карауат,ор
425,Regal::N,кәштә,тавиур
426,Kiste::N,йәшинк,авдар
427,Kiste::N,йәшинк,хайрцаг
428,Fenster::N,тәҙрә,гэгээвч
429,Tür::N,ишек,үүд
430,Tür::N,ишек,хаалга
431,Tor::N,ҡапҡа,хаалга
432,Zaun::N,ҡойма,хашаа
433,Dach::N,түбә,дээвэр
434,Dach::N,ҡыйыҡ,дээвэр
435,Leiter::N,баҫҡыс,шат
436,Besen::N,һепертке,хамуур
437,Besen::N,һепертке,туужуу
438,Spaten::N,көрәк,хүрз
439,Schaufel::N,көрәк,хүрз
440,Gabel::N,сәнске,сэрээ
441,Löffel::N,ҡалаҡ,халбага
442,Messer::N,бысаҡ,хутга
443,Nagel::N,сөй,хадаас
444,Netz::N,ау,өөш
445,Netz::N,ау,тор
446,Haken::N,ыргаҡ,гох
447,Griff::N,тотҡа,иш
448,Griff::N,тотҡа,сэнж
449,Schloss::N,йоҙаҡ,цуурга
450,Schloss::N,йоҙаҡ,цоож
451,Bild::N,картина,зураг
452,Figur::N,һын,баримал
453,Puppe::N,ҡурсаҡ,хүүхэлдэй
454,Beutel::N,тоҡ,агсаа
455,Beutel::N,тоҡ,уут
456,Bündel::N,төргәк,боодол
457,Tasche::N,сумка,цүнх
458,Eimer::N,биҙрә,хөнөг
459,Eimer::N,биҙрә,хувин
460,Deckel::N,ҡапҡас,таг
461,Deckel::N,ҡапҡас,хавхаг
462,Geschirr::N,һауыт-һаба,сав суулга
463,Sack::N,тоҡ,шуудай
464,Tasse::N,сынаяҡ,аяга
465,Topf::N,кәстрүл,тогоо
466,Kessel::N,ҡаҙан,тогоо
467,Essen::N,ашау,идээ
468,Nahrung::N,аҙыҡ,хүнс
469,Speise::N,аш,идээ
470,Fleisch::N,ит,мах
471,Getreide::N,иген,будаа
472,Getreide::N,ашлыҡ,будаа
473,Brei::N,бутҡа,богшмол
474,Brei::N,бутҡа,будаа
475,Brot::N,икмәк,талх
476,Scheibe::N,телем,зүсэм
477,Scheibe::N,телем,хэрчим
478,Fett::N,май,өөх
479,Butter::N,май,тос
480,Öl::N,май буяуы,тос
481,Salz::N,тоҙ,давс
482,Suppe::N,һурпа,шөл
483,Honig::N,бал,бал
484,Milch::N,һөт,сүү
485,Tee::N,сәй,цай
486,Leder::N,күн,арьс
487,Leder::N,күн,савхи
488,Wolle::N,йөн,ноос
489,Wolle::N,йөн,унгас
490,Stoff::N,туҡыма,бөс
491,Nadel::N,энә,зүү
492,Faden::N,еп,боолт
493,Faden::N,еп,утас
494,Knopf::N,төймә,товч
495,Knoten::N,төйөн,зангилаа
496,Farbe::N,буяу,будаг
497,Kleidung::N,кейем,хувцас
498,Hemd::N,күлдәк,цамц
499,Kragen::N,яға,зах заам
500,Ärmel::N,ең,ханцуй
501,Hose::N,салбар,өмд
502,Gürtel::N,ҡайыш,бүс
503,Mütze::N,бүрк,малгай
504,Mütze::N,бүрк,бүрх
505,Schuh::N,туфли,туфли
506,Stiefel::N,итек,гутал
507,Ring::N,йөҙөк,бөгж
508,Ring::N,балдаҡ,бөгж
509,Band::N,таҫма,тууз
510,Kamm::N,тараҡ,сам
511,Spiegel::N,көзгө,толь
512,Riemen::N,ҡайыш,тасам
513,Riemen::N,ҡайыш,сур
514,Schnur::N,бау,татлага
515,Leine::N,бау,оосор
516,Decke::N,одеяд,хөнжил
517,Decke::N,одеяд,хучлага
518,Kissen::N,мендәр,дэр
519,Tuch::N,яулыҡ,алчуур
520,Tuch::N,яулыҡ,даавуу
521,Handtuch::N,таҫтамал,алчуур
522,Kraft::N,көс,чадал
523,Kraft::N,көс,хүч
524,Stärke::N,көс,эрч
525,Stärke::N,көс,тэнхээ
526,Gesundheit::N,һаулыҡ,бие
527,Gesundheit::N,һаулыҡ,эрүүл мэнд
528,Krankheit::N,сир,эмгэг
529,Krankheit::N,ауырыу,эмгэг
530,Schmerz::N,һыҙлау,өвчин
531,Schmerz::N,әрнеү,өвчин
532,Wunde::N,йәрәхәт,шарх
533,Fieber::N,тапма,халуун
534,Fieber::N,биҙгәк,халуун
535,Arznei::N,дарыу,эм
536,Brücke::N,күпер,гүүр
537,Brunnen::N,ҡоҙоҡ,худаг
538,Weide::N,көтөүлек,бэлчээр
539,Pfad::N,һуҡмаҡ,жим
540,Pfad::N,һуҡмаҡ,зөрөг
541,Weg::N,юл,зам
542,Weg::N,юл,харгуй
543,Straße::N,урам,зам
544,Straße::N,урам,харгуй
545,Dorf::N,ауыл,тосгон
546,Dorf::N,ауыл,гацаа
547,Stadt::N,ҡала,хот
548,Brief::N,хат,захидал
549,Brief::N,хат,захиа
550,Buch::N,китап,ном
551,Buch::N,китап,бичиг
552,Buch::N,кенәгә,ном
553,Buch::N,кенәгә,бичиг
554,Buchstabe::N,хәреф,үсэг
555,Zeitung::N,гәзит,сонин
556,Leben::N,йәшәү,амь
557,Leben::N,йәшәү,амьдрал
558,Tod::N,үлем,үхэл
559,Grab::N,ҡәбер,булш
560,Kirche::N,сиркәү,сүм
561,Sünde::N,гөнаһ,нүгэл
562,Sünde::N,гөнаһ,хилэнц
563,Gott::N,алла,бурхан
564,Gott::N,хоҙай,бурхан
565,Arbeiter::N,эшсе,ажилчин
566,Arbeiter::N,эшсе,хөдөлмөрчин
567,Chef::N,башлыҡ,дарга
568,Meister::N,оҫта,дархан
569,Arzt::N,врач,эмч
570,Lehrer::N,уҡытыусы,багш
571,Geld::N,аҡса,цаас
572,Geld::N,аҡса,мөнгө
573,Geschäft::N,эш,наймаа
574,Laden::N,магазин,дэлгүүр
575,Preis::N,хаҡ,үнэ
576,Ware::N,тауар,таваар
577,Ware::N,тауар,бараа
578,Nutzen::N,файҙа,ашиг
579,Reichtum::N,байлыҡ,баялаг
580,Welt::N,донъя,дэлхий
581,Welt::N,донъя,орчлон
582,Land::N,ил,улс
583,Land::N,ил,орон
584,Staat::N,дәүләт,төр
585,Staat::N,дәүләт,гүрэн
586,König::N,король,ван
587,Macht::N,власть,засаг
588,Grenze::N,сик,хил
589,Krieg::N,һуғыш,дайн
590,Feind::N,йылан,дайсан
591,Gewalt::N,көслөк,хүчирхэх
592,Kampf::N,көрәш,тэмцэл
593,Kampf::N,көрәш,байлдаан
594,Bogen[Waffe]::N,йәйә,нум
595,Pfeil::N,уҡ,годил
596,Pfeil::N,уҡ,сум
597,Gewehr::N,мылтыҡ,буу
598,Fehler::N,хата,эндэл
599,Fehler::N,хата,алдаа
600,Lüge::N,ялған,худал
601,Schaden::N,зыян,хор
602,Schaden::N,зыян,хөнөөл
603,Schaden::N,зарар,хор
604,Schaden::N,зарар,хөнөөл
605,Unglück::N,ҡаза,гай
606,Unglück::N,ҡаза,гамшиг
607,Schuld::N,ғәйеп,гэм
608,Schuld::N,ғәйеп,буруу
609,Alter::N,йәш,нас
610,Schluss::N,һуң,эцэс
611,Schluss::N,һуң,төгсгөл
612,Schluss::N,аҙаҡ,эцэс
613,Schluss::N,аҙаҡ,төгсгөл
614,Zeit::N,мәл,цаг
615,Zeit::N,заман,цаг
616,Tag::N,көн,өдөр
617,Morgen::N,иртә,өглөө
618,Morgen::N,иртәнсәк,өглөө
619,Mittag::N,төш,үд
620,Abend::N,кис,үдэш
621,Nacht::N,төн,шөнө
622,Woche::N,аҙна,долоо хоног
623,Monat::N,ай,сар
624,Jahr::N,йыл,жил
625,Frühling::N,яҙ,хавар
626,Sommer::N,йәй,зун
627,Herbst::N,көз,намар
628,Winter::N,ҡыш,өвөл
629,Januar::N,ғинуар,нэгдүгээр сар
630,Februar::N,февраль,хоёрдугаар сар
631,März::N,март,гуравдугаар сар
632,April::N,апрель,дөрөвдүгээр сар
633,Mai::N,май,тавдугаар сар
634,Juni::N,июнь,зургаадугаар сар
635,Juli::N,июль,долдугаар сар
636,August::N,август,наймдугаар сар
637,September::N,сентябрь,есдүгээр сар
638,Oktober::N,октябрь,аравдугаар сар
639,November::N,ноябрь,арван нэгдүгээр сар
640,Dezember::N,декабрь,арван хоёрдугаар сар
641,Montag::N,дүшәмбе,даваа
642,Dienstag::N,шишәмбе,мягмар
643,Mittwoch::N,шаршамбы,лхагва
644,Donnerstag::N,кесаҙна,пүрэв
645,Freitag::N,йома,баасан
646,Samstag::N,шәмбе,бямба
647,Sonntag::N,йәкшәмбе,ням
648,groß::A,ҙур,их
649,groß::A,ҙур,том
650,klein::A,бәләкәс,бага
651,klein::A,бәләкәс,жаахан
652,lang::A,оҙон,урт
653,kurz::A,ҡыҫҡа,охор
654,kurz::A,ҡыҫҡа,богино
655,breit::A,киң,өргөн
656,schmal::A,тар,уйтан
657,schmal::A,тар,нарийн
658,dicht::A,йыш,нягт
659,dicht::A,йыш,чигжүү
660,dicht::A,ҡуйы,нягт
661,dicht::A,ҡуйы,чигжүү
662,dick[Gegenstand]::A,ҡалын,зузаан
663,dünn::A,йоҡа,нимгэн
664,dünn::A,нәҙек,нимгэн
665,fein::A,нескә,нарийн
666,fest::A,ныҡ,бөх
667,fest::A,ныҡ,хатуу
668,flach::A,яҫы,хавтгай
669,flach::A,ялпаҡ,хавтгай
670,glatt::A,шыма,цагаан
671,hart::A,ҡаты,хатуу
672,weich::A,йомшаҡ,зөөлөн
673,rund::A,түңәрәк,дугуй
674,rund::A,түңәрәк,дугариг
675,spitz::A,осло түбәле,шовх
676,spitz::A,осло түбәле,шовгор
677,scharf::A,үткер,хурц
678,scharf::A,үткер,иртэй
679,stumpf::A,утмәҫ,мохоо
680,schwer::A,ауыр,хүнд
681,schön::A,матур,гуа
682,schön::A,матур,сайхан
683,heiß::A,эҫе,халуун
684,warm::A,йылы,дулаан
685,kalt::A,һыуыҡ,хүйтэн
686,kühl::A,һалҡынса,сэрүүн
687,frisch::A,һалҡынса,эрүүл
688,frisch::A,һалҡынса,жихүүн
689,feucht::A,еүеш,чийгтэй
690,feucht::A,дымлы,чийгтэй
691,nass::A,еүеш,нойтон
692,trocken::A,кипкән,хатсан
693,voll::A,тулы,дүүрэн
694,leer::A,буш,хоосон
695,offen::A,асыҡ,онгорхой
696,geschlossen::A,ябыҡ,битүү
697,geschlossen::A,ябыҡ,хаалтай
698,sauber::A,таҙа,цэвэр
699,sauber::A,таҙа,хиргүй
700,schmutzig::A,бысраҡ,бохир
701,schmutzig::A,бысраҡ,хиртэй
702,roh::A,сей,түүхий
703,reif::A,өлгөрғән,болсон
704,lecker::A,тәмле,амттай
705,süß::A,тямле,амттай
706,süß::A,тямле,чихэрлэг
707,süß::A,тәм-том,амттай
708,süß::A,тәм-том,чихэрлэг
709,bitter::A,әсе,гашуун
710,sauer::A,әсе,эсгэлэн
711,hell::A,яҡты,гэгээн
712,hell::A,яҡты,гэрэлтэй
713,dunkel::A,ҡараңғы,бараан
714,dunkel::A,ҡараңғы,харанхуй
715,schwarz::A,ҡара,хар
716,weiß::A,аҡ,цагаан
717,rot::A,матур,улаан
718,rot::A,һылыу,улаан
719,rot::A,сибәр,улаан
720,gelb::A,һары,шар
721,blau::A,күк,хөх
722,blau::A,күк,цэнхэр
723,grün::A,йәшел,ногоон
724,grau::A,буҙ,орог
725,grau::A,буҙ,саарал
726,bunt::A,сыбар,эрээн
727,bunt::A,ала-ҡола,эрээн
728,billig::A,арзан,хямд
729,teuer::A,ҡыйбатлы,үнэтэй
730,wertvoll::A,ҡиммәтле,үнэт
731,blind::A,һуҡыр,сохор
732,taub::A,һаңғырау,чих хатуу
733,kräftig::A,көслө,чийрэг
734,kräftig::A,ҡеүәтле,чийрэг
735,stark::A,көслө,хүчтэй
736,stark::A,көслө,чадалтай
737,stark::A,ҡеүәтле,хүчтэй
738,stark::A,ҡеүәтле,чадалтай
739,schwach::A,көсһөҙ,сул
740,fett::A,һимеҙ,тарган
741,fett::A,һимеҙ,голигор
742,schlank::A,зифа,голшиг
743,hübsch::A,матур,сайхан
744,hübsch::A,матур,хөөрхөн
