,Concept_ID,cv,no
190,Schlange[Tier]::N,ҫӗлен,orm
191,Schlange[Tier]::N,ҫӗлен,slange
192,Wurm::N,ӑман,orm
193,Wurm::N,ӑман,mark
194,Spinne::N,эрешмен,edderkopp
195,Ameise::N,кӑткӑ,maur
196,Laus::N,пыйтӑ,lus
197,Mücke::N,вӑрӑм туна,mygg
198,Fliege::N,шӑна,flue
199,Schmetterling::N,лӗпӗш,sommerfugl
200,Beere::N,ҫырла,bær
201,Apfel::N,улма,eple
202,Apfel::N,пан улми,eple
203,Pilz::N,кӑмпа,sopp
204,Zwiebel::N,сухан,løk
205,Saat::N,вӑрӑ,sæd
206,Korn::N,тӗшӗ,korn
207,Korn::N,пӗрчӗ,korn
208,Heu::N,утӑ,høy
209,Schale::N,хупӑ,skall
210,Grube::N,шӑтӑк,grop
211,Falle::N,тапӑ,felle
212,Falle::N,капкӑн,felle
213,Schlinge::N,йӑлӑ,snare
214,Spur::N,йӗр,spor
215,Asche::N,кӗл,aske
216,Dreck::N,пылчӑк,møkk
217,Dreck::N,пылчӑк,skitt
218,Eisen::N,тимӗр,jern
219,Gold::N,ылтӑн,gull
220,Silber::N,кӗмӗл,sølv
221,Kohle::N,кӑмрӑк,kol
222,Kohle::N,кӑмрӑк,kull
223,Glas::N,кӗленче,glass
224,Lehm::N,тӑм,leire
225,Sand::N,хӑйӑр,sand
226,Mensch::N,ҫын,menneske
227,Mensch::N,этем,menneske
228,Mann::N,ар,mann
229,Frau::N,хӗрарӑм,kvinne
230,Kind::N,ача,barn
231,Junge::N,ача,gutt
232,Junge::N,ар ҫын ача,gutt
233,Mädchen::N,хӗр ача,pike
234,Mädchen::N,хӗр ача,jente
235,Familie::N,ҫемье,familie
236,Familie::N,кил-йыш,familie
237,Großvater::N,кукаҫи,bestefar
238,Großmutter::N,кукамай,bestemor
239,Eltern::N,аҫа-ама,foreldre
240,Vater::N,атте,far
241,Mutter::N,анне,mor
242,Sohn::N,ывӑл,sønn
243,Tochter::N,хӗр,datter
244,Bruder::N,ар тӑван,bror
245,Schwester::N,аппа,søster
246,Schwester::N,йӑмӑк,søster
247,Onkel::N,мучи,onkel
248,Onkel::N,пичче,onkel
249,Tante::N,аппа,tante
250,Ehemann::N,упӑшка,ektemann
251,Ehefrau::N,арӑм,hustru
252,Freude::N,савӑнӑҫ,glede
253,Freude::N,хаваслӑх,glede
254,Gelächter::N,кулӑ,latter
255,Glück::N,телей,lykke
256,Glück::N,ӑраскал,lykke
257,Kummer::N,хурлӑх,sorg
258,Wunsch::N,ӗмӗт,ønske
259,Wunsch::N,кӑмӑл,ønske
260,Lust::N,кӑмӑл,lyst
261,Geist::N,чун-чӗм,ånd
262,Geist::N,ыр-усал,ånd
263,Geist::N,чун хавалӗ,ånd
264,Gedanke::N,шухӑш,tanke
265,Gedächtnis::N,ас,minne
266,Gedächtnis::N,ас,hukommelse
267,Verstand::N,ӑс,forstand
268,Verstand::N,ӑс-тӑн,forstand
269,Verstand::N,ӑс-хакӑл,forstand
270,Sinn::N,тупсӑм,mening
271,Sinn::N,тупсӑм,betydning
272,Sinn::N,пӗлтерӗш,mening
273,Sinn::N,пӗлтерӗш,betydning
274,Grund::N,сӑлтав,grunn
275,Wahrheit::N,чӑнлӑх,sannhet
276,Gespräch::N,калаҫу,samtale
277,Märchen::N,юмах,eventyr
278,Erzählung::N,акалав,fortelling
279,Erzählung::N,каласа пани,fortelling
280,Nachricht::N,хыпар,melding
281,Neuigkeit::N,ҫӗнӗ хыпар,nyhet
282,Name::N,ят,navn
283,Rätsel::N,сутмалли юмах,gåte
284,Rede::N,сӑмах,tale
285,Sprache::N,чӗлхе,språk
286,Stimme::N,сасӑ,stemme
287,Wort::N,сӑмах,ord
288,Zeichen::N,паллӑ,tegn
289,Ruf::N,йыхрав,rop
290,Ruf::N,чӗнӳ,rop
291,Lärm::N,шав,bråk
292,Laut::N,сасӑ,lyd
293,Ton::N,сасӑ,tone
294,Lied::N,юрӑ,vise
295,Ruhe::N,канӑҫлӑх,ro
296,Ruhe::N,лӑпкӑлӑх,ro
297,Leute::N,ҫамрӑксем,folk
298,Leute::N,ҫамрӑк ҫынсем,folk
299,Volk::N,халӑх,folk
300,Arbeit::N,ӗҫхӗл,arbeid
301,Arbeit::N,ӗҫлев,arbeid
302,Gast::N,хӑна,gjest
303,Geschenk::N,парне,gave
304,Geschenk::N,кучченеҫ,gave
305,Spiel::N,вӑйӑ,lek
306,Spiel::N,вӑйӑ,spill
307,Gesellschaft::N,общество,selskap
308,Hilfe::N,пулӑшу,hjelp
309,Freund::N,тус,venn
310,Kamerad::N,юлташ,kamerat
311,Kamerad::N,тус,kamerat
312,Angelegenheit::N,ӗҫ,sak
313,Angelegenheit::N,ӗҫ,anliggende
314,Anzahl::N,йыш,antall
315,Anzahl::N,хисеп,antall
316,Art::N,тӗс,art
317,Art::N,тӗс,slag
318,Stück::N,татӑк,stykke
319,Teil::N,пай,del
320,Hälfte::N,ҫурӑ,halvdel
321,Kreis::N,ункӑ,ring
322,Kreis::N,ункӑ,sirkel
323,Kreis::N,ҫавракӑш,ring
324,Kreis::N,ҫавракӑш,sirkel
325,Kreuz::N,хӗрес,kors
326,Kreuz::N,хӗрес,kryss
327,Linie::N,йӗр,linje
328,Strich::N,йӗр,strek
329,Abstand::N,хушӑ,avstand
330,Entfernung::N,хушӑ,avstand
331,Gegend::N,вырӑн,strøk
332,Platz::N,хутлӑх,plass
333,Ort::N,вырӑн,sted
334,Seite::N,ен,side
335,Seite::N,аяк,side
336,Seite::N,айӑк,side
337,Mitte::N,варӑ,midte
338,Gegenstand::N,япала,gjenstand
339,Sache::N,япала,sak
340,Rand::N,вӗҫ,rand
341,Rand::N,хӗрӗ,rand
342,Rand::N,хӗрри,rand
343,Kante::N,хайкача,kant
344,Kante::N,хысак,kant
345,Ecke::N,кӗтес,hjørne
346,Spitze::N,вӗҫ,spiss
347,Ende::N,вӗҫ,ende
348,Loch::N,шӑтӑк,hull
349,Winkel::N,кӗтес,vinkel
350,Muster::N,эреш,mønster
351,Größe::N,пысӑкӑш,størrelse
352,Länge::N,вӑрӑмӑш,lengde
353,Höhe::N,ҫӳллӗш,høyde
354,Gewicht::N,виҫе,vekt
355,Gewicht::N,йывӑрӑш,vekt
356,Menge::N,йыш,mengde
357,Haufen::N,купа,haug
358,Haufen::N,купа,bunke
359,Reihe::N,рет,rekke
360,Boot::N,кимӗ,båt
361,Ruder::N,кӗсмен,åre
362,Schlitten::N,ҫуна,slede
363,Schlitten::N,ҫуна,kjelke
364,Ski::N,йӗлтӗр,ski
365,Lagerfeuer::N,вут,leirbål
366,Lagerfeuer::N,кӑвайт,leirbål
367,Last::N,сулмаклӑх,bør
368,Last::N,сулмаклӑх,last
369,Last::N,йывӑр япала,bør
370,Last::N,йывӑр япала,last
371,Gang::N,куҫӑм,gang
372,Schritt::N,утӑм,steg
373,Schritt::N,утӑм,skritt
374,Schritt::N,пусӑм,steg
375,Schritt::N,пусӑм,skritt
376,Norden::N,ҫурҫӗр,nord
377,Süden::N,кӑнтӑр,sør
378,Westen::N,анӑҫ,vest
379,Westen::N,хӗвел анӑҫ,vest
380,Osten::N,хӗвел тухӑҫ,øst
381,Holz::N,йывӑҫ,tre
382,Brett::N,хӑма,fjøl
383,Brett::N,хӑма,brett
384,Platte::N,плита,plate
385,Stütze::N,ура,støtte
386,Stange::N,шерте,stang
387,Stock::N,патак,pinne
388,Stab::N,шӑчӑ,stav
389,Stab::N,шӑчӑ,kjepp
390,Rohr::N,пӑрӑх,rør
391,Haus::N,ҫурт,hus
392,Heim::N,кил,hjem
393,Ofen::N,кӑмака,ovn
394,Fußboden::N,урай,gulv
395,Tisch::N,сӗтел,bord
396,Stuhl::N,пукан,stol
397,Wiege::N,сӑпка,vogge
398,Bett::N,кравать,seng
399,Regal::N,ҫӳлӗк,reol
400,Regal::N,ҫӳлӗк,hylle
401,Regal::N,сентре,reol
402,Regal::N,сентре,hylle
403,Kiste::N,ещӗк,kasse
404,Kiste::N,сунтӑх,kasse
405,Fenster::N,чӳрече,vindu
406,Tür::N,алӑк,dør
407,Tor::N,хапха,port
408,Zaun::N,хӳме,gjerde
409,Dach::N,тӑрӑ,tak
410,Leiter::N,пусма,stige
411,Besen::N,шӑпӑр,kost
412,Spaten::N,кӗреҫе,spade
413,Schaufel::N,кӗреҫе,skuffe
414,Gabel::N,вилка,gaffel
415,Löffel::N,кашӑк,skje
416,Messer::N,ҫӗҫӗ,kniv
417,Nagel::N,пӑта,spiker
418,Netz::N,тетел,nett
419,Haken::N,йӑрхах,krok
420,Haken::N,ҫекӗл,krok
421,Griff::N,хӑлӑп,tak
422,Griff::N,хӑлӑп,håndtak
423,Schloss::N,ҫӑра,lås
424,Bild::N,сӑн,bilde
425,Bild::N,сӑнлӑх,bilde
426,Bild::N,картина,bilde
427,Figur::N,кӗлетке,figur
428,Puppe::N,пукане,dukke
429,Beutel::N,михӗ,pose
430,Bündel::N,ҫыхӑ,bylt
431,Bündel::N,тӗрке,bylt
432,Tasche::N,сумка,veske
433,Eimer::N,витре,bøtte
434,Deckel::N,хупӑ,lokk
435,Geschirr::N,савӑт-сапа,kjøkkentøy
436,Sack::N,михӗ,sekk
437,Tasse::N,курка,kopp
438,Topf::N,кастрюль,gryte
439,Kessel::N,хуран,kjele
440,Essen::N,апат,mål
441,Nahrung::N,апат-ҫимӗс,mat
442,Nahrung::N,апат-ҫимӗс,næring
443,Speise::N,апат,matrett
444,Speise::N,ҫимӗҫ,matrett
445,Fleisch::N,аш,kjøtt
446,Fleisch::N,какай,kjøtt
447,Getreide::N,тырӑ,korn
448,Brei::N,пӑтӑ,grøt
449,Brot::N,ҫӑкӑр,brød
450,Scheibe::N,чӗлӗ,skive
451,Scheibe::N,касӑк,skive
452,Fett::N,ҫу,fett
453,Butter::N,ҫу,smør
454,Öl::N,ҫу,olje
455,Salz::N,тӑвар,salt
456,Suppe::N,яшка,suppe
457,Honig::N,пыл,honning
458,Milch::N,сӗт,melk
459,Tee::N,чей,te
460,Leder::N,сӑран,lær
461,Leder::N,сӑран,skinn
462,Wolle::N,ҫӑм,ull
463,Stoff::N,тӗртӗм,tøy
464,Stoff::N,тӗртӗм,stoff
465,Nadel::N,йӗп,nål
466,Faden::N,ҫип,tråd
467,Knopf::N,тӳме,knapp
468,Knoten::N,йӑлӑ,knute
469,Farbe::N,сӑрӑ,farge
470,Kleidung::N,тум,påkledning
471,Kleidung::N,ҫипуҫ,påkledning
472,Kleidung::N,тум-тир,påkledning
473,Hemd::N,кӗпе,skjorte
474,Kragen::N,ҫуха,krage
475,Ärmel::N,ҫанӑ,erme
476,Hose::N,шӑлавар,bukse
477,Gürtel::N,пиҫиххи,belte
478,Mütze::N,ҫӗлӗк,lue
479,Schuh::N,пушмак,sko
480,Schuh::N,ботинок,sko
481,Stiefel::N,атӑ,støvel
482,Ring::N,ҫӗрӗ,ring
483,Band::N,хаю,band
484,Band::N,йӗсме,band
485,Kamm::N,тура,kam
486,Spiegel::N,тӗкӗр,speil
487,Spiegel::N,куҫ кӗски,speil
488,Riemen::N,чӗн,rem
489,Schnur::N,кантра,snor
490,Leine::N,касмӑк,line
491,Decke::N,утиял,teppe
492,Kissen::N,ҫытар,pute
493,Kissen::N,минтер,pute
494,Tuch::N,тутӑр,tøy
495,Handtuch::N,ал шӑлли,håndkle
496,Kraft::N,вӑй,kraft
497,Kraft::N,хӑват,kraft
498,Stärke::N,хал,styrke
499,Stärke::N,хӑват,styrke
500,Gesundheit::N,хал,helse
501,Gesundheit::N,хал,sunnhet
502,Gesundheit::N,сывлӑх,helse
503,Gesundheit::N,сывлӑх,sunnhet
504,Krankheit::N,чир,syke
505,Krankheit::N,чир,sykdom
506,Schmerz::N,ырату,smerte
507,Wunde::N,суран,sår
508,Fieber::N,сив чир,feber
509,Arznei::N,эмел,medisin
510,Arznei::N,эмел,legemiddel
511,Brücke::N,кӗпер,bro
512,Brunnen::N,ҫӑл,brønn
513,Brunnen::N,пусӑ,brønn
514,Weide::N,ҫаран,beite
515,Pfad::N,йӗр,sti
516,Pfad::N,сукмак,sti
517,Weg::N,ҫул,vei
518,Weg::N,ҫул-йӗр,vei
519,Straße::N,ҫӳрев,gate
520,Straße::N,ҫул ҫӳрени,gate
521,Dorf::N,ял,landsby
522,Stadt::N,хула,by
523,Brief::N,ҫыру,brev
524,Buch::N,кӗнеке,bok
525,Buchstabe::N,сас палли,bokstav
526,Zeitung::N,хаҫат,avis
527,Leben::N,пурнӑҫ,liv
528,Tod::N,вилӗм,død
529,Grab::N,масар шӑтӑкӗ,grav
530,Kirche::N,чиркӳ,kirke
531,Sünde::N,ҫылӑх,synd
532,Gott::N,турӑ,gud
533,Arbeiter::N,рабочи,arbeider
534,Chef::N,пуҫлӑх,sjef
535,Meister::N,ӑста,mester
536,Meister::N,мастер,mester
537,Arzt::N,врач,lege
538,Arzt::N,тухтӑр,lege
539,Lehrer::N,учитель,lærer
540,Lehrer::N,вӗрентекен,lærer
541,Geld::N,укҫа,penger
542,Geschäft::N,бизнес,forretning
543,Laden::N,магазин,butikk
544,Preis::N,хак,pris
545,Ware::N,тавар,vare
546,Nutzen::N,пайта,nytte
547,Reichtum::N,мул,rikdom
548,Welt::N,тӗнче,verden
549,Land::N,ҫӗр-шыв,land
550,Staat::N,патшàлӑх,stat
551,König::N,король,konge
552,Macht::N,власть,makt
553,Grenze::N,чикӗ,grense
554,Krieg::N,вӑрҫӑ,krig
555,Feind::N,тӑшман,fiende
556,Gewalt::N,ирӗксӗрлӳ,vold
557,Kampf::N,кӗрешӳ,kamp
558,Bogen[Waffe]::N,ухӑ,bue
559,Pfeil::N,ҫӗмрен,pil
560,Pfeil::N,ухӑ йӗппи,pil
561,Gewehr::N,пӑшал,gevær
562,Fehler::N,йӑнӑш,feil
563,Lüge::N,суя,løgn
564,Lüge::N,ултав,løgn
565,Schaden::N,сиен,skade
566,Unglück::N,шар,uhell
567,Unglück::N,инкек,uhell
568,Schuld::N,айӑп,skyld
569,Alter::N,ҫул шучӗ,alder
570,Schluss::N,пӗтни,slutt
571,Schluss::N,пӗтмӗш,slutt
572,Zeit::N,вӑхӑт,tid
573,Tag::N,кун,dag
574,Morgen::N,ир,morgen
575,Mittag::N,кӑнтӑрла,middag
576,Abend::N,каҫ,aften
577,Nacht::N,каҫ,natt
578,Woche::N,эрне,uke
579,Monat::N,уйӑх,måned
580,Jahr::N,ҫулталӑк,år
581,Frühling::N,ҫур,vår
582,Frühling::N,ҫуркунне,vår
583,Sommer::N,ҫу,sommer
584,Sommer::N,ҫулла,sommer
585,Herbst::N,кӗр,høst
586,Herbst::N,кӗркунне,høst
587,Winter::N,хӗл,vinter
588,Winter::N,хӗлле,vinter
589,Januar::N,январь,januar
590,Februar::N,февраль,februar
591,Februar::N,кӗҫӗн кӑрлач,februar
592,März::N,март,mars
593,März::N,пуш уйӑхӗ,mars
594,April::N,апрель,april
595,Mai::N,май,mai
596,Juni::N,июнь,juni
597,Juli::N,июль,juli
598,August::N,август,august
599,September::N,сентябрь,september
600,September::N,авӑн уйӑхӗ,september
601,Oktober::N,октябрь,oktober
602,November::N,ноябрь,november
603,Dezember::N,раштав,desember
604,Dezember::N,декабрь,desember
605,Montag::N,тунти кун,mandag
606,Dienstag::N,ытлари кун,tirsdag
607,Mittwoch::N,юн кун,onsdag
608,Donnerstag::N,кӗҫнерни кун,torsdag
609,Freitag::N,эрне кун,fredag
610,Samstag::N,шӑмат кун,lørdag
611,Sonntag::N,вырсарни кун,søndag
612,groß::A,пысӑк,stor
613,klein::A,пӗчӗк,liten
614,lang::A,вӑрӑм,lang
615,kurz::A,кӗске,kort
616,breit::A,сарлака,bred
617,schmal::A,ансӑр,smal
618,dicht::A,йӑвӑ,tett
619,dick[Gegenstand]::A,хулӑн,tykk
620,dünn::A,ҫинҫе,tynn
621,dünn::A,ҫӳхе,tynn
622,fein::A,тарай,fin
623,fein::A,вӗлтӗрти,fin
624,fest::A,тӗреклӗ,fast
625,flach::A,лаптак,flat
626,glatt::A,такӑр,glatt
627,hart::A,хытӑ,hard
628,weich::A,ҫемҫе,myk
629,weich::A,ҫемҫе,bløt
630,rund::A,ҫавра,rund
631,spitz::A,шӗвӗр,spiss
632,scharf::A,ҫивӗч,kvass
633,stumpf::A,мӑка,stubb
634,stumpf::A,пуклак,stubb
635,stumpf::A,тӗрӗнчӗк,stubb
636,stumpf::A,ӑнкарусӑр,stubb
637,schwer::A,йывӑр,tung
638,schön::A,илемлӗ,pen
639,schön::A,илемлӗ,vakker
640,heiß::A,вӗри,het
641,warm::A,ӑшӑ,varm
642,kalt::A,сивӗ,kald
643,kühl::A,уҫӑ,kjølig
644,frisch::A,уҫӑ,fersk
645,feucht::A,йӗпе,fuktig
646,nass::A,нӳрӗ,våt
647,trocken::A,типӗ,tørr
648,voll::A,тулли,full
649,leer::A,пушӑ,tom
650,offen::A,уҫӑ,åpen
651,geschlossen::A,хупӑ,lukket
652,sauber::A,таса,ren
653,schmutzig::A,пылчӑклӑ,skitten
654,schmutzig::A,вараланчӑк,skitten
655,roh::A,чӗрӗ,rå
656,reif::A,пулнӑ,moden
657,reif::A,пиҫӗхнӗ,moden
658,reif::A,аталаннӑ,moden
659,reif::A,пиҫсе ҫитнӗ,moden
660,lecker::A,тутлӑ,lekker
661,lecker::A,техӗмлӗ,lekker
662,süß::A,пылак,søt
663,bitter::A,йӳҫӗ,besk
664,bitter::A,йӳҫӗ,bitter
665,sauer::A,йӳҫӗ,sur
666,sauer::A,йӳҫек,sur
667,sauer::A,кӑвасак,sur
668,hell::A,ҫутӑ,lys
669,dunkel::A,тӗттӗм,mørk
670,schwarz::A,хура,svart
671,weiß::A,шурӑ,hvit
672,rot::A,хӗрлӗ,rød
673,gelb::A,сарӑ,gul
674,blau::A,кӑвак,blå
675,grün::A,симӗс,grønn
676,grün::A,пиҫмен,grønn
677,grün::A,ӑс пухман,grønn
678,grau::A,кӑвак,grå
679,bunt::A,чӑпар,broket
680,billig::A,йӳнӗ,billig
681,teuer::A,хаклӑ,dyr
682,wertvoll::A,паха,verdifull
683,blind::A,суккӑр,blind
684,taub::A,хӑлхасӑр,døv
685,kräftig::A,хӑватлӑ,kraftig
686,stark::A,вирлӗ,sterk
687,schwach::A,халсӑр,svak
688,fett::A,самӑр,fet
689,fett::A,мӑнтӑр,fet
690,schlank::A,йӑрӑс,slank
691,schlank::A,яштака,slank
692,hübsch::A,хитре,pen
693,böse::A,усал,slem
694,dumm::A,ухмах,dum
695,faul::A,наян,lat
696,faul::A,наян,doven
697,faul::A,юлхав,lat
698,faul::A,юлхав,doven
699,faul::A,ӳркенчӗк,lat
700,faul::A,ӳркенчӗк,doven
701,fleißig::A,хастар,flittig
702,geizig::A,хытӑ,gjerrig
703,klug::A,ӑслӑ,klok
704,geschickt::A,ӑста,hendig
705,geschickt::A,ӑста,skikket
706,lieb::A,савнӑ,kjær
707,lieb::A,савнӑ,snill
708,lustig::A,хаваслӑ,morsom
709,sanft::A,ачаш,blid
710,hungrig::A,выҫӑ,sulten
711,krank::A,чирлӗ,syk
712,nackt::A,ҫара,naken
713,traurig::A,салхуллӑ,sørgmodig
714,lebendig::A,чӗрӗ,levende
715,gut::A,аван,god
716,gut::A,лайӑх,god
717,schlecht::A,япӑх,dårlig
718,schlecht::A,начар,dårlig
719,richtig::A,тӗрӗс,riktig
720,schlimm::A,йӗрӗнчӗк,slem
721,wahr::A,чӑн,sann
722,alt::A,кивӗ,gammel
723,neu::A,ҫӗнӗ,ny
724,ehemalig::A,пулнӑ,forhenværende
725,alt[Lebewesen]::A,ватӑ,gammel
726,jung::A,яш,ung
727,jung::A,ҫамрӑк,ung
728,arm::A,чухӑн,fattig
729,reich::A,пуян,rik
730,bekannt::A,пӗлӗш,kjent
731,berühmt::A,чаплӑ,berømt
732,fremd::A,ют,fremmed
733,verschieden::A,расна,forskjellig
734,nah::A,ҫывӑх,nær
735,nah::A,ҫывӑхри,nær
736,fern::A,инҫе,fjern
737,fern::A,аякри,fjern
738,linker::A,сулахай,venstre
739,rechter::A,сылтӑм,høyre
740,anderer::A,урӑх,annen
741,erster::A,пӗрремӗш,første
742,zweiter::A,иккӗмӗш,annen
743,dritter::A,виҫҫӗмӗш,tredje
744,letzter::A,юлашки,sist
745,allein::ADV,пӗччен,alene
746,auf einmal::ADV,кӗмӗрккен,med ett
747,zusammen::ADV,пӗрле,sammen
748,lange::ADV,вӑрах,lenge
749,plötzlich::ADV,сасартӑк,plutselig
750,sofort::ADV,тӳрех,straks
751,später::ADV,кайран,senere
