,Concept_ID,udm,hy
431,Deckel::N,ӵоксэт,կափարիչ
432,Geschirr::N,тусьты-пуньы,ամանեղեն
433,Sack::N,пуйы,պարկ
434,Sack::N,пуйы,տոպրակ
435,Tasse::N,ӵаша,թաս
436,Tasse::N,ӵаша,գավաթ
437,Topf::N,миска,անոթ
438,Kessel::N,пурты,կաթսա
439,Essen::N,сиськон,կերակուր
440,Nahrung::N,сион,ուտելիք
441,Speise::N,сиён,խորտիկ
442,Speise::N,сиён,կերակուր
443,Fleisch::N,сӥль,միս
444,Getreide::N,ю тысь,հացահատիկ
445,Brei::N,ӝук,լանդակ
446,Brot::N,нянь,հաց
447,Scheibe::N,шорем,կտոր
448,Scheibe::N,шорем,պատառ
449,Fett::N,кӧй,ճարպ
450,Butter::N,вӧй,կարագ
451,Öl::N,вӧй,ձեթ
452,Salz::N,сылал,աղ
453,Suppe::N,шыд,սուպ
454,Suppe::N,шыд,ապուր
455,Honig::N,чечы,մեղր
456,Milch::N,йӧл,կաթ
457,Tee::N,чай,թեյ
458,Leder::N,сурон,կաշի
459,Wolle::N,гон,բուրդ
460,Wolle::N,ыжгон,բուրդ
461,Stoff::N,куэм,գործվածք
462,Nadel::N,вень,ասեղ
463,Faden::N,сӥньыс,թել
464,Knopf::N,бирды,կոճակ
465,Knoten::N,герд,հանգույց
466,Farbe::N,буёл,ներկ
467,Kleidung::N,дӥсь,հագուստ
468,Hemd::N,дэрем,վերնաշապիկ
469,Kragen::N,сирес,օձիք
470,Ärmel::N,саес,թեւք
471,Hose::N,брюки,շալվար
472,Hose::N,штань,շալվար
473,Gürtel::N,кускерттон,գոտի
474,Mütze::N,ызьы,կեպի
475,Schuh::N,ботинка,կոշիկ
476,Stiefel::N,сапег,երկարաճիթ կոշիկ
477,Ring::N,зундэс,զնգալ
478,Band::N,лента,ժապավեն
479,Kamm::N,сын,սանր
480,Spiegel::N,синучкон,հայելի
481,Riemen::N,е,փոկ
482,Schnur::N,гозы,լար
483,Leine::N,думет,փոկ
484,Decke::N,шобрет,վերմակ
485,Kissen::N,миндэр,բարձ
486,Tuch::N,кышет,թաշկինակ
487,Handtuch::N,ӵушкон,սրբիչ
488,Kraft::N,кать,ուժ
489,Kraft::N,ӟигар,ուժ
490,Stärke::N,юнлык,պնդություն
491,Stärke::N,юнлык,ամրություն
492,Gesundheit::N,тазалык,առողջություն
493,Krankheit::N,висён,ախտ
494,Krankheit::N,висён,հիվանդություն
495,Schmerz::N,висён,ցավ
496,Schmerz::N,висён,տանջանք
497,Wunde::N,яра,վերք
498,Fieber::N,кезег,տենդ
499,Arznei::N,эмъюм,դեղ
500,Brücke::N,выж,կամուրջ
501,Brunnen::N,колдэч,հոր
502,Brunnen::N,колдэч,ջրհոր
503,Weide::N,возь,արոտավայր
504,Pfad::N,сюрес,արահետ
505,Weg::N,сюрес,ուղի
506,Straße::N,сюрес,ճանապարհ
507,Dorf::N,гурт,գյուղ
508,Stadt::N,кар,քաղաք
509,Stadt::N,город,քաղաք
510,Brief::N,гожтэт,նամակ
511,Buch::N,книга,գիրք
512,Buchstabe::N,буква,տառ
513,Buchstabe::N,буква,գիր
514,Zeitung::N,газет,լրագիր
515,Leben::N,улон,կյանք
516,Tod::N,кулон,մահ
517,Grab::N,шайгу,գերեզման
518,Kirche::N,черк,եկեղեցի
519,Sünde::N,сьӧлык,մեղք
520,Gott::N,ӥнмар,աստված
521,Arbeiter::N,рабочий,բանվոր
522,Arbeiter::N,рабочий,աշխատող
523,Chef::N,начальник,տեր
524,Meister::N,кибашлы,վարպետ
525,Arzt::N,врач,բժիշկ
526,Lehrer::N,дышетӥсь,ուսուցիչ
527,Geld::N,уксё,փող
528,Geld::N,коньдон,փող
529,Geschäft::N,уж,գործ
530,Geschäft::N,уж,աշխատանք
531,Laden::N,магазин,կրպակ
532,Laden::N,магазин,խանութ
533,Preis::N,дун,գին
534,Ware::N,вуз,ապրանք
535,Nutzen::N,пайда,օգուտ
536,Reichtum::N,узырлык,հարստություն
537,Welt::N,дунне,աշխարհ
538,Land::N,шаер,երկիր
539,Staat::N,кун,պետություն
540,König::N,эксэй,արքա
541,König::N,эксэй,թագավոր
542,Macht::N,власть,իշխանություն
543,Grenze::N,кунгож,սահման
544,Krieg::N,ож,պատերազմ
545,Feind::N,тушмон,թշնամի
546,Gewalt::N,эриктэман,բռնություն
547,Gewalt::N,эриктэман,սաստկություն
548,Kampf::N,нюръяськон,մարտ
549,Bogen[Waffe]::N,пукыӵ,աղեղ
550,Pfeil::N,пукыӵ вень,նետ
551,Gewehr::N,пыӵал,հրացան
552,Fehler::N,янгыш,սխալ
553,Lüge::N,пӧян,սուտ
554,Lüge::N,алдан,սուտ
555,Lüge::N,ӧрекчан,սուտ
556,Schaden::N,изъян,վնաս
557,Unglück::N,куректон,դժբախտություն
558,Unglück::N,шудтэме усён,դժբախտություն
559,Schuld::N,янгыш,պակասություն
560,Alter::N,арлыд,հասակ
561,Schluss::N,пум,վերջ
562,Schluss::N,пум,վախճան
563,Zeit::N,дыр,ժամանակ
564,Tag::N,нунал,օր
565,Morgen::N,ӵукна,առավոտ
566,Mittag::N,лымшор,կեսօր
567,Abend::N,ӝыт,երեկո
568,Abend::N,акшан,երեկո
569,Nacht::N,уй,գիշեր
570,Woche::N,арня,շաբաթ
571,Monat::N,толэзь,ամիս
572,Jahr::N,ар,տարի
573,Frühling::N,тулыс,գարուն
574,Sommer::N,гужем,ամառ
575,Herbst::N,сӥзьыл,աշուն
576,Winter::N,тол,ձմեռ
577,Januar::N,выльартолэзь,հունվար
578,Februar::N,тулыспал,փետրվար
579,März::N,южтолэзь,մարտ
580,April::N,оштолэзь,ապրիլ
581,Mai::N,куартолэзь,մայիս
582,Juni::N,вожотолэзь,հունիս
583,Juli::N,пӧсьтолэзь,հուլիս
584,August::N,гудырикошкон,օգոստոս
585,September::N,куарусён,սեպտեմբեր
586,Oktober::N,выльӝуктолэзь,հոկտեմբեր
587,November::N,шуркынмон,նոյեմբեր
588,Dezember::N,толсур,դեկտեմբեր
589,Montag::N,вордӥськон,երկուշաբթի
590,Dienstag::N,вторник,երեքշաբթի
591,Mittwoch::N,вирнунал,չորեքշաբթի
592,Donnerstag::N,покчиарня,հինգշաբթի
593,Freitag::N,удмуртарня,ուրբաթ
594,Samstag::N,кӧснунал,շաբաթ
595,Sonntag::N,арня,կիրակի
596,groß::A,бадӟым,մեծ
597,groß::A,бадӟым,խոշոր
598,klein::A,пичи,պստիկ
599,klein::A,пичи,փոքրիկ
600,lang::A,кузь,երկար
601,kurz::A,вакчи,կարճ
602,breit::A,паськыт,լայն
603,schmal::A,сюлэг,նեղ
604,dicht::A,ӵем,խիտ
605,dick[Gegenstand]::A,зӧк,հաստ
606,dünn::A,векчи,բարակ
607,fein::A,векчи,նուրբ
608,fest::A,юн,ամուր
609,fest::A,юн,պինդ
610,fest::A,чурыт,ամուր
611,fest::A,чурыт,պինդ
612,flach::A,ӵошкыт,տափակ
613,glatt::A,гылыт,հարթ
614,glatt::A,вольыт,հարթ
615,hart::A,чурыт,կարծր
616,weich::A,небыт,մեղմ
617,weich::A,небыт,փափուկ
618,rund::A,котырес,կլոր
619,spitz::A,йылсо,սրածայր
620,scharf::A,лэчыт,սուր
621,stumpf::A,ныж,գուլ
622,schwer::A,секыт,ծանր
623,schön::A,чебер,սիրուն
624,schön::A,чебер,գեղեցիկ
625,heiß::A,пӧсь,թեժ
626,warm::A,шуныт,տաք
627,warm::A,шуныт,ջերմ
628,kalt::A,кезьыт,ցուրտ
629,kühl::A,юзмыт,զով
630,kühl::A,салкым,զով
631,frisch::A,выль,թարմ
632,feucht::A,мускыт,ղոնավ
633,nass::A,котмем,թաց
634,trocken::A,кӧс,ցամաք
635,voll::A,тыр,լի
636,voll::A,тыр,լիքը
637,leer::A,буш,դատարկ
638,leer::A,тырттэм,դատարկ
639,offen::A,усьтэм,բաց
640,geschlossen::A,ӵогам,գոց
641,geschlossen::A,пунням,գոց
642,sauber::A,ӝикыт,մաքուր
643,sauber::A,чылкыт,մաքուր
644,schmutzig::A,нӧд,կեղտոտ
645,roh::A,ыль,հում
646,reif::A,вуэм,հասած
647,reif::A,вуэм,հասուն
648,lecker::A,ческыт,համեղ
649,süß::A,ческыт,անուշ
650,bitter::A,курыт,կծու
651,sauer::A,чырс,թթու
652,sauer::A,чырс,թթված
653,hell::A,югыт,պայծառ
654,hell::A,югыт,խելամիտ
655,dunkel::A,пеймыт,մութ
656,schwarz::A,сьӧд,սեւ
657,weiß::A,тӧдьы,սպիտակ
658,rot::A,горд,կարմիր
659,gelb::A,ӵуж,դեղին
660,blau::A,лыз,կապույտ
661,grün::A,вож,կանաչ
662,grau::A,пурысь,գորշ
663,bunt::A,куӵо,գոյնզգոյն
664,billig::A,дунтэм,էժան
665,teuer::A,дуно,թանկ
666,wertvoll::A,дуно,թանկարժեք
667,blind::A,сукыр,կույր
668,blind::A,синтэм,կույր
669,taub::A,пельтэм,խուլ
670,kräftig::A,кужмо,հզոր
671,stark::A,юн,ուժեղ
672,stark::A,кужмо,ուժեղ
673,schwach::A,ляб,տկար
674,schwach::A,ляб,թույլ
675,schwach::A,начар,տկար
676,schwach::A,начар,թույլ
677,fett::A,кӧй,գեր
678,schlank::A,веськыт,նիհար
679,schlank::A,веськрес,նիհար
680,hübsch::A,чебер,գրավիչ
681,hübsch::A,чебер,սիրունիկ
682,hübsch::A,синмаськымон,գրավիչ
683,hübsch::A,синмаськымон,սիրունիկ
684,böse::A,лек,չար
685,dumm::A,шузи,հիմար
686,dumm::A,визьтэм,հիմար
687,faul::A,азьтэм,ծույլ
688,fleißig::A,сюлмо,ջանասեր
689,fleißig::A,сюлмо,փութաջան
690,geizig::A,сук,ագահ
691,geizig::A,сук,կծծի
692,klug::A,визьмо,խելոք
693,klug::A,визьмо,ընդունակ
694,geschickt::A,усто,ճարտար
695,geschickt::A,быгатӥсь,ճարտար
696,lieb::A,мусо,սիրելի
697,lustig::A,шулдыр,զվարթ
698,sanft::A,мусо,հեզ
699,sanft::A,эрке,հեզ
700,hungrig::A,сютэм,քաղցած
701,krank::A,висись,հիվանդ
702,nackt::A,гольык,մերկ
703,traurig::A,мӧзмыт,տխուր
704,lebendig::A,улэп,կենդանի
705,gut::A,ӟеч,լավ
706,gut::A,умой,լավ
707,schlecht::A,урод,վատ
708,schlecht::A,алама,վատ
709,richtig::A,шонер,ձիշտ
710,schlimm::A,алама,լղրճուկ
711,wahr::A,зэмос,ճիշտ
712,wahr::A,зэмос,իրական
713,alt::A,вуж,հին
714,neu::A,выль,նոր
715,ehemalig::A,азьвылэз,նախկին
716,alt[Lebewesen]::A,пересь,ծեր
717,alt[Lebewesen]::A,пересь,պառավ
718,jung::A,егит,մատաղ
719,jung::A,пинал,մատաղ
720,arm::A,начар,աղքատ
721,arm::A,куанер,աղքատ
722,reich::A,узыр,հարուստ
723,bekannt::A,тодмо,ծանոթ
724,berühmt::A,дано,հայտնի
725,berühmt::A,дано,հռչակավոր
726,fremd::A,ят,օտար
727,verschieden::A,пӧртэм,տարբեր
728,nah::A,матысь,մոտ
729,nah::A,матысь,մերձ
730,fern::A,кыдёкысь,հեռավոր
731,linker::A,паллян,ձախ
732,rechter::A,бур,աջ
733,rechter::A,бурпал,աջ
734,anderer::A,мукет,այլ
735,anderer::A,мукет,ուրիշ
736,erster::A,нырысетӥез,առաջին
737,zweiter::A,кыктэтӥез,երկրորդ
