,Concept_ID,ku,te
118,Stamm::N,bavik,చెట్టుబోదె
119,Rinde::N,qaqil,చెట్టుపట్ట
120,Ast::N,gulî,కొమ్మ
121,Zweig::N,şax,చివుకు
122,Blatt::N,pel,ఆకు
123,Birke::N,dara sipî,తరహా చెట్టు
124,Kiefer[Baum]::N,dara bî,దేవదారు చెట్టు
125,Weide[Baum]::N,dara belalûk,జాతిచెట్టు
126,Tanne::N,merx,దేవదారుచెట్టు
127,Horn::N,strô,కొమ్ము
128,Feder::N,pîrtîk,ఈక
129,Fell::N,heyar,తోలు
130,Flügel::N,per,ఱెక్క
131,Klaue::N,napîk,వంకరగోరు
132,Kralle::N,dinik,వంకరగోరు
133,Kralle::N,dirnax,వంకరగోరు
134,Schwanz::N,dûv,తోక
135,Ei::N,hêk,గ్రుడ్డు
136,Nest::N,hêlîn,పక్షిగూడు
137,Bau::N,avahî,గుహ
138,Tier::N,heywan,జంతువు
139,Herde::N,hoz,మంద
140,Kuh::N,çêlek,ఆవు
141,Bulle::N,ga,గిత్త
142,Pferd::N,hesp,గుఱ్ఱము
143,Schaf::N,mîh,గొఱ్ఱె
144,Schwein::N,beraz,పంది
145,Hund::N,seh,కుక్క
146,Katze::N,pişîk,పిల్లి
147,Bär::N,hirç,ఎలుగుబంటి
148,Eichhörnchen::N,pilûr,ఉడుత
149,Elch::N,pazkovî,కణంజు
150,Fuchs::N,rovî,గుంటనక్క
151,Hase::N,kîroşk,కుందేలు
152,Maus::N,mişk,చిట్టెలుక
153,Wolf::N,gur,తోడేలు
154,Vogel::N,çûk,పక్షి
155,Schwarm::N,lufik,గుంపు
156,Huhn::N,mirîşk,కోడిపిల్ల
157,Hahn::N,dîk,కోడివుంజు
158,Gans::N,qaz,ఆడుబాతు
159,Adler::N,eylo,గ్రద్ద
160,Ente::N,werdek,పాట్టిబాతు
161,Eule::N,bûm,గ్రుడ్లగూబ
162,Eule::N,kund,గ్రుడ్లగూబ
163,Kranich::N,quling,కొంగ
164,Krähe::N,qijik,కాకి
165,Kuckuck::N,pepûk,కోయల
166,Schwan::N,qû,హంస
167,Fisch::N,masî,చేప
168,Barsch::N,okûn,ఒకచేఁప
169,Hecht::N,mesîyê lûf,గండుమీను
170,Schlange[Tier]::N,mar,పాము
171,Wurm::N,kurm,పురుగు
172,Spinne::N,pîrê,సాలె పురుగు
173,Ameise::N,mîro,చీమ
174,Ameise::N,gêrîk,చీమ
175,Laus::N,spi,పేను
176,Mücke::N,mêş,చీకటీగ
177,Fliege::N,mêş,ఈగ
178,Schmetterling::N,perperîk,సీతాకోకచిలుక
179,Beere::N,hirç,కాయ
180,Apfel::N,sêv,ఆపిల్ పండు
181,Pilz::N,bîrov,కుక్కగొడుగు
182,Zwiebel::N,pîvaz,నీరుల్లి
183,Saat::N,tov,విత్తనము
184,Korn::N,dexl,గింజ
185,Heu::N,sap,ఎండుగడ్డి
186,Schale::N,qaşik,పొట్టు
187,Grube::N,çahl,గొయ్యి
188,Falle::N,dafik,బోను
189,Schlinge::N,dahf,ఉరి
190,Spur::N,rêç,జాడ
191,Asche::N,xweli,బూడిద
192,Dreck::N,gemarî,ముఱికి
193,Eisen::N,hesing,ఇనుము
194,Gold::N,zêr,బంగారము
195,Silber::N,zîv,వెండి
196,Kohle::N,komir,నేలబొగ్గు
197,Glas::N,qedeh,గాజు
198,Lehm::N,kelpîç,బంకమన్ను
199,Sand::N,qûm,ఇసుక
200,Mensch::N,mirov,నరుడు
201,Mann::N,mêr,పురుమడు
202,Frau::N,jin,ఆడుది
203,Kind::N,zarok,బిడ్డ
204,Junge::N,kur,బాలుడు
205,Mädchen::N,keç,బాలిక
206,Mädchen::N,keçik,బాలిక
207,Familie::N,malbat,కుటుంబము
208,Großvater::N,bapîr,తాత
209,Großmutter::N,pîrik,అయ్యమ్మ
210,Eltern::N,bavudê,తల్లితండ్రులు
211,Vater::N,bav,తండ్రి
212,Mutter::N,dê,తల్లి
213,Mutter::N,dayik,తల్లి
214,Sohn::N,kur,కొడుకు
215,Tochter::N,keç,కూతురు
216,Bruder::N,bira,పోదరుడు
217,Schwester::N,xweh,సోదరి
218,Onkel::N,am,మేనమామ
219,Onkel::N,xal,మేనమామ
220,Tante::N,metik,మేనత్త
221,Tante::N,metik,పినతల్లి
222,Tante::N,xaltîk,మేనత్త
223,Tante::N,xaltîk,పినతల్లి
224,Ehemann::N,mêr,భర్త
225,Ehefrau::N,kulfet,భార్య
226,Freude::N,kêfxweşî,సంతోషము
227,Gelächter::N,pîrqînî,నవ్వు
228,Glück::N,bext,సంతోషము
229,Kummer::N,derd,దుఃఖము
230,Wunsch::N,daxwaz,కోరిక
231,Wunsch::N,xwestek,కోరిక
232,Lust::N,şewq,కోరిక
233,Geist::N,aqil,ఆత్మ
234,Gedanke::N,fikir,ఆలోచన
235,Gedächtnis::N,aqil,జ్ఞాపకము
236,Verstand::N,fêm,మనస్సు
237,Sinn::N,aqil,అర్థము
238,Grund::N,asas,కారణము
239,Wahrheit::N,rastî,సత్యము
240,Gespräch::N,guftûgo,పంభాషణ
241,Märchen::N,çirok,అద్భుతకథ
242,Erzählung::N,çirok,కథ
243,Erzählung::N,vegotin,కథ
244,Nachricht::N,nûçe,వార్త
245,Neuigkeit::N,hewal,వార్త
246,Name::N,nav,పేరు
247,Name::N,paşnav,పేరు
248,Rätsel::N,tiştonek,చిక్కు
249,Rede::N,gotar,ఉపన్యాసము
250,Rede::N,axavtin,ఉపన్యాసము
251,Sprache::N,ziman,భాష
252,Stimme::N,pejn,కంరథ్సని
253,Wort::N,gotin,మాట
254,Zeichen::N,şanek,గుర్తు
255,Ruf::N,hawar,పిలువు
256,Lärm::N,xarbalix,సందడి
257,Laut::N,deng,ధ్వని
258,Laut::N,hês,ధ్వని
259,Ton::N,awaz,స్వరము
260,Lied::N,sitran,పాట
261,Ruhe::N,rihetî,గాలిలేమి
262,Leute::N,xelk,జనులు
263,Volk::N,xelk,జాతి
264,Arbeit::N,xebat,పని
265,Gast::N,mêvan,అతిధి
266,Geschenk::N,diyarî,దానము
267,Spiel::N,lîstik,ఆట
268,Gesellschaft::N,komal,జట్టు
269,Hilfe::N,alîkarî,సాహాయ్యము
270,Freund::N,heval,స్నేహితుడు
271,Kamerad::N,heval,చెలికాడు
272,Angelegenheit::N,pirsgirêk,విషయము
273,Anzahl::N,çend,లెక్క
274,Art::N,çeh,జాతి
275,Stück::N,lib,తునుక
276,Stück::N,parçe,తునుక
277,Teil::N,parçe,భాగము
278,Hälfte::N,nîvî,సగము
279,Kreis::N,çemil,వృత్తము
280,Kreuz::N,xaç,సిలువ
281,Linie::N,xezik,గీత
282,Strich::N,xezik,గీత
283,Abstand::N,dûrahî,సందు
284,Entfernung::N,dûrahî,దూరము
285,Gegend::N,dever,విస్తీర్ణము
286,Platz::N,çih,ఎడము
287,Ort::N,dever,స్థలము
288,Seite::N,rûpel,ప్రక్క
289,Mitte::N,nav,నడిమి
290,Mitte::N,nabênê,నడిమి
291,Gegenstand::N,tişt,పద్దు
292,Sache::N,tişt,వస్తువు
293,Rand::N,kevî,అంచు
294,Kante::N,kevî,అంచు
295,Ecke::N,qunç,మూల
296,Spitze::N,derzî,మొన
297,Ende::N,talî,కొన
298,Loch::N,qul,రంధ్రము
299,Winkel::N,kurnîşk,కోణము
300,Muster::N,desen,మాదిరి
301,Größe::N,mezinî,పరిమాణము
302,Länge::N,dirêjahî,పొడుగు
303,Höhe::N,bilindayî,పొడుగు
304,Gewicht::N,giranî,భారము
305,Menge::N,qas,మొత్తము
306,Haufen::N,lod,రాశి
307,Reihe::N,rêz,వరుస
308,Boot::N,kelek,పడవ
309,Ruder::N,bêrik,అడక
310,Schlitten::N,xîjik,సరవండ్లు
311,Ski::N,lakan,స్కీ
312,Lagerfeuer::N,agir,నెగడు
313,Last::N,bar,బరువు
314,Gang::N,fîtêz,నడక
315,Schritt::N,gav,అడుగు
316,Norden::N,bakur,ఉత్తరదిక్కు
317,Süden::N,başur,దక్షిణము
318,Westen::N,rojava,పడమర
319,Osten::N,rojhilat,తూర్పు
320,Holz::N,dep,కొయ్య
321,Brett::N,dep,పలక
322,Platte::N,dep,పలక
323,Stütze::N,destek,వాల్సేడ్లు
324,Stange::N,sing,స్తంభము
325,Stock::N,çam,కఱ్ఱ
326,Stab::N,qat,కఱ్ఱ
327,Rohr::N,borî,గొట్టము
328,Haus::N,mal,ఇల్లు
329,Haus::N,xanî,ఇల్లు
330,Heim::N,mal,స్వగృహము
331,Ofen::N,sobe,పొయ్యి
332,Fußboden::N,binpê,నేల
333,Tisch::N,mase,మేజా
334,Stuhl::N,kursî,కుర్చీ
335,Wiege::N,derguş,ఉయ్యాల
336,Bett::N,qerewêle,పడక
337,Bett::N,qerewêle,మంచం
338,Regal::N,rêbaz,అటక
339,Kiste::N,sindoq,వెట్టె
340,Fenster::N,çam,కిటికి
341,Fenster::N,şibeke,కిటికి
342,Tür::N,derî,ద్వారము
343,Tor::N,derge,ద్వారము
344,Zaun::N,hejik,కంచె
345,Dach::N,sere xanî,ఇంటివైకప్పు
346,Leiter::N,pêling,నిచ్చెన
347,Besen::N,melkes,చీపురుకట్ట
348,Spaten::N,mer,పాఱ
349,Schaufel::N,bêr,పాఱ
350,Gabel::N,çetel,ముండ్లగరిటె
351,Löffel::N,kevçî,గరిటె
352,Messer::N,kêr,కత్తి
353,Nagel::N,bizmar,మేకు
354,Netz::N,tor,వల
355,Haken::N,çenqel,కొక్కెము
356,Griff::N,destî,పిడి
357,Schloss::N,qonax,తాళము
358,Bild::N,dimen,చిత్రము
359,Figur::N,figûr,రూపము
360,Puppe::N,bûk,బొమ్మ
361,Beutel::N,kîsik,సంచి
362,Bündel::N,pêçek,మూట
363,Tasche::N,bêrîk,సంచి
364,Eimer::N,dewl,చేద
365,Deckel::N,devik,మూత
366,Geschirr::N,ferax,వంటకాలు
367,Sack::N,tûr,గోనెసంచి
368,Tasse::N,kada,గిన్నె
369,Topf::N,beroş,కుండ
370,Kessel::N,şîril,నీరుకాచుపాత్ర
371,Essen::N,xwarin,ఆహారము
372,Nahrung::N,xwarin,ఆహారము
373,Speise::N,xwarin,ఆహారము
374,Fleisch::N,goşt,మాంసము
375,Getreide::N,zad,ధాన్యము
376,Brei::N,hewdêl,గుజ్జు
377,Brot::N,,రొట్టె
378,Scheibe::N,parçe,బద్ద
379,Fett::N,rûn,క్రొవ్వు
380,Butter::N,rûn,వెన్న
381,Öl::N,rûn,నూనె
382,Salz::N,xwe,ఉప్పు
383,Suppe::N,şorbe,చారు
384,Honig::N,hingiv,తెనె
385,Milch::N,şîr,పాలు
386,Tee::N,çay,తేనీరు
387,Leder::N,çerm,బాగుచేసివతోలు
388,Wolle::N,herî,ఉన్ని
389,Stoff::N,paç,బట్ట
390,Nadel::N,derzî,సూది
391,Faden::N,ta,దారము
392,Knopf::N,bişkok,బొత్తాము
393,Knoten::N,girêk,ముడి
394,Farbe::N,boyax,రంగు
395,Kleidung::N,çil,బట్టలు
396,Hemd::N,qutik,చొక్కాయ
397,Hemd::N,miltan,చొక్కాయ
398,Kragen::N,stûvang,మాల
399,Ärmel::N,hûçik,చొక్కాయచెయ్యి
400,Hose::N,şewel,ఇజారు
401,Gürtel::N,qayiş,పటకా
402,Mütze::N,fîno,టోపి
403,Schuh::N,şêkal,పాదరక్ష
404,Stiefel::N,gizme,బూటు
405,Stiefel::N,çizme,బూటు
406,Ring::N,xelek,ఉంగరము
407,Band::N,band,నాడా
408,Kamm::N,şeh,దువ్వెన
409,Spiegel::N,eynik,అద్దము
410,Riemen::N,qayiş,వాడా
411,Schnur::N,doxin,దారము
412,Leine::N,şirît,వారు
413,Decke::N,bataniye,కంబళి
414,Kissen::N,balgî,తలగడ
415,Tuch::N,şar,బట్ట
416,Handtuch::N,dezmal,తువాలు
417,Kraft::N,hêz,బలము
418,Kraft::N,qewet,బలము
419,Stärke::N,xurtî,శక్తి
420,Gesundheit::N,nojdarî,ఆరోగ్యము
421,Krankheit::N,nexweşî,రోగము
422,Schmerz::N,êş,నొప్పి
423,Wunde::N,kul,గాయము
424,Fieber::N,ta,జ్వరము
425,Arznei::N,derman,మందు
426,Brücke::N,kopî,వంతెన
427,Brunnen::N,çal,బావి
428,Brunnen::N,çal,కూపము
429,Brunnen::N,çal,నుయ్యి
430,Brunnen::N,kani,బావి
431,Brunnen::N,kani,కూపము
432,Brunnen::N,kani,నుయ్యి
433,Weide::N,beyar,పచ్చికబయలు
434,Pfad::N,xaçirek,కాలిత్రోవ
435,Weg::N,rê,మార్గము
436,Straße::N,rê,బాట
437,Dorf::N,gund,గ్రామము
438,Stadt::N,baçar,పట్టణము
439,Brief::N,name,జాబు
440,Buch::N,kitêb,పుస్తకము
441,Buch::N,pirtûk,పుస్తకము
442,Buchstabe::N,herf,అక్షరము
443,Zeitung::N,rojname,వార్తాపత్రిక
444,Leben::N,jiyan,ప్రాణము
445,Tod::N,mirin,మరణము
446,Grab::N,mezel,సమాధి
447,Kirche::N,gilyas,క్రెస్తవులగుడి
448,Sünde::N,guneh,పాపము
449,Gott::N,xwedê,దేవుడు
450,Arbeiter::N,hîşçî,పనిపాటుచేశేవాడు
451,Chef::N,bêg,యజమానుడు
452,Meister::N,hoste,కళాకారుడు
453,Arzt::N,doktor,వైద్యుడు
454,Lehrer::N,mamoste,ఉపాధ్యాయుడు
455,Geld::N,pere,ద్రవ్యము
456,Geschäft::N,firoşgeh,వ్యాపారము
457,Laden::N,dikan,అంగడి
458,Preis::N,buha,వెల
459,Ware::N,tişt,సరకులు
460,Nutzen::N,fêde,ప్రయోజనము
461,Reichtum::N,serwet,ధనము
462,Welt::N,dinya,ప్రపంచము
463,Land::N,welat,దేశము
464,Staat::N,dewlet,రాజ్యము
465,König::N,şah,రాజు
466,König::N,qral,రాజు
467,Macht::N,qewet,అధికారము
468,Macht::N,destihilat,అధికారము
469,Grenze::N,kevî,సరిహద్దు
470,Krieg::N,çeng,యుద్ధము
471,Krieg::N,sêwaş,యుద్ధము
472,Feind::N,dijmin,శత్రువు
473,Gewalt::N,zor,దౌర్జన్యము
474,Kampf::N,şer,పోట్లాట
475,Bogen[Waffe]::N,kêvan,విల్లు
476,Pfeil::N,çîrik,బాణము
477,Gewehr::N,tifing,తుపాకి
478,Fehler::N,şaşî,తప్ప
479,Lüge::N,derew,అసత్యము
480,Schaden::N,xisar,నష్టము
481,Unglück::N,bêbextî,దురదృష్టము
482,Schuld::N,suç,తప్పు
483,Alter::N,temen,వయస్సు
484,Schluss::N,girtin,ముగింపు
485,Zeit::N,çax,కాలము
486,Tag::N,roj,దినము
487,Morgen::N,sibeh,ఉదయము
488,Mittag::N,nîro,మధ్యాహ్నము
489,Abend::N,êvar,సాయంకాలము
490,Nacht::N,şev,రత్రి
491,Woche::N,heftî,వారము
492,Monat::N,meh,నెల
493,Jahr::N,sal,సంవత్సరము
494,Frühling::N,bihar,వసంతకాలము
495,Sommer::N,havîn,వేసవికాము
496,Herbst::N,payîz,ఆకురాలుకాలము
497,Winter::N,zistan,శీతకాలము
498,Januar::N,çile,జనవరి
499,Februar::N,sibat,ఫిబ్రవరి
500,März::N,adar,మార్చి
501,April::N,nîsan,ఏప్రిలు
502,Mai::N,gûlan,మే
503,Juni::N,hezîran,జూన్
504,Juli::N,tîmeh,జూలై
505,August::N,tebax,ఆగస్టు
506,September::N,îlon,సెప్ఠెంబరు
507,Oktober::N,çotmeh,అక్టోబరు
508,November::N,mijdar,నవంబరు
509,Dezember::N,kanûn,డిసెంబర్
510,Montag::N,duşemb,సోమవారము
511,Dienstag::N,sêşem,మంగళవారము
512,Mittwoch::N,çarşemb,బుధవారము
513,Donnerstag::N,pêşemb,గురువారము
514,Freitag::N,în,శుక్రవారము
515,Samstag::N,şemî,శనివారము
516,Sonntag::N,yekşemb,ఆదివారము
517,groß::A,mezin,గొప్పైన
518,klein::A,çûçik,చిన్న
519,lang::A,dirêj,పొడుగాటి
520,kurz::A,kin,పొట్టి
521,breit::A,fireh,వెడల్పైన
522,schmal::A,tenik,ఇఱుకైన
523,dicht::A,gir,దట్టమైన
524,dick[Gegenstand]::A,şîşman,దట్టమైన
525,dünn::A,zirav,పలుచని
526,fein::A,tenik,నాజాకైన
527,fest::A,saxlem,దృడమైవ
528,flach::A,pahn,చదువైన
529,glatt::A,dûz,నున్నని
530,glatt::A,şayîk,నున్నని
531,hart::A,hişk,కఠినమైన
532,weich::A,nerm,మృదువైన
533,rund::A,gilover,గుండ్రని
534,spitz::A,pîj,మొనగల
535,scharf::A,tûj,పదనైన
536,stumpf::A,ne tûj,వాడిలేని
537,schwer::A,giran,బరువ్తెన
538,schön::A,xweş,సుందరమైన
539,schön::A,xweşik,సుందరమైన
540,heiß::A,kelandî,వేడియైన
541,warm::A,germ,వెచ్చని
542,kalt::A,sar,చల్లని
543,kühl::A,jemîrî,చల్లని
544,frisch::A,ter,తాజాయైన
545,feucht::A,şil,చెమ్మగానున్న
546,nass::A,şilek,తడిగామన్న
547,trocken::A,zuwa,ఎండిన
548,voll::A,tijî,నిండు
549,leer::A,vala,శూన్యమైన
550,offen::A,vekirî,తెఱచియున్న
551,geschlossen::A,asê,మూసిన
552,sauber::A,pakij,పరిశుద్ధమైన
553,schmutzig::A,lewitî,ముఱికియైన
554,roh::A,xav,పచ్చి
555,reif::A,gihaştî,పండివ
556,lecker::A,xweş,రుచి గల
557,süß::A,şîrîn,తియ్యని
558,bitter::A,tahl,చేదైన
559,sauer::A,tirş,పుల్లని
560,hell::A,ronî,కాంతిగల
561,dunkel::A,tarî,చీకటియైన
562,schwarz::A,reş,నల్లని
563,weiß::A,sipî,తెలుపు
564,rot::A,sor,ఎఱ్ఱని
565,gelb::A,zer,పసుపు పచ్చ
566,blau::A,şîn,నీలవర్ణము
567,grün::A,şîn,ఆకుపచ్చని
568,grau::A,gewr,నెరిసిన
569,bunt::A,rengîn,రంగేలీ
570,billig::A,erzan,చౌకయైన
571,teuer::A,biha,వెలపొడుగైన
572,wertvoll::A,hêja,విలుప్తెన
573,wertvoll::A,giranbiha,విలుప్తెన
574,blind::A,kor,గ్రుడ్డి
575,taub::A,kerr,చెవిటి
576,kräftig::A,gir,శక్తి గల
577,kräftig::A,xurt,శక్తి గల
578,stark::A,xurt,బలమైన
579,schwach::A,kesad,బలహీనమైన
580,fett::A,qelew,క్రొవ్విన
581,schlank::A,zirav,సన్నని
582,hübsch::A,xweşik,సాగప్తెన
583,böse::A,xerab,చెడ్డ
584,böse::A,aciz,చెడ్డ
585,dumm::A,gêj,తెలివిలేని
586,faul::A,têmbêl,సోమరియైన
587,fleißig::A,jêhatî,శ్రద్దగల
588,geizig::A,destgirtî,పిసినారియైన
589,klug::A,baqil,తెలివిగల
590,geschickt::A,zîrek,నిపుణతగల
591,geschickt::A,ziring,నిపుణతగల
592,lieb::A,delal,ప్రియమైన
593,lustig::A,kêfxweş,ఉల్లాసము గల
594,sanft::A,nazenîn,సాధువైన
595,hungrig::A,birçî,ఆకలిగొనిన
596,krank::A,nexweş,వ్యాధిగల
597,nackt::A,rût,దిగంబరమైన
598,nackt::A,tazî,దిగంబరమైన
599,traurig::A,xemgîn,విచారముగల
600,lebendig::A,bisaxî,ప్రాణముతో నున్న
601,gut::A,baş,మంచి
602,schlecht::A,xerab,చెడ్డ
603,richtig::A,rast,సరియైన
604,richtig::A,saxlem,సరియైన
605,schlimm::A,nebaş,అసహ్యమైన
606,wahr::A,rast,నిజమైన
607,alt::A,pîr,ముసలి
608,alt::A,kevn,ముసలి
609,neu::A,nû,క్రొత్త
610,ehemalig::A,kevnar,పూర్వపు
611,ehemalig::A,peşidar,పూర్వపు
612,alt[Lebewesen]::A,pîr,ముసలి
613,jung::A,xort,పసి
614,arm::A,feqîr,బీద
615,arm::A,desteng,బీద
616,reich::A,dewlemend,ధనవంతుడైన
617,bekannt::A,naskirî,తెలిసిన
618,berühmt::A,navdar,ప్రపిద్దికెక్కివ
619,fremd::A,xerîb,అన్యమైన
620,verschieden::A,çîhê,భేదమైన
621,nah::A,nêzîk,దగ్గఱనున్న
622,fern::A,dûr,దూరమందున్న
623,linker::A,çepê,ఎడమప్రక్కగ
624,rechter::A,rastê,కుడి
625,anderer::A,yê din,వేఱ్తెన
626,erster::A,yekemîn,మొదటి
627,zweiter::A,duda,రెండన
628,dritter::A,sisêya,మూడో
629,letzter::A,paşîn,కడపటి
630,allein::ADV,tenê,ఒంటిగా
631,auf einmal::ADV,jar kê,హరాత్తుగ
632,zusammen::ADV,tev,కలిసి
633,zusammen::ADV,bi hev re,కలిసి
634,lange::ADV,dirêj,బహుకాలము
635,plötzlich::ADV,ji nişkave,హరాత్తుగ
636,sofort::ADV,yekser,తక్షణము
637,später::ADV,paşiyê,ఇటీవలి
638,jetzt::ADV,nuha,ఇప్పుడు
639,heute::ADV,îro,నేడు
640,morgen::ADV,sibeh,ఱేపు
641,bald::ADV,nêzîk,శీఘ్రముగ
642,dann::ADV,paşê,అప్పుడు
643,gestern::ADV,do,నిన్నటి దినము
644,einst::ADV,jar ke,పూర్వమొకప్పుడు
645,damals::ADV,hîngî,అప్పుడు
646,danach::ADV,piştra,అప్పుడు
647,vorher::ADV,pîşî,ఎదుట
648,zuerst::ADV,bere,మొదటిలో
649,einmal::ADV,çarik,ఒకసారి
650,manchmal::ADV,çarna,అప్పటప్పటికి
651,oft::ADV,gelek çaran,తఱచుగా
652,immer::ADV,daîm,ఎల్లప్పుడు
653,niemals::ADV,tu çar,ఎప్పుడునులేదు
654,hier::ADV,li vir,ఇక్కడ
655,hierhin::ADV,vir,ఇక్కడకు
656,von hier::ADV,ji vir,ఇక్కడనుండి
657,dort::ADV,li wê derê,అక్కడ
658,dorthin::ADV,wêda,అక్కడికి
659,geradeaus::ADV,rastê rast,సూటిగా
660,vorwärts::ADV,ber bi pêş,ముందుకు
661,rückwärts::ADV,paşpê,వెనుకకు
662,zurück::ADV,paşdo,వెనుకభాగము
663,zurück::ADV,paşvê,వెనుకభాగము
664,unten::ADV,jêrî,క్రింద
665,hinab::ADV,berjêr,కిందికి
666,oben::ADV,banî,మీద
667,hinauf::ADV,banî,పైకి
668,überall::ADV,li her derê,అంతటా
669,nicht::ADV,ne,కాదు
670,nicht::ADV,nîn,కాదు
671,nicht::ADV,tine,కాదు
672,ein wenig::ADV,hebkî,కొంచెము
673,kaum::ADV,tema,చాలిచాలక
674,kaum::ADV,himangi,చాలిచాలక
675,sehr::ADV,gelek,చాల
676,so::ADV,weha,ఆలాగున
677,noch::ADV,hêj,ఇప్పటికిని
678,noch::ADV,dîsa,ఇప్పటికిని
679,nur::ADV,tenê,మాత్రము
680,nur::ADV,bes,మాత్రము
681,schon::ADV,hew,ఇదివఱకే
682,wieder::ADV,jar din,తిరిగి
683,wieder::ADV,dîsa,తిరిగి
684,vergebens::ADV,deya çun,నిష్ఫలముగా
685,vergebens::ADV,îfleh bûn,నిష్ఫలముగా
686,vor::PRP,li ber,ముందు
687,hinter::PRP,li pişt,వెనుక
688,unter::PRP,li bin,క్రింద
689,durch::PRP,kura,ద్వారా
690,neben::PRP,li ba,దగ్గెర
691,zwischen::PRP,nabeyne,మధ్య
