,Concept_ID,uk,ja
475,Geld::N,гроші,金
476,Geschäft::N,заняття,取り引き
477,Laden::N,магазин,店
478,Laden::N,крамниця,店
479,Preis::N,ціна,値段
480,Ware::N,товар,商品
481,Nutzen::N,вигода,利益
482,Nutzen::N,користь,利益
483,Reichtum::N,багатство,豊かさ
484,Welt::N,світ,世界
485,Land::N,країна,国
486,Staat::N,держава,国家
487,König::N,король,国王
488,Macht::N,влада,権力
489,Grenze::N,кордон,国境
490,Krieg::N,війна,戦争
491,Feind::N,ворог,敵
492,Gewalt::N,насильство,暴力
493,Kampf::N,бій,戦い
494,Kampf::N,боротьба,戦い
495,Bogen[Waffe]::N,лук,弓
496,Pfeil::N,стріла,矢
497,Gewehr::N,рушниця,銃
498,Gewehr::N,гвинтівка,銃
499,Fehler::N,помилка,間違い
500,Lüge::N,брехня,嘘
501,Schaden::N,шкода,損害
502,Schaden::N,збиток,損害
503,Unglück::N,нещастя,不幸
504,Schuld::N,провина,罪
505,Alter::N,вік,年
506,Alter::N,вік,年齢
507,Alter::N,літа,年
508,Alter::N,літа,年齢
509,Schluss::N,кінець,終わり
510,Zeit::N,час,時
511,Zeit::N,час,時間
512,Tag::N,день,日
513,Morgen::N,ранок,朝
514,Mittag::N,південь,昼
515,Abend::N,вечір,晩
516,Abend::N,вечір,夕方
517,Nacht::N,ніч,夜
518,Woche::N,тиждень,週
519,Monat::N,місяць,月
520,Jahr::N,рік,年
521,Frühling::N,весна,春
522,Sommer::N,літо,夏
523,Herbst::N,осінь,秋
524,Winter::N,зима,冬
525,Januar::N,січень,一月
526,Februar::N,лютий,二月
527,März::N,березень,三月
528,April::N,квітень,四月
529,Mai::N,травень,五月
530,Juni::N,червень,六月
531,Juli::N,липень,七月
532,August::N,серпень,八月
533,September::N,вересень,九月
534,Oktober::N,жовтень,十月
535,November::N,листопад,十一月
536,Dezember::N,грудень,十二月
537,Montag::N,понеділок,月曜日
538,Dienstag::N,вівторок,火曜日
539,Mittwoch::N,середа,水曜日
540,Donnerstag::N,четвер,木曜日
541,Freitag::N,п’ятниця,金曜日
542,Samstag::N,субота,土曜日
543,Sonntag::N,неділя,日曜日
544,groß::A,великий,大きい
545,klein::A,малий,小さい
546,klein::A,маленький,小さい
547,lang::A,довгий,長い
548,kurz::A,короткий,短い
549,breit::A,широкий,広い
550,schmal::A,вузький,狭い
551,dicht::A,густий,密な
552,dick[Gegenstand]::A,товстий,厚い
553,dünn::A,тонкий,薄い
554,fein::A,дрібний,細い
555,fest::A,міцний,硬い
556,flach::A,плоский,平らな
557,glatt::A,рівний,滑らかな
558,glatt::A,гладенький,滑らかな
559,hart::A,твердий,堅い
560,weich::A,м’який,柔らかい
561,rund::A,круглий,丸い
562,spitz::A,гострокінцевий,尖った
563,scharf::A,гострий,鋭い
564,stumpf::A,тупий,鈍い
565,schwer::A,важкий,重い
566,schön::A,вродливий,綺麗な
567,heiß::A,жаркий,熱い
568,heiß::A,гарячий,熱い
569,warm::A,теплий,温かい
570,kalt::A,холодний,寒い
571,kalt::A,холодний,冷たい
572,kühl::A,прохолодний,涼しい
573,frisch::A,свіжий,ひんやりした
574,feucht::A,вогкий,湿った
575,nass::A,мокрий,濡れた
576,trocken::A,сухий,乾いた
577,voll::A,повний,いっぱいの
578,leer::A,пустий,空の
579,offen::A,відкритий,開いた
580,geschlossen::A,закритий,閉まった
581,geschlossen::A,зачинений,閉まった
582,sauber::A,чистий,清潔な
583,sauber::A,охайний,清潔な
584,schmutzig::A,брудний,汚い
585,roh::A,сирий,生の
586,reif::A,зрілий,熟した
587,lecker::A,смачний,美味しい
588,süß::A,солодкий,甘い
589,bitter::A,гіркий,苦い
590,sauer::A,кислий,酸っぱい
591,hell::A,світлий,明るい
592,dunkel::A,темний,暗い
593,schwarz::A,чорний,黒い
594,weiß::A,сивий,白い
595,rot::A,червоний,赤い
596,gelb::A,жовтий,黄色い
597,blau::A,синій,青い
598,grün::A,зелений,緑の
599,grau::A,сірий,灰色の
600,bunt::A,барвистий,色取り取りの
601,billig::A,дешевий,安い
602,teuer::A,дорогий,高い
603,wertvoll::A,цінний,貴重な
604,blind::A,сліпий,盲目の
605,taub::A,глухий,耳が聞こえない
606,kräftig::A,могутній,強力な
607,stark::A,сильний,強い
608,schwach::A,слабкий,弱い
609,fett::A,жирний,太った
610,fett::A,товстий,太った
611,schlank::A,тонкий,ほっそりした
612,schlank::A,стрункий,ほっそりした
613,hübsch::A,чарівний,素敵な
614,böse::A,злий,悪い
615,böse::A,лихий,悪い
616,dumm::A,дурний,馬鹿な
617,faul::A,ледачий,怠惰な
618,fleißig::A,старанний,勤勉な
619,geizig::A,скупий,けちな
620,klug::A,мудрий,賢い
621,klug::A,мудрий,頭のいい
622,klug::A,розумний,賢い
623,klug::A,розумний,頭のいい
624,geschickt::A,умілий,器用な
625,lieb::A,милий,愛らしい
626,lustig::A,веселий,楽しい
627,sanft::A,лагідний,温和な
628,hungrig::A,голодний,空腹の
629,krank::A,слабий,病気の
630,nackt::A,голий,裸の
631,traurig::A,сумний,悲しい
632,lebendig::A,живий,生きた
633,gut::A,добрий,良い
634,schlecht::A,поганий,悪い
635,schlecht::A,поганий,駄目な
636,schlecht::A,кепський,悪い
637,schlecht::A,кепський,駄目な
638,richtig::A,правильний,正しい
639,schlimm::A,бридкий,ひどい
640,wahr::A,справжній,本当の
641,alt::A,старий,古い
642,neu::A,новий,新しい
643,ehemalig::A,колишній,以前の
644,alt[Lebewesen]::A,старий,年を取った
645,jung::A,молодий,若い
646,arm::A,бідний,貧乏な
647,reich::A,багатий,裕福な
648,bekannt::A,знайомий,有名な
649,berühmt::A,славетний,有名な
650,fremd::A,чужий,見知らぬ
651,verschieden::A,різний,色々な
652,nah::A,близький,近い
653,fern::A,далекий,遠い
654,linker::A,лівий,左の
655,rechter::A,правий,右の
656,anderer::A,інакший,別の
657,erster::A,перший,一番目
658,zweiter::A,другий,二番目
659,dritter::A,третій,三番目
660,letzter::A,останній,最後の
661,allein::ADV,сам,一人で
662,allein::ADV,один,一人で
663,auf einmal::ADV,відразу,同時に
664,zusammen::ADV,разом,一緒に
665,zusammen::ADV,спільно,一緒に
666,lange::ADV,довго,長い間
667,plötzlich::ADV,раптом,急に
668,sofort::ADV,зараз,すぐに
669,später::ADV,пізніше,後で
670,jetzt::ADV,тепер,今
671,heute::ADV,сьогодні,今日
672,morgen::ADV,завтра,明日
673,bald::ADV,незабаром,間もなく
674,dann::ADV,потім,それから
675,gestern::ADV,вчора,昨日
676,einst::ADV,колись,過去に
677,damals::ADV,тоді,あの時
678,danach::ADV,згодом,その後で
679,vorher::ADV,раніше,以前に
680,zuerst::ADV,спершу,まず
681,zuerst::ADV,спершу,最初に
682,zuerst::ADV,спочатку,まず
683,zuerst::ADV,спочатку,最初に
684,einmal::ADV,один раз,一回
685,manchmal::ADV,іноді,時々
686,manchmal::ADV,інколи,時々
687,oft::ADV,часто,よく
688,immer::ADV,завжди,いつも
689,niemals::ADV,ніколи,一度も...ない
690,hier::ADV,тут,こちら
691,hierhin::ADV,сюди,ここへ
692,hierhin::ADV,сюди,こちらへ
693,von hier::ADV,звідси,ここから
694,dort::ADV,там,そちら
695,dorthin::ADV,туди,そこへ
696,dorthin::ADV,туди,そちらへ
697,geradeaus::ADV,прямо,真っ直ぐに
698,vorwärts::ADV,вперед,前へ
699,rückwärts::ADV,назад,後ろへ
700,zurück::ADV,назад,後ろへ
701,unten::ADV,внизу,下に
702,hinab::ADV,вниз,下へ
703,oben::ADV,вгорі,上に
704,hinauf::ADV,вгору,上へ
705,überall::ADV,скрізь,どこでも
706,nicht::ADV,не,ない
707,ein wenig::ADV,трохи,少し
708,ein wenig::ADV,трохи,ちょっと
709,ein wenig::ADV,небагато,少し
710,ein wenig::ADV,небагато,ちょっと
711,kaum::ADV,ледве,ほとんど～ない
712,sehr::ADV,дуже,とても
713,so::ADV,так,こう
714,noch::ADV,ще,まだ
715,nur::ADV,лише,～だけ
716,nur::ADV,тільки,～だけ
717,schon::ADV,вже,もう
718,wieder::ADV,знову,再び
719,vergebens::ADV,дарма,無駄に
720,vor::PRP,перед,前に
721,hinter::PRP,ззаду,後ろに
722,hinter::PRP,позаду,後ろに
723,unter::PRP,під,下に
724,durch::PRP,крізь,通して
725,neben::PRP,біля,横に
726,zwischen::PRP,між,間に
727,wegen::PRP,з-за,為に
728,wegen::PRP,з-за,せいで
729,wegen::PRP,через,為に
730,wegen::PRP,через,せいで
731,dies::PRN,це,これ
732,das::PRN,то,それ
733,alles::PRN,все,全部
734,ich::PRN,я,私
735,du::PRN,ти,あなた
736,er::PRN,він,彼
737,wir::PRN,ми,私達
738,ihr::PRN,ви,あなた達
739,sie::PRN,вони,彼ら
740,was::FPRN,що,何
741,wer::FPRN,хто,誰
742,wer::FPRN,хто,どなた
743,wo::FADV,де,どこ
744,wo::FADV,де,どこに
745,wohin::FADV,куди,どこへ
746,wie::FADV,як,どう
747,warum::FADV,чому,何故
748,warum::FADV,чому,どうして
749,wieviel::FNUM,скільки,どのくらい
750,eins::NUM,один,一
751,zwei::NUM,два,二
752,zwei::NUM,два,二つ
753,drei::NUM,три,三
754,drei::NUM,три,三つ
755,vier::NUM,чотири,四
756,vier::NUM,чотири,四つ
757,fünf::NUM,п’ять,五
758,fünf::NUM,п’ять,五つ
759,sechs::NUM,шість,六
760,sechs::NUM,шість,六つ
761,sieben::NUM,сім,七
762,sieben::NUM,сім,七つ
763,acht::NUM,вісім,八
764,acht::NUM,вісім,八つ
765,neun::NUM,дев’ять,九
766,neun::NUM,дев’ять,九つ
767,zehn::NUM,десять,十
768,elf::NUM,одинадцять,十一
769,zwölf::NUM,дванадцять,十二
770,zwanzig::NUM,двадцять,二十
771,dreißig::NUM,тридцять,三十
772,vierzig::NUM,сорок,四十
773,fünfzig::NUM,п’ятдесят,五十
774,sechzig::NUM,шістдесят,六十
775,siebzig::NUM,сімдесят,七十
776,achtzig::NUM,вісімдесят,八十
777,neunzig::NUM,дев’яносто,九十
778,hundert::NUM,сто,百
779,tausend::NUM,тисяча,千
780,und::CNJ,і,-と
781,und::CNJ,і,そして
782,oder::CNJ,або,或いは
783,stehen::V,стояти,立っている
784,sitzen::V,сидіти,座っている
785,liegen::V,лежати,横になっている
786,hängen::V,висіти,掛かっている
787,werden::V,стати,なる
788,werden::V,робитися,なる
789,passieren::V,трапитися,起こる
790,beginnen::V,початися,始まる
791,enden::V,кінчитися,終わる
792,wechseln::V,мінятися,変わる
793,aufgehen[Sonne]::V,зійти,出る
794,untergehen[Sonne]::V,зайти,沈む
795,scheinen[Sonne]::V,світити,輝く
796,donnern::V,гриміти,雷が鳴る
797,wehen::V,віяти,吹く
798,strömen::V,литися,流れる
799,fließen::V,текти,流れる
800,sich drehen::V,обертатися,回転する
801,schwanken::V,коливатися,揺れる
802,schwingen::V,хитатися,振動する
803,schwingen::V,гойдатися,振動する
804,fallen::V,падати,落ちる
805,brennen::V,горіти,燃える
806,rauchen::V,диміти,煙を出す
807,regnen::V,дощити,雨が降る
808,gefrieren::V,змерзнути,凍る
809,tauen::V,танути,溶ける
810,schmelzen::V,плавитися,溶ける
811,trocknen::V,сохнути,乾く
812,sieden::V,кипіти,沸く
813,faulen::V,гнити,腐る
814,verfaulen::V,згнити,朽ちる
815,reißen::V,рватися,切れる
816,versinken::V,тонути,沈む
817,vergehen::V,проходити,経つ
818,erscheinen::V,з’явитися,現れる
819,verschwinden::V,щезнути,消える
820,verschwinden::V,зникнути,消える
821,sinken::V,спадати,下がる
822,abnehmen::V,поменшитися,減る
823,zunehmen::V,збільшуватися,増える
824,steigen::V,підніматися,上がる
825,wachsen::V,рости,伸びる
826,glänzen::V,блищати,輝く
827,funkeln::V,блискати,ぴかぴか光る
828,lärmen::V,шуміти,騒ぐ
829,läuten::V,дзвонити,鳴る
830,klingeln::V,дзвонити,鳴る
831,klirren::V,дзвякати,がらんがらんと鳴る
832,brausen::V,бушувати,逆巻く
833,rauschen::V,шелестіти,戦ぐ
834,klingen::V,лунати,鳴る
835,klingen::V,звучати,鳴る
836,bellen::V,гавкати,吠える
837,heulen::V,вити,きゃんきゃん鳴く
838,blasen::V,дунути,吹く
839,pfeifen::V,свистіти,口笛を吹く
840,schreien::V,кричати,叫ぶ
841,stöhnen::V,стогнати,うめく
842,zittern::V,тремтіти,震える
843,leben::V,жити,生きている
844,geboren werden::V,народитися,生まれる
845,atmen::V,дихати,呼吸する
846,trinken::V,пити,飲む
847,essen::V,їсти,食べる
848,schlucken::V,ковтати,飲み込む
849,müde werden::V,втомитися,眠くなる
