,Concept_ID,te,da
104,Bach::N,కాలువ,bæk
105,Fluss::N,నది,flod
106,Ufer::N,తీరము,bred
107,Küste::N,తీరము,kyst
108,Festland::N,భూమి,fastland
109,Meer::N,సముద్రము,hav
110,Bucht::N,మరుగు,bugt
111,Insel::N,దీవి,ø
112,Blume::N,పుష్పము,blomst
113,Gras::N,పచ్చగడ్డి,græs
114,Wurzel::N,వేరు,rod
115,Baum::N,చెట్టు,træ
116,Stamm::N,చెట్టుబోదె,stamme
117,Rinde::N,చెట్టుపట్ట,bark
118,Ast::N,కొమ్మ,gren
119,Zweig::N,చివుకు,kvist
120,Blatt::N,ఆకు,blad
121,Birke::N,తరహా చెట్టు,birk
122,Kiefer[Baum]::N,దేవదారు చెట్టు,fyrretræ
123,Weide[Baum]::N,జాతిచెట్టు,piletræ
124,Tanne::N,దేవదారుచెట్టు,gran
125,Horn::N,కొమ్ము,horn
126,Feder::N,ఈక,fjer
127,Fell::N,తోలు,skind
128,Flügel::N,ఱెక్క,vinge
129,Klaue::N,వంకరగోరు,klov
130,Kralle::N,వంకరగోరు,klo
131,Schwanz::N,తోక,hale
132,Ei::N,గ్రుడ్డు,æg
133,Nest::N,పక్షిగూడు,rede
134,Bau::N,గుహ,bo
135,Tier::N,జంతువు,dyr
136,Herde::N,మంద,flok
137,Kuh::N,ఆవు,ko
138,Bulle::N,గిత్త,tyr
139,Pferd::N,గుఱ్ఱము,hest
140,Schaf::N,గొఱ్ఱె,får
141,Schwein::N,పంది,gris
142,Hund::N,కుక్క,hund
143,Katze::N,పిల్లి,kat
144,Bär::N,ఎలుగుబంటి,bjørn
145,Eichhörnchen::N,ఉడుత,egern
146,Elch::N,కణంజు,elg
147,Fuchs::N,గుంటనక్క,ræv
148,Hase::N,కుందేలు,hare
149,Maus::N,చిట్టెలుక,mus
150,Wolf::N,తోడేలు,ulv
151,Vogel::N,పక్షి,fugl
152,Schwarm::N,గుంపు,sværm
153,Huhn::N,కోడిపిల్ల,høne
154,Hahn::N,కోడివుంజు,hane
155,Gans::N,ఆడుబాతు,gås
156,Adler::N,గ్రద్ద,ørn
157,Ente::N,పాట్టిబాతు,and
158,Eule::N,గ్రుడ్లగూబ,ugle
159,Kranich::N,కొంగ,trane
160,Krähe::N,కాకి,krage
161,Kuckuck::N,కోయల,gøg
162,Schwan::N,హంస,svane
163,Fisch::N,చేప,fisk
164,Barsch::N,ఒకచేఁప,aborre
165,Hecht::N,గండుమీను,gedde
166,Schlange[Tier]::N,పాము,slange
167,Wurm::N,పురుగు,orm
168,Spinne::N,సాలె పురుగు,edderkop
169,Ameise::N,చీమ,myre
170,Laus::N,పేను,lus
171,Mücke::N,చీకటీగ,myg
172,Fliege::N,ఈగ,flue
173,Schmetterling::N,సీతాకోకచిలుక,sommerfugl
174,Beere::N,కాయ,bær
175,Apfel::N,ఆపిల్ పండు,æble
176,Pilz::N,కుక్కగొడుగు,svamp
177,Zwiebel::N,నీరుల్లి,løg
178,Saat::N,విత్తనము,sæd
179,Korn::N,గింజ,korn
180,Heu::N,ఎండుగడ్డి,hø
181,Schale::N,పొట్టు,skræl
182,Grube::N,గొయ్యి,grav
183,Falle::N,బోను,fælde
184,Schlinge::N,ఉరి,snare
185,Spur::N,జాడ,spor
186,Asche::N,బూడిద,aske
187,Dreck::N,ముఱికి,snavs
188,Eisen::N,ఇనుము,jern
189,Gold::N,బంగారము,guld
190,Silber::N,వెండి,sølv
191,Kohle::N,నేలబొగ్గు,kul
192,Glas::N,గాజు,glas
193,Lehm::N,బంకమన్ను,ler
194,Sand::N,ఇసుక,sand
195,Mensch::N,నరుడు,mennesge
196,Mann::N,పురుమడు,mand
197,Frau::N,ఆడుది,kvinde
198,Kind::N,బిడ్డ,barn
199,Junge::N,బాలుడు,dreng
200,Mädchen::N,బాలిక,pige
201,Familie::N,కుటుంబము,familie
202,Großvater::N,తాత,bedstefar
203,Großmutter::N,అయ్యమ్మ,bedstemor
204,Eltern::N,తల్లితండ్రులు,forældre
205,Vater::N,తండ్రి,far
206,Mutter::N,తల్లి,mor
207,Sohn::N,కొడుకు,søn
208,Tochter::N,కూతురు,datter
209,Bruder::N,పోదరుడు,bror
210,Schwester::N,సోదరి,søster
211,Onkel::N,మేనమామ,onkel
212,Tante::N,మేనత్త,tante
213,Tante::N,పినతల్లి,tante
214,Ehemann::N,భర్త,ægtemand
215,Ehefrau::N,భార్య,hustru
216,Freude::N,సంతోషము,glæde
217,Gelächter::N,నవ్వు,latter
218,Glück::N,సంతోషము,lykke
219,Kummer::N,దుఃఖము,sorg
220,Wunsch::N,కోరిక,ønske
221,Lust::N,కోరిక,lyst
222,Geist::N,ఆత్మ,ånd
223,Gedanke::N,ఆలోచన,tanke
224,Gedächtnis::N,జ్ఞాపకము,hukommelse
225,Verstand::N,మనస్సు,forstand
226,Sinn::N,అర్థము,mening
227,Sinn::N,అర్థము,betydning
228,Grund::N,కారణము,grund
229,Wahrheit::N,సత్యము,sandhed
230,Gespräch::N,పంభాషణ,samtale
231,Märchen::N,అద్భుతకథ,eventyr
232,Erzählung::N,కథ,fortælling
233,Nachricht::N,వార్త,efterretning
234,Neuigkeit::N,వార్త,nyhed
235,Name::N,పేరు,navn
236,Rätsel::N,చిక్కు,gåde
237,Rede::N,ఉపన్యాసము,tale
238,Sprache::N,భాష,sprog
239,Stimme::N,కంరథ్సని,stemme
240,Wort::N,మాట,ord
241,Zeichen::N,గుర్తు,tegn
242,Ruf::N,పిలువు,råb
243,Lärm::N,సందడి,larm
244,Laut::N,ధ్వని,lyd
245,Ton::N,స్వరము,tone
246,Lied::N,పాట,sang
247,Ruhe::N,గాలిలేమి,ro
248,Ruhe::N,గాలిలేమి,hvile
249,Leute::N,జనులు,folk
250,Leute::N,జనులు,mennesker
251,Volk::N,జాతి,folk
252,Arbeit::N,పని,arbejde
253,Gast::N,అతిధి,gæst
254,Geschenk::N,దానము,gave
255,Spiel::N,ఆట,leg
256,Gesellschaft::N,జట్టు,selskab
257,Hilfe::N,సాహాయ్యము,hjælp
258,Freund::N,స్నేహితుడు,ven
259,Kamerad::N,చెలికాడు,kammerat
260,Angelegenheit::N,విషయము,sag
261,Angelegenheit::N,విషయము,anliggende
262,Anzahl::N,లెక్క,antal
263,Art::N,జాతి,art
264,Stück::N,తునుక,stykke
265,Teil::N,భాగము,del
266,Hälfte::N,సగము,halvdel
267,Kreis::N,వృత్తము,cirkel
268,Kreuz::N,సిలువ,kors
269,Kreuz::N,సిలువ,kryds
270,Linie::N,గీత,linie
271,Strich::N,గీత,streg
272,Abstand::N,సందు,afstand
273,Entfernung::N,దూరము,afstand
274,Gegend::N,విస్తీర్ణము,egn
275,Platz::N,ఎడము,plads
276,Ort::N,స్థలము,sted
277,Seite::N,ప్రక్క,side
278,Mitte::N,నడిమి,midte
279,Gegenstand::N,పద్దు,genstand
280,Sache::N,వస్తువు,sag
281,Rand::N,అంచు,rand
282,Kante::N,అంచు,kant
283,Ecke::N,మూల,hjørne
284,Spitze::N,మొన,spids
285,Ende::N,కొన,ende
286,Loch::N,రంధ్రము,hul
287,Winkel::N,కోణము,vinkel
288,Muster::N,మాదిరి,mønster
289,Größe::N,పరిమాణము,størrelse
290,Länge::N,పొడుగు,længde
291,Höhe::N,పొడుగు,højde
292,Gewicht::N,భారము,vægt
293,Menge::N,మొత్తము,mængde
294,Haufen::N,రాశి,bunke
295,Reihe::N,వరుస,række
296,Boot::N,పడవ,båd
297,Ruder::N,అడక,åre
298,Schlitten::N,సరవండ్లు,kælk
299,Schlitten::N,సరవండ్లు,slæde
300,Ski::N,స్కీ,ski
301,Lagerfeuer::N,నెగడు,lejrbål
302,Last::N,బరువు,last
303,Last::N,బరువు,byrde
304,Gang::N,నడక,gang
305,Schritt::N,అడుగు,skridt
306,Norden::N,ఉత్తరదిక్కు,nord
307,Süden::N,దక్షిణము,syd
308,Westen::N,పడమర,vest
309,Osten::N,తూర్పు,øst
310,Holz::N,కొయ్య,træ
311,Brett::N,పలక,bræt
312,Platte::N,పలక,plade
313,Stütze::N,వాల్సేడ్లు,støtte
314,Stange::N,స్తంభము,stang
315,Stock::N,కఱ్ఱ,stok
316,Stab::N,కఱ్ఱ,stav
317,Rohr::N,గొట్టము,rør
318,Haus::N,ఇల్లు,hus
319,Heim::N,స్వగృహము,hjem
320,Ofen::N,పొయ్యి,ovn
321,Fußboden::N,నేల,gulv
322,Tisch::N,మేజా,bord
323,Stuhl::N,కుర్చీ,stol
324,Wiege::N,ఉయ్యాల,vugge
325,Bett::N,పడక,seng
326,Bett::N,మంచం,seng
327,Regal::N,అటక,reol
328,Kiste::N,వెట్టె,kasse
329,Fenster::N,కిటికి,vindue
330,Tür::N,ద్వారము,dør
331,Tor::N,ద్వారము,port
332,Zaun::N,కంచె,stakit
333,Dach::N,ఇంటివైకప్పు,tag
334,Leiter::N,నిచ్చెన,stige
335,Besen::N,చీపురుకట్ట,kost
336,Spaten::N,పాఱ,spade
337,Schaufel::N,పాఱ,skovl
338,Gabel::N,ముండ్లగరిటె,gaffel
339,Löffel::N,గరిటె,ske
340,Messer::N,కత్తి,kniv
341,Nagel::N,మేకు,søm
342,Netz::N,వల,net
343,Haken::N,కొక్కెము,krog
344,Griff::N,పిడి,tag
345,Griff::N,పిడి,håndtag
346,Schloss::N,తాళము,lås
347,Bild::N,చిత్రము,billede
348,Figur::N,రూపము,figur
349,Puppe::N,బొమ్మ,dukke
350,Beutel::N,సంచి,pose
351,Bündel::N,మూట,bylt
352,Bündel::N,మూట,bundt
353,Tasche::N,సంచి,taske
354,Eimer::N,చేద,spand
355,Deckel::N,మూత,låg
356,Geschirr::N,వంటకాలు,husgeråd
357,Sack::N,గోనెసంచి,sæk
358,Tasse::N,గిన్నె,kop
359,Topf::N,కుండ,gryde
360,Kessel::N,నీరుకాచుపాత్ర,kedel
361,Essen::N,ఆహారము,måltid
362,Nahrung::N,ఆహారము,mad
363,Nahrung::N,ఆహారము,næring
364,Speise::N,ఆహారము,ret
365,Fleisch::N,మాంసము,kød
366,Getreide::N,ధాన్యము,korn
367,Brei::N,గుజ్జు,grød
368,Brot::N,రొట్టె,brød
369,Scheibe::N,బద్ద,skive
370,Fett::N,క్రొవ్వు,fedt
371,Butter::N,వెన్న,smør
372,Öl::N,నూనె,olie
373,Salz::N,ఉప్పు,salt
374,Suppe::N,చారు,suppe
375,Honig::N,తెనె,honning
376,Milch::N,పాలు,mælk
377,Tee::N,తేనీరు,te
378,Leder::N,బాగుచేసివతోలు,skind
379,Wolle::N,ఉన్ని,uld
380,Stoff::N,బట్ట,stof
381,Nadel::N,సూది,nål
382,Faden::N,దారము,tråd
383,Knopf::N,బొత్తాము,knap
384,Knoten::N,ముడి,knude
385,Farbe::N,రంగు,farve
386,Kleidung::N,బట్టలు,påklædning
387,Hemd::N,చొక్కాయ,skjorte
388,Kragen::N,మాల,krave
389,Ärmel::N,చొక్కాయచెయ్యి,ærme
390,Hose::N,ఇజారు,bukser
391,Gürtel::N,పటకా,bælte
392,Mütze::N,టోపి,hue
393,Schuh::N,పాదరక్ష,sko
394,Stiefel::N,బూటు,støvle
395,Ring::N,ఉంగరము,ring
396,Band::N,నాడా,bånd
397,Kamm::N,దువ్వెన,kam
398,Spiegel::N,అద్దము,spejl
399,Riemen::N,వాడా,rem
400,Schnur::N,దారము,snor
401,Leine::N,వారు,snor
402,Decke::N,కంబళి,tæppe
403,Kissen::N,తలగడ,pude
404,Tuch::N,బట్ట,sjaltørklæde
405,Handtuch::N,తువాలు,håndklæde
406,Kraft::N,బలము,kraft
407,Stärke::N,శక్తి,styrke
408,Gesundheit::N,ఆరోగ్యము,sundhed
409,Krankheit::N,రోగము,sygdom
410,Schmerz::N,నొప్పి,smerte
411,Wunde::N,గాయము,sår
412,Fieber::N,జ్వరము,feber
413,Arznei::N,మందు,medicin
414,Arznei::N,మందు,lægemiddel
415,Brücke::N,వంతెన,bro
416,Brunnen::N,బావి,brønd
417,Brunnen::N,కూపము,brønd
418,Brunnen::N,నుయ్యి,brønd
419,Weide::N,పచ్చికబయలు,græsgang
420,Pfad::N,కాలిత్రోవ,sti
421,Weg::N,మార్గము,vej
422,Straße::N,బాట,gade
423,Dorf::N,గ్రామము,landsby
424,Stadt::N,పట్టణము,by
425,Brief::N,జాబు,brev
426,Buch::N,పుస్తకము,bog
427,Buchstabe::N,అక్షరము,bogstav
428,Zeitung::N,వార్తాపత్రిక,avis
429,Leben::N,ప్రాణము,liv
430,Tod::N,మరణము,død
431,Grab::N,సమాధి,grav
432,Kirche::N,క్రెస్తవులగుడి,kirke
433,Sünde::N,పాపము,synd
434,Gott::N,దేవుడు,gud
435,Arbeiter::N,పనిపాటుచేశేవాడు,arbejder
436,Chef::N,యజమానుడు,chef
437,Meister::N,కళాకారుడు,mester
438,Arzt::N,వైద్యుడు,læge
439,Lehrer::N,ఉపాధ్యాయుడు,lærer
440,Geld::N,ద్రవ్యము,penge
441,Geschäft::N,వ్యాపారము,forretning
442,Laden::N,అంగడి,butik
443,Laden::N,అంగడి,forretning
444,Preis::N,వెల,pris
445,Ware::N,సరకులు,vare
446,Nutzen::N,ప్రయోజనము,nytte
447,Reichtum::N,ధనము,rigdom
448,Welt::N,ప్రపంచము,verden
449,Land::N,దేశము,land
450,Staat::N,రాజ్యము,stat
451,König::N,రాజు,konge
452,Macht::N,అధికారము,magt
453,Grenze::N,సరిహద్దు,grænse
454,Krieg::N,యుద్ధము,krig
455,Feind::N,శత్రువు,fjende
456,Gewalt::N,దౌర్జన్యము,vold
457,Kampf::N,పోట్లాట,kamp
458,Bogen[Waffe]::N,విల్లు,bue
459,Pfeil::N,బాణము,pil
460,Gewehr::N,తుపాకి,gevær
461,Fehler::N,తప్ప,fejl
462,Lüge::N,అసత్యము,løgn
463,Schaden::N,నష్టము,skade
464,Unglück::N,దురదృష్టము,uheld
465,Unglück::N,దురదృష్టము,ulykke
466,Schuld::N,తప్పు,skyld
467,Alter::N,వయస్సు,alder
468,Schluss::N,ముగింపు,slut
469,Schluss::N,ముగింపు,slutning
470,Zeit::N,కాలము,tid
471,Tag::N,దినము,dag
472,Morgen::N,ఉదయము,morgen
473,Mittag::N,మధ్యాహ్నము,middag
474,Abend::N,సాయంకాలము,aften
475,Nacht::N,రత్రి,nat
476,Woche::N,వారము,uge
477,Monat::N,నెల,måned
478,Jahr::N,సంవత్సరము,år
479,Frühling::N,వసంతకాలము,forår
480,Sommer::N,వేసవికాము,sommer
481,Herbst::N,ఆకురాలుకాలము,efterår
482,Winter::N,శీతకాలము,vinter
483,Januar::N,జనవరి,januar
484,Februar::N,ఫిబ్రవరి,februar
485,März::N,మార్చి,marts
486,April::N,ఏప్రిలు,april
487,Mai::N,మే,maj
488,Juni::N,జూన్,juni
489,Juli::N,జూలై,juli
490,August::N,ఆగస్టు,august
491,September::N,సెప్ఠెంబరు,september
492,Oktober::N,అక్టోబరు,oktober
493,November::N,నవంబరు,november
494,Dezember::N,డిసెంబర్,december
495,Montag::N,సోమవారము,mandag
496,Dienstag::N,మంగళవారము,tirsdag
497,Mittwoch::N,బుధవారము,onsdag
498,Donnerstag::N,గురువారము,torsdag
499,Freitag::N,శుక్రవారము,fredag
500,Samstag::N,శనివారము,lørdag
501,Sonntag::N,ఆదివారము,søndag
502,groß::A,గొప్పైన,stor
503,klein::A,చిన్న,lille
504,lang::A,పొడుగాటి,lang
505,kurz::A,పొట్టి,kort
506,breit::A,వెడల్పైన,bred
507,schmal::A,ఇఱుకైన,smal
508,dicht::A,దట్టమైన,tæt
509,dick[Gegenstand]::A,దట్టమైన,tyk
510,dünn::A,పలుచని,tynd
511,fein::A,నాజాకైన,fin
512,fest::A,దృడమైవ,fast
513,flach::A,చదువైన,flad
514,glatt::A,నున్నని,glat
515,hart::A,కఠినమైన,hård
516,weich::A,మృదువైన,blød
517,rund::A,గుండ్రని,rund
518,spitz::A,మొనగల,spids
519,scharf::A,పదనైన,skarp
520,stumpf::A,వాడిలేని,sløv
521,stumpf::A,వాడిలేని,stump
522,schwer::A,బరువ్తెన,tung
523,schön::A,సుందరమైన,skøn
524,heiß::A,వేడియైన,hed
525,warm::A,వెచ్చని,varm
526,kalt::A,చల్లని,kold
527,kühl::A,చల్లని,kølig
528,frisch::A,తాజాయైన,frisk
529,feucht::A,చెమ్మగానున్న,fugtig
530,nass::A,తడిగామన్న,våd
531,trocken::A,ఎండిన,tør
532,voll::A,నిండు,fuld
533,leer::A,శూన్యమైన,tom
534,offen::A,తెఱచియున్న,åben
535,geschlossen::A,మూసిన,lukket
536,sauber::A,పరిశుద్ధమైన,ren
537,schmutzig::A,ముఱికియైన,snavset
538,roh::A,పచ్చి,rå
539,reif::A,పండివ,moden
540,lecker::A,రుచి గల,lækker
541,süß::A,తియ్యని,sød
542,bitter::A,చేదైన,bitter
543,sauer::A,పుల్లని,sur
544,hell::A,కాంతిగల,lys
545,dunkel::A,చీకటియైన,mørk
546,schwarz::A,నల్లని,sort
547,weiß::A,తెలుపు,hvid
548,rot::A,ఎఱ్ఱని,rød
549,gelb::A,పసుపు పచ్చ,gul
550,blau::A,నీలవర్ణము,blå
551,grün::A,ఆకుపచ్చని,grøn
552,grau::A,నెరిసిన,grå
553,bunt::A,రంగేలీ,broget
554,billig::A,చౌకయైన,billig
555,teuer::A,వెలపొడుగైన,dyr
556,wertvoll::A,విలుప్తెన,værdifuld
557,blind::A,గ్రుడ్డి,blind
558,taub::A,చెవిటి,døv
559,kräftig::A,శక్తి గల,kraftig
560,stark::A,బలమైన,stærk
561,schwach::A,బలహీనమైన,svag
562,fett::A,క్రొవ్విన,fed
563,schlank::A,సన్నని,slank
564,hübsch::A,సాగప్తెన,køn
565,böse::A,చెడ్డ,ond
566,böse::A,చెడ్డ,slem
567,dumm::A,తెలివిలేని,dum
568,faul::A,సోమరియైన,doven
569,fleißig::A,శ్రద్దగల,flittig
570,geizig::A,పిసినారియైన,gerrig
571,klug::A,తెలివిగల,klog
572,geschickt::A,నిపుణతగల,dygtig
573,geschickt::A,నిపుణతగల,behændig
574,lieb::A,ప్రియమైన,rar
575,lustig::A,ఉల్లాసము గల,lystig
576,sanft::A,సాధువైన,blid
577,hungrig::A,ఆకలిగొనిన,sulten
578,krank::A,వ్యాధిగల,syg
579,nackt::A,దిగంబరమైన,nøgen
580,traurig::A,విచారముగల,bedrøvet
581,lebendig::A,ప్రాణముతో నున్న,levende
582,gut::A,మంచి,god
583,schlecht::A,చెడ్డ,dårlig
584,richtig::A,సరియైన,rigtig
585,schlimm::A,అసహ్యమైన,slem
586,wahr::A,నిజమైన,sand
587,alt::A,ముసలి,gammel
588,neu::A,క్రొత్త,ny
589,ehemalig::A,పూర్వపు,forhenværende
590,alt[Lebewesen]::A,ముసలి,gammel
591,jung::A,పసి,ung
592,arm::A,బీద,fattig
593,reich::A,ధనవంతుడైన,rig
594,bekannt::A,తెలిసిన,kendt
595,berühmt::A,ప్రపిద్దికెక్కివ,berømt
596,fremd::A,అన్యమైన,fremmed
597,verschieden::A,భేదమైన,forskellig
598,nah::A,దగ్గఱనున్న,nær
599,fern::A,దూరమందున్న,fjern
600,linker::A,ఎడమప్రక్కగ,venstre
601,rechter::A,కుడి,højre
602,anderer::A,వేఱ్తెన,anden
603,erster::A,మొదటి,første
604,zweiter::A,రెండన,anden
605,dritter::A,మూడో,tredje
606,letzter::A,కడపటి,sidste
607,allein::ADV,ఒంటిగా,alene
608,auf einmal::ADV,హరాత్తుగ,på én gang
609,zusammen::ADV,కలిసి,sammen
610,lange::ADV,బహుకాలము,længe
611,plötzlich::ADV,హరాత్తుగ,pludselig
612,sofort::ADV,తక్షణము,straks
613,später::ADV,ఇటీవలి,senere
614,jetzt::ADV,ఇప్పుడు,nu
615,heute::ADV,నేడు,i dag
616,morgen::ADV,ఱేపు,i morgen
617,bald::ADV,శీఘ్రముగ,snart
618,dann::ADV,అప్పుడు,så
619,gestern::ADV,నిన్నటి దినము,i går
620,einst::ADV,పూర్వమొకప్పుడు,engang
621,damals::ADV,అప్పుడు,dengang
622,danach::ADV,అప్పుడు,derefter
623,vorher::ADV,ఎదుట,før
624,vorher::ADV,ఎదుట,forud
625,zuerst::ADV,మొదటిలో,først
626,einmal::ADV,ఒకసారి,en gang
627,manchmal::ADV,అప్పటప్పటికి,sommetider
628,oft::ADV,తఱచుగా,ofte
629,immer::ADV,ఎల్లప్పుడు,altid
630,niemals::ADV,ఎప్పుడునులేదు,aldrig
631,hier::ADV,ఇక్కడ,her
632,hierhin::ADV,ఇక్కడకు,hid
633,hierhin::ADV,ఇక్కడకు,herhen
634,von hier::ADV,ఇక్కడనుండి,herfra
635,dort::ADV,అక్కడ,der
636,dorthin::ADV,అక్కడికి,derhen
637,geradeaus::ADV,సూటిగా,lige ud
638,vorwärts::ADV,ముందుకు,fremad
639,rückwärts::ADV,వెనుకకు,baglæns
640,zurück::ADV,వెనుకభాగము,tilbage
641,unten::ADV,క్రింద,nede
642,unten::ADV,క్రింద,forneden
643,hinab::ADV,కిందికి,ned
644,hinab::ADV,కిందికి,nedad
645,oben::ADV,మీద,oppe
646,oben::ADV,మీద,ovenpå
647,hinauf::ADV,పైకి,op
648,hinauf::ADV,పైకి,opad
649,überall::ADV,అంతటా,overalt
650,nicht::ADV,కాదు,ikke
651,ein wenig::ADV,కొంచెము,lidt
652,kaum::ADV,చాలిచాలక,knap
653,kaum::ADV,చాలిచాలక,næppe
654,sehr::ADV,చాల,meget
655,so::ADV,ఆలాగున,så
656,noch::ADV,ఇప్పటికిని,endnu
657,nur::ADV,మాత్రము,kun
658,nur::ADV,మాత్రము,bare
659,schon::ADV,ఇదివఱకే,alt
660,schon::ADV,ఇదివఱకే,allerede
661,wieder::ADV,తిరిగి,igen
662,vergebens::ADV,నిష్ఫలముగా,forgæves
663,vor::PRP,ముందు,foran
664,vor::PRP,ముందు,uden for
665,hinter::PRP,వెనుక,bag
666,hinter::PRP,వెనుక,bagved
667,unter::PRP,క్రింద,under
668,durch::PRP,ద్వారా,gennem
669,durch::PRP,ద్వారా,igennem
670,neben::PRP,దగ్గెర,ved siden af
671,zwischen::PRP,మధ్య,mellem
672,wegen::PRP,కారణంగా,på grund af
673,dies::PRN,ఇది,dette
674,das::PRN,అది,det
675,alles::PRN,సకలము,alt
676,ich::PRN,నేను,jeg
677,du::PRN,నీవు,du
678,er::PRN,అతడు,han
679,wir::PRN,మనము,vi
680,ihr::PRN,మీరు,I
681,sie::PRN,వారు,de
682,was::FPRN,ఏమి,hvad
683,wer::FPRN,ఎవడు,hvem
684,wo::FADV,ఎక్కడ,hvor
685,wohin::FADV,ఎందుకు,hvorhen
686,wie::FADV,ఎట్టు,hvordan
687,warum::FADV,ఏల,hvorfor
688,wieviel::FNUM,ఎంత,hvor meget
689,eins::NUM,ఒకటి,én
690,zwei::NUM,రెండు,to
691,drei::NUM,మూడు,tre
692,vier::NUM,నాలుగు,fire
693,fünf::NUM,అయిదు,fem
694,sechs::NUM,ఆఱు,seks
695,sieben::NUM,ఏరు,syv
696,acht::NUM,ఎనిమదు,otte
697,neun::NUM,తొమ్మిది,ni
698,zehn::NUM,పది,ti
699,elf::NUM,పదునొకొండు,elleve
700,zwölf::NUM,పండ్రండు,tolv
701,zwanzig::NUM,ఇరుపది,tyve
702,dreißig::NUM,ముప్పది,tredive
703,vierzig::NUM,నలువది,fyrre
704,vierzig::NUM,నలువది,fyrretyve
705,fünfzig::NUM,ఏబది,halvtreds
706,sechzig::NUM,అరుపది,tres
707,siebzig::NUM,డెబ్బది,halvfjerds
708,achtzig::NUM,ఎనుబది,firs
709,neunzig::NUM,తొంబది,halvfems
710,hundert::NUM,నూఱు,hundrede
711,tausend::NUM,వేయి,tusind
712,und::CNJ,మఱియు,og
