,Concept_ID,ta,sah
124,Ast::N,கினை,мутук
125,Zweig::N,குச்சி,лабаа
126,Blatt::N,இலை,сэбирдэх
127,Birke::N,பிர்ச் மரம்,хатыҥ
128,Kiefer[Baum]::N,தேவதாரு மரம்,бэс
129,Weide[Baum]::N,மர வகைகளுள் ஒன்று,үөт
130,Weide[Baum]::N,மர வகைகளுள் ஒன்று,талах
131,Tanne::N,சாதிக்கய்,харыйа
132,Horn::N,கொம்பு,муос
133,Feder::N,இறகு,куорсун
134,Fell::N,மென்முடி,тирии
135,Flügel::N,இறக்கை,кынат
136,Klaue::N,நகம்,тыҥырах
137,Kralle::N,நகம்,баппаҕай
138,Schwanz::N,வால்,кутурук
139,Ei::N,முட்டை,сымыыт
140,Nest::N,கூடு,уйа
141,Bau::N,குகை,хороон
142,Tier::N,விலங்கு,кыыл
143,Tier::N,விலங்கு,харамай
144,Herde::N,கூட்டம்,үөр
145,Kuh::N,பசு,ынах
146,Bulle::N,காளை,оҕус
147,Pferd::N,குதிரை,сылгы
148,Schaf::N,செம்மறிஆடு,овца
149,Schwein::N,பன்றி,сибиинньэ
150,Hund::N,நாய்,ыт
151,Katze::N,பூனை,куоска
152,Bär::N,கரடி,эһэ
153,Eichhörnchen::N,அணில்,тииҥ
154,Elch::N,கடம்பை,тайах
155,Fuchs::N,நரி,саһыл
156,Hase::N,முயல்,куобах
157,Maus::N,எலி,кутуйах
158,Wolf::N,ஓநாய்,бөрө
159,Vogel::N,பறவை,көтөр
160,Schwarm::N,தொகுதி,бөлөх
161,Huhn::N,கோழிக்குஞசு,куурусса
162,Hahn::N,சேவல்,бөтүүк
163,Gans::N,பெண் வாத்து,хаас
164,Adler::N,பருநது,хотой
165,Ente::N,வாத்து,кус
166,Eule::N,ஆந்தை,мэкчиргэ
167,Kranich::N,நாரை,туруйа
168,Krähe::N,காகம்,тураах
169,Kuckuck::N,குயில்,кэҕэ
170,Schwan::N,அன்னம்,куба
171,Fisch::N,மீன்,балык
172,Barsch::N,பேர்ச்,алыһар
173,Hecht::N,கோலாச்சி மீன்,сордон
174,Schlange[Tier]::N,பாம்பு,моҕой
175,Schlange[Tier]::N,பாம்பு,эриэн үөн
176,Wurm::N,புழு,үөн
177,Spinne::N,சிலந்தி,ооҕуй
178,Ameise::N,எறும்பு,кымырдаҕас
179,Laus::N,பேன்,быт
180,Mücke::N,கொசுவினப்பூச்சி,кумаар
181,Fliege::N,ஈ,сахсырҕа
182,Schmetterling::N,வண்ணத்துப்பூச்சி,лыах
183,Schmetterling::N,வண்ணத்துப்பூச்சி,үрүмэччи
184,Beere::N,சதைப்பழம்,отон
185,Apfel::N,ஆப்பிள பழம்,яблоко
186,Pilz::N,காளான்,тэллэй
187,Zwiebel::N,வெங்காயம்,луук
188,Saat::N,விதை,сиэмэ
189,Korn::N,தானியம்,сиэмэ
190,Heu::N,வைக்கோல்,от
191,Schale::N,தோல்,хах
192,Grube::N,குழி,дьаама
193,Falle::N,பொறி,сохсо
194,Schlinge::N,கண்ணி,уктаа
195,Spur::N,சுவடு,суол
196,Asche::N,சாம்பல்,күл
197,Dreck::N,அழுக்கு,бадараан
198,Eisen::N,இரும்பு,тимир
199,Gold::N,தங்கம்,көмүс
200,Gold::N,தங்கம்,кыһыл көмүс
201,Silber::N,வெள்ளி,көмүс
202,Silber::N,வெள்ளி,үрүҥ көмүс
203,Kohle::N,நிலக்கரி,чох
204,Glas::N,கண்ணாடி,өстүөкүлэ
205,Lehm::N,களிமண்,туой
206,Sand::N,மணல்,кумах
207,Mensch::N,மனிதர்கள்,киһи
208,Mann::N,மனிதன்,эр
209,Frau::N,பெண்,дьахтар
210,Kind::N,குழந்தை,оҕо
211,Junge::N,பையன்,уол
212,Mädchen::N,சிறுமி,кыыс оҕо
213,Familie::N,குடும்பம்,кэргэн
214,Großvater::N,தாத்தா,эһэ
215,Großmutter::N,பாட்டி,эбэ
216,Eltern::N,பெற்றோர்,аҕа-ийэ
217,Vater::N,தந்தை,аҕа
218,Mutter::N,தாய்,ийэ
219,Sohn::N,மகன்,уол
220,Tochter::N,மகள்,кыыс
221,Bruder::N,சகோதரன்,убай
222,Bruder::N,சகோதரன்,быраат
223,Schwester::N,அக்கா,аҕас
224,Schwester::N,அக்கா,балыс
225,Onkel::N,தாய் மாமன்,таай
226,Onkel::N,தாய் மாமன்,абаҕа
227,Tante::N,அத்தை,эдьиий
228,Ehemann::N,கணவன்,эр
229,Ehefrau::N,மனைவி,ойох
230,Freude::N,கொண்டாட்டம்,үөрүү
231,Gelächter::N,சிரிப்பு,күлүү
232,Glück::N,மகிழ்ச்சி,дьол
233,Glück::N,மகிழ்ச்சி,соргу
234,Kummer::N,துயரம்,кутурҕан
235,Wunsch::N,விருப்பம்,баҕарыы
236,Lust::N,விருப்பம்,баҕа
237,Geist::N,ஆன்மா,тыын
238,Gedanke::N,எண்ணம்,санаа
239,Gedächtnis::N,ஞாபகம்,өй
240,Verstand::N,மனம்,өй
241,Sinn::N,அர்த்தம்,суолта
242,Grund::N,காரணம்,төрүөт
243,Wahrheit::N,உண்நை,кырдьык
244,Gespräch::N,பெசு,бэсиэдэ
245,Gespräch::N,பெசு,кэпсэтии
