,Concept_ID,kn,ku
54,Träne::N,ಕಣ್ಣೀರು,hêstir
55,Geschmack::N,ರುಚಿ,tam
56,Geruch::N,ವಾಸನೆ,bêhn
57,Schlaf::N,ನಿದ್ರೆ,xew
58,Traum::N,ಕನಸು,xewn
59,Himmel::N,ಬಾನು,ezman
60,Sonne::N,ಸೂರ್ಯ,roj
61,Mond::N,ಚಂದ್ರ,heyv
62,Stern::N,ಚುಕ್ಕಿ,stêrk
63,Luft::N,ವಾಯು,ba
64,Wind::N,ಗಾಳಿ,ba
65,Welle::N,ಅಲೆ,şewl
66,Wasser::N,ನೀರು,av
67,Stein::N,ಕಲ್ಲು,kevir
68,Boden::N,ನೆಲ,herd
69,Erde::N,ಭೂಮಿ,ax
70,Staub::N,ದೂಳು,toz
71,Rauch::N,ಹೊಗೆ,dû
72,Funke::N,ಕಿಡಿ,çirûşk
73,Feuer::N,ಬೆಂಕಿ,agir
74,Licht::N,ಬೆಳಕು,ronahî
75,Schatten::N,ನೆರಳು,sî
76,Wetter::N,ಹವ,hewa
77,Nebel::N,ಮಂಜು,mij
78,Wolke::N,ಮೋಡ,ewr
79,Regen::N,ಮಳೆ,baran
80,Schnee::N,ಹಿಮ,berf
81,Eis::N,ಮಂಜುಗಡ್ಡೆ,qeşa
82,Frost::N,ಮಂಜು,xûsik
83,Kälte::N,ಹಿಮ,serma
84,Hitze::N,ಉಷ್ಣ,germayî
85,Raureif::N,ಇಬ್ಬನಿ,şext
86,Regenbogen::N,ಇಂದ್ರಚಾಪ,heftreng
87,Donner::N,ಗುಡುಗು,gire-gir
88,Strömung::N,ಪ್ರವಾಹ,şewl
89,Tropfen::N,ತೊಟ್ಟು,dilop
90,Schaum::N,ನೊರೆ,kef
91,Schmutz::N,ಕಸ,gemar
92,See::N,ಸರೋವರ,gol
93,Sumpf::N,ಜೌಗುಸ್ಥಳ,hezek
94,Moor::N,ಬಂಜರು ಭೂಮಿ,mafêl
95,Wiese::N,ಹುಲ್ಲುಗಾವಲು,sûrik
96,Wald::N,ಕಾಡು,çiya
97,Wald::N,ಕಾಡು,daristan
98,Hügel::N,ಗುಡ್ಡೆ,gir
99,Anhöhe::N,ದಿಬ್ಬ,sere gir
100,Berg::N,ಮಲೆ,kaş
101,Berg::N,ಪರ್ವತ,kaş
102,Gipfel::N,ಶೃಂಗ,sere gir
103,Höhle::N,ಗುಹೆ,şikeft
104,Abhang::N,ಇಳಿಜಾರು,kaş
105,Quelle::N,ಮೂಲ,kanî
106,Bach::N,ತೊರೆ,çem
107,Fluss::N,ನದಿ,çem
108,Fluss::N,ನದಿ,rûbar
109,Ufer::N,ತೀರ,kevî
110,Küste::N,ದಂಡೆ,berav
111,Festland::N,ಭೂಮಿ,bejahî
112,Meer::N,ಕಡಲು,behr
113,Bucht::N,ಖಾರಿ,derav
114,Insel::N,ದ್ವೀಪ,girav
115,Blume::N,ಸುಮ,kulînk
116,Gras::N,ಹುಲ್ಲು,giha
117,Wurzel::N,ಬೇರು,reh
118,Baum::N,ಮರ,dar
119,Stamm::N,ಕಾಂಡ,bavik
120,Rinde::N,ತೂಗಟಿ,qaqil
121,Ast::N,ಶಾಖೆ,gulî
122,Zweig::N,ರೆಂಬೆ,şax
123,Blatt::N,ಎಲೆ,pel
124,Birke::N,ಬರ್ಚ್ ಮರ,dara sipî
125,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,dara bî
126,Weide[Baum]::N,ವಿಲೋಮರ,dara belalûk
127,Tanne::N,ಭದ್ರದಾರು,merx
128,Horn::N,ಕೊಂಬು,strô
129,Feder::N,ಪುಕ್ಕ,pîrtîk
130,Fell::N,ರೋಮ,heyar
131,Flügel::N,ರೆಕ್ಕೆ,per
132,Klaue::N,ಪಂಜ,napîk
133,Kralle::N,ಉಗುರು,dinik
134,Kralle::N,ಉಗುರು,dirnax
135,Schwanz::N,ಬಾಲ,dûv
136,Ei::N,ಮೊಟ್ಟೆ,hêk
137,Nest::N,ಗೂಡು,hêlîn
138,Bau::N,ಅಡಗುದಾಣ,avahî
139,Tier::N,ಪ್ರಾಣಿ,heywan
140,Herde::N,ಗುಂಪು,hoz
141,Kuh::N,ಹಸು,çêlek
142,Bulle::N,ಗೂಳಿ,ga
143,Pferd::N,ಕುದುರೆ,hesp
144,Schaf::N,ಕುರಿ,mîh
145,Schwein::N,ಹಂದಿ,beraz
146,Hund::N,ನಾಯಿ,seh
147,Katze::N,ಬೆಕ್ಕು,pişîk
148,Bär::N,ಕರಡಿ,hirç
149,Eichhörnchen::N,ಉಡುತೆ,pilûr
150,Elch::N,ಕಡವೆ,pazkovî
151,Fuchs::N,ನರಿ,rovî
152,Hase::N,ಮೊಲ,kîroşk
153,Maus::N,ಇಲಿ,mişk
154,Wolf::N,ತೋಳ,gur
155,Vogel::N,ಪಕ್ಷಿ,çûk
156,Schwarm::N,ಗುಂಪು,lufik
157,Huhn::N,ಚಿಕ್,mirîşk
158,Hahn::N,ಹುಂಜ,dîk
159,Gans::N,ವರಟೆ,qaz
160,Adler::N,ಗರುಡ,eylo
161,Ente::N,ಬಾತು,werdek
162,Eule::N,ಗೂಬೆ,bûm
163,Eule::N,ಗೂಬೆ,kund
164,Kranich::N,ಕೊಕ್ಕರ,quling
165,Krähe::N,ಕಾಗೆ,qijik
166,Kuckuck::N,ಕೋಗಿಲೆ,pepûk
167,Schwan::N,ಹಂಸಪಕ್ಷಿ,qû
168,Fisch::N,ಮೀನು,masî
169,Barsch::N,ಪರ್ಚ್ ಮೀನು,okûn
170,Hecht::N,ಪೈಕ್ ಮೀನು,mesîyê lûf
171,Schlange[Tier]::N,ಹಾವು,mar
172,Wurm::N,ಹುಳು,kurm
173,Spinne::N,ಊರ್ಣನಾಭ,pîrê
174,Ameise::N,ಇರುವೆ,mîro
175,Ameise::N,ಇರುವೆ,gêrîk
176,Laus::N,ಹೇನು,spi
177,Mücke::N,ಸೊಳ್ಳೆ,mêş
178,Fliege::N,ನೊಣ,mêş
179,Schmetterling::N,ಪತಂಗ,perperîk
180,Beere::N,ನಯವಣ್ಣು,hirç
181,Apfel::N,ಸೇಬು,sêv
182,Pilz::N,ಅಣಬೆ,bîrov
183,Zwiebel::N,ನೀರುಳ್ಳಿ,pîvaz
184,Saat::N,ಬಿತ್ತ,tov
185,Korn::N,ಬೀಜ,dexl
186,Heu::N,ಕರಡ,sap
187,Schale::N,ಹೊಟ್ಟು,qaşik
188,Grube::N,ಗುಂಡಿ,çahl
189,Falle::N,ಬೋನು,dafik
190,Schlinge::N,ಉರುಲು,dahf
191,Spur::N,ಜಾಡು,rêç
192,Asche::N,ಬೂದಿ,xweli
193,Dreck::N,ಹೊಲಸು,gemarî
194,Eisen::N,ಕಬ್ಬಿಣ,hesing
195,Gold::N,ಚಿನ್ನ,zêr
196,Silber::N,ಬೆಳ್ಳಿ,zîv
197,Kohle::N,ಕಲ್ಲಿದ್ದಲು,komir
198,Glas::N,ಗಾಜು,qedeh
199,Lehm::N,ಜೇಡಿಮಣ್ಣು,kelpîç
200,Sand::N,ಮರಳು,qûm
201,Mensch::N,ಪುರುಷ,mirov
202,Mann::N,ಆಳು,mêr
203,Frau::N,ಹೆಣ್ಣು,jin
204,Kind::N,ಮಗು,zarok
205,Junge::N,ಹುಡುಗ,kur
206,Mädchen::N,ಹುಡುಗಿ,keç
207,Mädchen::N,ಹುಡುಗಿ,keçik
208,Familie::N,ಕುಟುಂಬ,malbat
209,Großvater::N,ಅಜ್ಜ,bapîr
210,Großmutter::N,ಅಮ್ಮ,pîrik
211,Eltern::N,ಹೆತ್ತವರು,bavudê
212,Vater::N,ತಂದೆ,bav
213,Mutter::N,ಅಮ್ಮ,dê
214,Mutter::N,ಅಮ್ಮ,dayik
215,Sohn::N,ಮಗ ,kur
216,Tochter::N,ಮಗಳು,keç
217,Bruder::N,ತಮ್ಮ,bira
218,Schwester::N,ತಂಗಿ,xweh
219,Onkel::N,ಸೋದರಮಾವ,am
220,Onkel::N,ಸೋದರಮಾವ,xal
221,Onkel::N,ದೊಡ್ಡಪ್ಪ,am
222,Onkel::N,ದೊಡ್ಡಪ್ಪ,xal
223,Tante::N,ಚಿಕ್ಕಮ್ಮ,metik
224,Tante::N,ಚಿಕ್ಕಮ್ಮ,xaltîk
225,Ehemann::N,ಗಂಡ,mêr
226,Ehefrau::N,ಹೆಂಡತಿ,kulfet
227,Freude::N,ನಲಿವು,kêfxweşî
228,Gelächter::N,ನಗೆ,pîrqînî
229,Glück::N,ಆನಂದ,bext
230,Kummer::N,ದುಃಖ,derd
231,Wunsch::N,ಬಯಕೆ,daxwaz
232,Wunsch::N,ಬಯಕೆ,xwestek
233,Lust::N,ಇಷ್ಟ,şewq
234,Geist::N,ಆತ್ಮ,aqil
235,Gedanke::N,ಯೋಚನೆ,fikir
236,Gedächtnis::N,ಸ್ಮರಣೆ,aqil
237,Verstand::N,ಮನಸ್ಸು,fêm
238,Sinn::N,ಅರ್ಥ,aqil
239,Grund::N,ಕಾರಣ,asas
240,Wahrheit::N,ಸತ್ಯ,rastî
241,Gespräch::N,ಸಂಭಾಷಣೆ,guftûgo
242,Märchen::N,ಸುಳ್ಳು ಕಥೆ,çirok
243,Erzählung::N,ಕಥೆ,çirok
244,Erzählung::N,ಕಥೆ,vegotin
245,Nachricht::N,ಸಂದೇಶ,nûçe
246,Neuigkeit::N,ಸುದ್ದಿ,hewal
247,Name::N,ಹೆಸರು,nav
248,Name::N,ಹೆಸರು,paşnav
249,Rätsel::N,ಒಗಟು,tiştonek
250,Rede::N,ಮಾತು,gotar
251,Rede::N,ಮಾತು,axavtin
252,Sprache::N,ಭಾಷೆ,ziman
253,Stimme::N,ಧ್ವನಿ,pejn
254,Wort::N,ಮಾತು,gotin
255,Zeichen::N,ಗುರುತು,şanek
256,Ruf::N,ಕೂಗು,hawar
257,Lärm::N,ಸದ್ದು,xarbalix
258,Laut::N,ಶಬ್ದ,deng
259,Laut::N,ಶಬ್ದ,hês
260,Ton::N,ನಾದ,awaz
261,Lied::N,ಗಾನ,sitran
262,Ruhe::N,ಶಾಂತಿ,rihetî
263,Leute::N,ಮಂದಿ,xelk
264,Volk::N,ಜನಾಂಗ,xelk
265,Arbeit::N,ಕೆಲಸ,xebat
266,Gast::N,ಅತಿಥಿ,mêvan
267,Geschenk::N,ಕಾಣಿಕೆ,diyarî
268,Spiel::N,ಆಟ,lîstik
269,Gesellschaft::N,ಸಂಗ,komal
270,Hilfe::N,ಸಹಾಯ,alîkarî
271,Freund::N,ಸ್ನೇಹಿತ,heval
272,Kamerad::N,ಜೊತೆಗಾರ,heval
273,Angelegenheit::N,ವಿಚಾರ,pirsgirêk
274,Anzahl::N,ಎಣಿಕೆ,çend
275,Art::N,ತರ,çeh
276,Stück::N,ತುಂಡು,lib
277,Stück::N,ತುಂಡು,parçe
278,Teil::N,ಭಾಗ,parçe
279,Hälfte::N,ಅರ್ಧ,nîvî
280,Kreis::N,ವೃತ್ತ,çemil
281,Kreuz::N,ಶಿಲುಬೆ,xaç
282,Linie::N,ರೀಖೆ,xezik
283,Strich::N,ಗೀಟು,xezik
284,Abstand::N,ಅಂತರ,dûrahî
285,Entfernung::N,ದೂರ,dûrahî
286,Gegend::N,ವಿಸ್ತೀರ್ಣ,dever
287,Platz::N,ಅಂತರ,çih
288,Ort::N,ಸ್ಥಳ,dever
289,Seite::N,ಪಕ್ಷ,rûpel
290,Mitte::N,ನಡು,nav
291,Mitte::N,ನಡು,nabênê
292,Gegenstand::N,ವಸ್ತು,tişt
293,Sache::N,ವಸ್ತು,tişt
294,Rand::N,ಅಂಚು,kevî
295,Kante::N,ಅಂಚು,kevî
296,Ecke::N,ಮೂಲೆ,qunç
297,Spitze::N,ತುದಿ,derzî
298,Ende::N,ಕೊನೆ,talî
299,Loch::N,ತೂತು,qul
300,Winkel::N,ಕೋನ,kurnîşk
301,Muster::N,ನಮೂನೆ,desen
302,Größe::N,ಪ್ರಮಾಣ,mezinî
303,Länge::N,ಉದ್ದ,dirêjahî
304,Höhe::N,ಎತ್ತರ,bilindayî
305,Gewicht::N,ತೂಕ,giranî
306,Menge::N,ಮೊತ್ತ,qas
307,Haufen::N,ರಾಶಿ,lod
308,Reihe::N,ಸಾಲು,rêz
309,Boot::N,ದೋಣಿ,kelek
310,Ruder::N,ಹುಟ್ಟು,bêrik
311,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,xîjik
312,Ski::N,ಜಾರುಪಟ್ಟಿ,lakan
313,Lagerfeuer::N,ಶಿಬಿರಾಗ್ನಿ,agir
314,Last::N,ಹೊರೆ,bar
315,Gang::N,ತಿರುಗಾಟ,fîtêz
316,Schritt::N,ಹೆಜ್ಜೆ,gav
317,Norden::N,ಉತ್ತರ,bakur
318,Süden::N,ದಕ್ಷಿಣ,başur
319,Westen::N,ಪಶ್ಚಿಮ,rojava
320,Osten::N,ಮೂಡಲು,rojhilat
321,Holz::N,ಚೌಬೀನೆ,dep
322,Brett::N,ಹಲಗೆ,dep
323,Platte::N,ಹಲಗೆ,dep
324,Stütze::N,ಆಸರೆ,destek
325,Stange::N,ಕಂಬ,sing
326,Stock::N,ಕೋಲು,çam
327,Stab::N,ದೊಣ್ಣೆ,qat
328,Rohr::N,ನಳಿಕೆ,borî
329,Haus::N,ಮನೆ,mal
330,Haus::N,ಮನೆ,xanî
331,Heim::N,ಗೃಹ,mal
332,Ofen::N,ಒಲೆ,sobe
333,Fußboden::N,ನೆಲ,binpê
334,Tisch::N,ಮೇಜು,mase
335,Stuhl::N,ಕುರ್ಚಿ,kursî
336,Wiege::N,ತೊಟ್ಟಿಲು,derguş
337,Bett::N,ಹಾಸಿಗೆ,qerewêle
338,Regal::N,ಬೀರು,rêbaz
339,Kiste::N,ಪಟ್ಟಿಗೆ,sindoq
340,Fenster::N,ಕಿಟಕಿ,çam
341,Fenster::N,ಕಿಟಕಿ,şibeke
342,Tür::N,ಬಾಗಿಲು,derî
343,Tor::N,ಹೆಬ್ಬಾಗಿಲು,derge
344,Zaun::N,ಬೇಲಿ,hejik
345,Dach::N,ಮಾಳಿಗೆ,sere xanî
346,Leiter::N,ಏಣಿ,pêling
347,Besen::N,ಪೊರಕೆ,melkes
348,Spaten::N,ಗುದ್ದಲಿ,mer
349,Schaufel::N,ಸನಿಕೆ,bêr
350,Gabel::N,ಕವಲು,çetel
351,Löffel::N,ಚಮಚ,kevçî
352,Messer::N,ಚಾಕು,kêr
353,Nagel::N,ಆಣಿ,bizmar
354,Netz::N,ಬಲೆ,tor
355,Haken::N,ಕೊಂಡಿ,çenqel
356,Griff::N,ಹಿಡಿ,destî
357,Schloss::N,ವೀಗ,qonax
358,Bild::N,ಚಿತ್ರ,dimen
359,Figur::N,ಆಕಾರ,figûr
360,Puppe::N,ಗೊಂಬೆ,bûk
361,Beutel::N,ಸಂಚಿ,kîsik
362,Bündel::N,ಕಟ್ಟು,pêçek
363,Tasche::N,ಚೀಲ,bêrîk
364,Eimer::N,ಬಾನೆ,dewl
365,Deckel::N,ಮುಚ್ಚಳ,devik
366,Geschirr::N,ಭಕ್ಷ್ಯಗಳು,ferax
367,Sack::N,ಮೂಟೆ,tûr
368,Tasse::N,ಬಟ್ಟಲು,kada
369,Topf::N,ಮಡಕೆ,beroş
370,Kessel::N,ಕೆಟಲ್,şîril
371,Essen::N,ಊಟ,xwarin
372,Nahrung::N,ಆಹಾರ,xwarin
373,Speise::N,ಊಟ,xwarin
374,Fleisch::N,ಮಾಂಸ,goşt
375,Getreide::N,ಧಾನ್ಯ,zad
376,Brei::N,ಗಂಜಿ,hewdêl
377,Brot::N,ರೊಟ್ಟಿ,
378,Scheibe::N,ಹೋಳು,parçe
379,Fett::N,ಕೊಬ್ಬು,rûn
380,Butter::N,ಬೆಣ್ಣೆ,rûn
381,Öl::N,ಎಣ್ಣೆ,rûn
382,Salz::N,ಉಪ್ಪು,xwe
383,Suppe::N,ಎಸರು,şorbe
384,Honig::N,ಮಧು,hingiv
385,Milch::N,ಹಾಲು,şîr
386,Tee::N,ಚಹ,çay
387,Leder::N,ಚಕ್ಕಳ,çerm
388,Wolle::N,ಉಣ್ಣೆ,herî
389,Stoff::N,ಬಟ್ಟೆ,paç
390,Nadel::N,ಸೂಜಿ,derzî
391,Faden::N,ದಾರ,ta
392,Knopf::N,ಗುಂಡು,bişkok
393,Knoten::N,ಗಂಟು,girêk
394,Farbe::N,ಬಣ್ಣ,boyax
395,Kleidung::N,ಅರಿವೆ,çil
396,Hemd::N,ಅಂಗಿ,qutik
397,Hemd::N,ಅಂಗಿ,miltan
398,Kragen::N,ಕುತ್ತಿಗೆಪಟ್ಟಿ,stûvang
399,Ärmel::N,ತೋಳು,hûçik
400,Hose::N,ಇಜಾರ,şewel
401,Gürtel::N,ಬೆಲ್ಟು,qayiş
402,Mütze::N,ಟೋಪಿ,fîno
403,Schuh::N,ಪಾದರಕ್ಷೆ,şêkal
404,Stiefel::N,ಬೂಟು,gizme
405,Stiefel::N,ಬೂಟು,çizme
406,Ring::N,ಉಂಗುರ,xelek
407,Band::N,ರಿಬ್ಬನ್,band
408,Kamm::N,ಹಣಿಗೆ,şeh
409,Spiegel::N,ಕನ್ನಡಿ,eynik
410,Riemen::N,ಬಾರು,qayiş
411,Schnur::N,ಹುರಿ,doxin
412,Leine::N,ಹಗ್ಗ,şirît
413,Decke::N,ಕಂಬಳಿ,bataniye
414,Kissen::N,ದಿಂಬು,balgî
415,Tuch::N,ಕೊರಳ ಬಟ್ಟೆ,şar
416,Handtuch::N,ಚೌಕ,dezmal
417,Kraft::N,ಬಲ,hêz
418,Kraft::N,ಬಲ,qewet
419,Stärke::N,ಶಕ್ತಿ,xurtî
420,Gesundheit::N,ಆರೋಗ್ಯ,nojdarî
421,Krankheit::N,ರೋಗ,nexweşî
422,Schmerz::N,ನೋವು,êş
423,Wunde::N,ಗಾಯ,kul
424,Fieber::N,ಜ್ವರ,ta
425,Arznei::N,ಔಷಧ,derman
426,Brücke::N,ಸೇತುವೆ,kopî
427,Brunnen::N,ಬಾವಿ,çal
428,Brunnen::N,ಬಾವಿ,kani
429,Weide::N,ಗೋಮಾಳ,beyar
430,Pfad::N,ದಾರಿ,xaçirek
431,Weg::N,ಹಾದಿ,rê
432,Straße::N,ರಸ್ತೆ,rê
433,Dorf::N,ಹಳ್ಳಿ,gund
434,Stadt::N,ಪಟ್ಟಣ,baçar
435,Brief::N,ಕಾಗದ,name
436,Buch::N,ಪುಸ್ತಕ,kitêb
437,Buch::N,ಪುಸ್ತಕ,pirtûk
438,Buchstabe::N,ಅಕ್ಷರ,herf
439,Zeitung::N,ವಾರ್ತಾಪತ್ರಿಕೆ,rojname
440,Leben::N,ಜೀವನ,jiyan
441,Tod::N,ಮರಣ,mirin
442,Grab::N,ಗೋರಿ,mezel
443,Kirche::N,ಚರ್ಚು,gilyas
444,Sünde::N,ಪಾಪ,guneh
445,Gott::N,ದೇವರು,xwedê
446,Arbeiter::N,ಕೆಲಸಗಾರ,hîşçî
447,Chef::N,ದಣಿ,bêg
448,Meister::N,ಶಿಕ್ಷಕ,hoste
449,Arzt::N,ವೈದ್ಯ,doktor
450,Lehrer::N,ಉಪಾಧ್ಯಾಯ,mamoste
451,Geld::N,ಹಣ,pere
452,Geschäft::N,ವಾಣಿಜ್ಯ,firoşgeh
453,Laden::N,ಅಂಗಡಿ,dikan
454,Preis::N,ಬೆಲೆ,buha
455,Ware::N,ಸರಕು,tişt
456,Nutzen::N,ಲಾಭ,fêde
457,Reichtum::N,ಸಂಪತ್ತು,serwet
458,Welt::N,ಭೂಲೋಕ,dinya
459,Land::N,ದೇಶ,welat
460,Staat::N,ರಾಜ್ಯ,dewlet
461,König::N,ರಾಜ,şah
462,König::N,ರಾಜ,qral
463,Macht::N,ಅಧಿಕಾರ,qewet
464,Macht::N,ಅಧಿಕಾರ,destihilat
465,Grenze::N,ಗಡಿ,kevî
466,Krieg::N,ಯುದ್ಧ,çeng
467,Krieg::N,ಯುದ್ಧ,sêwaş
468,Feind::N,ಶತ್ರು,dijmin
469,Gewalt::N,ಹಿಂಸೆ,zor
470,Kampf::N,ಹೋರಾಟ,şer
471,Bogen[Waffe]::N,ಬಿಲ್ಲು,kêvan
472,Pfeil::N,ಅಂಬು,çîrik
473,Gewehr::N,ಬಂದೂಕು,tifing
474,Fehler::N,ತಪ್ಪು,şaşî
475,Lüge::N,ಸುಳ್ಳು,derew
476,Schaden::N,ಹಾನಿ,xisar
477,Unglück::N,ಅಪಾಯ,bêbextî
478,Schuld::N,ದೋಷ,suç
479,Alter::N,ಮುಪ್ಪು,temen
480,Schluss::N,ಮುಕ್ತಾಯ,girtin
481,Zeit::N,ಕಾಲ,çax
482,Tag::N,ದಿನ,roj
483,Morgen::N,ಮುಂಜಾನೆ,sibeh
484,Mittag::N,ನಡುಹಗಲು,nîro
485,Abend::N,ಸಂಜೆ,êvar
486,Nacht::N,ರಾತ್ರಿ,şev
487,Woche::N,ವಾರ,heftî
488,Monat::N,ತಿಂಗಳು,meh
489,Jahr::N,ಸಂವತ್ಸರ,sal
490,Frühling::N,ವಸಂತ,bihar
491,Sommer::N,ಬಿಸಿಲುಕಾಲ,havîn
492,Herbst::N,ಶರತ್ಕಾಲ,payîz
493,Winter::N,ಚಳಿಗಾಲ,zistan
494,Januar::N,ನಾಲ್ಚಳಿ,çile
495,Februar::N,ಅಯ್ಚಳಿ,sibat
496,März::N,ಮೊಬ್ಬೇಸಿಗೆ,adar
497,April::N,ಇಬ್ಬೇಸಿಗೆ,nîsan
498,Mai::N,ಮುಬ್ಬೇಸಿಗೆ,gûlan
499,Juni::N,ಮೊಮ್ಮಳೆ,hezîran
500,Juli::N,ಇಮ್ಮಳೆ,tîmeh
501,August::N,ಮುಮ್ಮಳೆ,tebax
502,September::N,ನಾಲ್ಮಳೆ,îlon
503,Oktober::N,ಮೊಚ್ಚಳಿ,çotmeh
504,November::N,ಇಚ್ಚಳಿ,mijdar
505,Dezember::N,ಮುಚ್ಚಳಿ,kanûn
506,Montag::N,ಸೋಮುವಾರ,duşemb
507,Dienstag::N,ಮಂಗಳವಾರ,sêşem
508,Mittwoch::N,ಬುಧವಾರ,çarşemb
509,Donnerstag::N,ಗುರುವಾರ,pêşemb
510,Freitag::N,ಶುಕ್ರವಾರ,în
511,Samstag::N,ಶನಿವಾರ,şemî
512,Sonntag::N,ಭಾನುವಾರ,yekşemb
513,groß::A,ದೊಡ್ಡ,mezin
514,klein::A,ಪುಟ್ಟ,çûçik
515,lang::A,ದೀರ್ಘ,dirêj
516,kurz::A,ಚಕ್ಕ,kin
517,breit::A,ಅಗಲವಾದ,fireh
518,schmal::A,ಇಕ್ಕಟ್ಟಾದ,tenik
519,dicht::A,ದಟ್ಟ,gir
520,dick[Gegenstand]::A,ದಟ್ಟ,şîşman
521,dünn::A,ತೆಳು,zirav
522,fein::A,ಕೋಮಲ,tenik
523,fest::A,ಘನ,saxlem
524,flach::A,ಚಪ್ಪಟೆ,pahn
525,glatt::A,ನಯ,dûz
526,glatt::A,ನಯ,şayîk
527,hart::A,ಗಟ್ಟಿ,hişk
528,weich::A,ಮೃದುವಾದ,nerm
529,rund::A,ವರ್ತುಳ,gilover
530,spitz::A,ಮೊನಚಾದ,pîj
531,scharf::A,ತೀಕ್ಷ್ಣ,tûj
532,stumpf::A,ಮೊಂಡು,ne tûj
533,schwer::A,ಭಾರಿ,giran
534,schön::A,ಸುಂದರ,xweş
535,schön::A,ಸುಂದರ,xweşik
536,heiß::A,ಬಿಸಿ,kelandî
537,warm::A,ಬಿಸಿ,germ
538,kalt::A,ತಣ್ಣನೆಯ,sar
539,kühl::A,ತಂಪಾದ,jemîrî
540,frisch::A,ನಿರ್ಮಲ,ter
541,feucht::A,ಒದ್ದೆಯಾದ,şil
542,nass::A,ಒದ್ದೆಯಾದ,şilek
543,trocken::A,ಶುಷ್ಕ,zuwa
544,voll::A,ತುಂಬಿದ,tijî
545,leer::A,ಖಾಲಿ,vala
546,offen::A,ಮುಚ್ಚಲ್ಲದ,vekirî
547,geschlossen::A,ಮುಚ್ಚಿದ,asê
548,sauber::A,ಶುದ್ಧ,pakij
549,schmutzig::A,ಅಶುದ್ಧ,lewitî
550,roh::A,ಹಸಿ,xav
551,reif::A,ಹಣ್ಣಾದ,gihaştî
552,lecker::A,ಗುಚಿಕರ,xweş
553,süß::A,ಸಿಹಿ,şîrîn
554,bitter::A,ಕಹಿ,tahl
555,sauer::A,ಹುಳಿಯಾದ,tirş
556,hell::A,ಹೊಳೆಯುವ,ronî
557,dunkel::A,ಮಬ್ಬಾದ,tarî
558,schwarz::A,ಕಪ್ಪು,reş
559,weiß::A,ಬಿಳಿಯ,sipî
560,rot::A,ಕೆಂಪು,sor
561,gelb::A,ಹಳದಯ,zer
562,blau::A,ನೀಲ,şîn
563,grün::A,ಕಾಯಾದ,şîn
564,grau::A,ಬೂದುಬಣ್ಣದ,gewr
565,bunt::A,ವರ್ಣರಂಜಿತ,rengîn
566,billig::A,ಅಗ್ಗ,erzan
567,teuer::A,ದುಬಾರಿಯಾದ,biha
568,wertvoll::A,ಅಮೂಲ್ಯ,hêja
