,Concept_ID,da,es
176,Krähe::N,krage,corneja
177,Kuckuck::N,gøg,cuco
178,Schwan::N,svane,cisne
179,Fisch::N,fisk,pez
180,Barsch::N,aborre,perca
181,Hecht::N,gedde,lucio
182,Schlange[Tier]::N,slange,serpiente
183,Wurm::N,orm,gusano
184,Spinne::N,edderkop,araña
185,Ameise::N,myre,hormiga
186,Laus::N,lus,piojo
187,Mücke::N,myg,mosquito
188,Fliege::N,flue,mosca
189,Schmetterling::N,sommerfugl,mariposa
190,Beere::N,bær,baya
191,Apfel::N,æble,manzana
192,Pilz::N,svamp,seta
193,Pilz::N,svamp,hongo
194,Zwiebel::N,løg,cebolla
195,Saat::N,sæd,siembra
196,Korn::N,korn,grano
197,Heu::N,hø,heno
198,Schale::N,skræl,cáscara
199,Grube::N,grav,foso
200,Falle::N,fælde,trampa
201,Schlinge::N,snare,lazo
202,Spur::N,spor,huella
203,Asche::N,aske,ceniza
204,Dreck::N,snavs,suciedad
205,Eisen::N,jern,hierro
206,Gold::N,guld,oro
207,Silber::N,sølv,plata
208,Kohle::N,kul,carbón
209,Glas::N,glas,vidrio
210,Glas::N,glas,cristal
211,Lehm::N,ler,barro
212,Sand::N,sand,arena
213,Mensch::N,mennesge,hombre
214,Mensch::N,mennesge,ser humano
215,Mann::N,mand,hombre
216,Frau::N,kvinde,mujer
217,Kind::N,barn,niño
218,Junge::N,dreng,chico
219,Junge::N,dreng,muchacho
220,Mädchen::N,pige,chica
221,Mädchen::N,pige,muchacha
222,Familie::N,familie,familia
223,Großvater::N,bedstefar,abuelo
224,Großmutter::N,bedstemor,abuela
225,Eltern::N,forældre,padres
226,Vater::N,far,padre
227,Mutter::N,mor,madre
228,Sohn::N,søn,hijo
229,Tochter::N,datter,hija
230,Bruder::N,bror,hermano
231,Schwester::N,søster,hermana
232,Onkel::N,onkel,tío
233,Tante::N,tante,tía
234,Ehemann::N,ægtemand,esposo
235,Ehefrau::N,hustru,esposa
236,Freude::N,glæde,placer
237,Freude::N,glæde,alegría
238,Gelächter::N,latter,risa
239,Gelächter::N,latter,carcajada
240,Glück::N,lykke,felicidad
241,Kummer::N,sorg,pena
242,Wunsch::N,ønske,deseo
243,Lust::N,lyst,ganas
244,Geist::N,ånd,mente
245,Geist::N,ånd,espíritu
246,Gedanke::N,tanke,idea
247,Gedanke::N,tanke,pensamiento
248,Gedächtnis::N,hukommelse,memoria
249,Verstand::N,forstand,razón
250,Verstand::N,forstand,entendimiento
251,Sinn::N,mening,sentido
252,Sinn::N,mening,significado
253,Sinn::N,betydning,sentido
254,Sinn::N,betydning,significado
255,Grund::N,grund,causa
256,Wahrheit::N,sandhed,verdad
257,Gespräch::N,samtale,conversación
258,Märchen::N,eventyr,cuento
259,Erzählung::N,fortælling,cuento
260,Erzählung::N,fortælling,narración
261,Nachricht::N,efterretning,mensaje
262,Neuigkeit::N,nyhed,noticia
263,Name::N,navn,nombre
264,Rätsel::N,gåde,acertijo
265,Rätsel::N,gåde,adivinanza
266,Rede::N,tale,discurso
267,Sprache::N,sprog,lengua
268,Stimme::N,stemme,voz
269,Wort::N,ord,palabra
270,Zeichen::N,tegn,señal
271,Ruf::N,råb,llamada
272,Lärm::N,larm,ruido
273,Lärm::N,larm,barullo
274,Laut::N,lyd,sonido
275,Ton::N,tone,tono
276,Lied::N,sang,canción
277,Ruhe::N,ro,calma
278,Ruhe::N,ro,silencio
279,Ruhe::N,hvile,calma
280,Ruhe::N,hvile,silencio
281,Leute::N,folk,gente
282,Leute::N,mennesker,gente
283,Volk::N,folk,pueblo
284,Arbeit::N,arbejde,trabajo
285,Gast::N,gæst,huésped
286,Gast::N,gæst,invitado
287,Geschenk::N,gave,regalo
288,Spiel::N,leg,juego
289,Gesellschaft::N,selskab,compañía
290,Hilfe::N,hjælp,ayuda
291,Hilfe::N,hjælp,socorro
292,Freund::N,ven,amigo
293,Kamerad::N,kammerat,camarada
294,Kamerad::N,kammerat,compañero
295,Angelegenheit::N,sag,asunto
296,Angelegenheit::N,anliggende,asunto
297,Anzahl::N,antal,cantidad
298,Art::N,art,tipo
299,Art::N,art,clase
300,Stück::N,stykke,pieza
301,Teil::N,del,parte
302,Hälfte::N,halvdel,mitad
303,Kreis::N,cirkel,círculo
304,Kreuz::N,kors,cruz
305,Kreuz::N,kryds,cruz
306,Linie::N,linie,línea
307,Strich::N,streg,raya
308,Strich::N,streg,trazo
309,Abstand::N,afstand,distancia
310,Entfernung::N,afstand,distancia
311,Gegend::N,egn,región
312,Gegend::N,egn,comarca
313,Platz::N,plads,espacio
314,Ort::N,sted,sitio
315,Seite::N,side,lado
316,Seite::N,side,costado
317,Mitte::N,midte,medio
318,Mitte::N,midte,centro
319,Gegenstand::N,genstand,objeto
320,Sache::N,sag,cosa
321,Rand::N,rand,borde
322,Kante::N,kant,borde
323,Ecke::N,hjørne,esquina
324,Spitze::N,spids,punta
325,Ende::N,ende,cabo
326,Ende::N,ende,extremo
327,Loch::N,hul,agujero
328,Loch::N,hul,abertura
329,Winkel::N,vinkel,ángulo
330,Muster::N,mønster,dibujo
331,Größe::N,størrelse,tamaño
332,Länge::N,længde,longitud
333,Höhe::N,højde,altura
334,Höhe::N,højde,altitud
335,Gewicht::N,vægt,peso
336,Menge::N,mængde,cantidad
337,Haufen::N,bunke,montón
338,Reihe::N,række,fila
339,Boot::N,båd,bote
340,Boot::N,båd,barca
341,Ruder::N,åre,remo
342,Schlitten::N,kælk,trineo
343,Schlitten::N,slæde,trineo
344,Ski::N,ski,esquí
345,Lagerfeuer::N,lejrbål,hoguera
346,Last::N,last,carga
347,Last::N,byrde,carga
348,Gang::N,gang,marcha
349,Schritt::N,skridt,paso
350,Norden::N,nord,norte
351,Süden::N,syd,sur
352,Westen::N,vest,oeste
353,Osten::N,øst,este
354,Holz::N,træ,madera
355,Brett::N,bræt,tabla
356,Platte::N,plade,placa
357,Platte::N,plade,plancha
358,Stütze::N,støtte,sostén
359,Stütze::N,støtte,soporte
360,Stange::N,stang,vara
361,Stange::N,stang,percha
362,Stock::N,stok,palo
363,Stock::N,stok,bastón
364,Stab::N,stav,vara
365,Stab::N,stav,bastón
366,Rohr::N,rør,tubo
367,Haus::N,hus,casa
368,Heim::N,hjem,hogar
369,Ofen::N,ovn,estufa
370,Fußboden::N,gulv,suelo
371,Tisch::N,bord,mesa
372,Stuhl::N,stol,silla
373,Wiege::N,vugge,cuna
374,Bett::N,seng,cama
375,Regal::N,reol,estantería
376,Kiste::N,kasse,caja
377,Fenster::N,vindue,ventana
378,Tür::N,dør,puerta
379,Tor::N,port,puerta
380,Zaun::N,stakit,valla
381,Zaun::N,stakit,cercado
382,Dach::N,tag,techo
383,Dach::N,tag,tejado
384,Leiter::N,stige,escalera
385,Besen::N,kost,escoba
386,Spaten::N,spade,pala
387,Schaufel::N,skovl,pala
388,Schaufel::N,skovl,paleta
389,Gabel::N,gaffel,tenedor
390,Löffel::N,ske,cuchara
391,Messer::N,kniv,cuchillo
392,Nagel::N,søm,clavo
393,Netz::N,net,red
394,Haken::N,krog,gancho
395,Haken::N,krog,corchete
396,Griff::N,tag,asa
397,Griff::N,tag,mango
398,Griff::N,håndtag,asa
399,Griff::N,håndtag,mango
400,Schloss::N,lås,cerradura
401,Bild::N,billede,imagen
402,Figur::N,figur,figura
403,Puppe::N,dukke,muñeca
404,Beutel::N,pose,bolsa
405,Bündel::N,bylt,haz
406,Bündel::N,bundt,haz
407,Tasche::N,taske,bolso
408,Eimer::N,spand,cubo
409,Deckel::N,låg,tapa
410,Deckel::N,låg,tapadera
411,Geschirr::N,husgeråd,vajilla
412,Sack::N,sæk,saco
413,Tasse::N,kop,taza
414,Topf::N,gryde,olla
415,Topf::N,gryde,marmita
416,Kessel::N,kedel,caldera
417,Essen::N,måltid,comida
418,Nahrung::N,mad,alimento
419,Nahrung::N,næring,alimento
420,Speise::N,ret,plato
421,Fleisch::N,kød,carne
422,Getreide::N,korn,cereales
423,Brei::N,grød,puré
424,Brei::N,grød,papilla
425,Brot::N,brød,pan
426,Scheibe::N,skive,lonja
427,Scheibe::N,skive,rebanada
428,Fett::N,fedt,grasa
429,Butter::N,smør,mantequilla
430,Öl::N,olie,aceite
431,Salz::N,salt,sal
432,Suppe::N,suppe,sopa
433,Honig::N,honning,miel
434,Milch::N,mælk,leche
435,Tee::N,te,té
436,Leder::N,skind,cuero
437,Wolle::N,uld,lana
438,Stoff::N,stof,tela
439,Stoff::N,stof,tejido
440,Nadel::N,nål,aguja
441,Faden::N,tråd,hilo
442,Knopf::N,knap,botón
443,Knoten::N,knude,nudo
444,Farbe::N,farve,pintura
445,Kleidung::N,påklædning,ropa
446,Kleidung::N,påklædning,vestidos
447,Hemd::N,skjorte,camisa
448,Kragen::N,krave,cuello
449,Ärmel::N,ærme,manga
450,Hose::N,bukser,pantalón
451,Gürtel::N,bælte,cinturón
452,Mütze::N,hue,gorro
453,Schuh::N,sko,zapato
454,Stiefel::N,støvle,bota
455,Ring::N,ring,anillo
456,Band::N,bånd,cinta
457,Kamm::N,kam,peine
458,Spiegel::N,spejl,espejo
459,Riemen::N,rem,correa
460,Schnur::N,snor,cuerda
461,Leine::N,snor,correa
462,Decke::N,tæppe,manta
463,Kissen::N,pude,almohada
464,Tuch::N,sjaltørklæde,pañuelo
465,Handtuch::N,håndklæde,toalla
466,Kraft::N,kraft,fuerza
467,Stärke::N,styrke,fuerza
468,Gesundheit::N,sundhed,salud
469,Krankheit::N,sygdom,enfermedad
470,Schmerz::N,smerte,dolor
471,Wunde::N,sår,llaga
472,Wunde::N,sår,herida
473,Fieber::N,feber,fiebre
474,Arznei::N,medicin,medicina
475,Arznei::N,medicin,medicamento
476,Arznei::N,lægemiddel,medicina
477,Arznei::N,lægemiddel,medicamento
478,Brücke::N,bro,puente
479,Brunnen::N,brønd,pozo
480,Weide::N,græsgang,pasto
481,Pfad::N,sti,sendero
482,Weg::N,vej,camino
483,Straße::N,gade,vía
484,Straße::N,gade,carretera
485,Dorf::N,landsby,aldea
486,Dorf::N,landsby,pueblo
487,Stadt::N,by,ciudad
488,Brief::N,brev,carta
489,Buch::N,bog,libro
490,Buchstabe::N,bogstav,letra
491,Buchstabe::N,bogstav,carácter
492,Zeitung::N,avis,diario
493,Zeitung::N,avis,periódico
494,Leben::N,liv,vida
495,Tod::N,død,muerte
496,Grab::N,grav,tumba
497,Grab::N,grav,sepulcro
498,Kirche::N,kirke,iglesia
499,Sünde::N,synd,pecado
500,Gott::N,gud,dios
501,Arbeiter::N,arbejder,obrero
502,Arbeiter::N,arbejder,trabajador
503,Chef::N,chef,jefe
504,Meister::N,mester,maestro
505,Arzt::N,læge,médico
506,Lehrer::N,lærer,profesor
507,Geld::N,penge,dinero
508,Geschäft::N,forretning,negocio
509,Laden::N,butik,tienda
510,Laden::N,forretning,tienda
511,Preis::N,pris,precio
512,Ware::N,vare,mercancía
513,Nutzen::N,nytte,provecho
514,Reichtum::N,rigdom,riqueza
515,Welt::N,verden,mundo
516,Land::N,land,país
517,Staat::N,stat,Estado
518,König::N,konge,rey
519,Macht::N,magt,poder
520,Macht::N,magt,potencia
521,Grenze::N,grænse,frontera
522,Krieg::N,krig,guerra
523,Feind::N,fjende,enemigo
524,Gewalt::N,vold,violencia
525,Kampf::N,kamp,lucha
526,Kampf::N,kamp,combate
527,Bogen[Waffe]::N,bue,arco
528,Pfeil::N,pil,flecha
529,Gewehr::N,gevær,fusil
530,Gewehr::N,gevær,escopeta
531,Fehler::N,fejl,error
532,Lüge::N,løgn,mentira
533,Schaden::N,skade,daño
534,Unglück::N,uheld,desgracia
535,Unglück::N,ulykke,desgracia
536,Schuld::N,skyld,culpa
537,Alter::N,alder,edad
538,Schluss::N,slut,fin
539,Schluss::N,slut,final
540,Schluss::N,slutning,fin
541,Schluss::N,slutning,final
542,Zeit::N,tid,tiempo
543,Tag::N,dag,día
544,Morgen::N,morgen,mañana
545,Mittag::N,middag,mediodía
546,Abend::N,aften,noche
547,Nacht::N,nat,noche
548,Woche::N,uge,semana
549,Monat::N,måned,mes
550,Jahr::N,år,año
551,Frühling::N,forår,primavera
552,Sommer::N,sommer,verano
553,Herbst::N,efterår,otoño
554,Winter::N,vinter,invierno
555,Januar::N,januar,enero
556,Februar::N,februar,febrero
557,März::N,marts,marzo
558,April::N,april,abril
559,Mai::N,maj,mayo
560,Juni::N,juni,junio
561,Juli::N,juli,julio
562,August::N,august,agosto
563,September::N,september,septiembre
564,Oktober::N,oktober,octubre
565,November::N,november,noviembre
566,Dezember::N,december,diciembre
567,Montag::N,mandag,lunes
568,Dienstag::N,tirsdag,martes
569,Mittwoch::N,onsdag,miércoles
570,Donnerstag::N,torsdag,jueves
571,Freitag::N,fredag,viernes
572,Samstag::N,lørdag,sábado
573,Sonntag::N,søndag,domingo
574,groß::A,stor,grande
575,klein::A,lille,pequeño
576,lang::A,lang,largo
577,kurz::A,kort,corto
578,breit::A,bred,ancho
579,schmal::A,smal,estrecho
580,dicht::A,tæt,denso
581,dick[Gegenstand]::A,tyk,grueso
582,dünn::A,tynd,fino
583,dünn::A,tynd,delgado
584,fein::A,fin,fino
585,fein::A,fin,delicado
586,fest::A,fast,firme
587,fest::A,fast,sólido
588,flach::A,flad,plano
589,glatt::A,glat,liso
590,hart::A,hård,duro
591,weich::A,blød,muelle
592,rund::A,rund,redondo
593,spitz::A,spids,agudo
594,spitz::A,spids,apuntado
595,scharf::A,skarp,agudo
596,scharf::A,skarp,afilado
597,stumpf::A,sløv,sin filo
598,stumpf::A,stump,sin filo
599,schwer::A,tung,pesado
600,schön::A,skøn,bello
601,schön::A,skøn,hermoso
602,heiß::A,hed,caluroso
603,warm::A,varm,cálido
604,warm::A,varm,caliente
605,kalt::A,kold,frío
606,kühl::A,kølig,fresco
607,frisch::A,frisk,fresco
608,feucht::A,fugtig,húmedo
609,nass::A,våd,mojado
610,trocken::A,tør,seco
611,voll::A,fuld,lleno
612,leer::A,tom,vacío
613,offen::A,åben,abierto
614,geschlossen::A,lukket,cerrado
615,sauber::A,ren,limpio
616,schmutzig::A,snavset,sucio
617,roh::A,rå,crudo
618,reif::A,moden,maduro
619,lecker::A,lækker,rico
620,lecker::A,lækker,sabroso
621,süß::A,sød,dulce
622,bitter::A,bitter,amargo
623,sauer::A,sur,agrio
624,hell::A,lys,claro
625,dunkel::A,mørk,oscuro
626,schwarz::A,sort,negro
627,weiß::A,hvid,blanco
628,rot::A,rød,rojo
629,gelb::A,gul,amarillo
630,blau::A,blå,azul
631,grün::A,grøn,verde
632,grau::A,grå,gris
633,bunt::A,broget,multicolor
634,billig::A,billig,barato
635,teuer::A,dyr,caro
636,wertvoll::A,værdifuld,valioso
637,wertvoll::A,værdifuld,precioso
638,blind::A,blind,ciego
639,taub::A,døv,sordo
640,kräftig::A,kraftig,fuerte
641,stark::A,stærk,fuerte
642,stark::A,stærk,vigoroso
643,schwach::A,svag,débil
644,fett::A,fed,obeso
645,schlank::A,slank,esbelto
646,hübsch::A,køn,mono
647,hübsch::A,køn,guapo
648,böse::A,ond,malo
649,böse::A,slem,malo
650,dumm::A,dum,tonto
651,dumm::A,dum,estúpido
652,faul::A,doven,vago
653,faul::A,doven,perezoso
654,fleißig::A,flittig,aplicado
655,fleißig::A,flittig,diligente
656,geizig::A,gerrig,avaro
657,klug::A,klog,sensato
658,klug::A,klog,inteligente
659,geschickt::A,dygtig,hábil
660,geschickt::A,behændig,hábil
661,lieb::A,rar,querido
662,lustig::A,lystig,alegre
663,sanft::A,blid,suave
664,hungrig::A,sulten,hambriento
665,krank::A,syg,enfermo
666,nackt::A,nøgen,desnudo
667,traurig::A,bedrøvet,triste
668,lebendig::A,levende,vivo
669,lebendig::A,levende,viviente
670,gut::A,god,bueno
671,schlecht::A,dårlig,malo
672,richtig::A,rigtig,justo
673,richtig::A,rigtig,correcto
674,schlimm::A,slem,malo
675,schlimm::A,slem,grave
676,wahr::A,sand,verídico
677,wahr::A,sand,verdadero
678,alt::A,gammel,viejo
679,neu::A,ny,nuevo
680,ehemalig::A,forhenværende,antiguo
681,alt[Lebewesen]::A,gammel,viejo
682,jung::A,ung,joven
683,arm::A,fattig,pobre
684,reich::A,rig,rico
685,bekannt::A,kendt,conocido
686,berühmt::A,berømt,famoso
687,berühmt::A,berømt,célebre
688,fremd::A,fremmed,extraño
689,verschieden::A,forskellig,diverso
690,verschieden::A,forskellig,distinto
691,verschieden::A,forskellig,diferente
692,nah::A,nær,cercano
693,fern::A,fjern,lejano
694,linker::A,venstre,izquierdo
695,rechter::A,højre,derecho
696,anderer::A,anden,otro
697,erster::A,første,primero
698,zweiter::A,anden,segundo
699,dritter::A,tredje,tercero
700,letzter::A,sidste,último
701,allein::ADV,alene,a solo
702,auf einmal::ADV,på én gang,de una vez
703,zusammen::ADV,sammen,juntos
704,lange::ADV,længe,mucho tiempo
705,plötzlich::ADV,pludselig,de repente
706,sofort::ADV,straks,en seguida
707,später::ADV,senere,más tarde
708,jetzt::ADV,nu,ahora
709,heute::ADV,i dag,hoy
710,morgen::ADV,i morgen,mañana
711,bald::ADV,snart,pronto
712,bald::ADV,snart,en breve
713,dann::ADV,så,luego
714,dann::ADV,så,entonces
715,gestern::ADV,i går,ayer
716,einst::ADV,engang,antaño
717,damals::ADV,dengang,entonces
718,danach::ADV,derefter,después
719,vorher::ADV,før,antes
720,vorher::ADV,forud,antes
721,zuerst::ADV,først,primero
722,einmal::ADV,en gang,una vez
723,manchmal::ADV,sommetider,a veces
724,oft::ADV,ofte,a menudo
725,oft::ADV,ofte,con frecuencia
726,immer::ADV,altid,siempre
727,niemals::ADV,aldrig,jamás
728,hier::ADV,her,aquí
729,hierhin::ADV,hid,acá
730,hierhin::ADV,herhen,acá
731,von hier::ADV,herfra,desde aquí
732,dort::ADV,der,ahí
733,dort::ADV,der,allí
734,dorthin::ADV,derhen,allí
735,dorthin::ADV,derhen,hacia allí
736,geradeaus::ADV,lige ud,todo derecho
737,vorwärts::ADV,fremad,adelante
738,rückwärts::ADV,baglæns,hacia atrás
739,zurück::ADV,tilbage,atrás
740,unten::ADV,nede,abajo
741,unten::ADV,forneden,abajo
742,hinab::ADV,ned,hacia abajo
743,hinab::ADV,nedad,hacia abajo
744,oben::ADV,oppe,arriba
745,oben::ADV,ovenpå,arriba
746,hinauf::ADV,op,hacia arriba
747,hinauf::ADV,opad,hacia arriba
748,überall::ADV,overalt,por todas partes
749,nicht::ADV,ikke,no
750,ein wenig::ADV,lidt,un poco
751,kaum::ADV,knap,apenas
752,kaum::ADV,næppe,apenas
753,sehr::ADV,meget,muy
754,sehr::ADV,meget,mucho
755,so::ADV,så,tan
756,noch::ADV,endnu,aún
757,noch::ADV,endnu,todavía
758,nur::ADV,kun,solamente
759,nur::ADV,bare,solamente
760,schon::ADV,alt,ya
761,schon::ADV,allerede,ya
762,wieder::ADV,igen,de nuevo
763,vergebens::ADV,forgæves,en vano
764,vor::PRP,foran,antes de
765,vor::PRP,foran,delante de
766,vor::PRP,uden for,antes de
767,vor::PRP,uden for,delante de
768,hinter::PRP,bag,tras
769,hinter::PRP,bag,detrás de
770,hinter::PRP,bagved,tras
771,hinter::PRP,bagved,detrás de
772,unter::PRP,under,bajo
773,unter::PRP,under,debajo de
774,durch::PRP,gennem,por
775,durch::PRP,gennem,a través de
776,durch::PRP,igennem,por
777,durch::PRP,igennem,a través de
778,neben::PRP,ved siden af,al lado de
779,zwischen::PRP,mellem,entre
780,wegen::PRP,på grund af,por
781,wegen::PRP,på grund af,a causa de
782,dies::PRN,dette,esto
783,das::PRN,det,eso
784,das::PRN,det,esto
785,alles::PRN,alt,todo
786,ich::PRN,jeg,yo
787,du::PRN,du,tú
788,er::PRN,han,él
789,wir::PRN,vi,nosotros
790,ihr::PRN,I,vosotros
791,sie::PRN,de,ellos
792,was::FPRN,hvad,qué
793,wer::FPRN,hvem,quién
794,wo::FADV,hvor,dónde
795,wohin::FADV,hvorhen,adónde
796,wohin::FADV,hvorhen,hacia dónde
797,wie::FADV,hvordan,cómo
798,warum::FADV,hvorfor,por qué
799,wieviel::FNUM,hvor meget,cuánto
800,eins::NUM,én,uno
801,zwei::NUM,to,dos
802,drei::NUM,tre,tres
803,vier::NUM,fire,cuatro
804,fünf::NUM,fem,cinco
805,sechs::NUM,seks,seis
806,sieben::NUM,syv,siete
807,acht::NUM,otte,ocho
808,neun::NUM,ni,nueve
809,zehn::NUM,ti,diez
810,elf::NUM,elleve,once
811,zwölf::NUM,tolv,doce
812,zwanzig::NUM,tyve,veinte
813,dreißig::NUM,tredive,treinta
814,vierzig::NUM,fyrre,cuarenta
815,vierzig::NUM,fyrretyve,cuarenta
816,fünfzig::NUM,halvtreds,cincuenta
817,sechzig::NUM,tres,sesenta
818,siebzig::NUM,halvfjerds,setenta
819,achtzig::NUM,firs,ochenta
820,neunzig::NUM,halvfems,noventa
821,hundert::NUM,hundrede,cien
822,hundert::NUM,hundrede,ciento
823,tausend::NUM,tusind,mil
824,und::CNJ,og,y
825,oder::CNJ,eller,o
826,stehen::V,stå,estar de pie
827,sitzen::V,sidde,estar sentado
828,liegen::V,ligge,yacer
829,liegen::V,ligge,estar acostado
830,hängen::V,hænge,pender
831,werden::V,blive,hacerse
832,passieren::V,ske,suceder
833,passieren::V,hænde,suceder
834,beginnen::V,begynde,iniciarse
835,beginnen::V,begynde,principiar
836,enden::V,ende,acabar
837,enden::V,ende,terminar
838,wechseln::V,veksle,variar
839,wechseln::V,veksle,alternar
840,aufgehen[Sonne]::V,gå op,salir
841,aufgehen[Sonne]::V,stå op,salir
842,untergehen[Sonne]::V,gå ned,ponerse
843,untergehen[Sonne]::V,gå ned,descender
844,scheinen[Sonne]::V,skinne,brillar
845,donnern::V,tordne,tronar
846,wehen::V,blæse,soplar
847,strömen::V,strømme,afluir
848,fließen::V,flyde,fluir
849,fließen::V,flyde,correr
850,sich drehen::V,dreje sig,girar
851,schwanken::V,vakle,vacilar
852,schwingen::V,svinge,oscilar
853,fallen::V,falde,caer
854,brennen::V,brænde,arder
