,Concept_ID,ro,sq
74,Luft::N,aer,ajër
75,Wind::N,vânt,erë
76,Welle::N,val,valë
77,Welle::N,val,dallgë
78,Welle::N,undă,valë
79,Welle::N,undă,dallgë
80,Wasser::N,apă,ujë
81,Stein::N,piatră,gur
82,Boden::N,sol,tokë
83,Boden::N,sol,truall
84,Boden::N,pământ,tokë
85,Boden::N,pământ,truall
86,Erde::N,pământ,dhe
87,Erde::N,pământ,baltë
88,Staub::N,praf,pluhur
89,Rauch::N,fum,tym
90,Funke::N,scânteie,xixë
91,Funke::N,scânteie,shkëndijë
92,Feuer::N,foc,zjarr
93,Licht::N,lumină,dritë
94,Schatten::N,umbră,hije
95,Wetter::N,timp,mot
96,Wetter::N,vreme,mot
97,Nebel::N,ceață,mjegull
98,Nebel::N,negură,mjegull
99,Wolke::N,nor,re
100,Regen::N,ploaie,shi
101,Schnee::N,zăpadă,borë
102,Eis::N,gheață,akull
103,Frost::N,ger,ngricë
104,Kälte::N,frig,të ftohtë
105,Hitze::N,arșiță,vapë
106,Hitze::N,arșiță,nxehtësi
107,Hitze::N,căldură,vapë
108,Hitze::N,căldură,nxehtësi
109,Raureif::N,chiciură,cikmë
110,Regenbogen::N,curcubeu,ylber
111,Donner::N,tunet,gjëmim
112,Donner::N,tunet,bubullimë
113,Strömung::N,curent,rrymë
114,Tropfen::N,picătură,pikë
115,Schaum::N,spumă,shkumë
116,Schmutz::N,murdărie,baltë
117,See::N,lac,liqen
118,Sumpf::N,mlaștină,batak
119,Moor::N,bărăgan,kënetë
120,Wiese::N,fânaț,livadh
121,Wiese::N,livadă,livadh
122,Wald::N,codru,pyll
123,Wald::N,pădure,pyll
124,Hügel::N,deal,kodër
125,Hügel::N,movilă,kodër
126,Anhöhe::N,deal,bregore
127,Anhöhe::N,ridicătură,bregore
128,Berg::N,munte,mal
129,Gipfel::N,pisc,kulm
130,Höhle::N,peșteră,shpellë
131,Höhle::N,peșteră,zgafelle
132,Abhang::N,pantă,shpat
133,Abhang::N,pantă,tatëpjetë
134,Abhang::N,versant,shpat
135,Abhang::N,versant,tatëpjetë
136,Quelle::N,izvor,krua
137,Quelle::N,izvor,burim
138,Bach::N,gârlă,virua
139,Fluss::N,râu,lumë
140,Fluss::N,fluviu,lumë
141,Ufer::N,mal,breg
142,Ufer::N,țărm,breg
143,Küste::N,coastă,anëdet
144,Küste::N,coastă,bregdet
145,Festland::N,uscat,kontinent
146,Meer::N,mare,det
147,Bucht::N,golf,gji deti
148,Insel::N,insulă,ishull
149,Insel::N,insulă,ujdhesë
150,Blume::N,floare,lule
151,Gras::N,iarbă,bar
152,Wurzel::N,rădăcină,rrënjë
153,Baum::N,copac,pemë
154,Baum::N,arbore,pemë
155,Stamm::N,tulpină,trung
156,Rinde::N,scoarță,lëvore
157,Ast::N,cracă,degë
158,Ast::N,creangă,degë
159,Zweig::N,ramură,bisk
160,Zweig::N,creangă,bisk
161,Blatt::N,frunză,fletë
162,Blatt::N,frunză,gjethe
163,Birke::N,mesteacăn,mështekën
164,Kiefer[Baum]::N,pin,pishë
165,Weide[Baum]::N,salcie,shelg
166,Weide[Baum]::N,răchită,shelg
167,Tanne::N,brad,bredh
168,Horn::N,corn,bri
169,Feder::N,pană,pupël
170,Fell::N,piele,lëkurë
171,Flügel::N,aripă,krah
172,Flügel::N,aripă,fletë
173,Klaue::N,gheară,kthetër
174,Kralle::N,labă,thua
175,Kralle::N,labă,kthetër
176,Kralle::N,gheară,thua
177,Kralle::N,gheară,kthetër
178,Schwanz::N,coadă,bisht
179,Ei::N,ou,vezë
180,Nest::N,cuib,fole
181,Bau::N,bârlog,strofkë
182,Bau::N,vizuină,strofkë
183,Tier::N,animal,kafshë
184,Herde::N,turmă,kope
185,Herde::N,turmă,grigjë
186,Herde::N,cireadă,kope
187,Herde::N,cireadă,grigjë
188,Kuh::N,vacă,lopë
189,Bulle::N,taur,dem
190,Pferd::N,cal,kalë
191,Schaf::N,oaie,dele
192,Schwein::N,porc,derr
193,Hund::N,câine,qen
194,Katze::N,pisică,mace
195,Bär::N,urs,ari
196,Eichhörnchen::N,veveriță,ketër
197,Elch::N,elan,dre brilopatë
198,Fuchs::N,vulpe,dhelpër
199,Hase::N,iepure,lepur
200,Maus::N,șoarece,mi
201,Wolf::N,lup,ujk
202,Vogel::N,pasăre,zog
203,Vogel::N,pasăre,shpend
204,Schwarm::N,cârd,luzmë
205,Huhn::N,găină,pulë
206,Hahn::N,cocoș,gjel
207,Hahn::N,cocoș,këndes
208,Gans::N,gâscă,patë
209,Adler::N,vultur,shqiponjë
210,Ente::N,rață,rosë
211,Eule::N,bufniță,buf
212,Kranich::N,cocor,lejlek
213,Kranich::N,cocor,kurrillë
214,Krähe::N,cioară,sorrë
215,Kuckuck::N,cuc,qyqe
216,Schwan::N,lebădă,mjellmë
217,Fisch::N,pește,peshk
218,Barsch::N,biban,purtekë
219,Hecht::N,știucă,mlysh
220,Schlange[Tier]::N,șarpe,gjarpër
221,Wurm::N,vierme,krimb
222,Spinne::N,păianjen,marimangë
223,Ameise::N,furnică,thnegël
224,Ameise::N,furnică,milingonë
225,Laus::N,păduche,morr
226,Mücke::N,țânțar,kunup
227,Mücke::N,țânțar,mushkonjë
228,Fliege::N,muscă,mizë
229,Schmetterling::N,fluture,flutur
230,Beere::N,boabă,frutë
231,Beere::N,boabă,manaferrë
232,Apfel::N,măr,mollë
233,Pilz::N,burete,kërpudhë
234,Pilz::N,ciupercă,kërpudhë
235,Zwiebel::N,ceapă,qepë
236,Saat::N,semănătură,farë
237,Korn::N,grâu,grurë
238,Korn::N,grâu,kokërr
239,Heu::N,fân,sanë
240,Schale::N,coajă,lëkurë
241,Grube::N,groapă,gropë
242,Falle::N,cursă,kurth
243,Falle::N,cursă,grackë
244,Falle::N,capcană,kurth
245,Falle::N,capcană,grackë
246,Schlinge::N,laț,nyjë
247,Spur::N,dâră,gjurmë
248,Asche::N,cenușă,hi
249,Dreck::N,noroi,baltë
250,Dreck::N,murdărie,baltë
251,Eisen::N,fier,hekur
252,Gold::N,aur,ar
253,Gold::N,aur,flori
254,Silber::N,argint,argjend
255,Kohle::N,cărbune,qymyr
256,Glas::N,sticlă,qelq
257,Lehm::N,lut,argjilë
258,Lehm::N,humă,argjilë
259,Sand::N,nisip,rërë
260,Mensch::N,om,njeri
261,Mensch::N,persoană,njeri
262,Mann::N,om,burrë
263,Mann::N,om,mashkull
264,Mann::N,bărbat,burrë
265,Mann::N,bărbat,mashkull
266,Frau::N,femeie,grua
267,Frau::N,femeie,femër
268,Kind::N,copil,kalama
269,Junge::N,băiat,djalë
270,Junge::N,flăcău,djalë
271,Mädchen::N,fată,gocë
272,Mädchen::N,fată,vajzë
273,Familie::N,familie,familje
274,Großvater::N,bunic,gjysh
275,Großvater::N,tată mare,gjysh
276,Großmutter::N,bunică,gjyshe
277,Großmutter::N,mamă mare,gjyshe
278,Eltern::N,părinți,prindër
279,Vater::N,tată,atë
280,Vater::N,părinte,atë
281,Mutter::N,mamă,nënë
282,Sohn::N,fiu,bir
283,Sohn::N,fecior,bir
284,Tochter::N,fiică,bijë
285,Bruder::N,frate,vëlla
286,Schwester::N,soră,motër
287,Onkel::N,unchi,dajë
288,Onkel::N,unchi,xhaxha
289,Tante::N,mătușă,teze
290,Tante::N,mătușă,hallë
291,Ehemann::N,soț,burrë
292,Ehemann::N,soț,bashkëshort
293,Ehemann::N,bărbat,burrë
294,Ehemann::N,bărbat,bashkëshort
295,Ehefrau::N,soție,grua
296,Ehefrau::N,soție,bashkëshorte
297,Freude::N,bucurie,gaz
298,Freude::N,bucurie,gëzim
299,Gelächter::N,râset,qeshje
300,Glück::N,fericire,lumturi
301,Kummer::N,mâhnire,brengë
302,Kummer::N,mâhnire,pikëllim
303,Wunsch::N,dorință,dëshirë
304,Wunsch::N,deziderat,dëshirë
305,Lust::N,poftă,epsh
306,Lust::N,poftă,dashuri
307,Lust::N,înclinare,epsh
308,Lust::N,înclinare,dashuri
309,Geist::N,duh,frymë
310,Geist::N,duh,shpirt
311,Geist::N,minte,frymë
312,Geist::N,minte,shpirt
313,Geist::N,suflet,frymë
314,Geist::N,suflet,shpirt
315,Gedanke::N,gând,ide
316,Gedanke::N,gând,mendim
317,Gedanke::N,cuget,ide
318,Gedanke::N,cuget,mendim
319,Gedächtnis::N,memorie,kujtesë
320,Verstand::N,minte,mend
321,Verstand::N,intelect,mend
322,Sinn::N,sens,kuptim
323,Sinn::N,înțeles,kuptim
324,Grund::N,cauză,arsye
325,Grund::N,pricină,arsye
326,Wahrheit::N,adevăr,vërtetë
327,Gespräch::N,convorbire,bisedim
328,Gespräch::N,conversație,bisedim
329,Märchen::N,basm,përrallë
330,Märchen::N,poveste,përrallë
331,Erzählung::N,poveste,tregim
332,Nachricht::N,veste,lajm
333,Neuigkeit::N,noutate,risi
334,Neuigkeit::N,actualitate,risi
335,Name::N,nume,emër
336,Rätsel::N,ghicitoare,gjëzë
337,Rätsel::N,ghicitoare,gjëegjëzë
338,Rede::N,discurs,fjalim
339,Sprache::N,limbă,gjuhë
340,Sprache::N,limbaj,gjuhë
341,Stimme::N,glas,zë
342,Wort::N,cuvânt,fjalë
343,Zeichen::N,semn,shenjë
344,Zeichen::N,semnal,shenjë
345,Ruf::N,chemare,thirrmë
346,Lärm::N,zgomot,zhurmë
347,Lärm::N,tărăboi,zhurmë
348,Laut::N,sunet,tingull
349,Ton::N,ton,ton
350,Lied::N,cântec,këngë
351,Ruhe::N,odihnă,qetësi
352,Ruhe::N,liniște,qetësi
353,Leute::N,lume,botë
354,Leute::N,lume,njerëz
355,Leute::N,oameni,botë
356,Leute::N,oameni,njerëz
357,Volk::N,popor,popull
358,Volk::N,națiune,popull
359,Arbeit::N,lucru,punë
360,Gast::N,musafir,mik
361,Gast::N,musafir,mysafir
362,Geschenk::N,dar,dhuratë
363,Geschenk::N,dar,peshqesh
364,Geschenk::N,cadou,dhuratë
365,Geschenk::N,cadou,peshqesh
366,Spiel::N,joc,lojë
367,Gesellschaft::N,societate,shoqëri
368,Hilfe::N,ajutor,ndihmë
369,Freund::N,amic,mik
370,Freund::N,prieten,mik
371,Kamerad::N,tovarăș,shok
372,Angelegenheit::N,afacere,punë
373,Anzahl::N,număr,sasi
374,Anzahl::N,cantitate,sasi
375,Art::N,fel,lloj
376,Art::N,specie,lloj
377,Stück::N,bucată,copë
378,Teil::N,parte,pjesë
379,Teil::N,porție,pjesë
380,Hälfte::N,jumătate,gjysmë
381,Kreis::N,cerc,qark
382,Kreis::N,cerc,rreth
383,Kreuz::N,cruce,kryq
384,Linie::N,linie,vijë
385,Strich::N,linie,vizë
386,Strich::N,trăsătură,vizë
387,Abstand::N,distanță,distancë
388,Abstand::N,depărtare,distancë
389,Entfernung::N,distanță,largim
390,Entfernung::N,depărtare,largim
391,Gegend::N,regiune,vise
392,Gegend::N,regiune,krahinë
393,Platz::N,loc,shesh
394,Ort::N,loc,vend
395,Seite::N,latură,anë
396,Mitte::N,centru,mes
397,Gegenstand::N,obiect,send
398,Sache::N,lucru,gjë
399,Sache::N,lucru,send
400,Sache::N,chestie,gjë
401,Sache::N,chestie,send
402,Rand::N,bordură,qoshe
403,Kante::N,muchie,teh
404,Kante::N,bordură,teh
405,Ecke::N,colț,qoshe
406,Spitze::N,vârf,majë
407,Spitze::N,creștet,majë
408,Ende::N,capăt,skaj
409,Ende::N,capăt,bisht
410,Loch::N,gaură,vrimë
411,Winkel::N,colț,kënd
412,Muster::N,desen,mostër
413,Größe::N,mărime,madhësi
414,Länge::N,lungime,gjatësi
415,Höhe::N,înălțime,lartësi
416,Gewicht::N,greutate,peshë
417,Menge::N,cantitate,sasi
418,Haufen::N,grămadă,grumbull
419,Reihe::N,șir,radhë
420,Reihe::N,șir,rresht
421,Reihe::N,rând,radhë
422,Reihe::N,rând,rresht
423,Boot::N,barcă,barkë
424,Boot::N,barcă,lundër
425,Boot::N,luntre,barkë
426,Boot::N,luntre,lundër
427,Ruder::N,vâslă,rrem
428,Ruder::N,lopată,rrem
429,Schlitten::N,sanie,sajë
430,Ski::N,schi,ski
431,Lagerfeuer::N,foc de tabără,flakadan
432,Lagerfeuer::N,foc de tabără,zjarr i madh
433,Last::N,povară,barrë
434,Last::N,sarcină,barrë
435,Gang::N,mers,ecje
436,Gang::N,umblet,ecje
437,Schritt::N,pas,hap
438,Norden::N,nord,veri
439,Norden::N,miazănoapte,veri
440,Süden::N,sud,jug
441,Süden::N,miazăzi,jug
442,Westen::N,apus,perëndim
443,Osten::N,est,lindje
444,Osten::N,răsărit,lindje
445,Holz::N,lemn,dru
446,Brett::N,scândură,dërrasë
447,Platte::N,placă,pllakë
448,Stütze::N,proptea,shtyllë
449,Stütze::N,proptea,mbështetesë
450,Stange::N,bară,shufër
451,Stange::N,prăjină,shufër
452,Stock::N,băț,dajak
453,Stock::N,baston,dajak
454,Stab::N,baston,shkop
455,Stab::N,prăjină,shkop
456,Rohr::N,tub,tub
457,Rohr::N,țeavă,tub
458,Haus::N,casă,shtëpi
459,Heim::N,casă,konak
460,Heim::N,casă,shtëpi
461,Heim::N,cămin,konak
462,Heim::N,cămin,shtëpi
463,Ofen::N,sobă,sobë
464,Ofen::N,sobă,stufë
465,Fußboden::N,podea,dysheme
466,Fußboden::N,dușumea,dysheme
467,Tisch::N,masă,tryezë
468,Stuhl::N,scaun,karrige
469,Wiege::N,leagăn,djep
470,Bett::N,pat,shtrat
471,Regal::N,rafturi,raft
472,Kiste::N,ladă,kuti
473,Kiste::N,cutie,kuti
474,Fenster::N,fereastră,dritare
475,Tür::N,ușă,derë
476,Tor::N,poartă,portë
477,Zaun::N,gard,gardh
478,Dach::N,acoperiș,çati
479,Leiter::N,scară,shkallë
480,Besen::N,mătură,fshesë
481,Spaten::N,cazma,lopatë
482,Spaten::N,hârleț,lopatë
483,Schaufel::N,lopată,qyrek
484,Gabel::N,furculiță,pirun
485,Löffel::N,lingură,lugë
486,Messer::N,cuțit,thikë
487,Nagel::N,cui,gozhdë
488,Netz::N,plasă,rrjetë
489,Haken::N,cârlig,grep
490,Haken::N,cârlig,grremç
491,Griff::N,mâner,dorak
492,Griff::N,mâner,dorezë
493,Schloss::N,lacăt,bravë
494,Bild::N,tablou,tablo
495,Bild::N,tablou,pikturë
496,Bild::N,imagine,tablo
497,Bild::N,imagine,pikturë
498,Figur::N,chip,figurë
499,Figur::N,figură,figurë
500,Puppe::N,păpușă,kukull
501,Beutel::N,pungă,qese
502,Beutel::N,pungă,trastë
503,Beutel::N,săculeț,qese
504,Beutel::N,săculeț,trastë
505,Bündel::N,mănunchi,deng
506,Tasche::N,geantă,çantë
507,Eimer::N,găleată,kovë
508,Deckel::N,capac,kapak
509,Deckel::N,capac,mbulesë
510,Geschirr::N,vase,enë
511,Geschirr::N,tacâmuri,enë
512,Sack::N,sac,thes
513,Sack::N,sac,torbë
514,Tasse::N,ceașcă,filxhan
515,Topf::N,oală,kusi
516,Topf::N,oală,tenxhere
517,Kessel::N,cazan,kazan
518,Kessel::N,căldare,kazan
519,Essen::N,mâncare,ngrënie
520,Nahrung::N,hrană,ushqim
521,Nahrung::N,aliment,ushqim
522,Speise::N,bucate,gatesë
523,Speise::N,fel de bucate,gatesë
524,Fleisch::N,carne,mish
525,Getreide::N,cereale,drithë
526,Brei::N,pireu,qull
527,Brot::N,pâine,bukë
528,Scheibe::N,felie,fetë
529,Scheibe::N,bucată,fetë
530,Fett::N,untură,lyrë
531,Fett::N,untură,yndyrë
532,Fett::N,grăsime,lyrë
533,Fett::N,grăsime,yndyrë
534,Butter::N,unt,gjalpë
535,Öl::N,ulei,vaj
536,Salz::N,sare,kripë
537,Suppe::N,supă,supë
538,Suppe::N,supă,çorbë
539,Suppe::N,ciorbă,supë
540,Suppe::N,ciorbă,çorbë
541,Honig::N,miere,mjaltë
542,Milch::N,lapte,qumësht
543,Tee::N,ceai,çaj
544,Leder::N,piele,lëkurë
545,Wolle::N,lână,lesh
546,Stoff::N,stofă,pëlhurë
547,Nadel::N,ac,gjilpërë
548,Faden::N,ață,pe
549,Faden::N,ață,fije
550,Knopf::N,buton,kopsë
551,Knoten::N,nod,komb
552,Farbe::N,vopsea,bojë
553,Kleidung::N,haine,veshje
554,Kleidung::N,îmbrăcăminte,veshje
555,Hemd::N,cămașă,këmishë
556,Kragen::N,guler,jakë
557,Ärmel::N,mânecă,mëngë
558,Hose::N,pantaloni,brekë
559,Gürtel::N,cordon,rrip
560,Mütze::N,șapcă,kësulë
561,Schuh::N,gheată,këpucë
562,Stiefel::N,cizmă,çizme
563,Ring::N,inel,unazë
564,Ring::N,verigă,unazë
565,Band::N,panglică,shirit
566,Band::N,șiret,shirit
567,Kamm::N,pieptene,krehër
568,Spiegel::N,oglindă,pasqyrë
569,Riemen::N,curea,rrip
570,Schnur::N,funie,litar
571,Schnur::N,funie,cikomë
572,Schnur::N,sfoară,litar
573,Schnur::N,sfoară,cikomë
574,Leine::N,lesă,rrip
575,Leine::N,curea,rrip
576,Decke::N,pătură,batanije
577,Kissen::N,pernă,jastëk
578,Tuch::N,batic,shami
579,Handtuch::N,prosop,peshqir
580,Handtuch::N,ștergar,peshqir
581,Kraft::N,forță,forcë
582,Kraft::N,putere,forcë
583,Stärke::N,tărie,koll
584,Stärke::N,vigoare,koll
585,Gesundheit::N,sănătate,shëndet
586,Krankheit::N,boală,sëmundje
587,Krankheit::N,maladie,sëmundje
588,Schmerz::N,durere,dhimbje
589,Wunde::N,rană,plagë
590,Fieber::N,febră,ethe
591,Arznei::N,leac,ilaç
592,Arznei::N,medicament,ilaç
593,Brücke::N,pod,urë
594,Brücke::N,punte,urë
595,Brunnen::N,puț,pus
596,Weide::N,izlaz,kullotë
597,Weide::N,pășune,kullotë
598,Pfad::N,cărare,ravë
599,Pfad::N,cărare,shteg
600,Weg::N,drum,udhë
601,Weg::N,drum,shteg
602,Straße::N,cale,rrugë
603,Straße::N,stradă,rrugë
604,Dorf::N,sat,fshat
605,Dorf::N,sat,katund
606,Stadt::N,oraș,qytet
607,Brief::N,scrisoare,letër
608,Buch::N,carte,libër
609,Buchstabe::N,literă,shkronjë
610,Buchstabe::N,caracter,shkronjë
611,Zeitung::N,ziar,gazetë
612,Zeitung::N,gazetă,gazetë
613,Leben::N,viață,jetë
614,Tod::N,moarte,mortje
615,Grab::N,groapă,varr
616,Grab::N,mormânt,varr
617,Kirche::N,biserică,kishë
618,Sünde::N,păcat,mëkat
619,Sünde::N,păcat,gjynah
620,Gott::N,zeu,hy
621,Gott::N,zeu,zot
622,Arbeiter::N,muncitor,punëtor
623,Chef::N,șef,shef
624,Chef::N,șef,drejtues
625,Meister::N,meșter,mjeshtër
626,Meister::N,maestru,mjeshtër
627,Arzt::N,medic,mjek
628,Arzt::N,medic,doktor
629,Arzt::N,doctor,mjek
630,Arzt::N,doctor,doktor
631,Lehrer::N,profesor,mësues
632,Lehrer::N,profesor,arsimtar
633,Lehrer::N,învățător,mësues
634,Lehrer::N,învățător,arsimtar
635,Geld::N,bani,para
636,Geld::N,bani,holla
637,Geld::N,parale,para
638,Geld::N,parale,holla
639,Geschäft::N,treabă,ujdi
640,Geschäft::N,treabă,biznes
641,Geschäft::N,afacere,ujdi
642,Geschäft::N,afacere,biznes
643,Laden::N,magazin,dyqan
644,Laden::N,prăvălie,dyqan
645,Preis::N,preț,çmim
646,Ware::N,marfă,mall
647,Nutzen::N,folos,dobi
648,Nutzen::N,folos,leverdi
649,Nutzen::N,profit,dobi
650,Nutzen::N,profit,leverdi
651,Reichtum::N,avuție,kamje
652,Reichtum::N,avuție,pasuri
653,Reichtum::N,bogăție,kamje
654,Reichtum::N,bogăție,pasuri
655,Welt::N,lume,botë
656,Land::N,țară,vend
657,Staat::N,stat,shtet
658,König::N,rege,mbret
659,Macht::N,putere,fuqi
660,Macht::N,putere,pushtet
661,Macht::N,putință,fuqi
662,Macht::N,putință,pushtet
663,Grenze::N,hotar,kufi
664,Grenze::N,graniță,kufi
665,Grenze::N,frontieră,kufi
666,Krieg::N,război,luftë
667,Feind::N,dușman,armik
668,Gewalt::N,violență,dhunë
669,Kampf::N,luptă,luftim
670,Bogen[Waffe]::N,arc,hark
671,Pfeil::N,săgeată,shigjetë
672,Gewehr::N,armă,pushkë
673,Gewehr::N,pușcă,pushkë
674,Fehler::N,eroare,gafë
675,Fehler::N,eroare,gabim
676,Fehler::N,greșeală,gafë
677,Fehler::N,greșeală,gabim
678,Lüge::N,minciună,gënjeshtër
679,Schaden::N,daună,dëm
680,Schaden::N,daună,zarar
681,Schaden::N,pagubă,dëm
682,Schaden::N,pagubă,zarar
683,Unglück::N,nenorocire,fatkeqësi
684,Schuld::N,vină,faj
685,Alter::N,etate,moshë
686,Alter::N,vârstă,moshë
687,Schluss::N,sfârșit,fund
688,Zeit::N,timp,kohë
689,Zeit::N,vreme,kohë
690,Tag::N,zi,ditë
691,Morgen::N,dimineață,mëngjes
692,Mittag::N,prânz,mesditë
693,Mittag::N,amiază,mesditë
694,Abend::N,seară,mbrëmje
695,Nacht::N,noapte,natë
696,Woche::N,săptămână,javë
697,Monat::N,lună,muaj
698,Jahr::N,an,vit
699,Frühling::N,primăvară,pranverë
700,Sommer::N,vară,verë
701,Herbst::N,toamnă,vjeshtë
702,Winter::N,iarnă,dimër
703,Januar::N,ianuarie,janar
704,Februar::N,februarie,shkurt
705,März::N,martie,mars
706,April::N,aprilie,prill
707,Mai::N,mai,maj
708,Juni::N,iunie,qershor
709,Juli::N,iulie,korrik
710,August::N,august,gusht
711,September::N,septembrie,shtator
712,Oktober::N,octombrie,tetor
713,November::N,noiembrie,nëntor
714,Dezember::N,decembrie,dhjetor
715,Montag::N,luni,hënë
716,Dienstag::N,marți,martë
717,Mittwoch::N,miercuri,mërkurë
718,Donnerstag::N,joi,enjte
719,Freitag::N,vineri,premte
720,Samstag::N,sâmbătă,shtunë
721,Sonntag::N,duminică,diel
722,groß::A,mare,madh
723,klein::A,mic,vogël
724,lang::A,lung,gjatë
725,kurz::A,scurt,shkurtër
726,breit::A,lat,gjerë
727,breit::A,larg,gjerë
728,schmal::A,strâmt,ngushtë
729,dicht::A,des,dendur
730,dick[Gegenstand]::A,gros,trashë
731,dünn::A,subțire,hollë
732,fein::A,fin,imët
733,fein::A,subțire,imët
734,fest::A,tare,fortë
735,fest::A,solid,fortë
736,flach::A,șes,sheshtë
737,flach::A,plan,sheshtë
738,glatt::A,lins,rrafshët
739,hart::A,dur,fortë
740,weich::A,moale,butë
741,rund::A,rotund,rrumbullakët
742,rund::A,circular,rrumbullakët
743,spitz::A,ascuțit,majëmprehtë
744,scharf::A,tăios,mprehtë
745,scharf::A,ascuțit,mprehtë
746,stumpf::A,tocit,topitur
747,schwer::A,greu,rëndë
748,schön::A,frumos,bukur
749,heiß::A,cald,nxehtë
750,heiß::A,fierbinte,nxehtë
751,warm::A,cald,ngrohtë
752,warm::A,fierbinte,ngrohtë
753,kalt::A,rece,ftohtë
754,kühl::A,rece,freskët
755,kühl::A,răcoros,freskët
756,frisch::A,răcoros,pastër
757,frisch::A,proaspăt,pastër
758,feucht::A,umed,lagësht
759,feucht::A,jilav,lagësht
760,nass::A,ud,lagur
761,trocken::A,sec,thatë
762,trocken::A,uscat,thatë
763,voll::A,plin,plotë
764,leer::A,gol,bosh
765,leer::A,gol,zbrazët
766,offen::A,deschis,hapur
767,geschlossen::A,închis,mbyllur
768,sauber::A,curat,dëlirë
769,schmutzig::A,murdar,ndyrë
770,roh::A,crud,gjallë
771,reif::A,copt,arrirë
772,lecker::A,gustos,shijshëm
773,süß::A,dulce,ëmbël
774,bitter::A,amar,hidhur
775,sauer::A,acru,thartë
776,hell::A,clar,me dritë
777,hell::A,luminos,me dritë
778,dunkel::A,obscur,errët
779,dunkel::A,întunecos,errët
780,schwarz::A,negru,i zi
781,weiß::A,alb,bardhë
782,rot::A,roșu,kuq
783,gelb::A,galben,verdhë
784,blau::A,albastru,blu
785,blau::A,albastru,kaltër
786,grün::A,verde,blertë
787,grün::A,verde,gjelbër
788,grau::A,gri,hirtë
789,grau::A,gri,bojë hiri
790,grau::A,cenușiu,hirtë
791,grau::A,cenușiu,bojë hiri
792,bunt::A,colorat,shumëngjyrëshëm
793,billig::A,ieftin,lirë
794,teuer::A,scump,shtrenjtë
795,wertvoll::A,prețios,çmuar
796,wertvoll::A,prețios,vlershëm
797,blind::A,orb,qorr
798,blind::A,orb,verbër
799,taub::A,surd,shurdhër
800,kräftig::A,tare,fuqishëm
801,kräftig::A,forte,fuqishëm
802,kräftig::A,robust,fuqishëm
803,stark::A,viguros,fortë
804,stark::A,puternic,fortë
805,schwach::A,slab,dobët
806,schwach::A,debil,dobët
807,fett::A,gras,dhjamur
808,schlank::A,zvelt,hollë
809,hübsch::A,drăguț,bukur
810,hübsch::A,drăguț,hijshëm
811,böse::A,rău,keq
812,böse::A,răutăcios,keq
813,dumm::A,nerod,teveqel
814,dumm::A,tâmpit,teveqel
815,faul::A,leneș,dembel
816,fleißig::A,harnic,zellshëm
817,fleißig::A,sârguincios,zellshëm
818,geizig::A,calic,kurnac
819,geizig::A,calic,dorështrënguar
820,geizig::A,zgârcit,kurnac
821,geizig::A,zgârcit,dorështrënguar
