,Concept_ID,lez,ca
290,Ruhe::N,фаракъат,calma
291,Ruhe::N,фаракъат,silenci
292,Ruhe::N,асайиш,calma
293,Ruhe::N,асайиш,silenci
294,Leute::N,инсанар,gent
295,Volk::N,халкь,poble
296,Arbeit::N,кӏвалах,labor
297,Arbeit::N,кӏвалах,treball
298,Gast::N,мугьман,hoste
299,Geschenk::N,савкьат,regal
300,Geschenk::N,савкьат,obsequi
301,Spiel::N,къугъун,joc
302,Gesellschaft::N,жемят,companyia
303,Gesellschaft::N,общество,companyia
304,Hilfe::N,куьмек,ajut
305,Freund::N,дуст,amīc
306,Kamerad::N,яр-дуст,company
307,Kamerad::N,яр-дуст,camarada
308,Angelegenheit::N,кар,afer
309,Angelegenheit::N,кар,assumpte
310,Anzahl::N,сан,nombre
311,Anzahl::N,сан,quantitat
312,Anzahl::N,кьадар,nombre
313,Anzahl::N,кьадар,quantitat
314,Art::N,жуьре,tipus
315,Art::N,жуьре,classe
316,Stück::N,кӏус,peça
317,Teil::N,пай,part
318,Hälfte::N,зур,meitat
319,Hälfte::N,зур пай,meitat
320,Kreis::N,круг,cercle
321,Kreis::N,чкаяр,cercle
322,Kreis::N,элкъвей цӏар,cercle
323,Kreuz::N,хаш,creu
324,Linie::N,цӏар,línia
325,Strich::N,цӏар,traç
326,Strich::N,цӏар,ratlla
327,Abstand::N,ара,distància
328,Entfernung::N,мензил,distància
329,Gegend::N,чка,regió
330,Gegend::N,чка,contrada
331,Platz::N,ара,cabuda
332,Ort::N,чка,lloc
333,Seite::N,пад,banda
334,Seite::N,пад,costāt
335,Mitte::N,юкь,mig
336,Mitte::N,юкь,centre
337,Gegenstand::N,затӏ,objecte
338,Sache::N,шей,cosa
339,Sache::N,затӏ,cosa
340,Rand::N,къерех,vora
341,Rand::N,къерех,marge
342,Kante::N,син,caire
343,Kante::N,син,cantell
344,Ecke::N,пӏипӏ,cantonada
345,Spitze::N,кӏвенкӏв,punta
346,Ende::N,кьил,cap
347,Loch::N,тӏеквен,forāt
348,Winkel::N,пӏипӏ,racó
349,Muster::N,гишир,dibuix
350,Muster::N,гишир,disseny
351,Größe::N,кьадар,grandària
352,Länge::N,яргъивал,longitud
353,Höhe::N,кьакьанвал,altura
354,Höhe::N,кьакьанвал,altitud
355,Gewicht::N,заланвал,pes
356,Menge::N,кьадар,quantitat
357,Haufen::N,хара,pila
358,Reihe::N,жерге,fila
359,Boot::N,луьткве,bot
360,Boot::N,луьткве,barca
361,Ruder::N,кьусу,rem
362,Schlitten::N,гъелерар,trineu
363,Lagerfeuer::N,цӏай,foc de campament
364,Last::N,заланвал,càrrega
365,Gang::N,ериш,marxa
366,Schritt::N,къадам,pas
367,Norden::N,кефер,nord
368,Norden::N,кефер пад,nord
369,Süden::N,кьибле,sud
370,Westen::N,рагъакӏидай пад,oest
371,Westen::N,рагъакӏидай пад,occident
372,Osten::N,рагъэкъечӏдай пад,est
373,Osten::N,рагъэкъечӏдай пад,orient
374,Holz::N,кӏарас,fusta
375,Brett::N,кьул,taula
376,Brett::N,тахта,taula
377,Stütze::N,даях,suport
378,Stange::N,юрк,vara
379,Stock::N,лаш,pal
380,Stab::N,юрк,bastó
381,Rohr::N,турба,tub
382,Haus::N,ужагъ,casa
383,Heim::N,кӏвал,llar
384,Ofen::N,пич,estufa
385,Fußboden::N,кӏвалин ччил,terra
386,Tisch::N,стол,taula
387,Stuhl::N,стул,cadira
388,Wiege::N,кьеб,bressol
389,Bett::N,тахт,llit
390,Regal::N,кьацӏ,prestatgeria
391,Kiste::N,ящик,caixa
392,Fenster::N,дакӏар,finestra
393,Tür::N,рак,porta
394,Tor::N,варар,portal
395,Zaun::N,пару,tanca
396,Dach::N,къав,teulada
397,Leiter::N,гурар,escala
398,Leiter::N,гурар,escala de mà
399,Besen::N,таран кул,escombra
400,Spaten::N,ппер,pala
401,Schaufel::N,хекендаз,pala
402,Gabel::N,шиш,forquilla
403,Löffel::N,тӏур,cullera
404,Messer::N,чукӏул,coltell
405,Nagel::N,мих,clau
406,Netz::N,чил,filat
407,Haken::N,къармах,ganxo
408,Griff::N,ттум,puny
409,Griff::N,ттум,mànec
410,Schloss::N,куьлег,pany
411,Bild::N,шикил,imatge
412,Bild::N,суьрет,imatge
413,Figur::N,фигура,figura
414,Puppe::N,нини,nina
415,Beutel::N,тагъар,bossa
416,Bündel::N,галгам,feix
417,Bündel::N,галгам,paquet
418,Tasche::N,чанта,bossa
419,Eimer::N,ведре,galleda
420,Deckel::N,кьил,tapa
421,Deckel::N,кьил,tapadora
422,Deckel::N,къалпагъ,tapa
423,Deckel::N,къалпагъ,tapadora
424,Geschirr::N,къаб-къажах,vaixella
425,Sack::N,чувал,sac
426,Sack::N,чувал,saca
427,Tasse::N,сукӏра,tassa
428,Topf::N,къажгъан,pot
