,Concept_ID,ml,sk
103,Wald::N,വനം,hora
104,Wald::N,കാട്,les
105,Wald::N,കാട്,hora
106,Hügel::N,കുന്ന്,vŕšok
107,Anhöhe::N,ഉയർന്ന ഭൂമി,výšina
108,Anhöhe::N,ഉയർന്ന ഭൂമി,vyvýšenina
109,Berg::N,പർവ്വതം,hora
110,Gipfel::N,ഉച്ചകോടി,vrchol
111,Höhle::N,ഗുഹ,jaskyňa
112,Abhang::N,ചരിവ്,úbočie
113,Quelle::N,ഉറവിടം,prameň
114,Bach::N,അരുവി,potok
115,Fluss::N,നദി,rieka
116,Ufer::N,തീരം,breh
117,Küste::N,കടൽത്തീരം,pobrežie
118,Festland::N,കര,pevnina
119,Meer::N,കടൽ,more
120,Bucht::N,ഉൾക്കടല്,záliv
121,Bucht::N,ഉൾക്കടല്,zátoka
122,Insel::N,ദ്വീപ്,ostrov
123,Blume::N,പൂവ്,kvet
124,Blume::N,പൂവ്,kvetina
125,Gras::N,പുല്ല്,tráva
126,Wurzel::N,വേര്,koreň
127,Baum::N,മരം,strom
128,Stamm::N,തായ്ത്തടി,kmeň
129,Rinde::N,പട്ട,kôra
130,Ast::N,ശാഖ,konár
131,Zweig::N,ശാഖ,vetva
132,Blatt::N,ഇല,list
133,Birke::N,പൂവരശ്,breza
134,Kiefer[Baum]::N,പൈൻമരം,sosna
135,Kiefer[Baum]::N,പൈൻമരം,borovica
136,Weide[Baum]::N,വില്ലോ,vŕba
137,Tanne::N,ദേവദാരു,jedľa
138,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,roh
139,Feder::N,തൂവൽ,pero
140,Fell::N,മൃദുരോമം,koža
141,Fell::N,മൃദുരോമം,kožušina
142,Flügel::N,ചിറക്,krídlo
143,Klaue::N,നഖം,paznecht
144,Kralle::N,നഖം,pazúr
145,Schwanz::N,വാൽ,chvost
146,Ei::N,മുട്ട,vajce
147,Ei::N,മുട്ട,vajíčko
148,Nest::N,കൂട്,hniezdo
149,Bau::N,മാളം,nora
150,Tier::N,മൃഗം,zviera
151,Herde::N,കൂട്ടം,stádo
152,Kuh::N,പശു,krava
153,Bulle::N,കാള,býk
154,Pferd::N,കുതിര,kôň
155,Schaf::N,ആട്,ovca
156,Schwein::N,പന്നി,sviňa
157,Hund::N,നായ്,pes
158,Katze::N,പൂച്ച,mačka
159,Bär::N,കരടി,medveď
160,Eichhörnchen::N,അണ്ണാൻ,veverička
161,Elch::N,കടമാന്,los
162,Fuchs::N,കുറുക്കൻ,líška
163,Hase::N,മുയൽ,zajac
164,Maus::N,ചുണ്ടലി,myš
165,Wolf::N,ചെന്നായ,vlk
166,Vogel::N,പക്ഷി,vták
167,Schwarm::N,കൂട്ടം,roj
168,Huhn::N,കോഴി,kurča
169,Huhn::N,കോഴി,sliepka
170,Hahn::N,പൂവൻകോഴി,kohút
171,Gans::N,അരയന്നം,hus
172,Adler::N,കഴുകൻ,orol
173,Ente::N,താറാവ്,kačka
174,Ente::N,താറാവ്,kačica
175,Eule::N,മൂങ്ങ,sova
176,Kranich::N,കൊക്ക്,žeriav
177,Krähe::N,കാക്ക,vrana
178,Kuckuck::N,കുയിൽ,kukučka
179,Schwan::N,അരയന്നം,labuť
180,Fisch::N,മത്സ്യം,ryba
181,Barsch::N,ഒരിനം മത്സ്യം,ostriež
182,Hecht::N,ഒരു മത്സ്യം,šťuka
183,Schlange[Tier]::N,പാമ്പ്,had
184,Wurm::N,വിര,červ
185,Spinne::N,ചിലന്തി,pavúk
186,Ameise::N,ഉറുമ്പ്,mravec
187,Laus::N,പേന്,voš
188,Mücke::N,മശകം,komár
189,Fliege::N,ഈച്ച,mucha
190,Schmetterling::N,ചിത്രശലഭം,motýľ
191,Beere::N,ബെറി,bobuľa
192,Apfel::N,ആപ്പിൾ,jablko
193,Pilz::N,കൂൺ,hríb
194,Zwiebel::N,സവാള,cibuľa
195,Saat::N,വിത്ത്,osivo
196,Korn::N,ധാന്യം,zrno
197,Heu::N,വയ്ക്കോൽ,seno
198,Schale::N,തൊലി,šupa
199,Schale::N,തൊലി,škrupina
200,Grube::N,കുഴി,jama
201,Falle::N,കെണി,pasca
202,Falle::N,കെണി,klepec
203,Schlinge::N,കുടുക്ക്,slučka
204,Spur::N,ചുവട്,stopa
205,Asche::N,ചാരം,popol
206,Dreck::N,അഴുക്ക്,kal
207,Dreck::N,അഴുക്ക്,blato
208,Eisen::N,ഇരുമ്പ്,železo
209,Gold::N,സ്വർണ്ണം,zlato
210,Silber::N,വെള്ളി,striebro
211,Kohle::N,കൽക്കരി,uhlie
212,Glas::N,ഗ്ലാസ്,sklo
213,Lehm::N,കളിമണ്ണ്,íl
214,Lehm::N,കളിമണ്ണ്,hlina
215,Sand::N,മണൽ,piesok
216,Mensch::N,മനുഷ്യർ,človek
217,Mann::N,പുരുഷൻ,muž
218,Mann::N,പുരുഷൻ,chlap
219,Frau::N,സ്ത്രീ,žena
220,Kind::N,കുഞ്ഞ്,dieťa
221,Junge::N,ആൺകുട്ടി,chlapec
222,Mädchen::N,പെൺകുട്ടി,dievka
223,Familie::N,കുടുംബം,rodina
224,Großvater::N,അപ്പൂപ്പൻ,dedo
225,Großvater::N,അപ്പൂപ്പൻ,starý otec
226,Großmutter::N,അമ്മുമ്മ,babička
227,Großmutter::N,അമ്മുമ്മ,stará mať
228,Eltern::N,മാതാപിതാക്കള്,rodičia
229,Vater::N,അച്ഛൻ,otec
230,Mutter::N,അമ്മ,mať
231,Mutter::N,അമ്മ,matka
232,Sohn::N,മകൻ,syn
233,Tochter::N,മകൾ,dcéra
234,Bruder::N,ചേട്ടൻ,brat
235,Bruder::N,അനിയൻ,brat
236,Schwester::N,ചേച്ചി,sestra
237,Schwester::N,അനിയത്തി,sestra
238,Onkel::N,അമ്മാവൻ,ujo
239,Onkel::N,അമ്മാവൻ,strýko
240,Tante::N,മാമി,teta
241,Tante::N,മാമി,tetka
242,Ehemann::N,ഭർത്താവ്,muž
243,Ehemann::N,ഭർത്താവ്,manžel
244,Ehefrau::N,ഭാര്യ,žena
245,Ehefrau::N,ഭാര്യ,manželka
246,Freude::N,ആഹ്ലാദം,radosť
247,Gelächter::N,ചിരിയുടെ ശബ്ദം,smiech
248,Glück::N,സന്തോഷം,šťastie
249,Glück::N,സന്തുഷ്ടി,šťastie
250,Kummer::N,ശോകം,žiaľ
251,Kummer::N,ശോകം,zármutok
252,Wunsch::N,ആഗ്രഹം,prianie
253,Lust::N,ആഗ്രഹം,chuť
254,Geist::N,ചുറുചുറുക്ക്,duch
255,Gedanke::N,ചിന്ത,myšlienka
256,Gedächtnis::N,ഓർമ്മശക്തി,pamäť
257,Verstand::N,മനസ്സ്,rozum
258,Sinn::N,അർത്ഥം,zmysel
259,Grund::N,കാരണം,dôvod
260,Grund::N,കാരണം,príčina
261,Wahrheit::N,സത്യം,pravda
262,Gespräch::N,സല്ലാപം,reč
263,Gespräch::N,സല്ലാപം,rozhovor
264,Märchen::N,യക്ഷിക്കഥ,rozprávka
265,Erzählung::N,കഥ,poviedka
266,Nachricht::N,സന്ദേശം,správa
267,Neuigkeit::N,വാർത്ത,novinka
268,Name::N,പേര്,meno
269,Rätsel::N,പ്രഹേളിക,záhada
270,Rätsel::N,പ്രഹേളിക,hádanka
271,Rede::N,സംസാരം,reč
272,Sprache::N,ഭാഷ,reč
273,Sprache::N,ഭാഷ,jazyk
274,Stimme::N,സ്വരം,hlas
275,Wort::N,വാക്ക്,slovo
276,Zeichen::N,സംജ്ഞ,znak
277,Ruf::N,വിളി,volanie
278,Ruf::N,വിളി,zavolanie
279,Lärm::N,ആരവം,hluk
280,Lärm::N,ആരവം,hurhaj
281,Laut::N,ശബ്ദം,zvuk
282,Ton::N,സ്വരഭേദം,tón
283,Ton::N,സ്വരഭേദം,zvuk
284,Lied::N,പാട്ട്,pieseň
285,Ruhe::N,നിശ്ചലത,pokoj
286,Leute::N,ജനങ്ങൾ,ľudia
287,Volk::N,രാഷ്ടം,ľud
288,Volk::N,രാഷ്ടം,národ
289,Arbeit::N,ജോലി,práca
290,Arbeit::N,ജോലി,robota
291,Gast::N,അതിലി,hosť
292,Geschenk::N,സമ്മാനം,dar
293,Spiel::N,കളി,hra
294,Gesellschaft::N,കൂട്ടായ്മ,spoločnosť
295,Hilfe::N,സഹായം,pomoc
296,Freund::N,സുഹൃത്ത്,priateľ
297,Kamerad::N,കൂട്ടാളി,kamarát
298,Angelegenheit::N,കാര്യം,vec
299,Angelegenheit::N,കാര്യം,záležitosť
300,Anzahl::N,എണ്ണം,počet
301,Anzahl::N,എണ്ണം,množstvo
302,Art::N,തരം,druh
303,Stück::N,കഷണം,kus
304,Stück::N,കഷണം,kúsok
305,Teil::N,ഭാഗം,časť
306,Hälfte::N,പകുതി,polka
307,Hälfte::N,പകുതി,polovica
308,Kreis::N,വൃത്തം,kruh
309,Kreuz::N,കുരിശടയാളം,kríž
310,Linie::N,വര,línia
311,Linie::N,രേഖ,línia
312,Strich::N,പക്ഷാഘാതം,čiara
313,Abstand::N,വിടവ്,vzdialenosť
314,Entfernung::N,അകലം,vzdialenosť
315,Gegend::N,പ്രദേശം,kraj
316,Gegend::N,പ്രദേശം,krajina
317,Platz::N,ഇടം,miesto
318,Ort::N,സ്ഥലം,miesto
319,Seite::N,വശം,bok
320,Seite::N,വശം,strana
321,Mitte::N,മധ്യസ്ഥാനം,stred
322,Gegenstand::N,സാധനം,predmet
323,Sache::N,വസ്തു,vec
324,Rand::N,തൊങ്ങൽ,kraj
325,Rand::N,തൊങ്ങൽ,okraj
326,Kante::N,അറ്റം,hrana
327,Ecke::N,മൂല,roh
328,Spitze::N,അഗ്രം,hrot
329,Spitze::N,അഗ്രം,špička
330,Ende::N,അവസാനം,koniec
331,Loch::N,ദ്വാരം,diera
332,Winkel::N,കോൺ,kút
333,Muster::N,ക്രമം,vzor
334,Muster::N,ക്രമം,vzorka
335,Größe::N,വലുപ്പം,veľkosť
336,Länge::N,നീളം,dĺžka
337,Höhe::N,ഉയരം,výška
338,Gewicht::N,കട്ടി,váha
339,Menge::N,അളവ്,množstvo
340,Haufen::N,കൂമ്പാരം,hŕba
341,Reihe::N,വരി,rad
342,Boot::N,ബോട്ട്,čln
343,Ruder::N,പങ്കായം,veslo
344,Schlitten::N,ഉരുളില്ലാവണ്ടി,sane
345,Ski::N,ഹിമപാദുകം,lyža
346,Lagerfeuer::N,തീ,táborák
347,Last::N,ഭാരം,ťarcha
348,Last::N,ഭാരം,bremeno
349,Gang::N,നടത്തം,chôdza
350,Schritt::N,ചുവട്,krok
351,Norden::N,വടക്ക്,sever
352,Süden::N,തെക്ക്,juh
353,Westen::N,പടിഞ്ഞാറ്,západ
354,Osten::N,കിഴക്ക്,východ
355,Holz::N,തടി,drevo
356,Brett::N,ബോർഡ്,doska
357,Platte::N,തകിട്,doska
358,Platte::N,തകിട്,platňa
359,Stütze::N,താങ്ങ്,opora
360,Stange::N,കമ്പ്,tyč
361,Stock::N,വടി,palica
362,Stab::N,കുറുവടി,palica
363,Rohr::N,കുഴൽ,rúra
364,Haus::N,വീട്,dom
365,Heim::N,വീട്,domov
366,Ofen::N,സ്റ്റൌ,pec
367,Ofen::N,സ്റ്റൌ,kachle
368,Fußboden::N,തറ,dlážka
369,Fußboden::N,തറ,podlaha
370,Tisch::N,മേശ,stôl
371,Stuhl::N,കസേര,stolička
372,Wiege::N,തൊട്ടിൽ,kolíska
373,Bett::N,കിടക്ക,lôžko
374,Bett::N,കിടക്ക,posteľ
375,Regal::N,ഷെൽഫ്,regál
376,Regal::N,ഷെൽഫ്,polica
377,Kiste::N,പെട്ടി,debna
378,Fenster::N,ജനൽ,okno
379,Fenster::N,ജനൽ,oblok
380,Tür::N,വാതിൽ,dvere
381,Tor::N,കവാടം,vráta
382,Zaun::N,വേലി,plot
383,Zaun::N,വേലി,ohrada
384,Dach::N,മേൽക്കുര,krov
385,Dach::N,മേൽക്കുര,strecha
386,Leiter::N,ഏണി,rebrík
387,Leiter::N,ഏണി,rebrina
388,Besen::N,ചൂല്,metla
389,Spaten::N,തൂമ്പ,rýľ
390,Schaufel::N,തൂമ്പ,lopata
391,Gabel::N,മുൾക്കത്തി,vidlička
392,Löffel::N,സ്പൂൺ,lyžica
393,Messer::N,കത്തി,nôž
394,Nagel::N,ആണി,klinec
395,Netz::N,വല,sieť
396,Haken::N,കൊളുത്ത്,hák
397,Haken::N,കൊളുത്ത്,háčik
398,Griff::N,കൈപ്പിടി,rukoväť
399,Schloss::N,പൂട്ട്,zámka
400,Bild::N,ചിത്രം,obraz
401,Figur::N,കണക്ക്,figúra
402,Puppe::N,പാവ,bábka
403,Puppe::N,പാവ,bábika
404,Beutel::N,ബാഗ്,vrece
405,Beutel::N,ബാഗ്,vrecko
406,Bündel::N,കെട്ട്,uzlík
407,Bündel::N,കെട്ട്,zväzok
408,Tasche::N,ബാഗ്,taška
409,Tasche::N,ബാഗ്,kabelka
410,Eimer::N,ബക്കറ്റ്,vedro
411,Deckel::N,ഉറ,vrchnák
412,Deckel::N,ഉറ,pokrývka
413,Geschirr::N,പിഞ്ഞാണം,nádoba
414,Sack::N,ചാക്ക്,mech
415,Sack::N,ചാക്ക്,vrece
416,Tasse::N,കപ്പ്,šálka
417,Topf::N,പാത്രം,hrniec
418,Kessel::N,കെറ്റ്ല്,kotol
419,Essen::N,ആഹാരസമയം,jedlo
420,Nahrung::N,ഭക്ഷണം,strava
421,Nahrung::N,ഭക്ഷണം,potrava
422,Speise::N,ഡിഷ്,jedlo
423,Fleisch::N,മാംസം,mäso
424,Getreide::N,ചോളം,obilie
425,Brei::N,കഞ്ഞി,kaša
426,Brot::N,റോട്ടി,chlieb
427,Scheibe::N,തുണ്ട്,kotúč
428,Scheibe::N,തുണ്ട്,krajec
429,Fett::N,കൊഴുപ്പ്,tuk
430,Fett::N,കൊഴുപ്പ്,masť
431,Butter::N,വെണ്ണ,maslo
432,Öl::N,എണ്ണ,olej
433,Salz::N,ഉപ്പ്,soľ
434,Suppe::N,സൂപ്പ്,polievka
435,Honig::N,തേൻ,med
436,Milch::N,പാൽ,mlieko
437,Tee::N,ചായ,čaj
438,Leder::N,തുകൽ,koža
439,Wolle::N,കമ്പിളി,vlna
440,Stoff::N,തുണി,súkno
441,Nadel::N,സൂചി,ihla
442,Faden::N,നൂല്,niť
443,Faden::N,നൂല്,vlákno
444,Knopf::N,ബട്ടൺ,gombík
445,Knoten::N,കുരുക്ക്,uzol
446,Farbe::N,പെയിൻറ്,farba
447,Kleidung::N,വസ്ത്രങ്ങൾ,šaty
448,Kleidung::N,വസ്ത്രങ്ങൾ,šatstvo
449,Hemd::N,ഷർട്ട്,košeľa
450,Kragen::N,കുപ്പായക്കഴുത്ത്,golier
451,Ärmel::N,കുപ്പായക്കൈ,rukáv
452,Hose::N,ട്രൌസർ,nohavice
453,Gürtel::N,ബെൽറ്റ്,pás
454,Gürtel::N,ബെൽറ്റ്,opasok
455,Mütze::N,തൊപ്പി,čiapka
456,Schuh::N,ഷൂ,obuv
457,Schuh::N,ഷൂ,topánka
458,Stiefel::N,ബൂട്ട്,čižma
459,Ring::N,മോതിരം,prsteň
460,Band::N,റിബൺ,stuha
461,Kamm::N,ചീപ്പ്,hrebeň
462,Spiegel::N,കണ്ണാടി,zrkadlo
463,Riemen::N,സ്ട്രാപ്പ്,remeň
464,Schnur::N,ചരട്,šnúra
465,Leine::N,കെട്ടാനുള്ള തോൽവാർ,vodidlo
466,Decke::N,പുതപ്പ്,deka
467,Decke::N,പുതപ്പ്,prikrývka
468,Kissen::N,തലയിണ,poduška
469,Tuch::N,സ്കാർഫ്,šatka
470,Handtuch::N,തോർത്ത്,uterák
471,Kraft::N,ശക്തി,moc
472,Stärke::N,ശക്തി,sila
473,Gesundheit::N,ആരോഗ്യം,zdravie
474,Krankheit::N,അസുഖം,nemoc
475,Krankheit::N,അസുഖം,choroba
476,Schmerz::N,വേദന,bolesť
477,Wunde::N,മുറിവ്,rana
478,Fieber::N,പനി,horúčka
479,Arznei::N,മരുന്ന്,liek
480,Brücke::N,പാലം,most
481,Brunnen::N,കിണർ,studňa
482,Weide::N,മേച്ചൽ,pastva
483,Pfad::N,വഴി,chodník
484,Weg::N,വഴി,cesta
485,Straße::N,റോഡ്,hradská
486,Dorf::N,ഗ്രാമം,dedina
487,Stadt::N,നഗരം,mesto
488,Brief::N,കത്ത്,list
489,Buch::N,പുസ്തകം,kniha
490,Buchstabe::N,അക്ഷരം,litera
491,Buchstabe::N,അക്ഷരം,písmeno
492,Zeitung::N,വർത്തമാനപത്രം,noviny
493,Leben::N,ജീവൻ,život
494,Tod::N,മരണം,smrť
495,Grab::N,ശവക്കുഴി,hrob
496,Kirche::N,പള്ളി,kostol
497,Sünde::N,പാപം,hriech
498,Gott::N,ദൈവം,boh
499,Arbeiter::N,ജോലിക്കാരൻ,robotník
500,Arbeiter::N,ജോലിക്കാരൻ,pracnovík
501,Chef::N,മേധാവി,šéf
502,Chef::N,മേധാവി,riaditeľ
503,Meister::N,യജമാനൻ,majster
504,Arzt::N,ഡോക്ടർ,lekár
505,Lehrer::N,അധ്യാപകൻ,učiteľ
506,Geld::N,പണം,peniaze
507,Geschäft::N,ബിസിനസ്,obchod
508,Laden::N,കട,obchod
509,Preis::N,വില,cena
510,Ware::N,ചരക്ക്,tovar
511,Nutzen::N,ലാഭം,osoh
512,Nutzen::N,ലാഭം,úžitok
513,Reichtum::N,ധനം,bohatstvo
514,Welt::N,ലോകം,svet
515,Land::N,രാജ്യം,územie
516,Land::N,രാജ്യം,krajina
517,Staat::N,രാജ്യം,štát
518,König::N,രാജാവ്,kráľ
519,Macht::N,അധികാരം,moc
520,Macht::N,അധികാരം,mocnosť
521,Grenze::N,അതിർത്തി,hranica
522,Krieg::N,യുദ്ധം,vojna
523,Feind::N,ശത്രു,nepriateľ
524,Gewalt::N,അക്രമം,násilie
525,Kampf::N,പോരാട്ടം,boj
526,Bogen[Waffe]::N,വില്ല്,luk
527,Pfeil::N,അമ്പ്,šíp
528,Pfeil::N,അമ്പ്,strela
529,Gewehr::N,തോക്ക്,puška
530,Fehler::N,പിശക്,omyl
531,Fehler::N,പിശക്,chyba
532,Lüge::N,കള്ളം,lož
533,Schaden::N,കേടുപാട്,ujma
534,Schaden::N,കേടുപാട്,škoda
535,Unglück::N,ദൌർഭാഗ്യം,nešťastie
536,Schuld::N,തെറ്റ്,vina
537,Schuld::N,തെറ്റ്,previnenie
538,Alter::N,വയസ്സ്,vek
539,Schluss::N,നിഗമനം,záver
540,Schluss::N,നിഗമനം,koniec
541,Zeit::N,സമയം,čas
542,Tag::N,ദിവസം,deň
543,Morgen::N,പ്രഭാതം,ráno
544,Mittag::N,ഉച്ച,poludnie
545,Abend::N,സായാഹ്നം,večer
546,Nacht::N,രാത്രി,noc
547,Woche::N,ആഴ്ച,týždeň
548,Monat::N,മാസം,mesiac
549,Jahr::N,വർഷം,rok
550,Frühling::N,വസന്തം,jar
551,Sommer::N,വേനൽ,leto
552,Herbst::N,ശരത്കാലം,jeseň
553,Winter::N,ശൈത്യം,zima
554,Januar::N,ജനുവരി,január
555,Februar::N,ഫെബ്രുവരി,február
556,März::N,മാർച്ച്,marec
557,April::N,ഏപ്രിൾ മാസം,apríl
558,Mai::N,മെയ് മാസം,máj
559,Juni::N,ജൂൺ,jún
560,Juli::N,ജൂലൈ,júl
561,August::N,ആഗസ്റ്റ്,august
562,September::N,സെപ്തംബർ,september
563,Oktober::N,ഒക്ടോബർ,október
564,November::N,നവംബർ,november
565,Dezember::N,ഡിസംബർ,december
566,Montag::N,തിങ്കളാഴ്ച,pondelok
567,Dienstag::N,ചൊവ്വ,utorok
568,Mittwoch::N,ബുധനാഴ്ച,streda
569,Donnerstag::N,വ്യാഴാഴ്ച,štvrtok
570,Freitag::N,വെള്ളിയാഴ്ച,piatok
571,Samstag::N,ശനിയാഴ്ച,sobota
572,Sonntag::N,ഞായറാഴ്ച,nedeľa
573,groß::A,വലിയ,veľký
574,klein::A,ചെറിയ,malý
575,lang::A,നീണ്ട,dlhý
576,kurz::A,ഹ്രസ്വമായ,krátky
577,breit::A,വിശാലമായ,široký
578,schmal::A,ഇടുങ്ങിയ,úzky
579,dicht::A,നിബിഡമായ,hustý
580,dick[Gegenstand]::A,തടിച്ച,tlstý
581,dünn::A,മെലിഞ്ഞ,tenký
582,fein::A,നേർത്ത,jemný
583,fest::A,ഉറപ്പുള്ള,pevný
584,flach::A,പരന്ന,rovný
585,flach::A,പരന്ന,plochý
586,glatt::A,മിനുസമുള്ള,hladký
587,hart::A,കട്ടിയുള്ള,tvrdý
588,weich::A,മൃദുവായ,mäkký
589,rund::A,വട്ടത്തിലുള്ള,guľatý
590,rund::A,വട്ടത്തിലുള്ള,okrúhly
591,spitz::A,മുനയുള്ള,končitý
592,scharf::A,മൂർച്ചയുള്ള,ostrý
593,stumpf::A,തുറന്നടിക്കുന്ന,tupý
594,schwer::A,ഭാരമുള്ള,ťažký
595,schön::A,മനോഹരമായ,pekný
596,schön::A,മനോഹരമായ,krásny
597,heiß::A,ചൂടുള്ള,horúci
598,warm::A,ചൂടുള്ള,teplý
599,kalt::A,തണുത്ത,studený
600,kühl::A,തണുപ്പുള്ള,chladný
601,frisch::A,ശുദ്ധമായ,svieži
602,feucht::A,ഈറനുള്ള,vlhký
603,feucht::A,ഈറനുള്ള,zvlhnutý
604,nass::A,നനഞ്ഞ,mokrý
605,trocken::A,വരണ്ട,suchý
606,voll::A,നിറയെ,plný
607,leer::A,ഒഴിഞ്ഞ,prázdny
608,offen::A,തുറന്ന,otvorený
609,geschlossen::A,അടച്ച,zavretý
610,sauber::A,വൃത്തിയുള്ള,čistý
611,schmutzig::A,അഴുക്കുനിറഞ്ഞ,špinavý
612,roh::A,അസംസ്കൃതമായ,surový
613,reif::A,പഴുത്ത,zrelý
614,lecker::A,രുചികരമായ,chutný
615,süß::A,മധുരമുള്ള,sladký
616,bitter::A,കടുത്ത,horký
617,sauer::A,പുളിപ്പുള്ള,kyslý
618,hell::A,ജ്വലിക്കുന്ന,jasný
619,hell::A,ജ്വലിക്കുന്ന,svetlý
620,dunkel::A,ഇരുണ്ട,temný
621,schwarz::A,കറുത്ത,čierny
622,weiß::A,വെളുത്ത,biely
623,rot::A,ചുവന്ന,červený
624,gelb::A,മഞ്ഞനിറമായ,žltý
625,blau::A,നീലനിറമുള്ള,modrý
626,blau::A,നീലനിറമുള്ള,belasý
627,grün::A,പച്ചനിറമുള്ള,zelený
628,grau::A,ചാരനിറത്തിലുള്ള,šedý
629,bunt::A,വർണ്ണശബളമായ,pestrý
630,billig::A,വിലകുറഞ്ഞ,lacný
631,teuer::A,ചെലവേറിയ,drahý
632,wertvoll::A,വിലപിടിപ്പുള്ള,cenný
633,blind::A,അന്ധനായ,slepý
634,taub::A,കേൾവിക്കുറവുള്ള,hluchý
635,kräftig::A,ശക്തിയുള്ള,silný
636,stark::A,ബലമുള്ള,silný
637,schwach::A,ക്ഷീണിച്ച,slabý
638,schwach::A,ക്ഷീണിച്ച,bezvládny
639,fett::A,കൊഴുപ്പുള്ള,tučný
640,schlank::A,മെലിഞ്ഞ,štíhly
641,hübsch::A,മനോഹരമായ,šumný
642,hübsch::A,മനോഹരമായ,švárny
643,böse::A,പാപിയായ,zlý
644,dumm::A,വിവരംകെട്ട,hlúpy
645,faul::A,അലസനായ,lenivý
