,Concept_ID,uk,mrj
205,Gold::N,золото,шöртньӹ
206,Silber::N,срібло,ши
207,Kohle::N,вугілля,шӱ
208,Glas::N,скло,охоница
209,Lehm::N,глина,шун
210,Sand::N,пісок,ошма
211,Mensch::N,людина,эдем
212,Mann::N,чоловік,пӱэргӹ
213,Frau::N,жінка,ӹдӹрӓмӓш
214,Kind::N,дитина,ӓзӓ
215,Kind::N,дитина,шачшы
216,Junge::N,хлопець,рвезӹ
217,Junge::N,хлопець,ӹрвезӹ
218,Mädchen::N,дівчина,ӹдӹрӓш
219,Familie::N,сім’я,йиш
220,Familie::N,сім’я,семня
221,Familie::N,родина,йиш
222,Familie::N,родина,семня
223,Großvater::N,дідусь,тьоти
224,Großmutter::N,бабуся,папа
225,Eltern::N,батьки,ӓтя-ӓвӓ
226,Vater::N,батько,ӓтя
227,Mutter::N,мати,ӓвӓ
228,Sohn::N,син,эргӹ
229,Tochter::N,дочка,ӹдӹр
230,Bruder::N,брат,ӹза
231,Schwester::N,сестра,ӓкӓ
232,Onkel::N,дядько,кугуза
233,Tante::N,тітка,куака
234,Ehemann::N,чоловік,мары
235,Ehefrau::N,жінка,вӓтӹ
236,Ehefrau::N,дружина,вӓтӹ
237,Freude::N,радощі,ӹвӹртӹмӓш
238,Gelächter::N,сміх,ваштылмаш
239,Glück::N,щастя,пиӓл
240,Kummer::N,горе,ясы
241,Wunsch::N,бажання,охата
242,Wunsch::N,бажання,шанымаш
243,Lust::N,бажання,шӓр
244,Lust::N,бажання,охата
245,Lust::N,бажання,шанымаш
246,Geist::N,дух,тух
247,Gedanke::N,думка,шанымаш
248,Gedächtnis::N,пам’ять,ӓш
249,Verstand::N,розум,ыш
250,Sinn::N,зміст,кын
251,Sinn::N,значення,кын
252,Grund::N,причина,вир
253,Wahrheit::N,правда,тöр
254,Gespräch::N,розмова,хытырымаш
255,Märchen::N,байка,ямак
256,Erzählung::N,повість,шайыштмаш
257,Erzählung::N,оповідання,шайыштмаш
258,Nachricht::N,повідомлення,увертӓрӹмӓш
259,Neuigkeit::N,новина,увер
260,Name::N,ім’я,лӹм
261,Rätsel::N,загадка,тышты
262,Rede::N,промова,шая
263,Rede::N,промова,шамак
264,Sprache::N,мова,йӹлмӹ
265,Stimme::N,голос,юк
266,Wort::N,слово,шамак
267,Zeichen::N,знак,палӹ
268,Ruf::N,оклик,сӹгӹрӹмӓш
269,Lärm::N,шум,юкланымащ
270,Laut::N,звук,юк
271,Ton::N,тон,юк
272,Lied::N,пісня,мыры
273,Ruhe::N,спокій,тыр
274,Leute::N,люди,эдемвлӓ
275,Volk::N,народ,халык
276,Arbeit::N,робота,пӓшӓ
277,Gast::N,гість,хына
278,Geschenk::N,подарунок,подарка
279,Spiel::N,гра,мадыш
280,Gesellschaft::N,товариство,йӓл
281,Gesellschaft::N,товариство,йӓлвлӓ
282,Hilfe::N,допомога,палшык
283,Freund::N,друг,тӓнг
284,Freund::N,приятель,тӓнг
285,Kamerad::N,товариш,тос
286,Angelegenheit::N,справа,дела
287,Angelegenheit::N,справа,йела
288,Angelegenheit::N,справа,йыла
289,Angelegenheit::N,справа,пӓшӓ
290,Anzahl::N,число,шот
291,Art::N,рід,цӹре
292,Stück::N,кусок,лаштык
293,Teil::N,частина,пай
294,Teil::N,частина,часть
295,Hälfte::N,половина,пел
296,Kreis::N,круг,тӹртӹш
297,Kreis::N,коло,тӹртӹш
298,Kreuz::N,хрест,крестӹ
299,Linie::N,лінія,
300,Strich::N,штрих,
301,Abstand::N,проміжок,ло
302,Entfernung::N,відстань,ло
303,Gegend::N,місцевість,вӓр
304,Platz::N,площа,вӓр
305,Ort::N,місце,вӓр
306,Seite::N,сторона,öрдӹж
307,Mitte::N,середина,ло
308,Gegenstand::N,предмет,хӓдӹр
309,Sache::N,річ,хӓдӹр
310,Rand::N,край,шöр
311,Kante::N,ребро,шöр
312,Ecke::N,ріг,лык
313,Spitze::N,кінчик,вуй
314,Ende::N,кінець,вуй
315,Ende::N,кінець,мычаш
316,Loch::N,діра,ыраж
317,Winkel::N,куток,лык
318,Muster::N,узор,тӹрлец
319,Größe::N,розмір,кӱкшӹц
320,Länge::N,довжина,кыт
321,Höhe::N,висота,кӱкшӹц
322,Gewicht::N,вага,нелӹц
323,Menge::N,кількість,шот
324,Haufen::N,купа,ара
325,Reihe::N,ряд,ряд
326,Boot::N,човен,пыш
327,Ruder::N,весло,вешлӓ
328,Schlitten::N,сани,тир
329,Ski::N,лижа,ечӹ
330,Lagerfeuer::N,вогнище,тыл
331,Last::N,тягар,нелӹц
332,Last::N,вантаж,нелӹц
333,Gang::N,хід,ход
334,Schritt::N,крок,ашкыл
335,Norden::N,північ,йыдпелвел
336,Süden::N,південь,кечӹвӓлвел
337,Westen::N,захід,кечӹ шӹцмӹ
338,Osten::N,схід,ирвел
339,Osten::N,схід,кечӹ лӱлтмӹ
340,Holz::N,дрова,пушӓнгӹ
341,Brett::N,дошка,ханга
342,Platte::N,плита,плитӓ
343,Stütze::N,підпірка,цӓрӓк
344,Stange::N,жердина,равы
345,Stange::N,жердина,намаш
346,Stock::N,палиця,панды
347,Stab::N,палиця,равы
348,Rohr::N,труба,пыч
349,Haus::N,дім,пöрт
350,Haus::N,хата,пöрт
351,Heim::N,житло,пöрт
352,Ofen::N,піч,камака
353,Fußboden::N,підлога,седӹрӓ
354,Tisch::N,стіл,стöл
355,Stuhl::N,стілець,пöкен
356,Wiege::N,колиска,шипкӓ
357,Bett::N,ліжко,койка
358,Bett::N,ліжко,кравать
359,Bett::N,постіль,койка
360,Bett::N,постіль,кравать
361,Regal::N,полиця,полицӓ
362,Kiste::N,ящик,шӱ́ндӹк
363,Fenster::N,вікно,окня
364,Tür::N,двері,амаса
365,Tor::N,ворота,хапка
366,Zaun::N,паркан,забор
367,Zaun::N,огорожа,забор
368,Dach::N,дах,левӓш
369,Leiter::N,драбина,ташкалтыш
370,Besen::N,мітла,сало
371,Besen::N,мітла,салко
372,Spaten::N,заступ,кольмы
373,Schaufel::N,совок,лоток
374,Schaufel::N,лопата,лоток
375,Gabel::N,виделка,ви́лка
376,Löffel::N,ложка,савала
377,Messer::N,ніж,кӹзӹ
378,Nagel::N,цвях,пыда
379,Netz::N,сіть,вӓпш
380,Haken::N,крюк,крӱк
381,Haken::N,крюк,кагак
382,Griff::N,ручка,кычем
383,Griff::N,держак,кычем
384,Schloss::N,замок,замок
385,Schloss::N,замок,сыравач
386,Bild::N,картина,картин
387,Figur::N,фігура,кӓн
388,Puppe::N,лялька,поханя
389,Beutel::N,мішечок,мешӓк
390,Beutel::N,торбинка,мешӓк
391,Bündel::N,в’язка,топ
392,Bündel::N,в’язка,пидӹш
393,Bündel::N,в’язка,кӹлдӹш
394,Tasche::N,сумка,сумкы
395,Eimer::N,відро,ведӹрӓ
396,Deckel::N,кришка,комдыш
397,Geschirr::N,посуд,ӓтӹ
398,Sack::N,мішок,мешӓк
399,Tasse::N,чашка,цӓшкӓ
400,Topf::N,горщик,ми́ска
401,Kessel::N,котел,пад
402,Essen::N,їжа,качкыш
403,Essen::N,їжа,качкыш-йӱш
404,Nahrung::N,харч,качкыш
405,Nahrung::N,харч,качкыш-йӱш
406,Speise::N,страва,няня
407,Fleisch::N,м’ясо,пай
408,Getreide::N,хліб,киндӹ
409,Getreide::N,збіжжя,киндӹ
410,Brei::N,каша,шӹрӓш
411,Brot::N,хліб,сыкыр
412,Scheibe::N,скибочка,ламыт
413,Scheibe::N,скибочка,лаштык
414,Fett::N,жир,кая
415,Butter::N,масло,ӱ
416,Öl::N,олія,ӱ
417,Salz::N,сіль,санзал
418,Suppe::N,суп,лем
419,Honig::N,мед,мӱ
420,Milch::N,молоко,шӹшер
421,Tee::N,чай,чӓй
422,Leder::N,шкіра,шарга
423,Leder::N,шкіра,кавашты
424,Wolle::N,шерсть,миж
425,Stoff::N,тканина,матер
426,Stoff::N,тканина,матери
427,Nadel::N,голка,им
428,Faden::N,нитка,шӹртӹ
429,Knopf::N,ґудзик,полдыш
430,Knoten::N,вузол,пӱкшем
431,Farbe::N,фарба,чиӓ
432,Farbe::N,фарба,крӓскӓ
433,Kleidung::N,одяг,выргем
434,Kleidung::N,убрання,выргем
435,Hemd::N,сорочка,тыгыр
436,Kragen::N,комір,шӱ
437,Ärmel::N,рукав,шокш
438,Hose::N,брюки,ялаш
439,Gürtel::N,пояс,ӹштӹ
440,Mütze::N,шапка,упш
441,Schuh::N,ботинок,ту́фльы
442,Stiefel::N,чобіт,кем
443,Ring::N,кільце,шӓргӓш
444,Band::N,стрічка,лемтӓ
445,Kamm::N,гребінець,шерге
446,Spiegel::N,дзеркало,тӹгӹр
447,Riemen::N,ремінь,прӓжӓ
448,Schnur::N,вірьовка,кӓндӹра
449,Leine::N,шворка,керем
450,Decke::N,ковдра,одеял
451,Kissen::N,подушка,кӹпцӹк
452,Tuch::N,хустка,савыц
453,Handtuch::N,рушник,шӹргӹсавыц
454,Handtuch::N,рушник,шӹргӹмсавыц
455,Kraft::N,сила,ви
456,Stärke::N,сила,ви
457,Gesundheit::N,здоров’я,шу
458,Gesundheit::N,здоров’я,шулык
459,Krankheit::N,хвороба,мыж
460,Schmerz::N,біль,карштыш
461,Wunde::N,рана,шушыр
462,Fieber::N,гарячка,ӱштӹмыж
463,Arznei::N,ліки,лекӓрцӹ
464,Brücke::N,міст,кӹвер
465,Brunnen::N,колодязь,вӹдсӹнзӓ
466,Weide::N,пасовище,ныр
467,Pfad::N,стежка,ялгорны
468,Weg::N,шлях,корны
469,Weg::N,дорога,корны
470,Straße::N,вулиця,корны
471,Dorf::N,село,сола
472,Stadt::N,місто,города
473,Brief::N,лист,сирмӓш
474,Buch::N,книга,книгӓ
475,Buch::N,книжка,книгӓ
476,Buchstabe::N,буква,буква́
477,Buchstabe::N,літера,буква́
478,Zeitung::N,газета,газет
479,Zeitung::N,газета,кайзет
480,Leben::N,життя,житя
481,Tod::N,смерть,смöрт
482,Grab::N,могила,шӹгер
483,Grab::N,могила,мыгилӓ
484,Grab::N,могила,шӹгерлӓ
485,Kirche::N,церква,церкӹ
486,Sünde::N,гріх,сулык
487,Gott::N,бог,йымы
488,Arbeiter::N,робітник,пӓшӓзӹ
489,Chef::N,хазяїн,вуй
490,Meister::N,умілець,мастар
491,Arzt::N,лікар,доктор
492,Lehrer::N,вчитель,тымдышы
493,Geld::N,гроші,окса
494,Geschäft::N,заняття,торге́йӹмӓш
495,Laden::N,магазин,лапка
496,Laden::N,магазин,магазин
497,Laden::N,крамниця,лапка
498,Laden::N,крамниця,магазин
499,Preis::N,ціна,ӓк
500,Ware::N,товар,товар
501,Nutzen::N,вигода,пайда
502,Nutzen::N,користь,пайда
503,Reichtum::N,багатство,перке
504,Welt::N,світ,сӓндӓлӹк
505,Welt::N,світ,свет
506,Land::N,країна,сӓндӓлӹк
507,Staat::N,держава,кугижӓншӹ
508,König::N,король,король
509,Macht::N,влада,власть
510,Grenze::N,кордон,пӹсмӓн
511,Krieg::N,війна,вырсы
512,Feind::N,ворог,тышман
513,Gewalt::N,насильство,ви
514,Kampf::N,бій,кредӓлмӓш
515,Kampf::N,боротьба,кредӓлмӓш
516,Bogen[Waffe]::N,лук,янгеж
517,Pfeil::N,стріла,пикш
518,Gewehr::N,рушниця,пичӓл
519,Gewehr::N,гвинтівка,пичӓл
520,Fehler::N,помилка,самынь
521,Lüge::N,брехня,шая
522,Schaden::N,шкода,вре́дӓ
523,Schaden::N,збиток,вре́дӓ
524,Unglück::N,нещастя,пёда
525,Unglück::N,нещастя,тымаша
526,Schuld::N,провина,вуйнамат
527,Alter::N,вік,иӓш
528,Alter::N,вік,игечӹ
529,Alter::N,літа,иӓш
530,Alter::N,літа,игечӹ
531,Schluss::N,кінець,пӹтӓртӹш
532,Zeit::N,час,веремӓ
533,Tag::N,день,кечӹ
534,Morgen::N,ранок,ир
535,Morgen::N,ранок,ирок
536,Mittag::N,південь,кечӹвӓл
537,Abend::N,вечір,вады
538,Nacht::N,ніч,йыд
539,Woche::N,тиждень,ӓрня
540,Monat::N,місяць,тӹ́лзӹ
541,Jahr::N,рік,год
542,Frühling::N,весна,шошым
543,Sommer::N,літо,кӓнгӹж
544,Herbst::N,осінь,шӹжӹ
545,Winter::N,зима,тел
546,Winter::N,зима,телӹ
547,Januar::N,січень,январ
548,Januar::N,січень,январь
549,Februar::N,лютий,февраль
550,März::N,березень,март
551,April::N,квітень,апрель
552,Mai::N,травень,май
553,Juni::N,червень,июнь
554,Juli::N,липень,июль
555,August::N,серпень,август
556,September::N,вересень,сентябрь
557,Oktober::N,жовтень,октябрь
558,November::N,листопад,ноябрь
559,Dezember::N,грудень,декавыр
560,Montag::N,понеділок,шачмы
561,Dienstag::N,вівторок,кышкыжмы
562,Mittwoch::N,середа,вӹрчегӹ
563,Donnerstag::N,четвер,изӓрня
564,Freitag::N,п’ятниця,когарня
565,Samstag::N,субота,кукшыгечӹ
566,Sonntag::N,неділя,рушӓрня
567,groß::A,великий,кого
568,klein::A,малий,изи
569,klein::A,маленький,изи
570,lang::A,довгий,кужы
571,kurz::A,короткий,кӹтӹк
572,breit::A,широкий,кымда
573,schmal::A,вузький,ӓнгӹсӹр
574,dicht::A,густий,шӹре
575,dick[Gegenstand]::A,товстий,кӹжгӹ
576,dünn::A,тонкий,вӹцкӹж
577,fein::A,дрібний,пыльга
578,fest::A,міцний,цаткыды
579,flach::A,плоский,тӓлякӓ
580,glatt::A,рівний,ягылгы
581,glatt::A,гладенький,ягылгы
582,hart::A,твердий,пингӹдӹ
583,weich::A,м’який,пышкыды
584,rund::A,круглий,тӹртӹш
585,spitz::A,гострокінцевий,кашар
586,scharf::A,гострий,кашар
587,stumpf::A,тупий,нӹшкӹ
588,schwer::A,важкий,нелӹ
589,schön::A,вродливий,цевер
590,schön::A,вродливий,олмыдшы
591,heiß::A,жаркий,шокшы
592,heiß::A,гарячий,шокшы
593,warm::A,теплий,шокшы
594,kalt::A,холодний,ӱштӹ
595,kühl::A,прохолодний,юалгы
596,kühl::A,прохолодний,йонгата
597,frisch::A,свіжий,йонгата
598,feucht::A,вогкий,ӹлӹкшӹ
599,feucht::A,вогкий,вӹдӹжгӹ
600,nass::A,мокрий,начкы
601,trocken::A,сухий,кукшы
602,voll::A,повний,темшӹ
603,voll::A,повний,темыман
604,leer::A,пустий,йӓрӓ
605,offen::A,відкритий,виш
606,geschlossen::A,закритий,чӱчмӹ
607,geschlossen::A,закритий,тӹкӹлӓлтшӹ
608,geschlossen::A,зачинений,чӱчмӹ
609,geschlossen::A,зачинений,тӹкӹлӓлтшӹ
610,sauber::A,чистий,ире
611,sauber::A,охайний,ире
612,schmutzig::A,брудний,шоран
613,schmutzig::A,брудний,лявӹрӓн
614,schmutzig::A,брудний,шорангшы
615,roh::A,сирий,пеле кӱшӹ
616,reif::A,зрілий,кӱшӹ
617,lecker::A,смачний,тотан
618,süß::A,солодкий,мӱӓн
619,bitter::A,гіркий,качы
620,sauer::A,кислий,шапы
621,hell::A,світлий,соты
622,hell::A,світлий,валгыды
623,dunkel::A,темний,пӹц
624,dunkel::A,темний,пӹцкемӹш
625,schwarz::A,чорний,шим
626,weiß::A,сивий,ош
627,weiß::A,сивий,ошы
628,rot::A,червоний,якшаргы
629,gelb::A,жовтий,сар
630,gelb::A,жовтий,сары
631,blau::A,синій,симсӹ
632,grün::A,зелений,ыжар
633,grau::A,сірий,луды
634,bunt::A,барвистий,ала
635,billig::A,дешевий,шулдаш
636,teuer::A,дорогий,шергӹ
637,teuer::A,дорогий,шергӓкӓн
638,wertvoll::A,цінний,ӓкӓн
639,blind::A,сліпий,слöпöй
640,blind::A,сліпий,сльöпöй
641,taub::A,глухий,тӱтӱк
642,kräftig::A,могутній,виӓн
643,stark::A,сильний,виӓн
644,schwach::A,слабкий,шава
645,schwach::A,слабкий,лӹпкӓ
646,schwach::A,слабкий,слабка
647,fett::A,жирний,таза
648,fett::A,товстий,таза
649,schlank::A,тонкий,яштака
650,schlank::A,стрункий,яштака
651,hübsch::A,чарівний,сӹлнӹ
652,hübsch::A,чарівний,олмыдшы
653,böse::A,злий,шӹдӓн
654,böse::A,лихий,шӹдӓн
655,dumm::A,дурний,окмак
656,faul::A,ледачий,ялахай
657,fleißig::A,старанний,пӓшам яратышы
658,geizig::A,скупий,шык
659,klug::A,мудрий,ышан
660,klug::A,розумний,ышан
661,geschickt::A,умілий,мастар
662,lieb::A,милий,тыри
663,lustig::A,веселий,мындыр
664,lustig::A,веселий,сусу
665,sanft::A,лагідний,йӹвӹжӓ
666,hungrig::A,голодний,шужышы
667,krank::A,слабий,церлӹ
668,krank::A,слабий,хворой
669,nackt::A,голий,цӓрӓ
670,traurig::A,сумний,сы́лыкан
671,traurig::A,сумний,кымы́лдымы
672,lebendig::A,живий,живой
673,gut::A,добрий,яжо
674,schlecht::A,поганий,уда
675,schlecht::A,поганий,худа
676,schlecht::A,кепський,уда
677,schlecht::A,кепський,худа
678,richtig::A,правильний,вургамла
679,schlimm::A,бридкий,йӹрнык
680,wahr::A,справжній,настоящий
681,wahr::A,справжній,настояшый
682,alt::A,старий,шонгы
683,neu::A,новий,у
684,ehemalig::A,колишній,тошты
685,alt[Lebewesen]::A,старий,ӹлалшӹ
686,jung::A,молодий,нöргӹ
687,jung::A,молодий,молода
688,arm::A,бідний,укеӓн
689,reich::A,багатий,паян
690,reich::A,багатий,пурлыкан
691,bekannt::A,знайомий,палӹмӹ
692,berühmt::A,славетний,лӹмлы
693,fremd::A,чужий,эдемӹн
694,verschieden::A,різний,тӹрлӹ
695,nah::A,близький,лишӹл
696,fern::A,далекий,мӹндӹр
697,linker::A,лівий,шалахай
698,rechter::A,правий,вургамла
699,anderer::A,інакший,вес
700,anderer::A,інакший,весӹ
701,erster::A,перший,икшӹ
702,erster::A,перший,икӹмшӹ
703,zweiter::A,другий,кокшы
704,dritter::A,третій,кымшы
705,letzter::A,останній,остатка
706,allein::ADV,сам,иктӹ
707,allein::ADV,сам,иктӹт
708,allein::ADV,один,иктӹ
709,allein::ADV,один,иктӹт
710,auf einmal::ADV,відразу,тöрöк
711,zusammen::ADV,разом,икараш
712,zusammen::ADV,разом,цымырын
713,zusammen::ADV,спільно,икараш
714,zusammen::ADV,спільно,цымырын
715,lange::ADV,довго,кужын
716,plötzlich::ADV,раптом,трӱк
717,sofort::ADV,зараз,полт
718,sofort::ADV,зараз,тöрöк
719,sofort::ADV,зараз,тӹшӓкок
720,später::ADV,пізніше,вара
721,jetzt::ADV,тепер,
722,heute::ADV,сьогодні,тагачы
723,morgen::ADV,завтра,иргод
724,morgen::ADV,завтра,иргодым
725,bald::ADV,незабаром,чӹнь
726,bald::ADV,незабаром,вӓшке
727,bald::ADV,незабаром,выртышты
728,dann::ADV,потім,пакыла
729,gestern::ADV,вчора,тенгечӹ
730,einst::ADV,колись,икӓнӓ
731,damals::ADV,тоді,тӹнӓм
732,danach::ADV,згодом,пакыла
733,vorher::ADV,раніше,перви
734,zuerst::ADV,спершу,андак
735,zuerst::ADV,спочатку,андак
736,einmal::ADV,один раз,гӓнӓк
737,einmal::ADV,один раз,гӓнӓ
738,manchmal::ADV,іноді,кынамжы
739,manchmal::ADV,інколи,кынамжы
740,oft::ADV,часто,чӹчкӹдӹн
741,immer::ADV,завжди,со
742,immer::ADV,завжди,соок
743,niemals::ADV,ніколи,нинам
744,niemals::ADV,ніколи,нигынам
745,niemals::ADV,ніколи,нигынамат
746,hier::ADV,тут,тиштӹ
747,hierhin::ADV,сюди,тишкӹ
748,von hier::ADV,звідси,тишец
749,von hier::ADV,звідси,тишецӹн
750,dort::ADV,там,тӹштӹ
751,dorthin::ADV,туди,тӹшкӹ
752,dorthin::ADV,туди,тӹшкӹлӓ
753,geradeaus::ADV,прямо,вик
754,geradeaus::ADV,прямо,тура
755,vorwärts::ADV,вперед,анзыкы
756,rückwärts::ADV,назад,мӹнгеш
757,zurück::ADV,назад,мӹнгеш
758,unten::ADV,внизу,ӱлнӹ
759,unten::ADV,внизу,лӹвӓлнӹ
760,hinab::ADV,вниз,ӱлӹкӹ
761,hinab::ADV,вниз,лӹвӓкӹ
762,oben::ADV,вгорі,вӹлнӹ
763,hinauf::ADV,вгору,кӱшкӹлӓ
764,hinauf::ADV,вгору,кӱш
765,überall::ADV,скрізь,йӹлт
