,Concept_ID,sq,ml
55,Träne::N,lot,കണ്ണീർ
56,Geschmack::N,shije,രുചി
57,Geruch::N,erë,ഗന്ധം
58,Schlaf::N,gjumë,ഉറകും
59,Traum::N,ëndërr,സ്വപ്നം
60,Himmel::N,qiell,ആകാശം
61,Sonne::N,diell,സൂര്യൻ
62,Mond::N,hënë,ചന്ദ്രൻ
63,Stern::N,yll,നക്ഷത്രം
64,Luft::N,ajër,കാറ്റ്
65,Wind::N,erë,കാറ്റ്
66,Welle::N,valë,തിരമാല
67,Welle::N,dallgë,തിരമാല
68,Wasser::N,ujë,വെള്ളം
69,Stein::N,gur,ശില
70,Stein::N,gur,കല്ല്
71,Boden::N,tokë,തറ
72,Boden::N,tokë,നിലം
73,Boden::N,truall,തറ
74,Boden::N,truall,നിലം
75,Erde::N,dhe,മണ്ണ്
76,Erde::N,baltë,മണ്ണ്
77,Staub::N,pluhur,പൊടി
78,Rauch::N,tym,പുക
79,Funke::N,xixë,തീപ്പൊരി
80,Funke::N,shkëndijë,തീപ്പൊരി
81,Feuer::N,zjarr,തീ
82,Licht::N,dritë,വിളക്ക്
83,Licht::N,dritë,സൂര്യപ്രകാശം
84,Schatten::N,hije,തണൽ
85,Wetter::N,mot,കാലാവസ്ഥ
86,Nebel::N,mjegull,മൂടൽമഞ്ഞ്
87,Wolke::N,re,മേഘം
88,Regen::N,shi,മഴ
89,Schnee::N,borë,മഞ്ഞ്
90,Eis::N,akull,ഐസ്
91,Frost::N,ngricë,മൂടൽമഞ്ഞ്
92,Kälte::N,të ftohtë,തണുപ്പ്
93,Hitze::N,vapë,ചൂട്
94,Hitze::N,nxehtësi,ചൂട്
95,Raureif::N,cikmë,കോടമഞ്ഞ്
96,Regenbogen::N,ylber,മഴവില്ല്
97,Donner::N,gjëmim,ഇടി
98,Donner::N,bubullimë,ഇടി
99,Strömung::N,rrymë,പ്രവാഹം
100,Tropfen::N,pikë,തുള്ളി
101,Schaum::N,shkumë,നുര
102,Schmutz::N,baltë,അഴുക്ക്
103,See::N,liqen,തടാകം
104,Sumpf::N,batak,ചതുപ്പുനിലം
105,Moor::N,kënetë,പാഴ്നിലം
106,Wiese::N,livadh,പുൽത്തകിടി
107,Wald::N,pyll,വനം
108,Wald::N,pyll,കാട്
109,Hügel::N,kodër,കുന്ന്
110,Anhöhe::N,bregore,ഉയർന്ന ഭൂമി
111,Berg::N,mal,പർവ്വതം
112,Gipfel::N,kulm,ഉച്ചകോടി
113,Höhle::N,shpellë,ഗുഹ
114,Höhle::N,zgafelle,ഗുഹ
115,Abhang::N,shpat,ചരിവ്
116,Abhang::N,tatëpjetë,ചരിവ്
117,Quelle::N,krua,ഉറവിടം
118,Quelle::N,burim,ഉറവിടം
119,Bach::N,virua,അരുവി
120,Fluss::N,lumë,നദി
121,Ufer::N,breg,തീരം
122,Küste::N,anëdet,കടൽത്തീരം
123,Küste::N,bregdet,കടൽത്തീരം
124,Festland::N,kontinent,കര
125,Meer::N,det,കടൽ
126,Bucht::N,gji deti,ഉൾക്കടല്
127,Insel::N,ishull,ദ്വീപ്
128,Insel::N,ujdhesë,ദ്വീപ്
129,Blume::N,lule,പൂവ്
130,Gras::N,bar,പുല്ല്
131,Wurzel::N,rrënjë,വേര്
132,Baum::N,pemë,മരം
133,Stamm::N,trung,തായ്ത്തടി
134,Rinde::N,lëvore,പട്ട
135,Ast::N,degë,ശാഖ
136,Zweig::N,bisk,ശാഖ
137,Blatt::N,fletë,ഇല
138,Blatt::N,gjethe,ഇല
139,Birke::N,mështekën,പൂവരശ്
140,Kiefer[Baum]::N,pishë,പൈൻമരം
141,Weide[Baum]::N,shelg,വില്ലോ
142,Tanne::N,bredh,ദേവദാരു
143,Horn::N,bri,മൃഗത്തിൻറെ കൊമ്പ്
144,Feder::N,pupël,തൂവൽ
145,Fell::N,lëkurë,മൃദുരോമം
146,Flügel::N,krah,ചിറക്
147,Flügel::N,fletë,ചിറക്
148,Klaue::N,kthetër,നഖം
149,Kralle::N,thua,നഖം
150,Kralle::N,kthetër,നഖം
151,Schwanz::N,bisht,വാൽ
152,Ei::N,vezë,മുട്ട
153,Nest::N,fole,കൂട്
154,Bau::N,strofkë,മാളം
155,Tier::N,kafshë,മൃഗം
156,Herde::N,kope,കൂട്ടം
157,Herde::N,grigjë,കൂട്ടം
158,Kuh::N,lopë,പശു
159,Bulle::N,dem,കാള
160,Pferd::N,kalë,കുതിര
161,Schaf::N,dele,ആട്
162,Schwein::N,derr,പന്നി
163,Hund::N,qen,നായ്
164,Katze::N,mace,പൂച്ച
165,Bär::N,ari,കരടി
166,Eichhörnchen::N,ketër,അണ്ണാൻ
167,Elch::N,dre brilopatë,കടമാന്
168,Fuchs::N,dhelpër,കുറുക്കൻ
169,Hase::N,lepur,മുയൽ
170,Maus::N,mi,ചുണ്ടലി
171,Wolf::N,ujk,ചെന്നായ
172,Vogel::N,zog,പക്ഷി
173,Vogel::N,shpend,പക്ഷി
174,Schwarm::N,luzmë,കൂട്ടം
175,Huhn::N,pulë,കോഴി
176,Hahn::N,gjel,പൂവൻകോഴി
177,Hahn::N,këndes,പൂവൻകോഴി
178,Gans::N,patë,അരയന്നം
179,Adler::N,shqiponjë,കഴുകൻ
180,Ente::N,rosë,താറാവ്
181,Eule::N,buf,മൂങ്ങ
182,Kranich::N,lejlek,കൊക്ക്
183,Kranich::N,kurrillë,കൊക്ക്
184,Krähe::N,sorrë,കാക്ക
185,Kuckuck::N,qyqe,കുയിൽ
186,Schwan::N,mjellmë,അരയന്നം
187,Fisch::N,peshk,മത്സ്യം
188,Barsch::N,purtekë,ഒരിനം മത്സ്യം
189,Hecht::N,mlysh,ഒരു മത്സ്യം
190,Schlange[Tier]::N,gjarpër,പാമ്പ്
191,Wurm::N,krimb,വിര
192,Spinne::N,marimangë,ചിലന്തി
193,Ameise::N,thnegël,ഉറുമ്പ്
194,Ameise::N,milingonë,ഉറുമ്പ്
195,Laus::N,morr,പേന്
196,Mücke::N,kunup,മശകം
197,Mücke::N,mushkonjë,മശകം
198,Fliege::N,mizë,ഈച്ച
199,Schmetterling::N,flutur,ചിത്രശലഭം
200,Beere::N,frutë,ബെറി
201,Beere::N,manaferrë,ബെറി
202,Apfel::N,mollë,ആപ്പിൾ
203,Pilz::N,kërpudhë,കൂൺ
204,Zwiebel::N,qepë,സവാള
205,Saat::N,farë,വിത്ത്
206,Korn::N,grurë,ധാന്യം
207,Korn::N,kokërr,ധാന്യം
208,Heu::N,sanë,വയ്ക്കോൽ
209,Schale::N,lëkurë,തൊലി
210,Grube::N,gropë,കുഴി
211,Falle::N,kurth,കെണി
212,Falle::N,grackë,കെണി
213,Schlinge::N,nyjë,കുടുക്ക്
214,Spur::N,gjurmë,ചുവട്
215,Asche::N,hi,ചാരം
216,Dreck::N,baltë,അഴുക്ക്
217,Eisen::N,hekur,ഇരുമ്പ്
218,Gold::N,ar,സ്വർണ്ണം
219,Gold::N,flori,സ്വർണ്ണം
220,Silber::N,argjend,വെള്ളി
221,Kohle::N,qymyr,കൽക്കരി
222,Glas::N,qelq,ഗ്ലാസ്
223,Lehm::N,argjilë,കളിമണ്ണ്
224,Sand::N,rërë,മണൽ
225,Mensch::N,njeri,മനുഷ്യർ
226,Mann::N,burrë,പുരുഷൻ
227,Mann::N,mashkull,പുരുഷൻ
228,Frau::N,grua,സ്ത്രീ
229,Frau::N,femër,സ്ത്രീ
230,Kind::N,kalama,കുഞ്ഞ്
231,Junge::N,djalë,ആൺകുട്ടി
232,Mädchen::N,gocë,പെൺകുട്ടി
233,Mädchen::N,vajzë,പെൺകുട്ടി
234,Familie::N,familje,കുടുംബം
235,Großvater::N,gjysh,അപ്പൂപ്പൻ
236,Großmutter::N,gjyshe,അമ്മുമ്മ
237,Eltern::N,prindër,മാതാപിതാക്കള്
238,Vater::N,atë,അച്ഛൻ
239,Mutter::N,nënë,അമ്മ
240,Sohn::N,bir,മകൻ
241,Tochter::N,bijë,മകൾ
242,Bruder::N,vëlla,ചേട്ടൻ
243,Bruder::N,vëlla,അനിയൻ
244,Schwester::N,motër,ചേച്ചി
245,Schwester::N,motër,അനിയത്തി
246,Onkel::N,dajë,അമ്മാവൻ
247,Onkel::N,xhaxha,അമ്മാവൻ
248,Tante::N,teze,മാമി
249,Tante::N,hallë,മാമി
250,Ehemann::N,burrë,ഭർത്താവ്
251,Ehemann::N,bashkëshort,ഭർത്താവ്
252,Ehefrau::N,grua,ഭാര്യ
253,Ehefrau::N,bashkëshorte,ഭാര്യ
254,Freude::N,gaz,ആഹ്ലാദം
255,Freude::N,gëzim,ആഹ്ലാദം
256,Gelächter::N,qeshje,ചിരിയുടെ ശബ്ദം
257,Glück::N,lumturi,സന്തോഷം
258,Glück::N,lumturi,സന്തുഷ്ടി
259,Kummer::N,brengë,ശോകം
260,Kummer::N,pikëllim,ശോകം
261,Wunsch::N,dëshirë,ആഗ്രഹം
262,Lust::N,epsh,ആഗ്രഹം
263,Lust::N,dashuri,ആഗ്രഹം
264,Geist::N,frymë,ചുറുചുറുക്ക്
265,Geist::N,shpirt,ചുറുചുറുക്ക്
266,Gedanke::N,ide,ചിന്ത
267,Gedanke::N,mendim,ചിന്ത
268,Gedächtnis::N,kujtesë,ഓർമ്മശക്തി
269,Verstand::N,mend,മനസ്സ്
270,Sinn::N,kuptim,അർത്ഥം
271,Grund::N,arsye,കാരണം
272,Wahrheit::N,vërtetë,സത്യം
273,Gespräch::N,bisedim,സല്ലാപം
274,Märchen::N,përrallë,യക്ഷിക്കഥ
275,Erzählung::N,tregim,കഥ
276,Nachricht::N,lajm,സന്ദേശം
277,Neuigkeit::N,risi,വാർത്ത
278,Name::N,emër,പേര്
279,Rätsel::N,gjëzë,പ്രഹേളിക
280,Rätsel::N,gjëegjëzë,പ്രഹേളിക
281,Rede::N,fjalim,സംസാരം
282,Sprache::N,gjuhë,ഭാഷ
283,Stimme::N,zë,സ്വരം
284,Wort::N,fjalë,വാക്ക്
285,Zeichen::N,shenjë,സംജ്ഞ
286,Ruf::N,thirrmë,വിളി
287,Lärm::N,zhurmë,ആരവം
288,Laut::N,tingull,ശബ്ദം
289,Ton::N,ton,സ്വരഭേദം
290,Lied::N,këngë,പാട്ട്
291,Ruhe::N,qetësi,നിശ്ചലത
292,Leute::N,botë,ജനങ്ങൾ
293,Leute::N,njerëz,ജനങ്ങൾ
294,Volk::N,popull,രാഷ്ടം
295,Arbeit::N,punë,ജോലി
296,Gast::N,mik,അതിലി
297,Gast::N,mysafir,അതിലി
298,Geschenk::N,dhuratë,സമ്മാനം
299,Geschenk::N,peshqesh,സമ്മാനം
300,Spiel::N,lojë,കളി
301,Gesellschaft::N,shoqëri,കൂട്ടായ്മ
302,Hilfe::N,ndihmë,സഹായം
303,Freund::N,mik,സുഹൃത്ത്
304,Kamerad::N,shok,കൂട്ടാളി
305,Angelegenheit::N,punë,കാര്യം
306,Anzahl::N,sasi,എണ്ണം
307,Art::N,lloj,തരം
308,Stück::N,copë,കഷണം
309,Teil::N,pjesë,ഭാഗം
310,Hälfte::N,gjysmë,പകുതി
311,Kreis::N,qark,വൃത്തം
312,Kreis::N,rreth,വൃത്തം
313,Kreuz::N,kryq,കുരിശടയാളം
314,Linie::N,vijë,വര
315,Linie::N,vijë,രേഖ
316,Strich::N,vizë,പക്ഷാഘാതം
317,Abstand::N,distancë,വിടവ്
318,Entfernung::N,largim,അകലം
319,Gegend::N,vise,പ്രദേശം
320,Gegend::N,krahinë,പ്രദേശം
321,Platz::N,shesh,ഇടം
322,Ort::N,vend,സ്ഥലം
323,Seite::N,anë,വശം
324,Mitte::N,mes,മധ്യസ്ഥാനം
325,Gegenstand::N,send,സാധനം
326,Sache::N,gjë,വസ്തു
327,Sache::N,send,വസ്തു
328,Rand::N,qoshe,തൊങ്ങൽ
329,Kante::N,teh,അറ്റം
330,Ecke::N,qoshe,മൂല
331,Spitze::N,majë,അഗ്രം
332,Ende::N,skaj,അവസാനം
333,Ende::N,bisht,അവസാനം
334,Loch::N,vrimë,ദ്വാരം
335,Winkel::N,kënd,കോൺ
336,Muster::N,mostër,ക്രമം
337,Größe::N,madhësi,വലുപ്പം
338,Länge::N,gjatësi,നീളം
339,Höhe::N,lartësi,ഉയരം
340,Gewicht::N,peshë,കട്ടി
341,Menge::N,sasi,അളവ്
342,Haufen::N,grumbull,കൂമ്പാരം
343,Reihe::N,radhë,വരി
344,Reihe::N,rresht,വരി
345,Boot::N,barkë,ബോട്ട്
346,Boot::N,lundër,ബോട്ട്
347,Ruder::N,rrem,പങ്കായം
348,Schlitten::N,sajë,ഉരുളില്ലാവണ്ടി
349,Ski::N,ski,ഹിമപാദുകം
350,Lagerfeuer::N,flakadan,തീ
351,Lagerfeuer::N,zjarr i madh,തീ
352,Last::N,barrë,ഭാരം
353,Gang::N,ecje,നടത്തം
354,Schritt::N,hap,ചുവട്
355,Norden::N,veri,വടക്ക്
356,Süden::N,jug,തെക്ക്
357,Westen::N,perëndim,പടിഞ്ഞാറ്
358,Osten::N,lindje,കിഴക്ക്
359,Holz::N,dru,തടി
360,Brett::N,dërrasë,ബോർഡ്
361,Platte::N,pllakë,തകിട്
362,Stütze::N,shtyllë,താങ്ങ്
363,Stütze::N,mbështetesë,താങ്ങ്
364,Stange::N,shufër,കമ്പ്
365,Stock::N,dajak,വടി
366,Stab::N,shkop,കുറുവടി
367,Rohr::N,tub,കുഴൽ
368,Haus::N,shtëpi,വീട്
369,Heim::N,konak,വീട്
370,Heim::N,shtëpi,വീട്
371,Ofen::N,sobë,സ്റ്റൌ
372,Ofen::N,stufë,സ്റ്റൌ
373,Fußboden::N,dysheme,തറ
374,Tisch::N,tryezë,മേശ
375,Stuhl::N,karrige,കസേര
376,Wiege::N,djep,തൊട്ടിൽ
377,Bett::N,shtrat,കിടക്ക
378,Regal::N,raft,ഷെൽഫ്
379,Kiste::N,kuti,പെട്ടി
380,Fenster::N,dritare,ജനൽ
381,Tür::N,derë,വാതിൽ
382,Tor::N,portë,കവാടം
383,Zaun::N,gardh,വേലി
384,Dach::N,çati,മേൽക്കുര
385,Leiter::N,shkallë,ഏണി
386,Besen::N,fshesë,ചൂല്
387,Spaten::N,lopatë,തൂമ്പ
388,Schaufel::N,qyrek,തൂമ്പ
389,Gabel::N,pirun,മുൾക്കത്തി
390,Löffel::N,lugë,സ്പൂൺ
391,Messer::N,thikë,കത്തി
392,Nagel::N,gozhdë,ആണി
393,Netz::N,rrjetë,വല
394,Haken::N,grep,കൊളുത്ത്
395,Haken::N,grremç,കൊളുത്ത്
396,Griff::N,dorak,കൈപ്പിടി
397,Griff::N,dorezë,കൈപ്പിടി
398,Schloss::N,bravë,പൂട്ട്
399,Bild::N,tablo,ചിത്രം
400,Bild::N,pikturë,ചിത്രം
401,Figur::N,figurë,കണക്ക്
402,Puppe::N,kukull,പാവ
403,Beutel::N,qese,ബാഗ്
404,Beutel::N,trastë,ബാഗ്
405,Bündel::N,deng,കെട്ട്
406,Tasche::N,çantë,ബാഗ്
407,Eimer::N,kovë,ബക്കറ്റ്
408,Deckel::N,kapak,ഉറ
409,Deckel::N,mbulesë,ഉറ
410,Geschirr::N,enë,പിഞ്ഞാണം
411,Sack::N,thes,ചാക്ക്
412,Sack::N,torbë,ചാക്ക്
413,Tasse::N,filxhan,കപ്പ്
414,Topf::N,kusi,പാത്രം
415,Topf::N,tenxhere,പാത്രം
416,Kessel::N,kazan,കെറ്റ്ല്
417,Essen::N,ngrënie,ആഹാരസമയം
418,Nahrung::N,ushqim,ഭക്ഷണം
419,Speise::N,gatesë,ഡിഷ്
420,Fleisch::N,mish,മാംസം
421,Getreide::N,drithë,ചോളം
422,Brei::N,qull,കഞ്ഞി
423,Brot::N,bukë,റോട്ടി
424,Scheibe::N,fetë,തുണ്ട്
425,Fett::N,lyrë,കൊഴുപ്പ്
426,Fett::N,yndyrë,കൊഴുപ്പ്
427,Butter::N,gjalpë,വെണ്ണ
428,Öl::N,vaj,എണ്ണ
429,Salz::N,kripë,ഉപ്പ്
430,Suppe::N,supë,സൂപ്പ്
431,Suppe::N,çorbë,സൂപ്പ്
432,Honig::N,mjaltë,തേൻ
433,Milch::N,qumësht,പാൽ
434,Tee::N,çaj,ചായ
435,Leder::N,lëkurë,തുകൽ
436,Wolle::N,lesh,കമ്പിളി
437,Stoff::N,pëlhurë,തുണി
438,Nadel::N,gjilpërë,സൂചി
439,Faden::N,pe,നൂല്
440,Faden::N,fije,നൂല്
441,Knopf::N,kopsë,ബട്ടൺ
442,Knoten::N,komb,കുരുക്ക്
443,Farbe::N,bojë,പെയിൻറ്
444,Kleidung::N,veshje,വസ്ത്രങ്ങൾ
445,Hemd::N,këmishë,ഷർട്ട്
446,Kragen::N,jakë,കുപ്പായക്കഴുത്ത്
447,Ärmel::N,mëngë,കുപ്പായക്കൈ
448,Hose::N,brekë,ട്രൌസർ
449,Gürtel::N,rrip,ബെൽറ്റ്
450,Mütze::N,kësulë,തൊപ്പി
451,Schuh::N,këpucë,ഷൂ
452,Stiefel::N,çizme,ബൂട്ട്
453,Ring::N,unazë,മോതിരം
454,Band::N,shirit,റിബൺ
455,Kamm::N,krehër,ചീപ്പ്
456,Spiegel::N,pasqyrë,കണ്ണാടി
457,Riemen::N,rrip,സ്ട്രാപ്പ്
458,Schnur::N,litar,ചരട്
459,Schnur::N,cikomë,ചരട്
460,Leine::N,rrip,കെട്ടാനുള്ള തോൽവാർ
461,Decke::N,batanije,പുതപ്പ്
462,Kissen::N,jastëk,തലയിണ
463,Tuch::N,shami,സ്കാർഫ്
464,Handtuch::N,peshqir,തോർത്ത്
465,Kraft::N,forcë,ശക്തി
466,Stärke::N,koll,ശക്തി
467,Gesundheit::N,shëndet,ആരോഗ്യം
468,Krankheit::N,sëmundje,അസുഖം
469,Schmerz::N,dhimbje,വേദന
470,Wunde::N,plagë,മുറിവ്
471,Fieber::N,ethe,പനി
472,Arznei::N,ilaç,മരുന്ന്
473,Brücke::N,urë,പാലം
474,Brunnen::N,pus,കിണർ
475,Weide::N,kullotë,മേച്ചൽ
476,Pfad::N,ravë,വഴി
477,Pfad::N,shteg,വഴി
478,Weg::N,udhë,വഴി
479,Weg::N,shteg,വഴി
480,Straße::N,rrugë,റോഡ്
481,Dorf::N,fshat,ഗ്രാമം
482,Dorf::N,katund,ഗ്രാമം
483,Stadt::N,qytet,നഗരം
484,Brief::N,letër,കത്ത്
485,Buch::N,libër,പുസ്തകം
486,Buchstabe::N,shkronjë,അക്ഷരം
487,Zeitung::N,gazetë,വർത്തമാനപത്രം
488,Leben::N,jetë,ജീവൻ
489,Tod::N,mortje,മരണം
490,Grab::N,varr,ശവക്കുഴി
491,Kirche::N,kishë,പള്ളി
492,Sünde::N,mëkat,പാപം
493,Sünde::N,gjynah,പാപം
494,Gott::N,hy,ദൈവം
495,Gott::N,zot,ദൈവം
496,Arbeiter::N,punëtor,ജോലിക്കാരൻ
497,Chef::N,shef,മേധാവി
498,Chef::N,drejtues,മേധാവി
499,Meister::N,mjeshtër,യജമാനൻ
500,Arzt::N,mjek,ഡോക്ടർ
501,Arzt::N,doktor,ഡോക്ടർ
502,Lehrer::N,mësues,അധ്യാപകൻ
503,Lehrer::N,arsimtar,അധ്യാപകൻ
504,Geld::N,para,പണം
505,Geld::N,holla,പണം
506,Geschäft::N,ujdi,ബിസിനസ്
507,Geschäft::N,biznes,ബിസിനസ്
508,Laden::N,dyqan,കട
509,Preis::N,çmim,വില
510,Ware::N,mall,ചരക്ക്
511,Nutzen::N,dobi,ലാഭം
512,Nutzen::N,leverdi,ലാഭം
513,Reichtum::N,kamje,ധനം
514,Reichtum::N,pasuri,ധനം
515,Welt::N,botë,ലോകം
516,Land::N,vend,രാജ്യം
517,Staat::N,shtet,രാജ്യം
518,König::N,mbret,രാജാവ്
519,Macht::N,fuqi,അധികാരം
520,Macht::N,pushtet,അധികാരം
521,Grenze::N,kufi,അതിർത്തി
522,Krieg::N,luftë,യുദ്ധം
523,Feind::N,armik,ശത്രു
524,Gewalt::N,dhunë,അക്രമം
525,Kampf::N,luftim,പോരാട്ടം
526,Bogen[Waffe]::N,hark,വില്ല്
527,Pfeil::N,shigjetë,അമ്പ്
528,Gewehr::N,pushkë,തോക്ക്
529,Fehler::N,gafë,പിശക്
530,Fehler::N,gabim,പിശക്
531,Lüge::N,gënjeshtër,കള്ളം
532,Schaden::N,dëm,കേടുപാട്
533,Schaden::N,zarar,കേടുപാട്
534,Unglück::N,fatkeqësi,ദൌർഭാഗ്യം
535,Schuld::N,faj,തെറ്റ്
536,Alter::N,moshë,വയസ്സ്
537,Schluss::N,fund,നിഗമനം
538,Zeit::N,kohë,സമയം
539,Tag::N,ditë,ദിവസം
540,Morgen::N,mëngjes,പ്രഭാതം
541,Mittag::N,mesditë,ഉച്ച
542,Abend::N,mbrëmje,സായാഹ്നം
543,Nacht::N,natë,രാത്രി
544,Woche::N,javë,ആഴ്ച
545,Monat::N,muaj,മാസം
546,Jahr::N,vit,വർഷം
547,Frühling::N,pranverë,വസന്തം
548,Sommer::N,verë,വേനൽ
549,Herbst::N,vjeshtë,ശരത്കാലം
550,Winter::N,dimër,ശൈത്യം
551,Januar::N,janar,ജനുവരി
552,Februar::N,shkurt,ഫെബ്രുവരി
553,März::N,mars,മാർച്ച്
554,April::N,prill,ഏപ്രിൾ മാസം
555,Mai::N,maj,മെയ് മാസം
556,Juni::N,qershor,ജൂൺ
557,Juli::N,korrik,ജൂലൈ
558,August::N,gusht,ആഗസ്റ്റ്
559,September::N,shtator,സെപ്തംബർ
560,Oktober::N,tetor,ഒക്ടോബർ
561,November::N,nëntor,നവംബർ
562,Dezember::N,dhjetor,ഡിസംബർ
563,Montag::N,hënë,തിങ്കളാഴ്ച
564,Dienstag::N,martë,ചൊവ്വ
565,Mittwoch::N,mërkurë,ബുധനാഴ്ച
566,Donnerstag::N,enjte,വ്യാഴാഴ്ച
567,Freitag::N,premte,വെള്ളിയാഴ്ച
568,Samstag::N,shtunë,ശനിയാഴ്ച
569,Sonntag::N,diel,ഞായറാഴ്ച
570,groß::A,madh,വലിയ
571,klein::A,vogël,ചെറിയ
572,lang::A,gjatë,നീണ്ട
573,kurz::A,shkurtër,ഹ്രസ്വമായ
574,breit::A,gjerë,വിശാലമായ
575,schmal::A,ngushtë,ഇടുങ്ങിയ
576,dicht::A,dendur,നിബിഡമായ
577,dick[Gegenstand]::A,trashë,തടിച്ച
578,dünn::A,hollë,മെലിഞ്ഞ
579,fein::A,imët,നേർത്ത
580,fest::A,fortë,ഉറപ്പുള്ള
581,flach::A,sheshtë,പരന്ന
582,glatt::A,rrafshët,മിനുസമുള്ള
583,hart::A,fortë,കട്ടിയുള്ള
584,weich::A,butë,മൃദുവായ
585,rund::A,rrumbullakët,വട്ടത്തിലുള്ള
586,spitz::A,majëmprehtë,മുനയുള്ള
587,scharf::A,mprehtë,മൂർച്ചയുള്ള
588,stumpf::A,topitur,തുറന്നടിക്കുന്ന
589,schwer::A,rëndë,ഭാരമുള്ള
590,schön::A,bukur,മനോഹരമായ
591,heiß::A,nxehtë,ചൂടുള്ള
592,warm::A,ngrohtë,ചൂടുള്ള
593,kalt::A,ftohtë,തണുത്ത
594,kühl::A,freskët,തണുപ്പുള്ള
595,frisch::A,pastër,ശുദ്ധമായ
596,feucht::A,lagësht,ഈറനുള്ള
597,nass::A,lagur,നനഞ്ഞ
598,trocken::A,thatë,വരണ്ട
599,voll::A,plotë,നിറയെ
600,leer::A,bosh,ഒഴിഞ്ഞ
601,leer::A,zbrazët,ഒഴിഞ്ഞ
602,offen::A,hapur,തുറന്ന
603,geschlossen::A,mbyllur,അടച്ച
604,sauber::A,dëlirë,വൃത്തിയുള്ള
605,schmutzig::A,ndyrë,അഴുക്കുനിറഞ്ഞ
606,roh::A,gjallë,അസംസ്കൃതമായ
607,reif::A,arrirë,പഴുത്ത
608,lecker::A,shijshëm,രുചികരമായ
609,süß::A,ëmbël,മധുരമുള്ള
610,bitter::A,hidhur,കടുത്ത
611,sauer::A,thartë,പുളിപ്പുള്ള
612,hell::A,me dritë,ജ്വലിക്കുന്ന
613,dunkel::A,errët,ഇരുണ്ട
614,schwarz::A,i zi,കറുത്ത
615,weiß::A,bardhë,വെളുത്ത
616,rot::A,kuq,ചുവന്ന
617,gelb::A,verdhë,മഞ്ഞനിറമായ
618,blau::A,blu,നീലനിറമുള്ള
619,blau::A,kaltër,നീലനിറമുള്ള
620,grün::A,blertë,പച്ചനിറമുള്ള
621,grün::A,gjelbër,പച്ചനിറമുള്ള
622,grau::A,hirtë,ചാരനിറത്തിലുള്ള
623,grau::A,bojë hiri,ചാരനിറത്തിലുള്ള
624,bunt::A,shumëngjyrëshëm,വർണ്ണശബളമായ
625,billig::A,lirë,വിലകുറഞ്ഞ
626,teuer::A,shtrenjtë,ചെലവേറിയ
627,wertvoll::A,çmuar,വിലപിടിപ്പുള്ള
628,wertvoll::A,vlershëm,വിലപിടിപ്പുള്ള
629,blind::A,qorr,അന്ധനായ
630,blind::A,verbër,അന്ധനായ
631,taub::A,shurdhër,കേൾവിക്കുറവുള്ള
632,kräftig::A,fuqishëm,ശക്തിയുള്ള
633,stark::A,fortë,ബലമുള്ള
634,schwach::A,dobët,ക്ഷീണിച്ച
635,fett::A,dhjamur,കൊഴുപ്പുള്ള
636,schlank::A,hollë,മെലിഞ്ഞ
