,Concept_ID,ba,ku
296,Kreuz::N,тәре,xaç
297,Linie::N,һыҙыҡ,xezik
298,Strich::N,һыҙат,xezik
299,Abstand::N,ара,dûrahî
300,Entfernung::N,алыҫлыҡ,dûrahî
301,Gegend::N,урын,dever
302,Platz::N,арауыҡ,çih
303,Ort::N,ерҙәр,dever
304,Ort::N,урындар,dever
305,Ort::N,эш урыны,dever
306,Seite::N,яҡ,rûpel
307,Mitte::N,урталыҡ,nav
308,Mitte::N,урталыҡ,nabênê
309,Gegenstand::N,нәмә,tişt
310,Sache::N,нәмә,tişt
311,Sache::N,әйбер,tişt
312,Rand::N,сит,kevî
313,Kante::N,ҡабырға,kevî
314,Kante::N,ян,kevî
315,Ecke::N,мөйөш,qunç
316,Spitze::N,ос,derzî
317,Ende::N,аҙаҡ,talî
318,Loch::N,тишек,qul
319,Winkel::N,мөйөш,kurnîşk
320,Muster::N,биҙәк,desen
321,Größe::N,ҙурлыҡ,mezinî
322,Länge::N,оҙонлоҡ,dirêjahî
323,Höhe::N,бейеклек,bilindayî
324,Gewicht::N,үлсәү,giranî
325,Menge::N,һан,qas
326,Haufen::N,өйөм,lod
327,Reihe::N,рәт,rêz
328,Boot::N,кәмә,kelek
329,Ruder::N,ишкәк,bêrik
330,Schlitten::N,сана,xîjik
331,Ski::N,саңгы,lakan
332,Lagerfeuer::N,костер,agir
333,Last::N,ауырлыҡ,bar
334,Gang::N,барыу,fîtêz
335,Schritt::N,аҙым,gav
336,Norden::N,төньяҡ,bakur
337,Süden::N,көньяҡ,başur
338,Westen::N,көнбайыш,rojava
339,Osten::N,көнсығыш,rojhilat
340,Holz::N,үағас,dep
341,Brett::N,таҡта,dep
342,Platte::N,плита,dep
343,Stütze::N,терәк,destek
344,Stange::N,кәртә,sing
345,Stock::N,таяҡ,çam
346,Stab::N,ҡолға,qat
347,Rohr::N,торба,borî
348,Haus::N,өй,mal
349,Haus::N,өй,xanî
350,Haus::N,йорт,mal
351,Haus::N,йорт,xanî
352,Heim::N,өй,mal
353,Ofen::N,мейес,sobe
354,Fußboden::N,енес,binpê
355,Tisch::N,өҫтәл,mase
356,Stuhl::N,ултырғыс,kursî
357,Wiege::N,бишек,derguş
358,Bett::N,карауат,qerewêle
359,Regal::N,кәштә,rêbaz
360,Kiste::N,йәшинк,sindoq
361,Fenster::N,тәҙрә,çam
362,Fenster::N,тәҙрә,şibeke
363,Tür::N,ишек,derî
364,Tor::N,ҡапҡа,derge
365,Zaun::N,ҡойма,hejik
366,Dach::N,түбә,sere xanî
367,Dach::N,ҡыйыҡ,sere xanî
368,Leiter::N,баҫҡыс,pêling
369,Besen::N,һепертке,melkes
370,Spaten::N,көрәк,mer
371,Schaufel::N,көрәк,bêr
372,Gabel::N,сәнске,çetel
373,Löffel::N,ҡалаҡ,kevçî
374,Messer::N,бысаҡ,kêr
375,Nagel::N,сөй,bizmar
376,Netz::N,ау,tor
377,Haken::N,ыргаҡ,çenqel
378,Griff::N,тотҡа,destî
379,Schloss::N,йоҙаҡ,qonax
380,Bild::N,картина,dimen
381,Figur::N,һын,figûr
382,Puppe::N,ҡурсаҡ,bûk
383,Beutel::N,тоҡ,kîsik
384,Bündel::N,төргәк,pêçek
385,Tasche::N,сумка,bêrîk
386,Eimer::N,биҙрә,dewl
387,Deckel::N,ҡапҡас,devik
388,Geschirr::N,һауыт-һаба,ferax
389,Sack::N,тоҡ,tûr
390,Tasse::N,сынаяҡ,kada
391,Topf::N,кәстрүл,beroş
392,Kessel::N,ҡаҙан,şîril
393,Essen::N,ашау,xwarin
394,Nahrung::N,аҙыҡ,xwarin
395,Speise::N,аш,xwarin
396,Fleisch::N,ит,goşt
397,Getreide::N,иген,zad
398,Getreide::N,ашлыҡ,zad
399,Brei::N,бутҡа,hewdêl
400,Brot::N,икмәк,
401,Scheibe::N,телем,parçe
402,Fett::N,май,rûn
403,Butter::N,май,rûn
404,Öl::N,май буяуы,rûn
405,Salz::N,тоҙ,xwe
406,Suppe::N,һурпа,şorbe
407,Honig::N,бал,hingiv
408,Milch::N,һөт,şîr
409,Tee::N,сәй,çay
410,Leder::N,күн,çerm
411,Wolle::N,йөн,herî
412,Stoff::N,туҡыма,paç
413,Nadel::N,энә,derzî
414,Faden::N,еп,ta
415,Knopf::N,төймә,bişkok
416,Knoten::N,төйөн,girêk
417,Farbe::N,буяу,boyax
418,Kleidung::N,кейем,çil
419,Hemd::N,күлдәк,qutik
420,Hemd::N,күлдәк,miltan
421,Kragen::N,яға,stûvang
422,Ärmel::N,ең,hûçik
423,Hose::N,салбар,şewel
424,Gürtel::N,ҡайыш,qayiş
425,Mütze::N,бүрк,fîno
426,Schuh::N,туфли,şêkal
427,Stiefel::N,итек,gizme
428,Stiefel::N,итек,çizme
429,Ring::N,йөҙөк,xelek
430,Ring::N,балдаҡ,xelek
431,Band::N,таҫма,band
432,Kamm::N,тараҡ,şeh
433,Spiegel::N,көзгө,eynik
434,Riemen::N,ҡайыш,qayiş
435,Schnur::N,бау,doxin
436,Leine::N,бау,şirît
437,Decke::N,одеяд,bataniye
438,Kissen::N,мендәр,balgî
439,Tuch::N,яулыҡ,şar
440,Handtuch::N,таҫтамал,dezmal
441,Kraft::N,көс,hêz
442,Kraft::N,көс,qewet
443,Stärke::N,көс,xurtî
444,Gesundheit::N,һаулыҡ,nojdarî
445,Krankheit::N,сир,nexweşî
446,Krankheit::N,ауырыу,nexweşî
447,Schmerz::N,һыҙлау,êş
448,Schmerz::N,әрнеү,êş
449,Wunde::N,йәрәхәт,kul
450,Fieber::N,тапма,ta
451,Fieber::N,биҙгәк,ta
452,Arznei::N,дарыу,derman
453,Brücke::N,күпер,kopî
454,Brunnen::N,ҡоҙоҡ,çal
455,Brunnen::N,ҡоҙоҡ,kani
456,Weide::N,көтөүлек,beyar
457,Pfad::N,һуҡмаҡ,xaçirek
458,Weg::N,юл,rê
459,Straße::N,урам,rê
460,Dorf::N,ауыл,gund
461,Stadt::N,ҡала,baçar
462,Brief::N,хат,name
463,Buch::N,китап,kitêb
464,Buch::N,китап,pirtûk
465,Buch::N,кенәгә,kitêb
466,Buch::N,кенәгә,pirtûk
467,Buchstabe::N,хәреф,herf
468,Zeitung::N,гәзит,rojname
469,Leben::N,йәшәү,jiyan
470,Tod::N,үлем,mirin
471,Grab::N,ҡәбер,mezel
472,Kirche::N,сиркәү,gilyas
473,Sünde::N,гөнаһ,guneh
474,Gott::N,алла,xwedê
475,Gott::N,хоҙай,xwedê
476,Arbeiter::N,эшсе,hîşçî
477,Chef::N,башлыҡ,bêg
478,Meister::N,оҫта,hoste
479,Arzt::N,врач,doktor
480,Lehrer::N,уҡытыусы,mamoste
481,Geld::N,аҡса,pere
482,Geschäft::N,эш,firoşgeh
483,Laden::N,магазин,dikan
484,Preis::N,хаҡ,buha
485,Ware::N,тауар,tişt
486,Nutzen::N,файҙа,fêde
487,Reichtum::N,байлыҡ,serwet
488,Welt::N,донъя,dinya
489,Land::N,ил,welat
490,Staat::N,дәүләт,dewlet
491,König::N,король,şah
492,König::N,король,qral
493,Macht::N,власть,qewet
494,Macht::N,власть,destihilat
495,Grenze::N,сик,kevî
496,Krieg::N,һуғыш,çeng
497,Krieg::N,һуғыш,sêwaş
498,Feind::N,йылан,dijmin
499,Gewalt::N,көслөк,zor
500,Kampf::N,көрәш,şer
501,Bogen[Waffe]::N,йәйә,kêvan
502,Pfeil::N,уҡ,çîrik
503,Gewehr::N,мылтыҡ,tifing
504,Fehler::N,хата,şaşî
505,Lüge::N,ялған,derew
506,Schaden::N,зыян,xisar
507,Schaden::N,зарар,xisar
508,Unglück::N,ҡаза,bêbextî
509,Schuld::N,ғәйеп,suç
510,Alter::N,йәш,temen
511,Schluss::N,һуң,girtin
512,Schluss::N,аҙаҡ,girtin
513,Zeit::N,мәл,çax
514,Zeit::N,заман,çax
515,Tag::N,көн,roj
516,Morgen::N,иртә,sibeh
517,Morgen::N,иртәнсәк,sibeh
518,Mittag::N,төш,nîro
519,Abend::N,кис,êvar
520,Nacht::N,төн,şev
521,Woche::N,аҙна,heftî
522,Monat::N,ай,meh
523,Jahr::N,йыл,sal
524,Frühling::N,яҙ,bihar
525,Sommer::N,йәй,havîn
526,Herbst::N,көз,payîz
527,Winter::N,ҡыш,zistan
528,Januar::N,ғинуар,çile
529,Februar::N,февраль,sibat
530,März::N,март,adar
531,April::N,апрель,nîsan
532,Mai::N,май,gûlan
533,Juni::N,июнь,hezîran
534,Juli::N,июль,tîmeh
535,August::N,август,tebax
536,September::N,сентябрь,îlon
537,Oktober::N,октябрь,çotmeh
538,November::N,ноябрь,mijdar
539,Dezember::N,декабрь,kanûn
540,Montag::N,дүшәмбе,duşemb
541,Dienstag::N,шишәмбе,sêşem
542,Mittwoch::N,шаршамбы,çarşemb
543,Donnerstag::N,кесаҙна,pêşemb
544,Freitag::N,йома,în
545,Samstag::N,шәмбе,şemî
546,Sonntag::N,йәкшәмбе,yekşemb
547,groß::A,ҙур,mezin
548,klein::A,бәләкәс,çûçik
549,lang::A,оҙон,dirêj
550,kurz::A,ҡыҫҡа,kin
551,breit::A,киң,fireh
552,schmal::A,тар,tenik
553,dicht::A,йыш,gir
554,dicht::A,ҡуйы,gir
555,dick[Gegenstand]::A,ҡалын,şîşman
556,dünn::A,йоҡа,zirav
557,dünn::A,нәҙек,zirav
558,fein::A,нескә,tenik
559,fest::A,ныҡ,saxlem
560,flach::A,яҫы,pahn
561,flach::A,ялпаҡ,pahn
562,glatt::A,шыма,dûz
563,glatt::A,шыма,şayîk
564,hart::A,ҡаты,hişk
565,weich::A,йомшаҡ,nerm
566,rund::A,түңәрәк,gilover
567,spitz::A,осло түбәле,pîj
568,scharf::A,үткер,tûj
569,stumpf::A,утмәҫ,ne tûj
570,schwer::A,ауыр,giran
571,schön::A,матур,xweş
572,schön::A,матур,xweşik
573,heiß::A,эҫе,kelandî
574,warm::A,йылы,germ
575,kalt::A,һыуыҡ,sar
576,kühl::A,һалҡынса,jemîrî
577,frisch::A,һалҡынса,ter
578,feucht::A,еүеш,şil
579,feucht::A,дымлы,şil
580,nass::A,еүеш,şilek
581,trocken::A,кипкән,zuwa
582,voll::A,тулы,tijî
583,leer::A,буш,vala
584,offen::A,асыҡ,vekirî
585,geschlossen::A,ябыҡ,asê
586,sauber::A,таҙа,pakij
587,schmutzig::A,бысраҡ,lewitî
588,roh::A,сей,xav
589,reif::A,өлгөрғән,gihaştî
590,lecker::A,тәмле,xweş
591,süß::A,тямле,şîrîn
592,süß::A,тәм-том,şîrîn
593,bitter::A,әсе,tahl
594,sauer::A,әсе,tirş
595,hell::A,яҡты,ronî
596,dunkel::A,ҡараңғы,tarî
597,schwarz::A,ҡара,reş
598,weiß::A,аҡ,sipî
599,rot::A,матур,sor
600,rot::A,һылыу,sor
601,rot::A,сибәр,sor
602,gelb::A,һары,zer
603,blau::A,күк,şîn
604,grün::A,йәшел,şîn
605,grau::A,буҙ,gewr
606,bunt::A,сыбар,rengîn
607,bunt::A,ала-ҡола,rengîn
608,billig::A,арзан,erzan
609,teuer::A,ҡыйбатлы,biha
610,wertvoll::A,ҡиммәтле,hêja
611,wertvoll::A,ҡиммәтле,giranbiha
612,blind::A,һуҡыр,kor
613,taub::A,һаңғырау,kerr
614,kräftig::A,көслө,gir
615,kräftig::A,көслө,xurt
616,kräftig::A,ҡеүәтле,gir
617,kräftig::A,ҡеүәтле,xurt
618,stark::A,көслө,xurt
619,stark::A,ҡеүәтле,xurt
620,schwach::A,көсһөҙ,kesad
621,fett::A,һимеҙ,qelew
622,schlank::A,зифа,zirav
623,hübsch::A,матур,xweşik
624,böse::A,асыулы,xerab
625,böse::A,асыулы,aciz
626,dumm::A,иҫәр,gêj
627,faul::A,иренсәк,têmbêl
628,fleißig::A,тырыш,jêhatî
629,geizig::A,һаран,destgirtî
630,klug::A,аҡыллы,baqil
631,geschickt::A,оҫта,zîrek
632,geschickt::A,оҫта,ziring
633,lieb::A,яғымлы,delal
634,lustig::A,күңелле,kêfxweş
635,sanft::A,йыуаш,nazenîn
636,hungrig::A,ас,birçî
637,krank::A,сирле,nexweş
638,krank::A,ауырыу,nexweş
639,nackt::A,яланғас,rût
640,nackt::A,яланғас,tazî
641,traurig::A,яманһыу,xemgîn
642,lebendig::A,тере,bisaxî
643,lebendig::A,йәнле,bisaxî
644,gut::A,яҡшы,baş
645,schlecht::A,хөрт,xerab
646,schlecht::A,алама,xerab
647,richtig::A,дөрөҫ,rast
648,richtig::A,дөрөҫ,saxlem
649,schlimm::A,хөрт,nebaş
650,schlimm::A,алама,nebaş
651,wahr::A,дөрөҫ,rast
652,alt::A,иҫке,pîr
653,alt::A,иҫке,kevn
654,alt::A,боронғо,pîr
655,alt::A,боронғо,kevn
656,neu::A,яңы,nû
657,ehemalig::A,элекке,kevnar
658,ehemalig::A,элекке,peşidar
659,alt[Lebewesen]::A,ҡарт,pîr
660,jung::A,йәш,xort
661,arm::A,фәҡир,feqîr
662,arm::A,фәҡир,desteng
663,reich::A,бай,dewlemend
664,bekannt::A,таныш,naskirî
665,berühmt::A,атаҡлы,navdar
666,berühmt::A,данлыҡлы,navdar
667,fremd::A,ят,xerîb
668,fremd::A,сит,xerîb
669,verschieden::A,төрлө,çîhê
670,nah::A,яҡын,nêzîk
671,fern::A,алыҫ,dûr
672,fern::A,йыраҡ,dûr
673,linker::A,һул,çepê
674,rechter::A,уң,rastê
675,anderer::A,бутән,yê din
676,erster::A,тәүге,yekemîn
677,zweiter::A,икенсе,duda
678,dritter::A,өсөнсө,sisêya
679,letzter::A,һуңғы,paşîn
680,allein::ADV,бер үҙе,tenê
681,allein::ADV,яңғыҙ,tenê
682,auf einmal::ADV,бер юлы,jar kê
683,zusammen::ADV,бергә,tev
684,zusammen::ADV,бергә,bi hev re
685,lange::ADV,оҙаҡ,dirêj
686,plötzlich::ADV,ҡапыл,ji nişkave
687,sofort::ADV,шунда уҡ,yekser
688,später::ADV,һуңыраҡ,paşiyê
689,jetzt::ADV,хәҙер,nuha
690,heute::ADV,бөгөн,îro
691,morgen::ADV,иртәгә,sibeh
692,bald::ADV,тиҙҙән,nêzîk
693,dann::ADV,һуңынан,paşê
694,gestern::ADV,кисә,do
695,einst::ADV,ҡасандыр,jar ke
696,einst::ADV,бер баҡыт,jar ke
697,damals::ADV,ул саҡта,hîngî
698,danach::ADV,һуңынан,piştra
699,vorher::ADV,элек,pîşî
700,zuerst::ADV,башта,bere
701,einmal::ADV,бер,çarik
702,manchmal::ADV,ҡайһы берҙә,çarna
703,oft::ADV,йыш,gelek çaran
704,immer::ADV,һәр ҡасан,daîm
705,niemals::ADV,бер ҡасан да,tu çar
706,niemals::ADV,бер ваҡытта ла,tu çar
707,hier::ADV,бында,li vir
708,hierhin::ADV,бында,vir
709,von hier::ADV,бынан,ji vir
710,von hier::ADV,ошонан,ji vir
711,dort::ADV,шунда,li wê derê
712,dort::ADV,тегендә,li wê derê
713,dorthin::ADV,шунда,wêda
714,dorthin::ADV,тегеләй,wêda
715,geradeaus::ADV,тура,rastê rast
716,vorwärts::ADV,алға,ber bi pêş
717,rückwärts::ADV,кирегә,paşpê
718,zurück::ADV,кирегә,paşdo
719,zurück::ADV,кирегә,paşvê
720,unten::ADV,түбәндә,jêrî
721,hinab::ADV,түбәнгә,berjêr
722,oben::ADV,юғарыла,banî
723,hinauf::ADV,юғарыға,banî
724,überall::ADV,бөтә урында,li her derê
725,nicht::ADV,тугел,ne
726,nicht::ADV,тугел,nîn
727,nicht::ADV,тугел,tine
728,ein wenig::ADV,аҙ,hebkî
729,kaum::ADV,көскә,tema
730,kaum::ADV,көскә,himangi
731,kaum::ADV,саҡ-саҡ,tema
732,kaum::ADV,саҡ-саҡ,himangi
733,sehr::ADV,ифат,gelek
734,so::ADV,шулай,weha
735,noch::ADV,йәнә,hêj
736,noch::ADV,йәнә,dîsa
737,nur::ADV,бары,tenê
738,nur::ADV,бары,bes
739,schon::ADV,инде,hew
740,wieder::ADV,тағы,jar din
741,wieder::ADV,тағы,dîsa
742,vergebens::ADV,бушҡа,deya çun
743,vergebens::ADV,бушҡа,îfleh bûn
744,vor::PRP,алдында,li ber
745,hinter::PRP,артында,li pişt
746,unter::PRP,аҫтында,li bin
747,durch::PRP,үтә,kura
748,neben::PRP,эргәһендә,li ba
749,zwischen::PRP,араһында,nabeyne
750,zwischen::PRP,араһында,di nav...da
751,wegen::PRP,өсөн,ji bo
752,wegen::PRP,өсөн,ji ber
753,wegen::PRP,сәбәпле,ji bo
754,wegen::PRP,сәбәпле,ji ber
755,dies::PRN,был,ev
756,dies::PRN,ошо,ev
757,das::PRN,ул,ev
758,alles::PRN,бөтә,hemû
759,ich::PRN,мин,ez
760,du::PRN,һин,tu
761,er::PRN,ул,wî
762,wir::PRN,беҙ,êm
763,ihr::PRN,һеҙ,hûn
764,sie::PRN,улар,we
765,was::FPRN,ә,çi
