,Concept_ID,lbe,br
113,Blume::N,тӏутӏи,bleunienn
114,Gras::N,уртту,geot
115,Wurzel::N,мархха,gwrizienn
116,Baum::N,мурхь,gwezenn
117,Stamm::N,ттарцӏ,kef
118,Rinde::N,ккамара,rusk
119,Ast::N,матӏи,barr
120,Zweig::N,къяртта,bod
121,Blatt::N,чӏапӏи,delienn
122,Birke::N,кӏялахӏи,bezvenn
123,Birke::N,кӏялахӏилул мурхь,bezvenn
124,Kiefer[Baum]::N,ттар,pinenn
125,Kiefer[Baum]::N,ттарлил мурхь,pinenn
126,Weide[Baum]::N,щавщи,halegenn
127,Tanne::N,ттарлил мурхь,sapenn
128,Horn::N,хъи,korn
129,Feder::N,лелуххул тӏиму,pluñv
130,Fell::N,бурчу,kreoñ
131,Flügel::N,хъа,askell
132,Flügel::N,ххурупӏайрал тӏиму,askell
133,Klaue::N,михь,skilf
134,Kralle::N,ххяппа,skilf
135,Schwanz::N,магъ,lost
136,Ei::N,ккунук,vi
137,Nest::N,кюру,neizh
138,Bau::N,цукъуккутӏ,douarenn
139,Tier::N,хӏайван,loen
140,Herde::N,газу,tropell
141,Kuh::N,оьл,buoc'h
142,Bulle::N,ниц,tarv
143,Pferd::N,чу,marc'h
144,Schaf::N,тта,dañvad
145,Schwein::N,дунгъуз,pemoc'h
146,Hund::N,ккаччи,ki
147,Katze::N,ччиту,kazh
148,Bär::N,цуша,arzh
149,Eichhörnchen::N,бюрхттукку,gwiñver
150,Elch::N,ниц-бюрин,karv-dour
151,Fuchs::N,цулчӏа,louarn
152,Fuchs::N,куча цулчӏа,louarn
153,Hase::N,бюрх,gad
154,Maus::N,кӏулу,logodenn
155,Wolf::N,барцӏ,bleiz
156,Vogel::N,лелуххи,labous
157,Schwarm::N,гьухъала,nijad
158,Huhn::N,аьнакӏи,yar
159,Hahn::N,ажари,kilhog
160,Gans::N,къаз,gwazenn
161,Adler::N,барзу,erer
162,Ente::N,урдак,houad
163,Eule::N,ису,toud
164,Eule::N,ччиккумяв,toud
165,Kranich::N,кьурукь,garan
166,Krähe::N,хъатӏу,bran
167,Kuckuck::N,ччикку,koukoug
168,Schwan::N,урттил къаз,alarc'h
169,Fisch::N,чавахъ,pesk
170,Schlange[Tier]::N,шатта,naer
171,Wurm::N,кьюнукьай шатта,preñv
172,Spinne::N,ххялцу,kevnidenn
173,Ameise::N,митӏикьукьу,merion
174,Mücke::N,мичӏак,moustik
175,Fliege::N,зимиз,kelienenn
176,Schmetterling::N,чӏимучӏали,balafenn
177,Beere::N,хӏаллил ахъулсса,hog
178,Apfel::N,гьивч,aval
179,Pilz::N,ттуккул иис,kabell-touseg
180,Zwiebel::N,лаччул чсмусул бакӏ,ognonenn
181,Saat::N,гьанна,had
182,Korn::N,къама,ed
183,Heu::N,ххулув,foenn
184,Schale::N,ккиртту,peliadur
185,Grube::N,кӏаланг,
186,Falle::N,къатӏа,pech
187,Schlinge::N,хӏатӏ,krouglas
188,Spur::N,ша,
189,Asche::N,лах,ludu
190,Dreck::N,кьяркьи,fank
191,Dreck::N,венп,fank
192,Eisen::N,мах,houarn
193,Gold::N,муси,aour
194,Silber::N,арцу,arc'hant
195,Kohle::N,кӏалаш,glaou
196,Kohle::N,хъуручӏ,glaou
197,Glas::N,пюрун,gwer
198,Lehm::N,сина аьрщи,
199,Sand::N,къун,traezh
200,Mensch::N,инсан,den
201,Mann::N,чув,den
202,Mann::N,адимина,den
203,Frau::N,щарсса,maouez
204,Frau::N,хъамитайпа,maouez
205,Kind::N,чӏиви оьрчӏ,bugel
206,Junge::N,оьрчӏ,paotr
207,Junge::N,бурхьин оьрчӏ,paotr
208,Mädchen::N,душ,plac'h
209,Familie::N,кулпат,familh
210,Großvater::N,ттатта,tad-kozh
211,Großvater::N,ниттил ппу,tad-kozh
212,Großmutter::N,буттал нину,mamm-gozh
213,Eltern::N,нину-ппу,kerent
214,Vater::N,ппу,tad
215,Mutter::N,нину,mamm
216,Sohn::N,арс,mab
217,Tochter::N,душ,merc'h
218,Bruder::N,уссу,breur
219,Schwester::N,ссу,c'hoar
220,Onkel::N,буттауссу,eontr
221,Tante::N,буттал ссу,moereb
222,Ehemann::N,лас,gwaz
223,Ehefrau::N,щар,gwreg
224,Ehefrau::N,щарсса,gwreg
225,Freude::N,шадшиву,levenez
226,Freude::N,ххаришиву,levenez
227,Gelächter::N,хъяхъаву,c'hoarzherezh
228,Glück::N,талихӏ,chañs
229,Kummer::N,дард,doan
230,Wunsch::N,мурад,c'hoant
231,Lust::N,гьавас,c'hoant
232,Lust::N,ччаву,c'hoant
233,Geist::N,рухӏ,spered
234,Gedanke::N,пикри,soñj
235,Gedächtnis::N,дакӏний личӏаву,eñvor
236,Verstand::N,аькьлу,skiant
237,Sinn::N,мяъна,ster
238,Grund::N,багьана,kaoz
239,Wahrheit::N,тӏайламур,gwirionez
240,Wahrheit::N,хӏакьмур,gwirionez
241,Gespräch::N,ихтилат,kaozeadenn
242,Märchen::N,магьа,kaoz korriganez
243,Erzählung::N,хавар,kontadenn
244,Nachricht::N,хавар,keloù
245,Neuigkeit::N,хавар,kelaouenn
246,Name::N,цӏа,anv
247,Rätsel::N,ссигьа,divinatez
248,Rede::N,гъалгъа,diskour
249,Sprache::N,маз,yezh
250,Stimme::N,чӏу,mouezh
251,Stimme::N,чӏукӏа,mouezh
252,Wort::N,махъ,ger
253,Zeichen::N,лишан,sin
254,Lärm::N,чӏу,trouz
255,Laut::N,чӏу,
256,Ton::N,чӏу,ton
257,Lied::N,балай,kanaouenn
258,Ruhe::N,дигьалагру,sioulded
259,Leute::N,инсантал,tud
260,Volk::N,ил,pobl
261,Volk::N,халкь,pobl
262,Arbeit::N,заву,labour
263,Gast::N,хъамаличу,kouviad
264,Geschenk::N,бухчакарши,prof
265,Geschenk::N,лажинккакку,prof
266,Spiel::N,тӏуркӏу,c'hoari
267,Gesellschaft::N,жямат,kompagnunezh
268,Gesellschaft::N,жямат,kavandad
269,Gesellschaft::N,ккуран,kompagnunezh
270,Gesellschaft::N,ккуран,kavandad
271,Hilfe::N,кумаг,sikour
272,Freund::N,дус,mignon
273,Kamerad::N,хӏаласу,kamarad
274,Angelegenheit::N,иш,afer
275,Anzahl::N,аьдад,niver
276,Art::N,жинс,sort
277,Stück::N,касак,tamm
278,Teil::N,бутӏа,pezh
279,Hälfte::N,дачӏи,hanterenn
280,Kreis::N,кюрщан,kelc'h
281,Kreuz::N,ххач,kroaz
282,Linie::N,щва,linenn
283,Strich::N,щва,tenn
284,Abstand::N,манзил,distok
285,Entfernung::N,манзил,keid
286,Entfernung::N,манзил,kehid
287,Gegend::N,кӏану,korn-bro
288,Ort::N,кӏану,lec'h
289,Seite::N,чул,tu
290,Seite::N,чулухалу,tu
291,Mitte::N,дя,kreiz
292,Gegenstand::N,зат,tra
293,Sache::N,зат,tra
294,Rand::N,зума,kantenn
295,Ecke::N,мурцӏу,korn
296,Spitze::N,мицӏ,begell
297,Ende::N,зума,dibenn
298,Loch::N,ккутӏ,toull
299,Winkel::N,мурцӏу,
300,Muster::N,накьич,tresadenn
301,Länge::N,лахъишиву,hirder
302,Höhe::N,лахъшиву,uhelder
303,Gewicht::N,дуццин,pouez
304,Gewicht::N,кӏушиву,pouez
305,Haufen::N,бакӏу,bern
306,Reihe::N,кьюкьа,steud
307,Boot::N,луткка,bag
308,Ruder::N,весло,roeñv
309,Ruder::N,чӏатӏа,roeñv
310,Schlitten::N,чана,trainell
311,Schlitten::N,санкка,trainell
312,Ski::N,лижарду,ski
313,Lagerfeuer::N,къавтӏн,
314,Last::N,гьиву,karg
315,Gang::N,нанаву,kerzh
316,Schritt::N,ша,paz
317,Norden::N,ухссав,norzh
318,Norden::N,ухссав,hanternoz
319,Norden::N,ухссавнил чулухалу,norzh
320,Norden::N,ухссавнил чулухалу,hanternoz
321,Süden::N,кьилва,su
322,Süden::N,кьилва,kreisteiz
323,Westen::N,баргълагавал,kuzh-heol
324,Westen::N,баргълагавал чул,kuzh-heol
325,Osten::N,баргъбуккай чулухалу,reter
326,Osten::N,баргъбуккай чулухалу,sav-heol
327,Holz::N,тӏама,koad
328,Brett::N,тахта,plankenn
329,Platte::N,гъуни,plakenn
330,Stütze::N,гьалакӏу,harp
331,Stange::N,къазихъ,sparl
332,Stock::N,ттархь,bazh
333,Stab::N,ччантӏакъу,bazh
334,Rohr::N,бургъу,tub
335,Rohr::N,бургъу,korz
336,Haus::N,къатта,ti
337,Heim::N,къатта,kêr
338,Ofen::N,пач,forn
339,Fußboden::N,чӏанкъатта,plañchod
340,Tisch::N,усттул,taol
341,Stuhl::N,кӏану,kador
342,Wiege::N,оьрчӏал кӏану,kavell
343,Bett::N,тах,gwele
344,Regal::N,чӏаму,estajerenn
345,Kiste::N,яшикӏ,kased
346,Kiste::N,къурши,kased
347,Fenster::N,чӏавахьулу,prenestr
348,Tür::N,нуз,dor
349,Tür::N,нузкьун,dor
350,Tor::N,къапу,portal
351,Tor::N,дарваза,portal
352,Zaun::N,дайгьузанну,sklotur
353,Dach::N,магъи,toenn
354,Dach::N,цӏиялу,toenn
355,Leiter::N,чуртту,skeul
356,Besen::N,чӏатлу,skubell
357,Spaten::N,бил,pal
358,Schaufel::N,чӏатӏа,pal
359,Gabel::N,гьиссилу,fourchetez
360,Löffel::N,къуса,loa
361,Messer::N,чӏила,kontell
362,Nagel::N,мяр,tach
363,Netz::N,къери,roued
364,Haken::N,къича,krog
365,Griff::N,куяму,kemer
366,Schloss::N,кьункьула,potenn
367,Bild::N,сурат,skeudenn
368,Puppe::N,ссихьу,merc'hodenn
369,Beutel::N,чантай,sac'h
370,Bündel::N,гьи,feskenn
371,Bündel::N,къар,feskenn
372,Eimer::N,бадра,sailh
373,Deckel::N,къапаза,pallenn
374,Geschirr::N,пюрунчӏул,listriaj
375,Geschirr::N,тӏахӏникӏичӏу,listriaj
376,Sack::N,къап,sac'h
377,Sack::N,дарваг,sac'h
378,Tasse::N,пижан,tas
379,Tasse::N,пинжан,tas
380,Tasse::N,инкираччатӏи,tas
381,Tasse::N,цинцилттал бушкъап,tas
382,Topf::N,кӏункӏур,pod
383,Kessel::N,чаг,chaodouron
384,Kessel::N,кӏункӏур,chaodouron
385,Essen::N,дукия,pred
386,Essen::N,дукин,pred
387,Nahrung::N,дукра,boued
388,Speise::N,дукра,meuz
389,Fleisch::N,дикӏ,kig
390,Getreide::N,къама,ed
391,Brei::N,ккурч,yod
392,Brot::N,ччатӏ,bara
393,Scheibe::N,парча,tailhenn
394,Fett::N,аьгъушиву,lard
395,Butter::N,нагь,amann
396,Butter::N,лагаву,amann
397,Salz::N,цӏву,holen
398,Suppe::N,накь,soubenn
399,Honig::N,ницӏ,mel
400,Milch::N,накӏ,laezh
401,Tee::N,чяй,te
402,Leder::N,бурчу,lêr
403,Wolle::N,ппал,gloan
404,Stoff::N,янна,danvez
405,Nadel::N,ххалаххи,nadoz
406,Faden::N,ххал,neudenn
407,Knopf::N,банд,bouton
408,Knoten::N,къурхъ,skoulm
409,Farbe::N,сир,liv
410,Kleidung::N,янна,dilhad
411,Kleidung::N,лаххия,dilhad
412,Hemd::N,гьухъа,roc'hed
413,Kragen::N,дарвач,gouzoug
414,Ärmel::N,кахха,milgin
415,Hose::N,хӏажак,bragoù
416,Gürtel::N,мухӏлу,gouriz
417,Mütze::N,кьяпа,boned
418,Stiefel::N,чакма,botez
419,Ring::N,кӏисса,gwalenn
420,Band::N,линт,bagad
421,Kamm::N,ттарал,krib
422,Spiegel::N,дагьани,melezour
423,Riemen::N,эн,lerenn
424,Schnur::N,хьхьа,kordenn
425,Decke::N,виргъан,golo
426,Kissen::N,кӏаралу,goubenner
427,Tuch::N,карщи,mezher
428,Handtuch::N,калихьу,toailhon
429,Handtuch::N,лажинлихьу,toailhon
430,Kraft::N,эллаж,nerzh
431,Stärke::N,гуж,nerzhder
432,Gesundheit::N,цӏуллу-сагъшиву,yec'hed
433,Krankheit::N,къашайшиву,klañved
434,Schmerz::N,къюву,poan
435,Schmerz::N,къюву,droug
436,Wunde::N,щаву,gloazadenn
437,Fieber::N,кӏиришиву,terzhienn
438,Arznei::N,дару,louzoù
439,Brücke::N,ламу,pont
440,Brunnen::N,къуй,puñs
441,Weide::N,бизантту,prad
442,Pfad::N,жегъир ххуллу,gwenodenn
443,Weg::N,ххуллу,hent
444,Straße::N,ххуллу,ru
445,Straße::N,ххуллу,hent
446,Dorf::N,щар,kêr
447,Dorf::N,щар,kêriadenn
448,Dorf::N,шяравалу,kêr
449,Dorf::N,шяравалу,kêriadenn
450,Stadt::N,шагьру,kêr
451,Brief::N,чагъар,lizher
452,Buch::N,лу,levr
453,Buchstabe::N,хӏарп,lizherenn
454,Zeitung::N,кказит,kazetenn
455,Leben::N,оьрму,buhez
456,Tod::N,ажал,marv
457,Tod::N,бивкӏу,marv
458,Tod::N,ивчӏаву,marv
459,Grab::N,гьав,bez
460,Kirche::N,килиса,iliz
461,Sünde::N,бунагъ,pec'hed
462,Gott::N,зал,doue
463,Arbeiter::N,зузала,labourer
464,Arbeiter::N,зузала,micherour
465,Chef::N,ялувма,penn
466,Meister::N,усттар,mestr
467,Arzt::N,хӏакин,mezeg
468,Arzt::N,хӏакин,medisin
469,Lehrer::N,учитель,skolaer
470,Lehrer::N,учитель,kelenner
471,Geld::N,арцу,arc'hant
472,Geschäft::N,даву,stal
473,Laden::N,ттучан,stal
474,Preis::N,багъа,priz
475,Ware::N,хъус,marc'hadourezh
476,Nutzen::N,хайр,gounidegezh
477,Nutzen::N,хайр,lañs
478,Nutzen::N,хайр,profit
479,Nutzen::N,хайр,spleit
480,Nutzen::N,мюнпат,gounidegezh
481,Nutzen::N,мюнпат,lañs
482,Nutzen::N,мюнпат,profit
483,Nutzen::N,мюнпат,spleit
484,Reichtum::N,давлат,pinvidigezh
485,Reichtum::N,аваданшиву,pinvidigezh
486,Welt::N,дуниял,douar
487,Land::N,билаят,bro
488,Staat::N,паччахӏлугъ,stad
489,Macht::N,власть,galloud
490,Grenze::N,дазу,harzoù
491,Krieg::N,дяъви,brezel
492,Feind::N,душман,eneber
493,Gewalt::N,къия,tâerder
494,Kampf::N,лачӏуи уккаву,kann
495,Bogen[Waffe]::N,ккуртта,gwareg
496,Pfeil::N,чӏатӏаракӏ,saezh
497,Gewehr::N,ттупанг,fuzuilh
498,Fehler::N,гъалатӏ,fazi
499,Lüge::N,щялмахъ,gaou
500,Schaden::N,зарал,gwall
501,Unglück::N,бала,gwalleur
502,Schuld::N,тахсир,kablusted
503,Schuld::N,тахсир,pec'hedigezh
504,Alter::N,оьрму,oad
505,Schluss::N,ахир,diwezh
506,Zeit::N,чӏун,amzer
507,Tag::N,кьини,deizh
508,Morgen::N,кӏюрх,beure
509,Morgen::N,кӏюрх,mintin
510,Mittag::N,ахттайн,kreisteiz
511,Mittag::N,дяахттайн,kreisteiz
512,Mittag::N,ахттайн чӏун,kreisteiz
513,Abend::N,маркӏачӏан,abardaez
514,Nacht::N,хьхьу,noz
515,Woche::N,нюжмар,sizhun
516,Monat::N,барз,miz
517,Jahr::N,шин,bloaz
518,Frühling::N,инт,nevezamzer
519,Sommer::N,гъи,hañv
520,Herbst::N,ссут,diskaramzer
521,Winter::N,кӏи,goañv
522,Januar::N,цалчинмур барз,Genver
523,Februar::N,кӏилчинмур барз,C'hwevrer
524,März::N,шамилчинмур барз,Meurzh
525,April::N,апрель,Ebrel
526,April::N,мукьилчинмур барз,Ebrel
527,Mai::N,май,Mae
528,Mai::N,ххюлчинмур барз,Mae
529,Juni::N,июнь,Mezheven
530,Juni::N,ряххилчинмур барз,Mezheven
531,Juli::N,июль,Gouhere
532,Juli::N,Арулчинмур барз,Gouhere
533,August::N,мяйлчинмур барз,Eost
534,September::N,урчӏилчинмур барз,Gwengolo
535,Oktober::N,ацӏилчинмур барз,Here
536,November::N,ацӏния цалчинмур барз,Du
537,Dezember::N,ацӏния кӏилчинмур барз,Kerzu
538,Montag::N,итин,Lun
539,Montag::N,итин кьини,Lun
540,Dienstag::N,тталат,Meurzh
541,Dienstag::N,тталат кьини,Meurzh
542,Mittwoch::N,арвахӏ,Merc'her
543,Donnerstag::N,хамис,Yaou
544,Freitag::N,нюжмар,Gwener
545,Freitag::N,нюжмар кьини,Gwener
546,Samstag::N,ххуллун,Sadorn
547,Samstag::N,ххуллун кьини,Sadorn
548,Sonntag::N,алхӏат,Sul
549,Sonntag::N,алхӏат кьини,Sul
550,groß::A,бугъарасса,bras
551,klein::A,чӏивисса,bihan
552,lang::A,лахъисса,hir
553,kurz::A,кутӏасса,berr
554,breit::A,уттасса,ledan
555,schmal::A,уттакӏюласса,strizh
556,dicht::A,ццунсса,stank
557,dick[Gegenstand]::A,ганзсса,tev
558,dünn::A,кӏюласса,moan
559,fest::A,цӏакьсса,start
560,fest::A,кьянкьасса,start
561,flach::A,баягъисса,plaen
562,flach::A,цӏубакъасса,plaen
563,flach::A,куртӏ дакъасса,plaen
564,glatt::A,дюрчӏусса,lintr
565,glatt::A,дюрчӏусса,levn
566,hart::A,кьянкьасса,kalet
567,weich::A,кӏукӏлусса,blot
568,rund::A,ккурккисса,ront
569,spitz::A,ярксса,poentet
570,spitz::A,дайлсса,poentet
571,spitz::A,мицӏ бусса,poentet
572,scharf::A,ярксса,dremm
573,scharf::A,дайлсса,dremm
574,scharf::A,мицӏ бусса,dremm
575,stumpf::A,къуркъасса,talsoc'h
576,schwer::A,кӏусса,pounner
577,schön::A,аьнтӏикӏасса,kaer
578,heiß::A,кӏирисса,tomm
579,warm::A,гъелисса,tomm
580,kalt::A,дяркъусса,yen
581,kühl::A,дюхлулсса,yen
582,frisch::A,цӏусса,fresk
583,feucht::A,атилсса,gleb
584,feucht::A,хъавтусса,gleb
585,nass::A,атилсса,gleb
586,nass::A,хъавтусса,gleb
587,trocken::A,кьавкьсса,sec'h
588,trocken::A,кьакьан бувсса,sec'h
589,voll::A,бувцӏусса,leun
590,leer::A,бачӏвасса,goullo
591,offen::A,тӏивтӏусса,digor
592,geschlossen::A,лавкьусса,serr
593,sauber::A,марцӏсса,naet
594,schmutzig::A,чапалсса,lous
595,roh::A,шакъавхьсса,kriz
596,reif::A,дирсса,darev
597,lecker::A,нахӏусса,lipous
598,lecker::A,нахӏусса,saourus
599,lecker::A,тӏааьнсса,lipous
600,lecker::A,тӏааьнсса,saourus
601,süß::A,нацӏусса,dous
602,bitter::A,кьурчӏисса,c'hwerv
603,sauer::A,туршсса,trenk
604,hell::A,чаннасса,sklaer
605,dunkel::A,цӏансса,teñval
606,schwarz::A,лухӏисса,du
607,weiß::A,кӏяласса,gwenn
608,rot::A,ятӏулсса,ruz
609,gelb::A,хъахъисса,melen
610,blau::A,някӏсса,glas
611,grün::A,щюлисса,gwer
612,grau::A,оьрусса,louet
613,bunt::A,оьрчӏикӏурисса,liesliv
614,billig::A,кьювкьусса,marc'had-mat
615,teuer::A,ххирасса,ker
616,wertvoll::A,багьасса,prizius
617,blind::A,мурчӏисса,dall
618,taub::A,къюкӏсса,bouzar
619,kräftig::A,гужсса,start
620,stark::A,кьянкьасса,kreñv
621,schwach::A,заэвсса,gwan
622,fett::A,бучсса,lard
623,schlank::A,бювхъусса,sinkl
624,hübsch::A,янусса,koant
625,böse::A,оьсса,gwall
626,dumm::A,ахӏмакьсса,glep
627,faul::A,танмалсса,lezirek
628,faul::A,курчӏилсса,lezirek
629,fleißig::A,хӏарачат бусса,studius
630,geizig::A,янттарцӏансса,tost
631,klug::A,аькьлу бусса,speredek
632,geschickt::A,паргалсса,dornet
633,lieb::A,аьзизсса,koant
634,lustig::A,тяхъасса,laouen
635,sanft::A,иминсса,flour
636,hungrig::A,ккашилсса,marnaon
637,krank::A,къашавайсса,klañv
638,nackt::A,кӏачӏасса,noazh
639,traurig::A,пашмансса,trist
640,lebendig::A,уттавасса,bev
641,gut::A,ххуйсса,mad
642,schlecht::A,оьккисса,fall
643,schlecht::A,оьккисса,gwall
644,richtig::A,саргъунсса,reizh
645,schlimm::A,оьккисса,gwall
646,wahr::A,хӏакьсса,gwir
647,alt::A,кугьнасса,kozh
648,neu::A,цӏусса,nevez
649,ehemalig::A,хъхъичӏвасса,kozh
650,alt[Lebewesen]::A,агьилсса,kozh
651,jung::A,чӏавасса,yaouank
652,jung::A,жагьилсса,yaouank
653,arm::A,мискинсса,paour
654,reich::A,авадансса,pinvidik
655,bekannt::A,дусъсса,anavezet
656,berühmt::A,машгьурсса,brudet
657,fremd::A,чил,dizanav
658,verschieden::A,личӏи-личӏисса,disheñel
659,nah::A,гъансса,nes
660,fern::A,архсса,diabell
661,linker::A,кияхсса,kleiz
662,linker::A,кюччахсса,kleiz
663,rechter::A,урчӏахсса,dehoù
664,anderer::A,цамур,all
665,erster::A,цалчинмур,kentañ
666,erster::A,цалчиннсса,kentañ
667,zweiter::A,кӏилчиимур,eil
668,dritter::A,шамулчинмур,trede
669,letzter::A,махъва-махъмур,diwezhañ
670,allein::ADV,ялгъузну,e-unan
671,zusammen::ADV,цачӏу,asambles
672,zusammen::ADV,архӏал,asambles
673,lange::ADV,батӏи къабуклай,pell
674,lange::ADV,хъунмасса хӏаллай,pell
675,plötzlich::ADV,цакуну,en un taol
676,sofort::ADV,мугьлат бакъа,diouzhtu
677,später::ADV,махъ,diwezhatoc'h
678,jetzt::ADV,утти,bremañ
679,jetzt::ADV,цӏана,bremañ
680,heute::ADV,хӏакьину,hiziv
681,morgen::ADV,гьуит,arc'hoazh
682,morgen::ADV,гьунттий,arc'hoazh
683,dann::ADV,яла,a-c'houde
684,gestern::ADV,лахьхьу,dec'h
685,damals::ADV,та чӏумал,neuze
686,danach::ADV,яла,goude
687,vorher::ADV,хьхьнчӏ,diagent
688,vorher::ADV,хьхьичӏва,diagent
689,zuerst::ADV,бакӏрай,da gentañ
690,zuerst::ADV,цӏу бутӏуй,da gentañ
691,einmal::ADV,цал,ur wech
692,manchmal::ADV,ваксса-таксса,a-wechoù
693,oft::ADV,чӏявуну,alies
694,immer::ADV,мудан,atav
695,immer::ADV,мудан,bepred
696,immer::ADV,даиман,atav
697,immer::ADV,даиман,bepred
698,niemals::ADV,тачӏав,gwech ebet
699,hier::ADV,шикку,amañ
700,hierhin::ADV,шиккун,dre amañ
701,von hier::ADV,шичча,alemañ
702,dort::ADV,гикку,aze
703,dort::ADV,гикку,ahont
704,dorthin::ADV,тиккун,di
705,dorthin::ADV,тиккун,aze
706,dorthin::ADV,тиккун,ahont
707,geradeaus::ADV,тӏайланм,war-eeun
708,vorwärts::ADV,хьхьичӏунмай,war-raok
709,rückwärts::ADV,махъа-хьхьичӏунмай,war-lerc'h
710,zurück::ADV,махъунмай,war-dreñv
711,unten::ADV,лув,en traoñ
712,hinab::ADV,бакӏ-ялавай,a-izel
713,hinab::ADV,бакӏъялавай,a-izel
714,oben::ADV,ялув,en nec'h
715,hinauf::ADV,лавай,e-krec'h
716,überall::ADV,гьариий,dre-holl
717,überall::ADV,хьу-хьуний,dre-holl
718,überall::ADV,гьарца кӏанай,dre-holl
719,nicht::ADV,къа-,ne ... ket
720,ein wenig::ADV,чанни,un tammig
721,ein wenig::ADV,ца чансса,un tammig
722,kaum::ADV,дахьа,a-boan
723,sehr::ADV,оьну,-tre
724,sehr::ADV,оьну,-kenañ
725,sehr::ADV,гужну,-tre
726,sehr::ADV,гужну,-kenañ
727,sehr::ADV,хъинну,-tre
728,sehr::ADV,хъинну,-kenañ
729,so::ADV,укукн,evel-se
730,noch::ADV,гьала,c'hoazh
731,noch::ADV,уттигу,c'hoazh
732,noch::ADV,цакьинва,c'hoazh
