,Concept_ID,lv,no
122,Leber::N,мус,lever
123,Leber::N,aknas,lever
124,Atem::N,лов,pust
125,Atem::N,elpa,pust
126,Hunger::N,тшыг,sult
127,Hunger::N,bads,sult
128,Hunger::N,izsalkums,sult
129,Träne::N,синва,tåre
130,Träne::N,asara,tåre
131,Geschmack::N,кӧр,smak
132,Geschmack::N,чӧсмӧс,smak
133,Geschmack::N,garša,smak
134,Geruch::N,зын,lukt
135,Geruch::N,дук,lukt
136,Geruch::N,smaka,lukt
137,Schlaf::N,узьӧм,søvn
138,Schlaf::N,miegs,søvn
139,Traum::N,вӧт,drøm
140,Traum::N,вӧтасьӧм,drøm
141,Traum::N,sapnis,drøm
142,Himmel::N,енэж,himmel
143,Himmel::N,debess,himmel
144,Sonne::N,шонді,sol
145,Sonne::N,saule,sol
146,Mond::N,тӧлысь,måne
147,Mond::N,mēness,måne
148,Stern::N,кодзув,stjerne
149,Stern::N,zvaigzne,stjerne
150,Luft::N,сынӧд,luft
151,Luft::N,gaiss,luft
152,Wind::N,тӧв,vind
153,Wind::N,vējš,vind
154,Welle::N,гы,bølge
155,Welle::N,vilnis,bølge
156,Wasser::N,ва,vann
157,Wasser::N,ūdens,vann
158,Stein::N,из,stein
159,Stein::N,akmens,stein
160,Boden::N,му,bakke
161,Boden::N,augsne,bakke
162,Erde::N,му,jord
163,Erde::N,му-ва,jord
164,Erde::N,zeme,jord
165,Staub::N,бус,støv
166,Staub::N,putekļi,støv
167,Rauch::N,тшын,røyk
168,Rauch::N,dūmi,røyk
169,Funke::N,кинь,gnist
170,Funke::N,би кинь,gnist
171,Funke::N,dzirkstele,gnist
172,Feuer::N,би,ild
173,Feuer::N,uguns,ild
174,Licht::N,югӧр,lys
175,Licht::N,gaisma,lys
176,Schatten::N,вуджӧр,skygge
177,Schatten::N,ēna,skygge
178,Wetter::N,поводдя,vær
179,Wetter::N,laiks,vær
180,Nebel::N,ру,tåke
181,Nebel::N,онь,tåke
182,Nebel::N,migla,tåke
183,Wolke::N,кымӧр,sky
184,Wolke::N,mākonis,sky
185,Regen::N,зэр,regn
186,Regen::N,lietus,regn
187,Schnee::N,лым,snø
188,Schnee::N,sniegs,snø
189,Eis::N,йи,is
190,Eis::N,ledus,is
191,Frost::N,кӧдзыд,frost
192,Frost::N,sals,frost
193,Kälte::N,кӧдзыд,kulde
194,Kälte::N,saltums,kulde
195,Kälte::N,aukstums,kulde
196,Hitze::N,пӧсь,hete
197,Hitze::N,гожӧд,hete
198,Hitze::N,karstums,hete
199,Raureif::N,пуж,rimfrost
200,Raureif::N,гыӧр,rimfrost
201,Raureif::N,sarma,rimfrost
202,Regenbogen::N,ӧшкамӧшка,regnbue
203,Regenbogen::N,varavīksne,regnbue
204,Donner::N,гым,torden
205,Donner::N,pērkons,torden
206,Strömung::N,ва ныр,strømning
207,Strömung::N,визувтӧм,strømning
208,Strömung::N,straume,strømning
209,Strömung::N,strāvojums,strømning
210,Tropfen::N,войт,dråpe
211,Tropfen::N,lāse,dråpe
212,Schaum::N,быг,skum
213,Schaum::N,быгзьӧм,skum
214,Schaum::N,putas,skum
215,Schmutz::N,няйт,søl
216,Schmutz::N,няйт,skitt
217,Schmutz::N,dubļi,søl
218,Schmutz::N,dubļi,skitt
219,See::N,ты,sjø
220,See::N,ezers,sjø
221,Sumpf::N,гыбад,sump
222,Sumpf::N,гыбад,myrlende
223,Sumpf::N,кад,sump
224,Sumpf::N,кад,myrlende
225,Sumpf::N,dumbrājs,sump
226,Sumpf::N,dumbrājs,myrlende
227,Sumpf::N,staignājs,sump
228,Sumpf::N,staignājs,myrlende
229,Moor::N,нюр,myr
230,Moor::N,нюр,myrhei
231,Moor::N,purvs,myr
232,Moor::N,purvs,myrhei
233,Moor::N,muklājs,myr
234,Moor::N,muklājs,myrhei
235,Wiese::N,видз,eng
236,Wiese::N,pļava,eng
237,Wald::N,вӧр,skog
238,Wald::N,mežs,skog
239,Hügel::N,дзиб,haug
240,Hügel::N,дзиб,bakke
241,Hügel::N,мыльк,haug
242,Hügel::N,мыльк,bakke
243,Hügel::N,нӧрыс,haug
244,Hügel::N,нӧрыс,bakke
245,Hügel::N,paugurs,haug
246,Hügel::N,paugurs,bakke
247,Anhöhe::N,мыльк,haug
248,Anhöhe::N,мыльк,bakke
249,Anhöhe::N,нӧрыс,haug
250,Anhöhe::N,нӧрыс,bakke
251,Anhöhe::N,paugurs,haug
252,Anhöhe::N,paugurs,bakke
253,Berg::N,чой,berg
254,Berg::N,чой,fjell
255,Berg::N,керӧс,berg
256,Berg::N,керӧс,fjell
257,Berg::N,kalns,berg
258,Berg::N,kalns,fjell
259,Gipfel::N,чук,topp
260,Gipfel::N,virsotne,topp
261,Höhle::N,рудӧг,hule
262,Höhle::N,ala,hule
263,Abhang::N,ньывк,li
264,Abhang::N,ньывк,skråning
265,Abhang::N,бокша,li
266,Abhang::N,бокша,skråning
267,Abhang::N,nogāze,li
268,Abhang::N,nogāze,skråning
269,Quelle::N,ӧшмӧс,kilde
270,Quelle::N,avots,kilde
271,Bach::N,шор,bekk
272,Bach::N,urga,bekk
273,Bach::N,strauts,bekk
274,Fluss::N,ю,elv
275,Fluss::N,upe,elv
276,Ufer::N,вадор,bredd
277,Ufer::N,krasts,bredd
278,Küste::N,вадор,kyst
279,Küste::N,piekraste,kyst
280,Festland::N,му,fastland
281,Festland::N,sauszeme,fastland
282,Meer::N,саридз,hav
283,Meer::N,jūra,hav
284,Bucht::N,куръя,bukt
285,Bucht::N,līcis,bukt
286,Insel::N,ді,øy
287,Insel::N,sala,øy
288,Blume::N,дзоридз,blomst
289,Blume::N,puķe,blomst
290,Blume::N,zieds,blomst
291,Gras::N,турун,gress
292,Gras::N,zāle,gress
293,Wurzel::N,вуж,rot
294,Wurzel::N,sakne,rot
295,Baum::N,пу,tre
296,Baum::N,koks,tre
297,Stamm::N,пучер,stamme
298,Stamm::N,stumbrs,stamme
299,Rinde::N,кырсь,bark
300,Rinde::N,miza,bark
301,Ast::N,ув,gren
302,Ast::N,zars,gren
303,Zweig::N,вож,kvist
304,Zweig::N,nozare,kvist
305,Blatt::N,кор,blad
306,Blatt::N,lapa,blad
307,Birke::N,кыдз,bjørk
308,Birke::N,bērzs,bjørk
309,Kiefer[Baum]::N,пожӧм,furu
310,Kiefer[Baum]::N,priede,furu
311,Weide[Baum]::N,бадь,selje
312,Weide[Baum]::N,бадь,piletre
313,Weide[Baum]::N,kārkls,selje
314,Weide[Baum]::N,kārkls,piletre
315,Tanne::N,коз,gran
316,Tanne::N,egle,gran
317,Horn::N,сюр,horn
318,Horn::N,rags,horn
319,Feder::N,гӧн,fjær
320,Feder::N,тывборд,fjær
321,Feder::N,spalva,fjær
322,Fell::N,ку,skinn
323,Fell::N,āda,skinn
324,Flügel::N,борд,vinge
325,Flügel::N,spārns,vinge
326,Klaue::N,гыж,klauv
327,Klaue::N,nags,klauv
328,Kralle::N,гыж,klo
329,Kralle::N,nags,klo
330,Schwanz::N,бӧж,hale
331,Schwanz::N,ļipa,hale
332,Ei::N,кольк,egg
333,Ei::N,ola,egg
334,Nest::N,поз,rede
335,Nest::N,ligzda,rede
336,Bau::N,горс,hi
337,Bau::N,пырмӧс,hi
338,Bau::N,гу,hi
339,Bau::N,ala,hi
340,Tier::N,пемӧс,dyr
341,Tier::N,dzīvnieks,dyr
342,Herde::N,стада,flokk
343,Herde::N,кельӧб,flokk
344,Herde::N,ganāmpulks,flokk
345,Kuh::N,мӧс,ku
346,Kuh::N,govs,ku
347,Bulle::N,ӧш,tyr
348,Bulle::N,bullis,tyr
349,Pferd::N,вӧв,hest
350,Pferd::N,zirgs,hest
351,Schaf::N,ыж,får
352,Schaf::N,aita,får
353,Schwein::N,порсь,gris
354,Schwein::N,cūka,gris
355,Hund::N,пон,hund
356,Hund::N,suns,hund
357,Katze::N,кань,katt
358,Katze::N,kaķis,katt
359,Bär::N,ош,bjørn
360,Bär::N,lācis,bjørn
361,Eichhörnchen::N,ур,ekorn
362,Eichhörnchen::N,vāvere,ekorn
363,Elch::N,йӧра,elg
364,Elch::N,alnis,elg
365,Fuchs::N,руч,rev
366,Fuchs::N,lapsa,rev
367,Hase::N,кӧч,hare
368,Hase::N,zaķis,hare
369,Maus::N,шыр,mus
370,Maus::N,pele,mus
371,Wolf::N,кӧин,ulv
372,Wolf::N,кӧин,varg
373,Wolf::N,vilks,ulv
374,Wolf::N,vilks,varg
375,Vogel::N,кай,fugl
376,Vogel::N,лэбач,fugl
377,Vogel::N,putns,fugl
378,Schwarm::N,чукӧр,sverm
379,Schwarm::N,spiets,sverm
380,Huhn::N,курӧг,høne
381,Huhn::N,vista,høne
382,Hahn::N,петук,hane
383,Hahn::N,gailis,hane
384,Gans::N,дзодзӧг,gås
385,Gans::N,zoss,gås
386,Adler::N,кутш,ørn
387,Adler::N,ērglis,ørn
388,Ente::N,утка,and
389,Ente::N,pīle,and
390,Eule::N,сюзь,ugle
391,Eule::N,pūce,ugle
392,Kranich::N,тури,trane
393,Kranich::N,dzērve,trane
394,Krähe::N,рака,kråke
395,Krähe::N,vārna,kråke
396,Kuckuck::N,кӧк,gjøk
397,Kuckuck::N,dzeguze,gjøk
398,Schwan::N,юсь,svane
399,Schwan::N,gulbis,svane
400,Fisch::N,чери,fisk
401,Fisch::N,zivs,fisk
402,Barsch::N,ёкыш,abbor
403,Barsch::N,asaris,abbor
404,Hecht::N,сир,gjedde
405,Hecht::N,līdaka,gjedde
406,Schlange[Tier]::N,кый,orm
407,Schlange[Tier]::N,кый,slange
408,Schlange[Tier]::N,čūska,orm
409,Schlange[Tier]::N,čūska,slange
410,Wurm::N,номыр,orm
411,Wurm::N,номыр,mark
412,Wurm::N,tārps,orm
413,Wurm::N,tārps,mark
414,Spinne::N,черань,edderkopp
415,Spinne::N,zirneklis,edderkopp
416,Ameise::N,кодзувкот,maur
417,Ameise::N,skudra,maur
418,Laus::N,той,lus
419,Laus::N,uts,lus
420,Mücke::N,ном,mygg
421,Mücke::N,ods,mygg
422,Fliege::N,гут,flue
423,Fliege::N,muša,flue
424,Schmetterling::N,бобув,sommerfugl
425,Schmetterling::N,tauriņš,sommerfugl
426,Beere::N,тусь,bær
427,Beere::N,вотӧс,bær
428,Beere::N,oga,bær
429,Apfel::N,яблӧг,eple
430,Apfel::N,ābols,eple
431,Pilz::N,тшак,sopp
432,Pilz::N,sēne,sopp
433,Zwiebel::N,луккок,løk
434,Zwiebel::N,йӧнгыль,løk
435,Zwiebel::N,sīpols,løk
436,Saat::N,тусь,sæd
437,Saat::N,кӧйдыс,sæd
438,Saat::N,sēkla,sæd
439,Korn::N,тусь,korn
440,Korn::N,grauds,korn
441,Heu::N,турун,høy
442,Heu::N,siens,høy
443,Schale::N,кор,skall
444,Schale::N,čaula,skall
445,Schale::N,čaumala,skall
446,Grube::N,гу,grop
447,Grube::N,bedre,grop
448,Falle::N,лэч,felle
449,Falle::N,slazds,felle
450,Falle::N,lamatas,felle
451,Schlinge::N,лэч,snare
452,Schlinge::N,cilpa,snare
453,Spur::N,туй,spor
454,Spur::N,pēda,spor
455,Asche::N,пӧм,aske
456,Asche::N,pelni,aske
457,Dreck::N,няйт,møkk
458,Dreck::N,няйт,skitt
459,Dreck::N,dubļi,møkk
460,Dreck::N,dubļi,skitt
461,Eisen::N,кӧрт,jern
462,Eisen::N,dzelzs,jern
463,Gold::N,зарни,gull
464,Gold::N,zelts,gull
465,Silber::N,эзысь,sølv
466,Silber::N,sudrabs,sølv
467,Kohle::N,шом,kol
468,Kohle::N,шом,kull
469,Kohle::N,ogle,kol
470,Kohle::N,ogle,kull
471,Glas::N,стеклӧ,glass
472,Glas::N,stikls,glass
473,Lehm::N,сёй,leire
474,Lehm::N,māls,leire
475,Sand::N,лыа,sand
476,Sand::N,smiltis,sand
477,Mensch::N,морт,menneske
478,Mensch::N,cilvēks,menneske
479,Mann::N,аймӧрт,mann
480,Mann::N,мужичӧй,mann
481,Mann::N,vīrietis,mann
482,Frau::N,ань,kvinne
483,Frau::N,нывбаба,kvinne
484,Frau::N,sieviete,kvinne
485,Kind::N,кага,barn
486,Kind::N,bērns,barn
487,Junge::N,пи,gutt
488,Junge::N,zēns,gutt
489,Junge::N,puika,gutt
490,Junge::N,puisis,gutt
491,Mädchen::N,ныв,pike
492,Mädchen::N,ныв,jente
493,Mädchen::N,meiča,pike
494,Mädchen::N,meiča,jente
495,Mädchen::N,skuķis,pike
496,Mädchen::N,skuķis,jente
497,Mädchen::N,meitene,pike
498,Mädchen::N,meitene,jente
499,Familie::N,семья,familie
500,Familie::N,ģimene,familie
501,Großvater::N,пӧль,bestefar
502,Großvater::N,vecaistēvs,bestefar
503,Großmutter::N,баб,bestemor
504,Großmutter::N,vecāmāte,bestemor
505,Eltern::N,ай-мам,foreldre
506,Eltern::N,бать-мам,foreldre
507,Eltern::N,vecāki,foreldre
508,Vater::N,бать,far
509,Vater::N,ай,far
510,Vater::N,tēvs,far
511,Mutter::N,мам,mor
512,Mutter::N,māte,mor
513,Sohn::N,пи,sønn
514,Sohn::N,dēls,sønn
515,Tochter::N,ныв,datter
516,Tochter::N,meita,datter
517,Bruder::N,вок,bror
518,Bruder::N,brālis,bror
519,Schwester::N,чой,søster
520,Schwester::N,māsa,søster
521,Onkel::N,дядь,onkel
522,Onkel::N,tēvocis,onkel
523,Tante::N,тьӧт,tante
524,Tante::N,tante,tante
525,Ehemann::N,верӧс,ektemann
526,Ehemann::N,vīrs,ektemann
527,Ehefrau::N,гӧтыр,hustru
528,Ehefrau::N,sieva,hustru
529,Freude::N,радлун,glede
530,Freude::N,prieks,glede
531,Gelächter::N,серам,latter
532,Gelächter::N,smiekli,latter
533,Glück::N,шуд,lykke
534,Glück::N,laime,lykke
535,Kummer::N,шог,sorg
536,Kummer::N,bēdas,sorg
537,Kummer::N,raizes,sorg
538,Wunsch::N,кӧсйӧм,ønske
539,Wunsch::N,vēlme,ønske
540,Wunsch::N,vēlējums,ønske
541,Lust::N,кыскӧм,lyst
542,Lust::N,радейтӧм,lyst
543,Lust::N,kāre,lyst
544,Geist::N,лов,ånd
545,Geist::N,gars,ånd
546,Gedanke::N,мӧвп,tanke
547,Gedanke::N,doma,tanke
548,Gedächtnis::N,паметь,minne
549,Gedächtnis::N,паметь,hukommelse
550,Gedächtnis::N,atmiņa,minne
551,Gedächtnis::N,atmiņa,hukommelse
552,Verstand::N,вежӧр,forstand
553,Verstand::N,prāts,forstand
554,Sinn::N,мог,mening
555,Sinn::N,мог,betydning
556,Sinn::N,вежӧртас,mening
557,Sinn::N,вежӧртас,betydning
558,Sinn::N,nozīme,mening
559,Sinn::N,nozīme,betydning
560,Grund::N,помка,grunn
561,Grund::N,pamats,grunn
562,Grund::N,iemesls,grunn
563,Wahrheit::N,збыль,sannhet
564,Wahrheit::N,збыльтор,sannhet
565,Wahrheit::N,taisnība,sannhet
566,Wahrheit::N,patiesība,sannhet
567,Gespräch::N,сёрни,samtale
568,Gespräch::N,saruna,samtale
569,Märchen::N,мойд,eventyr
570,Märchen::N,pasaka,eventyr
571,Erzählung::N,висьт,fortelling
572,Erzählung::N,stāsts,fortelling
573,Erzählung::N,nostāsts,fortelling
574,Nachricht::N,юӧртӧм,melding
575,Nachricht::N,ziņa,melding
576,Neuigkeit::N,выльтор,nyhet
577,Neuigkeit::N,jaunums,nyhet
578,Name::N,ним,navn
579,Name::N,vārds,navn
580,Rätsel::N,нӧдкыв,gåte
581,Rätsel::N,mīkla,gåte
582,Rede::N,сёрни,tale
583,Rede::N,runa,tale
584,Sprache::N,кыв,språk
585,Sprache::N,valoda,språk
586,Stimme::N,гӧлӧс,stemme
587,Stimme::N,вом шы,stemme
588,Stimme::N,balss,stemme
589,Wort::N,кыв,ord
590,Wort::N,vārds,ord
591,Zeichen::N,пас,tegn
592,Zeichen::N,zīme,tegn
593,Ruf::N,чукӧстчӧм,rop
594,Ruf::N,корӧм,rop
595,Ruf::N,sauciens,rop
596,Lärm::N,шы,bråk
597,Lärm::N,зык,bråk
598,Lärm::N,зычитӧм,bråk
599,Lärm::N,troksnis,bråk
600,Laut::N,шы,lyd
601,Laut::N,skaņa,lyd
602,Ton::N,шы,tone
603,Ton::N,tonis,tone
604,Lied::N,сьылан,vise
605,Lied::N,сьыланкыв,vise
606,Lied::N,dziesma,vise
607,Ruhe::N,чӧв,ro
608,Ruhe::N,miers,ro
609,Leute::N,йӧз,folk
610,Leute::N,войтыр,folk
611,Leute::N,ļaudis,folk
612,Leute::N,cilvēki,folk
613,Volk::N,йӧз,folk
614,Volk::N,войтыр,folk
615,Volk::N,tauta,folk
616,Arbeit::N,удж,arbeid
617,Arbeit::N,darbs,arbeid
618,Gast::N,гӧсть,gjest
619,Gast::N,viešņa,gjest
620,Gast::N,ciemiņš,gjest
621,Geschenk::N,козин,gave
622,Geschenk::N,dāvana,gave
623,Spiel::N,ворсан,lek
624,Spiel::N,ворсан,spill
625,Spiel::N,rotaļa,lek
626,Spiel::N,rotaļa,spill
627,Gesellschaft::N,котыр,selskap
628,Gesellschaft::N,biedrība,selskap
629,Gesellschaft::N,kompānija,selskap
630,Hilfe::N,отсӧг,hjelp
631,Hilfe::N,palīdzība,hjelp
632,Freund::N,ёрт,venn
633,Freund::N,draugs,venn
634,Kamerad::N,ёрт,kamerat
635,Kamerad::N,biedrs,kamerat
636,Angelegenheit::N,мог,sak
637,Angelegenheit::N,мог,anliggende
638,Angelegenheit::N,делӧ,sak
639,Angelegenheit::N,делӧ,anliggende
640,Angelegenheit::N,darīšana,sak
641,Angelegenheit::N,darīšana,anliggende
642,Anzahl::N,лыд,antall
643,Anzahl::N,тшӧт,antall
644,Anzahl::N,skaits,antall
645,Anzahl::N,daudzums,antall
646,Art::N,сикас,art
647,Art::N,сикас,slag
648,Art::N,suga,art
649,Art::N,suga,slag
650,Art::N,šķira,art
651,Art::N,šķira,slag
652,Stück::N,тор,stykke
653,Stück::N,gabals,stykke
654,Teil::N,юкӧн,del
655,Teil::N,daļa,del
656,Hälfte::N,пӧв,halvdel
657,Hälfte::N,джын,halvdel
658,Hälfte::N,puse,halvdel
659,Kreis::N,кытш,ring
660,Kreis::N,кытш,sirkel
661,Kreis::N,aplis,ring
662,Kreis::N,aplis,sirkel
663,Kreis::N,riņķis,ring
664,Kreis::N,riņķis,sirkel
665,Kreuz::N,перна,kors
666,Kreuz::N,перна,kryss
667,Kreuz::N,крест,kors
668,Kreuz::N,крест,kryss
669,Kreuz::N,krusts,kors
670,Kreuz::N,krusts,kryss
671,Linie::N,визь,linje
672,Linie::N,līnija,linje
673,Strich::N,визь,strek
674,Strich::N,svītra,strek
675,Abstand::N,кост,avstand
676,Abstand::N,коласт,avstand
677,Abstand::N,atstarpe,avstand
678,Entfernung::N,ылна,avstand
679,Entfernung::N,attālums,avstand
680,Entfernung::N,atstatums,avstand
681,Gegend::N,му-ва,strøk
682,Gegend::N,apvidus,strøk
683,Gegend::N,apgabals,strøk
684,Platz::N,ылдӧс,plass
685,Platz::N,йир,plass
686,Platz::N,гӧгӧртас,plass
687,Platz::N,vieta,plass
688,Ort::N,ин,sted
689,Ort::N,места,sted
690,Ort::N,vieta,sted
691,Seite::N,бок,side
692,Seite::N,ӧтарладор,side
693,Seite::N,sāns,side
694,Mitte::N,шӧр,midte
695,Mitte::N,vidus,midte
696,Gegenstand::N,кӧлуй,gjenstand
697,Gegenstand::N,priekšmets,gjenstand
698,Sache::N,добра,sak
699,Sache::N,lieta,sak
700,Rand::N,дор,rand
701,Rand::N,mala,rand
702,Rand::N,apmale,rand
703,Kante::N,дор,kant
704,Kante::N,šķautne,kant
705,Ecke::N,пельӧс,hjørne
706,Ecke::N,kakts,hjørne
707,Ecke::N,stūris,hjørne
708,Spitze::N,йыв,spiss
709,Spitze::N,smaile,spiss
710,Spitze::N,galotne,spiss
711,Ende::N,пом,ende
712,Ende::N,gals,ende
713,Ende::N,uzgalis,ende
714,Loch::N,розь,hull
715,Loch::N,caurums,hull
716,Winkel::N,пельӧс,vinkel
717,Winkel::N,leņķis,vinkel
718,Muster::N,сер,mønster
719,Muster::N,piemērs,mønster
720,Größe::N,ыджда,størrelse
721,Größe::N,lielums,størrelse
722,Länge::N,кузьта,lengde
723,Länge::N,garums,lengde
724,Höhe::N,джуджда,høyde
725,Höhe::N,augstums,høyde
726,Gewicht::N,сьӧкта,vekt
727,Gewicht::N,сьӧкталун,vekt
728,Gewicht::N,svars,vekt
729,Gewicht::N,smagums,vekt
730,Menge::N,лун,mengde
731,Menge::N,числӧ,mengde
732,Menge::N,masa,mengde
733,Menge::N,daudzums,mengde
734,Haufen::N,чукӧр,haug
735,Haufen::N,чукӧр,bunke
736,Haufen::N,čupa,haug
737,Haufen::N,čupa,bunke
738,Haufen::N,grēda,haug
739,Haufen::N,grēda,bunke
740,Haufen::N,kaudze,haug
741,Haufen::N,kaudze,bunke
742,Reihe::N,рад,rekke
743,Reihe::N,rinda,rekke
744,Reihe::N,virkne,rekke
745,Boot::N,пыж,båt
746,Boot::N,laiva,båt
747,Ruder::N,пелыс,åre
748,Ruder::N,ӧпаснӧй,åre
749,Ruder::N,airis,åre
750,Ruder::N,irklis,åre
751,Schlitten::N,дадь,slede
752,Schlitten::N,дадь,kjelke
753,Schlitten::N,ragavas,slede
754,Schlitten::N,ragavas,kjelke
755,Ski::N,лызь,ski
756,Ski::N,slēpe,ski
757,Lagerfeuer::N,бипур,leirbål
758,Lagerfeuer::N,ugunskurs,leirbål
759,Last::N,сьӧкыдтор,bør
760,Last::N,сьӧкыдтор,last
761,Last::N,krava,bør
762,Last::N,krava,last
763,Gang::N,мунӧм,gang
764,Gang::N,ветлӧм,gang
765,Gang::N,eja,gang
766,Gang::N,gājums,gang
767,Schritt::N,воськов,steg
768,Schritt::N,воськов,skritt
769,Schritt::N,воськовтӧм,steg
770,Schritt::N,воськовтӧм,skritt
771,Schritt::N,solis,steg
772,Schritt::N,solis,skritt
773,Norden::N,войвыв,nord
774,Norden::N,ziemeļi,nord
775,Süden::N,лунвыв,sør
776,Süden::N,dienvidi,sør
777,Westen::N,рытыв,vest
778,Westen::N,rietumi,vest
779,Osten::N,асыв,øst
780,Osten::N,austrumi,øst
781,Holz::N,пу,tre
782,Holz::N,koks,tre
783,Holz::N,koksne,tre
784,Brett::N,пӧв,fjøl
785,Brett::N,пӧв,brett
786,Brett::N,dēlis,fjøl
787,Brett::N,dēlis,brett
788,Platte::N,плита,plate
789,Platte::N,plate,plate
790,Platte::N,plāksne,plate
791,Stütze::N,пыкӧд,støtte
792,Stütze::N,мыджӧд,støtte
793,Stütze::N,balsts,støtte
794,Stütze::N,atspaids,støtte
795,Stange::N,потш,stang
796,Stange::N,maikste,stang
797,Stock::N,бедь,pinne
798,Stock::N,boze,pinne
799,Stock::N,spieķis,pinne
800,Stab::N,зир,stav
801,Stab::N,зир,kjepp
802,Stab::N,zizlis,stav
803,Stab::N,zizlis,kjepp
804,Rohr::N,труба,rør
805,Rohr::N,caurule,rør
806,Haus::N,керка,hus
807,Haus::N,māja,hus
808,Heim::N,горт,hjem
809,Heim::N,mājas,hjem
810,Ofen::N,пач,ovn
811,Ofen::N,krāsns,ovn
812,Fußboden::N,джодж,gulv
813,Fußboden::N,grīda,gulv
814,Tisch::N,пызан,bord
815,Tisch::N,galds,bord
816,Stuhl::N,улӧс,stol
817,Stuhl::N,krēsls,stol
818,Wiege::N,зыбка,vogge
819,Wiege::N,šūpulis,vogge
820,Bett::N,вольпась,seng
821,Bett::N,gulta,seng
