,Concept_ID,la,br
64,Wind::N,ventus,avel
65,Welle::N,unda,houlenn
66,Wasser::N,aqua,dour
67,Stein::N,lapis,maen
68,Boden::N,solum,tachenn
69,Erde::N,terra,douar
70,Staub::N,pulvis,poultr
71,Rauch::N,fumus,moged
72,Funke::N,scintilla,ful
73,Feuer::N,ignis,tan
74,Licht::N,lux,gouloù
75,Licht::N,lumen,gouloù
76,Schatten::N,umbra,disheol
77,Wetter::N,caelum,amzer
78,Wetter::N,tempestas,amzer
79,Nebel::N,nebula,brumenn
80,Wolke::N,nubes,koumoulenn
81,Regen::N,imber,glav
82,Regen::N,pluvia,glav
83,Schnee::N,nix,erc'h
84,Eis::N,glacies,skorn
85,Frost::N,gelu,rev
86,Kälte::N,frigus,yen
87,Hitze::N,calor,tommder
88,Hitze::N,aestus,tommder
89,Raureif::N,pruina,frim
90,Regenbogen::N,arcus,gwareg-ar-glav
91,Donner::N,tonitrus,kurun
92,Strömung::N,fluctus,red
93,Tropfen::N,gutta,bannac'h
94,Tropfen::N,gutta,takenn
95,Schaum::N,spuma,spoum
96,Schmutz::N,sordes,fank
97,Schmutz::N,squalor,fank
98,See::N,lacus,lenn
99,Sumpf::N,palus,gwern
100,Moor::N,palus,taouarc'heg
101,Wiese::N,pratum,prad
102,Wald::N,silva,koad
103,Hügel::N,collis,torgenn
104,Anhöhe::N,specula,run
105,Berg::N,mons,menez
106,Gipfel::N,vertex,barr
107,Höhle::N,caverna,kav
108,Höhle::N,spelunca,kav
109,Abhang::N,declivum,naou
110,Quelle::N,fons,feunteun
111,Bach::N,rivus,gwazh
112,Fluss::N,flumen,stêr
113,Ufer::N,ripa,ribl
114,Küste::N,litus,aod
115,Festland::N,continens,douar
116,Meer::N,mare,mor
117,Bucht::N,sinus,mor-bihan
118,Insel::N,insula,enez
119,Blume::N,flos,bleunienn
120,Gras::N,herba,geot
121,Gras::N,gramen,geot
122,Wurzel::N,radix,gwrizienn
123,Baum::N,arbor,gwezenn
124,Stamm::N,truncus,kef
125,Rinde::N,cortex,rusk
126,Ast::N,ramus,barr
127,Zweig::N,ramus,bod
128,Blatt::N,folium,delienn
129,Birke::N,betulla,bezvenn
130,Kiefer[Baum]::N,pinus,pinenn
131,Weide[Baum]::N,salix,halegenn
132,Tanne::N,abies,sapenn
133,Horn::N,cornu,korn
134,Feder::N,penna,pluñv
135,Fell::N,pellis,kreoñ
136,Flügel::N,ala,askell
137,Klaue::N,unguis,skilf
138,Kralle::N,unguis,skilf
139,Schwanz::N,cauda,lost
140,Ei::N,ovum,vi
141,Nest::N,nidus,neizh
142,Bau::N,cavum,douarenn
143,Bau::N,latibulum,douarenn
144,Tier::N,bestia,loen
145,Herde::N,grex,tropell
146,Kuh::N,vacca,buoc'h
147,Bulle::N,taurus,tarv
148,Pferd::N,equus,marc'h
149,Schaf::N,ovis,dañvad
150,Schwein::N,sus,pemoc'h
151,Schwein::N,porcus,pemoc'h
152,Hund::N,canis,ki
153,Katze::N,felis,kazh
154,Bär::N,ursus,arzh
155,Eichhörnchen::N,sciurus,gwiñver
156,Elch::N,alces,karv-dour
157,Fuchs::N,vulpes,louarn
158,Hase::N,lepus,gad
159,Maus::N,mus,logodenn
160,Wolf::N,lupus,bleiz
161,Vogel::N,avis,labous
162,Schwarm::N,examen,nijad
163,Huhn::N,gallina,yar
164,Hahn::N,gallus,kilhog
165,Gans::N,anser,gwazenn
166,Adler::N,aquila,erer
167,Ente::N,anas,houad
168,Eule::N,ulula,toud
169,Eule::N,noctua,toud
170,Kranich::N,grus,garan
171,Krähe::N,cornix,bran
172,Kuckuck::N,cuculus,koukoug
173,Schwan::N,olor,alarc'h
174,Schwan::N,cycnus,alarc'h
175,Fisch::N,piscis,pesk
176,Barsch::N,perca,brell
177,Hecht::N,esox,beked
178,Schlange[Tier]::N,serpens,naer
179,Wurm::N,vermis,preñv
180,Spinne::N,aranea,kevnidenn
181,Ameise::N,formica,merion
182,Laus::N,pediculus,laouenn
183,Mücke::N,culex,moustik
184,Fliege::N,musca,kelienenn
185,Schmetterling::N,papilio,balafenn
186,Beere::N,baca,hog
187,Apfel::N,malum,aval
188,Pilz::N,fungus,kabell-touseg
189,Zwiebel::N,cepa,ognonenn
190,Saat::N,seges,had
191,Korn::N,granum,ed
192,Heu::N,faenum,foenn
193,Schale::N,putamen,peliadur
194,Grube::N,fovea,
195,Falle::N,pedica,pech
196,Schlinge::N,laqueus,krouglas
197,Spur::N,vestigium,
198,Asche::N,cinis,ludu
199,Dreck::N,lutum,fank
200,Eisen::N,ferrum,houarn
201,Gold::N,aurum,aour
202,Silber::N,argentum,arc'hant
203,Kohle::N,carbo,glaou
204,Glas::N,vitrum,gwer
205,Lehm::N,lutum,
206,Sand::N,arena,traezh
207,Mensch::N,homo,den
208,Mann::N,vir,den
209,Frau::N,mulier,maouez
210,Kind::N,puer,bugel
211,Kind::N,infans,bugel
212,Junge::N,puer,paotr
213,Mädchen::N,puella,plac'h
214,Familie::N,familia,familh
215,Großvater::N,avus,tad-kozh
216,Großmutter::N,avia,mamm-gozh
217,Eltern::N,parentes,kerent
218,Vater::N,pater,tad
219,Mutter::N,mater,mamm
220,Sohn::N,filius,mab
221,Tochter::N,filia,merc'h
222,Bruder::N,frater,breur
223,Schwester::N,soror,c'hoar
224,Onkel::N,patruus,eontr
225,Onkel::N,avunculus,eontr
226,Tante::N,amita,moereb
227,Ehemann::N,maritus,gwaz
228,Ehefrau::N,uxor,gwreg
229,Freude::N,gaudium,levenez
230,Freude::N,laetitia,levenez
231,Gelächter::N,risus,c'hoarzherezh
232,Glück::N,felicitas,chañs
233,Kummer::N,aegritudo,doan
234,Wunsch::N,voluntas,c'hoant
235,Wunsch::N,desiderium,c'hoant
236,Lust::N,libido,c'hoant
237,Lust::N,voluptas,c'hoant
238,Geist::N,mens,spered
239,Geist::N,animus,spered
240,Gedanke::N,sententia,soñj
241,Gedächtnis::N,memoria,eñvor
242,Verstand::N,ratio,skiant
243,Verstand::N,ingenium,skiant
244,Sinn::N,sensus,ster
245,Grund::N,causa,kaoz
246,Wahrheit::N,veritas,gwirionez
247,Gespräch::N,sermo,kaozeadenn
248,Märchen::N,fabula,kaoz korriganez
249,Erzählung::N,fabula,kontadenn
250,Erzählung::N,narratio,kontadenn
251,Nachricht::N,nuntius,keloù
252,Neuigkeit::N,novitas,kelaouenn
253,Name::N,nomen,anv
254,Rätsel::N,aenigma,divinatez
255,Rede::N,oratio,diskour
256,Sprache::N,lingua,yezh
257,Stimme::N,vox,mouezh
258,Wort::N,verbum,ger
259,Wort::N,vocabulum,ger
260,Zeichen::N,signum,sin
261,Ruf::N,clamor,galv
262,Lärm::N,strepitus,trouz
263,Laut::N,sonus,
264,Ton::N,sonus,ton
265,Lied::N,carmen,kanaouenn
266,Ruhe::N,quies,sioulded
267,Leute::N,homines,tud
268,Volk::N,populus,pobl
269,Arbeit::N,labor,labour
270,Gast::N,hospes,kouviad
271,Gast::N,conviva,kouviad
272,Geschenk::N,munus,prof
273,Spiel::N,ludus,c'hoari
274,Gesellschaft::N,societas,kompagnunezh
275,Gesellschaft::N,societas,kavandad
276,Hilfe::N,auxilium,sikour
277,Hilfe::N,subsidium,sikour
278,Freund::N,amicus,mignon
279,Kamerad::N,socius,kamarad
280,Angelegenheit::N,res,afer
281,Anzahl::N,numerus,niver
282,Art::N,genus,sort
283,Stück::N,frustum,tamm
284,Stück::N,fragmentum,tamm
285,Teil::N,pars,pezh
286,Hälfte::N,dimidium,hanterenn
287,Kreis::N,orbis,kelc'h
288,Kreis::N,circus,kelc'h
289,Kreuz::N,crux,kroaz
290,Linie::N,linea,linenn
291,Strich::N,lineamentum,tenn
292,Abstand::N,intervallum,distok
293,Entfernung::N,spatium,keid
294,Entfernung::N,spatium,kehid
295,Gegend::N,loca,korn-bro
296,Gegend::N,regio,korn-bro
297,Platz::N,locus,plasenn
298,Ort::N,locus,lec'h
299,Seite::N,latus,tu
300,Mitte::N,medium,kreiz
301,Gegenstand::N,res,tra
302,Sache::N,res,tra
303,Rand::N,margo,kantenn
304,Kante::N,angulus,kantenn
305,Ecke::N,angulus,korn
306,Spitze::N,cacumen,begell
307,Ende::N,caput,dibenn
308,Loch::N,foramen,toull
309,Winkel::N,angulus,
310,Muster::N,exemplum,tresadenn
311,Größe::N,magnitudo,ment
312,Länge::N,longitudo,hirder
313,Höhe::N,altitudo,uhelder
314,Gewicht::N,pondus,pouez
315,Menge::N,copia,bern
316,Haufen::N,acervus,bern
317,Reihe::N,ordo,steud
318,Boot::N,navicula,bag
319,Ruder::N,remus,roeñv
320,Schlitten::N,sclodia,trainell
321,Ski::N,narta,ski
322,Lagerfeuer::N,ignis,
323,Last::N,onus,karg
324,Gang::N,cursus,kerzh
325,Schritt::N,gradus,paz
326,Norden::N,septentriones,norzh
327,Norden::N,septentriones,hanternoz
328,Süden::N,meridies,su
329,Süden::N,meridies,kreisteiz
330,Westen::N,occidens,kuzh-heol
331,Osten::N,oriens,reter
332,Osten::N,oriens,sav-heol
333,Holz::N,lignum,koad
334,Brett::N,tabula,plankenn
335,Platte::N,lamina,plakenn
336,Stütze::N,adminiculum,harp
337,Stange::N,pertica,sparl
338,Stock::N,baculum,bazh
339,Stab::N,scipio,bazh
340,Rohr::N,tubus,tub
341,Rohr::N,tubus,korz
342,Haus::N,aedes,ti
343,Heim::N,domicilium,kêr
344,Ofen::N,fornax,forn
345,Fußboden::N,solum,plañchod
346,Tisch::N,mensa,taol
347,Stuhl::N,sella,kador
348,Wiege::N,cunae,kavell
349,Bett::N,lectus,gwele
350,Regal::N,foruli,estajerenn
351,Kiste::N,cista,kased
352,Fenster::N,fenestra,prenestr
353,Tür::N,ianua,dor
354,Tor::N,porta,portal
355,Zaun::N,saepes,sklotur
356,Dach::N,tectum,toenn
357,Leiter::N,scalae,skeul
358,Besen::N,scopae,skubell
359,Spaten::N,pala,pal
360,Schaufel::N,pala,pal
361,Gabel::N,fuscinula,fourchetez
362,Löffel::N,coclear,loa
363,Messer::N,culter,kontell
364,Nagel::N,clavus,tach
365,Netz::N,rete,roued
366,Haken::N,hamus,krog
367,Griff::N,manubrium,kemer
368,Schloss::N,claustra,potenn
369,Bild::N,tabula,skeudenn
370,Bild::N,pictura,skeudenn
371,Figur::N,statunculum,skeud
372,Figur::N,statunculum,figur
373,Puppe::N,pupa,merc'hodenn
374,Beutel::N,sacculus,sac'h
375,Bündel::N,fascis,feskenn
376,Tasche::N,sacculus,sac'h
377,Eimer::N,situla,sailh
378,Deckel::N,operculum,pallenn
379,Geschirr::N,vasa,listriaj
380,Sack::N,saccus,sac'h
381,Tasse::N,pocillum,tas
382,Topf::N,olla,pod
383,Kessel::N,aenum,chaodouron
384,Essen::N,cena,pred
385,Nahrung::N,cibus,boued
386,Nahrung::N,alimenta,boued
387,Speise::N,cibus,meuz
388,Fleisch::N,caro,kig
389,Getreide::N,frumentum,ed
390,Brei::N,puls,yod
391,Brot::N,panis,bara
392,Scheibe::N,frustum,tailhenn
393,Fett::N,pingue,lard
394,Butter::N,butȳrum,amann
395,Öl::N,oleum,eoul
396,Salz::N,sal,holen
397,Suppe::N,ius,soubenn
398,Honig::N,mel,mel
399,Milch::N,lac,laezh
400,Tee::N,thea,te
401,Leder::N,corium,lêr
402,Wolle::N,lana,gloan
403,Stoff::N,textum,danvez
404,Nadel::N,acus,nadoz
405,Faden::N,filum,neudenn
406,Knopf::N,bulla,bouton
407,Knoten::N,nodus,skoulm
408,Farbe::N,pigmentum,liv
409,Kleidung::N,vestimenta,dilhad
410,Hemd::N,tunica,roc'hed
411,Kragen::N,collare,gouzoug
412,Ärmel::N,manica,milgin
413,Hose::N,bracae,bragoù
414,Gürtel::N,cingulum,gouriz
415,Mütze::N,pilleus,boned
416,Schuh::N,calceus,botez
417,Stiefel::N,pero,botez
418,Stiefel::N,caliga,botez
419,Ring::N,anulus,gwalenn
420,Band::N,redimiculum,bagad
421,Kamm::N,pecten,krib
422,Spiegel::N,speculum,melezour
423,Riemen::N,lorum,lerenn
424,Schnur::N,linum,kordenn
425,Leine::N,retinaculum,roll
426,Decke::N,lodix,golo
427,Kissen::N,pulvinus,goubenner
428,Tuch::N,velum,mezher
429,Handtuch::N,mantele,toailhon
430,Kraft::N,vis,nerzh
431,Stärke::N,robur,nerzhder
432,Gesundheit::N,valetudo,yec'hed
433,Krankheit::N,morbus,klañved
434,Schmerz::N,dolor,poan
435,Schmerz::N,dolor,droug
436,Wunde::N,vulnus,gloazadenn
437,Fieber::N,febris,terzhienn
438,Arznei::N,remedium,louzoù
439,Brücke::N,pons,pont
440,Brunnen::N,puteus,puñs
441,Weide::N,pascua,prad
442,Pfad::N,semita,gwenodenn
443,Weg::N,iter,hent
444,Straße::N,via,ru
445,Straße::N,via,hent
446,Dorf::N,vicus,kêr
447,Dorf::N,vicus,kêriadenn
448,Stadt::N,urbs,kêr
449,Stadt::N,oppidum,kêr
450,Brief::N,epistula,lizher
451,Buch::N,liber,levr
452,Buchstabe::N,littera,lizherenn
453,Zeitung::N,diurnum,kazetenn
454,Leben::N,vita,buhez
455,Tod::N,mors,marv
456,Grab::N,sepulcrum,bez
457,Kirche::N,ecclesia,iliz
458,Sünde::N,peccatum,pec'hed
459,Gott::N,deus,doue
460,Arbeiter::N,operarius,labourer
461,Arbeiter::N,operarius,micherour
462,Chef::N,praefectus,penn
463,Meister::N,magister,mestr
464,Arzt::N,medicus,mezeg
465,Arzt::N,medicus,medisin
466,Lehrer::N,magister,skolaer
467,Lehrer::N,magister,kelenner
468,Geld::N,aes,arc'hant
469,Geld::N,pecunia,arc'hant
470,Geschäft::N,negotium,stal
471,Laden::N,taberna,stal
472,Preis::N,pretium,priz
473,Ware::N,merx,marc'hadourezh
474,Nutzen::N,utilitas,gounidegezh
475,Nutzen::N,utilitas,lañs
476,Nutzen::N,utilitas,profit
477,Nutzen::N,utilitas,spleit
478,Reichtum::N,opes,pinvidigezh
479,Reichtum::N,divitiae,pinvidigezh
480,Welt::N,mundus,douar
481,Land::N,terra,bro
482,Staat::N,res publica,stad
483,König::N,rex,roue
484,Macht::N,potestas,galloud
485,Grenze::N,limes,harzoù
486,Krieg::N,bellum,brezel
487,Feind::N,inimicus,eneber
488,Gewalt::N,vis,tâerder
489,Kampf::N,pugna,kann
490,Bogen[Waffe]::N,arcus,gwareg
491,Pfeil::N,sagitta,saezh
492,Gewehr::N,sclopetum,fuzuilh
493,Fehler::N,error,fazi
494,Lüge::N,mendacium,gaou
495,Schaden::N,damnum,gwall
496,Schaden::N,detrimentum,gwall
497,Unglück::N,miseria,gwalleur
498,Unglück::N,calamitas,gwalleur
499,Schuld::N,culpa,kablusted
500,Schuld::N,culpa,pec'hedigezh
501,Alter::N,aetas,oad
502,Schluss::N,finis,diwezh
503,Zeit::N,tempus,amzer
504,Tag::N,dies,deizh
505,Morgen::N,mane,beure
506,Morgen::N,mane,mintin
507,Mittag::N,meridies,kreisteiz
508,Abend::N,vesper,abardaez
509,Nacht::N,nox,noz
510,Woche::N,septimana,sizhun
511,Monat::N,mensis,miz
512,Jahr::N,annus,bloaz
513,Frühling::N,ver,nevezamzer
514,Sommer::N,aestas,hañv
515,Herbst::N,autumnus,diskaramzer
516,Winter::N,hiems,goañv
517,Januar::N,Ianuarius,Genver
518,Februar::N,Februarius,C'hwevrer
519,März::N,Martius,Meurzh
520,April::N,Aprilis,Ebrel
521,Mai::N,Maius,Mae
522,Juni::N,Iunius,Mezheven
523,Juli::N,Iulius,Gouhere
524,August::N,Augustus,Eost
525,September::N,September,Gwengolo
526,Oktober::N,Octobris,Here
527,November::N,Novembris,Du
528,Dezember::N,December,Kerzu
529,Montag::N,dies lunae,Lun
530,Dienstag::N,dies Martis ,Meurzh
531,Mittwoch::N,dies Mercurii,Merc'her
532,Donnerstag::N,dies Iovis,Yaou
533,Freitag::N,dies Veneris,Gwener
534,Samstag::N,dies Saturni,Sadorn
535,Sonntag::N,dominicus,Sul
536,Sonntag::N,dies solis,Sul
537,groß::A,magnus,bras
538,klein::A,parvus,bihan
539,lang::A,longus,hir
540,kurz::A,brevis,berr
541,breit::A,latus,ledan
542,schmal::A,angustus,strizh
543,dicht::A,densus,stank
544,dick[Gegenstand]::A,crassus,tev
545,dünn::A,tenuis,moan
546,fein::A,subtilis,munut
547,fest::A,solidus,start
548,fest::A,stabilis,start
549,flach::A,planus,plaen
550,glatt::A,levis,lintr
551,glatt::A,levis,levn
552,hart::A,durus,kalet
553,weich::A,mollis,blot
554,rund::A,rotundus,ront
555,spitz::A,acutus,poentet
556,scharf::A,acer,dremm
557,stumpf::A,hebes,talsoc'h
558,schwer::A,gravis,pounner
559,schön::A,pulcher,kaer
560,schön::A,formosus,kaer
561,heiß::A,fervidus,tomm
562,warm::A,calidus,tomm
563,kalt::A,frigidus,yen
564,kühl::A,frigidus,yen
565,frisch::A,recens,fresk
566,feucht::A,umidus,gleb
567,nass::A,madidus,gleb
568,trocken::A,aridus,sec'h
569,voll::A,plenus,leun
570,leer::A,vacuus,goullo
571,offen::A,apertus,digor
572,geschlossen::A,clausus,serr
573,sauber::A,lautus,naet
574,schmutzig::A,sordidus,lous
575,roh::A,crudus,kriz
576,reif::A,maturus,darev
577,lecker::A,delicatus,lipous
578,lecker::A,delicatus,saourus
579,süß::A,dulcis,dous
580,bitter::A,amarus,c'hwerv
581,bitter::A,acerbus,c'hwerv
582,sauer::A,acidus,trenk
583,hell::A,clarus,sklaer
584,dunkel::A,obscurus,teñval
585,schwarz::A,niger,du
586,weiß::A,albus,gwenn
587,rot::A,ruber,ruz
588,gelb::A,flavus,melen
589,blau::A,caeruleus,glas
590,grün::A,viridis,gwer
591,grau::A,canus,louet
592,bunt::A,varius,liesliv
593,billig::A,vilis,marc'had-mat
594,teuer::A,carus,ker
595,wertvoll::A,pretiosus,prizius
596,blind::A,caecus,dall
597,taub::A,surdus,bouzar
598,kräftig::A,robustus,start
599,stark::A,firmus,kreñv
600,stark::A,validus,kreñv
601,schwach::A,debilis,gwan
602,schwach::A,infirmus,gwan
603,fett::A,crassus,lard
604,schlank::A,procerus,sinkl
605,hübsch::A,pulcher,koant
606,böse::A,improbus,gwall
607,dumm::A,stultus,glep
608,dumm::A,stupidus,glep
609,faul::A,piger,lezirek
610,fleißig::A,sedulus,studius
611,geizig::A,avarus,tost
612,klug::A,prudens,speredek
613,geschickt::A,sollers,dornet
614,lieb::A,carus,koant
615,lustig::A,iocosus,laouen
616,sanft::A,clemens,flour
617,hungrig::A,impastus,marnaon
618,krank::A,aeger,klañv
619,nackt::A,nudus,noazh
620,traurig::A,maestus,trist
621,lebendig::A,vivus,bev
622,gut::A,bonus,mad
623,schlecht::A,malus,fall
624,schlecht::A,malus,gwall
625,richtig::A,rectus,reizh
626,schlimm::A,malus,gwall
627,wahr::A,verus,gwir
628,alt::A,antiquus,kozh
629,neu::A,novus,nevez
630,ehemalig::A,pristinus,kozh
631,alt[Lebewesen]::A,vetus,kozh
632,jung::A,iuvenis,yaouank
633,arm::A,pauper,paour
634,reich::A,dives,pinvidik
635,bekannt::A,notus,anavezet
636,berühmt::A,celeber,brudet
637,berühmt::A,illustris,brudet
638,fremd::A,peregrinus,dizanav
639,verschieden::A,varius,disheñel
640,nah::A,propinquus,nes
641,fern::A,longinquus,diabell
642,linker::A,sinister,kleiz
643,rechter::A,dexter,dehoù
644,anderer::A,alius,all
645,erster::A,primus,kentañ
646,zweiter::A,secundus,eil
647,dritter::A,tertius,trede
648,letzter::A,ultimus,diwezhañ
649,allein::ADV,solum,e-unan
650,auf einmal::ADV,simul,ar un dro
651,zusammen::ADV,una,asambles
652,lange::ADV,diu,pell
653,plötzlich::ADV,subito,en un taol
654,plötzlich::ADV,repente,en un taol
655,sofort::ADV,statim,diouzhtu
656,später::ADV,postea,diwezhatoc'h
657,jetzt::ADV,nunc,bremañ
658,heute::ADV,hodie,hiziv
659,morgen::ADV,cras,arc'hoazh
660,bald::ADV,mox,hepdale
661,dann::ADV,deinde,a-c'houde
662,gestern::ADV,heri,dec'h
663,einst::ADV,olim,gwechall
664,damals::ADV,tum,neuze
665,danach::ADV,postea,goude
666,vorher::ADV,antea,diagent
667,zuerst::ADV,primo,da gentañ
668,einmal::ADV,semel,ur wech
669,manchmal::ADV,interdum,a-wechoù
670,oft::ADV,saepe,alies
671,immer::ADV,semper,atav
672,immer::ADV,semper,bepred
673,niemals::ADV,numquam,gwech ebet
674,hier::ADV,hic,amañ
675,hierhin::ADV,huc,dre amañ
676,von hier::ADV,hinc,alemañ
677,dort::ADV,ibi,aze
678,dort::ADV,ibi,ahont
679,dorthin::ADV,eo,di
680,dorthin::ADV,eo,aze
681,dorthin::ADV,eo,ahont
682,geradeaus::ADV,recte,war-eeun
683,vorwärts::ADV,porro,war-raok
684,rückwärts::ADV,retro,war-lerc'h
685,zurück::ADV,retro,war-dreñv
686,unten::ADV,infra,en traoñ
687,hinab::ADV,pessum,a-izel
688,oben::ADV,supra,en nec'h
689,hinauf::ADV,sursum,e-krec'h
690,überall::ADV,ubique,dre-holl
691,nicht::ADV,non,ne ... ket
692,ein wenig::ADV,paulum,un tammig
693,kaum::ADV,vix,a-boan
694,kaum::ADV,aegre,a-boan
695,sehr::ADV,valde,-tre
696,sehr::ADV,valde,-kenañ
697,sehr::ADV,magnopere,-tre
698,sehr::ADV,magnopere,-kenañ
699,so::ADV,ita,evel-se
700,noch::ADV,etiam,c'hoazh
701,nur::ADV,solum,hepken
702,nur::ADV,tantum,hepken
703,schon::ADV,iam,dija
704,wieder::ADV,rursus,adarre
705,vergebens::ADV,frustra,
706,vor::PRP,ante,dirak
707,hinter::PRP,post,a-drek
708,hinter::PRP,post,a-dreñv
709,unter::PRP,sub,dindan
710,durch::PRP,per,dre
711,neben::PRP,iuxta,e-kichen
712,zwischen::PRP,inter,etre
713,wegen::PRP,propter,abalamour da
714,dies::PRN,hoc,hemañ
715,das::PRN,id,se
716,das::PRN,id,hennezh
717,alles::PRN,omnia,pep tra
718,ich::PRN,ego,me
719,du::PRN,tu,te
720,er::PRN,is,eñ
721,er::PRN,ille,eñ
722,wir::PRN,nos,ni
723,ihr::PRN,vos,c'hwi
724,sie::PRN,ii,int
725,sie::PRN,illi,int
726,was::FPRN,quid,petra
727,wer::FPRN,quis,piv
728,wo::FADV,ubi,pelec'h
729,wohin::FADV,quo,da belec'h
730,wie::FADV,quomodo,penaos
731,warum::FADV,cur,perak
732,wieviel::FNUM,quantum,pet
733,eins::NUM,unus,unan
734,zwei::NUM,duo,daou
735,drei::NUM,tres,tri
736,vier::NUM,quattuor,pevar
737,fünf::NUM,quinque,pemp
738,sechs::NUM,sex,c'hwec'h
739,sieben::NUM,septem,seizh
740,acht::NUM,octo,eizh
741,neun::NUM,novem,nav
742,zehn::NUM,decem,dek
743,elf::NUM,undecim,unnek
744,zwölf::NUM,duodecim,daouzek
745,zwanzig::NUM,viginti,ugent
746,dreißig::NUM,triginta,tregont
747,vierzig::NUM,quadraginta,daou-ugent
748,fünfzig::NUM,quinquaginta,hanter-kant
749,sechzig::NUM,sexaginta,tri-ugent
750,siebzig::NUM,septuaginta,dek ha tri-ugent
751,achtzig::NUM,octoginta,pevar-ugent
752,neunzig::NUM,nonaginta,dek ha pevar-ugent
753,hundert::NUM,centum,kant
754,tausend::NUM,mille,mil
755,und::CNJ,et,ha
756,und::CNJ,-que,ha
757,oder::CNJ,vel,pe
758,stehen::V,stare,bezañ a-sav
759,sitzen::V,sedere,azezañ
760,sitzen::V,sedere,bezañ en e goazez
761,liegen::V,iacere,bezañ en e c'hourvez
762,hängen::V,pendere,krougañ
763,werden::V,fieri,dazonet
764,passieren::V,accidere,c'hoarvezout
765,beginnen::V,incipere,stagañ
766,enden::V,finem habere,achuiñ
767,wechseln::V,mutari,cheñch
768,aufgehen[Sonne]::V,oriri,dirouzañ
769,untergehen[Sonne]::V,occidere,
770,scheinen[Sonne]::V,lucere,lugernañ
771,donnern::V,tonare,taranal
772,wehen::V,flare,c'hwezhañ
773,strömen::V,fluere,deredek
774,fließen::V,manare,redek
775,sich drehen::V,torqueri,troiñ
776,schwanken::V,vacillare,trantellat
777,schwingen::V,vibrare,froumal
778,fallen::V,cadere,kouezhañ
779,brennen::V,ardere,deviñ
780,rauchen::V,fumare,divogedañ
781,regnen::V,pluere,glavañ
782,gefrieren::V,congelari,reviñ
783,tauen::V,rorare,diskornañ
784,schmelzen::V,liquescere,teuziñ
785,trocknen::V,arescere,sec'hañ
786,sieden::V,fervere,berviñ
787,faulen::V,putescere,breinañ
788,verfaulen::V,putescere,breinañ
789,reißen::V,scindi,darnaouiñ
790,versinken::V,mergi,sodellañ
791,vergehen::V,praeterire,tremen
792,erscheinen::V,apparere,donet war-wel
793,verschwinden::V,discedere,monet diwar wel
794,sinken::V,labi,en em izelat
795,abnehmen::V,deminui,nebeutaat
796,zunehmen::V,augeri,kreskiñ
797,steigen::V,augescere,sevel
798,wachsen::V,crescere,kreskiñ
799,glänzen::V,splendere,lugernañ
800,funkeln::V,micare,elieniñ
801,lärmen::V,strepere,rabotat
802,läuten::V,sonare,
803,klingeln::V,tinnire,
804,klirren::V,crepare,diridignat
805,klirren::V,crepare,sterlinkañ
806,brausen::V,saevire,gwegal
807,rauschen::V,crepare,trouzal
808,klingen::V,sonare,seniñ
809,bellen::V,latrare,harzhal
810,heulen::V,ululare,yudal
811,blasen::V,flare,c'hwezhañ
812,pfeifen::V,sibilare,c'hwitellat
813,schreien::V,clamare,huchal
814,stöhnen::V,gemere,hirvoudiñ
815,zittern::V,tremere,krenañ
