,Concept_ID,mhr,kl
349,Stück::N,ка́тыш,nakkaalaniku
350,Stück::N,ла́стык,nakkaalaniku
351,Teil::N,ужа́ш,tassiaasat
352,Hälfte::N,пел,affaq
353,Hälfte::N,пе́ле,affaq
354,Kreis::N,ты́ртыш,kaajaluinneq or kaajaluitsoq
355,Kreuz::N,ыре́с,sanningasulik
356,Linie::N,ли́ний,tittaq
357,Linie::N,ли́ний,titarneq
358,Strich::N,коре́ш,
359,Abstand::N,кокла́,aku
360,Abstand::N,кокла́,ikiaq
361,Entfernung::N,тора́,asi
362,Entfernung::N,ку́жыт,asi
363,Gegend::N,кунде́м,nuna
364,Platz::N,ку́мдык,ini
365,Platz::N,ку́мдык,inissaq
366,Ort::N,вер,sumiiffik
367,Ort::N,о́лмо,sumiiffik
368,Seite::N,ӧ́рдыж,saneraq
369,Mitte::N,покше́л,qiteq
370,Gegenstand::N,наста́,
371,Sache::N,наста́,pigisaq
372,Rand::N,тӱр,sini
373,Rand::N,тӱр,akerfineq
374,Kante::N,тӱр,akerfineq
375,Ecke::N,лук,teqeqqoq
376,Ecke::N,лук,tikeqqoq
377,Spitze::N,вуй,inngik
378,Ende::N,муча́ш,isu
379,Loch::N,рож,putu
380,Winkel::N,лук,teqeqqorissaat
381,Muster::N,пеза́к,ilisserut
382,Muster::N,узо́р,ilisserut
383,Muster::N,ӱ́лгӧ,ilisserut
384,Größe::N,кӱ́кшыт,angissuseq
385,Länge::N,ку́тыш,takissuseq
386,Höhe::N,кӱ́кшыт,
387,Gewicht::N,не́лыт,oqimaalutaq
388,Menge::N,чот,amerlassuseq
389,Haufen::N,кы́шыл,eqimattat
390,Reihe::N,рада́м,allunaasaq
391,Boot::N,пуш,qajaq
392,Boot::N,пуш,angallat
393,Boot::N,пуш,umiatsiaq
394,Ruder::N,эшка́к,iput
395,Schlitten::N,тер,qamutit
396,Schlitten::N,тер,qimusseq
397,Schlitten::N,изде́р,qamutit
398,Schlitten::N,изде́р,qimusseq
399,Ski::N,е́че,ataarut
400,Lagerfeuer::N,туло́то,
401,Last::N,нӧ́лтыш,nammagaq
402,Gang::N,ошкылма́ш,
403,Schritt::N,о́шкыл,allorneq
404,Norden::N,йӱдйыма́л,avannaq
405,Süden::N,кечывалве́л,qava
406,Süden::N,кечывалве́л,kujat
407,Süden::N,кечывалве́л,kujataa
408,Westen::N,касве́л,kitaa
409,Osten::N,эрве́л,kangi
410,Holz::N,пу,qisuk
411,Brett::N,оҥа́,salliligaq
412,Platte::N,аста́р,qaateq
413,Stütze::N,чара́к,ajagutaq
414,Stütze::N,чара́к,ajaagutaq
