,Concept_ID,kn,cy
42,Ader::N,ನರ,gwythïen
43,Sehne::N,ನರ,gewyn
44,Knochen::N,ಮೂಳೆ,asgwrn
45,Gehirn::N,ಮಿದುಳು,ymennydd
46,Herz::N,ಹೃದಯ,calon
47,Magen::N,ಉದರ,cylla
48,Magen::N,ಉದರ,stumog
49,Leber::N,ಯಕೃತ್ತು,iau
50,Atem::N,ಉಸಿರು,anadl
51,Hunger::N,ಹಸಿವು,newyn
52,Träne::N,ಕಣ್ಣೀರು,deigryn
53,Geschmack::N,ರುಚಿ,cyflas
54,Geruch::N,ವಾಸನೆ,aroglau
55,Schlaf::N,ನಿದ್ರೆ,cwsg
56,Traum::N,ಕನಸು,breuddwyd
57,Himmel::N,ಬಾನು,awyr
58,Sonne::N,ಸೂರ್ಯ,haul
59,Mond::N,ಚಂದ್ರ,lleuad
60,Stern::N,ಚುಕ್ಕಿ,seren
61,Luft::N,ವಾಯು,awyr
62,Wind::N,ಗಾಳಿ,gwynt
63,Welle::N,ಅಲೆ,ton
64,Wasser::N,ನೀರು,dŵr
65,Stein::N,ಕಲ್ಲು,carreg
66,Boden::N,ನೆಲ,llawr
67,Erde::N,ಭೂಮಿ,pridd
68,Staub::N,ದೂಳು,llwch
69,Rauch::N,ಹೊಗೆ,mwg
70,Funke::N,ಕಿಡಿ,gwreichioni
71,Feuer::N,ಬೆಂಕಿ,tân
72,Licht::N,ಬೆಳಕು,golau
73,Schatten::N,ನೆರಳು,cysgod
74,Wetter::N,ಹವ,tywydd
75,Nebel::N,ಮಂಜು,niwl
76,Wolke::N,ಮೋಡ,cwmwl
77,Regen::N,ಮಳೆ,glaw
78,Schnee::N,ಹಿಮ,ôd
79,Schnee::N,ಹಿಮ,eira
80,Eis::N,ಮಂಜುಗಡ್ಡೆ,iâ
81,Frost::N,ಮಂಜು,rhew
82,Kälte::N,ಹಿಮ,oerni
83,Kälte::N,ಹಿಮ,annwyd
84,Hitze::N,ಉಷ್ಣ,gwres
85,Raureif::N,ಇಬ್ಬನಿ,barrug
86,Regenbogen::N,ಇಂದ್ರಚಾಪ,enfys
87,Donner::N,ಗುಡುಗು,tyrfau
88,Strömung::N,ಪ್ರವಾಹ,cerrynt
89,Tropfen::N,ತೊಟ್ಟು,dafn
90,Tropfen::N,ತೊಟ್ಟು,diferyn
91,Schaum::N,ನೊರೆ,ewyn
92,Schmutz::N,ಕಸ,baw
93,Schmutz::N,ಕಸ,budreddi
94,See::N,ಸರೋವರ,llyn
95,Sumpf::N,ಜೌಗುಸ್ಥಳ,cors
96,Moor::N,ಬಂಜರು ಭೂಮಿ,rhos
97,Wiese::N,ಹುಲ್ಲುಗಾವಲು,dôl
98,Wald::N,ಕಾಡು,coedwig
99,Hügel::N,ಗುಡ್ಡೆ,bryn
100,Anhöhe::N,ದಿಬ್ಬ,bryn
101,Berg::N,ಮಲೆ,mynydd
102,Berg::N,ಪರ್ವತ,mynydd
103,Gipfel::N,ಶೃಂಗ,copa
104,Höhle::N,ಗುಹೆ,ogof
105,Abhang::N,ಇಳಿಜಾರು,llethr
106,Quelle::N,ಮೂಲ,tarddiad
107,Quelle::N,ಮೂಲ,ffynhonnell
108,Bach::N,ತೊರೆ,nant
109,Bach::N,ತೊರೆ,afonig
110,Bach::N,ತೊರೆ,cornant
111,Fluss::N,ನದಿ,afon
112,Ufer::N,ತೀರ,glan
113,Küste::N,ದಂಡೆ,traeth
114,Küste::N,ದಂಡೆ,arfordir
115,Festland::N,ಭೂಮಿ,tir
116,Meer::N,ಕಡಲು,môr
117,Bucht::N,ಖಾರಿ,bae
118,Insel::N,ದ್ವೀಪ,ynys
119,Blume::N,ಸುಮ,blodyn
120,Gras::N,ಹುಲ್ಲು,glaswellt
121,Wurzel::N,ಬೇರು,gwreiddyn
122,Baum::N,ಮರ,coeden
123,Stamm::N,ಕಾಂಡ,colfen
124,Stamm::N,ಕಾಂಡ,boncyff
125,Rinde::N,ತೂಗಟಿ,rhisgl
126,Ast::N,ಶಾಖೆ,cangen
127,Zweig::N,ರೆಂಬೆ,cainc
128,Zweig::N,ರೆಂಬೆ,cangen
129,Blatt::N,ಎಲೆ,deilen
130,Birke::N,ಬರ್ಚ್ ಮರ,bedwen
131,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,pinwydden
132,Weide[Baum]::N,ವಿಲೋಮರ,helygen
133,Tanne::N,ಭದ್ರದಾರು,ffynidwydden
134,Horn::N,ಕೊಂಬು,corn
135,Feder::N,ಪುಕ್ಕ,plufyn
136,Fell::N,ರೋಮ,ffwr
137,Flügel::N,ರೆಕ್ಕೆ,adain
138,Klaue::N,ಪಂಜ,crafanc
139,Kralle::N,ಉಗುರು,ewin
140,Schwanz::N,ಬಾಲ,cwt
141,Schwanz::N,ಬಾಲ,cynffon
142,Ei::N,ಮೊಟ್ಟೆ,wy
143,Nest::N,ಗೂಡು,nyth
144,Bau::N,ಅಡಗುದಾಣ,ffau
145,Tier::N,ಪ್ರಾಣಿ,anifail
146,Herde::N,ಗುಂಪು,praidd
147,Herde::N,ಗುಂಪು,diadell
148,Kuh::N,ಹಸು,buwch
149,Bulle::N,ಗೂಳಿ,tarw
150,Pferd::N,ಕುದುರೆ,ceffyl
151,Schaf::N,ಕುರಿ,dafad
152,Schwein::N,ಹಂದಿ,mochyn
153,Hund::N,ನಾಯಿ,ci
154,Katze::N,ಬೆಕ್ಕು,cath
155,Bär::N,ಕರಡಿ,arth
156,Eichhörnchen::N,ಉಡುತೆ,gwiwer
157,Elch::N,ಕಡವೆ,elc
158,Fuchs::N,ನರಿ,cadno
159,Hase::N,ಮೊಲ,ysgyfarnog
160,Maus::N,ಇಲಿ,llygoden
161,Wolf::N,ತೋಳ,blaidd
162,Vogel::N,ಪಕ್ಷಿ,aderyn
163,Schwarm::N,ಗುಂಪು,haid
164,Huhn::N,ಚಿಕ್,cyw
165,Hahn::N,ಹುಂಜ,ceiliog
166,Gans::N,ವರಟೆ,gŵydd
167,Adler::N,ಗರುಡ,eryr
168,Ente::N,ಬಾತು,hwyad
169,Eule::N,ಗೂಬೆ,tylluan
170,Kranich::N,ಕೊಕ್ಕರ,garan
171,Kranich::N,ಕೊಕ್ಕರ,crychydd
172,Krähe::N,ಕಾಗೆ,brân
173,Kuckuck::N,ಕೋಗಿಲೆ,cog
174,Kuckuck::N,ಕೋಗಿಲೆ,cwcw
175,Schwan::N,ಹಂಸಪಕ್ಷಿ,alarch
176,Fisch::N,ಮೀನು,pysgod
177,Barsch::N,ಪರ್ಚ್ ಮೀನು,draenog
178,Hecht::N,ಪೈಕ್ ಮೀನು,penhwyad
179,Schlange[Tier]::N,ಹಾವು,neidr
180,Wurm::N,ಹುಳು,abwydyn
181,Wurm::N,ಹುಳು,pryf genwair
182,Spinne::N,ಊರ್ಣನಾಭ,cor
183,Spinne::N,ಊರ್ಣನಾಭ,pryf copyn
184,Ameise::N,ಇರುವೆ,morgrugyn
185,Laus::N,ಹೇನು,lleuen
186,Mücke::N,ಸೊಳ್ಳೆ,gwybedyn
187,Fliege::N,ನೊಣ,cleren
188,Schmetterling::N,ಪತಂಗ,glöyn byw
189,Schmetterling::N,ಪತಂಗ,iâr fach yr haf
190,Beere::N,ನಯವಣ್ಣು,aeronen
191,Apfel::N,ಸೇಬು,afal
192,Pilz::N,ಅಣಬೆ,madarch
193,Zwiebel::N,ನೀರುಳ್ಳಿ,nionyn
194,Zwiebel::N,ನೀರುಳ್ಳಿ,winwnsyn
195,Saat::N,ಬಿತ್ತ,had
196,Korn::N,ಬೀಜ,grawn
197,Heu::N,ಕರಡ,gwair
198,Schale::N,ಹೊಟ್ಟು,croen
199,Schale::N,ಹೊಟ್ಟು,plisgyn
200,Grube::N,ಗುಂಡಿ,pwll
201,Grube::N,ಗುಂಡಿ,pydew
202,Falle::N,ಬೋನು,magl
203,Schlinge::N,ಉರುಲು,cwlwm rhedeg
204,Spur::N,ಜಾಡು,ôl
205,Asche::N,ಬೂದಿ,lludw
206,Dreck::N,ಹೊಲಸು,baw
207,Dreck::N,ಹೊಲಸು,budreddi
208,Eisen::N,ಕಬ್ಬಿಣ,haearn
209,Gold::N,ಚಿನ್ನ,aur
210,Silber::N,ಬೆಳ್ಳಿ,arian
211,Kohle::N,ಕಲ್ಲಿದ್ದಲು,glo
212,Glas::N,ಗಾಜು,gwydr
213,Lehm::N,ಜೇಡಿಮಣ್ಣು,clai
214,Sand::N,ಮರಳು,tywod
215,Mensch::N,ಪುರುಷ,dyn
216,Mann::N,ಆಳು,dyn
217,Frau::N,ಹೆಣ್ಣು,merch
218,Frau::N,ಹೆಣ್ಣು,gwraig
219,Kind::N,ಮಗು,plentyn
220,Junge::N,ಹುಡುಗ,hogyn
221,Junge::N,ಹುಡುಗ,bachgen
222,Mädchen::N,ಹುಡುಗಿ,merch
223,Mädchen::N,ಹುಡುಗಿ,geneth
224,Familie::N,ಕುಟುಂಬ,teulu
225,Familie::N,ಕುಟುಂಬ,tylwyth
226,Großvater::N,ಅಜ್ಜ,taid
227,Großvater::N,ಅಜ್ಜ,tad-cu
228,Großmutter::N,ಅಮ್ಮ,nain
229,Großmutter::N,ಅಮ್ಮ,mam-gu
230,Eltern::N,ಹೆತ್ತವರು,rhieni
231,Vater::N,ತಂದೆ,tad
232,Mutter::N,ಅಮ್ಮ,mam
233,Sohn::N,ಮಗ ,mab
234,Tochter::N,ಮಗಳು,merch
235,Bruder::N,ತಮ್ಮ,brawd
236,Schwester::N,ತಂಗಿ,chwaer
237,Onkel::N,ಸೋದರಮಾವ,ewythr
238,Onkel::N,ದೊಡ್ಡಪ್ಪ,ewythr
239,Tante::N,ಚಿಕ್ಕಮ್ಮ,modryb
240,Ehemann::N,ಗಂಡ,gŵr
241,Ehefrau::N,ಹೆಂಡತಿ,gwraig
242,Freude::N,ನಲಿವು,gorfoledd
243,Gelächter::N,ನಗೆ,chwerthin
244,Glück::N,ಆನಂದ,hapusrwydd
245,Kummer::N,ದುಃಖ,galar
246,Wunsch::N,ಬಯಕೆ,dymuniad
247,Lust::N,ಇಷ್ಟ,chwant
248,Geist::N,ಆತ್ಮ,ysbryd
249,Gedanke::N,ಯೋಚನೆ,meddwl
250,Gedächtnis::N,ಸ್ಮರಣೆ,cof
251,Verstand::N,ಮನಸ್ಸು,meddwl
252,Sinn::N,ಅರ್ಥ,ystyr
253,Grund::N,ಕಾರಣ,achos
254,Grund::N,ಕಾರಣ,rheswm
255,Wahrheit::N,ಸತ್ಯ,gwir
256,Wahrheit::N,ಸತ್ಯ,gwirionedd
257,Gespräch::N,ಸಂಭಾಷಣೆ,sgwrs
258,Märchen::N,ಸುಳ್ಳು ಕಥೆ,chwedl werin
259,Erzählung::N,ಕಥೆ,stori
260,Nachricht::N,ಸಂದೇಶ,neges
261,Neuigkeit::N,ಸುದ್ದಿ,newydd
262,Name::N,ಹೆಸರು,enw
263,Rätsel::N,ಒಗಟು,pos
264,Rede::N,ಮಾತು,araith
265,Sprache::N,ಭಾಷೆ,iaith
266,Stimme::N,ಧ್ವನಿ,llais
267,Wort::N,ಮಾತು,gair
268,Zeichen::N,ಗುರುತು,arwydd
269,Ruf::N,ಕೂಗು,galwad
270,Lärm::N,ಸದ್ದು,trwst
271,Laut::N,ಶಬ್ದ,sain
272,Ton::N,ನಾದ,tôn
273,Lied::N,ಗಾನ,cân
274,Ruhe::N,ಶಾಂತಿ,tawelwch
275,Leute::N,ಮಂದಿ,pobl
276,Volk::N,ಜನಾಂಗ,pobl
277,Arbeit::N,ಕೆಲಸ,gwaith
278,Gast::N,ಅತಿಥಿ,gwestai
279,Geschenk::N,ಕಾಣಿಕೆ,rhodd
280,Geschenk::N,ಕಾಣಿಕೆ,anrheg
281,Spiel::N,ಆಟ,chwarae
282,Gesellschaft::N,ಸಂಗ,cwmni
283,Hilfe::N,ಸಹಾಯ,cymorth
284,Freund::N,ಸ್ನೇಹಿತ,cyfaill
285,Kamerad::N,ಜೊತೆಗಾರ,cydymaith
286,Angelegenheit::N,ವಿಚಾರ,pwnc
287,Anzahl::N,ಎಣಿಕೆ,cyfrif
288,Art::N,ತರ,bath
289,Stück::N,ತುಂಡು,darn
290,Teil::N,ಭಾಗ,rhan
291,Hälfte::N,ಅರ್ಧ,hanner
292,Kreis::N,ವೃತ್ತ,cylch
293,Kreuz::N,ಶಿಲುಬೆ,croes
294,Linie::N,ರೀಖೆ,llinell
295,Strich::N,ಗೀಟು,strôc
296,Strich::N,ಗೀಟು,trawiad
297,Abstand::N,ಅಂತರ,bwlch
298,Abstand::N,ಅಂತರ,pellter
299,Entfernung::N,ದೂರ,pellter
300,Gegend::N,ವಿಸ್ತೀರ್ಣ,cylch
301,Platz::N,ಅಂತರ,lle
302,Ort::N,ಸ್ಥಳ,lle
303,Seite::N,ಪಕ್ಷ,ochr
304,Mitte::N,ನಡು,canol
305,Gegenstand::N,ವಸ್ತು,eitem
306,Sache::N,ವಸ್ತು,peth
307,Rand::N,ಅಂಚು,cwr
308,Rand::N,ಅಂಚು,ymyl
309,Kante::N,ಅಂಚು,min
310,Kante::N,ಅಂಚು,ymyl
311,Ecke::N,ಮೂಲೆ,cornel
312,Spitze::N,ತುದಿ,blaen
313,Ende::N,ಕೊನೆ,pen
314,Loch::N,ತೂತು,twll
315,Winkel::N,ಕೋನ,congl
316,Muster::N,ನಮೂನೆ,patrwm
317,Größe::N,ಪ್ರಮಾಣ,maint
318,Größe::N,ಪ್ರಮಾಣ,maintioli
319,Länge::N,ಉದ್ದ,hyd
320,Höhe::N,ಎತ್ತರ,uchder
321,Gewicht::N,ತೂಕ,pwysau
322,Menge::N,ಮೊತ್ತ,swm
323,Menge::N,ಮೊತ್ತ,maint
324,Haufen::N,ರಾಶಿ,pentwr
325,Reihe::N,ಸಾಲು,rhes
326,Boot::N,ದೋಣಿ,cwch
327,Ruder::N,ಹುಟ್ಟು,rhwyf
328,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,sled
329,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,car llusg
330,Ski::N,ಜಾರುಪಟ್ಟಿ,sgi
331,Lagerfeuer::N,ಶಿಬಿರಾಗ್ನಿ,coelcerth
332,Last::N,ಹೊರೆ,llwyth
333,Gang::N,ತಿರುಗಾಟ,tro
334,Schritt::N,ಹೆಜ್ಜೆ,cam
335,Norden::N,ಉತ್ತರ,gogledd
336,Süden::N,ದಕ್ಷಿಣ,de
337,Westen::N,ಪಶ್ಚಿಮ,gorllewin
338,Osten::N,ಮೂಡಲು,dwyrain
339,Holz::N,ಚೌಬೀನೆ,pren
340,Brett::N,ಹಲಗೆ,bwrdd
341,Brett::N,ಹಲಗೆ,astell
342,Platte::N,ಹಲಗೆ,llech
343,Stütze::N,ಆಸರೆ,ateg
344,Stütze::N,ಆಸರೆ,cynhalydd
345,Stange::N,ಕಂಬ,polyn
346,Stock::N,ಕೋಲು,ffon
347,Stock::N,ಕೋಲು,brigyn
348,Stab::N,ದೊಣ್ಣೆ,ffon
349,Rohr::N,ನಳಿಕೆ,pibell
350,Haus::N,ಮನೆ,tŷ
351,Heim::N,ಗೃಹ,cartref
352,Ofen::N,ಒಲೆ,stof
353,Fußboden::N,ನೆಲ,llawr
354,Tisch::N,ಮೇಜು,bwrdd
355,Stuhl::N,ಕುರ್ಚಿ,cadair
356,Wiege::N,ತೊಟ್ಟಿಲು,crud
357,Bett::N,ಹಾಸಿಗೆ,gwely
358,Regal::N,ಬೀರು,silff
359,Kiste::N,ಪಟ್ಟಿಗೆ,bocs
360,Kiste::N,ಪಟ್ಟಿಗೆ,blwch
361,Fenster::N,ಕಿಟಕಿ,ffenestr
362,Tür::N,ಬಾಗಿಲು,drws
363,Tor::N,ಹೆಬ್ಬಾಗಿಲು,porth
364,Zaun::N,ಬೇಲಿ,ffens
365,Dach::N,ಮಾಳಿಗೆ,to
366,Leiter::N,ಏಣಿ,ysgol
367,Besen::N,ಪೊರಕೆ,ysgub
368,Spaten::N,ಗುದ್ದಲಿ,rhaw
369,Schaufel::N,ಸನಿಕೆ,rhaw
370,Gabel::N,ಕವಲು,fforc
371,Löffel::N,ಚಮಚ,llwy
372,Messer::N,ಚಾಕು,cyllell
373,Nagel::N,ಆಣಿ,hoel
374,Netz::N,ಬಲೆ,gwe
375,Netz::N,ಬಲೆ,rhwyd
376,Haken::N,ಕೊಂಡಿ,bach
377,Griff::N,ಹಿಡಿ,carn
378,Schloss::N,ವೀಗ,clo
379,Bild::N,ಚಿತ್ರ,llun
380,Bild::N,ಚಿತ್ರ,pictiwr
381,Figur::N,ಆಕಾರ,ffigur
382,Puppe::N,ಗೊಂಬೆ,dol
383,Beutel::N,ಸಂಚಿ,cwd
384,Bündel::N,ಕಟ್ಟು,bwndel
385,Bündel::N,ಕಟ್ಟು,coflaid
386,Tasche::N,ಚೀಲ,cod
387,Eimer::N,ಬಾನೆ,bwced
388,Eimer::N,ಬಾನೆ,cunnog
389,Deckel::N,ಮುಚ್ಚಳ,caead
390,Geschirr::N,ಭಕ್ಷ್ಯಗಳು,llestri
391,Sack::N,ಮೂಟೆ,sach
392,Tasse::N,ಬಟ್ಟಲು,cwpan
393,Topf::N,ಮಡಕೆ,pot
394,Topf::N,ಮಡಕೆ,crochan
395,Kessel::N,ಕೆಟಲ್,tegell
396,Essen::N,ಊಟ,pryd o fwyd
397,Nahrung::N,ಆಹಾರ,bwyd
398,Speise::N,ಊಟ,saig
399,Fleisch::N,ಮಾಂಸ,cig
400,Getreide::N,ಧಾನ್ಯ,ŷd
401,Getreide::N,ಧಾನ್ಯ,llafur
402,Brei::N,ಗಂಜಿ,uwd
403,Brot::N,ರೊಟ್ಟಿ,bara
404,Scheibe::N,ಹೋಳು,tafell
405,Fett::N,ಕೊಬ್ಬು,saim
406,Fett::N,ಕೊಬ್ಬು,braster
407,Butter::N,ಬೆಣ್ಣೆ,ymenyn
408,Öl::N,ಎಣ್ಣೆ,olew
409,Salz::N,ಉಪ್ಪು,halen
410,Suppe::N,ಎಸರು,cawl
411,Honig::N,ಮಧು,mêl
412,Milch::N,ಹಾಲು,llaeth
413,Milch::N,ಹಾಲು,llefrith
414,Tee::N,ಚಹ,te
415,Leder::N,ಚಕ್ಕಳ,lledr
416,Wolle::N,ಉಣ್ಣೆ,gwlân
417,Stoff::N,ಬಟ್ಟೆ,lliain
418,Stoff::N,ಬಟ್ಟೆ,brethyn
419,Nadel::N,ಸೂಜಿ,nodwydd
420,Faden::N,ದಾರ,edau
421,Faden::N,ದಾರ,edefyn
422,Knopf::N,ಗುಂಡು,botwm
423,Knoten::N,ಗಂಟು,cwlwm
424,Farbe::N,ಬಣ್ಣ,paent
425,Kleidung::N,ಅರಿವೆ,dillad
426,Kleidung::N,ಅರಿವೆ,gwisgoedd
427,Hemd::N,ಅಂಗಿ,crys
428,Kragen::N,ಕುತ್ತಿಗೆಪಟ್ಟಿ,coler
429,Ärmel::N,ತೋಳು,llawes
430,Hose::N,ಇಜಾರ,trowsus
431,Gürtel::N,ಬೆಲ್ಟು,gwregys
432,Mütze::N,ಟೋಪಿ,cap
433,Schuh::N,ಪಾದರಕ್ಷೆ,esgid
434,Stiefel::N,ಬೂಟು,botasen
435,Ring::N,ಉಂಗುರ,modrwy
436,Band::N,ರಿಬ್ಬನ್,rhuban
437,Kamm::N,ಹಣಿಗೆ,crib
438,Spiegel::N,ಕನ್ನಡಿ,drych
439,Riemen::N,ಬಾರು,strap
440,Schnur::N,ಹುರಿ,llinyn
441,Leine::N,ಹಗ್ಗ,tennyn
442,Decke::N,ಕಂಬಳಿ,blanced
443,Decke::N,ಕಂಬಳಿ,gwrthban
444,Kissen::N,ದಿಂಬು,clustog
445,Kissen::N,ದಿಂಬು,gobennydd
446,Tuch::N,ಕೊರಳ ಬಟ್ಟೆ,sgarff
447,Handtuch::N,ಚೌಕ,tywel
448,Handtuch::N,ಚೌಕ,lliain sychu
449,Kraft::N,ಬಲ,grym
450,Stärke::N,ಶಕ್ತಿ,nerth
451,Stärke::N,ಶಕ್ತಿ,cryfder
452,Gesundheit::N,ಆರೋಗ್ಯ,iechyd
453,Krankheit::N,ರೋಗ,afiechyd
454,Krankheit::N,ರೋಗ,anhwylder
455,Schmerz::N,ನೋವು,poen
456,Schmerz::N,ನೋವು,gwayw
457,Wunde::N,ಗಾಯ,clwyf
458,Fieber::N,ಜ್ವರ,twymyn
459,Arznei::N,ಔಷಧ,meddyginiaeth
460,Brücke::N,ಸೇತುವೆ,pont
461,Brunnen::N,ಬಾವಿ,ffynnon
462,Weide::N,ಗೋಮಾಳ,porfa
463,Pfad::N,ದಾರಿ,llwybr
464,Weg::N,ಹಾದಿ,ffordd
465,Straße::N,ರಸ್ತೆ,heol
466,Straße::N,ರಸ್ತೆ,ffordd
467,Dorf::N,ಹಳ್ಳಿ,pentref
468,Stadt::N,ಪಟ್ಟಣ,tref
469,Brief::N,ಕಾಗದ,llythyr
470,Buch::N,ಪುಸ್ತಕ,llyfr
471,Buchstabe::N,ಅಕ್ಷರ,llythyren
472,Zeitung::N,ವಾರ್ತಾಪತ್ರಿಕೆ,papur newydd
473,Leben::N,ಜೀವನ,bywyd
474,Tod::N,ಮರಣ,marwolaeth
475,Grab::N,ಗೋರಿ,bedd
476,Kirche::N,ಚರ್ಚು,eglwys
477,Sünde::N,ಪಾಪ,pechod
478,Gott::N,ದೇವರು,duw
479,Arbeiter::N,ಕೆಲಸಗಾರ,gweithiwr
480,Chef::N,ದಣಿ,pennaeth
481,Meister::N,ಶಿಕ್ಷಕ,meistr
482,Arzt::N,ವೈದ್ಯ,meddyg
483,Lehrer::N,ಉಪಾಧ್ಯಾಯ,athro
484,Geld::N,ಹಣ,pres
485,Geld::N,ಹಣ,arian
486,Geschäft::N,ವಾಣಿಜ್ಯ,busnes
487,Laden::N,ಅಂಗಡಿ,siop
488,Preis::N,ಬೆಲೆ,pris
489,Ware::N,ಸರಕು,nwydd
490,Nutzen::N,ಲಾಭ,elw
491,Nutzen::N,ಲಾಭ,budd
492,Reichtum::N,ಸಂಪತ್ತು,cyfoeth
493,Welt::N,ಭೂಲೋಕ,byd
494,Land::N,ದೇಶ,gwlad
495,Staat::N,ರಾಜ್ಯ,gwladwriaeth
496,König::N,ರಾಜ,brenin
497,Macht::N,ಅಧಿಕಾರ,grym
498,Macht::N,ಅಧಿಕಾರ,awdurdod
499,Grenze::N,ಗಡಿ,ffin
500,Grenze::N,ಗಡಿ,goror
501,Krieg::N,ಯುದ್ಧ,rhyfel
502,Feind::N,ಶತ್ರು,gelyn
503,Gewalt::N,ಹಿಂಸೆ,ffyrnigrwydd
504,Kampf::N,ಹೋರಾಟ,brwydr
505,Bogen[Waffe]::N,ಬಿಲ್ಲು,bwa
506,Pfeil::N,ಅಂಬು,saeth
507,Gewehr::N,ಬಂದೂಕು,dryll
508,Fehler::N,ತಪ್ಪು,gwall
509,Fehler::N,ತಪ್ಪು,camgymeriad
510,Lüge::N,ಸುಳ್ಳು,celwydd
511,Lüge::N,ಸುಳ್ಳು,anwiredd
512,Schaden::N,ಹಾನಿ,niwed
513,Schaden::N,ಹಾನಿ,difrod
514,Unglück::N,ಅಪಾಯ,anffawd
515,Schuld::N,ದೋಷ,bai
516,Alter::N,ಮುಪ್ಪು,oed
517,Schluss::N,ಮುಕ್ತಾಯ,diwedd
518,Zeit::N,ಕಾಲ,amser
519,Tag::N,ದಿನ,dydd
520,Tag::N,ದಿನ,diwrnod
521,Morgen::N,ಮುಂಜಾನೆ,bore
522,Mittag::N,ನಡುಹಗಲು,nawn
523,Abend::N,ಸಂಜೆ,noswaith
524,Nacht::N,ರಾತ್ರಿ,nos
525,Woche::N,ವಾರ,wythnos
526,Monat::N,ತಿಂಗಳು,mis
527,Jahr::N,ಸಂವತ್ಸರ,blwyddyn
528,Frühling::N,ವಸಂತ,gwanwyn
529,Sommer::N,ಬಿಸಿಲುಕಾಲ,haf
530,Herbst::N,ಶರತ್ಕಾಲ,hydref
531,Winter::N,ಚಳಿಗಾಲ,gaeaf
532,Januar::N,ನಾಲ್ಚಳಿ,Ionawr
533,Februar::N,ಅಯ್ಚಳಿ,Chwefror
534,März::N,ಮೊಬ್ಬೇಸಿಗೆ,Mawrth
535,April::N,ಇಬ್ಬೇಸಿಗೆ,Ebrill
536,Mai::N,ಮುಬ್ಬೇಸಿಗೆ,Mai
537,Juni::N,ಮೊಮ್ಮಳೆ,Mehefin
538,Juli::N,ಇಮ್ಮಳೆ,Gorffennaf
539,August::N,ಮುಮ್ಮಳೆ,Awst
540,September::N,ನಾಲ್ಮಳೆ,Medi
541,Oktober::N,ಮೊಚ್ಚಳಿ,Hydref
542,November::N,ಇಚ್ಚಳಿ,Tachwedd
543,Dezember::N,ಮುಚ್ಚಳಿ,Rhagfyr
544,Montag::N,ಸೋಮುವಾರ,dydd Llun
545,Dienstag::N,ಮಂಗಳವಾರ,dydd Mawrth
546,Mittwoch::N,ಬುಧವಾರ,dydd Mercher
547,Donnerstag::N,ಗುರುವಾರ,dydd Iau
548,Freitag::N,ಶುಕ್ರವಾರ,dydd Gwener
549,Samstag::N,ಶನಿವಾರ,dydd Sadwrn
550,Sonntag::N,ಭಾನುವಾರ,dydd Sul
551,groß::A,ದೊಡ್ಡ,mawr
552,klein::A,ಪುಟ್ಟ,bach
553,lang::A,ದೀರ್ಘ,hir
554,kurz::A,ಚಕ್ಕ,byr
555,kurz::A,ಚಕ್ಕ,cwta
556,breit::A,ಅಗಲವಾದ,llydan
557,schmal::A,ಇಕ್ಕಟ್ಟಾದ,cul
558,dicht::A,ದಟ್ಟ,dwys
559,dick[Gegenstand]::A,ದಟ್ಟ,trwchus
