,Concept_ID,ka,ce
67,Wasser::N,წყალი,хи
68,Stein::N,ქვა,тӏулг
69,Boden::N,მიწა,цӏенкъа
70,Erde::N,ნიადაგი,латта
71,Staub::N,მტვერი,чан
72,Rauch::N,ბოლი,кӏур
73,Rauch::N,კვამლი,кӏур
74,Funke::N,ნაკვესი,суй
75,Feuer::N,ცეცხლი,цӏе
76,Licht::N,შუქი,серло
77,Licht::N,სინათლე,серло
78,Schatten::N,ლანდი,ӏиндагӏ
79,Schatten::N,ჩრდილი,ӏиндагӏ
80,Wetter::N,ამინდი,хенан хӏоттам
81,Nebel::N,ნისლი,дохк
82,Wolke::N,ღრუბელი,марха
83,Regen::N,წვიმა,догӏа
84,Schnee::N,თოვლი,ло
85,Eis::N,თოში,ша
86,Eis::N,ყინული,ша
87,Frost::N,ყინვა,шело
88,Kälte::N,სიცივე,шело
89,Hitze::N,სიცხე,йовхо
90,Raureif::N,ჭირხლი,йис
91,Raureif::N,თრთვილი,йис
92,Regenbogen::N,ცისარტყელა,стелаӏад
93,Donner::N,ქუხილი,ткъес
94,Strömung::N,დინება,дӏаэхар
95,Strömung::N,დინება,дӏасалелар
96,Tropfen::N,წვეთი,тӏадам
97,Schaum::N,ქაფი,чопа
98,Schaum::N,დორბლი,чопа
99,Schmutz::N,ჭუჭყი,хатт
100,Schmutz::N,ტალახი,хатт
101,See::N,ტბა,ӏам
102,Sumpf::N,ჭაობი,уьшал
103,Moor::N,ტორფნარი,уьшал
104,Wiese::N,ველი,бай
105,Wiese::N,მდელო,бай
106,Wald::N,ტყე,хьун
107,Hügel::N,ბორცვი,гу
108,Hügel::N,ბორცვი,шу
109,Hügel::N,ბორცვი,барз
110,Anhöhe::N,მაღლობი,акъари
111,Berg::N,მთა,лам
112,Gipfel::N,მწვერვალი,бохь
113,Höhle::N,მღვიმე,хьех
114,Höhle::N,გამოქვებული,хьех
115,Abhang::N,ფერდობი,басе
116,Quelle::N,წყარო,шовда
117,Quelle::N,სათავე,шовда
118,Bach::N,რუ,татол
119,Bach::N,ნაკადული,татол
120,Fluss::N,მდინარე,хи
121,Ufer::N,კიდე,хийист
122,Ufer::N,ნაპირი,хийист
123,Küste::N,ნაპირი,йист
124,Festland::N,ხმელეთი,латта
125,Meer::N,ზღვა,xӏорд
126,Bucht::N,ყურე,чож
127,Insel::N,კუნძული,гӏайре
128,Blume::N,ყვავილი,зезаг
129,Gras::N,ბალახი,буц
130,Wurzel::N,ძირი,орам
131,Wurzel::N,ფესვი,орам
132,Baum::N,ხე,дитт
133,Stamm::N,ტანი,гӏад
134,Stamm::N,ტანი,тайпа
135,Rinde::N,ქერქი,кевстиг
136,Ast::N,ტოტი,га
137,Zweig::N,შტო,га
138,Blatt::N,ფოთოლი,гӏа
139,Birke::N,არყი,дакх
140,Kiefer[Baum]::N,ფიჭვი,бага
141,Weide[Baum]::N,ტირიფი,дак
142,Tanne::N,ნაძვი,база
143,Horn::N,რქა,маӏа
144,Feder::N,ფრთა,пелаг
145,Fell::N,ტყავი,цӏока
146,Flügel::N,ფრთა,тӏам
147,Klaue::N,კლანჭი,мӏара
148,Kralle::N,ტორი,тlод
149,Schwanz::N,კუდი,цӏога
150,Ei::N,კვერცხი,xӏoa
151,Nest::N,ბუდე,бен
152,Bau::N,სორო,lуьрг
153,Tier::N,ნადირი,дийнат
154,Tier::N,ცხოველი,дийнат
155,Herde::N,ფარა,жа
156,Kuh::N,ფური,етт
157,Kuh::N,ძროხა,етт
158,Bulle::N,ხარი,сту
159,Pferd::N,რაში,говр
160,Pferd::N,ცხენი,говр
161,Schaf::N,ცხვარი,жий
162,Schaf::N,ცხვარი,уьстагӏ
163,Schwein::N,ღორი,хьакха
164,Hund::N,ძაღლი,жӏаьла
165,Katze::N,კატა,цициг
166,Bär::N,დათვი,ча
167,Eichhörnchen::N,ციყვი,тарсал
168,Elch::N,ცხენ-ირემი,сай
169,Fuchs::N,მელა,цхьогал
170,Hase::N,კურდღელი,пхьагал
171,Maus::N,თაგვი,дахка
172,Wolf::N,მგელი,борз
173,Vogel::N,ჩიტი,олхазар
174,Vogel::N,ფრინველი,олхазар
175,Schwarm::N,გუნდი,
176,Huhn::N,დედალი,котам
177,Hahn::N,მამალი,нӏаьна
178,Hahn::N,მამალი,боргӏал
179,Gans::N,ბატი,гӏаз
180,Adler::N,არწივი,aьрзу
181,Ente::N,იხვი,бад
182,Eule::N,ბუ,бухӏа
183,Kranich::N,წერო,гӏаргӏули
184,Krähe::N,ყვავი,къиг
185,Kuckuck::N,გუგული,aттйокх
186,Schwan::N,გედი,гӏургӏаз
187,Fisch::N,თევზი,чӏара
188,Barsch::N,ქორჭილა,окунь
189,Hecht::N,ქარიყლაპია,гӏазкхийн чӏара
190,Schlange[Tier]::N,გველი,лаьхьа
191,Wurm::N,ჭია,нӏаьна
192,Spinne::N,ობობა,гезг
193,Ameise::N,ჭიანჭველა,зингат
194,Laus::N,ტილი,меза
195,Laus::N,ტილი,гӏениг
196,Laus::N,მკბენარი,меза
197,Laus::N,მკბენარი,гӏениг
198,Mücke::N,კოღო,чуьрк
199,Fliege::N,ბუზი,моза
200,Schmetterling::N,პეპელა,полла
201,Beere::N,კენკრა,цӏазам
202,Apfel::N,ვაშლი,ӏаж
203,Pilz::N,სოკო,жӏаьлин нускал
204,Zwiebel::N,ხახვი,xох
205,Saat::N,თესლი,чlу
206,Korn::N,მარცვალი,буьртиг
207,Heu::N,თივა,йол
208,Schale::N,ჩენჩო,пардо
209,Grube::N,ორმო,ор
210,Falle::N,ხაფანგი,кӏело
211,Schlinge::N,მახე,
212,Spur::N,კვალი,лар
213,Asche::N,ფერფლი,чим
214,Dreck::N,ტალახი,мода
215,Dreck::N,სიბინძურე,мода
216,Eisen::N,რკინა,эчиг
217,Gold::N,ოქრო,деши
218,Silber::N,ვერცხლი,дети
219,Kohle::N,ნახშირი,кӏора
220,Glas::N,მინა,aнгали
221,Lehm::N,თიხა,поппар
222,Sand::N,ქვიშა,гӏум
223,Mensch::N,ადამიანი,адам
224,Mann::N,კაცი,майра
225,Frau::N,ქალი,зуда
226,Kind::N,ბავშვი,бер
227,Junge::N,ვაჟი,жимха
228,Mädchen::N,გოგო,жима йоӏ
229,Familie::N,ოჯახი,доьзал
230,Großvater::N,პაპა,ненада
231,Großvater::N,ბაბუა,ненада
232,Großmutter::N,ბებია,денана
233,Großmutter::N,დიდედა,денана
234,Eltern::N,მშობლები,да-нана
235,Vater::N,მამა,да
236,Mutter::N,დედა,нана
237,Sohn::N,ვაჟიშვილი,кӏант
238,Tochter::N,ქალიშვილი,йоӏ
239,Bruder::N,ძმა,ваша
240,Schwester::N,და,йиша
241,Onkel::N,ბიძა,деваша
242,Tante::N,დეიდა,дейиша
243,Tante::N,მამიდა,дейиша
244,Ehemann::N,ქმარი,майра
245,Ehefrau::N,ცოლი,зуда
246,Freude::N,სიხარული,самукъа
247,Freude::N,სიხარული,хазахетар
248,Gelächter::N,სიცილი,белам
249,Glück::N,ბედნიერება,ирс
250,Kummer::N,მწუხარება,бала
251,Wunsch::N,წადილი,лаам
252,Wunsch::N,სურვილი,лаам
253,Lust::N,წადილი,лаам
254,Geist::N,სული,са
255,Gedanke::N,ფიქრი,ойла
256,Gedächtnis::N,მეხსიერება,диццадалар
257,Verstand::N,ჭკუა,хьекъал
258,Verstand::N,გონება,хьекъал
259,Sinn::N,მნიშვნელობა,маьӏна
260,Grund::N,მიზეზი,бахьана
261,Wahrheit::N,სიმართლე,бакъдерг
262,Wahrheit::N,ჭეშმარიტება,бакъдерг
263,Gespräch::N,ბაასი,къамел
264,Gespräch::N,საუბარი,къамел
265,Märchen::N,არაკი,туьйра
266,Märchen::N,ზღაპარი,туьйра
267,Erzählung::N,თქმულება,дийцар
268,Nachricht::N,ცნობა,хаам
269,Nachricht::N,ამბავი,хаам
270,Neuigkeit::N,სიახლე,керланиг
271,Name::N,სახელი,цӏе
272,Rätsel::N,გამოცანა,хӏетал-метал
273,Rede::N,სიტყვა,къамел
274,Sprache::N,ენა,мотт
275,Stimme::N,ხმა,aз
276,Wort::N,სიტყვა,дош
277,Zeichen::N,ნიშანი,билгало
278,Ruf::N,ძახილი,кхайкхар
279,Lärm::N,ხმაური,гӏовгӏа
280,Laut::N,ხმა,аз
281,Laut::N,ბგერა,аз
282,Ton::N,ტონი,aз
283,Lied::N,სიმღერა,илли
284,Ruhe::N,სიწყნარე,тийналла
285,Leute::N,ადამიანები,нах
286,Volk::N,ერი,халкъ
287,Volk::N,ხალხი,халкъ
288,Arbeit::N,მუშაობა,болх
289,Gast::N,სტუმარი,хьаша
290,Geschenk::N,საჩუქარი,совгӏат
291,Spiel::N,თამაში,ловзар
292,Gesellschaft::N,საზოგადოება,юкъаралла
293,Hilfe::N,შველა,гӏо
294,Hilfe::N,დახმარება,гӏо
295,Freund::N,მეგობარი,доттагl
296,Kamerad::N,ამხანაგი,накъост
297,Angelegenheit::N,საქმე,гӏуллакх
298,Anzahl::N,ოდენობა,терахь
299,Art::N,სახეობა,
300,Stück::N,ნატეხი,юьхк
301,Teil::N,წილი,дакъа
302,Hälfte::N,ნახევარი,ах
303,Kreis::N,წრე,го
304,Kreuz::N,ჯვარი,жӏара
305,Linie::N,ხაზი,сиз
306,Strich::N,შტრიხი,сиз
307,Abstand::N,მანძილი,юкъ
308,Entfernung::N,სიშორე,
309,Gegend::N,არე,мeттиг
310,Gegend::N,მხარე,мeттиг
311,Platz::N,ფართობი,майда
312,Ort::N,ადგილი,меттиг
313,Seite::N,მხარე,aгӏo
314,Mitte::N,შუა,юкъ
315,Gegenstand::N,საგანი,хӏума
316,Sache::N,ნივთი,хӏума
317,Rand::N,კიდე,йист
318,Kante::N,ნაწიბული,йист
319,Ecke::N,კუთხე,са
320,Spitze::N,წვეტი,ралла
321,Ende::N,ბოლო,юьхьиг
322,Loch::N,ხვრელი,ӏуьрг
323,Winkel::N,კუთხე,са
324,Muster::N,მოხატულობა,дагар
325,Muster::N,მოხატულობა,тӏамар
326,Größe::N,ზომა,барам
327,Größe::N,სიდიდე,барам
328,Länge::N,სიგრძე,йохалла
329,Höhe::N,სიმაღლე,локхалла
330,Gewicht::N,წონა,йозалла
331,Menge::N,რაოდენობა,дукхалла
332,Haufen::N,გროვა,сал
333,Haufen::N,გროვა,оьла
334,Reihe::N,რიგი,рагӏ
335,Reihe::N,რიგი,могӏа
336,Reihe::N,წყება,рагӏ
337,Reihe::N,წყება,могӏа
338,Boot::N,გემი,кема
339,Ruder::N,ხოფი,пийсиг
340,Ruder::N,ნიჩაბი,пийсиг
341,Schlitten::N,მარხილი,салаз
342,Ski::N,თხილამური,когсалаз
343,Lagerfeuer::N,კოცონი,цӏе
344,Last::N,ტვირთი,дукъ
345,Gang::N,სვლა,лелар
346,Schritt::N,ბიჯი,гӏулч
347,Norden::N,ჩრდილოეთი,къилбаседе
348,Süden::N,სამხრეთი,къилбе
349,Westen::N,დასავლეთი,малхбузе
350,Osten::N,აღმოსავლეთი,малхбале
351,Holz::N,ხე,дечиг
352,Brett::N,დაფა,у
353,Brett::N,ფიცარი,у
354,Platte::N,თლილი ქვა,у
355,Stütze::N,საყრდენი,гӏopтоp
356,Stange::N,ჭოკი,гӏуркх
357,Stock::N,კეტი,ӏаса
358,Stab::N,ლატანი,гӏаж
359,Rohr::N,მილაკი,биргӏа
360,Haus::N,სახლი,цӏа
361,Heim::N,ოჯახის კერა,кхерч
362,Ofen::N,ღუმელი,кхерч
363,Fußboden::N,იატაკი,цӏенкъа
364,Tisch::N,სუფრა,шун
365,Tisch::N,მაგიდა,шун
366,Stuhl::N,სკამი,гӏант
367,Wiege::N,აკვანი,ага
368,Bett::N,საწოლი,маьнга
369,Bett::N,სარეცელი,маьнга
370,Regal::N,თაროები,терхи
371,Kiste::N,ყუთი,яьшка
372,Kiste::N,სკივრი,яьшка
373,Fenster::N,ფანჯარა,кор
374,Fenster::N,სარკმელი,кор
375,Tür::N,ბჭე,неӏ
376,Tür::N,კარი,неӏ
377,Tor::N,ჭიშკარი,ков
378,Zaun::N,ღობე,керт
379,Zaun::N,გალავანი,керт
380,Dach::N,სახურავი,тхов
381,Leiter::N,კიბე,лами
382,Besen::N,ცოცხი,нуй
383,Spaten::N,ნიჩაბი,бел
384,Schaufel::N,ბარი,аьшкал
385,Gabel::N,ჩანგალი,мӏара
386,Löffel::N,კოვზი,ӏайг
387,Messer::N,დანა,урс
388,Nagel::N,ლურსმანი,хьостам
389,Netz::N,ბადე,бой
390,Haken::N,კავი,мӏара
391,Haken::N,კაუჭი,мӏара
392,Griff::N,ტარი,
393,Schloss::N,კლიტე,чӏега
394,Schloss::N,საკეტი,чӏега
395,Bild::N,სურათი,сурт
396,Figur::N,ფიგურა,
397,Puppe::N,თოჯინა,тайниг
398,Beutel::N,პარკი,гали
399,Bündel::N,გალა,кочар
400,Bündel::N,ასხმა,кочар
401,Tasche::N,ჩანთა,тӏоьрмиг
402,Eimer::N,ჩამჩა,чийлик
403,Deckel::N,ხუფი,негӏар
404,Deckel::N,სარქველი,негӏар
405,Geschirr::N,ჭურჭელი,пхьегӏа
406,Sack::N,ტომარა,гали
407,Tasse::N,ფინჯანი,кад
408,Topf::N,ქოთანი,яй
409,Kessel::N,ქვაბი,яй
410,Essen::N,ჭამა,юург
411,Nahrung::N,საზრდო,кхача
412,Nahrung::N,საკვები,кхача
413,Speise::N,საჭმელი,юург
414,Fleisch::N,ხორცი,жижиг
415,Getreide::N,მარცვლოვანი,буьртиг
416,Brei::N,ფაფა,xудар
417,Brot::N,პური,бепиг
418,Brot::N,პური,кхаллар
419,Scheibe::N,ნაჭერი,цастар
420,Fett::N,ქონი,мохь
421,Fett::N,ცხიმი,мохь
422,Butter::N,კარაქი,налха
423,Öl::N,ზეთი,даьтта
424,Salz::N,მარილი,туьха
425,Suppe::N,სუფი,чорпа
426,Honig::N,თაფლი,моз
427,Milch::N,რძე,шура
428,Tee::N,ჩაი,чай
429,Leder::N,ტყავი,цӏока
430,Wolle::N,მატყლი,тӏapгӏa
431,Stoff::N,ქსოვილი,кӏади
432,Nadel::N,ნემსი,маха
433,Faden::N,ძაფი,тай
434,Faden::N,მკედი,тай
435,Knopf::N,ღილი,нуьйда
436,Knoten::N,ნასკვი,шад
437,Farbe::N,საღებავი,сир
438,Farbe::N,საღებავი,басар
439,Kleidung::N,ტანსაცმელი,бедар
440,Hemd::N,ხალათი,коч
441,Hemd::N,პერანგი,коч
442,Kragen::N,საყელო,кач
443,Ärmel::N,სახელო,пхьош
444,Hose::N,შარვალი,хеча
445,Gürtel::N,ქამარი,доьхка
446,Mütze::N,ქუდი,куй
447,Schuh::N,ფეხსაცმელი,мача
448,Stiefel::N,ჩექმა,этка
449,Ring::N,ბეჭედი,чӏуг
450,Band::N,ბაფთი,лента
451,Kamm::N,სავარცხელი,ехк
452,Spiegel::N,სარკე,куьзга
453,Riemen::N,ღვედი,доьхка
454,Schnur::N,ლარი,муш
455,Leine::N,ჯაჭვი,кочатосу доьхка
456,Decke::N,საბანი,юргӏа
457,Kissen::N,ბალიში,гIайба
458,Tuch::N,მაუდი,исхар
459,Tuch::N,თავშალი,исхар
460,Handtuch::N,ხელსახოცი,гата
461,Kraft::N,ძალა,гӏора
462,Stärke::N,ღონე,гӏап
463,Gesundheit::N,ჯანმრთელობა,могашалла
464,Krankheit::N,სენი,цамгар
465,Krankheit::N,ავადმყოფობა,цамгар
466,Schmerz::N,ტკივილი,лазар
467,Wunde::N,იარი,чов
468,Wunde::N,ჭრილობა,чов
469,Fieber::N,ციება,xорша
470,Arznei::N,წამალი,молха
471,Brücke::N,ხიდი,тӏай
472,Brunnen::N,ჭა,гӏу
473,Weide::N,საძოვარი,дак
474,Pfad::N,ბილიკი,тача
475,Weg::N,გზა,некъ
476,Straße::N,შარაგზა,урам
477,Dorf::N,დაბა,юрт
478,Dorf::N,სოფელი,юрт
479,Stadt::N,ქალაქი,гӏала
480,Brief::N,წერილი,кехат
481,Buch::N,წიგნი,жайна
482,Buchstabe::N,ასო,элп
483,Zeitung::N,გაზეთი,газет
484,Leben::N,სიცოცხლე,дахар
485,Tod::N,სიკვდილი,далар
486,Tod::N,სიკვდილი,ӏожалла
487,Grab::N,სამარე,каш
488,Grab::N,საფლავი,каш
489,Kirche::N,ეკლესია,килс
490,Sünde::N,ცოდვა,къа
491,Gott::N,ღმერთი,дела
492,Arbeiter::N,მუშა,белхало
493,Chef::N,გამგე,хьаькам
494,Meister::N,ოსტატი,говзанча
495,Arzt::N,ექიმი,лор
496,Arzt::N,მკურნალი,лор
497,Lehrer::N,მასწავლებელი,хьехархо
498,Geld::N,ფული,aхча
499,Geschäft::N,საქმე,туька
500,Geschäft::N,ბიზნესი,туька
501,Laden::N,დუქანი,туька
502,Laden::N,მაღაზია,туька
503,Preis::N,ფასი,мах
504,Ware::N,საქონელი,хlума
505,Nutzen::N,ხეირი,пайда
506,Reichtum::N,სიმდიდრე,хьал
507,Welt::N,მსოფლიო,дуьне
508,Land::N,მხარე,мохк
509,Land::N,ქვეყანა,мохк
510,Staat::N,სახელმწიფო,пачхьалкх
511,König::N,მეფე,паччахь
512,Macht::N,ძლიერება,ӏедал
513,Grenze::N,ზღვარი,доза
514,Krieg::N,ომი,тӏом
515,Feind::N,მტერი,мостагӏ
516,Gewalt::N,სისასტიკე,гӏело
517,Kampf::N,ბრძოლა,къийсам
518,Bogen[Waffe]::N,მშვილდი,
519,Pfeil::N,ისარი,пха
520,Pfeil::N,მახვილი,пха
521,Gewehr::N,თოფი,топ
522,Gewehr::N,შაშხანა,топ
523,Fehler::N,შეცდომა,гӏалат
524,Lüge::N,სიცრუე,аьшпаш
525,Schaden::N,ვნება,зен
526,Unglück::N,ხიფათი,бала
527,Unglück::N,უბედურება,бала
528,Schuld::N,ბრალი,бехк
529,Alter::N,ასაკი,хан
530,Schluss::N,ბოლო,чакхе
531,Schluss::N,დასასრული,чакхе
532,Zeit::N,დრო,хан
533,Tag::N,დღე,де
534,Morgen::N,დილა,ӏуьйре
535,Mittag::N,შუადღე,делкъе
536,Abend::N,საღამო,суьйре
537,Nacht::N,ღამე,буьйса
538,Woche::N,კვირა,кӏира
539,Monat::N,თვე,бутт
540,Jahr::N,წელი,шо
541,Frühling::N,გაზაფხული,бӏаьсте
542,Sommer::N,ზაფხული,аьхке
543,Herbst::N,შემოდგომა,гуьйре
544,Winter::N,ზამთარი,ӏа
545,Januar::N,იანვარი,январь
546,Februar::N,თებერვალი,февраль
547,März::N,მარტი,март
548,April::N,აპრილი,апрель
549,Mai::N,მაისი,май
550,Juni::N,ივნისი,июнь
551,Juli::N,ივლისი,июль
552,August::N,აგვისტო,август
553,September::N,სექტემბერი,сентябрь
554,Oktober::N,ოქტომბერი,октябрь
555,November::N,ნოემბერი,ноябрь
556,Dezember::N,დეკემბერი,декабрь
557,Montag::N,ორშაბათი,оршот
558,Dienstag::N,სამშაბათი,шинара
559,Mittwoch::N,ოთხშაბათი,кхаара
560,Donnerstag::N,ხუთშაბათი,еара
561,Freitag::N,პარასკევი,пӏераска
562,Samstag::N,შაბათი,шот
563,Sonntag::N,კვირა,кӏиранде
564,groß::A,დიდი,доккха
565,klein::A,მცირე,кегий
566,klein::A,პატარა,кегий
567,lang::A,გრძელი,еха
568,kurz::A,მოკლე,доца
569,breit::A,ფართო,шуьйра
570,breit::A,განიერი,шуьйра
571,schmal::A,ვიწრო,готта
572,schmal::A,წვრილი,готта
573,dicht::A,მჭიდრო,луьста
574,dick[Gegenstand]::A,სქელი,стомма
575,dünn::A,წვრილი,дуткъа
576,fein::A,თხელი,ховха
577,fest::A,მყარი,чӏогӏа
578,flach::A,ბრტყელი,чӏапа
579,glatt::A,გლუ,шера
580,hart::A,მაგარი,чӏогӏa
581,weich::A,რბილი,кӏеда
582,rund::A,მრგვალი,горга
583,spitz::A,წვეტიანი,ира
584,scharf::A,მჭრელი,ира
585,stumpf::A,ბლაგვი,аьртa
586,schwer::A,მძიმე,деза
587,schön::A,ლამაზი,хаза
588,heiß::A,ცხელი,довха
589,warm::A,თბილი,довха
590,kalt::A,ცივი,шийла
591,kühl::A,გრილი,шийла
592,frisch::A,სუფთა,керла
593,feucht::A,ნოტიო,тӏуьна
594,nass::A,სველი,тӏеда
595,trocken::A,მშრალი,eкъа
596,voll::A,სავსე,дуьзна
597,leer::A,ცარიელი,яьсса
598,offen::A,ღია,диллина
599,offen::A,გაშლილი,диллина
600,geschlossen::A,დახურული,дӏакъевлина
601,geschlossen::A,დახურული,дӏачӏагӏдина
602,sauber::A,სუფთა,цӏена
603,sauber::A,წმინდა,цӏена
604,schmutzig::A,ტალახიანი,боьха
605,roh::A,უმი,буьйда
606,reif::A,მწიფე,хилла
607,lecker::A,გემრიელი,чоме
608,süß::A,ტკბილი,мерза
609,bitter::A,მწარე,къаьхьа
610,sauer::A,მჟავე,муьста
611,hell::A,ნათელი,сирла
612,dunkel::A,ბნელი,бодане
613,schwarz::A,შავი,ӏаьржа
614,weiß::A,თეთრი,кӏайн
615,rot::A,წითელი,цӏен
616,gelb::A,ყვითელი,можа
617,blau::A,ლურჯი,сийна
618,blau::A,ცისფერი,сийна
619,grün::A,მწვანე,баьццара
620,grau::A,რუხი,cира
621,grau::A,რუხი,мокха
622,grau::A,ნაცრისფერი,cира
623,grau::A,ნაცრისფერი,мокха
624,bunt::A,ჭრელი,къорза
625,bunt::A,ფერადი,къорза
626,billig::A,იაფი,дораха
627,teuer::A,ძვირი,деза
628,wertvoll::A,ღირსიანი,мехала
629,blind::A,ბრმა,бӏаьрзе
630,taub::A,ყრუ,къора
631,kräftig::A,ძალავანი,нуьцкъала
632,stark::A,ძლიერი,зоьртала
633,stark::A,ძლიერი,нуьцкъала
634,stark::A,ღონიერი,зоьртала
635,stark::A,ღონიერი,нуьцкъала
636,schwach::A,სუსტი,гӏорасиза
637,fett::A,სქელი,дерстана
638,schlank::A,გამხდარი,куц долу
639,hübsch::A,ეშხიანი,хаза
640,hübsch::A,მშვენიერი,хаза
641,böse::A,ავი,вон
642,böse::A,ბოროტი,вон
643,dumm::A,ბოთე,сонта
644,dumm::A,სულელი,сонта
645,faul::A,ზანტი,мало ен
646,faul::A,ზარმაცი,мало ен
647,fleißig::A,ბეჯითი,тӏера
648,fleißig::A,მუყაითი,тӏера
649,geizig::A,ძუნწი,пис
650,geizig::A,ძუნწი,сутара
651,klug::A,ჭკვიანი,хьекъале
652,geschickt::A,მარჯვე,тӏахъаьлла
653,geschickt::A,გაწაფული,тӏахъаьлла
654,lieb::A,სატრფიალო,хьоме
655,lustig::A,მხიარული,самукъане
656,sanft::A,ალერსიანი,кlеда
657,sanft::A,გრძნობიერი,кlеда
658,hungrig::A,მშიერი,меца
659,krank::A,სნეული,цомгуш долу
660,krank::A,ავადმყოფი,цомгуш долу
661,nackt::A,ტიტველი,дерзана
662,traurig::A,მწუხარე,самукъане воцу
663,traurig::A,სევდიანი,самукъане воцу
664,lebendig::A,ცოცხალი,дийна
665,gut::A,კარგი,дика
666,schlecht::A,უხეირო,вон
667,richtig::A,ნამდვილი,нийса
668,schlimm::A,ცუდი,вон
669,wahr::A,სწორი,бакъдолу
670,wahr::A,ჭეშმარიტი,бакъдолу
671,alt::A,ძველი,къена
672,neu::A,ახალი,керла
673,ehemalig::A,ყოფილი,хилла
674,alt[Lebewesen]::A,ბებერი,къена
675,jung::A,ნორჩი,къона
676,jung::A,ახალგაზრდა,къона
677,arm::A,ღარიბი,къен
678,reich::A,მდიდარი,хьоле
679,bekannt::A,ცნობილი,девзаш долу
680,berühmt::A,გამოჩენილი,цӏеяхана
681,fremd::A,უცხო,нехан
682,fremd::A,გარეშე,нехан
683,verschieden::A,სხვაგვარი,тайп-тайпанара
684,nah::A,ახლო,гергара
685,fern::A,შორი,гена
686,fern::A,შორი,генара
687,fern::A,შორეული,гена
688,fern::A,შორეული,генара
689,linker::A,მარცხენა,аьрру
690,rechter::A,მარჯვენა,аьтту
691,anderer::A,სხვა,кхин
692,erster::A,პირველი,хьалхара
693,zweiter::A,მეორე,шолгIа
694,dritter::A,მესამე,кхоалгӏа
695,letzter::A,ბოლო,тӏаьххьара
696,letzter::A,უკანასკნელი,тӏаьххьара
697,allein::ADV,მარტო,цхьаъ
698,auf einmal::ADV,ერთდროულად,цу сохьтта
699,zusammen::ADV,ერთად,цхьана
700,lange::ADV,დიდხანს,дукха
701,plötzlich::ADV,მოულოდნელად,цIеххьана
702,sofort::ADV,ახლავე,цу сохьтта
703,später::ADV,მოგვიანებით,тӏаьхьо
704,jetzt::ADV,ახლა,хӏинца
705,heute::ADV,დღეს,тахана
706,morgen::ADV,ხვალ,кхана
707,bald::ADV,მალე,кеста
708,dann::ADV,მერე,тӏаккха
709,gestern::ADV,გუშინ,селхана
710,einst::ADV,ოდესღაც,цкъа
711,damals::ADV,მაშინ,хӏетахьь
712,danach::ADV,მერმე,тӏаккха
713,danach::ADV,შემდეგ,тӏаккха
714,vorher::ADV,ადრე,хьалхa
715,vorher::ADV,წინათ,хьалхa
716,zuerst::ADV,ჯერ,хьалха
