,Concept_ID,ce,no
198,Saat::N,чlу,sæd
199,Korn::N,буьртиг,korn
200,Heu::N,йол,høy
201,Schale::N,пардо,skall
202,Grube::N,ор,grop
203,Falle::N,кӏело,felle
204,Spur::N,лар,spor
205,Asche::N,чим,aske
206,Dreck::N,мода,møkk
207,Dreck::N,мода,skitt
208,Eisen::N,эчиг,jern
209,Gold::N,деши,gull
210,Silber::N,дети,sølv
211,Kohle::N,кӏора,kol
212,Kohle::N,кӏора,kull
213,Glas::N,aнгали,glass
214,Lehm::N,поппар,leire
215,Sand::N,гӏум,sand
216,Mensch::N,адам,menneske
217,Mann::N,майра,mann
218,Frau::N,зуда,kvinne
219,Kind::N,бер,barn
220,Junge::N,жимха,gutt
221,Mädchen::N,жима йоӏ,pike
222,Mädchen::N,жима йоӏ,jente
223,Familie::N,доьзал,familie
224,Großvater::N,ненада,bestefar
225,Großmutter::N,денана,bestemor
226,Eltern::N,да-нана,foreldre
227,Vater::N,да,far
228,Mutter::N,нана,mor
229,Sohn::N,кӏант,sønn
230,Tochter::N,йоӏ,datter
231,Bruder::N,ваша,bror
232,Schwester::N,йиша,søster
233,Onkel::N,деваша,onkel
234,Tante::N,дейиша,tante
235,Ehemann::N,майра,ektemann
236,Ehefrau::N,зуда,hustru
237,Freude::N,самукъа,glede
238,Freude::N,хазахетар,glede
239,Gelächter::N,белам,latter
240,Glück::N,ирс,lykke
241,Kummer::N,бала,sorg
242,Wunsch::N,лаам,ønske
243,Lust::N,лаам,lyst
244,Geist::N,са,ånd
245,Gedanke::N,ойла,tanke
246,Gedächtnis::N,диццадалар,minne
247,Gedächtnis::N,диццадалар,hukommelse
248,Verstand::N,хьекъал,forstand
249,Sinn::N,маьӏна,mening
250,Sinn::N,маьӏна,betydning
251,Grund::N,бахьана,grunn
252,Wahrheit::N,бакъдерг,sannhet
253,Gespräch::N,къамел,samtale
254,Märchen::N,туьйра,eventyr
255,Erzählung::N,дийцар,fortelling
256,Nachricht::N,хаам,melding
257,Neuigkeit::N,керланиг,nyhet
258,Name::N,цӏе,navn
259,Rätsel::N,хӏетал-метал,gåte
260,Rede::N,къамел,tale
261,Sprache::N,мотт,språk
262,Stimme::N,aз,stemme
263,Wort::N,дош,ord
264,Zeichen::N,билгало,tegn
265,Ruf::N,кхайкхар,rop
266,Lärm::N,гӏовгӏа,bråk
267,Laut::N,аз,lyd
268,Ton::N,aз,tone
269,Lied::N,илли,vise
270,Ruhe::N,тийналла,ro
271,Leute::N,нах,folk
272,Volk::N,халкъ,folk
273,Arbeit::N,болх,arbeid
274,Gast::N,хьаша,gjest
275,Geschenk::N,совгӏат,gave
276,Spiel::N,ловзар,lek
277,Spiel::N,ловзар,spill
278,Gesellschaft::N,юкъаралла,selskap
279,Hilfe::N,гӏо,hjelp
280,Freund::N,доттагl,venn
281,Kamerad::N,накъост,kamerat
282,Angelegenheit::N,гӏуллакх,sak
283,Angelegenheit::N,гӏуллакх,anliggende
284,Anzahl::N,терахь,antall
285,Stück::N,юьхк,stykke
286,Teil::N,дакъа,del
287,Hälfte::N,ах,halvdel
288,Kreis::N,го,ring
289,Kreis::N,го,sirkel
290,Kreuz::N,жӏара,kors
291,Kreuz::N,жӏара,kryss
292,Linie::N,сиз,linje
293,Strich::N,сиз,strek
294,Abstand::N,юкъ,avstand
295,Gegend::N,мeттиг,strøk
296,Platz::N,майда,plass
297,Ort::N,меттиг,sted
298,Seite::N,aгӏo,side
299,Mitte::N,юкъ,midte
300,Gegenstand::N,хӏума,gjenstand
301,Sache::N,хӏума,sak
302,Rand::N,йист,rand
303,Kante::N,йист,kant
304,Ecke::N,са,hjørne
305,Spitze::N,ралла,spiss
306,Ende::N,юьхьиг,ende
307,Loch::N,ӏуьрг,hull
308,Winkel::N,са,vinkel
309,Muster::N,дагар,mønster
310,Muster::N,тӏамар,mønster
311,Größe::N,барам,størrelse
312,Länge::N,йохалла,lengde
313,Höhe::N,локхалла,høyde
314,Gewicht::N,йозалла,vekt
315,Menge::N,дукхалла,mengde
316,Haufen::N,сал,haug
317,Haufen::N,сал,bunke
318,Haufen::N,оьла,haug
319,Haufen::N,оьла,bunke
320,Reihe::N,рагӏ,rekke
321,Reihe::N,могӏа,rekke
322,Boot::N,кема,båt
323,Ruder::N,пийсиг,åre
324,Schlitten::N,салаз,slede
325,Schlitten::N,салаз,kjelke
326,Ski::N,когсалаз,ski
327,Lagerfeuer::N,цӏе,leirbål
328,Last::N,дукъ,bør
329,Last::N,дукъ,last
330,Gang::N,лелар,gang
331,Schritt::N,гӏулч,steg
332,Schritt::N,гӏулч,skritt
333,Norden::N,къилбаседе,nord
334,Süden::N,къилбе,sør
335,Westen::N,малхбузе,vest
336,Osten::N,малхбале,øst
337,Holz::N,дечиг,tre
338,Brett::N,у,fjøl
339,Brett::N,у,brett
340,Platte::N,у,plate
341,Stütze::N,гӏopтоp,støtte
342,Stange::N,гӏуркх,stang
343,Stock::N,ӏаса,pinne
344,Stab::N,гӏаж,stav
345,Stab::N,гӏаж,kjepp
346,Rohr::N,биргӏа,rør
347,Haus::N,цӏа,hus
348,Heim::N,кхерч,hjem
349,Ofen::N,кхерч,ovn
350,Fußboden::N,цӏенкъа,gulv
351,Tisch::N,шун,bord
352,Stuhl::N,гӏант,stol
353,Wiege::N,ага,vogge
354,Bett::N,маьнга,seng
355,Regal::N,терхи,reol
356,Regal::N,терхи,hylle
357,Kiste::N,яьшка,kasse
358,Fenster::N,кор,vindu
359,Tür::N,неӏ,dør
360,Tor::N,ков,port
361,Zaun::N,керт,gjerde
362,Dach::N,тхов,tak
363,Leiter::N,лами,stige
364,Besen::N,нуй,kost
365,Spaten::N,бел,spade
366,Schaufel::N,аьшкал,skuffe
367,Gabel::N,мӏара,gaffel
368,Löffel::N,ӏайг,skje
369,Messer::N,урс,kniv
370,Nagel::N,хьостам,spiker
371,Netz::N,бой,nett
372,Haken::N,мӏара,krok
373,Schloss::N,чӏега,lås
374,Bild::N,сурт,bilde
375,Puppe::N,тайниг,dukke
376,Beutel::N,гали,pose
377,Bündel::N,кочар,bylt
378,Tasche::N,тӏоьрмиг,veske
379,Eimer::N,чийлик,bøtte
380,Deckel::N,негӏар,lokk
381,Geschirr::N,пхьегӏа,kjøkkentøy
382,Sack::N,гали,sekk
383,Tasse::N,кад,kopp
384,Topf::N,яй,gryte
385,Kessel::N,яй,kjele
386,Essen::N,юург,mål
387,Nahrung::N,кхача,mat
388,Nahrung::N,кхача,næring
389,Speise::N,юург,matrett
390,Fleisch::N,жижиг,kjøtt
391,Getreide::N,буьртиг,korn
392,Brei::N,xудар,grøt
393,Brot::N,бепиг,brød
394,Brot::N,кхаллар,brød
395,Scheibe::N,цастар,skive
396,Fett::N,мохь,fett
397,Butter::N,налха,smør
398,Öl::N,даьтта,olje
399,Salz::N,туьха,salt
400,Suppe::N,чорпа,suppe
401,Honig::N,моз,honning
402,Milch::N,шура,melk
403,Tee::N,чай,te
404,Leder::N,цӏока,lær
405,Leder::N,цӏока,skinn
406,Wolle::N,тӏapгӏa,ull
407,Stoff::N,кӏади,tøy
408,Stoff::N,кӏади,stoff
409,Nadel::N,маха,nål
410,Faden::N,тай,tråd
411,Knopf::N,нуьйда,knapp
412,Knoten::N,шад,knute
413,Farbe::N,сир,farge
414,Farbe::N,басар,farge
415,Kleidung::N,бедар,påkledning
416,Hemd::N,коч,skjorte
417,Kragen::N,кач,krage
418,Ärmel::N,пхьош,erme
419,Hose::N,хеча,bukse
420,Gürtel::N,доьхка,belte
421,Mütze::N,куй,lue
422,Schuh::N,мача,sko
423,Stiefel::N,этка,støvel
424,Ring::N,чӏуг,ring
425,Band::N,лента,band
426,Kamm::N,ехк,kam
427,Spiegel::N,куьзга,speil
428,Riemen::N,доьхка,rem
429,Schnur::N,муш,snor
430,Leine::N,кочатосу доьхка,line
431,Decke::N,юргӏа,teppe
432,Kissen::N,гIайба,pute
433,Tuch::N,исхар,tøy
434,Handtuch::N,гата,håndkle
435,Kraft::N,гӏора,kraft
436,Stärke::N,гӏап,styrke
437,Gesundheit::N,могашалла,helse
438,Gesundheit::N,могашалла,sunnhet
439,Krankheit::N,цамгар,syke
440,Krankheit::N,цамгар,sykdom
441,Schmerz::N,лазар,smerte
442,Wunde::N,чов,sår
443,Fieber::N,xорша,feber
444,Arznei::N,молха,medisin
445,Arznei::N,молха,legemiddel
446,Brücke::N,тӏай,bro
447,Brunnen::N,гӏу,brønn
448,Weide::N,дак,beite
449,Pfad::N,тача,sti
450,Weg::N,некъ,vei
451,Straße::N,урам,gate
452,Dorf::N,юрт,landsby
453,Stadt::N,гӏала,by
454,Brief::N,кехат,brev
455,Buch::N,жайна,bok
456,Buchstabe::N,элп,bokstav
457,Zeitung::N,газет,avis
458,Leben::N,дахар,liv
459,Tod::N,далар,død
460,Tod::N,ӏожалла,død
461,Grab::N,каш,grav
462,Kirche::N,килс,kirke
463,Sünde::N,къа,synd
464,Gott::N,дела,gud
465,Arbeiter::N,белхало,arbeider
466,Chef::N,хьаькам,sjef
467,Meister::N,говзанча,mester
468,Arzt::N,лор,lege
469,Lehrer::N,хьехархо,lærer
470,Geld::N,aхча,penger
471,Geschäft::N,туька,forretning
472,Laden::N,туька,butikk
473,Preis::N,мах,pris
474,Ware::N,хlума,vare
475,Nutzen::N,пайда,nytte
476,Reichtum::N,хьал,rikdom
477,Welt::N,дуьне,verden
478,Land::N,мохк,land
479,Staat::N,пачхьалкх,stat
480,König::N,паччахь,konge
481,Macht::N,ӏедал,makt
482,Grenze::N,доза,grense
483,Krieg::N,тӏом,krig
484,Feind::N,мостагӏ,fiende
485,Gewalt::N,гӏело,vold
486,Kampf::N,къийсам,kamp
487,Pfeil::N,пха,pil
488,Gewehr::N,топ,gevær
489,Fehler::N,гӏалат,feil
490,Lüge::N,аьшпаш,løgn
491,Schaden::N,зен,skade
492,Unglück::N,бала,uhell
493,Schuld::N,бехк,skyld
494,Alter::N,хан,alder
495,Schluss::N,чакхе,slutt
496,Zeit::N,хан,tid
497,Tag::N,де,dag
498,Morgen::N,ӏуьйре,morgen
499,Mittag::N,делкъе,middag
500,Abend::N,суьйре,aften
501,Nacht::N,буьйса,natt
502,Woche::N,кӏира,uke
503,Monat::N,бутт,måned
504,Jahr::N,шо,år
505,Frühling::N,бӏаьсте,vår
506,Sommer::N,аьхке,sommer
507,Herbst::N,гуьйре,høst
508,Winter::N,ӏа,vinter
509,Januar::N,январь,januar
510,Februar::N,февраль,februar
511,März::N,март,mars
512,April::N,апрель,april
513,Mai::N,май,mai
514,Juni::N,июнь,juni
515,Juli::N,июль,juli
516,August::N,август,august
517,September::N,сентябрь,september
518,Oktober::N,октябрь,oktober
519,November::N,ноябрь,november
520,Dezember::N,декабрь,desember
521,Montag::N,оршот,mandag
522,Dienstag::N,шинара,tirsdag
523,Mittwoch::N,кхаара,onsdag
524,Donnerstag::N,еара,torsdag
525,Freitag::N,пӏераска,fredag
526,Samstag::N,шот,lørdag
527,Sonntag::N,кӏиранде,søndag
528,groß::A,доккха,stor
529,klein::A,кегий,liten
530,lang::A,еха,lang
531,kurz::A,доца,kort
532,breit::A,шуьйра,bred
533,schmal::A,готта,smal
534,dicht::A,луьста,tett
535,dick[Gegenstand]::A,стомма,tykk
536,dünn::A,дуткъа,tynn
537,fein::A,ховха,fin
538,fest::A,чӏогӏа,fast
539,flach::A,чӏапа,flat
540,glatt::A,шера,glatt
541,hart::A,чӏогӏa,hard
542,weich::A,кӏеда,myk
543,weich::A,кӏеда,bløt
544,rund::A,горга,rund
545,spitz::A,ира,spiss
546,scharf::A,ира,kvass
547,stumpf::A,аьртa,stubb
548,schwer::A,деза,tung
549,schön::A,хаза,pen
550,schön::A,хаза,vakker
551,heiß::A,довха,het
552,warm::A,довха,varm
553,kalt::A,шийла,kald
554,kühl::A,шийла,kjølig
555,frisch::A,керла,fersk
556,feucht::A,тӏуьна,fuktig
557,nass::A,тӏеда,våt
558,trocken::A,eкъа,tørr
559,voll::A,дуьзна,full
560,leer::A,яьсса,tom
561,offen::A,диллина,åpen
562,geschlossen::A,дӏакъевлина,lukket
563,geschlossen::A,дӏачӏагӏдина,lukket
564,sauber::A,цӏена,ren
565,schmutzig::A,боьха,skitten
566,roh::A,буьйда,rå
567,reif::A,хилла,moden
568,lecker::A,чоме,lekker
569,süß::A,мерза,søt
570,bitter::A,къаьхьа,besk
571,bitter::A,къаьхьа,bitter
572,sauer::A,муьста,sur
573,hell::A,сирла,lys
574,dunkel::A,бодане,mørk
575,schwarz::A,ӏаьржа,svart
576,weiß::A,кӏайн,hvit
577,rot::A,цӏен,rød
578,gelb::A,можа,gul
579,blau::A,сийна,blå
580,grün::A,баьццара,grønn
581,grau::A,cира,grå
582,grau::A,мокха,grå
583,bunt::A,къорза,broket
584,billig::A,дораха,billig
585,teuer::A,деза,dyr
586,wertvoll::A,мехала,verdifull
587,blind::A,бӏаьрзе,blind
588,taub::A,къора,døv
589,kräftig::A,нуьцкъала,kraftig
590,stark::A,зоьртала,sterk
591,stark::A,нуьцкъала,sterk
592,schwach::A,гӏорасиза,svak
593,fett::A,дерстана,fet
594,schlank::A,куц долу,slank
595,hübsch::A,хаза,pen
596,böse::A,вон,slem
597,dumm::A,сонта,dum
598,faul::A,мало ен,lat
599,faul::A,мало ен,doven
600,fleißig::A,тӏера,flittig
601,geizig::A,пис,gjerrig
602,geizig::A,сутара,gjerrig
603,klug::A,хьекъале,klok
604,geschickt::A,тӏахъаьлла,hendig
605,geschickt::A,тӏахъаьлла,skikket
606,lieb::A,хьоме,kjær
607,lieb::A,хьоме,snill
608,lustig::A,самукъане,morsom
609,sanft::A,кlеда,blid
610,hungrig::A,меца,sulten
611,krank::A,цомгуш долу,syk
612,nackt::A,дерзана,naken
613,traurig::A,самукъане воцу,sørgmodig
614,lebendig::A,дийна,levende
615,gut::A,дика,god
616,schlecht::A,вон,dårlig
617,richtig::A,нийса,riktig
618,schlimm::A,вон,slem
619,wahr::A,бакъдолу,sann
620,alt::A,къена,gammel
621,neu::A,керла,ny
622,ehemalig::A,хилла,forhenværende
623,alt[Lebewesen]::A,къена,gammel
624,jung::A,къона,ung
625,arm::A,къен,fattig
626,reich::A,хьоле,rik
627,bekannt::A,девзаш долу,kjent
628,berühmt::A,цӏеяхана,berømt
629,fremd::A,нехан,fremmed
630,verschieden::A,тайп-тайпанара,forskjellig
631,nah::A,гергара,nær
632,fern::A,гена,fjern
633,fern::A,генара,fjern
634,linker::A,аьрру,venstre
635,rechter::A,аьтту,høyre
636,anderer::A,кхин,annen
637,erster::A,хьалхара,første
638,zweiter::A,шолгIа,annen
639,dritter::A,кхоалгӏа,tredje
640,letzter::A,тӏаьххьара,sist
641,allein::ADV,цхьаъ,alene
642,auf einmal::ADV,цу сохьтта,med ett
643,zusammen::ADV,цхьана,sammen
644,lange::ADV,дукха,lenge
645,plötzlich::ADV,цIеххьана,plutselig
646,sofort::ADV,цу сохьтта,straks
647,später::ADV,тӏаьхьо,senere
648,jetzt::ADV,хӏинца,nå
649,heute::ADV,тахана,i dag
650,morgen::ADV,кхана,i morgen
651,bald::ADV,кеста,snart
652,dann::ADV,тӏаккха,så
653,gestern::ADV,селхана,i går
654,einst::ADV,цкъа,engang
655,damals::ADV,хӏетахьь,den gang
656,danach::ADV,тӏаккха,deretter
657,vorher::ADV,хьалхa,før
658,vorher::ADV,хьалхa,i forveien
659,zuerst::ADV,хьалха,først
660,einmal::ADV,цкъа,en gang
661,manchmal::ADV,цкъаццкъа,somme tider
662,oft::ADV,кест-кеста,ofte
663,immer::ADV,даим,alltid
664,niemals::ADV,цкъа а,aldri
665,hier::ADV,кхузахь,her
666,hierhin::ADV,кхуза,hit
667,von hier::ADV,кхузара,herfra
668,dort::ADV,цигахь,der
669,dorthin::ADV,цига,dit
670,geradeaus::ADV,нийса дӏа,rett fram
671,vorwärts::ADV,хьалха,fram
672,vorwärts::ADV,хьалха,framover
673,rückwärts::ADV,юха,baklengs
674,zurück::ADV,юха,tilbake
675,unten::ADV,лахахь,nede
676,hinab::ADV,охьа,ned
677,hinab::ADV,охьа,nedover
678,oben::ADV,лакхахь,oppe
679,oben::ADV,лакхахь,ovenpå
680,hinauf::ADV,хьала,opp
681,hinauf::ADV,хьала,oppover
682,überall::ADV,массанхьа,overalt
683,nicht::ADV,ца,ikke
684,ein wenig::ADV,кӏеззиг,litt
685,kaum::ADV,халла,neppe
686,sehr::ADV,вуно,svært
687,noch::ADV,кхин,enda
688,nur::ADV,бен ...ца,bare
689,schon::ADV,хӏинцале,alt
690,schon::ADV,хӏинцале,allerede
691,wieder::ADV,юха а,igjen
692,vergebens::ADV,эрна,forgjeves
693,vor::PRP,хьалха,foran
694,vor::PRP,хьалха,utenfor
695,hinter::PRP,тӏехьа,bak
696,hinter::PRP,тӏехьа,bakom
697,unter::PRP,кIелахь,under
698,durch::PRP,чекх,gjennom
699,durch::PRP,чекх,igjennom
700,neben::PRP,юххе,ved siden av
701,zwischen::PRP,юккъехь,mellom
702,wegen::PRP,дуьхьа,på grunn av
703,dies::PRN,и,dette
704,dies::PRN,иза,dette
705,das::PRN,и,det
706,das::PRN,иза,det
707,alles::PRN,дерриг,alt
708,ich::PRN,cо,jeg
709,du::PRN,хьо,du
710,er::PRN,и,han
711,er::PRN,иза,han
712,wir::PRN,тхо,vi
713,wir::PRN,вай,vi
714,ihr::PRN,шу,dere
715,sie::PRN,уьш,de
716,was::FPRN,хӏун,hva
717,wer::FPRN,мила,hvem
718,wo::FADV,мичaхь,hvor
719,wohin::FADV,мича,hvor ... hen
720,wie::FADV,муха,hvordan
721,warum::FADV,хӏунда,hvorfor
722,wieviel::FNUM,мел,hvor mye
723,wieviel::FNUM,маса,hvor mye
724,eins::NUM,цхьаъ,en
725,eins::NUM,цхьаъ,ett
726,zwei::NUM,шиъ,to
727,drei::NUM,кхоъ,tre
728,vier::NUM,диъ,fire
729,fünf::NUM,пхиъ,fem
730,sechs::NUM,ялх,seks
731,sieben::NUM,ворхӏ,sju
732,acht::NUM,бархӏ,åtte
733,neun::NUM,исс,ni
734,zehn::NUM,итт,ti
735,elf::NUM,цхьайтта,elleve
736,zwölf::NUM,шийтта,tolv
737,zwanzig::NUM,ткъа,tjue
738,dreißig::NUM,ткъе итт,tretti
739,vierzig::NUM,шовзткъа,førti
740,fünfzig::NUM,шовзткъе итт,femti
741,sechzig::NUM,кхузткъа,seksti
742,siebzig::NUM,кхузткъе итт,sytti
743,achtzig::NUM,дезткъа,åtti
744,neunzig::NUM,дезткъе итт,nitti
745,hundert::NUM,бӏе,hundre
746,tausend::NUM,эзар,tusen
747,und::CNJ,a,og
748,oder::CNJ,я,eller
749,stehen::V,латта,stå
750,sitzen::V,хиъна ӏан,sitte
751,liegen::V,ӏилла,ligge
752,hängen::V,кхаза,henge
753,werden::V,хила,bli
754,passieren::V,хила,skje
755,passieren::V,хила,hende
756,beginnen::V,доло,begynne
757,enden::V,дӏадерза,ende
758,enden::V,дӏадерза,slutte
759,wechseln::V,хийца,veksle
760,aufgehen[Sonne]::V,кхета,stå opp
761,untergehen[Sonne]::V,чубуза,gå ned
762,scheinen[Sonne]::V,серло яла,skinne
763,donnern::V,къекъа,tordne
764,wehen::V,хьекха,blåse
765,strömen::V,эха,strømme
766,fließen::V,охьаэха,flyte
767,sich drehen::V,хьийза,dreie seg
768,schwanken::V,леста,svaie
769,schwingen::V,лесто,svinge
770,fallen::V,охьакхета,falle
771,brennen::V,дага,brenne
772,rauchen::V,оза,ryke
773,regnen::V,догlа догlу,regne
774,gefrieren::V,гӏоро,fryse
775,tauen::V,даша,tine
776,schmelzen::V,лала,smelte
777,trocknen::V,дакъо,tørre
778,sieden::V,кхехка,koke
779,faulen::V,дахкадала,råtne
780,verfaulen::V,дахкадала,råtne
781,reißen::V,хеда,briste
782,versinken::V,хичудаха,synke
783,versinken::V,хичудаха,synke ned
784,vergehen::V,дlаэха,forløpe
785,erscheinen::V,схьадала,synes
786,erscheinen::V,ӏоттадала,synes
787,verschwinden::V,къайладала,forsvinne
788,sinken::V,лахдала,synke
789,zunehmen::V,лакхадала,tilta
790,steigen::V,хьаладала,stige
791,wachsen::V,кхиа,gro
792,wachsen::V,кхиа,vokse
793,glänzen::V,лепа,skinne
794,funkeln::V,къега,tindre
795,lärmen::V,гӏовгӏаян,bråke
796,läuten::V,детта,ringe
797,klingeln::V,дека,ringe
798,klirren::V,дека,klirre
799,brausen::V,хьаьдда даха,bruse
800,rauschen::V,леста,suse
801,klingen::V,дека,lyde
802,klingen::V,дека,klinge
803,bellen::V,лета,gjø
804,bellen::V,лета,bjeffe
805,heulen::V,угӏа,ule
806,blasen::V,хӏуп баха,blåse
807,pfeifen::V,шок етта,plystre
808,schreien::V,мохь бетта,skrike
809,stöhnen::V,узарш дан,stønne
810,zittern::V,дега,dirre
811,zittern::V,дега,skjelve
812,leben::V,даха,leve
813,geboren werden::V,хила,fødes
