,Concept_ID,be,sq
80,Erde::N,зямля,baltë
81,Staub::N,пыл,pluhur
82,Rauch::N,дым,tym
83,Funke::N,іскра,xixë
84,Funke::N,іскра,shkëndijë
85,Feuer::N,агонь,zjarr
86,Licht::N,святло,dritë
87,Schatten::N,цень,hije
88,Wetter::N,пагода,mot
89,Wetter::N,надворʼе,mot
90,Nebel::N,туман,mjegull
91,Wolke::N,воблака,re
92,Regen::N,дождж,shi
93,Schnee::N,снег,borë
94,Eis::N,лёд,akull
95,Frost::N,мароз,ngricë
96,Kälte::N,холад,të ftohtë
97,Hitze::N,спёка,vapë
98,Hitze::N,спёка,nxehtësi
99,Raureif::N,іней,cikmë
100,Regenbogen::N,вясёлка,ylber
101,Donner::N,гром,gjëmim
102,Donner::N,гром,bubullimë
103,Strömung::N,цячэнне,rrymë
104,Tropfen::N,кропля,pikë
105,Schaum::N,пена,shkumë
106,Schmutz::N,гразь,baltë
107,See::N,возера,liqen
108,Sumpf::N,багна,batak
109,Moor::N,балота,kënetë
110,Wiese::N,луг,livadh
111,Wald::N,лес,pyll
112,Hügel::N,узгорак,kodër
113,Anhöhe::N,узвышша,bregore
114,Berg::N,гара,mal
115,Gipfel::N,вяршыня,kulm
116,Höhle::N,пячора,shpellë
117,Höhle::N,пячора,zgafelle
118,Abhang::N,схіл,shpat
119,Abhang::N,схіл,tatëpjetë
120,Quelle::N,крыніца,krua
121,Quelle::N,крыніца,burim
122,Bach::N,ручай,virua
123,Fluss::N,рака,lumë
124,Ufer::N,бераг,breg
125,Küste::N,узбярэжжа,anëdet
126,Küste::N,узбярэжжа,bregdet
127,Festland::N,суша,kontinent
128,Meer::N,мора,det
129,Bucht::N,бухта,gji deti
130,Insel::N,востраў,ishull
131,Insel::N,востраў,ujdhesë
132,Blume::N,кветка,lule
133,Gras::N,трава,bar
134,Wurzel::N,корань,rrënjë
135,Baum::N,дрэва,pemë
136,Stamm::N,ствол,trung
137,Rinde::N,кара,lëvore
138,Ast::N,сук,degë
139,Zweig::N,галіна,bisk
140,Blatt::N,ліст,fletë
141,Blatt::N,ліст,gjethe
142,Birke::N,бяроза,mështekën
143,Kiefer[Baum]::N,хвоя,pishë
144,Kiefer[Baum]::N,сасна,pishë
145,Weide[Baum]::N,вярба,shelg
146,Tanne::N,яліна,bredh
147,Horn::N,рог,bri
148,Feder::N,пяро,pupël
149,Fell::N,шкура,lëkurë
150,Flügel::N,крыло,krah
151,Flügel::N,крыло,fletë
152,Klaue::N,кіпцюр,kthetër
153,Kralle::N,лапа,thua
154,Kralle::N,лапа,kthetër
155,Schwanz::N,хвост,bisht
156,Ei::N,яйка,vezë
157,Nest::N,гняздо,fole
158,Bau::N,нара,strofkë
159,Tier::N,жывёла,kafshë
160,Herde::N,статак,kope
161,Herde::N,статак,grigjë
162,Kuh::N,карова,lopë
163,Bulle::N,бык,dem
164,Pferd::N,конь,kalë
165,Schaf::N,авечка,dele
166,Schwein::N,свіння,derr
167,Hund::N,сабака,qen
168,Katze::N,кошка,mace
169,Bär::N,мядзведзь,ari
170,Eichhörnchen::N,вавёрка,ketër
171,Elch::N,лось,dre brilopatë
172,Fuchs::N,ліса,dhelpër
173,Hase::N,заяц,lepur
174,Maus::N,мыш,mi
175,Wolf::N,воўк,ujk
176,Vogel::N,птах,zog
177,Vogel::N,птах,shpend
178,Vogel::N,птушка,zog
179,Vogel::N,птушка,shpend
180,Schwarm::N,чарада,luzmë
181,Huhn::N,курыца,pulë
182,Hahn::N,певень,gjel
183,Hahn::N,певень,këndes
184,Gans::N,гусь,patë
185,Adler::N,арол,shqiponjë
186,Ente::N,качка,rosë
187,Eule::N,сава,buf
188,Kranich::N,жораў,lejlek
189,Kranich::N,жораў,kurrillë
190,Kranich::N,журавель,lejlek
191,Kranich::N,журавель,kurrillë
192,Krähe::N,варона,sorrë
193,Kuckuck::N,зязюля,qyqe
194,Schwan::N,лебедзь,mjellmë
195,Fisch::N,рыба,peshk
196,Barsch::N,акунь,purtekë
197,Hecht::N,шчупак,mlysh
198,Schlange[Tier]::N,змяя,gjarpër
199,Wurm::N,чарвяк,krimb
200,Spinne::N,павук,marimangë
201,Ameise::N,мурашка,thnegël
202,Ameise::N,мурашка,milingonë
203,Laus::N,вош,morr
204,Mücke::N,камар,kunup
205,Mücke::N,камар,mushkonjë
206,Fliege::N,муха,mizë
207,Schmetterling::N,матыль,flutur
208,Beere::N,ягада,frutë
209,Beere::N,ягада,manaferrë
210,Apfel::N,яблык,mollë
211,Pilz::N,грыб,kërpudhë
212,Zwiebel::N,цыбуля,qepë
213,Saat::N,семя,farë
214,Korn::N,зерне,grurë
215,Korn::N,зерне,kokërr
216,Heu::N,сена,sanë
217,Schale::N,шалупінне,lëkurë
218,Grube::N,яма,gropë
219,Falle::N,пастка,kurth
220,Falle::N,пастка,grackë
221,Schlinge::N,сіло,nyjë
222,Spur::N,след,gjurmë
223,Asche::N,попел,hi
224,Dreck::N,бруд,baltë
225,Eisen::N,жалеза,hekur
226,Gold::N,золата,ar
227,Gold::N,золата,flori
228,Silber::N,сребра,argjend
229,Kohle::N,вугаль,qymyr
230,Glas::N,шкло,qelq
231,Lehm::N,гліна,argjilë
232,Sand::N,пясок,rërë
233,Mensch::N,чалавек,njeri
234,Mann::N,мужчына,burrë
235,Mann::N,мужчына,mashkull
236,Frau::N,жанчына,grua
237,Frau::N,жанчына,femër
238,Kind::N,дзіця,kalama
239,Junge::N,хлопчык,djalë
240,Mädchen::N,дзяўчынка,gocë
241,Mädchen::N,дзяўчынка,vajzë
242,Familie::N,сямʼя,familje
243,Großvater::N,дзядуля,gjysh
244,Großmutter::N,бабуля,gjyshe
245,Eltern::N,бацькі,prindër
246,Vater::N,бацька,atë
247,Mutter::N,маці,nënë
248,Sohn::N,сын,bir
249,Tochter::N,дачка,bijë
250,Bruder::N,брат,vëlla
251,Schwester::N,сястра,motër
252,Onkel::N,дзядзька,dajë
253,Onkel::N,дзядзька,xhaxha
254,Tante::N,цётка,teze
255,Tante::N,цётка,hallë
256,Ehemann::N,муж,burrë
257,Ehemann::N,муж,bashkëshort
258,Ehefrau::N,жонка,grua
259,Ehefrau::N,жонка,bashkëshorte
260,Freude::N,радасць,gaz
261,Freude::N,радасць,gëzim
262,Gelächter::N,смех,qeshje
263,Glück::N,шчасце,lumturi
264,Kummer::N,гора,brengë
265,Kummer::N,гора,pikëllim
266,Wunsch::N,жаданне,dëshirë
267,Lust::N,цяга,epsh
268,Lust::N,цяга,dashuri
269,Geist::N,дух,frymë
270,Geist::N,дух,shpirt
271,Gedanke::N,думка,ide
272,Gedanke::N,думка,mendim
273,Gedächtnis::N,памяць,kujtesë
274,Verstand::N,розум,mend
275,Sinn::N,сэнс,kuptim
276,Grund::N,зачэпка,arsye
277,Wahrheit::N,праўда,vërtetë
278,Gespräch::N,размова,bisedim
279,Märchen::N,казка,përrallë
280,Erzählung::N,расказ,tregim
281,Erzählung::N,апавяданне,tregim
282,Nachricht::N,вестка,lajm
283,Nachricht::N,паведамленне,lajm
284,Neuigkeit::N,навіна,risi
285,Name::N,імя,emër
286,Rätsel::N,загадка,gjëzë
287,Rätsel::N,загадка,gjëegjëzë
288,Rede::N,прамова,fjalim
289,Sprache::N,мова,gjuhë
290,Stimme::N,голас,zë
291,Wort::N,слова,fjalë
292,Zeichen::N,знак,shenjë
293,Ruf::N,кліч,thirrmë
294,Lärm::N,шум,zhurmë
295,Laut::N,гук,tingull
296,Ton::N,гучанне,ton
297,Lied::N,песня,këngë
298,Ruhe::N,спакой,qetësi
299,Leute::N,людзі,botë
300,Leute::N,людзі,njerëz
301,Volk::N,народ,popull
302,Arbeit::N,праца,punë
303,Arbeit::N,работа,punë
304,Gast::N,госць,mik
305,Gast::N,госць,mysafir
306,Geschenk::N,падарунак,dhuratë
307,Geschenk::N,падарунак,peshqesh
308,Spiel::N,гульня,lojë
309,Gesellschaft::N,таварыства,shoqëri
310,Hilfe::N,дапамога,ndihmë
311,Freund::N,друг,mik
312,Freund::N,сябар,mik
313,Kamerad::N,прыяцель,shok
314,Angelegenheit::N,справа,punë
315,Anzahl::N,колькасць,sasi
316,Art::N,від,lloj
317,Stück::N,кусок,copë
318,Stück::N,кавалак,copë
319,Teil::N,частка,pjesë
320,Hälfte::N,палова,gjysmë
321,Hälfte::N,палавіна,gjysmë
322,Kreis::N,круг,qark
323,Kreis::N,круг,rreth
324,Kreuz::N,крыж,kryq
325,Linie::N,лінія,vijë
326,Strich::N,рыса,vizë
327,Abstand::N,прамежак,distancë
328,Entfernung::N,адлегласць,largim
329,Gegend::N,мясцовасць,vise
330,Gegend::N,мясцовасць,krahinë
331,Platz::N,месца,shesh
332,Ort::N,месца,vend
333,Seite::N,бок,anë
334,Mitte::N,сярэдзіна,mes
335,Gegenstand::N,прадмет,send
336,Sache::N,рэч,gjë
337,Sache::N,рэч,send
338,Rand::N,край,qoshe
339,Kante::N,руб,teh
340,Kante::N,кант,teh
341,Ecke::N,вугал,qoshe
342,Spitze::N,кончык,majë
343,Ende::N,канец,skaj
344,Ende::N,канец,bisht
345,Loch::N,дзірка,vrimë
346,Winkel::N,вугал,kënd
347,Muster::N,узор,mostër
348,Größe::N,памер,madhësi
349,Länge::N,даўжыня,gjatësi
350,Höhe::N,вышыня,lartësi
351,Gewicht::N,вага,peshë
352,Menge::N,колькасць,sasi
353,Haufen::N,куча,grumbull
354,Reihe::N,рад,radhë
355,Reihe::N,рад,rresht
356,Boot::N,лодка,barkë
357,Boot::N,лодка,lundër
358,Ruder::N,вясло,rrem
359,Schlitten::N,сані,sajë
360,Ski::N,лыжа,ski
361,Lagerfeuer::N,вогнішча,flakadan
362,Lagerfeuer::N,вогнішча,zjarr i madh
363,Last::N,цяжар,barrë
364,Gang::N,ход,ecje
365,Schritt::N,шаг,hap
366,Schritt::N,крок,hap
367,Norden::N,поўнач,veri
368,Süden::N,поўдзень,jug
369,Westen::N,захад,perëndim
370,Osten::N,усход,lindje
371,Holz::N,дрэва,dru
372,Holz::N,драўніна,dru
373,Brett::N,дошка,dërrasë
374,Platte::N,пліта,pllakë
375,Stütze::N,падпорка,shtyllë
376,Stütze::N,падпорка,mbështetesë
377,Stange::N,жэрдка,shufër
378,Stock::N,палка,dajak
379,Stab::N,шост,shkop
380,Rohr::N,труба,tub
381,Haus::N,дом,shtëpi
382,Heim::N,дом,konak
383,Heim::N,дом,shtëpi
384,Heim::N,хата,konak
385,Heim::N,хата,shtëpi
386,Ofen::N,печ,sobë
387,Ofen::N,печ,stufë
388,Fußboden::N,падлога,dysheme
389,Tisch::N,стол,tryezë
390,Stuhl::N,стул,karrige
391,Stuhl::N,крэсла,karrige
392,Wiege::N,калыска,djep
393,Bett::N,ложак,shtrat
394,Bett::N,пасцель,shtrat
395,Regal::N,паліца,raft
396,Kiste::N,скрынка,kuti
397,Fenster::N,акно,dritare
398,Tür::N,дзверы,derë
399,Tor::N,вароты,portë
400,Zaun::N,агароджа,gardh
401,Dach::N,дах,çati
402,Leiter::N,лесвіца,shkallë
403,Besen::N,мятла,fshesë
404,Spaten::N,лапата,lopatë
405,Spaten::N,жалязняк,lopatë
406,Schaufel::N,шуфлік,qyrek
407,Schaufel::N,лапатка,qyrek
408,Gabel::N,відэлец,pirun
409,Löffel::N,лыжка,lugë
410,Messer::N,нож,thikë
411,Nagel::N,цвік,gozhdë
412,Netz::N,сетка,rrjetë
413,Haken::N,крук,grep
414,Haken::N,крук,grremç
415,Griff::N,ручка,dorak
416,Griff::N,ручка,dorezë
417,Schloss::N,замок,bravë
418,Bild::N,карціна,tablo
419,Bild::N,карціна,pikturë
420,Figur::N,фігура,figurë
421,Puppe::N,лялька,kukull
422,Beutel::N,мяшок,qese
423,Beutel::N,мяшок,trastë
424,Bündel::N,вязка,deng
425,Tasche::N,торба,çantë
426,Eimer::N,вядро,kovë
427,Deckel::N,накрыўка,kapak
428,Deckel::N,накрыўка,mbulesë
429,Geschirr::N,пасуда,enë
430,Sack::N,мех,thes
431,Sack::N,мех,torbë
432,Tasse::N,кубак,filxhan
433,Topf::N,каструля,kusi
434,Topf::N,каструля,tenxhere
435,Kessel::N,кацёл,kazan
436,Essen::N,ежа,ngrënie
437,Nahrung::N,харч,ushqim
438,Speise::N,страва,gatesë
439,Fleisch::N,мяса,mish
440,Getreide::N,збожжа,drithë
441,Brei::N,каша,qull
442,Brot::N,хлеб,bukë
443,Scheibe::N,луста,fetë
444,Scheibe::N,скібка,fetë
445,Fett::N,тлушч,lyrë
446,Fett::N,тлушч,yndyrë
447,Butter::N,масла,gjalpë
448,Öl::N,алей,vaj
449,Salz::N,соль,kripë
450,Suppe::N,суп,supë
451,Suppe::N,суп,çorbë
452,Honig::N,мёд,mjaltë
453,Milch::N,малако,qumësht
454,Tee::N,чай,çaj
455,Tee::N,гарбата,çaj
456,Leder::N,скура,lëkurë
457,Wolle::N,воўна,lesh
458,Stoff::N,тканіна,pëlhurë
459,Nadel::N,іголка,gjilpërë
460,Faden::N,нітка,pe
461,Faden::N,нітка,fije
462,Knopf::N,гузік,kopsë
463,Knoten::N,вузел,komb
464,Farbe::N,фарба,bojë
465,Kleidung::N,адзенне,veshje
466,Hemd::N,кашуля,këmishë
467,Kragen::N,каўнер,jakë
468,Ärmel::N,рукаў,mëngë
469,Hose::N,штаны,brekë
470,Gürtel::N,пояс,rrip
471,Mütze::N,шапка,kësulë
472,Schuh::N,чаравік,këpucë
473,Stiefel::N,бот,çizme
474,Ring::N,кольца,unazë
475,Band::N,стужка,shirit
476,Kamm::N,расчоска,krehër
477,Spiegel::N,люстра,pasqyrë
478,Riemen::N,рэмень,rrip
479,Schnur::N,вяроўка,litar
480,Schnur::N,вяроўка,cikomë
481,Leine::N,павадок,rrip
482,Decke::N,коўдра,batanije
483,Kissen::N,падушка,jastëk
484,Tuch::N,хустка,shami
485,Handtuch::N,ручнік,peshqir
486,Kraft::N,сіла,forcë
487,Stärke::N,моц,koll
488,Gesundheit::N,здароўе,shëndet
489,Krankheit::N,хвароба,sëmundje
490,Schmerz::N,боль,dhimbje
491,Wunde::N,рана,plagë
492,Fieber::N,гарачка,ethe
493,Fieber::N,ліхаманка,ethe
494,Arznei::N,лекі,ilaç
495,Brücke::N,мост,urë
496,Brunnen::N,калодзеж,pus
497,Weide::N,паша,kullotë
498,Pfad::N,сцежка,ravë
499,Pfad::N,сцежка,shteg
500,Weg::N,шлях,udhë
501,Weg::N,шлях,shteg
502,Weg::N,дарога,udhë
503,Weg::N,дарога,shteg
504,Straße::N,вуліца,rrugë
505,Dorf::N,вёска,fshat
506,Dorf::N,вёска,katund
507,Stadt::N,горад,qytet
508,Brief::N,ліст,letër
509,Brief::N,пісьмо,letër
510,Buch::N,кніга,libër
511,Buchstabe::N,літара,shkronjë
512,Zeitung::N,газета,gazetë
513,Leben::N,жыццё,jetë
514,Tod::N,смерць,mortje
515,Grab::N,магіла,varr
516,Kirche::N,касцёл,kishë
517,Kirche::N,царква,kishë
518,Sünde::N,грэх,mëkat
519,Sünde::N,грэх,gjynah
520,Gott::N,бог,hy
521,Gott::N,бог,zot
522,Arbeiter::N,рабочы,punëtor
523,Chef::N,начальнік,shef
524,Chef::N,начальнік,drejtues
525,Meister::N,майстар,mjeshtër
526,Arzt::N,урач,mjek
527,Arzt::N,урач,doktor
528,Lehrer::N,настаўнік,mësues
529,Lehrer::N,настаўнік,arsimtar
530,Geld::N,грошы,para
531,Geld::N,грошы,holla
532,Geschäft::N,заняцце,ujdi
533,Geschäft::N,заняцце,biznes
534,Laden::N,крама,dyqan
535,Laden::N,магазін,dyqan
536,Preis::N,цана,çmim
537,Ware::N,тавар,mall
538,Nutzen::N,выгада,dobi
539,Nutzen::N,выгада,leverdi
540,Reichtum::N,багацце,kamje
541,Reichtum::N,багацце,pasuri
542,Welt::N,свет,botë
543,Land::N,краіна,vend
544,Staat::N,дзяржава,shtet
545,König::N,кароль,mbret
546,Macht::N,улада,fuqi
547,Macht::N,улада,pushtet
548,Grenze::N,граніца,kufi
549,Krieg::N,вайна,luftë
550,Feind::N,вораг,armik
551,Gewalt::N,насілле,dhunë
552,Kampf::N,барацьба,luftim
553,Bogen[Waffe]::N,лук,hark
554,Pfeil::N,страла,shigjetë
555,Gewehr::N,ружжо,pushkë
556,Fehler::N,памылка,gafë
557,Fehler::N,памылка,gabim
558,Lüge::N,хлусня,gënjeshtër
559,Schaden::N,шкода,dëm
560,Schaden::N,шкода,zarar
561,Unglück::N,ліха,fatkeqësi
562,Unglück::N,бядота,fatkeqësi
563,Schuld::N,віна,faj
564,Alter::N,узрост,moshë
565,Schluss::N,канец,fund
566,Zeit::N,час,kohë
567,Tag::N,дзень,ditë
568,Morgen::N,ранак,mëngjes
569,Morgen::N,раніца,mëngjes
570,Mittag::N,паўдня,mesditë
571,Mittag::N,поўдзень,mesditë
572,Abend::N,вечар,mbrëmje
573,Nacht::N,ноч,natë
574,Woche::N,тыдзень,javë
575,Monat::N,месяц,muaj
576,Jahr::N,год,vit
577,Frühling::N,вясна,pranverë
578,Sommer::N,лета,verë
579,Herbst::N,восень,vjeshtë
580,Winter::N,зіма,dimër
581,Januar::N,студзень,janar
582,Februar::N,люты,shkurt
583,März::N,сакавік,mars
584,April::N,красавік,prill
585,Mai::N,май,maj
586,Mai::N,травень,maj
587,Juni::N,чэрвень,qershor
588,Juli::N,ліпень,korrik
589,August::N,жнівень,gusht
590,September::N,верасень,shtator
591,Oktober::N,кастрычнік,tetor
592,November::N,лістапад,nëntor
593,Dezember::N,снежань,dhjetor
594,Montag::N,панядзелак,hënë
595,Dienstag::N,аўторак,martë
596,Mittwoch::N,серада,mërkurë
597,Donnerstag::N,чацвер,enjte
598,Freitag::N,пятніца,premte
599,Samstag::N,субота,shtunë
600,Sonntag::N,нядзеля,diel
601,groß::A,вялікі,madh
602,klein::A,маленькі,vogël
603,lang::A,доўгі,gjatë
604,kurz::A,кароткі,shkurtër
605,breit::A,шырокі,gjerë
606,schmal::A,вузкі,ngushtë
607,dicht::A,густы,dendur
608,dick[Gegenstand]::A,тоўсты,trashë
609,dünn::A,тонкі,hollë
610,fein::A,тонкі,imët
611,fest::A,моцны,fortë
612,flach::A,плоскі,sheshtë
613,glatt::A,гладкі,rrafshët
614,hart::A,цвёрды,fortë
615,weich::A,мяккі,butë
616,rund::A,круглы,rrumbullakët
617,spitz::A,спічасты,majëmprehtë
618,spitz::A,востраканцовы,majëmprehtë
619,scharf::A,востры,mprehtë
620,stumpf::A,тупы,topitur
621,schwer::A,цяжкі,rëndë
622,schön::A,прыгожы,bukur
623,heiß::A,гарачы,nxehtë
624,warm::A,цёплы,ngrohtë
625,kalt::A,холадны,ftohtë
626,kühl::A,халаднаваты,freskët
627,frisch::A,свежы,pastër
628,feucht::A,вільготны,lagësht
629,nass::A,мокры,lagur
630,trocken::A,сухі,thatë
631,voll::A,поўны,plotë
632,leer::A,пусты,bosh
633,leer::A,пусты,zbrazët
634,offen::A,адкрыты,hapur
635,offen::A,адчынены,hapur
636,geschlossen::A,закрыты,mbyllur
637,geschlossen::A,зачынены,mbyllur
638,sauber::A,чысты,dëlirë
639,schmutzig::A,брудны,ndyrë
640,roh::A,сыры,gjallë
641,reif::A,спелы,arrirë
642,lecker::A,смачны,shijshëm
643,süß::A,салодкі,ëmbël
644,bitter::A,горкі,hidhur
645,sauer::A,кіслы,thartë
646,hell::A,светлы,me dritë
647,dunkel::A,цёмны,errët
648,schwarz::A,чорны,i zi
649,weiß::A,белы,bardhë
650,rot::A,чырвоны,kuq
651,gelb::A,жоўты,verdhë
652,blau::A,сіні,blu
653,blau::A,сіні,kaltër
654,grün::A,зялёны,blertë
655,grün::A,зялёны,gjelbër
656,grau::A,шэры,hirtë
657,grau::A,шэры,bojë hiri
658,bunt::A,пяресты,shumëngjyrëshëm
659,billig::A,танны,lirë
660,teuer::A,дарагі,shtrenjtë
661,wertvoll::A,цэнны,çmuar
662,wertvoll::A,цэнны,vlershëm
663,wertvoll::A,каштоўны,çmuar
664,wertvoll::A,каштоўны,vlershëm
665,blind::A,сляпы,qorr
666,blind::A,сляпы,verbër
667,taub::A,глухі,shurdhër
668,kräftig::A,магутны,fuqishëm
669,stark::A,сільны,fortë
670,schwach::A,слабы,dobët
671,fett::A,тлусты,dhjamur
672,schlank::A,стройны,hollë
673,hübsch::A,чароўны,bukur
674,hübsch::A,чароўны,hijshëm
675,böse::A,злы,keq
676,dumm::A,дурны,teveqel
677,faul::A,лянівы,dembel
678,fleißig::A,руплівы,zellshëm
679,geizig::A,прагны,kurnac
680,geizig::A,прагны,dorështrënguar
681,klug::A,разумны,mençur
682,geschickt::A,умелы,aftë
683,lieb::A,мілы,dashur
684,lustig::A,вясёлы,gëzuar
685,sanft::A,ласкавы,butë
686,hungrig::A,галодны,uritur
687,krank::A,хворы,sëmurë
688,nackt::A,голы,lakuriq
689,nackt::A,голы,zhveshur
690,traurig::A,сумны,trishtuar
691,lebendig::A,жывы,gjallë
692,gut::A,добры,mirë
693,schlecht::A,кепскі,keq
694,richtig::A,правільны,drejtë
695,schlimm::A,агідны,keq
696,wahr::A,сапраўдны,vërtetë
697,alt::A,стары,vjetër
698,neu::A,новы,i ri
699,ehemalig::A,былы,dikurshëm
700,alt[Lebewesen]::A,стары,plak
701,jung::A,малады,i ri
702,arm::A,бедны,varfër
703,arm::A,бедны,vobektë
704,reich::A,багаты,pasur
705,bekannt::A,знаёмы,njohur
706,berühmt::A,славуты,famshëm
707,fremd::A,чужы,huaj
708,verschieden::A,розны,ndryshëm
709,nah::A,блізкі,afërt
710,fern::A,далёкі,largët
711,linker::A,левы,majtë
712,rechter::A,правы,djathtë
713,anderer::A,іншы,tjetër
714,anderer::A,другі,tjetër
715,erster::A,першы,parë
716,zweiter::A,другі,dytë
717,dritter::A,трэці,i tretë
718,letzter::A,апошні,fundit
719,allein::ADV,сам,vetëm
720,allein::ADV,адзін,vetëm
721,auf einmal::ADV,адразу,njëkohësisht
722,zusammen::ADV,разам,bashkë
723,zusammen::ADV,разам,së bashku
724,lange::ADV,доўга,për një kohë të gjatë
725,plötzlich::ADV,раптам,befas
726,sofort::ADV,зараз,menjëherë
727,sofort::ADV,зараз,aty për aty
728,später::ADV,пазней,më vonë
729,jetzt::ADV,цяпер,tash
730,heute::ADV,сёння,sot
731,morgen::ADV,заўтра,nesër
732,bald::ADV,хутка,shpejt
733,bald::ADV,хутка,së shpejti
734,bald::ADV,неўзабаве,shpejt
735,bald::ADV,неўзабаве,së shpejti
736,dann::ADV,потым,pastaj
737,gestern::ADV,учора,dje
738,einst::ADV,аднойчы,dikur
739,damals::ADV,тады,atëherë
740,danach::ADV,затым,mandej
741,vorher::ADV,раней,më parë
742,zuerst::ADV,спярша,së pari
743,zuerst::ADV,спачатку,së pari
744,einmal::ADV,адзін раз,njëherë
745,manchmal::ADV,часам,nganjëherë
746,oft::ADV,часта,shpesh
747,immer::ADV,заўсёды,përherë
748,immer::ADV,заўсёды,gjithnjë
749,niemals::ADV,ніколі,kurrë
750,niemals::ADV,ніколі,asnjëherë
751,hier::ADV,тут,këtu
752,hierhin::ADV,сюды,knej
753,von hier::ADV,адсюль,që këtej
754,von hier::ADV,адсюль,prej këtej
755,von hier::ADV,адгэтуль,që këtej
756,von hier::ADV,адгэтуль,prej këtej
757,dort::ADV,там,aty
758,dort::ADV,там,atje
759,dorthin::ADV,туды,anej
760,geradeaus::ADV,прама,drejt
761,vorwärts::ADV,наперад,mbroth
762,vorwärts::ADV,наперад,përpara
763,rückwärts::ADV,назад,mbrapsht
764,zurück::ADV,назад,prapa
765,zurück::ADV,назад,mbrapsht
766,unten::ADV,унізе,poshtë
767,hinab::ADV,уніз,përposh
768,oben::ADV,угары,lart
769,oben::ADV,угары,sipër
770,oben::ADV,наверсе,lart
771,oben::ADV,наверсе,sipër
772,hinauf::ADV,угару,lart
773,hinauf::ADV,угару,përpjetë
774,überall::ADV,усюды,kudo
775,nicht::ADV,не,s'
776,nicht::ADV,не,nuk
777,ein wenig::ADV,трошкі,një tis
778,kaum::ADV,ледзьве,mezi
779,sehr::ADV,вельмі,fort
780,sehr::ADV,вельмі,shumë
781,so::ADV,так,ashtu
782,so::ADV,так,kështu
783,noch::ADV,яшчэ,ende
784,noch::ADV,яшчэ,akoma
785,nur::ADV,толькі,vetëm
786,schon::ADV,ужо,tashmë
787,wieder::ADV,зноў,përsëri
788,vergebens::ADV,дарма,kot
789,vergebens::ADV,дарэмна,kot
790,vor::PRP,перад,para
791,hinter::PRP,за,prapa
792,hinter::PRP,за,mbrapa
793,hinter::PRP,ззаду,prapa
794,hinter::PRP,ззаду,mbrapa
795,unter::PRP,пад,nën
796,durch::PRP,праз,nëpër
797,neben::PRP,каля,pranë
798,neben::PRP,каля,përbri
799,zwischen::PRP,між,midis
800,zwischen::PRP,між,ndërmjet
801,zwischen::PRP,паміж,midis
802,zwischen::PRP,паміж,ndërmjet
803,wegen::PRP,з-за,për
804,dies::PRN,гэта,ky
805,das::PRN,тое,ky
