,Concept_ID,cs,ku
161,Bär::N,medvěd,hirç
162,Eichhörnchen::N,veverka,pilûr
163,Elch::N,los,pazkovî
164,Fuchs::N,liška,rovî
165,Hase::N,zajíc,kîroşk
166,Maus::N,myš,mişk
167,Wolf::N,vlk,gur
168,Vogel::N,pták,çûk
169,Schwarm::N,roj,lufik
170,Schwarm::N,hejno,lufik
171,Huhn::N,kuře,mirîşk
172,Huhn::N,slepice,mirîşk
173,Hahn::N,kohout,dîk
174,Gans::N,husa,qaz
175,Adler::N,orel,eylo
176,Ente::N,kachna,werdek
177,Eule::N,sova,bûm
178,Eule::N,sova,kund
179,Kranich::N,jeřáb,quling
180,Krähe::N,vrána,qijik
181,Kuckuck::N,kukačka,pepûk
182,Schwan::N,labuť,qû
183,Fisch::N,ryba,masî
184,Barsch::N,okoun,okûn
185,Hecht::N,štika,mesîyê lûf
186,Schlange[Tier]::N,had,mar
187,Wurm::N,červ,kurm
188,Spinne::N,pavouk,pîrê
189,Ameise::N,mravenec,mîro
190,Ameise::N,mravenec,gêrîk
191,Laus::N,veš,spi
192,Mücke::N,komár,mêş
193,Fliege::N,moucha,mêş
194,Schmetterling::N,motýl,perperîk
195,Beere::N,bobule,hirç
196,Apfel::N,jablko,sêv
197,Pilz::N,houba,bîrov
198,Zwiebel::N,cibule,pîvaz
199,Saat::N,osivo,tov
200,Korn::N,zrno,dexl
201,Heu::N,seno,sap
202,Schale::N,slupka,qaşik
203,Schale::N,skořápka,qaşik
204,Grube::N,jáma,çahl
205,Falle::N,past,dafik
206,Falle::N,léčka,dafik
207,Schlinge::N,smyčka,dahf
208,Spur::N,stopa,rêç
209,Asche::N,popel,xweli
210,Dreck::N,špína,gemarî
211,Eisen::N,železo,hesing
212,Gold::N,zlato,zêr
213,Silber::N,stříbro,zîv
214,Kohle::N,uhlí,komir
215,Glas::N,sklo,qedeh
216,Lehm::N,jíl,kelpîç
217,Lehm::N,hlína,kelpîç
218,Sand::N,písek,qûm
219,Mensch::N,člověk,mirov
220,Mann::N,muž,mêr
221,Frau::N,žena,jin
222,Kind::N,dítě,zarok
223,Junge::N,hoch,kur
224,Junge::N,chlapec,kur
225,Mädchen::N,děvče,keç
226,Mädchen::N,děvče,keçik
227,Familie::N,rodina,malbat
228,Großvater::N,děd,bapîr
229,Großvater::N,dědeček,bapîr
230,Großmutter::N,babička,pîrik
231,Eltern::N,rodiče,bavudê
232,Vater::N,otec,bav
233,Mutter::N,matka,dê
234,Mutter::N,matka,dayik
235,Sohn::N,syn,kur
236,Tochter::N,dcera,keç
237,Bruder::N,bratr,bira
238,Schwester::N,sestra,xweh
239,Onkel::N,strýc,am
240,Onkel::N,strýc,xal
241,Tante::N,teta,metik
242,Tante::N,teta,xaltîk
243,Ehemann::N,choť,mêr
244,Ehemann::N,manžel,mêr
245,Ehefrau::N,choť,kulfet
246,Ehefrau::N,manželka,kulfet
247,Freude::N,radost,kêfxweşî
248,Gelächter::N,smích,pîrqînî
249,Glück::N,štěstí,bext
250,Kummer::N,žal,derd
251,Kummer::N,trápení,derd
252,Wunsch::N,přání,daxwaz
253,Wunsch::N,přání,xwestek
254,Lust::N,chuť,şewq
255,Geist::N,duch,aqil
256,Gedanke::N,myšlenka,fikir
257,Gedächtnis::N,paměť,aqil
258,Verstand::N,rozum,fêm
259,Sinn::N,smysl,aqil
260,Grund::N,důvod,asas
261,Wahrheit::N,pravda,rastî
262,Gespräch::N,rozhovor,guftûgo
263,Märchen::N,pohádka,çirok
264,Erzählung::N,povídka,çirok
265,Erzählung::N,povídka,vegotin
266,Nachricht::N,zpráva,nûçe
267,Neuigkeit::N,novina,hewal
268,Neuigkeit::N,novinka,hewal
269,Name::N,jméno,nav
270,Name::N,jméno,paşnav
271,Rätsel::N,hádanka,tiştonek
272,Rede::N,řeč,gotar
273,Rede::N,řeč,axavtin
274,Rede::N,proslov,gotar
275,Rede::N,proslov,axavtin
276,Sprache::N,řeč,ziman
277,Sprache::N,jazyk,ziman
278,Stimme::N,hlas,pejn
279,Wort::N,slovo,gotin
280,Zeichen::N,znamení,şanek
281,Ruf::N,zavolání,hawar
282,Lärm::N,hluk,xarbalix
283,Laut::N,zvuk,deng
284,Laut::N,zvuk,hês
285,Ton::N,tón,awaz
286,Lied::N,píseň,sitran
287,Ruhe::N,klid,rihetî
288,Ruhe::N,pokoj,rihetî
289,Leute::N,lidé,xelk
290,Volk::N,národ,xelk
291,Arbeit::N,práce,xebat
292,Gast::N,host,mêvan
293,Geschenk::N,dar,diyarî
294,Spiel::N,hra,lîstik
295,Gesellschaft::N,společnost,komal
296,Hilfe::N,pomoc,alîkarî
297,Freund::N,přítel,heval
298,Kamerad::N,kamarád,heval
299,Angelegenheit::N,záležitost,pirsgirêk
300,Anzahl::N,počet,çend
301,Art::N,druh,çeh
302,Stück::N,kus,lib
303,Stück::N,kus,parçe
304,Stück::N,kousek,lib
305,Stück::N,kousek,parçe
306,Teil::N,díl,parçe
307,Teil::N,část,parçe
308,Hälfte::N,půl,nîvî
309,Kreis::N,kruh,çemil
310,Kreuz::N,kříž,xaç
311,Linie::N,linka,xezik
312,Strich::N,čára,xezik
313,Strich::N,čárka,xezik
314,Abstand::N,vzdálenost,dûrahî
315,Entfernung::N,vzdálenost,dûrahî
316,Gegend::N,krajina,dever
317,Platz::N,prostor,çih
318,Ort::N,místo,dever
319,Seite::N,strana,rûpel
320,Mitte::N,střed,nav
321,Mitte::N,střed,nabênê
322,Mitte::N,prostředek,nav
323,Mitte::N,prostředek,nabênê
324,Gegenstand::N,předmět,tişt
325,Sache::N,věc,tişt
326,Rand::N,kraj,kevî
327,Rand::N,okraj,kevî
328,Kante::N,hrana,kevî
329,Ecke::N,roh,qunç
330,Spitze::N,hrot,derzî
331,Spitze::N,špička,derzî
332,Ende::N,konec,talî
333,Loch::N,díra,qul
334,Winkel::N,kout,kurnîşk
335,Muster::N,vzor,desen
336,Größe::N,velikost,mezinî
337,Länge::N,délka,dirêjahî
338,Höhe::N,výška,bilindayî
339,Gewicht::N,váha,giranî
340,Menge::N,množství,qas
341,Haufen::N,kupa,lod
342,Haufen::N,hromada,lod
343,Reihe::N,řada,rêz
344,Reihe::N,řádek,rêz
345,Boot::N,člun,kelek
346,Ruder::N,veslo,bêrik
347,Schlitten::N,sáně,xîjik
348,Ski::N,lyže,lakan
349,Lagerfeuer::N,táborák,agir
350,Last::N,náklad,bar
351,Last::N,břemeno,bar
352,Gang::N,chůze,fîtêz
353,Gang::N,chodba,fîtêz
354,Schritt::N,krok,gav
355,Norden::N,sever,bakur
356,Süden::N,jih,başur
357,Westen::N,západ,rojava
358,Osten::N,východ,rojhilat
359,Holz::N,dřevo,dep
360,Brett::N,prkno,dep
361,Platte::N,deska,dep
362,Stütze::N,opěra,destek
363,Stange::N,tyč,sing
364,Stange::N,tyčka,sing
365,Stock::N,hůlka,çam
366,Stab::N,hůl,qat
367,Rohr::N,trubka,borî
368,Haus::N,dům,mal
369,Haus::N,dům,xanî
370,Heim::N,domov,mal
371,Ofen::N,kamna,sobe
372,Fußboden::N,podlaha,binpê
373,Tisch::N,stůl,mase
374,Stuhl::N,židle,kursî
375,Wiege::N,kolébka,derguş
376,Bett::N,postel,qerewêle
377,Regal::N,regál,rêbaz
378,Regal::N,police,rêbaz
379,Kiste::N,bedna,sindoq
380,Fenster::N,okno,çam
381,Fenster::N,okno,şibeke
382,Tür::N,dveře,derî
383,Tor::N,vrata,derge
384,Zaun::N,plot,hejik
385,Dach::N,střecha,sere xanî
386,Leiter::N,žebřík,pêling
387,Besen::N,koště,melkes
388,Besen::N,smeták,melkes
389,Spaten::N,rýč,mer
390,Schaufel::N,lopata,bêr
391,Gabel::N,vidlička,çetel
392,Löffel::N,lžíce,kevçî
393,Messer::N,nůž,kêr
394,Nagel::N,hřebík,bizmar
395,Netz::N,síť,tor
396,Haken::N,hák,çenqel
397,Griff::N,držadlo,destî
398,Schloss::N,zámek,qonax
399,Bild::N,obraz,dimen
400,Figur::N,figura,figûr
401,Puppe::N,panenka,bûk
402,Beutel::N,pytlík,kîsik
403,Bündel::N,svazek,pêçek
404,Tasche::N,taška,bêrîk
405,Tasche::N,brašna,bêrîk
406,Eimer::N,kýbl,dewl
407,Eimer::N,vědro,dewl
408,Deckel::N,víko,devik
409,Deckel::N,příklop,devik
410,Geschirr::N,nádobí,ferax
411,Sack::N,pytel,tûr
412,Tasse::N,šálek,kada
413,Topf::N,hrnec,beroş
414,Kessel::N,kotel,şîril
415,Essen::N,jídlo,xwarin
416,Nahrung::N,strava,xwarin
417,Nahrung::N,potrava,xwarin
418,Speise::N,jídlo,xwarin
419,Fleisch::N,maso,goşt
420,Getreide::N,obilí,zad
421,Brei::N,kaše,hewdêl
422,Brot::N,chléb,
423,Scheibe::N,krajíc,parçe
424,Fett::N,tuk,rûn
425,Fett::N,omastek,rûn
426,Butter::N,máslo,rûn
427,Öl::N,olej,rûn
428,Salz::N,sůl,xwe
429,Suppe::N,polévka,şorbe
430,Honig::N,med,hingiv
431,Milch::N,mléko,şîr
432,Tee::N,čaj,çay
433,Leder::N,kůže,çerm
434,Wolle::N,vlna,herî
435,Stoff::N,látka,paç
436,Nadel::N,jehla,derzî
437,Faden::N,nit,ta
438,Knopf::N,knoflík,bişkok
439,Knoten::N,uzel,girêk
440,Farbe::N,barva,boyax
441,Kleidung::N,šaty,çil
442,Kleidung::N,šatstvo,çil
443,Hemd::N,košile,qutik
444,Hemd::N,košile,miltan
445,Kragen::N,límec,stûvang
446,Ärmel::N,rukáv,hûçik
447,Hose::N,kalhoty,şewel
448,Gürtel::N,pás,qayiş
449,Gürtel::N,opasek,qayiş
450,Mütze::N,čepice,fîno
451,Schuh::N,bota,şêkal
452,Stiefel::N,holínka,gizme
453,Stiefel::N,holínka,çizme
454,Ring::N,prsten,xelek
455,Band::N,pásek,band
456,Kamm::N,hřeben,şeh
457,Spiegel::N,zrcadlo,eynik
458,Riemen::N,řemen,qayiş
459,Schnur::N,šňůra,doxin
460,Leine::N,vodítko,şirît
461,Decke::N,pokrývka,bataniye
462,Decke::N,přikrývka,bataniye
463,Kissen::N,polštář,balgî
464,Tuch::N,šátek,şar
465,Handtuch::N,ručník,dezmal
466,Kraft::N,síla,hêz
467,Kraft::N,síla,qewet
468,Stärke::N,síla,xurtî
469,Gesundheit::N,zdraví,nojdarî
470,Krankheit::N,nemoc,nexweşî
471,Krankheit::N,choroba,nexweşî
472,Schmerz::N,bolest,êş
473,Wunde::N,rána,kul
474,Fieber::N,horečka,ta
475,Arznei::N,lék,derman
476,Brücke::N,most,kopî
477,Brunnen::N,studna,çal
478,Brunnen::N,studna,kani
479,Weide::N,pastva,beyar
480,Weide::N,pastvina,beyar
481,Pfad::N,pěšina,xaçirek
482,Weg::N,cesta,rê
483,Straße::N,silnice,rê
484,Dorf::N,vesnice,gund
485,Stadt::N,město,baçar
486,Brief::N,dopis,name
487,Buch::N,kniha,kitêb
488,Buch::N,kniha,pirtûk
489,Buchstabe::N,písmeno,herf
490,Zeitung::N,noviny,rojname
491,Leben::N,život,jiyan
492,Tod::N,smrt,mirin
493,Grab::N,hrob,mezel
494,Kirche::N,kostel,gilyas
495,Sünde::N,hřích,guneh
496,Gott::N,bůh,xwedê
497,Arbeiter::N,dělník,hîşçî
498,Arbeiter::N,pracovník,hîşçî
499,Chef::N,šéf,bêg
500,Chef::N,vedoucí,bêg
501,Meister::N,mistr,hoste
502,Arzt::N,lékař,doktor
503,Lehrer::N,učitel,mamoste
504,Geld::N,peníze,pere
505,Geschäft::N,obchod,firoşgeh
506,Laden::N,krám,dikan
507,Preis::N,cena,buha
508,Ware::N,zboží,tişt
509,Nutzen::N,užitek,fêde
510,Reichtum::N,bohatství,serwet
511,Welt::N,svět,dinya
512,Land::N,země,welat
513,Staat::N,stát,dewlet
514,König::N,král,şah
515,König::N,král,qral
516,Macht::N,moc,qewet
517,Macht::N,moc,destihilat
518,Macht::N,mocnost,qewet
519,Macht::N,mocnost,destihilat
520,Grenze::N,hranice,kevî
521,Krieg::N,válka,çeng
522,Krieg::N,válka,sêwaş
523,Feind::N,nepřítel,dijmin
524,Gewalt::N,násilí,zor
525,Kampf::N,boj,şer
526,Bogen[Waffe]::N,luk,kêvan
527,Pfeil::N,šíp,çîrik
528,Gewehr::N,puška,tifing
529,Gewehr::N,ručnice,tifing
530,Fehler::N,chyba,şaşî
531,Lüge::N,lež,derew
532,Schaden::N,škoda,xisar
533,Unglück::N,neštěstí,bêbextî
534,Schuld::N,vina,suç
535,Alter::N,věk,temen
536,Schluss::N,konec,girtin
537,Zeit::N,čas,çax
538,Tag::N,den,roj
539,Morgen::N,ráno,sibeh
540,Morgen::N,jitro,sibeh
541,Mittag::N,poledne,nîro
542,Abend::N,večer,êvar
543,Nacht::N,noc,şev
544,Woche::N,týden,heftî
545,Monat::N,měsíc,meh
546,Jahr::N,rok,sal
547,Frühling::N,jaro,bihar
548,Sommer::N,léto,havîn
549,Herbst::N,podzim,payîz
550,Winter::N,zima,zistan
551,Januar::N,leden,çile
552,Februar::N,únor,sibat
553,März::N,březen,adar
554,April::N,duben,nîsan
555,Mai::N,květen,gûlan
556,Juni::N,červen,hezîran
557,Juli::N,červenec,tîmeh
558,August::N,srpen,tebax
559,September::N,září,îlon
560,Oktober::N,říjen,çotmeh
561,November::N,listopad,mijdar
562,Dezember::N,prosinec,kanûn
563,Montag::N,pondělí,duşemb
564,Montag::N,pondělek,duşemb
565,Dienstag::N,úterý,sêşem
566,Mittwoch::N,středa,çarşemb
567,Donnerstag::N,čtvrtek,pêşemb
568,Freitag::N,pátek,în
569,Samstag::N,sobota,şemî
570,Sonntag::N,neděle,yekşemb
571,groß::A,velký,mezin
572,klein::A,malý,çûçik
573,lang::A,dlouhý,dirêj
574,kurz::A,krátký,kin
575,breit::A,široký,fireh
576,schmal::A,úzký,tenik
577,dicht::A,hustý,gir
578,dick[Gegenstand]::A,tlustý,şîşman
579,dünn::A,tenký,zirav
580,fein::A,jemný,tenik
581,fest::A,pevný,saxlem
582,flach::A,plochý,pahn
583,flach::A,placatý,pahn
584,glatt::A,hladký,dûz
585,glatt::A,hladký,şayîk
586,hart::A,tvrdý,hişk
587,weich::A,měkký,nerm
588,rund::A,kulatý,gilover
589,rund::A,okrouhlý,gilover
590,spitz::A,špičatý,pîj
591,scharf::A,ostrý,tûj
592,stumpf::A,tupý,ne tûj
593,schwer::A,těžký,giran
594,schön::A,pěkný,xweş
595,schön::A,pěkný,xweşik
596,schön::A,krásný,xweş
597,schön::A,krásný,xweşik
598,heiß::A,horký,kelandî
599,warm::A,teplý,germ
600,kalt::A,studený,sar
601,kühl::A,chladný,jemîrî
602,frisch::A,svěží,ter
603,feucht::A,vlhký,şil
604,nass::A,mokrý,şilek
605,trocken::A,suchý,zuwa
606,voll::A,plný,tijî
607,leer::A,prázdný,vala
608,offen::A,otevřený,vekirî
609,geschlossen::A,zavřený,asê
610,sauber::A,čistý,pakij
611,schmutzig::A,špinavý,lewitî
612,roh::A,syrový,xav
613,reif::A,zralý,gihaştî
614,lecker::A,chutný,xweş
615,süß::A,sladký,şîrîn
616,bitter::A,hořký,tahl
617,sauer::A,kyselý,tirş
618,hell::A,světlý,ronî
619,dunkel::A,temný,tarî
620,schwarz::A,černý,reş
621,weiß::A,bílý,sipî
622,rot::A,rudý,sor
623,rot::A,červený,sor
624,gelb::A,žlutý,zer
625,blau::A,modrý,şîn
626,grün::A,zelený,şîn
627,grau::A,šedý,gewr
628,grau::A,šedivý,gewr
629,bunt::A,pestrý,rengîn
630,billig::A,levný,erzan
631,billig::A,laciný,erzan
632,teuer::A,drahý,biha
633,wertvoll::A,cenný,hêja
634,wertvoll::A,cenný,giranbiha
635,blind::A,slepý,kor
636,taub::A,hluchý,kerr
637,kräftig::A,silný,gir
638,kräftig::A,silný,xurt
639,stark::A,silný,xurt
640,schwach::A,slabý,kesad
641,fett::A,tučný,qelew
642,fett::A,tlustý,qelew
643,schlank::A,štíhlý,zirav
644,hübsch::A,hezký,xweşik
645,böse::A,zlý,xerab
646,böse::A,zlý,aciz
647,dumm::A,hloupý,gêj
648,faul::A,líný,têmbêl
649,fleißig::A,pilný,jêhatî
650,geizig::A,lakomý,destgirtî
651,klug::A,chytrý,baqil
652,geschickt::A,šikovný,zîrek
653,geschickt::A,šikovný,ziring
654,lieb::A,milý,delal
655,lustig::A,veselý,kêfxweş
656,sanft::A,mírný,nazenîn
657,hungrig::A,hladový,birçî
658,krank::A,nemocný,nexweş
659,nackt::A,nahý,rût
660,nackt::A,nahý,tazî
661,traurig::A,smutný,xemgîn
662,traurig::A,truchlivý,xemgîn
663,lebendig::A,živý,bisaxî
664,gut::A,dobrý,baş
665,schlecht::A,špatný,xerab
666,richtig::A,pravý,rast
667,richtig::A,pravý,saxlem
668,richtig::A,správný,rast
669,richtig::A,správný,saxlem
670,schlimm::A,zlý,nebaş
671,wahr::A,pravdivý,rast
672,alt::A,starý,pîr
673,alt::A,starý,kevn
674,neu::A,nový,nû
675,ehemalig::A,bývalý,kevnar
676,ehemalig::A,bývalý,peşidar
677,alt[Lebewesen]::A,starý,pîr
678,jung::A,mladý,xort
679,arm::A,chudý,feqîr
680,arm::A,chudý,desteng
681,reich::A,bohatý,dewlemend
682,bekannt::A,známý,naskirî
683,berühmt::A,slavný,navdar
684,fremd::A,cizí,xerîb
685,verschieden::A,různý,çîhê
686,verschieden::A,rozličný,çîhê
687,nah::A,blízký,nêzîk
688,fern::A,daleký,dûr
689,linker::A,levý,çepê
690,rechter::A,pravý,rastê
691,anderer::A,jiný,yê din
692,erster::A,první,yekemîn
693,zweiter::A,druhý,duda
694,dritter::A,třetí,sisêya
695,letzter::A,poslední,paşîn
696,allein::ADV,sám,tenê
697,auf einmal::ADV,najednou,jar kê
698,zusammen::ADV,spolu,tev
699,zusammen::ADV,spolu,bi hev re
700,zusammen::ADV,dohromady,tev
701,zusammen::ADV,dohromady,bi hev re
702,lange::ADV,dlouho,dirêj
703,plötzlich::ADV,vtom,ji nişkave
704,plötzlich::ADV,náhle,ji nişkave
705,sofort::ADV,hned,yekser
706,sofort::ADV,ihned,yekser
707,später::ADV,později,paşiyê
708,jetzt::ADV,teď,nuha
709,jetzt::ADV,nyní,nuha
710,heute::ADV,dnes,îro
711,heute::ADV,dneska,îro
712,morgen::ADV,zítra,sibeh
713,bald::ADV,brzo,nêzîk
714,dann::ADV,pak,paşê
715,dann::ADV,potom,paşê
716,gestern::ADV,včera,do
717,einst::ADV,kdysi,jar ke
718,damals::ADV,tehdy,hîngî
719,damals::ADV,tenkrát,hîngî
720,danach::ADV,podle toho,piştra
721,vorher::ADV,dříve,pîşî
722,vorher::ADV,napřed,pîşî
723,zuerst::ADV,nejprve,bere
724,zuerst::ADV,nejdříve,bere
725,einmal::ADV,jednou,çarik
726,manchmal::ADV,někdy,çarna
727,oft::ADV,často,gelek çaran
728,immer::ADV,vždy,daîm
729,immer::ADV,stále,daîm
730,niemals::ADV,nikdy,tu çar
731,hier::ADV,zde,li vir
732,hier::ADV,tady,li vir
733,hierhin::ADV,sem,vir
734,von hier::ADV,odtud,ji vir
735,dort::ADV,tam,li wê derê
736,dorthin::ADV,tam,wêda
737,geradeaus::ADV,rovně,rastê rast
738,vorwärts::ADV,kupředu,ber bi pêş
739,rückwärts::ADV,zpět,paşpê
740,zurück::ADV,zpět,paşdo
741,zurück::ADV,zpět,paşvê
742,zurück::ADV,nazpět,paşdo
743,zurück::ADV,nazpět,paşvê
744,unten::ADV,dole,jêrî
745,hinab::ADV,dolů,berjêr
746,oben::ADV,nahoře,banî
747,oben::ADV,navrchu,banî
748,hinauf::ADV,nahoru,banî
749,überall::ADV,všude,li her derê
750,nicht::ADV,ne,ne
751,nicht::ADV,ne,nîn
752,nicht::ADV,ne,tine
753,ein wenig::ADV,trochu,hebkî
754,kaum::ADV,sotva,tema
755,kaum::ADV,sotva,himangi
756,sehr::ADV,velmi,gelek
757,sehr::ADV,velice,gelek
758,so::ADV,tak,weha
759,so::ADV,takto,weha
760,noch::ADV,ještě,hêj
761,noch::ADV,ještě,dîsa
762,nur::ADV,jen,tenê
763,nur::ADV,jen,bes
764,nur::ADV,jenom,tenê
765,nur::ADV,jenom,bes
766,schon::ADV,už,hew
767,schon::ADV,již,hew
768,wieder::ADV,zase,jar din
769,wieder::ADV,zase,dîsa
770,vergebens::ADV,marně,deya çun
771,vergebens::ADV,marně,îfleh bûn
772,vor::PRP,před,li ber
773,hinter::PRP,za,li pişt
774,unter::PRP,pod,li bin
775,durch::PRP,skrz,kura
776,neben::PRP,vedle,li ba
777,zwischen::PRP,mezi,nabeyne
778,zwischen::PRP,mezi,di nav...da
779,wegen::PRP,pro,ji bo
780,wegen::PRP,pro,ji ber
781,dies::PRN,toto,ev
782,dies::PRN,tohle,ev
783,das::PRN,to,ev
784,alles::PRN,všechno,hemû
785,ich::PRN,já,ez
786,du::PRN,ty,tu
787,er::PRN,on,wî
788,wir::PRN,my,êm
789,ihr::PRN,vy,hûn
790,sie::PRN,oni,we
791,was::FPRN,co,çi
792,wer::FPRN,kdo,ki
793,wo::FADV,kde,li ku dere
794,wohin::FADV,kam,li ku dere
795,wie::FADV,jak,çawa
796,warum::FADV,proč,çima
797,wieviel::FNUM,kolik,çend
798,eins::NUM,jeden,yek
799,zwei::NUM,dva,didu
800,drei::NUM,tři,sisê
801,vier::NUM,čtyři,çar
802,fünf::NUM,pět,penç
803,sechs::NUM,šest,şeş
804,sieben::NUM,sedm,heft
805,acht::NUM,osm,heşt
806,neun::NUM,devět,neh
807,zehn::NUM,deset,deh
808,elf::NUM,jedenáct,yazdeh
809,zwölf::NUM,dvanáct,diwazdeh
810,zwanzig::NUM,dvacet,bîst
811,dreißig::NUM,třicet,sih
812,vierzig::NUM,čtyřicet,çil
813,fünfzig::NUM,padesát,pençi
814,sechzig::NUM,šedesát,şêst
815,siebzig::NUM,sedmdesát,heftê
816,achtzig::NUM,osmdesát,heştê
817,neunzig::NUM,devadesát,nod
818,hundert::NUM,sto,sêd
819,tausend::NUM,tisíc,hezar
820,und::CNJ,a,û
821,oder::CNJ,nebo,an
822,oder::CNJ,nebo,yan
823,stehen::V,stát,sekinîn
824,sitzen::V,sedět,rûniştin
825,liegen::V,ležet,paldan
826,hängen::V,viset,darve kirin
827,werden::V,stát se,bûn
828,passieren::V,stát se,hatin holê
