,Concept_ID,sah,mhr
310,Hälfte::N,аҥар,пел
311,Hälfte::N,аҥар,пе́ле
312,Kreis::N,төгүрүк,ты́ртыш
313,Kreis::N,төгүрүмтэ,ты́ртыш
314,Kreuz::N,кириэс,ыре́с
315,Linie::N,сурааһын,ли́ний
316,Strich::N,сурааһын,коре́ш
317,Abstand::N,арыт,кокла́
318,Entfernung::N,ыраах,тора́
319,Entfernung::N,ыраах,ку́жыт
320,Gegend::N,сир,кунде́м
321,Platz::N,арыт,ку́мдык
322,Ort::N,сир,вер
323,Ort::N,сир,о́лмо
324,Seite::N,өрүт,ӧ́рдыж
325,Seite::N,сирэй,ӧ́рдыж
326,Mitte::N,орто,покше́л
327,Gegenstand::N,предмет,наста́
328,Sache::N,мал,наста́
329,Rand::N,кытыы,тӱр
330,Rand::N,ойоҕос,тӱр
331,Kante::N,кырыы,тӱр
332,Ecke::N,муннук,лук
333,Spitze::N,чыпчаал,вуй
334,Ende::N,төбө,муча́ш
335,Loch::N,тэһэҕэс,рож
336,Loch::N,дьөлөҕөс,рож
337,Winkel::N,муннук,лук
338,Muster::N,оһуор,пеза́к
339,Muster::N,оһуор,узо́р
340,Muster::N,оһуор,ӱ́лгӧ
341,Größe::N,кээмэй,кӱ́кшыт
342,Länge::N,уста,ку́тыш
343,Höhe::N,үрдүк,кӱ́кшыт
344,Gewicht::N,ыйааһын,не́лыт
345,Menge::N,ахсаан,чот
346,Haufen::N,чөмчөх,кы́шыл
347,Reihe::N,кэккэ,рада́м
348,Boot::N,оҥочо,пуш
349,Ruder::N,эрдии,эшка́к
350,Schlitten::N,сыарҕа,тер
351,Schlitten::N,сыарҕа,изде́р
352,Ski::N,хайыһар,е́че
353,Lagerfeuer::N,кутаа,туло́то
354,Last::N,ыарахан,нӧ́лтыш
355,Gang::N,хаамыы,ошкылма́ш
356,Schritt::N,хардыы,о́шкыл
357,Norden::N,хоту,йӱдйыма́л
358,Süden::N,соҕуруу,кечывалве́л
359,Westen::N,арҕаа,касве́л
360,Osten::N,илин,эрве́л
361,Holz::N,мас,пу
362,Brett::N,дуоска,оҥа́
363,Brett::N,хаптаһын,оҥа́
364,Platte::N,билиитэ,аста́р
365,Stütze::N,тулааһын,чара́к
366,Stange::N,ураҕас,лома́ш
367,Stock::N,мас,тоя́
368,Stock::N,баалкы,тоя́
369,Stab::N,ураҕас,вара́
370,Stab::N,ураҕас,кашта́
371,Rohr::N,турба,пуч
372,Haus::N,дьиэ,пӧрт
373,Heim::N,дьиэ,мӧ́ҥгӧ
374,Ofen::N,оһох,комака́
375,Fußboden::N,муоста,кӱва́р
376,Tisch::N,остуол,ӱсте́л
377,Stuhl::N,устуул,пӱке́н
378,Wiege::N,биһик,шепка́
379,Bett::N,кырабаат,ва́кшыш
380,Regal::N,долбуур,шӧ́рлык
381,Kiste::N,дьааһык,шо́ндык
382,Kiste::N,дьааһык,я́шлык
383,Fenster::N,түннүк,окна́
384,Tür::N,аан,омса́
385,Tor::N,аан,капка́
386,Zaun::N,соппулуот,сава́р
387,Dach::N,кырыыса,леве́дыш
388,Leiter::N,кирилиэс,тошка́лтыш
389,Besen::N,миинньик,ӱштерво́штыр
390,Spaten::N,күрдьэх,ко́льмо
391,Schaufel::N,күрдьэх,сово́к
392,Schaufel::N,күрдьэх,су́ско
393,Gabel::N,биилкэ,ви́лке
394,Löffel::N,луоска,па́не
395,Löffel::N,луоска,совла́
396,Messer::N,быһах,кӱ́зӧ
397,Nagel::N,тоһоҕо,пуда́
398,Netz::N,илим,вапш
399,Haken::N,көхө,са́гыле
400,Griff::N,ук,кыл
401,Griff::N,тутаах,кыл
402,Schloss::N,күлүүс,кӧгӧ́н
403,Bild::N,хартыына,сӱре́т
404,Figur::N,фигура,фигу́р
405,Puppe::N,куукула,курча́к
406,Beutel::N,мөһөөччук,меша́к
407,Bündel::N,баайыы,арша́ш
408,Tasche::N,суумка,сумка́
409,Eimer::N,биэдэрэ,ведра́
410,Deckel::N,хаппах,ко́мдыш
411,Geschirr::N,иһит,а́те
412,Sack::N,куул,куль
413,Sack::N,куул,меша́к
414,Tasse::N,сэлиэнэй,чу́кыр
415,Tasse::N,сэлиэнэй,чашка́
416,Topf::N,көстүрүүҥкэ,ми́ске
417,Kessel::N,хочуол,под
418,Essen::N,аһылык,ко́чкыш
419,Nahrung::N,ас,ку́рго
420,Speise::N,аһылык,ко́чкыш
421,Fleisch::N,эт,шыл
422,Getreide::N,злактар,шу́рно
423,Brei::N,хааһы,пу́чымыш
424,Brot::N,килиэп,ки́нде
425,Scheibe::N,куһуок,ка́тыш
426,Fett::N,сыа,коя́
427,Butter::N,арыы,ӱй
428,Öl::N,арыы,ӱй
429,Salz::N,туус,шинча́л
430,Suppe::N,мин,шӱр
431,Honig::N,мүөт,мӱй
432,Milch::N,үүт,шӧр
433,Tee::N,чэй,чай
434,Leder::N,тирии,сура́н
435,Leder::N,тирии,шӱ́штӧ
436,Wolle::N,түү,пун
437,Stoff::N,таҥас,куэ́м
438,Stoff::N,таҥас,посто́
439,Nadel::N,иннэ,и́ме
440,Faden::N,сап,шӱ́ртӧ
441,Knopf::N,тимэх,по́лдыш
442,Knoten::N,түмүк,пышке́м
443,Farbe::N,кырааска,чия́
444,Kleidung::N,таҥас,чие́м
445,Kleidung::N,таҥас,вурге́м
446,Hemd::N,ырбаахы,ту́выр
447,Kragen::N,саҕа,сога́
448,Ärmel::N,сиэх,шокш
449,Hose::N,ыстаан,йола́ш
450,Hose::N,бүрүүкэ,йола́ш
451,Gürtel::N,кур,ӱ́штӧ
452,Mütze::N,бэргэһэ,упш
453,Schuh::N,бачыыҥка,боти́нке
454,Stiefel::N,саппыкы,кем
455,Ring::N,биһилэх,шерга́ш
456,Band::N,лиэнтэ,тасма́
457,Band::N,лиэнтэ,ле́нте
458,Kamm::N,тараах,шерге́
459,Spiegel::N,сиэркилэ,вошто́нчыш
460,Riemen::N,кур,кӱзанӱ́штӧ
461,Schnur::N,быа,кере́м
462,Schnur::N,быа,кандыра́
463,Leine::N,тэһиин,вӱра́ҥ
464,Decke::N,суорҕан,леве́дыш
465,Decke::N,суорҕан,одея́л
466,Kissen::N,сыттык,кӱ́пчык
467,Tuch::N,былаат,шо́выч
468,Handtuch::N,соттор,со́лык
469,Kraft::N,сыра,вий
470,Kraft::N,сыра,куа́т
471,Stärke::N,күүс,куа́т
472,Stärke::N,күүс,карма́н
473,Gesundheit::N,доруобуйа,таза́лык
474,Krankheit::N,ыарыы,чер
475,Schmerz::N,ыарыы,ко́рштыш
476,Wunde::N,баас,су́сыр
477,Fieber::N,түрүлгэн,йӱштыму́ж
478,Fieber::N,түрүлгэн,лихора́дке
479,Fieber::N,лихорадка,йӱштыму́ж
480,Fieber::N,лихорадка,лихора́дке
481,Fieber::N,температура,йӱштыму́ж
482,Fieber::N,температура,лихора́дке
483,Arznei::N,эмп,эм
484,Brücke::N,күргэ,кӱва́р
485,Brunnen::N,холуодьас,вӱдвыне́м
486,Weide::N,мэччирэҥ,нурше́р
487,Pfad::N,ыллык,йолго́рно
488,Pfad::N,ыллык,сокма́к
489,Weg::N,суол,ко́рно
490,Straße::N,суол,ко́рно
491,Dorf::N,дэриэбинэ,ял
492,Stadt::N,куорат,ола́
493,Brief::N,сурук,се́рыш
494,Buch::N,кинигэ,книга́
495,Buchstabe::N,буква,буква́
496,Zeitung::N,хаһыат,газе́т
497,Leben::N,тыын,и́лыш
498,Tod::N,өлүү,колыма́ш
499,Grab::N,иин,шӱга́р
500,Kirche::N,таҥара дьиэтэ,че́рке
501,Sünde::N,айыы,су́лык
502,Gott::N,тангара,ю́мо
503,Arbeiter::N,үлэһит,паша́зе
504,Chef::N,баһылык,тӧра́
505,Chef::N,начальник,тӧра́
506,Meister::N,уус,маста́р
507,Meister::N,маастар,маста́р
508,Arzt::N,врач,врач
509,Lehrer::N,учуутал,ту́ныктышо
510,Geld::N,харчы,окса́
511,Geschäft::N,идэ,сатулыма́ш
512,Laden::N,маҕаһыын,ке́выт
513,Preis::N,сыана,ак
514,Ware::N,табаар,сату́
515,Nutzen::N,туһа,пайда́
516,Reichtum::N,баай,поя́нлык
517,Welt::N,аан дойду,тӱня́
518,Land::N,дойду,эл
519,Staat::N,государство,кугыжа́ныш
520,König::N,король,кугыжа́
521,Macht::N,былаас,власть
522,Grenze::N,кыраныысса,грани́ца
523,Krieg::N,сэрии,сар
524,Feind::N,өстөөх,тушма́н
525,Gewalt::N,күүһүлээһин,виешлыма́ш
526,Kampf::N,охсуһуу,кредалма́ш
527,Bogen[Waffe]::N,ох,юҥе́ж
528,Pfeil::N,ох,пикш
529,Gewehr::N,саа,пыча́л
530,Fehler::N,сыыһа,йо́ҥылыш
531,Lüge::N,сымыйа,шоя́к
532,Schaden::N,хоромньу,зия́н
533,Unglück::N,алдьархай,эҥге́к
534,Schuld::N,буруй,тита́к
535,Schuld::N,буруй,йола́
536,Alter::N,саас,ийго́т
537,Schluss::N,тиһэх,муча́ш
538,Zeit::N,бириэмэ,жап
539,Zeit::N,бириэмэ,па́гыт
540,Tag::N,күн,ке́че
541,Morgen::N,сарсыарда,эр
542,Mittag::N,күн ортото,кечыва́л
543,Abend::N,киэһэ,кас
544,Nacht::N,түүн,йӱд
545,Woche::N,нэдиэлэ,арня́
546,Monat::N,ый,ты́лзе
547,Jahr::N,сыл,ий
548,Jahr::N,дьыл,ий
549,Frühling::N,саас,шо́шо
550,Sommer::N,сайын,кеҥе́ж
551,Herbst::N,күһүн,шы́же
552,Winter::N,кыһын,те́ле
553,Januar::N,тохсунньу,шоркыйол
554,Januar::N,тохсунньу,идалыкву́й
555,Januar::N,тохсунньу,янва́рь
556,Februar::N,олунньу,пургыж
557,Februar::N,олунньу,февра́ль
558,März::N,кулун тутар,ӱярня
559,März::N,кулун тутар,март
560,April::N,муус устар ый,апре́ль
561,Mai::N,ыам ыйа,ага
562,Mai::N,ыам ыйа,май
563,Juni::N,бэс ыйа,пеледыш
564,Juni::N,бэс ыйа,ию́нь
565,Juli::N,от ыйа,сӱрем
566,Juli::N,от ыйа,ию́ль
567,August::N,атырдьах ыйа,сорла
568,August::N,атырдьах ыйа,агарма́н
569,August::N,атырдьах ыйа,а́вгуст
570,September::N,балаҕан ыйа,идым
571,September::N,балаҕан ыйа,сентя́брь
572,Oktober::N,алтынньы,шыжа
573,Oktober::N,алтынньы,октя́брь
574,November::N,сэтинньи,кылме тылзе
575,November::N,сэтинньи,ноя́брь
576,Dezember::N,ахсынньы,дека́брь
577,Montag::N,бэнидиэнньик,шо́чмо
578,Dienstag::N,оптуорунньук,ку́шкыжмо
579,Mittwoch::N,сэрэдэ,вӱрге́че
580,Donnerstag::N,чэппиэр,изарня́
581,Freitag::N,бээтинсэ,кугарня́
582,Samstag::N,субуота,шуматке́че
583,Sonntag::N,баскыһыанньа,рушарня́
584,groß::A,бөдөҥ,кугу́
585,groß::A,улахан,кугу́
586,klein::A,кыр,изи́
587,lang::A,уһун,кужу́
588,kurz::A,кылгас,кӱ́чык
589,breit::A,кэтит,кумда́
590,schmal::A,кыараҕас,а́ҥысыр
591,dicht::A,хойуу,ну́гыдо
592,dick[Gegenstand]::A,суон,кӱ́жгӧ
593,dick[Gegenstand]::A,хойуу,кӱ́жгӧ
594,dünn::A,чараас,ви́чкыж
595,fein::A,бытархай,ты́гыде
596,fein::A,синньигес,ты́гыде
597,fest::A,бөҕө,чо́ткыдо
598,fest::A,кытаанах,чо́ткыдо
