,Concept_ID,et,mn
112,Schmutz::N,mustus,хир
113,Schmutz::N,mustus,шавхай
114,See::N,järv,нуур
115,Sumpf::N,soo,намаг
116,Sumpf::N,soo,балчиг
117,Moor::N,raba,хүлрийн намаг
118,Wiese::N,aas,нуга
119,Wiese::N,nurm,нуга
120,Wald::N,mets,ой
121,Hügel::N,küngas,болдог
122,Anhöhe::N,küngas,гүвээ
123,Berg::N,mägi,уул
124,Gipfel::N,mäetipp,орой
125,Gipfel::N,mäetipp,оргил
126,Höhle::N,koobas,агуй
127,Abhang::N,nõlvak,хүр
128,Quelle::N,allikas,булаг
129,Bach::N,oja,горхи
130,Fluss::N,jõgi,гол
131,Fluss::N,jõgi,мөрөн
132,Ufer::N,kallas,эрэг
133,Küste::N,rannik,эрэг
134,Festland::N,mander,хуурай газар
135,Festland::N,maismaa,хуурай газар
136,Meer::N,meri,далай
137,Meer::N,meri,тэнгис
138,Bucht::N,laht,булан
139,Bucht::N,laht,далайн тохой
140,Insel::N,saar,арал
141,Blume::N,lill,цэцэг
142,Gras::N,rohi,өвс
143,Gras::N,rohi,ногоо
144,Wurzel::N,juur,үндэс
145,Baum::N,puu,мод
146,Stamm::N,tüvi,иш
147,Stamm::N,tüvi,гуалин
148,Rinde::N,koor,холтос
149,Ast::N,oks,гишүү
150,Zweig::N,oks,салаа
151,Blatt::N,leht,навч
152,Birke::N,kask,хус
153,Kiefer[Baum]::N,mänd,нарс
154,Weide[Baum]::N,paju,уд
155,Weide[Baum]::N,paju,бургас
156,Tanne::N,nulg,гачуур
157,Horn::N,sarv,эвэр
158,Feder::N,sulg,өд
159,Fell::N,karvkate,арьс
160,Fell::N,karusnahk,арьс
161,Flügel::N,tiib,жигүүр
162,Flügel::N,tiib,далавч
163,Flügel::N,tiivik,жигүүр
164,Flügel::N,tiivik,далавч
165,Klaue::N,küüs,савар
166,Klaue::N,küüs,хумс
167,Kralle::N,küünis,савар
168,Schwanz::N,saba,сүүл
169,Ei::N,muna,өндөг
170,Nest::N,pesa,үүр
171,Bau::N,urg,нүх
172,Bau::N,urg,элүү
173,Tier::N,loom,амьтан
174,Tier::N,loom,адгуус
175,Herde::N,kari,сүрэг
176,Kuh::N,lehm,үнээ
177,Bulle::N,pull,бух
178,Pferd::N,hobune,морь
179,Pferd::N,hobune,адуу
180,Schaf::N,lammas,хонь
181,Schwein::N,siga,гахай
182,Hund::N,koer,нохой
183,Katze::N,kass,муур
184,Katze::N,kass,мигуй
185,Bär::N,karu,баавгай
186,Eichhörnchen::N,orav,хэрэм
187,Elch::N,põder,хандгай
188,Fuchs::N,rebane,үнэг
189,Hase::N,jänes,туулай
190,Maus::N,hiir,хулгана
191,Wolf::N,hunt,чоно
192,Vogel::N,lind,шувуу
193,Schwarm::N,parv,сүрэг
194,Huhn::N,kana,тахиа
195,Hahn::N,kukk,эр тахиа
196,Gans::N,hani,галуу
197,Adler::N,kotkas,бүргэд
198,Ente::N,part,нугас
199,Eule::N,kakk,ууль
200,Eule::N,öökull,ууль
201,Kranich::N,kurg,тогоруу
202,Krähe::N,vares,хэрээ
203,Kuckuck::N,kägu,хөхөө
204,Schwan::N,luik,хун
205,Fisch::N,kala,загас
206,Barsch::N,ahven,алгана
207,Hecht::N,haug,цурхай
208,Schlange[Tier]::N,uss,могой
209,Wurm::N,uss,өт
210,Wurm::N,uss,хорхой
211,Wurm::N,vagel,өт
212,Wurm::N,vagel,хорхой
213,Spinne::N,ämblik,аалз
214,Ameise::N,sipelgas,шоргоолж
215,Laus::N,täi,бөөс
216,Mücke::N,sääsk,шумуул
217,Fliege::N,kärbes,ялаа
218,Schmetterling::N,liblikas,эрвээхэй
219,Beere::N,mari,жимсгэнэ
220,Apfel::N,õun,алим
221,Pilz::N,seen,мөөг
222,Zwiebel::N,sibul,сонгино
223,Saat::N,seeme,тариа
224,Korn::N,iva,үр
225,Korn::N,iva,мөхлөг
226,Korn::N,tera,үр
227,Korn::N,tera,мөхлөг
228,Heu::N,hein,өвс
229,Schale::N,koor,хальс
230,Grube::N,kaevand,алам
231,Grube::N,kaevand,нүх
232,Falle::N,lõks,хавх
233,Falle::N,lõks,занга
234,Falle::N,püünis,хавх
235,Falle::N,püünis,занга
236,Schlinge::N,aas,урхи
237,Spur::N,jälg,мөр
238,Asche::N,tuhk,үнс
239,Dreck::N,saast,хир
240,Dreck::N,mustus,хир
241,Eisen::N,raud,төмөр
242,Gold::N,kuld,алт
243,Silber::N,hõbe,мөнгө
244,Kohle::N,süsi,нүүрс
245,Glas::N,klaas,шил
246,Lehm::N,savi,шавар
247,Sand::N,liiv,элс
248,Mensch::N,inimene,хүн
249,Mann::N,mees,эр
250,Mann::N,mees,эрэгтэй
251,Frau::N,naine,эмэгтэй
252,Frau::N,naine,хатагтай
253,Kind::N,laps,хүүхэд
254,Junge::N,poiss,хүү
255,Mädchen::N,tüdruk,охин
256,Mädchen::N,tüdruk,бүсгүй
257,Familie::N,perekond,айл
258,Großvater::N,vanaisa,өвгөн аав
259,Großmutter::N,vanaema,эмэг эх
260,Großmutter::N,vanaema,эмгээ
261,Eltern::N,vanemad,эцэг эх
262,Vater::N,isa,аав
263,Vater::N,isa,эцэг
264,Mutter::N,ema,эх
265,Mutter::N,ema,ээж
266,Sohn::N,poeg,хүү
267,Tochter::N,tütar,охин
268,Bruder::N,vend,ах
269,Bruder::N,vend,дүү
270,Schwester::N,õde,эгч
271,Schwester::N,õde,охин дүү
272,Onkel::N,onu,авга ах
273,Onkel::N,onu,нагац ах
274,Tante::N,tädi,авга эгч
275,Tante::N,tädi,нагац эгч
276,Ehemann::N,mees,нөхөр
277,Ehemann::N,abikaasa,нөхөр
278,Ehefrau::N,naine,эхнэр
279,Ehefrau::N,naine,гэргий
280,Ehefrau::N,abikaasa,эхнэр
281,Ehefrau::N,abikaasa,гэргий
282,Freude::N,rõõm,баяр
283,Freude::N,rõõm,баясгалан
284,Gelächter::N,naer,инээдэм
285,Glück::N,õnn,жаргалан
286,Kummer::N,mure,гаслан
287,Kummer::N,kurbus,гаслан
288,Wunsch::N,soov,ерөөл
289,Lust::N,himu,дур
290,Lust::N,himu,хүсэл
291,Geist::N,vaim,оюун
292,Gedanke::N,mõte,сэтгэл
293,Gedächtnis::N,mälu,ой
294,Gedächtnis::N,mälu,цээж
295,Verstand::N,aru,ухаан
296,Verstand::N,mõistus,ухаан
297,Sinn::N,tähendus,утга
298,Grund::N,põhjus,учир
299,Wahrheit::N,tõde,үнэн
300,Gespräch::N,kõne,яриа
301,Gespräch::N,vestlus,яриа
302,Märchen::N,muinasjutt,явган үлгэр
303,Erzählung::N,jutustus,тууж
304,Nachricht::N,teade,мэдээ
305,Neuigkeit::N,uudis,сонин
306,Name::N,nimi,нэр
307,Rätsel::N,mõistatus,оньсого
308,Rede::N,kõne,хэлсэн үг
309,Sprache::N,keel,хэл
310,Stimme::N,hääl,дуу
311,Wort::N,sõna,үг
312,Zeichen::N,märk,тамга
313,Zeichen::N,märk,тэмдэг
314,Ruf::N,hüüe,дуудлага
315,Lärm::N,müra,шуугиан
316,Lärm::N,müra,чимээ
317,Laut::N,hääl,анир
318,Laut::N,hääl,дуу
319,Ton::N,toon,авиа
320,Ton::N,toon,аялгуу
321,Lied::N,laul,дуу
322,Ruhe::N,rahu,энх
323,Ruhe::N,rahu,тайван
324,Ruhe::N,vaikus,энх
325,Ruhe::N,vaikus,тайван
326,Leute::N,inimesed,хүмүүс
327,Volk::N,rahvas,улс
328,Arbeit::N,töö,ажил
329,Arbeit::N,töö,хөдөлмөр
330,Gast::N,külaline,зочин
331,Gast::N,külaline,айлчин
332,Geschenk::N,kingitus,бэлэг
333,Spiel::N,mäng,наадам
334,Spiel::N,mäng,тоглоом
335,Gesellschaft::N,selts,хамт байх
336,Hilfe::N,abi,тусламж
337,Freund::N,sõber,найз
338,Freund::N,sõber,нөхөр
339,Kamerad::N,sõber,хань
340,Kamerad::N,sõber,нөхөр
341,Angelegenheit::N,asi,хэрэг
342,Anzahl::N,arv,тоо
343,Anzahl::N,hulk,тоо
344,Art::N,liik,төрөл
345,Art::N,liik,янз
346,Stück::N,tükk,хэсэг
347,Teil::N,osa,хувь
348,Teil::N,osa,хэсэг
349,Hälfte::N,pool,хагас
350,Kreis::N,ring,тойрог
351,Kreis::N,ring,хүрээ
352,Kreuz::N,rist,загалмай
353,Linie::N,joon,шугам
354,Strich::N,joon,зураас
355,Abstand::N,vahe,зай
356,Entfernung::N,kaugus,зай
357,Entfernung::N,kaugus,хол ойр
358,Entfernung::N,vahemaa,зай
359,Entfernung::N,vahemaa,хол ойр
360,Gegend::N,ümbrus,хавь
361,Gegend::N,ümbrus,газар
362,Platz::N,ruum,зай
363,Platz::N,ruum,завсар
364,Ort::N,paik,газар
365,Ort::N,paik,байр
366,Seite::N,pool,тал
367,Seite::N,pool,этгээд
368,Mitte::N,keskpaik,төв
369,Mitte::N,keskpaik,дунд
370,Gegenstand::N,ese,юм
371,Sache::N,ese,үйл
372,Sache::N,ese,хэрэг
373,Rand::N,äär,зах
374,Rand::N,äär,хөвөө
375,Rand::N,serv,зах
376,Rand::N,serv,хөвөө
377,Kante::N,kant,ирмэг
378,Ecke::N,nurk,өнцөг
379,Spitze::N,teravik,үзүүр
380,Ende::N,ots,зах
381,Ende::N,ots,үзүүр
382,Ende::N,jupp,зах
383,Ende::N,jupp,үзүүр
384,Loch::N,auk,цоорхой
385,Loch::N,auk,онгорхой
386,Winkel::N,nurk,өнцөг
387,Muster::N,muster,хээ
388,Muster::N,muster,угалз
389,Größe::N,suurus,хэмжээ
390,Länge::N,pikkus,урт
391,Höhe::N,kõrgus,өндөр
392,Gewicht::N,kaal,жин
393,Gewicht::N,raskus,жин
394,Menge::N,arv,тоо
395,Menge::N,hulk,тоо
396,Haufen::N,hunnik,бөөн
397,Reihe::N,rivi,эгнээ
398,Boot::N,paat,завь
399,Ruder::N,aer,сэлүүр
400,Schlitten::N,saan,чарга
401,Ski::N,suusk,цана
402,Lagerfeuer::N,lõke,түүдэг
403,Last::N,koorem,ачаа
404,Gang::N,käik,явдал
405,Schritt::N,samm,алхам
406,Norden::N,põhi,умар
407,Süden::N,lõuna,урд
408,Süden::N,lõuna,өмнө
409,Westen::N,lääs,өрнө
410,Westen::N,lääs,баруун
411,Osten::N,ida,зүүн
412,Osten::N,ida,дорно
413,Holz::N,puu,мод
414,Brett::N,saelaud,банз
415,Platte::N,plaat,хавтан
416,Stütze::N,tugi,тулгуур
417,Stütze::N,tugi,тулга
418,Stange::N,latt,сургааг
419,Stange::N,teivas,сургааг
420,Stock::N,kepp,саваа
421,Stab::N,varras,таяг
422,Rohr::N,toru,хоолой
423,Haus::N,maja,гэр
424,Haus::N,maja,байшин
425,Heim::N,kodu,гэр
426,Ofen::N,ahi,зуух
427,Ofen::N,ahi,пийшин
428,Fußboden::N,põrand,шал
429,Tisch::N,laud,ширээ
430,Stuhl::N,tool,сандал
431,Wiege::N,häll,өлгий
432,Wiege::N,kätki,өлгий
433,Bett::N,voodi,ор
434,Regal::N,riiul,тавиур
435,Kiste::N,kast,авдар
436,Kiste::N,kast,хайрцаг
437,Fenster::N,aken,гэгээвч
438,Tür::N,uks,үүд
439,Tür::N,uks,хаалга
440,Tor::N,värav,хаалга
441,Zaun::N,aed,хашаа
442,Zaun::N,tara,хашаа
443,Dach::N,katus,дээвэр
444,Leiter::N,redel,шат
445,Besen::N,luud,хамуур
446,Besen::N,luud,туужуу
447,Spaten::N,labidas,хүрз
448,Schaufel::N,kühvel,хүрз
449,Gabel::N,kahvel,сэрээ
450,Löffel::N,lusikas,халбага
451,Messer::N,nuga,хутга
452,Nagel::N,nael,хадаас
453,Netz::N,võrk,өөш
454,Netz::N,võrk,тор
455,Haken::N,haak,гох
456,Haken::N,konks,гох
457,Griff::N,sang,иш
458,Griff::N,sang,сэнж
459,Griff::N,käepide,иш
460,Griff::N,käepide,сэнж
461,Schloss::N,lukk,цуурга
462,Schloss::N,lukk,цоож
463,Bild::N,pilt,зураг
464,Figur::N,kuju,баримал
465,Figur::N,kujund,баримал
466,Puppe::N,nukk,хүүхэлдэй
467,Beutel::N,paun,агсаа
468,Beutel::N,paun,уут
469,Bündel::N,kimp,боодол
470,Tasche::N,kott,цүнх
471,Eimer::N,pang,хөнөг
472,Eimer::N,pang,хувин
473,Eimer::N,ämber,хөнөг
474,Eimer::N,ämber,хувин
475,Deckel::N,kaas,таг
476,Deckel::N,kaas,хавхаг
477,Geschirr::N,nõud,сав суулга
478,Sack::N,kott,шуудай
479,Tasse::N,tass,аяга
480,Topf::N,pada,тогоо
481,Kessel::N,pada,тогоо
482,Essen::N,söök,идээ
483,Nahrung::N,toit,хүнс
484,Speise::N,roog,идээ
485,Fleisch::N,liha,мах
486,Getreide::N,teravili,будаа
487,Brei::N,puder,богшмол
488,Brei::N,puder,будаа
489,Brot::N,sai,талх
490,Brot::N,leib,талх
491,Scheibe::N,viil,зүсэм
492,Scheibe::N,viil,хэрчим
493,Scheibe::N,viilukas,зүсэм
494,Scheibe::N,viilukas,хэрчим
495,Fett::N,rasv,өөх
496,Butter::N,või,тос
497,Öl::N,õli,тос
498,Salz::N,sool,давс
499,Suppe::N,supp,шөл
500,Honig::N,mesi,бал
501,Milch::N,piim,сүү
502,Tee::N,tee,цай
503,Leder::N,nahk,арьс
504,Leder::N,nahk,савхи
505,Wolle::N,vill,ноос
506,Wolle::N,vill,унгас
507,Stoff::N,kangas,бөс
508,Nadel::N,nõel,зүү
509,Faden::N,niit,боолт
510,Faden::N,niit,утас
511,Knopf::N,nööp,товч
512,Knoten::N,sõlm,зангилаа
513,Farbe::N,värv,будаг
514,Kleidung::N,riided,хувцас
515,Kleidung::N,riietus,хувцас
516,Hemd::N,särk,цамц
517,Kragen::N,krae,зах заам
518,Ärmel::N,varrukas,ханцуй
519,Hose::N,püksid,өмд
520,Gürtel::N,vöö,бүс
521,Mütze::N,müts,малгай
522,Mütze::N,müts,бүрх
523,Schuh::N,king,туфли
524,Stiefel::N,saabas,гутал
525,Ring::N,sõrmus,бөгж
526,Band::N,lint,тууз
527,Kamm::N,kamm,сам
528,Spiegel::N,peegel,толь
529,Riemen::N,rihm,тасам
530,Riemen::N,rihm,сур
531,Schnur::N,nöör,татлага
532,Leine::N,jalutusrihm,оосор
533,Decke::N,tekk,хөнжил
534,Decke::N,tekk,хучлага
535,Kissen::N,padi,дэр
536,Tuch::N,kalev,алчуур
537,Tuch::N,kalev,даавуу
538,Handtuch::N,käterätik,алчуур
539,Kraft::N,jõud,чадал
540,Kraft::N,jõud,хүч
541,Stärke::N,tugevus,эрч
542,Stärke::N,tugevus,тэнхээ
543,Gesundheit::N,tervis,бие
544,Gesundheit::N,tervis,эрүүл мэнд
545,Krankheit::N,haigus,эмгэг
546,Schmerz::N,valu,өвчин
547,Wunde::N,haav,шарх
548,Fieber::N,palavik,халуун
549,Arznei::N,ravim,эм
550,Brücke::N,sild,гүүр
551,Brunnen::N,kaev,худаг
552,Weide::N,karjamaa,бэлчээр
553,Pfad::N,rada,жим
554,Pfad::N,rada,зөрөг
555,Weg::N,tee,зам
556,Weg::N,tee,харгуй
557,Straße::N,tee,зам
558,Straße::N,tee,харгуй
559,Dorf::N,küla,тосгон
560,Dorf::N,küla,гацаа
561,Stadt::N,linn,хот
562,Brief::N,kiri,захидал
563,Brief::N,kiri,захиа
564,Buch::N,raamat,ном
565,Buch::N,raamat,бичиг
566,Buchstabe::N,täht,үсэг
567,Zeitung::N,ajaleht,сонин
568,Leben::N,elu,амь
569,Leben::N,elu,амьдрал
570,Tod::N,surm,үхэл
571,Grab::N,haud,булш
572,Kirche::N,kirik,сүм
573,Sünde::N,patt,нүгэл
574,Sünde::N,patt,хилэнц
575,Gott::N,jumal,бурхан
576,Arbeiter::N,tööline,ажилчин
577,Arbeiter::N,tööline,хөдөлмөрчин
578,Chef::N,ülemus,дарга
579,Chef::N,juhataja,дарга
580,Meister::N,meister,дархан
581,Arzt::N,arst,эмч
582,Lehrer::N,õpetaja,багш
583,Geld::N,raha,цаас
584,Geld::N,raha,мөнгө
585,Geschäft::N,äri,наймаа
586,Laden::N,pood,дэлгүүр
587,Laden::N,kauplus,дэлгүүр
588,Preis::N,hind,үнэ
589,Ware::N,kaup,таваар
590,Ware::N,kaup,бараа
591,Nutzen::N,tulu,ашиг
592,Nutzen::N,kasulikkus,ашиг
593,Reichtum::N,rikkus,баялаг
594,Welt::N,maailm,дэлхий
595,Welt::N,maailm,орчлон
596,Land::N,maa,улс
597,Land::N,maa,орон
598,Staat::N,riik,төр
599,Staat::N,riik,гүрэн
600,König::N,kuningas,ван
601,Macht::N,võim,засаг
602,Grenze::N,piir,хил
603,Krieg::N,sõda,дайн
604,Feind::N,vaenlane,дайсан
605,Gewalt::N,väevõim,хүчирхэх
606,Kampf::N,võitlus,тэмцэл
607,Kampf::N,võitlus,байлдаан
608,Bogen[Waffe]::N,vibu,нум
609,Pfeil::N,nool,годил
610,Pfeil::N,nool,сум
611,Gewehr::N,püss,буу
612,Fehler::N,viga,эндэл
613,Fehler::N,viga,алдаа
614,Lüge::N,vale,худал
615,Schaden::N,kahju,хор
616,Schaden::N,kahju,хөнөөл
617,Unglück::N,häda,гай
618,Unglück::N,häda,гамшиг
619,Unglück::N,õnnetus,гай
620,Unglück::N,õnnetus,гамшиг
621,Schuld::N,süü,гэм
622,Schuld::N,süü,буруу
623,Alter::N,iga,нас
624,Schluss::N,lõpp,эцэс
625,Schluss::N,lõpp,төгсгөл
626,Zeit::N,aeg,цаг
627,Tag::N,päev,өдөр
628,Morgen::N,hommik,өглөө
629,Mittag::N,lõuna,үд
630,Mittag::N,keskpäev,үд
631,Abend::N,õhtu,үдэш
632,Nacht::N,öö,шөнө
633,Woche::N,nädal,долоо хоног
634,Monat::N,kuu,сар
635,Jahr::N,aasta,жил
636,Frühling::N,kevad,хавар
637,Sommer::N,suvi,зун
638,Herbst::N,sügis,намар
639,Winter::N,talv,өвөл
640,Januar::N,jaanuar,нэгдүгээр сар
641,Februar::N,veebruar,хоёрдугаар сар
642,März::N,märts,гуравдугаар сар
643,April::N,aprill,дөрөвдүгээр сар
644,Mai::N,mai,тавдугаар сар
645,Juni::N,juuni,зургаадугаар сар
646,Juli::N,juuli,долдугаар сар
647,August::N,august,наймдугаар сар
648,September::N,september,есдүгээр сар
649,Oktober::N,oktoober,аравдугаар сар
650,November::N,november,арван нэгдүгээр сар
651,Dezember::N,detsember,арван хоёрдугаар сар
652,Montag::N,esmaspäev,даваа
653,Dienstag::N,teisipäev,мягмар
654,Mittwoch::N,kesknädal,лхагва
655,Donnerstag::N,neljapäev,пүрэв
656,Freitag::N,reede,баасан
657,Samstag::N,laupäev,бямба
658,Sonntag::N,pühapäev,ням
659,groß::A,suur,их
660,groß::A,suur,том
661,klein::A,väike,бага
662,klein::A,väike,жаахан
663,klein::A,pisike,бага
664,klein::A,pisike,жаахан
665,lang::A,pikk,урт
666,kurz::A,lühike,охор
667,kurz::A,lühike,богино
668,breit::A,lai,өргөн
669,schmal::A,kitsas,уйтан
670,schmal::A,kitsas,нарийн
671,dicht::A,tihe,нягт
672,dicht::A,tihe,чигжүү
673,dick[Gegenstand]::A,jäme,зузаан
674,dünn::A,õhuke,нимгэн
675,dünn::A,peenike,нимгэн
676,fein::A,peen,нарийн
677,fein::A,õhuke,нарийн
678,fest::A,püsiv,бөх
679,fest::A,püsiv,хатуу
680,fest::A,kindel,бөх
681,fest::A,kindel,хатуу
682,flach::A,lame,хавтгай
683,flach::A,tasane,хавтгай
684,glatt::A,sile,цагаан
685,hart::A,kõva,хатуу
686,weich::A,pehme,зөөлөн
687,rund::A,ümar,дугуй
688,rund::A,ümar,дугариг
689,spitz::A,torkav,шовх
690,spitz::A,torkav,шовгор
691,scharf::A,terav,хурц
692,scharf::A,terav,иртэй
693,stumpf::A,nüri,мохоо
694,schwer::A,raske,хүнд
695,schön::A,kena,гуа
696,schön::A,kena,сайхан
697,heiß::A,kuum,халуун
698,heiß::A,palav,халуун
699,warm::A,soe,дулаан
700,kalt::A,külm,хүйтэн
701,kühl::A,jahe,сэрүүн
702,frisch::A,värske,эрүүл
703,frisch::A,värske,жихүүн
704,feucht::A,niiske,чийгтэй
705,nass::A,märg,нойтон
706,trocken::A,kuiv,хатсан
707,voll::A,täis,дүүрэн
708,leer::A,tühi,хоосон
709,offen::A,avatud,онгорхой
710,offen::A,lahtine,онгорхой
711,geschlossen::A,suletud,битүү
712,geschlossen::A,suletud,хаалтай
713,sauber::A,puhas,цэвэр
714,sauber::A,puhas,хиргүй
715,schmutzig::A,räpane,бохир
716,schmutzig::A,räpane,хиртэй
717,schmutzig::A,määrdunud,бохир
718,schmutzig::A,määrdunud,хиртэй
719,roh::A,toores,түүхий
720,reif::A,küps,болсон
721,lecker::A,hõrk,амттай
722,lecker::A,maitsev,амттай
723,süß::A,magus,амттай
724,süß::A,magus,чихэрлэг
725,bitter::A,mõru,гашуун
726,sauer::A,hapu,эсгэлэн
727,hell::A,hele,гэгээн
728,hell::A,hele,гэрэлтэй
729,dunkel::A,pime,бараан
730,dunkel::A,pime,харанхуй
731,schwarz::A,must,хар
732,weiß::A,valge,цагаан
733,rot::A,punane,улаан
734,gelb::A,kollane,шар
735,blau::A,sinine,хөх
736,blau::A,sinine,цэнхэр
737,grün::A,roheline,ногоон
738,grau::A,hall,орог
739,grau::A,hall,саарал
740,bunt::A,kirju,эрээн
741,bunt::A,värviline,эрээн
742,billig::A,odav,хямд
743,teuer::A,kallis,үнэтэй
744,wertvoll::A,väärtuslik,үнэт
745,blind::A,pime,сохор
746,taub::A,kurt,чих хатуу
747,kräftig::A,jõuline,чийрэг
748,stark::A,tugev,хүчтэй
749,stark::A,tugev,чадалтай
750,schwach::A,nõrk,сул
751,schwach::A,jõuetu,сул
752,fett::A,rasvane,тарган
753,fett::A,rasvane,голигор
754,schlank::A,sale,голшиг
755,hübsch::A,kena,сайхан
756,hübsch::A,kena,хөөрхөн
757,böse::A,tige,муу
758,böse::A,tige,хортой
759,dumm::A,juhm,тэнэг
760,dumm::A,rumal,тэнэг
761,faul::A,laisk,залхуу
762,fleißig::A,virk,чармайлтгай
763,fleißig::A,hoolas,чармайлтгай
764,geizig::A,ihne,харамч
765,klug::A,tark,цэцэн
766,klug::A,arukas,цэцэн
767,klug::A,mõistlik,цэцэн
768,geschickt::A,osav,дүйтэй
769,lieb::A,armas,хайрт
770,lustig::A,lõbus,цэнгэлтэй
771,sanft::A,õrn,наалинхай
772,hungrig::A,näljane,өлөн
773,hungrig::A,näljane,өлссөн
774,krank::A,haige,өвчтэй
775,nackt::A,alasti,нүцгэн
776,traurig::A,kurb,гунигт
777,lebendig::A,elus,амьд
778,lebendig::A,elus,амьтай
779,gut::A,hea,сайн
780,schlecht::A,halb,муу
781,schlecht::A,halb,өөдгүй
782,richtig::A,õige,зөв
783,richtig::A,õige,зүйтэй
784,schlimm::A,paha,муухай
785,wahr::A,tõene,үнэн
786,wahr::A,tõene,жинхэнэ
787,alt::A,vana,хуучин
788,neu::A,uus,шинэ
789,ehemalig::A,endine,агсан
790,ehemalig::A,endine,байсан
791,alt[Lebewesen]::A,vana,өвгөн
792,alt[Lebewesen]::A,vana,хижээл
793,jung::A,noor,залуу
794,arm::A,vaene,ядуу
795,reich::A,rikas,баян
796,reich::A,rikas,баялаг
797,bekannt::A,teada,танил
798,bekannt::A,tuttav,танил
799,berühmt::A,tuntud,цуутай
800,berühmt::A,tuntud,алдартай
801,fremd::A,võõras,харь
802,fremd::A,võõras,гадаад
803,verschieden::A,erinev,ондоо
804,verschieden::A,erinev,янз янзын
805,nah::A,lähedane,ойрын
806,nah::A,lähedane,дөтийн
807,fern::A,kauge,холын
808,linker::A,vasak,буруу
809,rechter::A,parem,баруун
