,Concept_ID,no,ar
190,Schlange[Tier]::N,slange,حية
191,Schlange[Tier]::N,slange,ثعبان
192,Wurm::N,orm,دودة
193,Wurm::N,mark,دودة
194,Spinne::N,edderkopp,عنكبوت
195,Ameise::N,maur,نملة
196,Laus::N,lus,قملة
197,Mücke::N,mygg,ناموسة
198,Fliege::N,flue,ذبابة
199,Schmetterling::N,sommerfugl,فراشة
200,Beere::N,bær,حبة
201,Apfel::N,eple,تفاح
202,Pilz::N,sopp,فطر
203,Zwiebel::N,løk,بصل
204,Saat::N,sæd,زرع
205,Korn::N,korn,حبة
206,Heu::N,høy,دريس
207,Schale::N,skall,قشرة
208,Grube::N,grop,نقرة
209,Falle::N,felle,فخ
210,Falle::N,felle,مصيدة
211,Schlinge::N,snare,عروة
212,Spur::N,spor,أثر
213,Asche::N,aske,رماد
214,Dreck::N,møkk,قذر
215,Dreck::N,skitt,قذر
216,Eisen::N,jern,حديد
217,Gold::N,gull,ذهب
218,Silber::N,sølv,فضة
219,Kohle::N,kol,فحم
220,Kohle::N,kull,فحم
221,Glas::N,glass,زجاج
222,Lehm::N,leire,طين
223,Sand::N,sand,رمل
224,Mensch::N,menneske,إنسان
225,Mann::N,mann,رجل
226,Frau::N,kvinne,امرأة
227,Kind::N,barn,طفل
228,Junge::N,gutt,ولد
229,Mädchen::N,pike,بنت
230,Mädchen::N,jente,بنت
231,Familie::N,familie,عائلة
232,Großvater::N,bestefar,جد
233,Großmutter::N,bestemor,جدة
234,Eltern::N,foreldre,أبوان
235,Eltern::N,foreldre,والدان
236,Vater::N,far,أب
237,Mutter::N,mor,أم
238,Sohn::N,sønn,إبن
239,Tochter::N,datter,بنت
240,Tochter::N,datter,إبنة
241,Bruder::N,bror,أخ
242,Bruder::N,bror,شقيق
243,Schwester::N,søster,أخت
244,Onkel::N,onkel,عم
245,Tante::N,tante,عمة
246,Ehemann::N,ektemann,زوج
247,Ehefrau::N,hustru,زوجة
248,Freude::N,glede,فرح
249,Freude::N,glede,سرور
250,Gelächter::N,latter,قهقهة
251,Glück::N,lykke,سعادة
252,Kummer::N,sorg,غم
253,Wunsch::N,ønske,منية
254,Lust::N,lyst,شهوة
255,Geist::N,ånd,روح
256,Gedanke::N,tanke,فكرة
257,Gedächtnis::N,minne,ذاكرة
258,Gedächtnis::N,hukommelse,ذاكرة
259,Verstand::N,forstand,عقل
260,Sinn::N,mening,معنى
261,Sinn::N,betydning,معنى
262,Grund::N,grunn,سبب
263,Wahrheit::N,sannhet,حقيقة
264,Gespräch::N,samtale,محادثة
265,Märchen::N,eventyr,خرافة
266,Erzählung::N,fortelling,قصة
267,Erzählung::N,fortelling,حكاية
268,Nachricht::N,melding,خبر
269,Neuigkeit::N,nyhet,خبر جديد
270,Name::N,navn,اسم
271,Rätsel::N,gåte,لغز
272,Rede::N,tale,خطبة
273,Sprache::N,språk,لغة
274,Stimme::N,stemme,صوت
275,Wort::N,ord,كلمة
276,Zeichen::N,tegn,رمز
277,Zeichen::N,tegn,إشارة
278,Ruf::N,rop,نداء
279,Lärm::N,bråk,صخب
280,Lärm::N,bråk,ضجة
281,Laut::N,lyd,صوت
282,Ton::N,tone,نغمة
283,Lied::N,vise,أغنية
284,Ruhe::N,ro,هدوء
285,Leute::N,folk,ناس
286,Volk::N,folk,شعب
287,Arbeit::N,arbeid,عمل
288,Gast::N,gjest,ضيف
289,Geschenk::N,gave,هدية
290,Spiel::N,lek,لعب
291,Spiel::N,spill,لعب
292,Gesellschaft::N,selskap,صحبة
293,Hilfe::N,hjelp,عون
294,Hilfe::N,hjelp,مساعدة
295,Freund::N,venn,صديق
296,Kamerad::N,kamerat,زميل
297,Angelegenheit::N,sak,أمر
298,Angelegenheit::N,sak,شأن
299,Angelegenheit::N,anliggende,أمر
300,Angelegenheit::N,anliggende,شأن
301,Anzahl::N,antall,عدد
302,Art::N,art,نوع
303,Art::N,slag,نوع
304,Stück::N,stykke,قطعة
305,Teil::N,del,قسم
306,Hälfte::N,halvdel,نصف
307,Kreis::N,ring,دائرة
308,Kreis::N,sirkel,دائرة
309,Kreuz::N,kors,صليب
310,Kreuz::N,kryss,صليب
311,Linie::N,linje,خط
312,Strich::N,strek,شرطة
313,Abstand::N,avstand,مسافة
314,Entfernung::N,avstand,بعد
315,Gegend::N,strøk,ناحية
316,Platz::N,plass,فراغ
317,Ort::N,sted,مكان
318,Seite::N,side,جانب
319,Mitte::N,midte,وسط
320,Gegenstand::N,gjenstand,موضوع
321,Sache::N,sak,شيء
322,Rand::N,rand,حافة
323,Kante::N,kant,حافة
324,Ecke::N,hjørne,ركن
325,Spitze::N,spiss,سن
326,Ende::N,ende,طرف
327,Loch::N,hull,ثقب
328,Winkel::N,vinkel,زاوية
329,Muster::N,mønster,عينة
330,Größe::N,størrelse,حجم
331,Länge::N,lengde,طول
332,Höhe::N,høyde,علو
333,Höhe::N,høyde,ارتفاع
334,Gewicht::N,vekt,وزن
335,Menge::N,mengde,كمية
336,Haufen::N,haug,كوم
337,Haufen::N,bunke,كوم
338,Reihe::N,rekke,صف
339,Boot::N,båt,قارب
340,Boot::N,båt,زورق
341,Ruder::N,åre,مجذاف
342,Schlitten::N,slede,مزلقة
343,Schlitten::N,kjelke,مزلقة
344,Ski::N,ski,زلاجة
345,Lagerfeuer::N,leirbål,نار المخيم
346,Last::N,bør,حمل
347,Last::N,last,حمل
348,Gang::N,gang,مشية
349,Schritt::N,steg,خطوة
350,Schritt::N,skritt,خطوة
351,Norden::N,nord,شمال
352,Süden::N,sør,جنوب
353,Westen::N,vest,غرب
354,Osten::N,øst,شرق
355,Holz::N,tre,خشب
356,Brett::N,fjøl,لوح
357,Brett::N,brett,لوح
358,Platte::N,plate,صفيحة
359,Stütze::N,støtte,سند
360,Stütze::N,støtte,دعامة
361,Stange::N,stang,عود
362,Stock::N,pinne,عصا
363,Stab::N,stav,قضيب
364,Stab::N,kjepp,قضيب
365,Rohr::N,rør,أنبوبة
366,Haus::N,hus,دار
367,Haus::N,hus,بيت
368,Heim::N,hjem,بيت
369,Heim::N,hjem,مسكن
370,Ofen::N,ovn,مدفأة
371,Fußboden::N,gulv,أرضية
372,Tisch::N,bord,مائدة
373,Stuhl::N,stol,كرسي
374,Wiege::N,vogge,مهد
375,Bett::N,seng,سرير
376,Regal::N,reol,رف
377,Regal::N,hylle,رف
378,Kiste::N,kasse,صندوق
379,Fenster::N,vindu,شباك
380,Fenster::N,vindu,نافذة
381,Tür::N,dør,باب
382,Tor::N,port,بوابة
383,Zaun::N,gjerde,سياج
384,Dach::N,tak,سطح
385,Leiter::N,stige,سلم
386,Besen::N,kost,مكنسة
387,Spaten::N,spade,مسحاة
388,Schaufel::N,skuffe,مجرفة
389,Gabel::N,gaffel,شوكة
390,Löffel::N,skje,ملعقة
391,Messer::N,kniv,سكين
392,Nagel::N,spiker,مسمار
393,Netz::N,nett,شبكة
394,Haken::N,krok,خطاف
395,Haken::N,krok,صنارة
396,Griff::N,tak,قبضة
397,Griff::N,håndtak,قبضة
398,Schloss::N,lås,قفل
399,Bild::N,bilde,صورة
400,Figur::N,figur,تمثال
401,Puppe::N,dukke,دمية
402,Beutel::N,pose,كيس
403,Bündel::N,bylt,ربطة
404,Tasche::N,veske,شنطة
405,Tasche::N,veske,محفظة
406,Eimer::N,bøtte,سطل
407,Eimer::N,bøtte,جردل
408,Deckel::N,lokk,سداد
409,Geschirr::N,kjøkkentøy,أوان
410,Sack::N,sekk,زكيبة
411,Tasse::N,kopp,فنجان
412,Topf::N,gryte,قدر
413,Topf::N,gryte,طنجرة
414,Kessel::N,kjele,قدر
415,Kessel::N,kjele,غلاية
416,Essen::N,mål,طعام
417,Nahrung::N,mat,غذاء
418,Nahrung::N,næring,غذاء
419,Speise::N,matrett,أكل
420,Fleisch::N,kjøtt,لحم
421,Getreide::N,korn,حبوب
422,Brei::N,grøt,عصيدة
423,Brot::N,brød,خبز
424,Scheibe::N,skive,شريحة
425,Fett::N,fett,سمن
426,Butter::N,smør,زبدة
427,Öl::N,olje,زيت
428,Salz::N,salt,ملح
429,Suppe::N,suppe,حساء
430,Suppe::N,suppe,شربة
431,Honig::N,honning,عسل
432,Milch::N,melk,حليب
433,Tee::N,te,شاي
434,Leder::N,lær,جلد
435,Leder::N,skinn,جلد
436,Wolle::N,ull,صوف
437,Stoff::N,tøy,قماش
438,Stoff::N,stoff,قماش
439,Nadel::N,nål,إبرة
440,Faden::N,tråd,خيط
441,Knopf::N,knapp,زر
442,Knoten::N,knute,عقدة
443,Farbe::N,farge,صبغة
444,Kleidung::N,påkledning,ملابس
445,Hemd::N,skjorte,قميص
446,Kragen::N,krage,ياقة
447,Ärmel::N,erme,كم
448,Hose::N,bukse,سروال
449,Hose::N,bukse,بنطلون
450,Gürtel::N,belte,حزام
451,Mütze::N,lue,طاقية
452,Schuh::N,sko,حذاء
453,Stiefel::N,støvel,جزمة
454,Stiefel::N,støvel,حذاء طويل
455,Ring::N,ring,حلقة
456,Band::N,band,شريط
457,Kamm::N,kam,مشط
458,Spiegel::N,speil,مرآة
459,Riemen::N,rem,سير
460,Schnur::N,snor,حبل
461,Schnur::N,snor,دوبارة
462,Leine::N,line,قيد
463,Decke::N,teppe,بطانية
464,Kissen::N,pute,وسادة
465,Tuch::N,tøy,منديل
466,Handtuch::N,håndkle,فوطة
467,Handtuch::N,håndkle,منشفة
468,Kraft::N,kraft,قدرة
469,Stärke::N,styrke,قوة
470,Gesundheit::N,helse,صحة
471,Gesundheit::N,sunnhet,صحة
472,Krankheit::N,syke,مرض
473,Krankheit::N,sykdom,مرض
474,Schmerz::N,smerte,ألم
475,Schmerz::N,smerte,وجع
476,Wunde::N,sår,جرح
477,Fieber::N,feber,حمى
478,Arznei::N,medisin,دواء
479,Arznei::N,legemiddel,دواء
480,Brücke::N,bro,جسر
481,Brunnen::N,brønn,بئر
482,Weide::N,beite,مرعى
483,Pfad::N,sti,درب
484,Weg::N,vei,سكة
485,Straße::N,gate,طريق
486,Dorf::N,landsby,قرية
487,Stadt::N,by,مدينة
488,Brief::N,brev,خطاب
489,Brief::N,brev,مكتوب
490,Buch::N,bok,كتاب
491,Buchstabe::N,bokstav,حرف
492,Zeitung::N,avis,جريدة
493,Leben::N,liv,عيش
494,Leben::N,liv,حياة
495,Tod::N,død,موت
496,Tod::N,død,وفاة
497,Grab::N,grav,قبر
498,Kirche::N,kirke,كنيسة
499,Sünde::N,synd,خطيئة
500,Gott::N,gud,إله
501,Arbeiter::N,arbeider,عامل
502,Chef::N,sjef,رئيس
503,Meister::N,mester,أسطى
504,Arzt::N,lege,طبيب
505,Lehrer::N,lærer,مدرس
506,Geld::N,penger,نقود
507,Geschäft::N,forretning,صفقة
508,Laden::N,butikk,دكان
509,Preis::N,pris,سعر
510,Ware::N,vare,بضاعة
511,Nutzen::N,nytte,فائدة
512,Reichtum::N,rikdom,غنى
513,Reichtum::N,rikdom,ثروة
514,Welt::N,verden,عالم
515,Welt::N,verden,دنيا
516,Land::N,land,بلد
517,Staat::N,stat,دولة
518,König::N,konge,ملك
519,Macht::N,makt,سلطة
520,Grenze::N,grense,حدود
521,Krieg::N,krig,حرب
522,Feind::N,fiende,عدو
523,Gewalt::N,vold,عنف
524,Kampf::N,kamp,قتال
525,Bogen[Waffe]::N,bue,قوس
526,Pfeil::N,pil,سهم
527,Gewehr::N,gevær,بندقية
528,Fehler::N,feil,خطأ
529,Lüge::N,løgn,كذب
530,Schaden::N,skade,تلف
531,Unglück::N,uhell,نحس
532,Schuld::N,skyld,ذنب
533,Alter::N,alder,سن
534,Alter::N,alder,عمر
535,Schluss::N,slutt,ختام
536,Schluss::N,slutt,نهاية
537,Zeit::N,tid,وقت
538,Tag::N,dag,يوم
539,Morgen::N,morgen,صباح
540,Mittag::N,middag,ظهر
541,Abend::N,aften,مساء
542,Nacht::N,natt,ليلة
543,Woche::N,uke,أسبوع
544,Monat::N,måned,شهر
545,Jahr::N,år,عام
546,Jahr::N,år,سنة
547,Frühling::N,vår,ربيع
548,Sommer::N,sommer,صيف
549,Herbst::N,høst,خريف
550,Winter::N,vinter,شتاء
551,Januar::N,januar,يناير
552,Januar::N,januar,كانون الثاني
553,Februar::N,februar,شباط
554,Februar::N,februar,فبراير
555,März::N,mars,آذار
556,März::N,mars,مارس
557,April::N,april,نيسان
558,Mai::N,mai,مايو
559,Juni::N,juni,يونيو
560,Juni::N,juni,حزيران
561,Juli::N,juli,تموز
562,Juli::N,juli,يوليو
563,August::N,august,آب
564,August::N,august,أغسطس
565,September::N,september,أيلول
566,September::N,september,سبتمبر
567,Oktober::N,oktober,أكتوبر
568,Oktober::N,oktober,تشرين الأول
569,November::N,november,نوفمبر
570,November::N,november,تشرين الثاني
571,Dezember::N,desember,ديسمبر
572,Dezember::N,desember,كانون الأول
573,Montag::N,mandag,يوم الاثنين
574,Dienstag::N,tirsdag,يوم الثلاثاء
575,Mittwoch::N,onsdag,يوم الأربعاء
576,Donnerstag::N,torsdag,يوم الخميس
577,Freitag::N,fredag,يوم الجمعة
578,Samstag::N,lørdag,يوم السبت
579,Sonntag::N,søndag,يوم الأحد
580,groß::A,stor,كبير
581,klein::A,liten,صغير
582,lang::A,lang,طويل
583,kurz::A,kort,قصير
584,breit::A,bred,واسع
585,schmal::A,smal,ضيق
586,dicht::A,tett,كث
587,dicht::A,tett,كثيف
588,dick[Gegenstand]::A,tykk,غليظ
589,dünn::A,tynn,رفيع
590,fein::A,fin,رقيق
591,fest::A,fast,متين
592,flach::A,flat,سهل
593,flach::A,flat,منبسط
594,glatt::A,glatt,ناعم
595,hart::A,hard,صلب
596,hart::A,hard,جامد
597,weich::A,myk,لين
598,weich::A,bløt,لين
599,rund::A,rund,مستدير
600,spitz::A,spiss,مدبب
601,scharf::A,kvass,حاد
602,stumpf::A,stubb,ثالم
603,schwer::A,tung,ثقيل
604,schön::A,pen,جميل
605,schön::A,vakker,جميل
606,heiß::A,het,حار
607,heiß::A,het,ساخن
608,warm::A,varm,دافئ
609,kalt::A,kald,بارد
610,kühl::A,kjølig,قر
611,frisch::A,fersk,طازج
612,feucht::A,fuktig,رطب
613,nass::A,våt,مبلول
614,trocken::A,tørr,جاف
615,voll::A,full,ملء
616,leer::A,tom,خال
617,leer::A,tom,فارغ
618,offen::A,åpen,مفتوح
619,geschlossen::A,lukket,مغلق
620,sauber::A,ren,نظيف
621,schmutzig::A,skitten,قذر
622,roh::A,rå,نيء
623,reif::A,moden,ناضج
624,lecker::A,lekker,لذيذ
625,süß::A,søt,حلو
626,bitter::A,besk,مر
627,bitter::A,bitter,مر
628,sauer::A,sur,حامض
629,hell::A,lys,نير
630,dunkel::A,mørk,مظلم
631,schwarz::A,svart,أسود
632,weiß::A,hvit,أبيض
633,rot::A,rød,أحمر
634,gelb::A,gul,أصفر
635,blau::A,blå,أزرق
636,grün::A,grønn,أخضر
637,grau::A,grå,رمادي
638,bunt::A,broket,ملوب
639,billig::A,billig,رخيص
640,teuer::A,dyr,غال
641,wertvoll::A,verdifull,ثمين
642,blind::A,blind,أعمى
643,taub::A,døv,أصم
644,taub::A,døv,أطرش
645,kräftig::A,kraftig,قوي
646,stark::A,sterk,قوي
647,schwach::A,svak,ضعيف
648,fett::A,fet,سمين
649,schlank::A,slank,أهيف
650,hübsch::A,pen,جميل
651,böse::A,slem,رديء
652,dumm::A,dum,أبله
653,dumm::A,dum,أحمق
654,faul::A,lat,كسلان
655,faul::A,doven,كسلان
656,fleißig::A,flittig,مجتهد
657,geizig::A,gjerrig,بخيل
658,klug::A,klok,ذكي
659,klug::A,klok,عاقل
660,geschickt::A,hendig,ماهر
661,geschickt::A,skikket,ماهر
662,lieb::A,kjær,عزيز
663,lieb::A,snill,عزيز
664,lustig::A,morsom,مرح
665,sanft::A,blid,حليم
666,hungrig::A,sulten,جائع
667,krank::A,syk,مريض
668,nackt::A,naken,عار
669,traurig::A,sørgmodig,حزين
670,lebendig::A,levende,حي
671,gut::A,god,جيد
672,schlecht::A,dårlig,سيء
673,richtig::A,riktig,صحيح
674,schlimm::A,slem,خبيث
675,wahr::A,sann,حق
676,alt::A,gammel,قديم
677,neu::A,ny,جديد
678,ehemalig::A,forhenværende,سابق
679,alt[Lebewesen]::A,gammel,مسن
680,jung::A,ung,شاب
681,jung::A,ung,صغير
682,arm::A,fattig,فقير
683,reich::A,rik,غني
684,bekannt::A,kjent,معلوم
685,berühmt::A,berømt,مشهور
686,fremd::A,fremmed,أجنبي
687,verschieden::A,forskjellig,مختلف
688,nah::A,nær,قريب
689,fern::A,fjern,بعيد
690,linker::A,venstre,يسار
691,rechter::A,høyre,يمين
692,anderer::A,annen,آخر
693,erster::A,første,أول
694,zweiter::A,annen,ثان
695,dritter::A,tredje,ثالث
696,letzter::A,sist,أخير
697,allein::ADV,alene,وحده
698,auf einmal::ADV,med ett,بالمرة
699,zusammen::ADV,sammen,معا
700,lange::ADV,lenge,مدة طويلة
701,plötzlich::ADV,plutselig,فجأة
702,sofort::ADV,straks,حالا
703,sofort::ADV,straks,فورا
704,später::ADV,senere,فيما بعد
705,jetzt::ADV,nå,الآن
706,jetzt::ADV,nå,حاليا
707,heute::ADV,i dag,اليوم
708,morgen::ADV,i morgen,غدا
709,bald::ADV,snart,قريبا
710,dann::ADV,så,ثم
711,gestern::ADV,i går,أمس
712,gestern::ADV,i går,البارحة
713,einst::ADV,engang,قديما
714,damals::ADV,den gang,حينئذ
715,danach::ADV,deretter,ثم
716,danach::ADV,deretter,بعد ذلك
717,vorher::ADV,før,من قبل
718,vorher::ADV,før,قبل ذلك
719,vorher::ADV,i forveien,من قبل
720,vorher::ADV,i forveien,قبل ذلك
721,zuerst::ADV,først,أولا
722,einmal::ADV,en gang,مرة
723,manchmal::ADV,somme tider,أحيانا
724,oft::ADV,ofte,كثيرا
725,immer::ADV,alltid,دائما
726,niemals::ADV,aldri,لا أبدا
727,hier::ADV,her,هنا
728,hierhin::ADV,hit,إلى هنا
729,von hier::ADV,herfra,من هنا
730,dort::ADV,der,هناك
731,dorthin::ADV,dit,إلى هناك
732,geradeaus::ADV,rett fram,إلى الأمام
733,vorwärts::ADV,fram,إلى الأمام
734,vorwärts::ADV,framover,إلى الأمام
735,rückwärts::ADV,baklengs,إلى الوراء
736,zurück::ADV,tilbake,عودا
737,zurück::ADV,tilbake,إلى الخلف
738,unten::ADV,nede,تحت
739,unten::ADV,nede,في الأسفل
740,hinab::ADV,ned,إلى تحت
741,hinab::ADV,nedover,إلى تحت
742,oben::ADV,oppe,فوق
743,oben::ADV,oppe,في الأعلى
744,oben::ADV,ovenpå,فوق
745,oben::ADV,ovenpå,في الأعلى
746,hinauf::ADV,opp,إلى فوق
747,hinauf::ADV,opp,إلى الأعلى
748,hinauf::ADV,oppover,إلى فوق
749,hinauf::ADV,oppover,إلى الأعلى
750,überall::ADV,overalt,في كل مكان
751,nicht::ADV,ikke,لا
752,nicht::ADV,ikke,لم
753,ein wenig::ADV,litt,قليلا
754,kaum::ADV,neppe,كاد لا
755,sehr::ADV,svært,جدا
756,sehr::ADV,svært,كثيرا
757,so::ADV,så,كذا
758,so::ADV,så,كذلك
759,noch::ADV,enda,ما زال
760,nur::ADV,bare,فقط
761,schon::ADV,alt,قد
762,schon::ADV,allerede,قد
763,wieder::ADV,igjen,من جديد
764,wieder::ADV,igjen,مرة أخرى
765,vergebens::ADV,forgjeves,عبثا
766,vor::PRP,foran,أمام
767,vor::PRP,utenfor,أمام
768,hinter::PRP,bak,خلف
769,hinter::PRP,bak,وراء
770,hinter::PRP,bakom,خلف
771,hinter::PRP,bakom,وراء
772,unter::PRP,under,تحت
773,durch::PRP,gjennom,عبر
774,durch::PRP,gjennom,خلال
775,durch::PRP,igjennom,عبر
776,durch::PRP,igjennom,خلال
777,neben::PRP,ved siden av,جنب
778,neben::PRP,ved siden av,بجانب
779,zwischen::PRP,mellom,بين
780,wegen::PRP,på grunn av,بسبب
781,dies::PRN,dette,هذا
782,das::PRN,det,ذلك
783,alles::PRN,alt,الكل
784,ich::PRN,jeg,أنا
785,du::PRN,du,أنت
786,er::PRN,han,هو
787,wir::PRN,vi,نحن
788,ihr::PRN,dere,أنتم
789,ihr::PRN,dere,أنتن
790,sie::PRN,de,هم
791,sie::PRN,de,هن
792,was::FPRN,hva,ما
793,wer::FPRN,hvem,من
794,wo::FADV,hvor,أين
795,wohin::FADV,hvor ... hen,إلى أين
796,wie::FADV,hvordan,كيف
797,warum::FADV,hvorfor,لماذا
798,wieviel::FNUM,hvor mye,كم
799,eins::NUM,en,واحد
800,eins::NUM,ett,واحد
801,zwei::NUM,to,اثنين
802,drei::NUM,tre,ثلاثة
803,vier::NUM,fire,أربعة
804,fünf::NUM,fem,خمسة
805,sechs::NUM,seks,ستة
806,sieben::NUM,sju,سبعة
807,acht::NUM,åtte,ثمانية
808,neun::NUM,ni,تسعة
809,zehn::NUM,ti,عشرة
810,elf::NUM,elleve,أحد عشر
811,zwölf::NUM,tolv,اثنا عشر
812,zwanzig::NUM,tjue,عشرون
813,dreißig::NUM,tretti,ثلاثون
814,vierzig::NUM,førti,أربعون
815,fünfzig::NUM,femti,خمسون
816,sechzig::NUM,seksti,ستون
817,siebzig::NUM,sytti,سبعون
818,achtzig::NUM,åtti,ثمانون
819,neunzig::NUM,nitti,تسعون
820,hundert::NUM,hundre,مئة
