,Concept_ID,it,el
127,Berg::N,montagna,βουνό
128,Gipfel::N,cima,κορυφή
129,Höhle::N,grotta,σπηλιά
130,Höhle::N,caverna,σπηλιά
131,Abhang::N,pendìo,πλαγιά
132,Quelle::N,sorgente,πηγή
133,Quelle::N,sorgente,βρύση
134,Bach::N,ruscello,ρυάκι
135,Fluss::N,fiume,ποτάμι
136,Fluss::N,fiume,ποταμός
137,Ufer::N,riva,όχθη
138,Küste::N,costa,ακτή
139,Küste::N,costa,ακρογιαλιά
140,Festland::N,terraferma,στεριά
141,Meer::N,mare,θάλασσα
142,Bucht::N,cala,κόλπος
143,Insel::N,ìsola,νησί
144,Insel::N,ìsola,νήσος
145,Blume::N,fiore,άνθος
146,Blume::N,fiore,λουλούδι
147,Gras::N,erba,χόρτο
148,Gras::N,erba,χορτάρι
149,Wurzel::N,radice,ρίζα
150,Baum::N,àlbero,δέντρο
151,Stamm::N,tronco,κορμός
152,Rinde::N,corteccia,φλούδα
153,Ast::N,ramo,κλαδί
154,Zweig::N,ramo,κλαδί
155,Zweig::N,ramo,κλάδος
156,Blatt::N,foglia,φύλλο
157,Birke::N,betulla,σημύδα
158,Kiefer[Baum]::N,pino,πεύκο
159,Weide[Baum]::N,sàlice,ιτιά
160,Tanne::N,abete,έλατο
161,Horn::N,corno,κέρας
162,Horn::N,corno,κέρατο
163,Feder::N,penna,φτερό
164,Fell::N,manto,δέρμα
165,Fell::N,manto,τομάρι
166,Fell::N,pelame,δέρμα
167,Fell::N,pelame,τομάρι
168,Flügel::N,ala,πτερύγιο
169,Klaue::N,grinfia,κουλό
170,Kralle::N,unghia,νύχι
171,Kralle::N,artiglio,νύχι
172,Schwanz::N,coda,ουρά
173,Ei::N,uovo,αβγό
174,Nest::N,nido,φωλιά
175,Bau::N,covo,φωλιά
176,Tier::N,bestia,ζώο
177,Tier::N,animale,ζώο
178,Herde::N,gregge,κοπάδι
179,Kuh::N,vacca,αγελάδα
180,Bulle::N,toro,ταύρος
181,Pferd::N,cavallo,άλογο
182,Schaf::N,pècora,πρόβατο
183,Schwein::N,porco,γουρούνι
184,Schwein::N,maiale,γουρούνι
185,Hund::N,cane,σκυλί
186,Hund::N,cane,σκύλος
187,Katze::N,gatta,γάτα
188,Bär::N,orso,άρκτος
189,Bär::N,orso,αρκούδα
190,Eichhörnchen::N,scoiàttolo,βερβερίτσα
191,Elch::N,alce,άλκη
192,Fuchs::N,volpe,αλεπού
193,Hase::N,lepre,λαγός
194,Maus::N,topo,ποντικός
195,Maus::N,sorcio,ποντικός
196,Wolf::N,lupo,λύκος
197,Vogel::N,uccello,πουλί
198,Schwarm::N,stormo,σμήνος
199,Huhn::N,gallina,κότα
200,Huhn::N,gallina,όρνιθα
201,Hahn::N,gallo,πετεινός
202,Gans::N,oca,χήνα
203,Adler::N,àquila,αετός
204,Ente::N,ànatra,πάπια
205,Eule::N,gufo,κουκουβάγια
206,Eule::N,civetta,κουκουβάγια
207,Kranich::N,gru,γερανός
208,Krähe::N,cornacchia,καρακάξα
209,Kuckuck::N,cuccù,κούκος
210,Kuckuck::N,cùculo,κούκος
211,Schwan::N,cigno,κύκνος
212,Fisch::N,pesce,ψάρι
213,Barsch::N,pèrsico,πέρκα
214,Hecht::N,luccio,λούτσος
215,Schlange[Tier]::N,serpente,φίδι
216,Wurm::N,baco,σκουλήκι
217,Wurm::N,verme,σκουλήκι
218,Spinne::N,ragno,αράχνη
219,Ameise::N,formica,μυρμήγκι
220,Laus::N,pidocchio,ψείρα
221,Mücke::N,zanzara,κουνούπι
222,Fliege::N,mosca,μύγα
223,Schmetterling::N,farfalla,πεταλούδα
224,Beere::N,bacca,ρόγα
225,Apfel::N,mela,μήλο
226,Pilz::N,fungo,μανιτάρι
227,Zwiebel::N,cipolla,κρεμμύδι
228,Saat::N,semente,σπόρος
229,Korn::N,grano,σπυρί
230,Heu::N,fieno,σανός
231,Schale::N,buccia,τσόφλι
232,Grube::N,cava,λάκκος
233,Grube::N,fossa,λάκκος
234,Falle::N,tràppola,παγίδα
235,Schlinge::N,laccio,θηλειά
236,Spur::N,traccia,ίχνος
237,Asche::N,cenere,στάχτη
238,Dreck::N,fango,βρωμιά
239,Eisen::N,ferro,σίδερο
240,Gold::N,oro,μάλαμα
241,Gold::N,oro,χρυσάφι
242,Silber::N,argento,ασήμι
243,Silber::N,argento,άργυρος
244,Kohle::N,carbone,κάρβουνο
245,Glas::N,vetro,γυαλί
246,Lehm::N,argilla,πηλός
247,Sand::N,arena,άμμος
248,Sand::N,sabbia,άμμος
249,Mensch::N,uomo,άνθρωπος
250,Mensch::N,èssere umano,άνθρωπος
251,Mann::N,uomo,άνδρας
252,Frau::N,donna,γυναίκα
253,Kind::N,bambino,παιδί
254,Junge::N,ragazzo,αγόρι
255,Mädchen::N,ragazza,κοπέλα
256,Mädchen::N,ragazza,κορίτσι
257,Familie::N,famiglia,οικογένεια
258,Großvater::N,nonno,παππούς
259,Großmutter::N,nonna,γιαγιά
260,Eltern::N,genitori,γονείς
261,Vater::N,padre,πατέρας
262,Mutter::N,madre,μητέρα
263,Sohn::N,figlio,γιος
264,Tochter::N,figlia,κόρη
265,Bruder::N,fratello,αδελφός
266,Schwester::N,sorella,αδελφή
267,Onkel::N,zio,θείος
268,Tante::N,zia,θεία
269,Ehemann::N,marito,σύζυγος
270,Ehefrau::N,moglie,σύζυγος
271,Freude::N,gioia,χαρά
272,Freude::N,piacere,χαρά
273,Gelächter::N,risata,γέλια
274,Glück::N,felicità,ευτυχία
275,Kummer::N,afflizione,έγνοια
276,Wunsch::N,desiderio,επιθυμία
277,Lust::N,voglia,όρεξη
278,Geist::N,mente,πνέυμα
279,Geist::N,spìrito,πνέυμα
280,Gedanke::N,idea,σκέψη
281,Gedanke::N,pensiero,σκέψη
282,Gedächtnis::N,memoria,μνήμη
283,Verstand::N,intelletto,νους
284,Sinn::N,senso,νόημα
285,Sinn::N,significato,νόημα
286,Grund::N,causa,λόγος
287,Grund::N,motivo,λόγος
288,Grund::N,ragione,λόγος
289,Wahrheit::N,verità,αλήθεια
290,Gespräch::N,discorso,συνομιλία
291,Gespräch::N,conversazione,συνομιλία
292,Märchen::N,fiaba,παραμύθι
293,Märchen::N,fàvola,παραμύθι
294,Erzählung::N,racconto,διήγημα
295,Erzählung::N,narrazione,διήγημα
296,Nachricht::N,messaggio,είδηση
297,Neuigkeit::N,notizia,νέο
298,Name::N,nome,όνομα
299,Rätsel::N,indovinello,αίνιγμα
300,Rede::N,discorso,λόγος
301,Rede::N,discorso,ομιλία
302,Sprache::N,lingua,γλώσσα
303,Sprache::N,linguaggio,γλώσσα
304,Stimme::N,voce,φωνή
305,Wort::N,parola,λέξη
306,Zeichen::N,segno,σημείο
307,Zeichen::N,segnale,σημείο
308,Ruf::N,chiamata,κραυγή
309,Lärm::N,chiasso,θόρυβος
310,Lärm::N,strèpito,θόρυβος
311,Laut::N,suono,ήχος
312,Ton::N,tono,ήχος
313,Ton::N,tono,τόνος
314,Lied::N,canto,τραγούδι
315,Lied::N,canzone,τραγούδι
316,Ruhe::N,calma,ησυχία
317,Ruhe::N,tranquillità,ησυχία
318,Leute::N,gente,κόσμος
319,Leute::N,gente,άνθρωποι
320,Volk::N,pòpolo,λαός
321,Arbeit::N,lavoro,εργασία
322,Gast::N,òspite,επισκέπτης
323,Gast::N,invitato,επισκέπτης
324,Geschenk::N,regalo,δώρο
325,Spiel::N,gioco,παιχνίδι
326,Gesellschaft::N,compagnìa,κοινωνία
327,Hilfe::N,aiuto,βοήθεια
328,Hilfe::N,soccorso,βοήθεια
329,Freund::N,amico,φίλος
330,Kamerad::N,camerata,σύντροφος
331,Angelegenheit::N,affare,υπόθεση
332,Angelegenheit::N,faccenda,υπόθεση
333,Anzahl::N,nùmero,αριθμός
334,Anzahl::N,quantità,αριθμός
335,Art::N,tipo,είδος
336,Art::N,specie,είδος
337,Stück::N,pezzo,κομμάτι
338,Teil::N,parte,μέρος
339,Hälfte::N,metà,μισό
340,Kreis::N,cìrcolo,κύκλος
341,Kreuz::N,croce,σταυρός
342,Linie::N,lìnea,γραμμή
343,Strich::N,tratto,γραμμή
344,Abstand::N,distanza,απόσταση
345,Entfernung::N,distanza,απόσταση
346,Entfernung::N,lontananza,απόσταση
347,Gegend::N,regione,περιοχή
348,Gegend::N,regione,τοποθεσία
349,Platz::N,posto,χώρος
350,Platz::N,spazio,χώρος
351,Ort::N,luogo,τόπος
352,Ort::N,località,τόπος
353,Seite::N,lato,πλευρά
354,Seite::N,parte,πλευρά
355,Mitte::N,mezzo,μέση
356,Mitte::N,centro,μέση
357,Gegenstand::N,oggetto,αντικείμενο
358,Sache::N,cosa,πράγμα
359,Rand::N,orlo,άκρη
360,Rand::N,orlo,χείλος
361,Rand::N,bordo,άκρη
362,Rand::N,bordo,χείλος
363,Kante::N,spìgolo,άκρη
364,Ecke::N,canto,γωνιά
365,Spitze::N,punta,μύτη
366,Ende::N,capo,άκρη
367,Ende::N,estremità,άκρη
368,Loch::N,buco,τρύπα
369,Winkel::N,àngolo,γωνία
370,Muster::N,disegno,σχέδιο
371,Größe::N,taglia,μέγεθος
372,Größe::N,grandezza,μέγεθος
373,Länge::N,lunghezza,μήκος
374,Höhe::N,altezza,ύψος
375,Gewicht::N,peso,βάρος
376,Menge::N,quantità,ποσότητα
377,Haufen::N,cùmulo,σωρός
378,Haufen::N,mucchio,σωρός
379,Reihe::N,fila,αράδα
380,Boot::N,barca,βάρκα
381,Boot::N,battello,βάρκα
382,Ruder::N,remo,κουπί
383,Schlitten::N,slitta,έλκηθρο
384,Ski::N,sci,σκι
385,Lagerfeuer::N,falò,φωτιά
386,Lagerfeuer::N,fuoco di bivacco,φωτιά
387,Last::N,càrico,φορτίο
388,Gang::N,andata,δρόμος
389,Schritt::N,passo,βήμα
390,Norden::N,nord,βορράς
391,Norden::N,settentrione,βορράς
392,Süden::N,sud,νότος
393,Süden::N,meridione,νότος
394,Westen::N,òvest,δύση
395,Westen::N,occidente,δύση
396,Osten::N,est,ανατολή
397,Osten::N,oriente,ανατολή
398,Holz::N,legno,ξύλο
399,Brett::N,asse,σανίδι
400,Brett::N,tàvola,σανίδι
401,Platte::N,lastra,πλάκα
402,Platte::N,piastra,πλάκα
403,Stütze::N,supporto,στήριγμα
404,Stange::N,sbarra,ραβδί
405,Stange::N,sbarra,κοντός
406,Stange::N,pèrtica,ραβδί
407,Stange::N,pèrtica,κοντός
408,Stock::N,verga,ξύλο
409,Stock::N,verga,μπαστούνι
410,Stock::N,bastone,ξύλο
411,Stock::N,bastone,μπαστούνι
412,Stock::N,bacchetta,ξύλο
413,Stock::N,bacchetta,μπαστούνι
414,Stab::N,asta,ραβδί
415,Rohr::N,tubo,σωλήνας
416,Haus::N,casa,σπίτι
417,Heim::N,casa,σπίτι
418,Ofen::N,stufa,σόμπα
419,Ofen::N,stufa,θερμάστρα
420,Fußboden::N,pavimento,πάτωμα
421,Tisch::N,tàvolo,τραπέζι
422,Stuhl::N,sedia,καρέκλα
423,Wiege::N,culla,κούνια
424,Bett::N,letto,κρεβάτι
425,Regal::N,scaffale,ράφι
426,Kiste::N,cassa,κιβώτιο
427,Fenster::N,finestra,παράθυρο
428,Tür::N,porta,πόρτα
429,Tor::N,portone,πύλη
430,Zaun::N,recinto,φράχτης
431,Dach::N,tetto,στέγη
432,Leiter::N,scala,σκάλα
433,Leiter::N,scala,κλίμακα
434,Leiter::N,scala a pioli,σκάλα
435,Leiter::N,scala a pioli,κλίμακα
436,Besen::N,scopa,σκούπα
437,Spaten::N,vanga,φτυάρι
438,Schaufel::N,pala,φτυάρι
439,Gabel::N,forchetta,πιρούνι
440,Löffel::N,cucchiaio,κουτάλι
441,Messer::N,coltello,μαχαίρι
442,Nagel::N,chiodo,καρφί
443,Netz::N,rete,δίχτυ
444,Haken::N,uncino,γάντζος
445,Haken::N,uncino,αγκίστρι
446,Griff::N,mànico,λαβή
447,Griff::N,maniglia,λαβή
448,Schloss::N,serratura,κλειδαριά
449,Bild::N,quadro,εικόνα
450,Bild::N,immàgine,εικόνα
451,Figur::N,figura,ανάστημα
452,Puppe::N,bàmbola,κούκλα
453,Beutel::N,borsa,πουγγί
454,Beutel::N,sacchetto,πουγγί
455,Bündel::N,fascio,δεμάτι
456,Bündel::N,fagotto,δεμάτι
457,Tasche::N,borsa,τσάντα
458,Eimer::N,secchio,κουβάς
459,Deckel::N,coperchio,καπάκι
460,Geschirr::N,stoviglie,σκεύη
461,Sack::N,sacco,σάκος
462,Tasse::N,tazza,φλιτζάνι
463,Topf::N,pèntola,χύτρα
464,Kessel::N,paiolo,καζάνι
465,Kessel::N,calderone,καζάνι
466,Essen::N,pasto,φαγητό
467,Essen::N,mangiare,φαγητό
468,Nahrung::N,cibo,τροφή
469,Nahrung::N,alimento,τροφή
470,Speise::N,piatto,φαγητό
471,Fleisch::N,carne,κρέας
472,Getreide::N,cereali,σιτάρι
473,Brei::N,purè,χυλός
474,Brei::N,pappa,χυλός
475,Brot::N,pane,ψωμί
476,Brot::N,pane,άρτος
477,Scheibe::N,fetta,φέτα
478,Scheibe::N,trancia,φέτα
479,Fett::N,grasso,πάχος
480,Butter::N,burro,βούτυρο
481,Öl::N,olio,λάδι
482,Salz::N,sale,αλάτι
483,Suppe::N,zuppa,σούπα
484,Suppe::N,minestra,σούπα
485,Honig::N,miele,μέλι
486,Milch::N,latte,γάλα
487,Tee::N,tè,τσάι
488,Leder::N,pelle,πετσί
489,Wolle::N,lana,μαλλί
490,Stoff::N,panno,ύφασμα
491,Stoff::N,tessuto,ύφασμα
492,Nadel::N,ago,βελόνα
493,Faden::N,filo,κλωστή
494,Knopf::N,bottone,κουμπί
495,Knoten::N,nodo,κόμπος
496,Farbe::N,pittura,μπογιά
497,Kleidung::N,vestiti,ρούχα
498,Kleidung::N,vestiti,ενδυμασία
499,Kleidung::N,vestiario,ρούχα
500,Kleidung::N,vestiario,ενδυμασία
501,Hemd::N,camicia,πουκάμισο
502,Kragen::N,bàvero,κολάρο
503,Kragen::N,colletto,κολάρο
504,Ärmel::N,mànica,μανίκι
505,Hose::N,calzoni,πανταλόνι
506,Gürtel::N,cintura,ζώνη
507,Mütze::N,berretto,σκούφος
508,Schuh::N,scarpa,παπούτσι
509,Stiefel::N,stivale,μπότα
510,Ring::N,anello,δαχτυλίδι
511,Band::N,nastro,κορδέλα
512,Band::N,fettuccia,κορδέλα
513,Kamm::N,pèttine,χτένα
514,Spiegel::N,specchio,καθρέφτης
515,Riemen::N,cinghia,λουρί
516,Schnur::N,corda,κορδόνι
517,Leine::N,guinzaglio,σχοινί
518,Decke::N,coperta,κουβέρτα
519,Kissen::N,cuscino,μαξιλάρι
520,Kissen::N,guanciale,μαξιλάρι
521,Tuch::N,fazzoletto,πανί
522,Tuch::N,fazzoletto,μαντήλι
523,Handtuch::N,asciugamano,πετσέτα
524,Kraft::N,forza,δύναμη
525,Stärke::N,forza,ισχύς
526,Stärke::N,forza,δύναμη
527,Stärke::N,vigore,ισχύς
528,Stärke::N,vigore,δύναμη
529,Stärke::N,fortezza,ισχύς
530,Stärke::N,fortezza,δύναμη
531,Gesundheit::N,salute,υγεία
532,Krankheit::N,malattìa,αρρώστια
533,Schmerz::N,dolore,πόνος
534,Wunde::N,piaga,πληγή
535,Wunde::N,ferita,πληγή
536,Fieber::N,febbre,πυρετός
537,Arznei::N,fàrmaco,φάρμακο
538,Arznei::N,medicina,φάρμακο
539,Brücke::N,ponte,γέφυρα
540,Brunnen::N,pozzo,πηγάδι
541,Weide::N,pàscolo,βοσκή
542,Pfad::N,sentiero,μονοπάτι
543,Weg::N,via,δρόμος
544,Weg::N,cammino,δρόμος
545,Straße::N,strada,οδός
546,Straße::N,strada,δρόμος
547,Dorf::N,paese,χωριό
548,Dorf::N,villaggio,χωριό
549,Stadt::N,città,πόλη
550,Brief::N,lèttera,γράμμα
551,Brief::N,lèttera,επιστολή
552,Buch::N,libro,βιβλίο
553,Buchstabe::N,lèttera,γράμμα
554,Zeitung::N,giornale,εφημερίδα
555,Leben::N,vita,ζωή
556,Leben::N,vita,βίος
557,Tod::N,morte,θάνατος
558,Grab::N,tomba,τάφος
559,Grab::N,sepolcro,τάφος
560,Kirche::N,chiesa,εκκλησία
561,Sünde::N,peccato,αμαρτία
562,Gott::N,dio,θεός
563,Arbeiter::N,operaio,εργάτης
564,Arbeiter::N,lavoratore,εργάτης
565,Chef::N,capo,προϊστάμενος
566,Chef::N,padrone,προϊστάμενος
567,Meister::N,mastro,μάστορας
568,Meister::N,mastro,αρχιτεχνίτης
569,Meister::N,maestro,μάστορας
570,Meister::N,maestro,αρχιτεχνίτης
571,Arzt::N,mèdico,γιατρός
572,Arzt::N,dottore,γιατρός
573,Lehrer::N,professore,δάσκαλος
574,Geld::N,soldi,λεφτά
575,Geld::N,soldi,χρήματα
576,Geld::N,denaro,λεφτά
577,Geld::N,denaro,χρήματα
578,Geschäft::N,affare,συναλλαγή
579,Geschäft::N,negozio,συναλλαγή
580,Laden::N,negozio,μαγαζί
581,Laden::N,negozio,κατάστημα
582,Preis::N,prezzo,τιμή
583,Ware::N,merce,εμπόρευμα
584,Nutzen::N,ùtile,όφελος
585,Nutzen::N,profitto,όφελος
586,Reichtum::N,ricchezza,πλούτος
587,Welt::N,mondo,κόσμος
588,Land::N,paese,χώρα
589,Staat::N,Stato,κράτος
590,Staat::N,Stato,πολιτεία
591,König::N,re,βασιλιάς
592,Macht::N,potere,εξουσία
593,Grenze::N,confine,σύνορα
594,Grenze::N,frontiera,σύνορα
595,Krieg::N,guerra,πόλεμος
596,Feind::N,nemico,εχθρός
597,Gewalt::N,violenza,βία
598,Kampf::N,lotta,αγώνας
599,Bogen[Waffe]::N,arco,τόξο
600,Pfeil::N,freccia,σαΐτα
601,Gewehr::N,fucile,τουφέκι
602,Fehler::N,errore,λάθος
603,Fehler::N,errore,σφάλμα
604,Fehler::N,sbaglio,λάθος
605,Fehler::N,sbaglio,σφάλμα
606,Lüge::N,bugìa,ψέμα
607,Lüge::N,bugìa,ψεύδος
608,Lüge::N,menzogna,ψέμα
609,Lüge::N,menzogna,ψεύδος
610,Schaden::N,danno,ζημία
611,Unglück::N,sfortuna,δυστυχία
612,Schuld::N,colpa,ενοχή
613,Schuld::N,colpa,φταίξιμο
614,Alter::N,età,ηλικία
615,Schluss::N,fine,τέλος
616,Zeit::N,tempo,χρόνος
617,Tag::N,giorno,μέρα
618,Tag::N,giorno,ημέρα
619,Tag::N,giornata,μέρα
620,Tag::N,giornata,ημέρα
621,Morgen::N,mattina,πρωί
622,Mittag::N,mezzogiorno,μεσημέρι
623,Abend::N,sera,βράδυ
624,Abend::N,serata,βράδυ
625,Nacht::N,notte,νύχτα
626,Woche::N,settimana,εβδομάδα
627,Monat::N,mese,μήνας
628,Jahr::N,anno,έτος
629,Jahr::N,anno,χρόνος
630,Frühling::N,primavera,άνοιξη
631,Sommer::N,estate,καλοκαίρι
632,Herbst::N,autunno,φθινόπωρο
633,Winter::N,inverno,χειμώνας
634,Januar::N,gennaio,Ιανουάριος
635,Februar::N,febbraio,Φεβρουάριος
636,März::N,marzo,Μάρτιος
637,April::N,aprile,Απρίλιος
638,Mai::N,maggio,Μάιος
639,Juni::N,giugno,Ιούνιος
640,Juli::N,luglio,Ιούλιος
641,August::N,agosto,Αύγουστος
642,September::N,settembre,Σεπτέμβριος
643,Oktober::N,ottobre,Οκτώβριος
644,November::N,novembre,Νοέμβριος
645,Dezember::N,dicembre,Δεκέμβριος
646,Montag::N,lunedì,Δευτέρα
647,Dienstag::N,martedì,Τρίτη
648,Mittwoch::N,mercoledì,Τετάρτη
649,Donnerstag::N,giovedì,Πέμπτη
650,Freitag::N,venerdì,Παρασκευή
651,Samstag::N,sàbato,Σάββατο
652,Sonntag::N,domenica,Κυριακή
653,groß::A,grande,μεγάλος
654,klein::A,pìccolo,μικρός
655,lang::A,lungo,μακρύς
656,kurz::A,corto,κοντός
657,breit::A,largo,φαρδύς
658,schmal::A,stretto,στενός
659,dicht::A,denso,πυκνός
660,dick[Gegenstand]::A,spesso,παχύς
661,dick[Gegenstand]::A,spesso,χοντρός
662,dünn::A,sottile,ψιλός
663,dünn::A,sottile,λεπτός
664,fein::A,fine,ψιλός
665,fein::A,delicato,ψιλός
666,fest::A,sodo,στερεός
667,fest::A,fisso,στερεός
668,flach::A,piano,επίπεδος
669,flach::A,piatto,επίπεδος
670,glatt::A,liscio,λείος
671,glatt::A,liscio,ομαλός
672,hart::A,duro,σκληρός
673,weich::A,molle,μαλακός
674,rund::A,rotondo,στρογγυλός
675,spitz::A,aguzzo,μυτερός
676,spitz::A,appuntito,μυτερός
677,scharf::A,affilato,κοφτερός
678,scharf::A,tagliente,κοφτερός
679,stumpf::A,smussato,αμβλύς
680,schwer::A,pesante,βαρύς
681,schön::A,bello,ωραίος
682,schön::A,bello,όμορφος
683,heiß::A,caldo,ζεστός
684,heiß::A,bollente,ζεστός
685,warm::A,caldo,θερμός
686,kalt::A,freddo,κρύος
687,kalt::A,freddo,ψυχρός
688,kühl::A,fresco,δροσερός
689,frisch::A,fresco,νωπός
690,frisch::A,fresco,φρέσκος
691,feucht::A,ùmido,υγρός
692,nass::A,bagnato,βρεγμένος
693,trocken::A,secco,ξηρός
694,trocken::A,secco,στεγνός
695,voll::A,pieno,γεμάτος
696,leer::A,vuoto,άδειος
697,offen::A,aperto,ανοιχτός
698,geschlossen::A,chiuso,κλειστός
699,sauber::A,netto,καθαρός
700,sauber::A,pulito,καθαρός
701,schmutzig::A,sporco,βρώμικος
702,schmutzig::A,sporco,λερωμένος
703,schmutzig::A,sùdicio,βρώμικος
704,schmutzig::A,sùdicio,λερωμένος
705,roh::A,crudo,ωμός
706,reif::A,maturo,ώριμος
707,lecker::A,ghiotto,νόστιμος
708,lecker::A,squisito,νόστιμος
709,süß::A,dolce,γλυκός
710,bitter::A,amaro,πικρός
711,sauer::A,aspro,ξινός
712,sauer::A,acerbo,ξινός
713,hell::A,chiaro,φωτεινός
714,dunkel::A,buio,σκοτεινός
715,dunkel::A,oscuro,σκοτεινός
716,schwarz::A,nero,μαύρος
717,schwarz::A,nero,μελανός
718,weiß::A,bianco,άσπρος
719,rot::A,rosso,κόκκινος
720,gelb::A,giallo,κίτρινος
721,blau::A,blu,μπλε
722,blau::A,blu,γαλανός
723,blau::A,azzurro,μπλε
724,blau::A,azzurro,γαλανός
725,grün::A,verde,πράσινος
726,grau::A,grigio,γκρίζος
727,bunt::A,variopinto,ποικιλόχρωπος
728,billig::A,a buon prezzo,φτηνός
729,billig::A,a buon mercato,φτηνός
730,teuer::A,caro,ακριβός
731,wertvoll::A,prezioso,πολύτιμος
732,blind::A,cieco,τυφλός
733,taub::A,sordo,κουφός
734,kräftig::A,forte,δυνατός
735,kräftig::A,robusto,δυνατός
736,stark::A,forte,γερός
737,stark::A,vigoroso,γερός
738,schwach::A,dèbole,αδύνατος
739,fett::A,grasso,παχύς
