,Concept_ID,uk,ku
64,Luft::N,повітря,ba
65,Wind::N,вітер,ba
66,Welle::N,хвиля,şewl
67,Wasser::N,вода,av
68,Stein::N,камінь,kevir
69,Boden::N,ґрунт,herd
70,Erde::N,земля,ax
71,Staub::N,пил,toz
72,Rauch::N,дим,dû
73,Funke::N,іскра,çirûşk
74,Feuer::N,вогонь,agir
75,Licht::N,світло,ronahî
76,Schatten::N,тінь,sî
77,Wetter::N,погода,hewa
78,Nebel::N,туман,mij
79,Wolke::N,хмара,ewr
80,Regen::N,дощ,baran
81,Schnee::N,сніг,berf
82,Eis::N,лід,qeşa
83,Frost::N,мороз,xûsik
84,Kälte::N,холод,serma
85,Hitze::N,жар,germayî
86,Raureif::N,іній,şext
87,Regenbogen::N,райдуга,heftreng
88,Donner::N,грім,gire-gir
89,Strömung::N,струмина,şewl
90,Tropfen::N,крапля,dilop
91,Schaum::N,піна,kef
92,Schmutz::N,бруд,gemar
93,See::N,озеро,gol
94,Sumpf::N,драговина,hezek
95,Moor::N,болото,mafêl
96,Wiese::N,луг,sûrik
97,Wiese::N,лука,sûrik
98,Wald::N,ліс,çiya
99,Wald::N,ліс,daristan
100,Hügel::N,горб,gir
101,Anhöhe::N,височина,sere gir
102,Berg::N,гора,kaş
103,Gipfel::N,вершина,sere gir
104,Höhle::N,печера,şikeft
105,Abhang::N,схил,kaş
106,Quelle::N,джерело,kanî
107,Bach::N,струмок,çem
108,Fluss::N,річка,çem
109,Fluss::N,річка,rûbar
110,Ufer::N,берег,kevî
111,Küste::N,узбережжя,berav
112,Festland::N,суша,bejahî
113,Meer::N,море,behr
114,Bucht::N,бухта,derav
115,Bucht::N,затока,derav
116,Insel::N,острів,girav
117,Blume::N,квітка,kulînk
118,Gras::N,трава,giha
119,Wurzel::N,корінь,reh
120,Baum::N,дерево,dar
121,Stamm::N,стовбур,bavik
122,Rinde::N,кора,qaqil
123,Ast::N,гілка,gulî
124,Zweig::N,галузь,şax
125,Blatt::N,лист,pel
126,Birke::N,береза,dara sipî
127,Kiefer[Baum]::N,сосна,dara bî
128,Weide[Baum]::N,верба,dara belalûk
129,Tanne::N,ялиця,merx
130,Horn::N,ріг,strô
131,Feder::N,перо,pîrtîk
132,Fell::N,хутро,heyar
133,Flügel::N,крило,per
134,Klaue::N,кіготь,napîk
135,Kralle::N,лапа,dinik
136,Kralle::N,лапа,dirnax
137,Schwanz::N,хвіст,dûv
138,Ei::N,яйце,hêk
139,Nest::N,гніздо,hêlîn
140,Bau::N,лігво,avahî
141,Tier::N,тварина,heywan
142,Herde::N,стадо,hoz
143,Kuh::N,корова,çêlek
144,Bulle::N,бик,ga
145,Bulle::N,бугай,ga
146,Pferd::N,кінь,hesp
147,Schaf::N,вівця,mîh
148,Schwein::N,свиня,beraz
149,Hund::N,собака,seh
150,Katze::N,кішка,pişîk
151,Bär::N,ведмідь,hirç
152,Eichhörnchen::N,білка,pilûr
153,Elch::N,лось,pazkovî
154,Fuchs::N,лисиця,rovî
155,Hase::N,заєць,kîroşk
156,Maus::N,миша,mişk
157,Wolf::N,вовк,gur
158,Vogel::N,птах,çûk
159,Schwarm::N,зграя,lufik
160,Huhn::N,курка,mirîşk
161,Hahn::N,півень,dîk
162,Gans::N,гуска,qaz
163,Adler::N,орел,eylo
164,Ente::N,качка,werdek
165,Eule::N,сова,bûm
166,Eule::N,сова,kund
167,Kranich::N,журавель,quling
168,Krähe::N,ворона,qijik
169,Kuckuck::N,зозуля,pepûk
170,Schwan::N,лебідь,qû
171,Fisch::N,риба,masî
172,Barsch::N,окунь,okûn
173,Hecht::N,щука,mesîyê lûf
174,Schlange[Tier]::N,змія,mar
175,Wurm::N,черв’як,kurm
176,Spinne::N,павук,pîrê
177,Ameise::N,мурашка,mîro
178,Ameise::N,мурашка,gêrîk
179,Laus::N,воша,spi
180,Mücke::N,комар,mêş
181,Fliege::N,муха,mêş
182,Schmetterling::N,метелик,perperîk
183,Beere::N,ягода,hirç
184,Apfel::N,яблуко,sêv
185,Pilz::N,гриб,bîrov
186,Zwiebel::N,цибуля,pîvaz
187,Saat::N,сім’я,tov
188,Korn::N,зерно,dexl
189,Heu::N,сіно,sap
190,Schale::N,шкірка,qaşik
191,Grube::N,яма,çahl
192,Falle::N,пастка,dafik
193,Schlinge::N,петля,dahf
194,Spur::N,слід,rêç
195,Asche::N,зола,xweli
196,Asche::N,попіл,xweli
197,Dreck::N,бруд,gemarî
198,Eisen::N,залізо,hesing
199,Gold::N,золото,zêr
200,Silber::N,срібло,zîv
201,Kohle::N,вугілля,komir
202,Glas::N,скло,qedeh
203,Lehm::N,глина,kelpîç
204,Sand::N,пісок,qûm
205,Mensch::N,людина,mirov
206,Mann::N,чоловік,mêr
207,Frau::N,жінка,jin
208,Kind::N,дитина,zarok
209,Junge::N,хлопець,kur
210,Mädchen::N,дівчина,keç
211,Mädchen::N,дівчина,keçik
212,Familie::N,сім’я,malbat
213,Familie::N,родина,malbat
214,Großvater::N,дідусь,bapîr
215,Großmutter::N,бабуся,pîrik
216,Eltern::N,батьки,bavudê
217,Vater::N,батько,bav
218,Mutter::N,мати,dê
219,Mutter::N,мати,dayik
220,Sohn::N,син,kur
221,Tochter::N,дочка,keç
222,Bruder::N,брат,bira
223,Schwester::N,сестра,xweh
224,Onkel::N,дядько,am
225,Onkel::N,дядько,xal
226,Tante::N,тітка,metik
227,Tante::N,тітка,xaltîk
228,Ehemann::N,чоловік,mêr
229,Ehefrau::N,жінка,kulfet
230,Ehefrau::N,дружина,kulfet
231,Freude::N,радощі,kêfxweşî
232,Gelächter::N,сміх,pîrqînî
233,Glück::N,щастя,bext
234,Kummer::N,горе,derd
235,Wunsch::N,бажання,daxwaz
236,Wunsch::N,бажання,xwestek
237,Lust::N,бажання,şewq
238,Geist::N,дух,aqil
239,Gedanke::N,думка,fikir
240,Gedächtnis::N,пам’ять,aqil
241,Verstand::N,розум,fêm
242,Sinn::N,зміст,aqil
243,Sinn::N,значення,aqil
244,Grund::N,причина,asas
245,Wahrheit::N,правда,rastî
246,Gespräch::N,розмова,guftûgo
247,Märchen::N,байка,çirok
248,Erzählung::N,повість,çirok
249,Erzählung::N,повість,vegotin
250,Erzählung::N,оповідання,çirok
251,Erzählung::N,оповідання,vegotin
252,Nachricht::N,повідомлення,nûçe
253,Neuigkeit::N,новина,hewal
254,Name::N,ім’я,nav
255,Name::N,ім’я,paşnav
256,Rätsel::N,загадка,tiştonek
257,Rede::N,промова,gotar
258,Rede::N,промова,axavtin
259,Sprache::N,мова,ziman
260,Stimme::N,голос,pejn
261,Wort::N,слово,gotin
262,Zeichen::N,знак,şanek
263,Ruf::N,оклик,hawar
264,Lärm::N,шум,xarbalix
265,Laut::N,звук,deng
266,Laut::N,звук,hês
267,Ton::N,тон,awaz
268,Lied::N,пісня,sitran
269,Ruhe::N,спокій,rihetî
270,Leute::N,люди,xelk
271,Volk::N,народ,xelk
272,Arbeit::N,робота,xebat
273,Gast::N,гість,mêvan
274,Geschenk::N,подарунок,diyarî
275,Spiel::N,гра,lîstik
276,Gesellschaft::N,товариство,komal
277,Hilfe::N,допомога,alîkarî
278,Freund::N,друг,heval
279,Freund::N,приятель,heval
280,Kamerad::N,товариш,heval
281,Angelegenheit::N,справа,pirsgirêk
282,Anzahl::N,число,çend
283,Art::N,рід,çeh
284,Stück::N,кусок,lib
285,Stück::N,кусок,parçe
286,Teil::N,частина,parçe
287,Hälfte::N,половина,nîvî
288,Kreis::N,круг,çemil
289,Kreis::N,коло,çemil
290,Kreuz::N,хрест,xaç
291,Linie::N,лінія,xezik
292,Strich::N,штрих,xezik
293,Abstand::N,проміжок,dûrahî
294,Entfernung::N,відстань,dûrahî
295,Gegend::N,місцевість,dever
296,Platz::N,площа,çih
297,Ort::N,місце,dever
298,Seite::N,сторона,rûpel
299,Mitte::N,середина,nav
300,Mitte::N,середина,nabênê
301,Gegenstand::N,предмет,tişt
302,Sache::N,річ,tişt
303,Rand::N,край,kevî
304,Kante::N,ребро,kevî
305,Ecke::N,ріг,qunç
306,Spitze::N,кінчик,derzî
307,Ende::N,кінець,talî
308,Loch::N,діра,qul
309,Winkel::N,куток,kurnîşk
310,Muster::N,узор,desen
311,Größe::N,розмір,mezinî
312,Länge::N,довжина,dirêjahî
313,Höhe::N,висота,bilindayî
314,Gewicht::N,вага,giranî
315,Menge::N,кількість,qas
316,Haufen::N,купа,lod
317,Reihe::N,ряд,rêz
318,Boot::N,човен,kelek
319,Ruder::N,весло,bêrik
320,Schlitten::N,сани,xîjik
321,Ski::N,лижа,lakan
322,Lagerfeuer::N,вогнище,agir
323,Last::N,тягар,bar
324,Last::N,вантаж,bar
325,Gang::N,хід,fîtêz
326,Schritt::N,крок,gav
327,Norden::N,північ,bakur
328,Süden::N,південь,başur
329,Westen::N,захід,rojava
330,Osten::N,схід,rojhilat
331,Holz::N,дрова,dep
332,Brett::N,дошка,dep
333,Platte::N,плита,dep
334,Stütze::N,підпірка,destek
335,Stange::N,жердина,sing
336,Stock::N,палиця,çam
337,Stab::N,палиця,qat
338,Rohr::N,труба,borî
339,Haus::N,дім,mal
340,Haus::N,дім,xanî
341,Haus::N,хата,mal
342,Haus::N,хата,xanî
343,Heim::N,житло,mal
344,Ofen::N,піч,sobe
345,Fußboden::N,підлога,binpê
346,Tisch::N,стіл,mase
347,Stuhl::N,стілець,kursî
348,Wiege::N,колиска,derguş
349,Bett::N,ліжко,qerewêle
350,Bett::N,постіль,qerewêle
351,Regal::N,полиця,rêbaz
352,Kiste::N,ящик,sindoq
353,Fenster::N,вікно,çam
354,Fenster::N,вікно,şibeke
355,Tür::N,двері,derî
356,Tor::N,ворота,derge
357,Zaun::N,паркан,hejik
358,Zaun::N,огорожа,hejik
359,Dach::N,дах,sere xanî
360,Leiter::N,драбина,pêling
361,Besen::N,мітла,melkes
362,Spaten::N,заступ,mer
363,Schaufel::N,совок,bêr
364,Schaufel::N,лопата,bêr
365,Gabel::N,виделка,çetel
366,Löffel::N,ложка,kevçî
367,Messer::N,ніж,kêr
368,Nagel::N,цвях,bizmar
369,Netz::N,сіть,tor
370,Haken::N,крюк,çenqel
371,Griff::N,ручка,destî
372,Griff::N,держак,destî
373,Schloss::N,замок,qonax
374,Bild::N,картина,dimen
375,Figur::N,фігура,figûr
376,Puppe::N,лялька,bûk
377,Beutel::N,мішечок,kîsik
378,Beutel::N,торбинка,kîsik
379,Bündel::N,в’язка,pêçek
380,Tasche::N,сумка,bêrîk
381,Eimer::N,відро,dewl
382,Deckel::N,кришка,devik
383,Geschirr::N,посуд,ferax
384,Sack::N,мішок,tûr
385,Tasse::N,чашка,kada
386,Topf::N,горщик,beroş
387,Kessel::N,котел,şîril
388,Essen::N,їжа,xwarin
389,Nahrung::N,харч,xwarin
390,Speise::N,страва,xwarin
391,Fleisch::N,м’ясо,goşt
392,Getreide::N,хліб,zad
393,Getreide::N,збіжжя,zad
394,Brei::N,каша,hewdêl
395,Brot::N,хліб,
396,Scheibe::N,скибочка,parçe
397,Fett::N,жир,rûn
398,Butter::N,масло,rûn
399,Öl::N,олія,rûn
400,Salz::N,сіль,xwe
401,Suppe::N,суп,şorbe
402,Honig::N,мед,hingiv
403,Milch::N,молоко,şîr
404,Tee::N,чай,çay
405,Leder::N,шкіра,çerm
406,Wolle::N,шерсть,herî
407,Stoff::N,тканина,paç
408,Nadel::N,голка,derzî
409,Faden::N,нитка,ta
410,Knopf::N,ґудзик,bişkok
411,Knoten::N,вузол,girêk
412,Farbe::N,фарба,boyax
413,Kleidung::N,одяг,çil
414,Kleidung::N,убрання,çil
415,Hemd::N,сорочка,qutik
416,Hemd::N,сорочка,miltan
417,Kragen::N,комір,stûvang
418,Ärmel::N,рукав,hûçik
419,Hose::N,брюки,şewel
420,Gürtel::N,пояс,qayiş
421,Mütze::N,шапка,fîno
422,Schuh::N,ботинок,şêkal
423,Stiefel::N,чобіт,gizme
424,Stiefel::N,чобіт,çizme
425,Ring::N,кільце,xelek
426,Band::N,стрічка,band
427,Kamm::N,гребінець,şeh
428,Spiegel::N,дзеркало,eynik
429,Riemen::N,ремінь,qayiş
430,Schnur::N,вірьовка,doxin
431,Leine::N,шворка,şirît
432,Decke::N,ковдра,bataniye
433,Kissen::N,подушка,balgî
434,Tuch::N,хустка,şar
435,Handtuch::N,рушник,dezmal
436,Kraft::N,сила,hêz
437,Kraft::N,сила,qewet
438,Stärke::N,сила,xurtî
439,Gesundheit::N,здоров’я,nojdarî
440,Krankheit::N,хвороба,nexweşî
441,Schmerz::N,біль,êş
442,Wunde::N,рана,kul
443,Fieber::N,гарячка,ta
444,Arznei::N,ліки,derman
445,Brücke::N,міст,kopî
446,Brunnen::N,колодязь,çal
447,Brunnen::N,колодязь,kani
448,Weide::N,пасовище,beyar
449,Pfad::N,стежка,xaçirek
450,Weg::N,шлях,rê
451,Weg::N,дорога,rê
452,Straße::N,вулиця,rê
453,Dorf::N,село,gund
454,Stadt::N,місто,baçar
455,Brief::N,лист,name
456,Buch::N,книга,kitêb
457,Buch::N,книга,pirtûk
458,Buch::N,книжка,kitêb
459,Buch::N,книжка,pirtûk
460,Buchstabe::N,буква,herf
461,Buchstabe::N,літера,herf
462,Zeitung::N,газета,rojname
463,Leben::N,життя,jiyan
464,Tod::N,смерть,mirin
465,Grab::N,могила,mezel
466,Kirche::N,церква,gilyas
467,Sünde::N,гріх,guneh
468,Gott::N,бог,xwedê
469,Arbeiter::N,робітник,hîşçî
470,Chef::N,хазяїн,bêg
471,Meister::N,умілець,hoste
472,Arzt::N,лікар,doktor
473,Lehrer::N,вчитель,mamoste
474,Geld::N,гроші,pere
475,Geschäft::N,заняття,firoşgeh
476,Laden::N,магазин,dikan
477,Laden::N,крамниця,dikan
478,Preis::N,ціна,buha
479,Ware::N,товар,tişt
480,Nutzen::N,вигода,fêde
481,Nutzen::N,користь,fêde
482,Reichtum::N,багатство,serwet
483,Welt::N,світ,dinya
484,Land::N,країна,welat
485,Staat::N,держава,dewlet
486,König::N,король,şah
487,König::N,король,qral
488,Macht::N,влада,qewet
489,Macht::N,влада,destihilat
490,Grenze::N,кордон,kevî
491,Krieg::N,війна,çeng
492,Krieg::N,війна,sêwaş
493,Feind::N,ворог,dijmin
494,Gewalt::N,насильство,zor
495,Kampf::N,бій,şer
496,Kampf::N,боротьба,şer
497,Bogen[Waffe]::N,лук,kêvan
498,Pfeil::N,стріла,çîrik
499,Gewehr::N,рушниця,tifing
500,Gewehr::N,гвинтівка,tifing
501,Fehler::N,помилка,şaşî
502,Lüge::N,брехня,derew
503,Schaden::N,шкода,xisar
504,Schaden::N,збиток,xisar
505,Unglück::N,нещастя,bêbextî
506,Schuld::N,провина,suç
507,Alter::N,вік,temen
508,Alter::N,літа,temen
509,Schluss::N,кінець,girtin
510,Zeit::N,час,çax
511,Tag::N,день,roj
512,Morgen::N,ранок,sibeh
513,Mittag::N,південь,nîro
514,Abend::N,вечір,êvar
515,Nacht::N,ніч,şev
516,Woche::N,тиждень,heftî
517,Monat::N,місяць,meh
518,Jahr::N,рік,sal
519,Frühling::N,весна,bihar
520,Sommer::N,літо,havîn
521,Herbst::N,осінь,payîz
522,Winter::N,зима,zistan
523,Januar::N,січень,çile
524,Februar::N,лютий,sibat
525,März::N,березень,adar
526,April::N,квітень,nîsan
527,Mai::N,травень,gûlan
528,Juni::N,червень,hezîran
529,Juli::N,липень,tîmeh
530,August::N,серпень,tebax
531,September::N,вересень,îlon
532,Oktober::N,жовтень,çotmeh
533,November::N,листопад,mijdar
534,Dezember::N,грудень,kanûn
535,Montag::N,понеділок,duşemb
536,Dienstag::N,вівторок,sêşem
537,Mittwoch::N,середа,çarşemb
538,Donnerstag::N,четвер,pêşemb
539,Freitag::N,п’ятниця,în
540,Samstag::N,субота,şemî
541,Sonntag::N,неділя,yekşemb
542,groß::A,великий,mezin
543,klein::A,малий,çûçik
544,klein::A,маленький,çûçik
545,lang::A,довгий,dirêj
546,kurz::A,короткий,kin
547,breit::A,широкий,fireh
548,schmal::A,вузький,tenik
549,dicht::A,густий,gir
550,dick[Gegenstand]::A,товстий,şîşman
551,dünn::A,тонкий,zirav
552,fein::A,дрібний,tenik
553,fest::A,міцний,saxlem
554,flach::A,плоский,pahn
555,glatt::A,рівний,dûz
556,glatt::A,рівний,şayîk
557,glatt::A,гладенький,dûz
558,glatt::A,гладенький,şayîk
559,hart::A,твердий,hişk
560,weich::A,м’який,nerm
561,rund::A,круглий,gilover
562,spitz::A,гострокінцевий,pîj
563,scharf::A,гострий,tûj
564,stumpf::A,тупий,ne tûj
565,schwer::A,важкий,giran
566,schön::A,вродливий,xweş
567,schön::A,вродливий,xweşik
568,heiß::A,жаркий,kelandî
569,heiß::A,гарячий,kelandî
570,warm::A,теплий,germ
571,kalt::A,холодний,sar
572,kühl::A,прохолодний,jemîrî
573,frisch::A,свіжий,ter
574,feucht::A,вогкий,şil
575,nass::A,мокрий,şilek
576,trocken::A,сухий,zuwa
577,voll::A,повний,tijî
578,leer::A,пустий,vala
579,offen::A,відкритий,vekirî
580,geschlossen::A,закритий,asê
581,geschlossen::A,зачинений,asê
582,sauber::A,чистий,pakij
583,sauber::A,охайний,pakij
584,schmutzig::A,брудний,lewitî
585,roh::A,сирий,xav
586,reif::A,зрілий,gihaştî
587,lecker::A,смачний,xweş
588,süß::A,солодкий,şîrîn
589,bitter::A,гіркий,tahl
590,sauer::A,кислий,tirş
591,hell::A,світлий,ronî
592,dunkel::A,темний,tarî
593,schwarz::A,чорний,reş
594,weiß::A,сивий,sipî
595,rot::A,червоний,sor
596,gelb::A,жовтий,zer
597,blau::A,синій,şîn
598,grün::A,зелений,şîn
599,grau::A,сірий,gewr
600,bunt::A,барвистий,rengîn
601,billig::A,дешевий,erzan
602,teuer::A,дорогий,biha
603,wertvoll::A,цінний,hêja
604,wertvoll::A,цінний,giranbiha
605,blind::A,сліпий,kor
606,taub::A,глухий,kerr
607,kräftig::A,могутній,gir
608,kräftig::A,могутній,xurt
609,stark::A,сильний,xurt
610,schwach::A,слабкий,kesad
611,fett::A,жирний,qelew
612,fett::A,товстий,qelew
613,schlank::A,тонкий,zirav
614,schlank::A,стрункий,zirav
615,hübsch::A,чарівний,xweşik
616,böse::A,злий,xerab
617,böse::A,злий,aciz
618,böse::A,лихий,xerab
619,böse::A,лихий,aciz
620,dumm::A,дурний,gêj
621,faul::A,ледачий,têmbêl
622,fleißig::A,старанний,jêhatî
623,geizig::A,скупий,destgirtî
624,klug::A,мудрий,baqil
625,klug::A,розумний,baqil
626,geschickt::A,умілий,zîrek
627,geschickt::A,умілий,ziring
628,lieb::A,милий,delal
629,lustig::A,веселий,kêfxweş
630,sanft::A,лагідний,nazenîn
631,hungrig::A,голодний,birçî
632,krank::A,слабий,nexweş
633,nackt::A,голий,rût
634,nackt::A,голий,tazî
635,traurig::A,сумний,xemgîn
636,lebendig::A,живий,bisaxî
637,gut::A,добрий,baş
638,schlecht::A,поганий,xerab
639,schlecht::A,кепський,xerab
640,richtig::A,правильний,rast
641,richtig::A,правильний,saxlem
642,schlimm::A,бридкий,nebaş
643,wahr::A,справжній,rast
644,alt::A,старий,pîr
645,alt::A,старий,kevn
646,neu::A,новий,nû
647,ehemalig::A,колишній,kevnar
648,ehemalig::A,колишній,peşidar
649,alt[Lebewesen]::A,старий,pîr
650,jung::A,молодий,xort
651,arm::A,бідний,feqîr
652,arm::A,бідний,desteng
653,reich::A,багатий,dewlemend
654,bekannt::A,знайомий,naskirî
655,berühmt::A,славетний,navdar
656,fremd::A,чужий,xerîb
657,verschieden::A,різний,çîhê
658,nah::A,близький,nêzîk
659,fern::A,далекий,dûr
660,linker::A,лівий,çepê
661,rechter::A,правий,rastê
662,anderer::A,інакший,yê din
663,erster::A,перший,yekemîn
664,zweiter::A,другий,duda
665,dritter::A,третій,sisêya
666,letzter::A,останній,paşîn
667,allein::ADV,сам,tenê
668,allein::ADV,один,tenê
669,auf einmal::ADV,відразу,jar kê
670,zusammen::ADV,разом,tev
671,zusammen::ADV,разом,bi hev re
672,zusammen::ADV,спільно,tev
673,zusammen::ADV,спільно,bi hev re
674,lange::ADV,довго,dirêj
675,plötzlich::ADV,раптом,ji nişkave
676,sofort::ADV,зараз,yekser
677,später::ADV,пізніше,paşiyê
678,jetzt::ADV,тепер,nuha
679,heute::ADV,сьогодні,îro
680,morgen::ADV,завтра,sibeh
681,bald::ADV,незабаром,nêzîk
682,dann::ADV,потім,paşê
683,gestern::ADV,вчора,do
684,einst::ADV,колись,jar ke
685,damals::ADV,тоді,hîngî
686,danach::ADV,згодом,piştra
687,vorher::ADV,раніше,pîşî
688,zuerst::ADV,спершу,bere
689,zuerst::ADV,спочатку,bere
690,einmal::ADV,один раз,çarik
691,manchmal::ADV,іноді,çarna
692,manchmal::ADV,інколи,çarna
693,oft::ADV,часто,gelek çaran
694,immer::ADV,завжди,daîm
695,niemals::ADV,ніколи,tu çar
696,hier::ADV,тут,li vir
697,hierhin::ADV,сюди,vir
698,von hier::ADV,звідси,ji vir
699,dort::ADV,там,li wê derê
700,dorthin::ADV,туди,wêda
701,geradeaus::ADV,прямо,rastê rast
702,vorwärts::ADV,вперед,ber bi pêş
703,rückwärts::ADV,назад,paşpê
704,zurück::ADV,назад,paşdo
705,zurück::ADV,назад,paşvê
706,unten::ADV,внизу,jêrî
707,hinab::ADV,вниз,berjêr
708,oben::ADV,вгорі,banî
709,hinauf::ADV,вгору,banî
710,überall::ADV,скрізь,li her derê
711,nicht::ADV,не,ne
712,nicht::ADV,не,nîn
713,nicht::ADV,не,tine
714,ein wenig::ADV,трохи,hebkî
715,ein wenig::ADV,небагато,hebkî
716,kaum::ADV,ледве,tema
717,kaum::ADV,ледве,himangi
718,sehr::ADV,дуже,gelek
719,so::ADV,так,weha
720,noch::ADV,ще,hêj
721,noch::ADV,ще,dîsa
722,nur::ADV,лише,tenê
723,nur::ADV,лише,bes
724,nur::ADV,тільки,tenê
725,nur::ADV,тільки,bes
726,schon::ADV,вже,hew
727,wieder::ADV,знову,jar din
728,wieder::ADV,знову,dîsa
729,vergebens::ADV,дарма,deya çun
730,vergebens::ADV,дарма,îfleh bûn
731,vor::PRP,перед,li ber
732,hinter::PRP,ззаду,li pişt
733,hinter::PRP,позаду,li pişt
734,unter::PRP,під,li bin
735,durch::PRP,крізь,kura
736,neben::PRP,біля,li ba
737,zwischen::PRP,між,nabeyne
738,zwischen::PRP,між,di nav...da
739,wegen::PRP,з-за,ji bo
740,wegen::PRP,з-за,ji ber
741,wegen::PRP,через,ji bo
742,wegen::PRP,через,ji ber
743,dies::PRN,це,ev
744,das::PRN,то,ev
745,alles::PRN,все,hemû
746,ich::PRN,я,ez
747,du::PRN,ти,tu
748,er::PRN,він,wî
749,wir::PRN,ми,êm
750,ihr::PRN,ви,hûn
751,sie::PRN,вони,we
752,was::FPRN,що,çi
753,wer::FPRN,хто,ki
754,wo::FADV,де,li ku dere
755,wohin::FADV,куди,li ku dere
756,wie::FADV,як,çawa
757,warum::FADV,чому,çima
758,wieviel::FNUM,скільки,çend
759,eins::NUM,один,yek
760,zwei::NUM,два,didu
761,drei::NUM,три,sisê
762,vier::NUM,чотири,çar
763,fünf::NUM,п’ять,penç
764,sechs::NUM,шість,şeş
765,sieben::NUM,сім,heft
766,acht::NUM,вісім,heşt
767,neun::NUM,дев’ять,neh
768,zehn::NUM,десять,deh
769,elf::NUM,одинадцять,yazdeh
770,zwölf::NUM,дванадцять,diwazdeh
771,zwanzig::NUM,двадцять,bîst
772,dreißig::NUM,тридцять,sih
773,vierzig::NUM,сорок,çil
774,fünfzig::NUM,п’ятдесят,pençi
775,sechzig::NUM,шістдесят,şêst
776,siebzig::NUM,сімдесят,heftê
777,achtzig::NUM,вісімдесят,heştê
778,neunzig::NUM,дев’яносто,nod
779,hundert::NUM,сто,sêd
780,tausend::NUM,тисяча,hezar
781,und::CNJ,і,û
782,oder::CNJ,або,an
783,oder::CNJ,або,yan
784,stehen::V,стояти,sekinîn
785,sitzen::V,сидіти,rûniştin
786,liegen::V,лежати,paldan
787,hängen::V,висіти,darve kirin
788,werden::V,стати,bûn
789,werden::V,робитися,bûn
790,passieren::V,трапитися,hatin holê
791,passieren::V,трапитися,hatin serê kesî
792,beginnen::V,початися,li dest pêkirin
793,enden::V,кінчитися,xalas bû
794,wechseln::V,мінятися,guherandin
795,wechseln::V,мінятися,dêgiş kirin
796,aufgehen[Sonne]::V,зійти,hilatin
797,untergehen[Sonne]::V,зайти,çun ava
798,scheinen[Sonne]::V,світити,şewk de
799,donnern::V,гриміти,gire-gir
800,wehen::V,віяти,ba le de
801,strömen::V,литися,xwe girtin
802,fließen::V,текти,herikîn
803,sich drehen::V,обертатися,xwe zivirandin
804,schwanken::V,коливатися,hejandin
805,schwingen::V,хитатися,libakirin
806,schwingen::V,гойдатися,libakirin
807,fallen::V,падати,ketin
808,brennen::V,горіти,şewitîn
809,rauchen::V,диміти,kişandin
810,regnen::V,дощити,bahran tê
811,gefrieren::V,змерзнути,qefilandin
812,tauen::V,танути,helandin
813,schmelzen::V,плавитися,helandin
814,trocknen::V,сохнути,zuwabûn
815,sieden::V,кипіти,kelîn
816,faulen::V,гнити,xerabûn
817,verfaulen::V,згнити,xerabûn
818,reißen::V,рватися,jêkirin
819,versinken::V,тонути,xerq bûn
820,vergehen::V,проходити,derbas bûn
821,erscheinen::V,з’явитися,peyda bûn
822,verschwinden::V,щезнути,wendabûn
823,verschwinden::V,зникнути,wendabûn
824,sinken::V,спадати,noq bûn
825,abnehmen::V,поменшитися,kêm bûn
