,Concept_ID,es,mrj
614,klein::A,pequeño,изи
615,lang::A,largo,кужы
616,kurz::A,corto,кӹтӹк
617,breit::A,ancho,кымда
618,schmal::A,estrecho,ӓнгӹсӹр
619,dicht::A,denso,шӹре
620,dick[Gegenstand]::A,grueso,кӹжгӹ
621,dünn::A,fino,вӹцкӹж
622,dünn::A,delgado,вӹцкӹж
623,fein::A,fino,пыльга
624,fein::A,delicado,пыльга
625,fest::A,firme,цаткыды
626,fest::A,sólido,цаткыды
627,flach::A,plano,тӓлякӓ
628,glatt::A,liso,ягылгы
629,hart::A,duro,пингӹдӹ
630,weich::A,muelle,пышкыды
631,rund::A,redondo,тӹртӹш
632,spitz::A,agudo,кашар
633,spitz::A,apuntado,кашар
634,scharf::A,agudo,кашар
635,scharf::A,afilado,кашар
636,stumpf::A,sin filo,нӹшкӹ
637,schwer::A,pesado,нелӹ
638,schön::A,bello,цевер
639,schön::A,bello,олмыдшы
640,schön::A,hermoso,цевер
641,schön::A,hermoso,олмыдшы
642,heiß::A,caluroso,шокшы
643,warm::A,cálido,шокшы
644,warm::A,caliente,шокшы
645,kalt::A,frío,ӱштӹ
646,kühl::A,fresco,юалгы
647,kühl::A,fresco,йонгата
648,frisch::A,fresco,йонгата
649,feucht::A,húmedo,ӹлӹкшӹ
650,feucht::A,húmedo,вӹдӹжгӹ
651,nass::A,mojado,начкы
652,trocken::A,seco,кукшы
653,voll::A,lleno,темшӹ
654,voll::A,lleno,темыман
655,leer::A,vacío,йӓрӓ
656,offen::A,abierto,виш
657,geschlossen::A,cerrado,чӱчмӹ
658,geschlossen::A,cerrado,тӹкӹлӓлтшӹ
659,sauber::A,limpio,ире
660,schmutzig::A,sucio,шоран
661,schmutzig::A,sucio,лявӹрӓн
662,schmutzig::A,sucio,шорангшы
663,roh::A,crudo,пеле кӱшӹ
664,reif::A,maduro,кӱшӹ
665,lecker::A,rico,тотан
666,lecker::A,sabroso,тотан
667,süß::A,dulce,мӱӓн
668,bitter::A,amargo,качы
669,sauer::A,agrio,шапы
670,hell::A,claro,соты
671,hell::A,claro,валгыды
672,dunkel::A,oscuro,пӹц
673,dunkel::A,oscuro,пӹцкемӹш
674,schwarz::A,negro,шим
675,weiß::A,blanco,ош
676,weiß::A,blanco,ошы
677,rot::A,rojo,якшаргы
678,gelb::A,amarillo,сар
679,gelb::A,amarillo,сары
680,blau::A,azul,симсӹ
681,grün::A,verde,ыжар
682,grau::A,gris,луды
683,bunt::A,multicolor,ала
684,billig::A,barato,шулдаш
685,teuer::A,caro,шергӹ
686,teuer::A,caro,шергӓкӓн
687,wertvoll::A,valioso,ӓкӓн
688,wertvoll::A,precioso,ӓкӓн
689,blind::A,ciego,слöпöй
690,blind::A,ciego,сльöпöй
691,taub::A,sordo,тӱтӱк
692,kräftig::A,fuerte,виӓн
693,stark::A,fuerte,виӓн
694,stark::A,vigoroso,виӓн
695,schwach::A,débil,шава
696,schwach::A,débil,лӹпкӓ
697,schwach::A,débil,слабка
698,fett::A,obeso,таза
699,schlank::A,esbelto,яштака
700,hübsch::A,mono,сӹлнӹ
701,hübsch::A,mono,олмыдшы
702,hübsch::A,guapo,сӹлнӹ
703,hübsch::A,guapo,олмыдшы
704,böse::A,malo,шӹдӓн
705,dumm::A,tonto,окмак
706,dumm::A,estúpido,окмак
707,faul::A,vago,ялахай
708,faul::A,perezoso,ялахай
709,fleißig::A,aplicado,пӓшам яратышы
710,fleißig::A,diligente,пӓшам яратышы
711,geizig::A,avaro,шык
712,klug::A,sensato,ышан
713,klug::A,inteligente,ышан
714,geschickt::A,hábil,мастар
715,lieb::A,querido,тыри
716,lustig::A,alegre,мындыр
717,lustig::A,alegre,сусу
718,sanft::A,suave,йӹвӹжӓ
719,hungrig::A,hambriento,шужышы
720,krank::A,enfermo,церлӹ
721,krank::A,enfermo,хворой
722,nackt::A,desnudo,цӓрӓ
723,traurig::A,triste,сы́лыкан
724,traurig::A,triste,кымы́лдымы
725,lebendig::A,vivo,живой
726,lebendig::A,viviente,живой
727,gut::A,bueno,яжо
728,schlecht::A,malo,уда
729,schlecht::A,malo,худа
730,richtig::A,justo,вургамла
731,richtig::A,correcto,вургамла
732,schlimm::A,malo,йӹрнык
733,schlimm::A,grave,йӹрнык
734,wahr::A,verídico,настоящий
735,wahr::A,verídico,настояшый
736,wahr::A,verdadero,настоящий
737,wahr::A,verdadero,настояшый
738,alt::A,viejo,шонгы
739,neu::A,nuevo,у
740,ehemalig::A,antiguo,тошты
741,alt[Lebewesen]::A,viejo,ӹлалшӹ
742,jung::A,joven,нöргӹ
743,jung::A,joven,молода
744,arm::A,pobre,укеӓн
745,reich::A,rico,паян
746,reich::A,rico,пурлыкан
747,bekannt::A,conocido,палӹмӹ
748,berühmt::A,famoso,лӹмлы
749,berühmt::A,célebre,лӹмлы
750,fremd::A,extraño,эдемӹн
751,verschieden::A,diverso,тӹрлӹ
752,verschieden::A,distinto,тӹрлӹ
753,verschieden::A,diferente,тӹрлӹ
754,nah::A,cercano,лишӹл
755,fern::A,lejano,мӹндӹр
756,linker::A,izquierdo,шалахай
757,rechter::A,derecho,вургамла
758,anderer::A,otro,вес
759,anderer::A,otro,весӹ
760,erster::A,primero,икшӹ
761,erster::A,primero,икӹмшӹ
762,zweiter::A,segundo,кокшы
763,dritter::A,tercero,кымшы
764,letzter::A,último,остатка
765,allein::ADV,a solo,иктӹ
766,allein::ADV,a solo,иктӹт
767,auf einmal::ADV,de una vez,тöрöк
768,zusammen::ADV,juntos,икараш
769,zusammen::ADV,juntos,цымырын
770,lange::ADV,mucho tiempo,кужын
771,plötzlich::ADV,de repente,трӱк
