,Concept_ID,ml,xal
89,Regenbogen::N,മഴവില്ല്,солңһ
90,Donner::N,ഇടി,оһтрһун дун
91,Strömung::N,പ്രവാഹം,урсхл
92,Tropfen::N,തുള്ളി,дусал
93,Schaum::N,നുര,көөсн
94,Schmutz::N,അഴുക്ക്,кир
95,See::N,തടാകം,нур
96,Sumpf::N,ചതുപ്പുനിലം,унул
97,Moor::N,പാഴ്നിലം,улм
98,Wiese::N,പുൽത്തകിടി,хадлһн
99,Wald::N,വനം,ө-модн
100,Wald::N,കാട്,ө-модн
101,Hügel::N,കുന്ന്,толһа
102,Anhöhe::N,ഉയർന്ന ഭൂമി,хамр
103,Berg::N,പർവ്വതം,уул
104,Gipfel::N,ഉച്ചകോടി,ора
105,Höhle::N,ഗുഹ,хадин көндә
106,Abhang::N,ചരിവ്,ташу
107,Quelle::N,ഉറവിടം,булг
108,Bach::N,അരുവി,һооҗур
109,Fluss::N,നദി,һол
110,Ufer::N,തീരം,көвә
111,Küste::N,കടൽത്തീരം,көвә
112,Küste::N,കടൽത്തീരം,теңгсин көвә
113,Festland::N,കര,хүүрә һазр
114,Meer::N,കടൽ,теңгс
115,Bucht::N,ഉൾക്കടല്,цекә
116,Bucht::N,ഉൾക്കടല്,теңгсин цекә
117,Insel::N,ദ്വീപ്,арл
118,Blume::N,പൂവ്,цецг
119,Gras::N,പുല്ല്,ноһан
120,Wurzel::N,വേര്,уңг
121,Baum::N,മരം,модн
122,Stamm::N,തായ്ത്തടി,шилв
123,Stamm::N,തായ്ത്തടി,һол модн
124,Rinde::N,പട്ട,көрсн
125,Ast::N,ശാഖ,ац
126,Zweig::N,ശാഖ,ац
127,Blatt::N,ഇല,хамтхасн
128,Birke::N,പൂവരശ്,хусм модн
129,Kiefer[Baum]::N,പൈൻമരം,шар харһа
130,Weide[Baum]::N,വില്ലോ,удн
131,Tanne::N,ദേവദാരു,җөөлн цаһан модн
132,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,өвр
133,Feder::N,തൂവൽ,өрвлг
134,Fell::N,മൃദുരോമം,арсн
135,Flügel::N,ചിറക്,җивр
136,Klaue::N,നഖം,хумсн
137,Kralle::N,നഖം,тавг
138,Schwanz::N,വാൽ,сүл
139,Ei::N,മുട്ട,өндгн
140,Nest::N,കൂട്,үр
141,Bau::N,മാളം,нүкн
142,Tier::N,മൃഗം,мал
143,Herde::N,കൂട്ടം,сүрг мал
144,Kuh::N,പശു,үкр
145,Bulle::N,കാള,бух
146,Pferd::N,കുതിര,мөрн
147,Schaf::N,ആട്,хөн
148,Schwein::N,പന്നി,һаха
149,Hund::N,നായ്,ноха
150,Katze::N,പൂച്ച,мис
151,Bär::N,കരടി,аю
152,Eichhörnchen::N,അണ്ണാൻ,кермн
153,Elch::N,കടമാന്,хандһа
154,Fuchs::N,കുറുക്കൻ,арат
155,Hase::N,മുയൽ,туула
156,Maus::N,ചുണ്ടലി,хулһн
157,Wolf::N,ചെന്നായ,чон
158,Vogel::N,പക്ഷി,шовун
159,Schwarm::N,കൂട്ടം,зел
160,Huhn::N,കോഴി,така
161,Hahn::N,പൂവൻകോഴി,эр така
162,Gans::N,അരയന്നം,һалун
163,Adler::N,കഴുകൻ,һәрд
164,Ente::N,താറാവ്,нуһсн
165,Eule::N,മൂങ്ങ,һурвлһ
166,Kranich::N,കൊക്ക്,тоһрун
167,Krähe::N,കാക്ക,шаазһа
168,Kuckuck::N,കുയിൽ,эргин хуцдг
169,Schwan::N,അരയന്നം,хун
170,Fisch::N,മത്സ്യം,заһсн
171,Barsch::N,ഒരിനം മത്സ്യം,шүрг
172,Hecht::N,ഒരു മത്സ്യം,цурх
173,Schlange[Tier]::N,പാമ്പ്,моһа
174,Wurm::N,വിര,өтн
175,Spinne::N,ചിലന്തി,аралҗн
176,Ameise::N,ഉറുമ്പ്,шорһлҗн
177,Laus::N,പേന്,бөөсн
178,Mücke::N,മശകം,бөкүн
179,Fliege::N,ഈച്ച,батхн
180,Schmetterling::N,ചിത്രശലഭം,эрвәкә
181,Beere::N,ബെറി,бөөлҗрһн
182,Apfel::N,ആപ്പിൾ,альмн
183,Pilz::N,കൂൺ,теңгрин ки
184,Zwiebel::N,സവാള,мәңгрснә толһа
185,Saat::N,വിത്ത്,буудян экн
186,Korn::N,ധാന്യം,экн
187,Heu::N,വയ്ക്കോൽ,өвсн
188,Schale::N,തൊലി,хальсн
189,Grube::N,കുഴി,нүкн
190,Falle::N,കെണി,урх
191,Falle::N,കെണി,хавх
192,Schlinge::N,കുടുക്ക്,бүтү
193,Spur::N,ചുവട്,мөр
194,Asche::N,ചാരം,үмсн
195,Dreck::N,അഴുക്ക്,бальчг
196,Eisen::N,ഇരുമ്പ്,төмр
197,Gold::N,സ്വർണ്ണം,алтн
198,Silber::N,വെള്ളി,мөңгн
199,Silber::N,വെള്ളി,цаһан мөңгн
200,Kohle::N,കൽക്കരി,нүүрсн
201,Glas::N,ഗ്ലാസ്,шил
202,Lehm::N,കളിമണ്ണ്,шавр
203,Sand::N,മണൽ,элсн
204,Mensch::N,മനുഷ്യർ,күн
205,Mensch::N,മനുഷ്യർ,күмн
206,Mann::N,പുരുഷൻ,эр
207,Frau::N,സ്ത്രീ,күүкд күн
208,Kind::N,കുഞ്ഞ്,үрн
209,Junge::N,ആൺകുട്ടി,көвүн
210,Mädchen::N,പെൺകുട്ടി,бичкн күүкн
211,Familie::N,കുടുംബം,бүл
212,Großvater::N,അപ്പൂപ്പൻ,өвк эцк
213,Großvater::N,അപ്പൂപ്പൻ,наһц эцк
214,Großmutter::N,അമ്മുമ്മ,эмг эк
215,Großmutter::N,അമ്മുമ്മ,наһц эк
216,Eltern::N,മാതാപിതാക്കള്,эк эцк хойр
217,Vater::N,അച്ഛൻ,эцк
218,Mutter::N,അമ്മ,эк
219,Sohn::N,മകൻ,көвүн
220,Tochter::N,മകൾ,күүкн
221,Bruder::N,ചേട്ടൻ,дү көвүн
222,Bruder::N,അനിയൻ,дү көвүн
223,Schwester::N,ചേച്ചി,эгч
224,Schwester::N,ചേച്ചി,дү күүкн
225,Schwester::N,അനിയത്തി,эгч
226,Schwester::N,അനിയത്തി,дү күүкн
227,Onkel::N,അമ്മാവൻ,авһ
228,Onkel::N,അമ്മാവൻ,наһцх
229,Tante::N,മാമി,наһц эгч
230,Ehemann::N,ഭർത്താവ്,залу
231,Ehefrau::N,ഭാര്യ,гергн
232,Freude::N,ആഹ്ലാദം,байр
233,Gelächter::N,ചിരിയുടെ ശബ്ദം,инәдн
234,Glück::N,സന്തോഷം,җирһл
235,Glück::N,സന്തോഷം,сәәхн җирһл
236,Glück::N,സന്തുഷ്ടി,җирһл
237,Glück::N,സന്തുഷ്ടി,сәәхн җирһл
238,Kummer::N,ശോകം,зовлң
239,Wunsch::N,ആഗ്രഹം,дурн
240,Lust::N,ആഗ്രഹം,җилвтлһн
241,Geist::N,ചുറുചുറുക്ക്,зөрг
242,Gedanke::N,ചിന്ത,ухан
243,Gedächtnis::N,ഓർമ്മശക്തി,чееҗин тодлвр
244,Verstand::N,മനസ്സ്,ухан
245,Sinn::N,അർത്ഥം,учр-утх
246,Grund::N,കാരണം,учр
247,Grund::N,കാരണം,шалтан
248,Wahrheit::N,സത്യം,үнн
249,Gespräch::N,സല്ലാപം,күүндвүр
250,Märchen::N,യക്ഷിക്കഥ,тууль
251,Erzählung::N,കഥ,келвр
252,Nachricht::N,സന്ദേശം,медүллһн
253,Neuigkeit::N,വാർത്ത,зәңг
254,Name::N,പേര്,нерн
255,Rätsel::N,പ്രഹേളിക,тәәлвртә тууль
256,Rede::N,സംസാരം,келлһн
257,Sprache::N,ഭാഷ,келн
258,Stimme::N,സ്വരം,дун
259,Wort::N,വാക്ക്,үг
260,Zeichen::N,സംജ്ഞ,темдг
261,Ruf::N,വിളി,дуудлһн
262,Lärm::N,ആരവം,шууган
263,Laut::N,ശബ്ദം,ә
264,Ton::N,സ്വരഭേദം,дун
265,Lied::N,പാട്ട്,дун
266,Ruhe::N,നിശ്ചലത,амулң
267,Leute::N,ജനങ്ങൾ,әмтн
268,Volk::N,രാഷ്ടം,улс
269,Arbeit::N,ജോലി,көдлмш
270,Gast::N,അതിലി,гиич
271,Geschenk::N,സമ്മാനം,белг
272,Spiel::N,കളി,наадн
273,Gesellschaft::N,കൂട്ടായ്മ,олн
274,Hilfe::N,സഹായം,нөкд
275,Freund::N,സുഹൃത്ത്,иньг
276,Kamerad::N,കൂട്ടാളി,үр
277,Angelegenheit::N,കാര്യം,керг
278,Anzahl::N,എണ്ണം,то
279,Art::N,തരം,зүүл
280,Stück::N,കഷണം,хусг
281,Teil::N,ഭാഗം,хүв
282,Hälfte::N,പകുതി,өрәл
283,Kreis::N,വൃത്തം,төгрг
284,Kreuz::N,കുരിശടയാളം,кирс
285,Linie::N,വര,зурасн
286,Linie::N,രേഖ,зурасн
287,Strich::N,പക്ഷാഘാതം,татасн
288,Abstand::N,വിടവ്,зә
289,Entfernung::N,അകലം,һазр
290,Gegend::N,പ്രദേശം,һазр
291,Platz::N,ഇടം,зә
292,Ort::N,സ്ഥലം,бәәрн
293,Seite::N,വശം,тал
294,Seite::N,വശം,хаҗу
295,Seite::N,വശം,хәврһ
296,Mitte::N,മധ്യസ്ഥാനം,дунд
297,Gegenstand::N,സാധനം,юмн
298,Sache::N,വസ്തു,юмн
299,Rand::N,തൊങ്ങൽ,зах
300,Kante::N,അറ്റം,ирмәг
301,Ecke::N,മൂല,өнцг
302,Spitze::N,അഗ്രം,үзүр
303,Ende::N,അവസാനം,үзүр
304,Loch::N,ദ്വാരം,хаһрха
305,Winkel::N,കോൺ,булң
306,Muster::N,ക്രമം,намч
307,Größe::N,വലുപ്പം,кемҗән
308,Länge::N,നീളം,ут
309,Höhe::N,ഉയരം,өндр
310,Gewicht::N,കട്ടി,күнд
311,Gewicht::N,കട്ടി,чиңнүр
312,Menge::N,അളവ്,ик
313,Haufen::N,കൂമ്പാരം,ова
314,Reihe::N,വരി,зерг
315,Reihe::N,വരി,зерглән
316,Boot::N,ബോട്ട്,оңһц
317,Ruder::N,പങ്കായം,хәәв
318,Schlitten::N,ഉരുളില്ലാവണ്ടി,цан
319,Ski::N,ഹിമപാദുകം,лыҗ
320,Lagerfeuer::N,തീ,костёр
321,Last::N,ഭാരം,күнд
322,Gang::N,നടത്തം,йовлһн
323,Schritt::N,ചുവട്,ишкм
324,Norden::N,വടക്ക്,ар үзг
325,Süden::N,തെക്ക്,өмн
326,Süden::N,തെക്ക്,өмн үзг
327,Westen::N,പടിഞ്ഞാറ്,барун
328,Westen::N,പടിഞ്ഞാറ്,барун үзг
329,Osten::N,കിഴക്ക്,зүн
330,Osten::N,കിഴക്ക്,зүн үзг
331,Holz::N,തടി,модн
332,Brett::N,ബോർഡ്,харһа
333,Platte::N,തകിട്,хавтха чолун
334,Stütze::N,താങ്ങ്,тулг
335,Stange::N,കമ്പ്,уньн
336,Stock::N,വടി,модн
337,Stab::N,കുറുവടി,шуург
338,Rohr::N,കുഴൽ,турва
339,Haus::N,വീട്,гер
340,Heim::N,വീട്,гер-бул
341,Ofen::N,സ്റ്റൌ,беш
342,Fußboden::N,തറ,девскр
343,Tisch::N,മേശ,ширә
344,Stuhl::N,കസേര,стул
345,Wiege::N,തൊട്ടിൽ,өлгә
346,Wiege::N,തൊട്ടിൽ,дүүҗң
347,Bett::N,കിടക്ക,орн
348,Bett::N,കിടക്ക,орндг
349,Regal::N,ഷെൽഫ്,таг
350,Regal::N,ഷെൽഫ്,тәвц
351,Kiste::N,പെട്ടി,яршг
352,Fenster::N,ജനൽ,терз
353,Tür::N,വാതിൽ,үүдн
354,Tor::N,കവാടം,үүдн
355,Tor::N,കവാടം,өргн үүдн
356,Tor::N,കവാടം,хашан үүдн
357,Zaun::N,വേലി,хаша
358,Dach::N,മേൽക്കുര,деевр
359,Leiter::N,ഏണി,шат
360,Leiter::N,ഏണി,давшур
361,Besen::N,ചൂല്,сәвүр
362,Spaten::N,തൂമ്പ,күрз
363,Schaufel::N,തൂമ്പ,совг
364,Gabel::N,മുൾക്കത്തി,серә
365,Löffel::N,സ്പൂൺ,ухр
366,Messer::N,കത്തി,утх
367,Nagel::N,ആണി,хадасн
368,Netz::N,വല,гөлм
369,Haken::N,കൊളുത്ത്,дегә
370,Griff::N,കൈപ്പിടി,иш
371,Griff::N,കൈപ്പിടി,бәрүл
372,Schloss::N,പൂട്ട്,оньс
373,Bild::N,ചിത്രം,зург
374,Figur::N,കണക്ക്,фигур
375,Puppe::N,പാവ,наадһа
376,Beutel::N,ബാഗ്,мишг
377,Bündel::N,കെട്ട്,багла
378,Bündel::N,കെട്ട്,боодһа
379,Tasche::N,ബാഗ്,сумк
380,Eimer::N,ബക്കറ്റ്,суулһ
381,Deckel::N,ഉറ,бүркәсн
382,Geschirr::N,പിഞ്ഞാണം,сав
383,Geschirr::N,പിഞ്ഞാണം,сав-сарх
384,Sack::N,ചാക്ക്,мишг
385,Tasse::N,കപ്പ്,ааһ
386,Topf::N,പാത്രം,кастрюль
387,Kessel::N,കെറ്റ്ല്,хәәсн
388,Essen::N,ആഹാരസമയം,зоогллһн
389,Nahrung::N,ഭക്ഷണം,теҗәл
390,Speise::N,ഡിഷ്,хот
391,Fleisch::N,മാംസം,махн
392,Getreide::N,ചോളം,хот болҗ эдлгддг цецгүдтә урһмл
393,Brei::N,കഞ്ഞി,хаш
394,Brot::N,റോട്ടി,өдмг
395,Scheibe::N,തുണ്ട്,зүсм
396,Fett::N,കൊഴുപ്പ്,өөкн
397,Butter::N,വെണ്ണ,тосн
398,Öl::N,എണ്ണ,тосн
399,Salz::N,ഉപ്പ്,давсн
400,Suppe::N,സൂപ്പ്,шөлн
401,Honig::N,തേൻ,бал
402,Milch::N,പാൽ,үсн
403,Tee::N,ചായ,цә
404,Leder::N,തുകൽ,арсн
405,Wolle::N,കമ്പിളി,утцн
406,Wolle::N,കമ്പിളി,эд
407,Stoff::N,തുണി,эд
408,Nadel::N,സൂചി,зүн
409,Faden::N,നൂല്,утцн
410,Knopf::N,ബട്ടൺ,товч
411,Knoten::N,കുരുക്ക്,зәңгдә
412,Farbe::N,പെയിൻറ്,будг
413,Kleidung::N,വസ്ത്രങ്ങൾ,хувцн
414,Kleidung::N,വസ്ത്രങ്ങൾ,хувц-хунр
415,Hemd::N,ഷർട്ട്,киилг
416,Kragen::N,കുപ്പായക്കഴുത്ത്,зах
417,Ärmel::N,കുപ്പായക്കൈ,ханцн
418,Hose::N,ട്രൌസർ,шалвур
419,Gürtel::N,ബെൽറ്റ്,бүс
420,Mütze::N,തൊപ്പി,махла
421,Schuh::N,ഷൂ,башмгуд
422,Stiefel::N,ബൂട്ട്,һосн
423,Ring::N,മോതിരം,билцг
424,Band::N,റിബൺ,лент
425,Kamm::N,ചീപ്പ്,сам
426,Spiegel::N,കണ്ണാടി,толь
427,Riemen::N,സ്ട്രാപ്പ്,бүс
428,Schnur::N,ചരട്,деесн
429,Leine::N,കെട്ടാനുള്ള തോൽവാർ,бурнтг
430,Leine::N,കെട്ടാനുള്ള തോൽവാർ,нохан көтлвр
431,Decke::N,പുതപ്പ്,көнҗл
432,Kissen::N,തലയിണ,дер
433,Tuch::N,സ്കാർഫ്,альчур
434,Handtuch::N,തോർത്ത്,полотенц
435,Handtuch::N,തോർത്ത്,һар-нүүрин альчур
436,Kraft::N,ശക്തി,күчн
437,Stärke::N,ശക്തി,чидл
438,Gesundheit::N,ആരോഗ്യം,эрүл-менд
439,Krankheit::N,അസുഖം,өвчн
440,Schmerz::N,വേദന,өвдлһн
441,Wunde::N,മുറിവ്,шав
442,Fieber::N,പനി,безг
443,Arznei::N,മരുന്ന്,эм
444,Brücke::N,പാലം,тагт
445,Brunnen::N,കിണർ,худг
446,Weide::N,മേച്ചൽ,малын идг
447,Pfad::N,വഴി,цувг
448,Weg::N,വഴി,хаалһ
449,Straße::N,റോഡ്,зам
450,Dorf::N,ഗ്രാമം,хотн
451,Stadt::N,നഗരം,балһсн
452,Brief::N,കത്ത്,бичг
453,Buch::N,പുസ്തകം,дегтр
454,Buchstabe::N,അക്ഷരം,үзг
455,Zeitung::N,വർത്തമാനപത്രം,газет
456,Leben::N,ജീവൻ,җирһл
457,Tod::N,മരണം,үкл
458,Tod::N,മരണം,өңгрлһн
459,Grab::N,ശവക്കുഴി,оршалһна нүкн
460,Kirche::N,പള്ളി,чонҗ
461,Sünde::N,പാപം,нүл
462,Sünde::N,പാപം,килнц
463,Gott::N,ദൈവം,бурхн
464,Arbeiter::N,ജോലിക്കാരൻ,көдлмшч
465,Chef::N,മേധാവി,толһач
466,Meister::N,യജമാനൻ,урн
467,Arzt::N,ഡോക്ടർ,эмч
468,Lehrer::N,അധ്യാപകൻ,багш
469,Geld::N,പണം,мөңгн
470,Geschäft::N,ബിസിനസ്,көдлмш
471,Laden::N,കട,лавк
472,Preis::N,വില,үн
473,Ware::N,ചരക്ക്,эд-тавр
474,Nutzen::N,ലാഭം,олз
475,Reichtum::N,ധനം,зөөр
476,Welt::N,ലോകം,орчлң
477,Welt::N,ലോകം,делкә
478,Land::N,രാജ്യം,орн-нутг
479,Staat::N,രാജ്യം,государств
480,König::N,രാജാവ്,хан
481,Macht::N,അധികാരം,йосн
482,Grenze::N,അതിർത്തി,меҗә
483,Krieg::N,യുദ്ധം,дән
484,Feind::N,ശത്രു,дәәсн
485,Gewalt::N,അക്രമം,күч һарһлһн
486,Kampf::N,പോരാട്ടം,ноолдан
487,Kampf::N,പോരാട്ടം,бәрлдлһн
488,Bogen[Waffe]::N,വില്ല്,саадг
489,Pfeil::N,അമ്പ്,сумн
490,Gewehr::N,തോക്ക്,бу
491,Fehler::N,പിശക്,алдг
492,Lüge::N,കള്ളം,худл
493,Schaden::N,കേടുപാട്,хорлт
494,Unglück::N,ദൌർഭാഗ്യം,гүрм
495,Schuld::N,തെറ്റ്,гем
496,Schuld::N,തെറ്റ്,буру
497,Alter::N,വയസ്സ്,насн
498,Schluss::N,നിഗമനം,чилгч
499,Zeit::N,സമയം,цаг
500,Tag::N,ദിവസം,өдр
501,Morgen::N,പ്രഭാതം,өрүн
502,Mittag::N,ഉച്ച,үд
503,Abend::N,സായാഹ്നം,асхн
504,Nacht::N,രാത്രി,сө
505,Woche::N,ആഴ്ച,долан хонг
506,Monat::N,മാസം,сар
507,Jahr::N,വർഷം,җил
508,Frühling::N,വസന്തം,хавр
509,Sommer::N,വേനൽ,зун
510,Herbst::N,ശരത്കാലം,намр
511,Winter::N,ശൈത്യം,үвл
512,Januar::N,ജനുവരി,январь
513,Februar::N,ഫെബ്രുവരി,февраль
514,März::N,മാർച്ച്,март
515,März::N,മാർച്ച്,моһа сар
516,April::N,ഏപ്രിൾ മാസം,апрель
517,Mai::N,മെയ് മാസം,май
518,Juni::N,ജൂൺ,июнь
519,Juni::N,ജൂൺ,мөчн сар
520,Juli::N,ജൂലൈ,июль
521,August::N,ആഗസ്റ്റ്,август
522,September::N,സെപ്തംബർ,һаха сар
523,Oktober::N,ഒക്ടോബർ,октябрь
524,November::N,നവംബർ,ноябрь
525,November::N,നവംബർ,үкр сар
526,Dezember::N,ഡിസംബർ,бар сар
527,Montag::N,തിങ്കളാഴ്ച,понедельник
528,Dienstag::N,ചൊവ്വ,вторник
529,Mittwoch::N,ബുധനാഴ്ച,среда
530,Mittwoch::N,ബുധനാഴ്ച,үлмҗ өдр
531,Donnerstag::N,വ്യാഴാഴ്ച,четверг
532,Donnerstag::N,വ്യാഴാഴ്ച,пүрвә өдр
533,Freitag::N,വെള്ളിയാഴ്ച,пятниц
534,Samstag::N,ശനിയാഴ്ച,суббот
535,Sonntag::N,ഞായറാഴ്ച,нарн өдр
536,Sonntag::N,ഞായറാഴ്ച,воскресень
537,groß::A,വലിയ,ик
538,klein::A,ചെറിയ,бичкн
539,lang::A,നീണ്ട,ут
540,kurz::A,ഹ്രസ്വമായ,оһтр
541,breit::A,വിശാലമായ,өргн
542,schmal::A,ഇടുങ്ങിയ,уутьхн
543,dicht::A,നിബിഡമായ,нигт
544,dick[Gegenstand]::A,തടിച്ച,зузан
545,dünn::A,മെലിഞ്ഞ,нимгн
546,fein::A,നേർത്ത,нәрхн
547,fest::A,ഉറപ്പുള്ള,бат
548,flach::A,പരന്ന,хавтха
549,glatt::A,മിനുസമുള്ള,тегш
550,glatt::A,മിനുസമുള്ള,тиньгр
551,hart::A,കട്ടിയുള്ള,хату
552,weich::A,മൃദുവായ,җөөлн
553,weich::A,മൃദുവായ,җөөлкн
554,rund::A,വട്ടത്തിലുള്ള,төгрг
555,spitz::A,മുനയുള്ള,шовһр
556,scharf::A,മൂർച്ചയുള്ള,хурц
557,stumpf::A,തുറന്നടിക്കുന്ന,мука
558,schwer::A,ഭാരമുള്ള,күнд
559,schön::A,മനോഹരമായ,сәәхн
560,heiß::A,ചൂടുള്ള,халун
561,warm::A,ചൂടുള്ള,дулан
562,kalt::A,തണുത്ത,киитн
563,kühl::A,തണുപ്പുള്ള,серүн
564,frisch::A,ശുദ്ധമായ,серүн
565,feucht::A,ഈറനുള്ള,чиигтә
566,nass::A,നനഞ്ഞ,чиигтә
567,trocken::A,വരണ്ട,хагсу
568,voll::A,നിറയെ,дүүрң
569,leer::A,ഒഴിഞ്ഞ,сул
570,leer::A,ഒഴിഞ്ഞ,хоосн
571,offen::A,തുറന്ന,секәтә
572,geschlossen::A,അടച്ച,хаалһата
573,sauber::A,വൃത്തിയുള്ള,цевр
574,schmutzig::A,അഴുക്കുനിറഞ്ഞ,киртә
575,roh::A,അസംസ്കൃതമായ,түүкә
576,reif::A,പഴുത്ത,болсн
577,lecker::A,രുചികരമായ,әмтәхн
578,süß::A,മധുരമുള്ള,әмтәхн
579,bitter::A,കടുത്ത,һашун
580,bitter::A,കടുത്ത,һашута
581,sauer::A,പുളിപ്പുള്ള,ишклң
582,hell::A,ജ്വലിക്കുന്ന,герлтә
583,dunkel::A,ഇരുണ്ട,харңһу
584,schwarz::A,കറുത്ത,хар
585,weiß::A,വെളുത്ത,цаһан
586,rot::A,ചുവന്ന,улан
587,gelb::A,മഞ്ഞനിറമായ,шар
588,blau::A,നീലനിറമുള്ള,көк
589,grün::A,പച്ചനിറമുള്ള,көк
590,grau::A,ചാരനിറത്തിലുള്ള,бор
591,bunt::A,വർണ്ണശബളമായ,алг
592,bunt::A,വർണ്ണശബളമായ,эрәтә
593,billig::A,വിലകുറഞ്ഞ,кимд
594,teuer::A,ചെലവേറിയ,үнтә
595,wertvoll::A,വിലപിടിപ്പുള്ള,үнтә
596,wertvoll::A,വിലപിടിപ്പുള്ള,эрднь
597,blind::A,അന്ധനായ,сохр
598,taub::A,കേൾവിക്കുറവുള്ള,дүлә
599,kräftig::A,ശക്തിയുള്ള,күчтә
600,stark::A,ബലമുള്ള,чаңһ
601,schwach::A,ക്ഷീണിച്ച,күчн тату
602,fett::A,കൊഴുപ്പുള്ള,тарһн
603,schlank::A,മെലിഞ്ഞ,эццн
604,hübsch::A,മനോഹരമായ,көркхн
605,böse::A,പാപിയായ,уурта
606,dumm::A,വിവരംകെട്ട,тенг
607,faul::A,അലസനായ,залху
608,fleißig::A,അദ്ധ്വാനശീലമുള്ള,кинән
609,fleißig::A,അദ്ധ്വാനശീലമുള്ള,кинмһә
610,geizig::A,പിശുക്കനായ,ховдг
611,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,ухата
612,geschickt::A,പ്രതിഭാശാലി,чадмг
613,lieb::A,പ്രിയപ്പെട്ട,эңкр
614,lustig::A,ആനന്ദകരമായ,сергмҗтә
615,lustig::A,ആനന്ദകരമായ,җирһлтә
616,sanft::A,സൌമ്യമായ,номһн
617,hungrig::A,വിശപ്പുള്ള,өлн
618,hungrig::A,വിശപ്പുള്ള,харһнсн
619,krank::A,അസുഖമുള്ള,өвчтә
620,krank::A,അസുഖമുള്ള,шалтгта
