,Concept_ID,et,ro
105,Donner::N,kõu,tunet
106,Donner::N,müristamine,tunet
107,Strömung::N,voolus,curent
108,Strömung::N,jõevool,curent
109,Tropfen::N,tilk,picătură
110,Schaum::N,vaht,spumă
111,Schmutz::N,pori,murdărie
112,Schmutz::N,mustus,murdărie
113,See::N,järv,lac
114,Sumpf::N,soo,mlaștină
115,Moor::N,raba,bărăgan
116,Wiese::N,aas,fânaț
117,Wiese::N,aas,livadă
118,Wiese::N,nurm,fânaț
119,Wiese::N,nurm,livadă
120,Wald::N,mets,codru
121,Wald::N,mets,pădure
122,Hügel::N,küngas,deal
123,Hügel::N,küngas,movilă
124,Anhöhe::N,küngas,deal
125,Anhöhe::N,küngas,ridicătură
126,Berg::N,mägi,munte
127,Gipfel::N,mäetipp,pisc
128,Höhle::N,koobas,peșteră
129,Abhang::N,nõlvak,pantă
130,Abhang::N,nõlvak,versant
131,Quelle::N,allikas,izvor
132,Bach::N,oja,gârlă
133,Fluss::N,jõgi,râu
134,Fluss::N,jõgi,fluviu
135,Ufer::N,kallas,mal
136,Ufer::N,kallas,țărm
137,Küste::N,rannik,coastă
138,Festland::N,mander,uscat
139,Festland::N,maismaa,uscat
140,Meer::N,meri,mare
141,Bucht::N,laht,golf
142,Insel::N,saar,insulă
143,Blume::N,lill,floare
144,Gras::N,rohi,iarbă
145,Wurzel::N,juur,rădăcină
146,Baum::N,puu,copac
147,Baum::N,puu,arbore
148,Stamm::N,tüvi,tulpină
149,Rinde::N,koor,scoarță
150,Ast::N,oks,cracă
151,Ast::N,oks,creangă
152,Zweig::N,oks,ramură
153,Zweig::N,oks,creangă
154,Blatt::N,leht,frunză
155,Birke::N,kask,mesteacăn
156,Kiefer[Baum]::N,mänd,pin
157,Weide[Baum]::N,paju,salcie
158,Weide[Baum]::N,paju,răchită
159,Tanne::N,nulg,brad
160,Horn::N,sarv,corn
161,Feder::N,sulg,pană
162,Fell::N,karvkate,piele
163,Fell::N,karusnahk,piele
164,Flügel::N,tiib,aripă
165,Flügel::N,tiivik,aripă
166,Klaue::N,küüs,gheară
167,Kralle::N,küünis,labă
168,Kralle::N,küünis,gheară
169,Schwanz::N,saba,coadă
170,Ei::N,muna,ou
171,Nest::N,pesa,cuib
172,Bau::N,urg,bârlog
173,Bau::N,urg,vizuină
174,Tier::N,loom,animal
175,Herde::N,kari,turmă
176,Herde::N,kari,cireadă
177,Kuh::N,lehm,vacă
178,Bulle::N,pull,taur
179,Pferd::N,hobune,cal
180,Schaf::N,lammas,oaie
181,Schwein::N,siga,porc
182,Hund::N,koer,câine
183,Katze::N,kass,pisică
184,Bär::N,karu,urs
185,Eichhörnchen::N,orav,veveriță
186,Elch::N,põder,elan
187,Fuchs::N,rebane,vulpe
188,Hase::N,jänes,iepure
189,Maus::N,hiir,șoarece
190,Wolf::N,hunt,lup
191,Vogel::N,lind,pasăre
192,Schwarm::N,parv,cârd
193,Huhn::N,kana,găină
194,Hahn::N,kukk,cocoș
195,Gans::N,hani,gâscă
196,Adler::N,kotkas,vultur
197,Ente::N,part,rață
198,Eule::N,kakk,bufniță
199,Eule::N,öökull,bufniță
200,Kranich::N,kurg,cocor
201,Krähe::N,vares,cioară
202,Kuckuck::N,kägu,cuc
203,Schwan::N,luik,lebădă
204,Fisch::N,kala,pește
205,Barsch::N,ahven,biban
206,Hecht::N,haug,știucă
207,Schlange[Tier]::N,uss,șarpe
208,Wurm::N,uss,vierme
209,Wurm::N,vagel,vierme
210,Spinne::N,ämblik,păianjen
211,Ameise::N,sipelgas,furnică
212,Laus::N,täi,păduche
213,Mücke::N,sääsk,țânțar
214,Fliege::N,kärbes,muscă
215,Schmetterling::N,liblikas,fluture
216,Beere::N,mari,boabă
217,Apfel::N,õun,măr
218,Pilz::N,seen,burete
219,Pilz::N,seen,ciupercă
220,Zwiebel::N,sibul,ceapă
221,Saat::N,seeme,semănătură
222,Korn::N,iva,grâu
223,Korn::N,tera,grâu
224,Heu::N,hein,fân
225,Schale::N,koor,coajă
226,Grube::N,kaevand,groapă
227,Falle::N,lõks,cursă
228,Falle::N,lõks,capcană
229,Falle::N,püünis,cursă
230,Falle::N,püünis,capcană
231,Schlinge::N,aas,laț
232,Spur::N,jälg,dâră
233,Asche::N,tuhk,cenușă
234,Dreck::N,saast,noroi
235,Dreck::N,saast,murdărie
236,Dreck::N,mustus,noroi
237,Dreck::N,mustus,murdărie
238,Eisen::N,raud,fier
239,Gold::N,kuld,aur
240,Silber::N,hõbe,argint
241,Kohle::N,süsi,cărbune
242,Glas::N,klaas,sticlă
243,Lehm::N,savi,lut
244,Lehm::N,savi,humă
245,Sand::N,liiv,nisip
246,Mensch::N,inimene,om
247,Mensch::N,inimene,persoană
248,Mann::N,mees,om
249,Mann::N,mees,bărbat
250,Frau::N,naine,femeie
251,Kind::N,laps,copil
252,Junge::N,poiss,băiat
253,Junge::N,poiss,flăcău
254,Mädchen::N,tüdruk,fată
255,Familie::N,perekond,familie
256,Großvater::N,vanaisa,bunic
257,Großvater::N,vanaisa,tată mare
258,Großmutter::N,vanaema,bunică
259,Großmutter::N,vanaema,mamă mare
260,Eltern::N,vanemad,părinți
261,Vater::N,isa,tată
262,Vater::N,isa,părinte
263,Mutter::N,ema,mamă
264,Sohn::N,poeg,fiu
265,Sohn::N,poeg,fecior
266,Tochter::N,tütar,fiică
267,Bruder::N,vend,frate
268,Schwester::N,õde,soră
269,Onkel::N,onu,unchi
270,Tante::N,tädi,mătușă
271,Ehemann::N,mees,soț
272,Ehemann::N,mees,bărbat
273,Ehemann::N,abikaasa,soț
274,Ehemann::N,abikaasa,bărbat
275,Ehefrau::N,naine,soție
276,Ehefrau::N,abikaasa,soție
277,Freude::N,rõõm,bucurie
278,Gelächter::N,naer,râset
279,Glück::N,õnn,fericire
280,Kummer::N,mure,mâhnire
281,Kummer::N,kurbus,mâhnire
282,Wunsch::N,soov,dorință
283,Wunsch::N,soov,deziderat
284,Lust::N,himu,poftă
285,Lust::N,himu,înclinare
286,Geist::N,vaim,duh
287,Geist::N,vaim,minte
288,Geist::N,vaim,suflet
289,Gedanke::N,mõte,gând
290,Gedanke::N,mõte,cuget
291,Gedächtnis::N,mälu,memorie
292,Verstand::N,aru,minte
293,Verstand::N,aru,intelect
294,Verstand::N,mõistus,minte
295,Verstand::N,mõistus,intelect
296,Sinn::N,tähendus,sens
297,Sinn::N,tähendus,înțeles
298,Grund::N,põhjus,cauză
299,Grund::N,põhjus,pricină
300,Wahrheit::N,tõde,adevăr
301,Gespräch::N,kõne,convorbire
302,Gespräch::N,kõne,conversație
303,Gespräch::N,vestlus,convorbire
304,Gespräch::N,vestlus,conversație
305,Märchen::N,muinasjutt,basm
306,Märchen::N,muinasjutt,poveste
307,Erzählung::N,jutustus,poveste
308,Nachricht::N,teade,veste
309,Neuigkeit::N,uudis,noutate
310,Neuigkeit::N,uudis,actualitate
311,Name::N,nimi,nume
312,Rätsel::N,mõistatus,ghicitoare
313,Rede::N,kõne,discurs
314,Sprache::N,keel,limbă
315,Sprache::N,keel,limbaj
316,Stimme::N,hääl,glas
317,Wort::N,sõna,cuvânt
318,Zeichen::N,märk,semn
319,Zeichen::N,märk,semnal
320,Ruf::N,hüüe,chemare
321,Lärm::N,müra,zgomot
322,Lärm::N,müra,tărăboi
323,Laut::N,hääl,sunet
324,Ton::N,toon,ton
325,Lied::N,laul,cântec
326,Ruhe::N,rahu,odihnă
327,Ruhe::N,rahu,liniște
328,Ruhe::N,vaikus,odihnă
329,Ruhe::N,vaikus,liniște
330,Leute::N,inimesed,lume
331,Leute::N,inimesed,oameni
332,Volk::N,rahvas,popor
333,Volk::N,rahvas,națiune
334,Arbeit::N,töö,lucru
335,Gast::N,külaline,musafir
336,Geschenk::N,kingitus,dar
337,Geschenk::N,kingitus,cadou
338,Spiel::N,mäng,joc
339,Gesellschaft::N,selts,societate
340,Hilfe::N,abi,ajutor
341,Freund::N,sõber,amic
342,Freund::N,sõber,prieten
343,Kamerad::N,sõber,tovarăș
344,Angelegenheit::N,asi,afacere
345,Anzahl::N,arv,număr
346,Anzahl::N,arv,cantitate
347,Anzahl::N,hulk,număr
348,Anzahl::N,hulk,cantitate
349,Art::N,liik,fel
350,Art::N,liik,specie
351,Stück::N,tükk,bucată
352,Teil::N,osa,parte
353,Teil::N,osa,porție
354,Hälfte::N,pool,jumătate
355,Kreis::N,ring,cerc
356,Kreuz::N,rist,cruce
357,Linie::N,joon,linie
358,Strich::N,joon,linie
359,Strich::N,joon,trăsătură
360,Abstand::N,vahe,distanță
361,Abstand::N,vahe,depărtare
362,Entfernung::N,kaugus,distanță
363,Entfernung::N,kaugus,depărtare
364,Entfernung::N,vahemaa,distanță
365,Entfernung::N,vahemaa,depărtare
366,Gegend::N,ümbrus,regiune
367,Platz::N,ruum,loc
368,Ort::N,paik,loc
369,Seite::N,pool,latură
370,Mitte::N,keskpaik,centru
371,Gegenstand::N,ese,obiect
372,Sache::N,ese,lucru
373,Sache::N,ese,chestie
374,Rand::N,äär,bordură
375,Rand::N,serv,bordură
376,Kante::N,kant,muchie
377,Kante::N,kant,bordură
378,Ecke::N,nurk,colț
379,Spitze::N,teravik,vârf
380,Spitze::N,teravik,creștet
381,Ende::N,ots,capăt
382,Ende::N,jupp,capăt
383,Loch::N,auk,gaură
384,Winkel::N,nurk,colț
385,Muster::N,muster,desen
386,Größe::N,suurus,mărime
387,Länge::N,pikkus,lungime
388,Höhe::N,kõrgus,înălțime
389,Gewicht::N,kaal,greutate
390,Gewicht::N,raskus,greutate
391,Menge::N,arv,cantitate
392,Menge::N,hulk,cantitate
393,Haufen::N,hunnik,grămadă
394,Reihe::N,rivi,șir
395,Reihe::N,rivi,rând
396,Boot::N,paat,barcă
397,Boot::N,paat,luntre
398,Ruder::N,aer,vâslă
399,Ruder::N,aer,lopată
400,Schlitten::N,saan,sanie
401,Ski::N,suusk,schi
402,Lagerfeuer::N,lõke,foc de tabără
403,Last::N,koorem,povară
404,Last::N,koorem,sarcină
405,Gang::N,käik,mers
406,Gang::N,käik,umblet
407,Schritt::N,samm,pas
408,Norden::N,põhi,nord
409,Norden::N,põhi,miazănoapte
410,Süden::N,lõuna,sud
411,Süden::N,lõuna,miazăzi
412,Westen::N,lääs,apus
413,Osten::N,ida,est
414,Osten::N,ida,răsărit
415,Holz::N,puu,lemn
416,Brett::N,saelaud,scândură
417,Platte::N,plaat,placă
418,Stütze::N,tugi,proptea
419,Stange::N,latt,bară
420,Stange::N,latt,prăjină
421,Stange::N,teivas,bară
422,Stange::N,teivas,prăjină
423,Stock::N,kepp,băț
424,Stock::N,kepp,baston
425,Stab::N,varras,baston
426,Stab::N,varras,prăjină
427,Rohr::N,toru,tub
428,Rohr::N,toru,țeavă
429,Haus::N,maja,casă
430,Heim::N,kodu,casă
431,Heim::N,kodu,cămin
432,Ofen::N,ahi,sobă
433,Fußboden::N,põrand,podea
434,Fußboden::N,põrand,dușumea
435,Tisch::N,laud,masă
436,Stuhl::N,tool,scaun
437,Wiege::N,häll,leagăn
438,Wiege::N,kätki,leagăn
439,Bett::N,voodi,pat
440,Regal::N,riiul,rafturi
441,Kiste::N,kast,ladă
442,Kiste::N,kast,cutie
443,Fenster::N,aken,fereastră
444,Tür::N,uks,ușă
445,Tor::N,värav,poartă
446,Zaun::N,aed,gard
447,Zaun::N,tara,gard
448,Dach::N,katus,acoperiș
449,Leiter::N,redel,scară
450,Besen::N,luud,mătură
451,Spaten::N,labidas,cazma
452,Spaten::N,labidas,hârleț
453,Schaufel::N,kühvel,lopată
454,Gabel::N,kahvel,furculiță
455,Löffel::N,lusikas,lingură
456,Messer::N,nuga,cuțit
457,Nagel::N,nael,cui
458,Netz::N,võrk,plasă
459,Haken::N,haak,cârlig
460,Haken::N,konks,cârlig
461,Griff::N,sang,mâner
462,Griff::N,käepide,mâner
463,Schloss::N,lukk,lacăt
464,Bild::N,pilt,tablou
465,Bild::N,pilt,imagine
466,Figur::N,kuju,chip
467,Figur::N,kuju,figură
468,Figur::N,kujund,chip
469,Figur::N,kujund,figură
470,Puppe::N,nukk,păpușă
471,Beutel::N,paun,pungă
472,Beutel::N,paun,săculeț
473,Bündel::N,kimp,mănunchi
474,Tasche::N,kott,geantă
475,Eimer::N,pang,găleată
476,Eimer::N,ämber,găleată
477,Deckel::N,kaas,capac
478,Geschirr::N,nõud,vase
479,Geschirr::N,nõud,tacâmuri
480,Sack::N,kott,sac
481,Tasse::N,tass,ceașcă
482,Topf::N,pada,oală
483,Kessel::N,pada,cazan
484,Kessel::N,pada,căldare
485,Essen::N,söök,mâncare
486,Nahrung::N,toit,hrană
487,Nahrung::N,toit,aliment
488,Speise::N,roog,bucate
489,Speise::N,roog,fel de bucate
490,Fleisch::N,liha,carne
491,Getreide::N,teravili,cereale
492,Brei::N,puder,pireu
493,Brot::N,sai,pâine
494,Brot::N,leib,pâine
495,Scheibe::N,viil,felie
496,Scheibe::N,viil,bucată
497,Scheibe::N,viilukas,felie
498,Scheibe::N,viilukas,bucată
499,Fett::N,rasv,untură
500,Fett::N,rasv,grăsime
501,Butter::N,või,unt
502,Öl::N,õli,ulei
503,Salz::N,sool,sare
504,Suppe::N,supp,supă
505,Suppe::N,supp,ciorbă
506,Honig::N,mesi,miere
507,Milch::N,piim,lapte
508,Tee::N,tee,ceai
509,Leder::N,nahk,piele
510,Wolle::N,vill,lână
511,Stoff::N,kangas,stofă
512,Nadel::N,nõel,ac
513,Faden::N,niit,ață
514,Knopf::N,nööp,buton
515,Knoten::N,sõlm,nod
516,Farbe::N,värv,vopsea
517,Kleidung::N,riided,haine
518,Kleidung::N,riided,îmbrăcăminte
519,Kleidung::N,riietus,haine
520,Kleidung::N,riietus,îmbrăcăminte
521,Hemd::N,särk,cămașă
522,Kragen::N,krae,guler
523,Ärmel::N,varrukas,mânecă
524,Hose::N,püksid,pantaloni
525,Gürtel::N,vöö,cordon
526,Mütze::N,müts,șapcă
527,Schuh::N,king,gheată
528,Stiefel::N,saabas,cizmă
529,Ring::N,sõrmus,inel
530,Ring::N,sõrmus,verigă
531,Band::N,lint,panglică
532,Band::N,lint,șiret
533,Kamm::N,kamm,pieptene
534,Spiegel::N,peegel,oglindă
535,Riemen::N,rihm,curea
536,Schnur::N,nöör,funie
537,Schnur::N,nöör,sfoară
538,Leine::N,jalutusrihm,lesă
539,Leine::N,jalutusrihm,curea
540,Decke::N,tekk,pătură
541,Kissen::N,padi,pernă
542,Tuch::N,kalev,batic
543,Handtuch::N,käterätik,prosop
544,Handtuch::N,käterätik,ștergar
545,Kraft::N,jõud,forță
546,Kraft::N,jõud,putere
547,Stärke::N,tugevus,tărie
548,Stärke::N,tugevus,vigoare
549,Gesundheit::N,tervis,sănătate
550,Krankheit::N,haigus,boală
551,Krankheit::N,haigus,maladie
552,Schmerz::N,valu,durere
553,Wunde::N,haav,rană
554,Fieber::N,palavik,febră
555,Arznei::N,ravim,leac
556,Arznei::N,ravim,medicament
557,Brücke::N,sild,pod
558,Brücke::N,sild,punte
559,Brunnen::N,kaev,puț
560,Weide::N,karjamaa,izlaz
561,Weide::N,karjamaa,pășune
562,Pfad::N,rada,cărare
563,Weg::N,tee,drum
564,Straße::N,tee,cale
565,Straße::N,tee,stradă
566,Dorf::N,küla,sat
567,Stadt::N,linn,oraș
568,Brief::N,kiri,scrisoare
569,Buch::N,raamat,carte
570,Buchstabe::N,täht,literă
571,Buchstabe::N,täht,caracter
572,Zeitung::N,ajaleht,ziar
573,Zeitung::N,ajaleht,gazetă
574,Leben::N,elu,viață
575,Tod::N,surm,moarte
576,Grab::N,haud,groapă
577,Grab::N,haud,mormânt
578,Kirche::N,kirik,biserică
579,Sünde::N,patt,păcat
580,Gott::N,jumal,zeu
581,Arbeiter::N,tööline,muncitor
582,Chef::N,ülemus,șef
583,Chef::N,juhataja,șef
584,Meister::N,meister,meșter
585,Meister::N,meister,maestru
586,Arzt::N,arst,medic
587,Arzt::N,arst,doctor
588,Lehrer::N,õpetaja,profesor
589,Lehrer::N,õpetaja,învățător
590,Geld::N,raha,bani
591,Geld::N,raha,parale
592,Geschäft::N,äri,treabă
593,Geschäft::N,äri,afacere
594,Laden::N,pood,magazin
595,Laden::N,pood,prăvălie
596,Laden::N,kauplus,magazin
597,Laden::N,kauplus,prăvălie
598,Preis::N,hind,preț
599,Ware::N,kaup,marfă
600,Nutzen::N,tulu,folos
601,Nutzen::N,tulu,profit
602,Nutzen::N,kasulikkus,folos
603,Nutzen::N,kasulikkus,profit
604,Reichtum::N,rikkus,avuție
605,Reichtum::N,rikkus,bogăție
606,Welt::N,maailm,lume
607,Land::N,maa,țară
608,Staat::N,riik,stat
609,König::N,kuningas,rege
610,Macht::N,võim,putere
611,Macht::N,võim,putință
612,Grenze::N,piir,hotar
613,Grenze::N,piir,graniță
614,Grenze::N,piir,frontieră
615,Krieg::N,sõda,război
616,Feind::N,vaenlane,dușman
617,Gewalt::N,väevõim,violență
618,Kampf::N,võitlus,luptă
619,Bogen[Waffe]::N,vibu,arc
620,Pfeil::N,nool,săgeată
621,Gewehr::N,püss,armă
622,Gewehr::N,püss,pușcă
623,Fehler::N,viga,eroare
624,Fehler::N,viga,greșeală
625,Lüge::N,vale,minciună
626,Schaden::N,kahju,daună
627,Schaden::N,kahju,pagubă
628,Unglück::N,häda,nenorocire
629,Unglück::N,õnnetus,nenorocire
630,Schuld::N,süü,vină
631,Alter::N,iga,etate
632,Alter::N,iga,vârstă
633,Schluss::N,lõpp,sfârșit
634,Zeit::N,aeg,timp
635,Zeit::N,aeg,vreme
636,Tag::N,päev,zi
637,Morgen::N,hommik,dimineață
638,Mittag::N,lõuna,prânz
639,Mittag::N,lõuna,amiază
640,Mittag::N,keskpäev,prânz
641,Mittag::N,keskpäev,amiază
642,Abend::N,õhtu,seară
643,Nacht::N,öö,noapte
644,Woche::N,nädal,săptămână
645,Monat::N,kuu,lună
646,Jahr::N,aasta,an
647,Frühling::N,kevad,primăvară
648,Sommer::N,suvi,vară
649,Herbst::N,sügis,toamnă
650,Winter::N,talv,iarnă
651,Januar::N,jaanuar,ianuarie
652,Februar::N,veebruar,februarie
653,März::N,märts,martie
654,April::N,aprill,aprilie
655,Mai::N,mai,mai
656,Juni::N,juuni,iunie
657,Juli::N,juuli,iulie
658,August::N,august,august
659,September::N,september,septembrie
660,Oktober::N,oktoober,octombrie
661,November::N,november,noiembrie
662,Dezember::N,detsember,decembrie
663,Montag::N,esmaspäev,luni
664,Dienstag::N,teisipäev,marți
665,Mittwoch::N,kesknädal,miercuri
666,Donnerstag::N,neljapäev,joi
667,Freitag::N,reede,vineri
668,Samstag::N,laupäev,sâmbătă
669,Sonntag::N,pühapäev,duminică
670,groß::A,suur,mare
671,klein::A,väike,mic
672,klein::A,pisike,mic
673,lang::A,pikk,lung
674,kurz::A,lühike,scurt
675,breit::A,lai,lat
676,breit::A,lai,larg
677,schmal::A,kitsas,strâmt
678,dicht::A,tihe,des
679,dick[Gegenstand]::A,jäme,gros
680,dünn::A,õhuke,subțire
681,dünn::A,peenike,subțire
682,fein::A,peen,fin
683,fein::A,peen,subțire
684,fein::A,õhuke,fin
685,fein::A,õhuke,subțire
686,fest::A,püsiv,tare
687,fest::A,püsiv,solid
688,fest::A,kindel,tare
689,fest::A,kindel,solid
690,flach::A,lame,șes
691,flach::A,lame,plan
692,flach::A,tasane,șes
693,flach::A,tasane,plan
694,glatt::A,sile,lins
695,hart::A,kõva,dur
696,weich::A,pehme,moale
697,rund::A,ümar,rotund
698,rund::A,ümar,circular
699,spitz::A,torkav,ascuțit
700,scharf::A,terav,tăios
701,scharf::A,terav,ascuțit
702,stumpf::A,nüri,tocit
703,schwer::A,raske,greu
704,schön::A,kena,frumos
705,heiß::A,kuum,cald
706,heiß::A,kuum,fierbinte
707,heiß::A,palav,cald
708,heiß::A,palav,fierbinte
709,warm::A,soe,cald
710,warm::A,soe,fierbinte
711,kalt::A,külm,rece
712,kühl::A,jahe,rece
713,kühl::A,jahe,răcoros
714,frisch::A,värske,răcoros
715,frisch::A,värske,proaspăt
716,feucht::A,niiske,umed
717,feucht::A,niiske,jilav
718,nass::A,märg,ud
719,trocken::A,kuiv,sec
720,trocken::A,kuiv,uscat
721,voll::A,täis,plin
722,leer::A,tühi,gol
723,offen::A,avatud,deschis
724,offen::A,lahtine,deschis
725,geschlossen::A,suletud,închis
726,sauber::A,puhas,curat
727,schmutzig::A,räpane,murdar
728,schmutzig::A,määrdunud,murdar
729,roh::A,toores,crud
730,reif::A,küps,copt
731,lecker::A,hõrk,gustos
732,lecker::A,maitsev,gustos
733,süß::A,magus,dulce
734,bitter::A,mõru,amar
735,sauer::A,hapu,acru
736,hell::A,hele,clar
737,hell::A,hele,luminos
738,dunkel::A,pime,obscur
739,dunkel::A,pime,întunecos
740,schwarz::A,must,negru
741,weiß::A,valge,alb
742,rot::A,punane,roșu
743,gelb::A,kollane,galben
744,blau::A,sinine,albastru
745,grün::A,roheline,verde
746,grau::A,hall,gri
747,grau::A,hall,cenușiu
748,bunt::A,kirju,colorat
749,bunt::A,värviline,colorat
750,billig::A,odav,ieftin
751,teuer::A,kallis,scump
752,wertvoll::A,väärtuslik,prețios
753,blind::A,pime,orb
754,taub::A,kurt,surd
755,kräftig::A,jõuline,tare
756,kräftig::A,jõuline,forte
757,kräftig::A,jõuline,robust
758,stark::A,tugev,viguros
759,stark::A,tugev,puternic
760,schwach::A,nõrk,slab
761,schwach::A,nõrk,debil
762,schwach::A,jõuetu,slab
763,schwach::A,jõuetu,debil
764,fett::A,rasvane,gras
765,schlank::A,sale,zvelt
766,hübsch::A,kena,drăguț
767,böse::A,tige,rău
768,böse::A,tige,răutăcios
769,dumm::A,juhm,nerod
770,dumm::A,juhm,tâmpit
771,dumm::A,rumal,nerod
772,dumm::A,rumal,tâmpit
773,faul::A,laisk,leneș
774,fleißig::A,virk,harnic
775,fleißig::A,virk,sârguincios
776,fleißig::A,hoolas,harnic
777,fleißig::A,hoolas,sârguincios
778,geizig::A,ihne,calic
779,geizig::A,ihne,zgârcit
780,klug::A,tark,isteț
781,klug::A,tark,deștept
782,klug::A,arukas,isteț
783,klug::A,arukas,deștept
784,klug::A,mõistlik,isteț
785,klug::A,mõistlik,deștept
786,geschickt::A,osav,dibaci
787,lieb::A,armas,drag
788,lieb::A,armas,iubit
789,lustig::A,lõbus,vesel
790,sanft::A,õrn,blând
791,sanft::A,õrn,blajin
792,hungrig::A,näljane,flămând
793,krank::A,haige,bolnav
794,nackt::A,alasti,gol
795,traurig::A,kurb,trist
796,traurig::A,kurb,mâhnit
797,lebendig::A,elus,viu
798,gut::A,hea,bun
799,schlecht::A,halb,rău
800,schlecht::A,halb,prost
801,richtig::A,õige,drept
802,richtig::A,õige,corect
803,schlimm::A,paha,rău
804,wahr::A,tõene,adevărat
805,alt::A,vana,uzat
806,alt::A,vana,vechi
807,neu::A,uus,nou
808,ehemalig::A,endine,fost
809,ehemalig::A,endine,anterior
810,alt[Lebewesen]::A,vana,bătrîn
811,jung::A,noor,tânăr
812,arm::A,vaene,sărac
813,arm::A,vaene,sărman
814,reich::A,rikas,avut
815,reich::A,rikas,bogat
816,bekannt::A,teada,cunoscut
817,bekannt::A,tuttav,cunoscut
818,berühmt::A,tuntud,renumit
819,fremd::A,võõras,străin
820,verschieden::A,erinev,diferit
821,verschieden::A,erinev,deosebit
822,nah::A,lähedane,apropiat
823,fern::A,kauge,departe
824,linker::A,vasak,stâng
825,rechter::A,parem,drept
826,anderer::A,muu,alt
827,anderer::A,teine,alt
828,erster::A,esimene,prim
829,zweiter::A,teine,al doilea
830,dritter::A,kolmas,treilea
831,letzter::A,viimane,final
832,allein::ADV,üksi,singur
833,auf einmal::ADV,korraga,dintrodată
834,auf einmal::ADV,ühekorraga,dintrodată
835,zusammen::ADV,koos,împreună
836,zusammen::ADV,üheskoos,împreună
837,lange::ADV,kaua,îndelung
838,lange::ADV,kaua,mult timp
839,plötzlich::ADV,äkki,deodată
840,plötzlich::ADV,äkki,pe neașteptate
841,plötzlich::ADV,järsku,deodată
842,plötzlich::ADV,järsku,pe neașteptate
843,sofort::ADV,kohe,imediat
844,sofort::ADV,kohe,numaidecît
845,später::ADV,hiljem,mai apoi
846,später::ADV,hiljem,mai târziu
