,Concept_ID,lt,cv
57,Hunger::N,alkis,выҫлӑх
58,Träne::N,ašara,куҫҫуль
59,Geschmack::N,skonis,техӗм
60,Geruch::N,kvapas,шӑршӑ
61,Schlaf::N,miegas,ыйхӑ
62,Traum::N,sapnas,тӗлӗк
63,Himmel::N,dangus,пӗлӗт
64,Sonne::N,saulė,хӗвел
65,Mond::N,mėnulis,уйӑх
66,Stern::N,žvaigždė,ҫӑлтӑр
67,Luft::N,oras,сывлӑш
68,Wind::N,vėjas,ҫил
69,Welle::N,banga,хум
70,Welle::N,vilnis,хум
71,Wasser::N,vanduo,шыв
72,Wasser::N,vanduo,шыв-шур
73,Stein::N,akmuo,чул
74,Boden::N,žemė,тӑпра
75,Boden::N,dugnas,тӑпра
76,Erde::N,žemė,ҫӗр
77,Staub::N,dulkės,тусан
78,Rauch::N,dūmai,тӗтӗм
79,Funke::N,kibirkštis,хӗм
80,Feuer::N,ugnis,вут
81,Feuer::N,ugnis,ҫулӑм
82,Licht::N,šviesa,ҫутӑ
83,Schatten::N,paūksmė,сулхӑн
84,Wetter::N,oras,ҫанталӑк
85,Nebel::N,migla,тӗтре
86,Nebel::N,rūkas,тӗтре
87,Wolke::N,debesis,пӗлӗт
88,Regen::N,lietus,ҫумӑр
89,Schnee::N,sniegas,юр
90,Eis::N,ledas,пӑр
91,Frost::N,šalna,сивӗ
92,Kälte::N,šaltis,сивӗ
93,Hitze::N,karštis,вӗри
94,Hitze::N,karštis,шӑрӑх
95,Raureif::N,šerkšnas,пас
96,Regenbogen::N,vaivorykštė,асамат кӗперӗ
97,Donner::N,perkūnas,аслати
98,Donner::N,griaustinis,аслати
99,Strömung::N,tėkmė,юхӑ
100,Tropfen::N,lašas,тумлам
101,Schaum::N,putos,кӑпӑк
102,Schmutz::N,purvas,пылчӑк
103,See::N,ežeras,кӳлӗ
104,Sumpf::N,klampynė,шур
105,Sumpf::N,klampynė,шурлӑх
106,Sumpf::N,liūnas,шур
107,Sumpf::N,liūnas,шурлӑх
108,Moor::N,pelkė,торфлӑ шурлӑх
109,Wiese::N,pieva,улӑх
110,Wiese::N,pieva,ҫаран
111,Wald::N,miškas,вӑрман
112,Hügel::N,kalva,сӑрт
113,Hügel::N,kalva,тӗмеске
114,Anhöhe::N,kauburys,сӑрт
115,Berg::N,kalnas,ту
116,Gipfel::N,viršūnė,тӳпе
117,Höhle::N,ola,ҫӗр хӑвӑлӗ
118,Abhang::N,šlaitas,тӑвайкки
119,Abhang::N,nuokalnė,тӑвайкки
120,Quelle::N,versmė,ҫӑл куҫ
121,Quelle::N,šaltinis,ҫӑл куҫ
122,Bach::N,upelis,пӗчӗк шыв
123,Fluss::N,upė,юхан шыв
124,Ufer::N,krantas,ҫыран
125,Küste::N,pajūris,тинӗс ҫыранӗ
126,Festland::N,sausuma,тип ҫӗр
127,Meer::N,jūra,тинӗс
128,Bucht::N,įlanka,тинӗс кукӑрӗ
129,Bucht::N,užutekis,тинӗс кукӑрӗ
130,Insel::N,sala,утрав
131,Blume::N,gėlė,чечек
132,Gras::N,žolė,курӑк
133,Wurzel::N,šaknis,тымар
134,Baum::N,medis,йывӑҫ
135,Stamm::N,kamienas,вулӑ
136,Rinde::N,žievė,хуйӑр
137,Ast::N,šaka,турат
138,Zweig::N,šakelė,турат
139,Blatt::N,lapas,ҫулҫӑ
140,Birke::N,beržas,хурӑн
141,Kiefer[Baum]::N,pušis,хыр
142,Weide[Baum]::N,karklas,хӑва
143,Tanne::N,eglė,чӑрӑш
144,Tanne::N,kėnis,чӑрӑш
145,Horn::N,ragas,мӑйрака
146,Feder::N,plunksna,тӗк
147,Fell::N,kailis,ҫӑм
148,Flügel::N,sparnas,ҫунат
149,Klaue::N,kanopa,чӗрне
150,Kralle::N,nagas,ура
151,Schwanz::N,uodega,хӳре
152,Ei::N,kiaušinis,ҫӑмарта
153,Nest::N,gūžta,йӑва
154,Nest::N,lizdas,йӑва
155,Bau::N,ola,йӗнӗ
156,Tier::N,gyvūnas,выльӑх
157,Herde::N,banda,кӗтӳ
158,Herde::N,kaimenė,кӗтӳ
159,Kuh::N,karvė,ӗне
160,Bulle::N,bulius,вӑкӑр
161,Pferd::N,arklys,лаша
162,Schaf::N,avis,сурӑх
163,Schwein::N,kiaulė,сысна
164,Hund::N,šuo,йытӑ
165,Katze::N,katė,кушак
166,Bär::N,lokys,упа
167,Eichhörnchen::N,voveraitė,пакша
168,Elch::N,briedis,пӑши
169,Fuchs::N,lapė,тилӗ
170,Hase::N,kiškas,куян
171,Hase::N,kiškas,мулкач
172,Maus::N,pelė,шӑши
173,Wolf::N,vilkas,кашкӑр
174,Vogel::N,paukštis,кайӑк
175,Vogel::N,paukštis,вӗҫен кайӑк
176,Schwarm::N,spiečius,ушкӑн
177,Huhn::N,višta,чӑх
178,Huhn::N,višta,чӑхӑ
179,Hahn::N,gaidys,автан
180,Gans::N,žąsis,хур
181,Adler::N,erelis,ӑмӑрт кайӑк
182,Ente::N,antis,кӑвакал
183,Eule::N,pelėda,тӑмана
184,Kranich::N,gervė,тӑрна
185,Krähe::N,varna,ула курак
186,Kuckuck::N,gegužė,куккук
187,Schwan::N,gulbė,акӑш
188,Fisch::N,žuvis,пулӑ
189,Barsch::N,ešerys,уланкӑ
190,Hecht::N,lydeka,ҫӑрттан
191,Schlange[Tier]::N,gyvatė,ҫӗлен
192,Wurm::N,kirmėlė,ӑман
193,Spinne::N,voras,эрешмен
194,Ameise::N,skruzdė,кӑткӑ
195,Laus::N,utėlė,пыйтӑ
196,Mücke::N,uodas,вӑрӑм туна
197,Fliege::N,musė,шӑна
198,Schmetterling::N,drugys,лӗпӗш
199,Schmetterling::N,peteliškė,лӗпӗш
200,Beere::N,uoga,ҫырла
201,Apfel::N,obuolys,улма
202,Apfel::N,obuolys,пан улми
203,Pilz::N,grybas,кӑмпа
204,Zwiebel::N,svogūnas,сухан
205,Saat::N,sėkla,вӑрӑ
206,Korn::N,grūdai,тӗшӗ
207,Korn::N,grūdai,пӗрчӗ
208,Heu::N,šienas,утӑ
209,Schale::N,žievelė,хупӑ
210,Grube::N,duobė,шӑтӑк
211,Falle::N,pinklės,тапӑ
212,Falle::N,pinklės,капкӑн
213,Falle::N,žabangai,тапӑ
214,Falle::N,žabangai,капкӑн
215,Schlinge::N,kilpa,йӑлӑ
216,Spur::N,vėžė,йӗр
217,Spur::N,pėdos,йӗр
218,Spur::N,pėdsakas,йӗр
219,Asche::N,pelenai,кӗл
220,Dreck::N,purvas,пылчӑк
221,Eisen::N,geležis,тимӗр
222,Gold::N,auksas,ылтӑн
223,Silber::N,sidabras,кӗмӗл
224,Kohle::N,anglis,кӑмрӑк
225,Glas::N,stiklas,кӗленче
226,Lehm::N,molis,тӑм
227,Sand::N,smėlis,хӑйӑр
228,Mensch::N,žmogus,ҫын
229,Mensch::N,žmogus,этем
230,Mann::N,vyras,ар
231,Mann::N,vyriškis,ар
232,Frau::N,moteris,хӗрарӑм
233,Kind::N,vaikas,ача
234,Junge::N,vaikinas,ача
235,Junge::N,vaikinas,ар ҫын ача
236,Junge::N,berniukas,ача
237,Junge::N,berniukas,ар ҫын ача
238,Mädchen::N,mergytė,хӗр ача
239,Mädchen::N,mergaitė,хӗр ача
240,Familie::N,šeima,ҫемье
241,Familie::N,šeima,кил-йыш
242,Großvater::N,senelis,кукаҫи
243,Großmutter::N,senelė,кукамай
244,Eltern::N,tėvai,аҫа-ама
245,Vater::N,tėvas,атте
246,Mutter::N,motina,анне
247,Sohn::N,sūnus,ывӑл
248,Tochter::N,duktė,хӗр
249,Bruder::N,brolis,ар тӑван
250,Schwester::N,sesuo,аппа
251,Schwester::N,sesuo,йӑмӑк
252,Onkel::N,dėdė,мучи
253,Onkel::N,dėdė,пичче
254,Tante::N,teta,аппа
255,Ehemann::N,vyras,упӑшка
256,Ehefrau::N,žmona,арӑм
257,Freude::N,džiaugsmas,савӑнӑҫ
258,Freude::N,džiaugsmas,хаваслӑх
259,Gelächter::N,juokas,кулӑ
260,Glück::N,laimė,телей
261,Glück::N,laimė,ӑраскал
262,Kummer::N,vargas,хурлӑх
263,Kummer::N,rūpestis,хурлӑх
264,Wunsch::N,troškimas,ӗмӗт
265,Wunsch::N,troškimas,кӑмӑл
266,Wunsch::N,pageidavimas,ӗмӗт
267,Wunsch::N,pageidavimas,кӑмӑл
268,Lust::N,noras,кӑмӑл
269,Lust::N,geidulys,кӑмӑл
270,Geist::N,dvasia,чун-чӗм
271,Geist::N,dvasia,ыр-усал
272,Geist::N,dvasia,чун хавалӗ
273,Gedanke::N,mintis,шухӑш
274,Gedächtnis::N,atmintis,ас
275,Verstand::N,protas,ӑс
276,Verstand::N,protas,ӑс-тӑн
277,Verstand::N,protas,ӑс-хакӑл
278,Sinn::N,prasmė,тупсӑм
279,Sinn::N,prasmė,пӗлтерӗш
280,Grund::N,priežastis,сӑлтав
281,Wahrheit::N,tiesa,чӑнлӑх
282,Wahrheit::N,teisybė,чӑнлӑх
283,Gespräch::N,pokalbis,калаҫу
284,Märchen::N,pasaka,юмах
285,Erzählung::N,apsakymas,акалав
286,Erzählung::N,apsakymas,каласа пани
287,Erzählung::N,pasakojimas,акалав
288,Erzählung::N,pasakojimas,каласа пани
289,Nachricht::N,žinia,хыпар
290,Neuigkeit::N,naujiena,ҫӗнӗ хыпар
291,Name::N,vardas,ят
292,Rätsel::N,mįslė,сутмалли юмах
293,Rede::N,kalba,сӑмах
294,Sprache::N,kalba,чӗлхе
295,Stimme::N,balsas,сасӑ
296,Wort::N,žodis,сӑмах
297,Zeichen::N,žymė,паллӑ
298,Zeichen::N,ženklas,паллӑ
299,Ruf::N,šauksmas,йыхрав
300,Ruf::N,šauksmas,чӗнӳ
301,Lärm::N,triukšmas,шав
302,Laut::N,garsas,сасӑ
303,Ton::N,tonas,сасӑ
304,Ton::N,garsas,сасӑ
305,Lied::N,daina,юрӑ
306,Lied::N,giesmė,юрӑ
307,Ruhe::N,ramybė,канӑҫлӑх
308,Ruhe::N,ramybė,лӑпкӑлӑх
309,Ruhe::N,ramumas,канӑҫлӑх
310,Ruhe::N,ramumas,лӑпкӑлӑх
311,Leute::N,žmonės,ҫамрӑксем
312,Leute::N,žmonės,ҫамрӑк ҫынсем
313,Volk::N,tauta,халӑх
314,Arbeit::N,darbas,ӗҫхӗл
315,Arbeit::N,darbas,ӗҫлев
316,Arbeit::N,triūsas,ӗҫхӗл
317,Arbeit::N,triūsas,ӗҫлев
318,Gast::N,svečias,хӑна
319,Geschenk::N,dovana,парне
320,Geschenk::N,dovana,кучченеҫ
321,Spiel::N,žaismas,вӑйӑ
322,Spiel::N,žaidimas,вӑйӑ
323,Gesellschaft::N,draugija,общество
324,Gesellschaft::N,kompanija,общество
325,Hilfe::N,pagalba,пулӑшу
326,Freund::N,draugas,тус
327,Freund::N,bičiulis,тус
328,Kamerad::N,draugas,юлташ
329,Kamerad::N,draugas,тус
330,Angelegenheit::N,dalykas,ӗҫ
331,Angelegenheit::N,reikalas,ӗҫ
332,Anzahl::N,kiekis,йыш
333,Anzahl::N,kiekis,хисеп
334,Anzahl::N,skaičius,йыш
335,Anzahl::N,skaičius,хисеп
336,Art::N,rūšis,тӗс
337,Stück::N,gabalas,татӑк
338,Teil::N,dalis,пай
339,Hälfte::N,pusė,ҫурӑ
340,Kreis::N,ratas,ункӑ
341,Kreis::N,ratas,ҫавракӑш
342,Kreis::N,apskritis,ункӑ
343,Kreis::N,apskritis,ҫавракӑш
344,Kreis::N,apskritimas,ункӑ
345,Kreis::N,apskritimas,ҫавракӑш
346,Kreuz::N,kryžius,хӗрес
347,Linie::N,linija,йӗр
348,Strich::N,brėžis,йӗр
349,Strich::N,brūkšnys,йӗр
350,Abstand::N,atstumas,хушӑ
351,Entfernung::N,atstumas,хушӑ
352,Gegend::N,vietovė,вырӑн
353,Platz::N,vieta,хутлӑх
354,Ort::N,vieta,вырӑн
355,Ort::N,vietovė,вырӑн
356,Seite::N,pusė,ен
357,Seite::N,pusė,аяк
358,Seite::N,pusė,айӑк
359,Seite::N,šonas,ен
360,Seite::N,šonas,аяк
361,Seite::N,šonas,айӑк
362,Mitte::N,vidurys,варӑ
363,Gegenstand::N,dalykas,япала
364,Sache::N,daiktas,япала
365,Rand::N,kraštas,вӗҫ
366,Rand::N,kraštas,хӗрӗ
367,Rand::N,kraštas,хӗрри
368,Rand::N,pakraštys,вӗҫ
369,Rand::N,pakraštys,хӗрӗ
370,Rand::N,pakraštys,хӗрри
371,Kante::N,kraštas,хайкача
372,Kante::N,kraštas,хысак
373,Ecke::N,kertė,кӗтес
374,Ecke::N,kampas,кӗтес
375,Spitze::N,priekis,вӗҫ
376,Spitze::N,priešakys,вӗҫ
377,Ende::N,galas,вӗҫ
378,Loch::N,skylė,шӑтӑк
379,Winkel::N,kampas,кӗтес
380,Winkel::N,kampelis,кӗтес
381,Muster::N,raštas,эреш
382,Größe::N,dydis,пысӑкӑш
383,Größe::N,didumas,пысӑкӑш
384,Länge::N,ilgis,вӑрӑмӑш
385,Länge::N,ilgumas,вӑрӑмӑш
386,Höhe::N,aukštis,ҫӳллӗш
387,Höhe::N,aukštuma,ҫӳллӗш
388,Gewicht::N,svoris,виҫе
389,Gewicht::N,svoris,йывӑрӑш
390,Gewicht::N,svarstis,виҫе
391,Gewicht::N,svarstis,йывӑрӑш
392,Menge::N,kiekis,йыш
393,Menge::N,daugybė,йыш
394,Haufen::N,krūva,купа
395,Haufen::N,šūsnis,купа
396,Reihe::N,greta,рет
397,Boot::N,valtis,кимӗ
398,Boot::N,laivelis,кимӗ
399,Ruder::N,irklas,кӗсмен
400,Schlitten::N,rogės,ҫуна
401,Schlitten::N,rogutės,ҫуна
402,Ski::N,slidė,йӗлтӗр
403,Lagerfeuer::N,laužas,вут
404,Lagerfeuer::N,laužas,кӑвайт
405,Last::N,našta,сулмаклӑх
406,Last::N,našta,йывӑр япала
407,Last::N,nešulys,сулмаклӑх
408,Last::N,nešulys,йывӑр япала
409,Gang::N,eisena,куҫӑм
410,Schritt::N,žingsnis,утӑм
411,Schritt::N,žingsnis,пусӑм
412,Norden::N,šiaurė,ҫурҫӗр
413,Norden::N,žiemiai,ҫурҫӗр
414,Süden::N,pietūs,кӑнтӑр
415,Westen::N,vakarai,анӑҫ
416,Westen::N,vakarai,хӗвел анӑҫ
417,Osten::N,rytai,хӗвел тухӑҫ
418,Holz::N,mediena,йывӑҫ
419,Brett::N,lenta,хӑма
420,Platte::N,plokštė,плита
421,Stütze::N,atrama,ура
422,Stütze::N,atspara,ура
423,Stange::N,lazda,шерте
424,Stange::N,kartis,шерте
425,Stock::N,lazda,патак
426,Stab::N,kartis,шӑчӑ
427,Rohr::N,vamzdis,пӑрӑх
428,Haus::N,namas,ҫурт
429,Heim::N,namai,кил
430,Ofen::N,krosnis,кӑмака
431,Fußboden::N,grindys,урай
432,Tisch::N,stalas,сӗтел
433,Stuhl::N,kėdė,пукан
434,Wiege::N,lopšys,сӑпка
435,Bett::N,lova,кравать
436,Bett::N,patalai,кравать
437,Regal::N,lentyna,ҫӳлӗк
438,Regal::N,lentyna,сентре
439,Kiste::N,dėžė,ещӗк
440,Kiste::N,dėžė,сунтӑх
441,Fenster::N,langas,чӳрече
442,Tür::N,durys,алӑк
443,Tor::N,vartai,хапха
444,Zaun::N,tvora,хӳме
445,Dach::N,stogas,тӑрӑ
446,Leiter::N,kopėčios,пусма
447,Besen::N,šluota,шӑпӑр
448,Spaten::N,lopeta,кӗреҫе
449,Spaten::N,kastuvas,кӗреҫе
450,Schaufel::N,semtuvas,кӗреҫе
451,Gabel::N,šakutė,вилка
452,Löffel::N,šaukštas,кашӑк
453,Messer::N,peilis,ҫӗҫӗ
454,Nagel::N,vinis,пӑта
455,Netz::N,tinklas,тетел
456,Haken::N,vagis,йӑрхах
457,Haken::N,vagis,ҫекӗл
458,Haken::N,kablys,йӑрхах
459,Haken::N,kablys,ҫекӗл
460,Griff::N,kotas,хӑлӑп
461,Griff::N,rankena,хӑлӑп
462,Schloss::N,spyna,ҫӑра
463,Schloss::N,užraktas,ҫӑра
464,Bild::N,paveikslas,сӑн
465,Bild::N,paveikslas,сӑнлӑх
466,Bild::N,paveikslas,картина
467,Figur::N,figūra,кӗлетке
468,Puppe::N,lėlė,пукане
469,Beutel::N,krepšys,михӗ
470,Beutel::N,maišelis,михӗ
471,Bündel::N,ryšulys,ҫыхӑ
472,Bündel::N,ryšulys,тӗрке
473,Tasche::N,krepšelis,сумка
474,Eimer::N,kibiras,витре
475,Deckel::N,dangtis,хупӑ
476,Geschirr::N,indai,савӑт-сапа
477,Sack::N,maišas,михӗ
478,Tasse::N,puodukas,курка
479,Topf::N,puodas,кастрюль
480,Kessel::N,katilas,хуран
481,Essen::N,valgis,апат
482,Nahrung::N,penas,апат-ҫимӗс
483,Nahrung::N,maistas,апат-ҫимӗс
484,Speise::N,patiekalas,апат
485,Speise::N,patiekalas,ҫимӗҫ
486,Fleisch::N,mėsa,аш
487,Fleisch::N,mėsa,какай
488,Getreide::N,javai,тырӑ
489,Brei::N,košė,пӑтӑ
490,Brot::N,duona,ҫӑкӑр
491,Scheibe::N,riekė,чӗлӗ
492,Scheibe::N,riekė,касӑк
493,Fett::N,taukai,ҫу
494,Fett::N,riebalai,ҫу
495,Butter::N,sviestas,ҫу
496,Öl::N,aliejus,ҫу
497,Salz::N,druska,тӑвар
498,Suppe::N,sriuba,яшка
499,Honig::N,medus,пыл
500,Milch::N,pienas,сӗт
501,Tee::N,arbata,чей
502,Leder::N,oda,сӑран
503,Wolle::N,vilna,ҫӑм
504,Stoff::N,audeklas,тӗртӗм
505,Nadel::N,adata,йӗп
506,Faden::N,gija,ҫип
507,Faden::N,siūlas,ҫип
508,Knopf::N,saga,тӳме
509,Knoten::N,mazgas,йӑлӑ
510,Farbe::N,dažai,сӑрӑ
511,Kleidung::N,rūbai,тум
512,Kleidung::N,rūbai,ҫипуҫ
513,Kleidung::N,rūbai,тум-тир
514,Kleidung::N,drabužiai,тум
515,Kleidung::N,drabužiai,ҫипуҫ
516,Kleidung::N,drabužiai,тум-тир
517,Hemd::N,marškiniai,кӗпе
518,Kragen::N,apykaklė,ҫуха
519,Ärmel::N,rankovė,ҫанӑ
520,Hose::N,kelnės,шӑлавар
521,Gürtel::N,juosta,пиҫиххи
522,Gürtel::N,diržas,пиҫиххи
523,Mütze::N,kepurė,ҫӗлӗк
524,Schuh::N,batas,пушмак
525,Schuh::N,batas,ботинок
526,Stiefel::N,auliniai batai,атӑ
527,Ring::N,žiedas,ҫӗрӗ
528,Band::N,kaspinas,хаю
529,Band::N,kaspinas,йӗсме
530,Kamm::N,šukos,тура
531,Spiegel::N,veidrodis,тӗкӗр
532,Spiegel::N,veidrodis,куҫ кӗски
533,Riemen::N,diržas,чӗн
534,Schnur::N,virvė,кантра
535,Leine::N,pavadėlis,касмӑк
536,Decke::N,antklodė,утиял
537,Kissen::N,pagalvė,ҫытар
538,Kissen::N,pagalvė,минтер
539,Kissen::N,priegalvis,ҫытар
540,Kissen::N,priegalvis,минтер
541,Tuch::N,skarelė,тутӑр
542,Handtuch::N,rankšluostis,ал шӑлли
543,Kraft::N,jėga,вӑй
544,Kraft::N,jėga,хӑват
545,Stärke::N,stiprumas,хал
546,Stärke::N,stiprumas,хӑват
547,Gesundheit::N,sveikata,хал
548,Gesundheit::N,sveikata,сывлӑх
549,Krankheit::N,liga,чир
550,Schmerz::N,skausmas,ырату
551,Wunde::N,žaizda,суран
552,Fieber::N,karštis,сив чир
553,Arznei::N,vaistas,эмел
554,Brücke::N,tiltas,кӗпер
555,Brunnen::N,šulinys,ҫӑл
556,Brunnen::N,šulinys,пусӑ
557,Weide::N,ganykla,ҫаран
558,Weide::N,gluosnis,ҫаран
559,Pfad::N,takas,йӗр
560,Pfad::N,takas,сукмак
561,Weg::N,kelias,ҫул
562,Weg::N,kelias,ҫул-йӗр
563,Straße::N,gatvė,ҫӳрев
564,Straße::N,gatvė,ҫул ҫӳрени
565,Dorf::N,kaimas,ял
566,Dorf::N,sodžius,ял
567,Stadt::N,miestas,хула
568,Brief::N,laiškas,ҫыру
569,Buch::N,knyga,кӗнеке
570,Buchstabe::N,raidė,сас палли
571,Zeitung::N,laikraštis,хаҫат
572,Leben::N,gyvybė,пурнӑҫ
573,Leben::N,gyvenimas,пурнӑҫ
574,Tod::N,mirtis,вилӗм
575,Grab::N,kapas,масар шӑтӑкӗ
576,Kirche::N,bažnyčia,чиркӳ
577,Sünde::N,nuodėmė,ҫылӑх
578,Sünde::N,nusidėjimas,ҫылӑх
579,Gott::N,dievas,турӑ
580,Arbeiter::N,darbininkas,рабочи
581,Chef::N,šefas,пуҫлӑх
582,Chef::N,vadovas,пуҫлӑх
583,Chef::N,viršininkas,пуҫлӑх
584,Meister::N,meistras,ӑста
585,Meister::N,meistras,мастер
586,Arzt::N,gydytojas,врач
587,Arzt::N,gydytojas,тухтӑр
588,Lehrer::N,mokytojas,учитель
589,Lehrer::N,mokytojas,вӗрентекен
590,Geld::N,pinigai,укҫа
591,Geschäft::N,biznis,бизнес
592,Laden::N,krautuvė,магазин
593,Laden::N,parduotuvė,магазин
594,Preis::N,kaina,хак
595,Ware::N,prekė,тавар
596,Nutzen::N,nauda,пайта
597,Nutzen::N,pelnas,пайта
598,Reichtum::N,turtas,мул
599,Welt::N,pasaulis,тӗнче
600,Land::N,žemė,ҫӗр-шыв
601,Land::N,šalis,ҫӗр-шыв
602,Staat::N,valstija,патшàлӑх
603,König::N,karalius,король
604,Macht::N,galia,власть
605,Macht::N,valdžia,власть
606,Grenze::N,riba,чикӗ
607,Grenze::N,siena,чикӗ
608,Krieg::N,karas,вӑрҫӑ
609,Feind::N,priešas,тӑшман
610,Gewalt::N,jėga,ирӗксӗрлӳ
611,Gewalt::N,smurtas,ирӗксӗрлӳ
612,Gewalt::N,prievarta,ирӗксӗрлӳ
613,Kampf::N,kova,кӗрешӳ
614,Bogen[Waffe]::N,lankas,ухӑ
615,Pfeil::N,strėlė,ҫӗмрен
616,Pfeil::N,strėlė,ухӑ йӗппи
617,Gewehr::N,šautuvas,пӑшал
618,Fehler::N,klaida,йӑнӑш
619,Lüge::N,melas,суя
620,Lüge::N,melas,ултав
621,Schaden::N,nuostolis,сиен
622,Schaden::N,apgadinimas,сиен
623,Unglück::N,nelaimė,шар
624,Unglück::N,nelaimė,инкек
625,Schuld::N,kaltė,айӑп
626,Alter::N,amžius,ҫул шучӗ
627,Schluss::N,pabaiga,пӗтни
628,Schluss::N,pabaiga,пӗтмӗш
629,Zeit::N,laikas,вӑхӑт
630,Tag::N,diena,кун
631,Morgen::N,rytas,ир
632,Mittag::N,vidurdienis,кӑнтӑрла
633,Abend::N,vakaras,каҫ
634,Nacht::N,naktis,каҫ
635,Woche::N,savaitė,эрне
636,Monat::N,mėnuo,уйӑх
637,Jahr::N,metai,ҫулталӑк
638,Frühling::N,pavasaris,ҫур
639,Frühling::N,pavasaris,ҫуркунне
640,Sommer::N,vasara,ҫу
641,Sommer::N,vasara,ҫулла
642,Herbst::N,ruduo,кӗр
643,Herbst::N,ruduo,кӗркунне
644,Winter::N,žiema,хӗл
645,Winter::N,žiema,хӗлле
646,Januar::N,sausis,январь
647,Februar::N,vasaris,февраль
648,Februar::N,vasaris,кӗҫӗн кӑрлач
649,März::N,kovas,март
650,März::N,kovas,пуш уйӑхӗ
651,April::N,balandis,апрель
652,Mai::N,gegužė,май
653,Juni::N,birželis,июнь
654,Juli::N,liepa,июль
655,August::N,rugpjūtis,август
656,September::N,rugsėjis,сентябрь
657,September::N,rugsėjis,авӑн уйӑхӗ
658,Oktober::N,spalis,октябрь
659,November::N,lapkritis,ноябрь
660,Dezember::N,gruodis,раштав
661,Dezember::N,gruodis,декабрь
662,Montag::N,pirmadienis,тунти кун
663,Dienstag::N,antradienis,ытлари кун
664,Mittwoch::N,trečiadienis,юн кун
665,Donnerstag::N,ketvirtadienis,кӗҫнерни кун
666,Freitag::N,penktadienis,эрне кун
667,Samstag::N,šeštadienis,шӑмат кун
668,Sonntag::N,sekmadienis,вырсарни кун
669,groß::A,didis,пысӑк
670,groß::A,didelis,пысӑк
671,klein::A,mažas,пӗчӗк
672,lang::A,ilgas,вӑрӑм
673,kurz::A,trumpas,кӗске
674,breit::A,platus,сарлака
675,schmal::A,smulkus,ансӑр
676,dicht::A,tankus,йӑвӑ
677,dick[Gegenstand]::A,storas,хулӑн
678,dünn::A,plonas,ҫинҫе
679,dünn::A,plonas,ҫӳхе
680,fein::A,smulkus,тарай
681,fein::A,smulkus,вӗлтӗрти
682,fest::A,kietas,тӗреклӗ
683,fest::A,tvirtas,тӗреклӗ
684,flach::A,lėkštas,лаптак
685,flach::A,plokščias,лаптак
686,glatt::A,slidus,такӑр
687,hart::A,kietas,хытӑ
688,weich::A,minkštas,ҫемҫе
689,rund::A,apvalus,ҫавра
690,rund::A,apskritas,ҫавра
691,spitz::A,aštrus,шӗвӗр
692,spitz::A,smailus,шӗвӗр
693,scharf::A,aštrus,ҫивӗч
694,stumpf::A,bukas,мӑка
695,stumpf::A,bukas,пуклак
696,stumpf::A,bukas,тӗрӗнчӗк
697,stumpf::A,bukas,ӑнкарусӑр
698,stumpf::A,atšipęs,мӑка
699,stumpf::A,atšipęs,пуклак
700,stumpf::A,atšipęs,тӗрӗнчӗк
701,stumpf::A,atšipęs,ӑнкарусӑр
702,schwer::A,sunkus,йывӑр
