,Concept_ID,sq,ce
573,Mittwoch::N,mërkurë,кхаара
574,Donnerstag::N,enjte,еара
575,Freitag::N,premte,пӏераска
576,Samstag::N,shtunë,шот
577,Sonntag::N,diel,кӏиранде
578,groß::A,madh,доккха
579,klein::A,vogël,кегий
580,lang::A,gjatë,еха
581,kurz::A,shkurtër,доца
582,breit::A,gjerë,шуьйра
583,schmal::A,ngushtë,готта
584,dicht::A,dendur,луьста
585,dick[Gegenstand]::A,trashë,стомма
586,dünn::A,hollë,дуткъа
587,fein::A,imët,ховха
588,fest::A,fortë,чӏогӏа
589,flach::A,sheshtë,чӏапа
590,glatt::A,rrafshët,шера
591,hart::A,fortë,чӏогӏa
592,weich::A,butë,кӏеда
593,rund::A,rrumbullakët,горга
594,spitz::A,majëmprehtë,ира
595,scharf::A,mprehtë,ира
596,stumpf::A,topitur,аьртa
597,schwer::A,rëndë,деза
598,schön::A,bukur,хаза
599,heiß::A,nxehtë,довха
600,warm::A,ngrohtë,довха
601,kalt::A,ftohtë,шийла
602,kühl::A,freskët,шийла
603,frisch::A,pastër,керла
604,feucht::A,lagësht,тӏуьна
605,nass::A,lagur,тӏеда
606,trocken::A,thatë,eкъа
607,voll::A,plotë,дуьзна
608,leer::A,bosh,яьсса
609,leer::A,zbrazët,яьсса
610,offen::A,hapur,диллина
611,geschlossen::A,mbyllur,дӏакъевлина
612,geschlossen::A,mbyllur,дӏачӏагӏдина
613,sauber::A,dëlirë,цӏена
614,schmutzig::A,ndyrë,боьха
615,roh::A,gjallë,буьйда
616,reif::A,arrirë,хилла
617,lecker::A,shijshëm,чоме
618,süß::A,ëmbël,мерза
619,bitter::A,hidhur,къаьхьа
620,sauer::A,thartë,муьста
621,hell::A,me dritë,сирла
622,dunkel::A,errët,бодане
623,schwarz::A,i zi,ӏаьржа
624,weiß::A,bardhë,кӏайн
625,rot::A,kuq,цӏен
626,gelb::A,verdhë,можа
627,blau::A,blu,сийна
628,blau::A,kaltër,сийна
629,grün::A,blertë,баьццара
630,grün::A,gjelbër,баьццара
631,grau::A,hirtë,cира
632,grau::A,hirtë,мокха
633,grau::A,bojë hiri,cира
634,grau::A,bojë hiri,мокха
635,bunt::A,shumëngjyrëshëm,къорза
636,billig::A,lirë,дораха
637,teuer::A,shtrenjtë,деза
638,wertvoll::A,çmuar,мехала
639,wertvoll::A,vlershëm,мехала
640,blind::A,qorr,бӏаьрзе
641,blind::A,verbër,бӏаьрзе
642,taub::A,shurdhër,къора
643,kräftig::A,fuqishëm,нуьцкъала
644,stark::A,fortë,зоьртала
645,stark::A,fortë,нуьцкъала
646,schwach::A,dobët,гӏорасиза
647,fett::A,dhjamur,дерстана
648,schlank::A,hollë,куц долу
649,hübsch::A,bukur,хаза
650,hübsch::A,hijshëm,хаза
651,böse::A,keq,вон
652,dumm::A,teveqel,сонта
653,faul::A,dembel,мало ен
654,fleißig::A,zellshëm,тӏера
655,geizig::A,kurnac,пис
656,geizig::A,kurnac,сутара
657,geizig::A,dorështrënguar,пис
658,geizig::A,dorështrënguar,сутара
659,klug::A,mençur,хьекъале
660,geschickt::A,aftë,тӏахъаьлла
661,lieb::A,dashur,хьоме
662,lustig::A,gëzuar,самукъане
663,sanft::A,butë,кlеда
664,hungrig::A,uritur,меца
665,krank::A,sëmurë,цомгуш долу
666,nackt::A,lakuriq,дерзана
667,nackt::A,zhveshur,дерзана
668,traurig::A,trishtuar,самукъане воцу
669,lebendig::A,gjallë,дийна
670,gut::A,mirë,дика
671,schlecht::A,keq,вон
672,richtig::A,drejtë,нийса
673,schlimm::A,keq,вон
674,wahr::A,vërtetë,бакъдолу
675,alt::A,vjetër,къена
676,neu::A,i ri,керла
677,ehemalig::A,dikurshëm,хилла
678,alt[Lebewesen]::A,plak,къена
679,jung::A,i ri,къона
680,arm::A,varfër,къен
681,arm::A,vobektë,къен
682,reich::A,pasur,хьоле
683,bekannt::A,njohur,девзаш долу
684,berühmt::A,famshëm,цӏеяхана
685,fremd::A,huaj,нехан
686,verschieden::A,ndryshëm,тайп-тайпанара
687,nah::A,afërt,гергара
688,fern::A,largët,гена
689,fern::A,largët,генара
690,linker::A,majtë,аьрру
691,rechter::A,djathtë,аьтту
692,anderer::A,tjetër,кхин
693,erster::A,parë,хьалхара
694,zweiter::A,dytë,шолгIа
695,dritter::A,i tretë,кхоалгӏа
696,letzter::A,fundit,тӏаьххьара
697,allein::ADV,vetëm,цхьаъ
698,auf einmal::ADV,njëkohësisht,цу сохьтта
699,zusammen::ADV,bashkë,цхьана
700,zusammen::ADV,së bashku,цхьана
701,lange::ADV,për një kohë të gjatë,дукха
702,plötzlich::ADV,befas,цIеххьана
