,Concept_ID,vep,te
75,Staub::N,pölü,దుమ్ము
76,Rauch::N,savu,పొగ
77,Funke::N,kibin,అగ్నికణము
78,Feuer::N,lämoi,అగ్ని
79,Licht::N,vauktuz,కాంతి
80,Schatten::N,pil'vez,నీడ
81,Schatten::N,kuvahaine,నీడ
82,Wetter::N,sä,వాతావరణ స్థితి
83,Nebel::N,sumeg,పొగమంచు
84,Wolke::N,pil'v,మేఘము
85,Regen::N,vihm,వాన
86,Schnee::N,lumi,హిమము
87,Eis::N,jä,మంచుగడ్డ
88,Frost::N,hala,పేరిన మంచు
89,Frost::N,pakaine,పేరిన మంచు
90,Kälte::N,vilu,చలి
91,Hitze::N,räk,వేడిమి
92,Raureif::N,hüde,మంచు
93,Regenbogen::N,jumalanbembel',ఇంద్రధనుస్సు
94,Donner::N,juru,ఉరుము
95,Donner::N,jumalanjuru,ఉరుము
96,Strömung::N,joksmuz,ప్రవాహము
97,Tropfen::N,tilkuine,చుక్క
98,Schaum::N,vaht,నురుగు
99,Schmutz::N,redu,మైల
100,Schmutz::N,pačak,మైల
101,See::N,järv,సరస్సు
102,Sumpf::N,so,చిత్తడినేల
103,Moor::N,so,చిత్తడినేల
104,Wiese::N,nit,పచ్చిక బయలు
105,Wald::N,mec,అడవి
106,Hügel::N,kukaz,చివ్నకొండ
107,Anhöhe::N,kukaz,కొండ
108,Berg::N,mägi,పర్వతము
109,Gipfel::N,ladv,శిఖరము
110,Höhle::N,mägionduz,గుహ
111,Abhang::N,paute,ఏటవాలు
112,Quelle::N,lähte,మూలము
113,Bach::N,oja,కాలువ
114,Fluss::N,jogi,నది
115,Ufer::N,rand,తీరము
116,Küste::N,randišt,తీరము
117,Festland::N,kuivma,భూమి
118,Meer::N,meri,సముద్రము
119,Bucht::N,laht,మరుగు
120,Insel::N,sar',దీవి
121,Blume::N,änik,పుష్పము
122,Gras::N,hein,పచ్చగడ్డి
123,Wurzel::N,jur',వేరు
124,Baum::N,pu,చెట్టు
125,Stamm::N,tüvi,చెట్టుబోదె
126,Rinde::N,kor',చెట్టుపట్ట
127,Ast::N,oks,కొమ్మ
128,Zweig::N,oks,చివుకు
129,Zweig::N,barb,చివుకు
130,Blatt::N,lehtez,ఆకు
131,Birke::N,koiv,తరహా చెట్టు
132,Kiefer[Baum]::N,pedai,దేవదారు చెట్టు
133,Weide[Baum]::N,raid,జాతిచెట్టు
134,Tanne::N,kuz',దేవదారుచెట్టు
135,Horn::N,sar'v,కొమ్ము
136,Feder::N,höuneh,ఈక
137,Fell::N,nahk,తోలు
138,Flügel::N,suug,ఱెక్క
139,Klaue::N,künz',వంకరగోరు
140,Kralle::N,künz',వంకరగోరు
141,Schwanz::N,händ,తోక
142,Ei::N,muna,గ్రుడ్డు
143,Nest::N,peza,పక్షిగూడు
144,Bau::N,uru,గుహ
145,Tier::N,živat,జంతువు
146,Herde::N,kogo,మంద
147,Kuh::N,lehm,ఆవు
148,Bulle::N,härg,గిత్త
149,Pferd::N,hebo,గుఱ్ఱము
150,Schaf::N,lambaz,గొఱ్ఱె
151,Schwein::N,siga,పంది
152,Hund::N,koir,కుక్క
153,Katze::N,kaži,పిల్లి
154,Bär::N,kondi,ఎలుగుబంటి
155,Eichhörnchen::N,orav,ఉడుత
156,Elch::N,hirb',కణంజు
157,Fuchs::N,reboi,గుంటనక్క
158,Hase::N,jäniš,కుందేలు
159,Maus::N,hir',చిట్టెలుక
160,Wolf::N,händikaz,తోడేలు
161,Vogel::N,lind,పక్షి
162,Schwarm::N,parveh,గుంపు
163,Huhn::N,kana,కోడిపిల్ల
164,Hahn::N,kukoi,కోడివుంజు
165,Gans::N,hanh',ఆడుబాతు
166,Adler::N,orl,గ్రద్ద
167,Ente::N,sorz,పాట్టిబాతు
168,Eule::N,hir'pulo,గ్రుడ్లగూబ
169,Kranich::N,kurg,కొంగ
170,Krähe::N,variš,కాకి
171,Kuckuck::N,kägi,కోయల
172,Schwan::N,joucen,హంస
173,Fisch::N,kala,చేప
174,Barsch::N,ahven,ఒకచేఁప
175,Hecht::N,haug',గండుమీను
176,Schlange[Tier]::N,kü,పాము
177,Schlange[Tier]::N,mado,పాము
178,Wurm::N,mado,పురుగు
179,Spinne::N,hämähouk,సాలె పురుగు
180,Ameise::N,murahaine,చీమ
181,Laus::N,täi,పేను
182,Mücke::N,säs'k,చీకటీగ
183,Fliege::N,kärbhaine,ఈగ
184,Schmetterling::N,lipkaine,సీతాకోకచిలుక
185,Beere::N,marj,కాయ
186,Apfel::N,jablok,ఆపిల్ పండు
187,Pilz::N,sen',కుక్కగొడుగు
188,Pilz::N,babuk,కుక్కగొడుగు
189,Zwiebel::N,lauk,నీరుల్లి
190,Saat::N,semned,విత్తనము
191,Korn::N,jüvä,గింజ
192,Korn::N,vill',గింజ
193,Heu::N,hein,ఎండుగడ్డి
194,Schale::N,kor',పొట్టు
195,Grube::N,kop,గొయ్యి
196,Falle::N,rida,బోను
197,Schlinge::N,rihm,ఉరి
198,Spur::N,jäl'g,జాడ
199,Asche::N,tuhk,బూడిద
200,Dreck::N,redu,ముఱికి
201,Dreck::N,pačak,ముఱికి
202,Eisen::N,raud,ఇనుము
203,Gold::N,kuld,బంగారము
204,Silber::N,hobed,వెండి
205,Kohle::N,hil',నేలబొగ్గు
206,Glas::N,stökol,గాజు
207,Lehm::N,savi,బంకమన్ను
208,Sand::N,lete,ఇసుక
209,Mensch::N,mez',నరుడు
210,Mensch::N,ristit,నరుడు
211,Mann::N,mez',పురుమడు
212,Frau::N,naine,ఆడుది
213,Kind::N,laps',బిడ్డ
214,Junge::N,poig,బాలుడు
215,Junge::N,prihaine,బాలుడు
216,Mädchen::N,neičukaine,బాలిక
217,Familie::N,kanz,కుటుంబము
218,Familie::N,pereh,కుటుంబము
219,Großvater::N,ded,తాత
220,Großmutter::N,bab,అయ్యమ్మ
221,Eltern::N,vanhembad,తల్లితండ్రులు
222,Eltern::N,kazvatajad,తల్లితండ్రులు
223,Vater::N,tat,తండ్రి
224,Mutter::N,mam,తల్లి
225,Sohn::N,poig,కొడుకు
226,Tochter::N,tütär,కూతురు
227,Bruder::N,veik,పోదరుడు
228,Bruder::N,vell',పోదరుడు
229,Schwester::N,čiža,సోదరి
230,Schwester::N,sizar,సోదరి
231,Onkel::N,däd',మేనమామ
232,Tante::N,tädi,మేనత్త
233,Tante::N,tädi,పినతల్లి
234,Ehemann::N,mužik,భర్త
235,Ehefrau::N,ak,భార్య
236,Freude::N,ilo,సంతోషము
237,Freude::N,ihastuz,సంతోషము
238,Gelächter::N,nagr,నవ్వు
239,Glück::N,oza,సంతోషము
240,Kummer::N,gor'a,దుఃఖము
241,Wunsch::N,taht,కోరిక
242,Lust::N,himo,కోరిక
243,Geist::N,heng,ఆత్మ
244,Gedanke::N,meletuz,ఆలోచన
245,Gedächtnis::N,mušt,జ్ఞాపకము
246,Verstand::N,mel',మనస్సు
247,Sinn::N,jüvä,అర్థము
248,Grund::N,sü,కారణము
249,Wahrheit::N,tozi,సత్యము
250,Gespräch::N,lodu,పంభాషణ
251,Gespräch::N,pagin,పంభాషణ
252,Märchen::N,sarn,అద్భుతకథ
253,Erzählung::N,sanutez,కథ
254,Nachricht::N,tedotuz,వార్త
255,Neuigkeit::N,uzištuz,వార్త
256,Name::N,nimi,పేరు
257,Rätsel::N,ozoitez,చిక్కు
258,Rede::N,pagin,ఉపన్యాసము
259,Rede::N,sanad,ఉపన్యాసము
260,Sprache::N,kel',భాష
261,Stimme::N,än',కంరథ్సని
262,Wort::N,sana,మాట
263,Zeichen::N,znam,గుర్తు
264,Ruf::N,kida,పిలువు
265,Ruf::N,kucund,పిలువు
266,Lärm::N,judu,సందడి
267,Laut::N,kulund,ధ్వని
268,Ton::N,kulund,స్వరము
269,Lied::N,pajo,పాట
270,Ruhe::N,lebu,గాలిలేమి
271,Leute::N,rahvaz,జనులు
272,Volk::N,rahvaz,జాతి
273,Arbeit::N,tö,పని
274,Arbeit::N,rad,పని
275,Gast::N,adiv,అతిధి
276,Geschenk::N,lahj,దానము
277,Spiel::N,vänd,ఆట
278,Gesellschaft::N,sebr,జట్టు
279,Hilfe::N,abu,సాహాయ్యము
280,Freund::N,sebranik,స్నేహితుడు
281,Kamerad::N,sebranik,చెలికాడు
282,Angelegenheit::N,azj,విషయము
283,Anzahl::N,lugu,లెక్క
284,Art::N,rod,జాతి
285,Art::N,rodsugu,జాతి
286,Stück::N,pala,తునుక
287,Stück::N,supal,తునుక
288,Teil::N,pala,భాగము
289,Hälfte::N,pol',సగము
290,Kreis::N,ümbruz,వృత్తము
291,Kreis::N,kehkruz,వృత్తము
292,Kreuz::N,rist,సిలువ
293,Linie::N,pird,గీత
294,Strich::N,pird,గీత
295,Abstand::N,keskust,సందు
296,Entfernung::N,matk,దూరము
297,Gegend::N,taho,విస్తీర్ణము
298,Platz::N,avaruz',ఎడము
299,Ort::N,koht,స్థలము
300,Seite::N,pol',ప్రక్క
301,Seite::N,kül'g,ప్రక్క
302,Mitte::N,kesk,నడిమి
303,Gegenstand::N,kalu,పద్దు
304,Sache::N,azj,వస్తువు
305,Rand::N,röun,అంచు
306,Kante::N,röun,అంచు
307,Ecke::N,saum,మూల
308,Spitze::N,agjaine,మొన
309,Ende::N,agj,కొన
310,Loch::N,reig,రంధ్రము
311,Winkel::N,čoga,కోణము
312,Winkel::N,saum,కోణము
313,Muster::N,kirjam,మాదిరి
314,Größe::N,suruz',పరిమాణము
315,Länge::N,piduz,పొడుగు
316,Höhe::N,korktuz',పొడుగు
317,Gewicht::N,jügu,భారము
318,Gewicht::N,vedäduz,భారము
319,Menge::N,äjüz',మొత్తము
320,Haufen::N,kogo,రాశి
321,Reihe::N,rivi,వరుస
322,Boot::N,veneh,పడవ
323,Ruder::N,air,అడక
324,Schlitten::N,regi,సరవండ్లు
325,Schlitten::N,regut,సరవండ్లు
326,Ski::N,suks',స్కీ
327,Lagerfeuer::N,nodj,నెగడు
328,Lagerfeuer::N,pažag,నెగడు
329,Last::N,jüguz,బరువు
330,Gang::N,astund,నడక
331,Schritt::N,hašk,అడుగు
332,Norden::N,pohjoine,ఉత్తరదిక్కు
333,Süden::N,suvi,దక్షిణము
334,Westen::N,päivlaskm,పడమర
335,Osten::N,päivnouzm,తూర్పు
336,Holz::N,pu,కొయ్య
337,Brett::N,laud,పలక
338,Platte::N,keitim,పలక
339,Stütze::N,tugi,వాల్సేడ్లు
340,Stange::N,arz',స్తంభము
341,Stock::N,kalu,కఱ్ఱ
342,Stab::N,seibaz,కఱ్ఱ
343,Rohr::N,torv,గొట్టము
344,Haus::N,pert',ఇల్లు
345,Heim::N,kodi,స్వగృహము
346,Ofen::N,päč,పొయ్యి
347,Fußboden::N,lava,నేల
348,Tisch::N,laud,మేజా
349,Tisch::N,stal'c,మేజా
350,Stuhl::N,ištim,కుర్చీ
351,Wiege::N,kätte,ఉయ్యాల
352,Bett::N,sija,పడక
353,Bett::N,sija,మంచం
354,Bett::N,magaduzsija,పడక
355,Bett::N,magaduzsija,మంచం
356,Regal::N,palič,అటక
357,Kiste::N,mülütim,వెట్టె
358,Fenster::N,ikun,కిటికి
359,Tür::N,uks',ద్వారము
360,Tor::N,verai,ద్వారము
361,Zaun::N,aid,కంచె
362,Dach::N,katuz,ఇంటివైకప్పు
363,Leiter::N,pordhad,నిచ్చెన
364,Besen::N,lud,చీపురుకట్ట
365,Besen::N,vast,చీపురుకట్ట
366,Spaten::N,labid,పాఱ
367,Schaufel::N,labid,పాఱ
368,Gabel::N,hangoine,ముండ్లగరిటె
369,Löffel::N,luzik,గరిటె
370,Messer::N,veič,కత్తి
371,Nagel::N,nagl,మేకు
372,Netz::N,verk,వల
373,Haken::N,kouk,కొక్కెము
374,Griff::N,kägä,పిడి
375,Griff::N,varz',పిడి
376,Schloss::N,lukkol,తాళము
377,Bild::N,kuva,చిత్రము
378,Figur::N,figur,రూపము
379,Puppe::N,tätüine,బొమ్మ
380,Beutel::N,havad,సంచి
381,Bündel::N,toppaz,మూట
382,Bündel::N,käč,మూట
383,Tasche::N,sumk,సంచి
384,Eimer::N,vädr,చేద
385,Deckel::N,katuz,మూత
386,Geschirr::N,astii,వంటకాలు
387,Sack::N,havad,గోనెసంచి
388,Tasse::N,čašk,గిన్నె
389,Topf::N,pada,కుండ
390,Kessel::N,katil,నీరుకాచుపాత్ర
391,Essen::N,sönd,ఆహారము
392,Nahrung::N,söm,ఆహారము
393,Speise::N,sömine,ఆహారము
394,Fleisch::N,liha,మాంసము
395,Getreide::N,vill',ధాన్యము
396,Brei::N,pudr,గుజ్జు
397,Brot::N,leib,రొట్టె
398,Scheibe::N,bibaleh,బద్ద
399,Scheibe::N,šlik,బద్ద
400,Fett::N,razv,క్రొవ్వు
401,Butter::N,voi,వెన్న
402,Öl::N,voi,నూనె
403,Salz::N,sol,ఉప్పు
404,Suppe::N,lem',చారు
405,Suppe::N,keitoz,చారు
406,Honig::N,mezi,తెనె
407,Milch::N,maid,పాలు
408,Tee::N,čai,తేనీరు
409,Leder::N,nahk,బాగుచేసివతోలు
410,Wolle::N,vill,ఉన్ని
411,Stoff::N,kangaz,బట్ట
412,Nadel::N,negl,సూది
413,Faden::N,nit',దారము
414,Knopf::N,nübl',బొత్తాము
415,Knoten::N,sol'm,ముడి
416,Farbe::N,muju,రంగు
417,Kleidung::N,sobad,బట్టలు
418,Hemd::N,paid,చొక్కాయ
419,Kragen::N,kagluz,మాల
420,Ärmel::N,hijam,చొక్కాయచెయ్యి
421,Hose::N,štanad,ఇజారు
422,Gürtel::N,vö,పటకా
423,Mütze::N,šapuk,టోపి
424,Schuh::N,keng',పాదరక్ష
425,Stiefel::N,sapug,బూటు
426,Ring::N,rengaz,ఉంగరము
427,Band::N,lentaine,నాడా
428,Kamm::N,suga,దువ్వెన
429,Spiegel::N,zerkol,అద్దము
430,Riemen::N,vö,వాడా
431,Schnur::N,nor,దారము
432,Leine::N,talutimnor,వారు
433,Decke::N,sijakatuz,కంబళి
434,Kissen::N,pöluz,తలగడ
435,Tuch::N,paik,బట్ట
436,Handtuch::N,käzipaik,తువాలు
437,Kraft::N,vägi,బలము
438,Stärke::N,vahvuz',శక్తి
439,Gesundheit::N,tervhuz,ఆరోగ్యము
440,Krankheit::N,läžund,రోగము
441,Schmerz::N,kibu,నొప్పి
442,Wunde::N,čapatez,గాయము
443,Fieber::N,säru,జ్వరము
444,Arznei::N,zel'l',మందు
445,Brücke::N,sild,వంతెన
446,Brunnen::N,kaiv,బావి
447,Brunnen::N,kaiv,కూపము
448,Brunnen::N,kaiv,నుయ్యి
449,Weide::N,omaluine,పచ్చికబయలు
450,Pfad::N,tehut,కాలిత్రోవ
451,Weg::N,te,మార్గము
452,Straße::N,te,బాట
453,Dorf::N,külä,గ్రామము
454,Stadt::N,lidn,పట్టణము
455,Brief::N,kirjeine,జాబు
456,Buch::N,kirj,పుస్తకము
457,Buchstabe::N,kirjam,అక్షరము
458,Zeitung::N,lehtez,వార్తాపత్రిక
459,Leben::N,elo,ప్రాణము
460,Tod::N,surm,మరణము
461,Grab::N,kaum,సమాధి
462,Kirche::N,jumalanpert',క్రెస్తవులగుడి
463,Sünde::N,grähk,పాపము
464,Gott::N,jumal,దేవుడు
465,Arbeiter::N,radnik,పనిపాటుచేశేవాడు
466,Chef::N,pämez',యజమానుడు
467,Meister::N,mastar,కళాకారుడు
468,Arzt::N,lekar',వైద్యుడు
469,Lehrer::N,opendai,ఉపాధ్యాయుడు
470,Geld::N,rahad,ద్రవ్యము
471,Geschäft::N,biznes,వ్యాపారము
472,Laden::N,lauk,అంగడి
473,Preis::N,arv,వెల
474,Ware::N,tavar,సరకులు
475,Nutzen::N,liža,ప్రయోజనము
476,Reichtum::N,kodielo,ధనము
477,Reichtum::N,kal'huz',ధనము
478,Welt::N,mail'm,ప్రపంచము
479,Land::N,ma,దేశము
480,Staat::N,valdkund,రాజ్యము
481,König::N,kunigaz,రాజు
482,Macht::N,vald,అధికారము
483,Grenze::N,röun,సరిహద్దు
484,Krieg::N,soda,యుద్ధము
485,Feind::N,vihanik,శత్రువు
486,Feind::N,vastustai,శత్రువు
487,Gewalt::N,vägivald,దౌర్జన్యము
488,Kampf::N,tora,పోట్లాట
489,Bogen[Waffe]::N,taug,విల్లు
490,Pfeil::N,nol,బాణము
491,Gewehr::N,oružj,తుపాకి
492,Fehler::N,viga,తప్ప
493,Lüge::N,kelastuz,అసత్యము
494,Schaden::N,pahuz',నష్టము
495,Unglück::N,bed,దురదృష్టము
496,Unglück::N,gor'a,దురదృష్టము
497,Schuld::N,värhuz',తప్పు
498,Alter::N,igä,వయస్సు
499,Schluss::N,lop,ముగింపు
500,Zeit::N,aig,కాలము
501,Tag::N,päiv,దినము
502,Morgen::N,homendez,ఉదయము
503,Mittag::N,keskpäiv,మధ్యాహ్నము
504,Abend::N,eht,సాయంకాలము
505,Nacht::N,ö,రత్రి
506,Woche::N,nedal',వారము
507,Monat::N,ku,నెల
508,Jahr::N,voz',సంవత్సరము
509,Frühling::N,keväz',వసంతకాలము
510,Sommer::N,keza,వేసవికాము
511,Herbst::N,sügüz',ఆకురాలుకాలము
512,Winter::N,tal'v,శీతకాలము
513,Januar::N,viluku,జనవరి
514,Februar::N,uhoku,ఫిబ్రవరి
515,März::N,keväz'ku,మార్చి
516,April::N,sulaku,ఏప్రిలు
517,Mai::N,semendku,మే
518,Juni::N,kezaku,జూన్
519,Juli::N,heinku,జూలై
520,August::N,eloku,ఆగస్టు
521,September::N,sügüz'ku,సెప్ఠెంబరు
522,Oktober::N,reduku,అక్టోబరు
523,November::N,kül'mku,నవంబరు
524,Dezember::N,tal'vku,డిసెంబర్
525,Montag::N,ezmärg,సోమవారము
526,Dienstag::N,tožnarg,మంగళవారము
527,Mittwoch::N,koumanz'päiv,బుధవారము
528,Donnerstag::N,nellänz'päiv,గురువారము
529,Freitag::N,pätnič,శుక్రవారము
530,Freitag::N,videnz'päiv,శుక్రవారము
531,Samstag::N,sobat,శనివారము
532,Sonntag::N,pühäpäiv,ఆదివారము
533,groß::A,sur',గొప్పైన
534,groß::A,järed,గొప్పైన
535,klein::A,pen',చిన్న
536,klein::A,pičuine,చిన్న
537,lang::A,pit'k,పొడుగాటి
538,kurz::A,lühüd,పొట్టి
539,breit::A,leved,వెడల్పైన
540,schmal::A,kaid,ఇఱుకైన
541,dicht::A,tihed,దట్టమైన
542,dick[Gegenstand]::A,paks,దట్టమైన
543,dünn::A,hoik,పలుచని
544,fein::A,hen,నాజాకైన
545,fest::A,luja,దృడమైవ
546,fest::A,ninev,దృడమైవ
547,flach::A,lapak,చదువైన
548,glatt::A,siled,నున్నని
549,hart::A,kova,కఠినమైన
550,weich::A,pehmed,మృదువైన
551,rund::A,kehker,గుండ్రని
552,spitz::A,nügu,మొనగల
553,spitz::A,terav,మొనగల
554,scharf::A,terav,పదనైన
555,stumpf::A,tül'c,వాడిలేని
556,schwer::A,jüged,బరువ్తెన
557,schön::A,čoma,సుందరమైన
558,heiß::A,räk,వేడియైన
559,warm::A,läm',వెచ్చని
560,kalt::A,vilu,చల్లని
561,kühl::A,raibak,చల్లని
562,kühl::A,viluhk,చల్లని
563,frisch::A,lahed,తాజాయైన
564,feucht::A,neps,చెమ్మగానున్న
565,feucht::A,toreh,చెమ్మగానున్న
566,nass::A,märg,తడిగామన్న
567,trocken::A,kuiv,ఎండిన
568,voll::A,täuz',నిండు
569,leer::A,joudai,శూన్యమైన
570,offen::A,avoin,తెఱచియున్న
571,offen::A,avol'jaine,తెఱచియున్న
572,geschlossen::A,saubaline,మూసిన
573,sauber::A,puhtaz,పరిశుద్ధమైన
574,schmutzig::A,redukaz,ముఱికియైన
575,roh::A,rohk,పచ్చి
576,roh::A,toreh,పచ్చి
577,reif::A,küps,పండివ
578,lecker::A,magukaz,రుచి గల
579,süß::A,maged,తియ్యని
580,bitter::A,karged,చేదైన
581,sauer::A,muiged,పుల్లని
582,hell::A,kirkas,కాంతిగల
583,hell::A,valgei,కాంతిగల
584,dunkel::A,pimed,చీకటియైన
585,schwarz::A,must,నల్లని
586,weiß::A,vauged,తెలుపు
587,rot::A,rusked,ఎఱ్ఱని
588,gelb::A,pakuine,పసుపు పచ్చ
589,blau::A,sinine,నీలవర్ణము
590,grün::A,vihand,ఆకుపచ్చని
591,grau::A,hahk,నెరిసిన
592,bunt::A,kirjav,రంగేలీ
593,billig::A,odav,చౌకయైన
594,teuer::A,kalliž,వెలపొడుగైన
595,wertvoll::A,arvokas,విలుప్తెన
596,blind::A,soged,గ్రుడ్డి
597,taub::A,kurdiž,చెవిటి
598,kräftig::A,vägev,శక్తి గల
599,stark::A,vahv,బలమైన
600,stark::A,vägekaz,బలమైన
601,schwach::A,väll',బలహీనమైన
602,fett::A,razvakaz,క్రొవ్విన
603,schlank::A,kapos,సన్నని
604,hübsch::A,čoma,సాగప్తెన
605,böse::A,äred,చెడ్డ
606,böse::A,käred,చెడ్డ
607,dumm::A,el'getoi,తెలివిలేని
608,faul::A,lašk,సోమరియైన
609,fleißig::A,radonnavedii,శ్రద్దగల
610,geizig::A,ažlak,పిసినారియైన
611,klug::A,melev,తెలివిగల
612,klug::A,melekaz,తెలివిగల
613,geschickt::A,mahtokaz,నిపుణతగల
614,lieb::A,izo,ప్రియమైన
615,lieb::A,sula,ప్రియమైన
616,lustig::A,ilokaz,ఉల్లాసము గల
617,sanft::A,laskav,సాధువైన
618,hungrig::A,näl'ghine,ఆకలిగొనిన
619,krank::A,läžui,వ్యాధిగల
620,nackt::A,alastoi,దిగంబరమైన
621,traurig::A,opalahine,విచారముగల
622,lebendig::A,eläb,ప్రాణముతో నున్న
623,gut::A,hüvä,మంచి
624,schlecht::A,huba,చెడ్డ
625,richtig::A,oiged,సరియైన
626,schlimm::A,paha,అసహ్యమైన
627,wahr::A,todesine,నిజమైన
628,alt::A,vanh,ముసలి
629,neu::A,uz',క్రొత్త
630,ehemalig::A,edeline,పూర్వపు
631,alt[Lebewesen]::A,ravaz,ముసలి
632,jung::A,nor',పసి
633,arm::A,gol'l',బీద
634,reich::A,elokaz,ధనవంతుడైన
635,bekannt::A,tutab,తెలిసిన
636,berühmt::A,tetab,ప్రపిద్దికెక్కివ
637,fremd::A,veraz,అన్యమైన
638,verschieden::A,erazvuitte,భేదమైన
639,nah::A,läheline,దగ్గఱనున్న
640,fern::A,edahaine,దూరమందున్న
641,linker::A,hura,ఎడమప్రక్కగ
642,rechter::A,oiged,కుడి
643,anderer::A,toine,వేఱ్తెన
644,erster::A,ezmäine,మొదటి
645,zweiter::A,toine,రెండన
646,dritter::A,koumanz',మూడో
647,letzter::A,jäl'gmäine,కడపటి
648,allein::ADV,üksnäze,ఒంటిగా
649,auf einmal::ADV,ühten aigan,హరాత్తుగ
650,zusammen::ADV,ühtes,కలిసి
651,lange::ADV,hätken,బహుకాలము
652,plötzlich::ADV,äkkid,హరాత్తుగ
653,sofort::ADV,kerdalaz,తక్షణము
654,später::ADV,möhemba,ఇటీవలి
655,jetzt::ADV,nügüd',ఇప్పుడు
656,heute::ADV,tämbei,నేడు
657,morgen::ADV,homen,ఱేపు
658,bald::ADV,pigai,శీఘ్రముగ
659,dann::ADV,sid',అప్పుడు
660,gestern::ADV,eglai,నిన్నటి దినము
661,einst::ADV,ende,పూర్వమొకప్పుడు
662,einst::ADV,kerdan,పూర్వమొకప్పుడు
663,damals::ADV,siloi,అప్పుడు
664,danach::ADV,sid',అప్పుడు
665,vorher::ADV,ende,ఎదుట
666,zuerst::ADV,ezmäi,మొదటిలో
667,einmal::ADV,kerdan,ఒకసారి
668,manchmal::ADV,erašti,అప్పటప్పటికి
669,oft::ADV,paksus,తఱచుగా
670,immer::ADV,kaiken,ఎల్లప్పుడు
671,niemals::ADV,ei nikonz,ఎప్పుడునులేదు
672,hier::ADV,täs,ఇక్కడ
673,hier::ADV,tägä,ఇక్కడ
674,hierhin::ADV,tänna,ఇక్కడకు
675,von hier::ADV,täspäi,ఇక్కడనుండి
676,von hier::ADV,sid'päi,ఇక్కడనుండి
677,dort::ADV,sigä,అక్కడ
678,dorthin::ADV,sinna,అక్కడికి
679,dorthin::ADV,nakkale,అక్కడికి
680,geradeaus::ADV,kohtha,సూటిగా
681,vorwärts::ADV,edehe,ముందుకు
682,rückwärts::ADV,sel'gin,వెనుకకు
683,zurück::ADV,tagaze,వెనుకభాగము
684,unten::ADV,alahan,క్రింద
685,hinab::ADV,alaz,కిందికి
686,hinab::ADV,alahaks,కిందికి
687,oben::ADV,ülähän,మీద
688,hinauf::ADV,ülez,పైకి
689,hinauf::ADV,ülähäks,పైకి
690,überall::ADV,kaikjal,అంతటా
691,nicht::ADV,ei,కాదు
692,ein wenig::ADV,vähän,కొంచెము
693,kaum::ADV,habi,చాలిచాలక
694,sehr::ADV,lujas,చాల
695,so::ADV,muga,ఆలాగున
