,Concept_ID,zh,no
330,Brett::N,木板,brett
331,Platte::N,平板,plate
332,Stütze::N,支架,støtte
333,Stange::N,杆,stang
334,Stock::N,棒,pinne
335,Stab::N,棍,stav
336,Stab::N,棍,kjepp
337,Rohr::N,管子,rør
338,Haus::N,房屋,hus
339,Heim::N,家,hjem
340,Ofen::N,炉子,ovn
341,Fußboden::N,地板,gulv
342,Tisch::N,桌子,bord
343,Stuhl::N,椅子,stol
344,Wiege::N,摇蓝,vogge
345,Bett::N,床,seng
346,Regal::N,架子,reol
347,Regal::N,架子,hylle
348,Kiste::N,箱子,kasse
349,Fenster::N,窗户,vindu
350,Tür::N,门,dør
351,Tor::N,大门,port
352,Zaun::N,篱笆,gjerde
353,Dach::N,屋顶,tak
354,Leiter::N,梯子,stige
355,Besen::N,扫帚,kost
356,Spaten::N,铁锹,spade
357,Schaufel::N,铁锹,skuffe
358,Gabel::N,叉,gaffel
359,Löffel::N,食匙,skje
360,Messer::N,刀,kniv
361,Nagel::N,钉子,spiker
362,Netz::N,网,nett
363,Haken::N,钩子,krok
364,Griff::N,把柄,tak
365,Griff::N,把柄,håndtak
366,Schloss::N,锁,lås
367,Bild::N,图画,bilde
368,Figur::N,人像,figur
369,Puppe::N,娃娃,dukke
370,Beutel::N,袋子,pose
371,Bündel::N,捆,bylt
372,Tasche::N,手提包,veske
373,Eimer::N,桶,bøtte
374,Deckel::N,盖子,lokk
375,Geschirr::N,餐具,kjøkkentøy
376,Sack::N,袋子,sekk
377,Tasse::N,杯子,kopp
378,Topf::N,锅,gryte
379,Kessel::N,水壶,kjele
380,Essen::N,进餐,mål
381,Nahrung::N,食物,mat
382,Nahrung::N,食物,næring
383,Speise::N,菜肴,matrett
384,Fleisch::N,肉,kjøtt
385,Getreide::N,谷物,korn
386,Brei::N,粥,grøt
387,Brot::N,面包,brød
388,Scheibe::N,片,skive
389,Fett::N,脂肪,fett
390,Butter::N,黄油,smør
391,Öl::N,油,olje
392,Salz::N,盐,salt
393,Suppe::N,汤,suppe
394,Honig::N,蜂蜜,honning
395,Milch::N,奶,melk
396,Tee::N,茶,te
397,Leder::N,皮革,lær
398,Leder::N,皮革,skinn
399,Wolle::N,毛线,ull
400,Stoff::N,织物,tøy
401,Stoff::N,织物,stoff
402,Nadel::N,针,nål
403,Faden::N,线,tråd
404,Knopf::N,纽扣,knapp
405,Knoten::N,结,knute
406,Farbe::N,颜色,farge
407,Kleidung::N,衣服,påkledning
408,Hemd::N,衬衫,skjorte
409,Kragen::N,领子,krage
410,Ärmel::N,袖子,erme
411,Hose::N,裤子,bukse
412,Gürtel::N,腰带,belte
413,Mütze::N,帽子,lue
414,Schuh::N,鞋,sko
415,Stiefel::N,靴子,støvel
416,Ring::N,戒指,ring
417,Band::N,带子,band
418,Kamm::N,梳子,kam
419,Spiegel::N,镜子,speil
420,Riemen::N,皮带,rem
421,Schnur::N,绳子,snor
422,Leine::N,皮带,line
423,Decke::N,被子,teppe
424,Kissen::N,软垫,pute
425,Tuch::N,巾,tøy
426,Handtuch::N,手巾,håndkle
427,Kraft::N,力,kraft
428,Stärke::N,力量,styrke
429,Gesundheit::N,健康,helse
430,Gesundheit::N,健康,sunnhet
431,Krankheit::N,病,syke
432,Krankheit::N,病,sykdom
433,Schmerz::N,痛,smerte
434,Wunde::N,伤口,sår
435,Fieber::N,发烧,feber
436,Arznei::N,药,medisin
437,Arznei::N,药,legemiddel
438,Brücke::N,桥,bro
439,Brunnen::N,井,brønn
440,Weide::N,牧场,beite
441,Pfad::N,小路,sti
442,Weg::N,路,vei
443,Straße::N,街,gate
444,Dorf::N,村庄,landsby
445,Stadt::N,城市,by
446,Brief::N,信,brev
447,Buch::N,书,bok
448,Buchstabe::N,字母,bokstav
449,Zeitung::N,报纸,avis
450,Leben::N,生命,liv
451,Tod::N,死亡,død
452,Grab::N,坟墓,grav
453,Kirche::N,教堂,kirke
454,Sünde::N,罪,synd
455,Gott::N,上帝,gud
456,Arbeiter::N,工人,arbeider
457,Chef::N,上司,sjef
458,Meister::N,师傅,mester
459,Arzt::N,医生,lege
460,Lehrer::N,教师,lærer
461,Geld::N,钱,penger
462,Geschäft::N,交易,forretning
463,Laden::N,商店,butikk
464,Preis::N,价格,pris
465,Ware::N,商品,vare
466,Nutzen::N,好处,nytte
467,Reichtum::N,财富,rikdom
468,Welt::N,世界,verden
469,Land::N,国家,land
470,Staat::N,国家,stat
471,König::N,国王,konge
472,Macht::N,权力,makt
473,Grenze::N,边界,grense
474,Krieg::N,战争,krig
475,Feind::N,敌人,fiende
476,Gewalt::N,暴力,vold
477,Kampf::N,战斗,kamp
478,Bogen[Waffe]::N,弓,bue
479,Pfeil::N,箭,pil
480,Gewehr::N,枪,gevær
481,Fehler::N,错误,feil
482,Lüge::N,谎话,løgn
483,Schaden::N,损失,skade
484,Unglück::N,不幸,uhell
485,Schuld::N,过错,skyld
486,Alter::N,年龄,alder
487,Schluss::N,结束,slutt
488,Zeit::N,时间,tid
489,Tag::N,天,dag
490,Morgen::N,早晨,morgen
491,Mittag::N,中午,middag
492,Abend::N,晚上,aften
493,Nacht::N,夜,natt
494,Woche::N,星期,uke
495,Monat::N,月,måned
496,Jahr::N,年,år
497,Frühling::N,春天,vår
498,Sommer::N,夏天,sommer
499,Herbst::N,秋天,høst
500,Winter::N,冬天,vinter
501,Januar::N,一月,januar
502,Februar::N,二月,februar
503,März::N,三月,mars
504,April::N,四月,april
505,Mai::N,五月,mai
506,Juni::N,六月,juni
507,Juli::N,七月,juli
508,August::N,八月,august
509,September::N,九月,september
510,Oktober::N,十月,oktober
511,November::N,十一月,november
512,Dezember::N,十二月,desember
513,Montag::N,星期一,mandag
514,Dienstag::N,星期二,tirsdag
515,Mittwoch::N,星期三,onsdag
516,Donnerstag::N,星期四,torsdag
517,Freitag::N,星期五,fredag
518,Samstag::N,星期六,lørdag
519,Sonntag::N,星期日,søndag
520,groß::A,大,stor
521,klein::A,小,liten
522,lang::A,长,lang
523,kurz::A,短,kort
524,breit::A,宽,bred
525,schmal::A,细长的,smal
526,dicht::A,密,tett
527,dick[Gegenstand]::A,厚,tykk
528,dünn::A,薄,tynn
529,fein::A,细小,fin
530,fest::A,固体,fast
531,flach::A,平坦,flat
532,glatt::A,光滑,glatt
533,hart::A,硬,hard
534,weich::A,软,myk
535,weich::A,软,bløt
536,rund::A,圆,rund
537,spitz::A,尖,spiss
538,scharf::A,锋利,kvass
539,stumpf::A,钝,stubb
540,schwer::A,重,tung
541,schön::A,美丽,pen
542,schön::A,美丽,vakker
543,heiß::A,烫,het
544,warm::A,暖和,varm
545,kalt::A,冷,kald
546,kühl::A,凉,kjølig
547,frisch::A,新鲜,fersk
548,feucht::A,潮湿,fuktig
549,nass::A,湿,våt
550,trocken::A,干,tørr
551,voll::A,满,full
552,leer::A,空,tom
553,offen::A,敞开,åpen
554,geschlossen::A,关闭,lukket
555,sauber::A,干净,ren
556,schmutzig::A,肮脏,skitten
557,roh::A,生,rå
558,reif::A,成熟,moden
559,lecker::A,好吃,lekker
560,süß::A,甜,søt
561,bitter::A,苦,besk
562,bitter::A,苦,bitter
563,sauer::A,酸,sur
564,hell::A,亮,lys
565,dunkel::A,阴暗,mørk
566,schwarz::A,黑,svart
567,weiß::A,白,hvit
568,rot::A,红,rød
569,gelb::A,黄,gul
570,blau::A,蓝,blå
571,grün::A,绿,grønn
572,grau::A,灰色,grå
573,bunt::A,五彩,broket
574,billig::A,便宜,billig
575,teuer::A,贵,dyr
576,wertvoll::A,贵重,verdifull
577,blind::A,瞎,blind
578,taub::A,聋,døv
579,kräftig::A,强壮,kraftig
580,stark::A,强壮,sterk
581,schwach::A,弱,svak
582,fett::A,胖,fet
583,schlank::A,苗条,slank
584,hübsch::A,漂亮,pen
585,böse::A,邪恶,slem
586,dumm::A,笨,dum
587,faul::A,懒惰,lat
588,faul::A,懒惰,doven
589,fleißig::A,勤奋,flittig
590,geizig::A,吝啬,gjerrig
591,klug::A,聪明,klok
592,geschickt::A,灵巧,hendig
593,geschickt::A,灵巧,skikket
594,lieb::A,可爱,kjær
595,lieb::A,可爱,snill
596,lustig::A,快乐,morsom
597,sanft::A,柔和,blid
598,hungrig::A,饥饿,sulten
599,krank::A,患病,syk
600,nackt::A,裸体,naken
601,traurig::A,悲哀,sørgmodig
602,lebendig::A,活,levende
603,gut::A,好,god
604,schlecht::A,坏,dårlig
605,richtig::A,正确,riktig
606,schlimm::A,糟糕,slem
607,wahr::A,真,sann
608,alt::A,旧,gammel
609,neu::A,新,ny
610,ehemalig::A,以前,forhenværende
611,alt[Lebewesen]::A,老,gammel
612,jung::A,年轻,ung
613,arm::A,贫穷,fattig
614,reich::A,富裕,rik
615,bekannt::A,出名,kjent
616,berühmt::A,著名,berømt
617,fremd::A,陌生,fremmed
618,verschieden::A,不同,forskjellig
619,nah::A,近,nær
620,fern::A,遥远,fjern
621,linker::A,左,venstre
622,rechter::A,右,høyre
623,anderer::A,别的,annen
624,erster::A,第一,første
625,zweiter::A,第二,annen
626,dritter::A,第三,tredje
627,letzter::A,最后,sist
628,allein::ADV,单独,alene
629,auf einmal::ADV,同时,med ett
630,zusammen::ADV,一起,sammen
631,lange::ADV,许久,lenge
632,plötzlich::ADV,忽然,plutselig
633,sofort::ADV,立刻,straks
634,später::ADV,以后,senere
635,jetzt::ADV,现在,nå
636,heute::ADV,今天,i dag
637,morgen::ADV,明天,i morgen
638,bald::ADV,即将,snart
639,dann::ADV,然后,så
640,gestern::ADV,昨天,i går
641,einst::ADV,曾经,engang
642,damals::ADV,当时,den gang
643,danach::ADV,随后,deretter
644,vorher::ADV,事先,før
645,vorher::ADV,事先,i forveien
646,zuerst::ADV,首先,først
647,einmal::ADV,一次,en gang
648,manchmal::ADV,有时,somme tider
649,oft::ADV,时常,ofte
650,immer::ADV,总是,alltid
651,niemals::ADV,从未,aldri
652,hier::ADV,这里,her
653,hierhin::ADV,到这里,hit
654,von hier::ADV,由此,herfra
655,dort::ADV,那里,der
656,dorthin::ADV,到那里,dit
657,geradeaus::ADV,一直往前,rett fram
658,vorwärts::ADV,向前,fram
659,vorwärts::ADV,向前,framover
660,rückwärts::ADV,向后,baklengs
661,zurück::ADV,退后,tilbake
662,unten::ADV,下面,nede
663,hinab::ADV,向下,ned
664,hinab::ADV,向下,nedover
665,oben::ADV,上面,oppe
666,oben::ADV,上面,ovenpå
667,hinauf::ADV,向上,opp
668,hinauf::ADV,向上,oppover
669,überall::ADV,到处,overalt
670,nicht::ADV,不,ikke
671,ein wenig::ADV,一点儿,litt
672,kaum::ADV,几乎不,neppe
673,sehr::ADV,很,svært
674,so::ADV,如此,så
675,noch::ADV,还,enda
676,nur::ADV,只,bare
677,schon::ADV,已经,alt
678,schon::ADV,已经,allerede
679,wieder::ADV,又,igjen
680,vor::PRP,在...面前,foran
681,vor::PRP,在...面前,utenfor
682,hinter::PRP,在...背后,bak
683,hinter::PRP,在...背后,bakom
684,unter::PRP,在...下面,under
685,durch::PRP,穿过,gjennom
686,durch::PRP,穿过,igjennom
687,neben::PRP,在...旁,ved siden av
688,zwischen::PRP,在...之间,mellom
689,wegen::PRP,由于,på grunn av
690,dies::PRN,这,dette
691,das::PRN,那,det
692,alles::PRN,一切,alt
693,ich::PRN,我,jeg
694,du::PRN,你,du
695,er::PRN,他,han
696,wir::PRN,我们,vi
697,ihr::PRN,你们,dere
698,sie::PRN,她,de
699,was::FPRN,什么,hva
700,wer::FPRN,谁,hvem
701,wo::FADV,哪里,hvor
702,wohin::FADV,去哪里,hvor ... hen
703,wie::FADV,怎么,hvordan
704,warum::FADV,为什么,hvorfor
705,wieviel::FNUM,多少,hvor mye
706,eins::NUM,一,en
707,eins::NUM,一,ett
708,zwei::NUM,二,to
709,drei::NUM,三,tre
710,vier::NUM,四,fire
711,fünf::NUM,五,fem
712,sechs::NUM,六,seks
713,sieben::NUM,七,sju
714,acht::NUM,八,åtte
715,neun::NUM,九,ni
716,zehn::NUM,十,ti
717,elf::NUM,十一,elleve
718,zwölf::NUM,十二,tolv
719,zwanzig::NUM,二十,tjue
720,dreißig::NUM,三十,tretti
721,vierzig::NUM,四十,førti
722,fünfzig::NUM,五十,femti
723,sechzig::NUM,六十,seksti
724,siebzig::NUM,七十,sytti
725,achtzig::NUM,八十,åtti
726,neunzig::NUM,九十,nitti
727,hundert::NUM,百,hundre
728,tausend::NUM,千,tusen
729,und::CNJ,和,og
730,oder::CNJ,或者,eller
731,stehen::V,站,stå
732,sitzen::V,坐,sitte
733,liegen::V,躺着,ligge
734,hängen::V,挂着,henge
735,werden::V,成为,bli
736,passieren::V,发生,skje
737,passieren::V,发生,hende
738,beginnen::V,开始,begynne
739,enden::V,终止,ende
740,enden::V,终止,slutte
741,wechseln::V,变迁,veksle
742,aufgehen[Sonne]::V,升起,stå opp
743,untergehen[Sonne]::V,下落,gå ned
744,scheinen[Sonne]::V,照射,skinne
745,donnern::V,打雷,tordne
746,wehen::V,飘扬,blåse
747,strömen::V,流,strømme
748,fließen::V,流动,flyte
749,sich drehen::V,转动,dreie seg
750,schwanken::V,摇摆,svaie
751,schwingen::V,摇,svinge
752,fallen::V,坠落,falle
753,brennen::V,燃烧,brenne
754,rauchen::V,冒烟,ryke
755,regnen::V,下雨,regne
756,gefrieren::V,结冰,fryse
757,tauen::V,融化,tine
758,schmelzen::V,溶化,smelte
759,trocknen::V,变干,tørre
760,sieden::V,煮,koke
761,faulen::V,腐烂,råtne
762,verfaulen::V,腐烂,råtne
763,reißen::V,撕,briste
764,versinken::V,下沉,synke
765,versinken::V,下沉,synke ned
766,vergehen::V,流逝,forløpe
767,erscheinen::V,出现,synes
768,verschwinden::V,消失,forsvinne
769,sinken::V,下降,synke
770,abnehmen::V,减少,avta
771,abnehmen::V,减少,minske
772,zunehmen::V,增加,tilta
773,steigen::V,上升,stige
774,wachsen::V,生长,gro
775,wachsen::V,生长,vokse
776,glänzen::V,发光,skinne
777,funkeln::V,闪烁,tindre
778,lärmen::V,吵闹,bråke
779,läuten::V,响,ringe
780,klingeln::V,按铃,ringe
781,brausen::V,疾驶,bruse
782,klingen::V,听起来,lyde
783,klingen::V,听起来,klinge
784,bellen::V,吠,gjø
785,bellen::V,吠,bjeffe
786,heulen::V,嗥,ule
787,blasen::V,吹,blåse
788,pfeifen::V,吹口哨,plystre
789,schreien::V,叫喊,skrike
790,stöhnen::V,呻吟,stønne
791,zittern::V,颤抖,dirre
792,zittern::V,颤抖,skjelve
793,leben::V,生存,leve
794,geboren werden::V,出生,fødes
795,atmen::V,呼吸,ånde
796,atmen::V,呼吸,puste
797,trinken::V,喝,drikke
798,essen::V,吃,spise
799,schlucken::V,咽,svelge
800,müde werden::V,疲倦,bli trett
801,einschlafen::V,入睡,sovne
802,schlafen::V,睡觉,sove
803,aufwachen::V,睡醒,våkne
804,aufstehen::V,起床,stå opp
805,sich erholen::V,休养,bli bra
806,sich erholen::V,休养,komme seg
807,krank werden::V,生病,bli syk
808,krank sein::V,生病,være syk
809,schmerzen::V,疼痛,gjøre vondt
810,husten::V,咳,hoste
811,genesen::V,痊愈,komme seg
812,sterben::V,死,dø
813,umkommen::V,丧命,omkomme
814,sich bewegen::V,移动,bevege seg
815,sich rühren::V,动弹,røre på seg
816,sich erheben::V,站起,reise seg
817,sich setzen::V,坐,sette sig
818,hinfallen::V,跌倒,falle over ende
819,laufen::V,步行,løpe
820,schreiten::V,迈步,skride
821,spazierengehen::V,散步,spasere
822,spazierengehen::V,散步,gå en tur
823,eilen::V,急忙,ile
824,sich beeilen::V,赶快,skynde seg
825,sausen::V,疾驰,suse
826,rennen::V,奔跑,løpe
827,springen::V,跳,hoppe
828,springen::V,跳,springe
829,klettern::V,攀缘,klatre
830,schaukeln::V,荡秋千,huske
831,kriechen::V,爬行,krype
832,schwimmen::V,游泳,svømme
833,tauchen::V,潜水,dykke
834,rudern::V,划船,ro
835,fahren::V,行驶,kjøre
836,fliegen::V,飞,fly
837,gehen::V,走,gå
838,weggehen::V,离去,gå bort
839,abfahren::V,出发,reise
840,anhalten::V,停住,stanse
841,hineingehen::V,进去,gå inn
842,eintreten::V,进入,tre inn
843,kommen::V,来,komme
844,ankommen::V,到达,ankomme
845,ankommen::V,到达,komme til
846,zurückkommen::V,回来,komme tilbake
847,bleiben::V,停留,bli
848,bleiben::V,停留,forbli
849,warten::V,等,vente
850,erwarten::V,等候,vente
851,suchen::V,找,søke
852,finden::V,找到,finne
853,versuchen::V,尝试,prøve
854,versuchen::V,尝试,forsøke
855,vorbereiten::V,预备,forberede
856,lieben::V,爱,elske
857,mögen::V,喜欢,like
858,lachen::V,笑,le
859,weinen::V,哭,gråte
860,schimpfen::V,骂,skjelle
861,sich ärgern::V,生气,ergre seg
862,sich fürchten::V,害怕,være redd
863,fürchten::V,害怕,være redd for
864,fliehen::V,逃走,rømme
865,fliehen::V,逃走,flykte
866,flüchten::V,逃跑,flykte
867,sehen::V,看,se
868,anschauen::V,注视,se på
869,anschauen::V,注视,betrakte
870,ansehen::V,注视,anse
871,hören::V,听,høre
872,zuhören::V,倾听,tilhøre
873,probieren::V,尝,smake
