,Concept_ID,kn,kv
145,Eichhörnchen::N,ಉಡುತೆ,ур
146,Elch::N,ಕಡವೆ,вӧр мӧс
147,Fuchs::N,ನರಿ,руч
148,Hase::N,ಮೊಲ,кӧч
149,Maus::N,ಇಲಿ,шыр
150,Wolf::N,ತೋಳ,кӧин
151,Vogel::N,ಪಕ್ಷಿ,кай
152,Schwarm::N,ಗುಂಪು,стая
153,Schwarm::N,ಗುಂಪು,чукӧр
154,Huhn::N,ಚಿಕ್,курӧг
155,Hahn::N,ಹುಂಜ,петух
156,Hahn::N,ಹುಂಜ,ай курӧг
157,Gans::N,ವರಟೆ,дзодзог
158,Adler::N,ಗರುಡ,куч
159,Adler::N,ಗರುಡ,кутш
160,Ente::N,ಬಾತು,утка
161,Eule::N,ಗೂಬೆ,тупка
162,Kranich::N,ಕೊಕ್ಕರ,тури
163,Krähe::N,ಕಾಗೆ,рака
164,Kuckuck::N,ಕೋಗಿಲೆ,кӧк
165,Schwan::N,ಹಂಸಪಕ್ಷಿ,юсь
166,Fisch::N,ಮೀನು,чери
167,Barsch::N,ಪರ್ಚ್ ಮೀನು,ёкыш
168,Hecht::N,ಪೈಕ್ ಮೀನು,сирпинь
169,Schlange[Tier]::N,ಹಾವು,змей
170,Wurm::N,ಹುಳು,номыр
171,Spinne::N,ಊರ್ಣನಾಭ,черань
172,Ameise::N,ಇರುವೆ,кӧдзывкар
173,Laus::N,ಹೇನು,ляпа той
174,Mücke::N,ಸೊಳ್ಳೆ,ном
175,Fliege::N,ನೊಣ,гут
176,Schmetterling::N,ಪತಂಗ,бабыв
177,Beere::N,ನಯವಣ್ಣು,ягӧд
178,Apfel::N,ಸೇಬು,яблоко
179,Pilz::N,ಅಣಬೆ,тшак
180,Zwiebel::N,ನೀರುಳ್ಳಿ,грез
181,Saat::N,ಬಿತ್ತ,кӧдзыс
182,Korn::N,ಬೀಜ,сю
183,Heu::N,ಕರಡ,турун
184,Schale::N,ಹೊಟ್ಟು,кыш
185,Schale::N,ಹೊಟ್ಟು,киль
186,Grube::N,ಗುಂಡಿ,яма
187,Falle::N,ಬೋನು,нальк
188,Falle::N,ಬೋನು,кляпча
189,Schlinge::N,ಉರುಲು,лӧч
190,Spur::N,ಜಾಡು,туй
191,Asche::N,ಬೂದಿ,пӧим
192,Dreck::N,ಹೊಲಸು,нять
193,Eisen::N,ಕಬ್ಬಿಣ,кӧрт
194,Gold::N,ಚಿನ್ನ,зарни
195,Silber::N,ಬೆಳ್ಳಿ,язісь
196,Kohle::N,ಕಲ್ಲಿದ್ದಲು,шом
197,Kohle::N,ಕಲ್ಲಿದ್ದಲು,уголь
198,Glas::N,ಗಾಜು,стекло
199,Lehm::N,ಜೇಡಿಮಣ್ಣು,сёй
200,Sand::N,ಮರಳು,лыа
201,Mensch::N,ಪುರುಷ,морт
202,Mann::N,ಆಳು,мужик
203,Frau::N,ಹೆಣ್ಣು,инька
204,Kind::N,ಮಗು,кага
205,Junge::N,ಹುಡುಗ,зонка
206,Mädchen::N,ಹುಡುಗಿ,нывкаок
207,Familie::N,ಕುಟುಂಬ,семья
208,Großvater::N,ಅಜ್ಜ,дед
209,Großmutter::N,ಅಮ್ಮ,баб
210,Eltern::N,ಹೆತ್ತವರು,ай-мам
211,Vater::N,ತಂದೆ,ай
212,Mutter::N,ಅಮ್ಮ,мам
213,Sohn::N,ಮಗ ,зон
214,Tochter::N,ಮಗಳು,ныв
215,Bruder::N,ತಮ್ಮ,вон
216,Schwester::N,ತಂಗಿ,сой
217,Onkel::N,ಸೋದರಮಾವ,дядь
218,Onkel::N,ದೊಡ್ಡಪ್ಪ,дядь
219,Tante::N,ಚಿಕ್ಕಮ್ಮ,айӧлӧн сой
220,Tante::N,ಚಿಕ್ಕಮ್ಮ,ичинь
221,Ehemann::N,ಗಂಡ,жӧник
222,Ehefrau::N,ಹೆಂಡತಿ,инь
223,Freude::N,ನಲಿವು,гаж
224,Freude::N,ನಲಿವು,радъялӧм
225,Gelächter::N,ನಗೆ,сералӧм
226,Glück::N,ಆನಂದ,мичлун
227,Kummer::N,ದುಃಖ,шог
228,Wunsch::N,ಬಯಕೆ,мӧдӧм
229,Wunsch::N,ಬಯಕೆ,охотитӧм
230,Lust::N,ಇಷ್ಟ,охота
231,Geist::N,ಆತ್ಮ,лов
232,Gedanke::N,ಯೋಚನೆ,дума
233,Gedächtnis::N,ಸ್ಮರಣೆ,тӧдвыв
234,Verstand::N,ಮನಸ್ಸು,вежӧр
235,Sinn::N,ಅರ್ಥ,ылӧс
236,Grund::N,ಕಾರಣ,мог
237,Wahrheit::N,ಸತ್ಯ,правда
238,Gespräch::N,ಸಂಭಾಷಣೆ,сёрни
239,Märchen::N,ಸುಳ್ಳು ಕಥೆ,сказка
240,Erzählung::N,ಕಥೆ,висьт
241,Nachricht::N,ಸಂದೇಶ,юӧр
242,Nachricht::N,ಸಂದೇಶ,висьталӧм
243,Neuigkeit::N,ಸುದ್ದಿ,новость
244,Name::N,ಹೆಸರು,ним
245,Rätsel::N,ಒಗಟು,загадка
246,Rede::N,ಮಾತು,сёрни
247,Sprache::N,ಭಾಷೆ,кыв
248,Stimme::N,ಧ್ವನಿ,голос
249,Wort::N,ಮಾತು,кыв
250,Zeichen::N,ಗುರುತು,пас
251,Ruf::N,ಕೂಗು,чуксӧм
252,Ruf::N,ಕೂಗು,чукӧстӧм
253,Lärm::N,ಸದ್ದು,шум
254,Laut::N,ಶಬ್ದ,шы
255,Ton::N,ನಾದ,гор
256,Lied::N,ಗಾನ,сьыланкыв
257,Ruhe::N,ಶಾಂತಿ,спокой
258,Leute::N,ಮಂದಿ,йӧз
259,Volk::N,ಜನಾಂಗ,йӧз
260,Volk::N,ಜನಾಂಗ,народ
261,Arbeit::N,ಕೆಲಸ,удж
262,Gast::N,ಅತಿಥಿ,гӧсь
263,Geschenk::N,ಕಾಣಿಕೆ,гӧснеч
264,Geschenk::N,ಕಾಣಿಕೆ,подарок
265,Spiel::N,ಆಟ,орсӧм
266,Gesellschaft::N,ಸಂಗ,компания
267,Hilfe::N,ಸಹಾಯ,отсӧт
268,Freund::N,ಸ್ನೇಹಿತ,модз
269,Freund::N,ಸ್ನೇಹಿತ,дружок
270,Kamerad::N,ಜೊತೆಗಾರ,тӧдса
271,Angelegenheit::N,ವಿಚಾರ,дело
272,Anzahl::N,ಎಣಿಕೆ,лыд
273,Art::N,ತರ,пӧлӧс
274,Stück::N,ತುಂಡು,тор
275,Teil::N,ಭಾಗ,юкӧм
276,Hälfte::N,ಅರ್ಧ,джын
277,Kreis::N,ವೃತ್ತ,круг
278,Kreuz::N,ಶಿಲುಬೆ,перна
279,Linie::N,ರೀಖೆ,визь
280,Strich::N,ಗೀಟು,кырӧв
281,Abstand::N,ಅಂತರ,колас
282,Entfernung::N,ದೂರ,ылына
283,Gegend::N,ವಿಸ್ತೀರ್ಣ,места
284,Platz::N,ಅಂತರ,места
285,Ort::N,ಸ್ಥಳ,места
286,Seite::N,ಪಕ್ಷ,ладор
287,Mitte::N,ನಡು,шӧр
288,Gegenstand::N,ವಸ್ತು,тор
289,Sache::N,ವಸ್ತು,тор
290,Rand::N,ಅಂಚು,дор
291,Kante::N,ಅಂಚು,ордлы
292,Ecke::N,ಮೂಲೆ,пельӧс
293,Spitze::N,ತುದಿ,йыв
294,Ende::N,ಕೊನೆ,йыв
295,Loch::N,ತೂತು,осьта
296,Winkel::N,ಕೋನ,пельӧс
297,Muster::N,ನಮೂನೆ,сер
298,Größe::N,ಪ್ರಮಾಣ,ыжда
299,Länge::N,ಉದ್ದ,кузя
300,Höhe::N,ಎತ್ತರ,сувда
301,Höhe::N,ಎತ್ತರ,вылына
302,Gewicht::N,ತೂಕ,сьӧкта
303,Menge::N,ಮೊತ್ತ,
304,Haufen::N,ರಾಶಿ,куча
305,Reihe::N,ಸಾಲು,лёдз
306,Boot::N,ದೋಣಿ,пыж
307,Ruder::N,ಹುಟ್ಟು,пелыс
308,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,додь
309,Ski::N,ಜಾರುಪಟ್ಟಿ,лямпа
310,Lagerfeuer::N,ಶಿಬಿರಾಗ್ನಿ,бипур
311,Last::N,ಹೊರೆ,тягота
312,Gang::N,ತಿರುಗಾಟ,мунӧм
313,Schritt::N,ಹೆಜ್ಜೆ,вожмӧв
314,Norden::N,ಉತ್ತರ,ой
315,Süden::N,ದಕ್ಷಿಣ,лун
316,Westen::N,ಪಶ್ಚಿಮ,рытвыв
317,Osten::N,ಮೂಡಲು,асыв
318,Holz::N,ಚೌಬೀನೆ,пу
319,Brett::N,ಹಲಗೆ,пӧв
320,Platte::N,ಹಲಗೆ,плита
321,Stütze::N,ಆಸರೆ,пика
322,Stange::N,ಕಂಬ,зор
323,Stange::N,ಕಂಬ,потш
324,Stock::N,ಕೋಲು,бедь
325,Stab::N,ದೊಣ್ಣೆ,шест
326,Rohr::N,ನಳಿಕೆ,труба
327,Haus::N,ಮನೆ,керку
328,Heim::N,ಗೃಹ,керку
329,Ofen::N,ಒಲೆ,пӧжавны
330,Fußboden::N,ನೆಲ,джодж
331,Tisch::N,ಮೇಜು,пызан
332,Stuhl::N,ಕುರ್ಚಿ,стул
333,Wiege::N,ತೊಟ್ಟಿಲು,зыбка
334,Bett::N,ಹಾಸಿಗೆ,кровать
335,Regal::N,ಬೀರು,джадж
336,Kiste::N,ಪಟ್ಟಿಗೆ,ящик
337,Fenster::N,ಕಿಟಕಿ,ӧшын
338,Tür::N,ಬಾಗಿಲು,ыбӧс
339,Tor::N,ಹೆಬ್ಬಾಗಿಲು,ворота
340,Zaun::N,ಬೇಲಿ,забор
341,Dach::N,ಮಾಳಿಗೆ,крыша
342,Leiter::N,ಏಣಿ,лиснич
343,Besen::N,ಪೊರಕೆ,рос
344,Spaten::N,ಗುದ್ದಲಿ,зыр
345,Schaufel::N,ಸನಿಕೆ,зыр
346,Gabel::N,ಕವಲು,вила
347,Löffel::N,ಚಮಚ,пань
348,Messer::N,ಚಾಕು,пурт
349,Nagel::N,ಆಣಿ,кӧрттув
350,Netz::N,ಬಲೆ,кыйӧт
351,Haken::N,ಕೊಂಡಿ,ем
352,Griff::N,ಹಿಡಿ,пу
353,Schloss::N,ವೀಗ,замок
354,Bild::N,ಚಿತ್ರ,картина
355,Figur::N,ಆಕಾರ,мыгӧр
356,Puppe::N,ಗೊಂಬೆ,акань
357,Beutel::N,ಸಂಚಿ,мешӧк
358,Bündel::N,ಕಟ್ಟು,нин
359,Tasche::N,ಚೀಲ,сумка
360,Eimer::N,ಬಾನೆ,ведра
361,Deckel::N,ಮುಚ್ಚಳ,вевт
362,Geschirr::N,ಭಕ್ಷ್ಯಗಳು,доз
363,Geschirr::N,ಭಕ್ಷ್ಯಗಳು,бекӧрпань
364,Sack::N,ಮೂಟೆ,мешӧк
365,Tasse::N,ಬಟ್ಟಲು,бекӧр
366,Topf::N,ಮಡಕೆ,кастрюля
367,Kessel::N,ಕೆಟಲ್,пӧрт
368,Essen::N,ಊಟ,сёйӧм
369,Nahrung::N,ಆಹಾರ,вердан
370,Speise::N,ಊಟ,сёян
371,Fleisch::N,ಮಾಂಸ,яй
372,Getreide::N,ಧಾನ್ಯ,сю
373,Brei::N,ಗಂಜಿ,каша
374,Brot::N,ರೊಟ್ಟಿ,нянь
375,Scheibe::N,ಹೋಳು,шӧрӧм
376,Fett::N,ಕೊಬ್ಬು,гос
377,Butter::N,ಬೆಣ್ಣೆ,ви
378,Öl::N,ಎಣ್ಣೆ,ви
379,Salz::N,ಉಪ್ಪು,сов
380,Suppe::N,ಎಸರು,шыд
381,Honig::N,ಮಧು,ма
382,Milch::N,ಹಾಲು,йӧв
383,Tee::N,ಚಹ,чай
384,Leder::N,ಚಕ್ಕಳ,кучик
385,Wolle::N,ಉಣ್ಣೆ,гӧн
386,Stoff::N,ಬಟ್ಟೆ,дӧра
387,Nadel::N,ಸೂಜಿ,ем
388,Faden::N,ದಾರ,сунис
389,Knopf::N,ಗುಂಡು,кизь
390,Knoten::N,ಗಂಟು,узӧв
391,Knoten::N,ಗಂಟು,гӧрӧд
392,Farbe::N,ಬಣ್ಣ,краска
393,Kleidung::N,ಅರಿವೆ,паськӧм
394,Hemd::N,ಅಂಗಿ,йӧрнӧс
395,Kragen::N,ಕುತ್ತಿಗೆಪಟ್ಟಿ,воротник
396,Ärmel::N,ತೋಳು,сос
397,Hose::N,ಇಜಾರ,вешьян
398,Gürtel::N,ಬೆಲ್ಟು,йи
399,Mütze::N,ಟೋಪಿ,шапка
400,Schuh::N,ಪಾದರಕ್ಷೆ,ботинки
401,Stiefel::N,ಬೂಟು,сапог
402,Ring::N,ಉಂಗುರ,чунькытш
403,Band::N,ರಿಬ್ಬನ್,ленточка
404,Kamm::N,ಹಣಿಗೆ,сынан
405,Spiegel::N,ಕನ್ನಡಿ,зеркало
406,Riemen::N,ಬಾರು,ремень
407,Schnur::N,ಹುರಿ,гез
408,Leine::N,ಹಗ್ಗ,повод
409,Decke::N,ಕಂಬಳಿ,одеяло
410,Kissen::N,ದಿಂಬು,подушка
411,Tuch::N,ಕೊರಳ ಬಟ್ಟೆ,чышьян
412,Handtuch::N,ಚೌಕ,чышкӧт
413,Kraft::N,ಬಲ,прак
414,Stärke::N,ಶಕ್ತಿ,вын
415,Gesundheit::N,ಆರೋಗ್ಯ,здоровье
416,Krankheit::N,ರೋಗ,шог
417,Schmerz::N,ನೋವು,зубыт
418,Wunde::N,ಗಾಯ,рана
419,Fieber::N,ಜ್ವರ,лёк тресся
420,Fieber::N,ಜ್ವರ,кынтан шогӧт
421,Arznei::N,ಔಷಧ,лекарство
422,Brücke::N,ಸೇತುವೆ,пос
423,Brunnen::N,ಬಾವಿ,колодец 
424,Weide::N,ಗೋಮಾಳ,пода йирсян
425,Pfad::N,ದಾರಿ,туй
426,Weg::N,ಹಾದಿ,туй
427,Straße::N,ರಸ್ತೆ,туй
428,Dorf::N,ಹಳ್ಳಿ,деревня
429,Stadt::N,ಪಟ್ಟಣ,город
430,Brief::N,ಕಾಗದ,гижӧт
431,Buch::N,ಪುಸ್ತಕ,книга
432,Buchstabe::N,ಅಕ್ಷರ,буква
433,Zeitung::N,ವಾರ್ತಾಪತ್ರಿಕೆ,газета
434,Leben::N,ಜೀವನ,олан
435,Tod::N,ಮರಣ,кулӧм
436,Grab::N,ಗೋರಿ,гу
437,Kirche::N,ಚರ್ಚು,вичку
438,Sünde::N,ಪಾಪ,грек
439,Gott::N,ದೇವರು,ен
440,Arbeiter::N,ಕೆಲಸಗಾರ,уджалiсь
441,Chef::N,ದಣಿ,начальник
442,Meister::N,ಶಿಕ್ಷಕ,мастер
443,Arzt::N,ವೈದ್ಯ,врач
444,Lehrer::N,ಉಪಾಧ್ಯಾಯ,велӧтісь
445,Geld::N,ಹಣ,деньга
446,Geschäft::N,ವಾಣಿಜ್ಯ,удж
447,Laden::N,ಅಂಗಡಿ,магазин
448,Preis::N,ಬೆಲೆ,дон
449,Ware::N,ಸರಕು,товар
450,Nutzen::N,ಲಾಭ,путь
451,Reichtum::N,ಸಂಪತ್ತು,богатство
452,Welt::N,ಭೂಲೋಕ,му
453,Land::N,ದೇಶ,страна
454,Staat::N,ರಾಜ್ಯ,государство
455,König::N,ರಾಜ,кан
456,Macht::N,ಅಧಿಕಾರ,власть
457,Grenze::N,ಗಡಿ,граница
458,Krieg::N,ಯುದ್ಧ,война
459,Feind::N,ಶತ್ರು,враг
460,Gewalt::N,ಹಿಂಸೆ,
461,Kampf::N,ಹೋರಾಟ,нярасьӧм
462,Kampf::N,ಹೋರಾಟ,вермасьӧм
463,Bogen[Waffe]::N,ಬಿಲ್ಲು,лук
464,Pfeil::N,ಅಂಬು,ньӧв
465,Gewehr::N,ಬಂದೂಕು,ружьё
466,Fehler::N,ತಪ್ಪು,ошибка
467,Lüge::N,ಸುಳ್ಳು,ылӧтӧм
468,Lüge::N,ಸುಳ್ಳು,пӧрьялӧм
469,Schaden::N,ಹಾನಿ,лёк
470,Unglück::N,ಅಪಾಯ,пик
471,Unglück::N,ಅಪಾಯ,оказзё
472,Schuld::N,ದೋಷ,вина
473,Alter::N,ಮುಪ್ಪು,
474,Schluss::N,ಮುಕ್ತಾಯ,ком
475,Zeit::N,ಕಾಲ,кад
476,Tag::N,ದಿನ,лун
477,Morgen::N,ಮುಂಜಾನೆ,асыв
478,Mittag::N,ನಡುಹಗಲು,луншӧр кад
479,Abend::N,ಸಂಜೆ,рыт
480,Nacht::N,ರಾತ್ರಿ,ой
481,Woche::N,ವಾರ,неделя
482,Monat::N,ತಿಂಗಳು,тӧлicь
483,Jahr::N,ಸಂವತ್ಸರ,год
484,Frühling::N,ವಸಂತ,тулыс
485,Sommer::N,ಬಿಸಿಲುಕಾಲ,гожум
486,Herbst::N,ಶರತ್ಕಾಲ,ар
487,Winter::N,ಚಳಿಗಾಲ,тӧв
488,Januar::N,ನಾಲ್ಚಳಿ,январ
489,Februar::N,ಅಯ್ಚಳಿ,февраль
490,März::N,ಮೊಬ್ಬೇಸಿಗೆ,март
491,April::N,ಇಬ್ಬೇಸಿಗೆ,апрель
492,Mai::N,ಮುಬ್ಬೇಸಿಗೆ,май
493,Juni::N,ಮೊಮ್ಮಳೆ,юнь
494,Juli::N,ಇಮ್ಮಳೆ,юль
495,August::N,ಮುಮ್ಮಳೆ,август
496,September::N,ನಾಲ್ಮಳೆ,сентяб
497,Oktober::N,ಮೊಚ್ಚಳಿ,октяб
498,November::N,ಇಚ್ಚಳಿ,нояб
499,Dezember::N,ಮುಚ್ಚಳಿ,декаб
500,Montag::N,ಸೋಮುವಾರ,вильлун
501,Dienstag::N,ಮಂಗಳವಾರ,мӧдӧдзлун
502,Mittwoch::N,ಬುಧವಾರ,шӧрлун
503,Donnerstag::N,ಗುರುವಾರ,нёльӧдзлун
504,Freitag::N,ಶುಕ್ರವಾರ,витӧдзлун
505,Samstag::N,ಶನಿವಾರ,пывсянлун
506,Sonntag::N,ಭಾನುವಾರ,кресення
507,groß::A,ದೊಡ್ಡ,ыджыт
508,klein::A,ಪುಟ್ಟ,учӧтик
509,lang::A,ದೀರ್ಘ,кузь
510,kurz::A,ಚಕ್ಕ,дженыт
511,breit::A,ಅಗಲವಾದ,ота
512,schmal::A,ಇಕ್ಕಟ್ಟಾದ,векнит
513,dicht::A,ದಟ್ಟ,тшӧк
514,dick[Gegenstand]::A,ದಟ್ಟ,кыз
515,dünn::A,ತೆಳು,вӧснит
516,fein::A,ಕೋಮಲ,вӧснит
517,fest::A,ಘನ,крепыт
518,flach::A,ಚಪ್ಪಟೆ,лапкӧса
519,glatt::A,ನಯ,волькыт
520,hart::A,ಗಟ್ಟಿ,чӧрыт
521,weich::A,ಮೃದುವಾದ,небыт
522,rund::A,ವರ್ತುಳ,гӧгрӧса
523,spitz::A,ಮೊನಚಾದ,ёся
524,scharf::A,ತೀಕ್ಷ್ಣ,лэчыт
525,stumpf::A,ಮೊಂಡು,ныж
526,schwer::A,ಭಾರಿ,сьӧкыт
527,schön::A,ಸುಂದರ,басӧк
528,heiß::A,ಬಿಸಿ,жар
529,warm::A,ಬಿಸಿ,шоныт
530,kalt::A,ತಣ್ಣನೆಯ,кӧдзыт
531,kühl::A,ತಂಪಾದ,сайкыт
532,frisch::A,ನಿರ್ಮಲ,виль
533,feucht::A,ಒದ್ದೆಯಾದ,вакодь
534,nass::A,ಒದ್ದೆಯಾದ,ва
535,trocken::A,ಶುಷ್ಕ,кӧс
536,voll::A,ತುಂಬಿದ,тыра
537,leer::A,ಖಾಲಿ,тыртӧм
538,offen::A,ಮುಚ್ಚಲ್ಲದ,оссьӧм
539,geschlossen::A,ಮುಚ್ಚಿದ,игана
540,geschlossen::A,ಮುಚ್ಚಿದ,пӧдана
541,sauber::A,ಶುದ್ಧ,сӧдз
542,sauber::A,ಶುದ್ಧ,сӧстӧм
543,schmutzig::A,ಅಶುದ್ಧ,нятьӧсь
544,roh::A,ಹಸಿ,путӧм
545,reif::A,ಹಣ್ಣಾದ,кисьмалӧм
546,lecker::A,ಗುಚಿಕರ,кӧра 
547,süß::A,ಸಿಹಿ,чӧскыт
548,bitter::A,ಕಹಿ,курыт
549,sauer::A,ಹುಳಿಯಾದ,шӧма 
550,hell::A,ಹೊಳೆಯುವ,югыт
551,dunkel::A,ಮಬ್ಬಾದ,пемыт
552,schwarz::A,ಕಪ್ಪು,сьӧд
553,weiß::A,ಬಿಳಿಯ,чочком
554,rot::A,ಕೆಂಪು,гӧрд
555,gelb::A,ಹಳದಯ,веж
556,blau::A,ನೀಲ,лӧз
557,grün::A,ಕಾಯಾದ,веж
558,grau::A,ಬೂದುಬಣ್ಣದ,руд
559,grau::A,ಬೂದುಬಣ್ಣದ,бусӧй
