,Concept_ID,te,pt
105,Hügel::N,చివ్నకొండ,colina
106,Anhöhe::N,కొండ,alto
107,Anhöhe::N,కొండ,outeiro
108,Berg::N,పర్వతము,monte
109,Berg::N,పర్వతము,montanha
110,Gipfel::N,శిఖరము,pico
111,Höhle::N,గుహ,caverna
112,Abhang::N,ఏటవాలు,encosta
113,Quelle::N,మూలము,fonte
114,Bach::N,కాలువ,regato
115,Bach::N,కాలువ,ribeiro
116,Fluss::N,నది,rio
117,Ufer::N,తీరము,beira
118,Küste::N,తీరము,costa
119,Festland::N,భూమి,terra firme
120,Meer::N,సముద్రము,mar
121,Bucht::N,మరుగు,baía
122,Insel::N,దీవి,ilha
123,Blume::N,పుష్పము,flor
124,Gras::N,పచ్చగడ్డి,erva
125,Wurzel::N,వేరు,raiz
126,Baum::N,చెట్టు,árvore
127,Stamm::N,చెట్టుబోదె,tronco
128,Rinde::N,చెట్టుపట్ట,casca
129,Ast::N,కొమ్మ,ramo
130,Zweig::N,చివుకు,galho
131,Blatt::N,ఆకు,folha
132,Birke::N,తరహా చెట్టు,bétula
133,Kiefer[Baum]::N,దేవదారు చెట్టు,pinheiro
134,Weide[Baum]::N,జాతిచెట్టు,salgueiro
135,Tanne::N,దేవదారుచెట్టు,abeto
136,Horn::N,కొమ్ము,corno
137,Horn::N,కొమ్ము,chifre
138,Feder::N,ఈక,pena
139,Fell::N,తోలు,pele
140,Flügel::N,ఱెక్క,asa
141,Klaue::N,వంకరగోరు,pata
142,Kralle::N,వంకరగోరు,unha
143,Kralle::N,వంకరగోరు,garra
144,Schwanz::N,తోక,rabo
145,Schwanz::N,తోక,cauda
146,Ei::N,గ్రుడ్డు,ovo
147,Nest::N,పక్షిగూడు,ninho
148,Bau::N,గుహ,toca
149,Bau::N,గుహ,covil
150,Tier::N,జంతువు,animal
151,Herde::N,మంద,rebanho
152,Kuh::N,ఆవు,vaca
153,Bulle::N,గిత్త,touro
154,Pferd::N,గుఱ్ఱము,cavalo
155,Schaf::N,గొఱ్ఱె,ovelha
156,Schwein::N,పంది,porco
157,Hund::N,కుక్క,cão
158,Katze::N,పిల్లి,gata
159,Bär::N,ఎలుగుబంటి,urso
160,Eichhörnchen::N,ఉడుత,esquilo
161,Elch::N,కణంజు,alce
162,Fuchs::N,గుంటనక్క,raposa
163,Hase::N,కుందేలు,lebre
164,Maus::N,చిట్టెలుక,rato
165,Wolf::N,తోడేలు,lobo
166,Vogel::N,పక్షి,ave
167,Vogel::N,పక్షి,pássaro
168,Schwarm::N,గుంపు,bando
169,Schwarm::N,గుంపు,enxame
170,Huhn::N,కోడిపిల్ల,galinha
171,Hahn::N,కోడివుంజు,galo
172,Gans::N,ఆడుబాతు,ganso
173,Adler::N,గ్రద్ద,águia
174,Ente::N,పాట్టిబాతు,pata
175,Eule::N,గ్రుడ్లగూబ,mocho
176,Eule::N,గ్రుడ్లగూబ,coruja
177,Kranich::N,కొంగ,grou
178,Krähe::N,కాకి,gralha
179,Kuckuck::N,కోయల,cuco
180,Schwan::N,హంస,cisne
181,Fisch::N,చేప,peixe
182,Barsch::N,ఒకచేఁప,perca
183,Hecht::N,గండుమీను,lúcio
184,Schlange[Tier]::N,పాము,serpente
185,Wurm::N,పురుగు,verme
186,Spinne::N,సాలె పురుగు,aranha
187,Ameise::N,చీమ,formiga
188,Laus::N,పేను,piolho
189,Mücke::N,చీకటీగ,mosquito
190,Fliege::N,ఈగ,mosca
191,Schmetterling::N,సీతాకోకచిలుక,borboleta
192,Beere::N,కాయ,bago
193,Apfel::N,ఆపిల్ పండు,maçã
194,Pilz::N,కుక్కగొడుగు,fungo
195,Pilz::N,కుక్కగొడుగు,cogumelo
196,Zwiebel::N,నీరుల్లి,cebola
197,Saat::N,విత్తనము,sementeira
198,Korn::N,గింజ,grão
199,Heu::N,ఎండుగడ్డి,feno
200,Schale::N,పొట్టు,casca
201,Grube::N,గొయ్యి,cova
202,Grube::N,గొయ్యి,fossa
203,Falle::N,బోను,armadilha
204,Schlinge::N,ఉరి,laço
205,Spur::N,జాడ,pista
206,Spur::N,జాడ,vestígio
207,Asche::N,బూడిద,cinza
208,Dreck::N,ముఱికి,sujidade
209,Eisen::N,ఇనుము,ferro
210,Gold::N,బంగారము,ouro
211,Silber::N,వెండి,prata
212,Kohle::N,నేలబొగ్గు,carvão
213,Glas::N,గాజు,vidro
214,Lehm::N,బంకమన్ను,barro
215,Lehm::N,బంకమన్ను,argila
216,Sand::N,ఇసుక,areia
217,Mensch::N,నరుడు,homem
218,Mensch::N,నరుడు,pessoa
219,Mann::N,పురుమడు,homem
220,Frau::N,ఆడుది,mulher
221,Kind::N,బిడ్డ,filho
222,Kind::N,బిడ్డ,criança
223,Junge::N,బాలుడు,rapaz
224,Junge::N,బాలుడు,menino
225,Mädchen::N,బాలిక,menina
226,Mädchen::N,బాలిక,rapariga
227,Familie::N,కుటుంబము,família
228,Großvater::N,తాత,avô
229,Großmutter::N,అయ్యమ్మ,avó
230,Eltern::N,తల్లితండ్రులు,pais
231,Vater::N,తండ్రి,pai
232,Mutter::N,తల్లి,mãe
233,Sohn::N,కొడుకు,filho
234,Tochter::N,కూతురు,filha
235,Bruder::N,పోదరుడు,irmão
236,Schwester::N,సోదరి,irmã
237,Onkel::N,మేనమామ,tio
238,Tante::N,మేనత్త,tia
239,Tante::N,పినతల్లి,tia
240,Ehemann::N,భర్త,esposo
241,Ehefrau::N,భార్య,esposa
242,Freude::N,సంతోషము,prazer
243,Freude::N,సంతోషము,alegria
244,Gelächter::N,నవ్వు,risada
245,Gelächter::N,నవ్వు,gargalhada
246,Glück::N,సంతోషము,felicidade
247,Kummer::N,దుఃఖము,aflição
248,Kummer::N,దుఃఖము,desgosto
249,Wunsch::N,కోరిక,desejo
250,Lust::N,కోరిక,vontade
251,Geist::N,ఆత్మ,mente
252,Geist::N,ఆత్మ,espírito
253,Gedanke::N,ఆలోచన,ideia
254,Gedanke::N,ఆలోచన,pensamento
255,Gedächtnis::N,జ్ఞాపకము,memória
256,Verstand::N,మనస్సు,razão
257,Verstand::N,మనస్సు,inteligência
258,Sinn::N,అర్థము,sentido
259,Sinn::N,అర్థము,significado
260,Grund::N,కారణము,causa
261,Grund::N,కారణము,motivo
262,Wahrheit::N,సత్యము,verdade
263,Gespräch::N,పంభాషణ,conversa
264,Gespräch::N,పంభాషణ,conversação
265,Märchen::N,అద్భుతకథ,conto
266,Erzählung::N,కథ,conto
267,Erzählung::N,కథ,narrativa
268,Nachricht::N,వార్త,mensagem
269,Neuigkeit::N,వార్త,notícia
270,Neuigkeit::N,వార్త,novidade
271,Name::N,పేరు,nome
272,Rätsel::N,చిక్కు,adivinha
273,Rede::N,ఉపన్యాసము,oração
274,Rede::N,ఉపన్యాసము,discurso
275,Sprache::N,భాష,língua
276,Stimme::N,కంరథ్సని,voz
277,Wort::N,మాట,palavra
278,Zeichen::N,గుర్తు,marca
279,Ruf::N,పిలువు,grito
280,Ruf::N,పిలువు,chamada
281,Lärm::N,సందడి,ruído
282,Lärm::N,సందడి,barulho
283,Laut::N,ధ్వని,som
284,Ton::N,స్వరము,tom
285,Lied::N,పాట,canção
286,Ruhe::N,గాలిలేమి,calma
287,Ruhe::N,గాలిలేమి,silêncio
288,Leute::N,జనులు,gente
289,Leute::N,జనులు,pessoas
290,Volk::N,జాతి,povo
291,Volk::N,జాతి,nação
292,Arbeit::N,పని,trabalho
293,Gast::N,అతిధి,hóspede
294,Gast::N,అతిధి,convidado
295,Geschenk::N,దానము,prenda
296,Geschenk::N,దానము,presente
297,Spiel::N,ఆట,jogo
298,Gesellschaft::N,జట్టు,companhia
299,Hilfe::N,సాహాయ్యము,ajuda
300,Hilfe::N,సాహాయ్యము,socorro
301,Freund::N,స్నేహితుడు,amigo
302,Kamerad::N,చెలికాడు,camarada
303,Angelegenheit::N,విషయము,assunto
304,Anzahl::N,లెక్క,número
305,Anzahl::N,లెక్క,quantidade
306,Art::N,జాతి,tipo
307,Art::N,జాతి,espécie
308,Stück::N,తునుక,pedaço
309,Teil::N,భాగము,peça
310,Teil::N,భాగము,parte
311,Hälfte::N,సగము,metade
312,Kreis::N,వృత్తము,círculo
313,Kreuz::N,సిలువ,cruz
314,Linie::N,గీత,linha
315,Strich::N,గీత,traço
316,Abstand::N,సందు,distância
317,Entfernung::N,దూరము,distância
318,Gegend::N,విస్తీర్ణము,área
319,Gegend::N,విస్తీర్ణము,região
320,Platz::N,ఎడము,lugar
321,Ort::N,స్థలము,sítio
322,Seite::N,ప్రక్క,lado
323,Mitte::N,నడిమి,meio
324,Gegenstand::N,పద్దు,objecto
325,Sache::N,వస్తువు,coisa
326,Rand::N,అంచు,bordo
327,Rand::N,అంచు,margem
328,Kante::N,అంచు,borda
329,Kante::N,అంచు,aresta
330,Ecke::N,మూల,esquina
331,Spitze::N,మొన,ponta
332,Ende::N,కొన,cabo
333,Ende::N,కొన,extremo
334,Loch::N,రంధ్రము,furo
335,Loch::N,రంధ్రము,buraco
336,Winkel::N,కోణము,canto
337,Winkel::N,కోణము,ângulo
338,Muster::N,మాదిరి,padrão
339,Muster::N,మాదిరి,desenho
340,Größe::N,పరిమాణము,tamanho
341,Länge::N,పొడుగు,comprimento
342,Höhe::N,పొడుగు,altura
343,Höhe::N,పొడుగు,altitude
344,Gewicht::N,భారము,peso
345,Menge::N,మొత్తము,quantidade
346,Haufen::N,రాశి,pilha
347,Reihe::N,వరుస,fila
348,Boot::N,పడవ,barco
349,Ruder::N,అడక,remo
350,Schlitten::N,సరవండ్లు,trenó
351,Ski::N,స్కీ,esqui
352,Lagerfeuer::N,నెగడు,fogueira
353,Last::N,బరువు,carga
354,Gang::N,నడక,curso
355,Gang::N,నడక,caminhada
356,Schritt::N,అడుగు,passo
357,Norden::N,ఉత్తరదిక్కు,norte
358,Süden::N,దక్షిణము,sul
359,Westen::N,పడమర,oeste
360,Westen::N,పడమర,ocidente
361,Osten::N,తూర్పు,este
362,Osten::N,తూర్పు,leste
363,Osten::N,తూర్పు,oriente
364,Holz::N,కొయ్య,madeira
365,Brett::N,పలక,tábua
366,Brett::N,పలక,prancha
367,Platte::N,పలక,laje
368,Platte::N,పలక,chapa
369,Stütze::N,వాల్సేడ్లు,apoio
370,Stütze::N,వాల్సేడ్లు,suporte
371,Stange::N,స్తంభము,vara
372,Stange::N,స్తంభము,barra
373,Stock::N,కఱ్ఱ,pau
374,Stock::N,కఱ్ఱ,bengala
375,Stab::N,కఱ్ఱ,bastão
376,Rohr::N,గొట్టము,cano
377,Haus::N,ఇల్లు,casa
378,Heim::N,స్వగృహము,lar
379,Heim::N,స్వగృహము,casa
380,Ofen::N,పొయ్యి,estufa
381,Ofen::N,పొయ్యి,aquecedor
382,Fußboden::N,నేల,piso
383,Tisch::N,మేజా,mesa
384,Stuhl::N,కుర్చీ,cadeira
385,Wiege::N,ఉయ్యాల,berço
386,Bett::N,పడక,cama
387,Bett::N,మంచం,cama
388,Regal::N,అటక,estante
389,Regal::N,అటక,prateleira
390,Kiste::N,వెట్టె,caixa
391,Fenster::N,కిటికి,janela
392,Tür::N,ద్వారము,porta
393,Tor::N,ద్వారము,portão
394,Zaun::N,కంచె,cerca
395,Zaun::N,కంచె,vedação
396,Dach::N,ఇంటివైకప్పు,telhado
397,Leiter::N,నిచ్చెన,escada
398,Leiter::N,నిచ్చెన,escada móvel
399,Besen::N,చీపురుకట్ట,vassoura
400,Spaten::N,పాఱ,pá
401,Schaufel::N,పాఱ,pá
402,Gabel::N,ముండ్లగరిటె,garfo
403,Löffel::N,గరిటె,colher
404,Messer::N,కత్తి,faca
405,Nagel::N,మేకు,cravo
406,Netz::N,వల,rede
407,Haken::N,కొక్కెము,gancho
408,Griff::N,పిడి,asa
409,Griff::N,పిడి,cabo
410,Schloss::N,తాళము,fechadura
411,Bild::N,చిత్రము,imagem
412,Figur::N,రూపము,figura
413,Puppe::N,బొమ్మ,boneca
414,Beutel::N,సంచి,saco
415,Beutel::N,సంచి,bolsa
416,Bündel::N,మూట,fardo
417,Tasche::N,సంచి,saco
418,Tasche::N,సంచి,bolso
419,Eimer::N,చేద,balde
420,Deckel::N,మూత,tampa
421,Geschirr::N,వంటకాలు,louça
422,Sack::N,గోనెసంచి,saca
423,Tasse::N,గిన్నె,chávena
424,Topf::N,కుండ,tacho
425,Topf::N,కుండ,panela
426,Kessel::N,నీరుకాచుపాత్ర,caldeira
427,Essen::N,ఆహారము,refeição
428,Nahrung::N,ఆహారము,comida
429,Nahrung::N,ఆహారము,alimento
430,Speise::N,ఆహారము,prato
431,Fleisch::N,మాంసము,carne
432,Getreide::N,ధాన్యము,cereais
433,Brei::N,గుజ్జు,puré
434,Brot::N,రొట్టె,pão
435,Scheibe::N,బద్ద,fatia
436,Fett::N,క్రొవ్వు,banha
437,Fett::N,క్రొవ్వు,gordura
438,Butter::N,వెన్న,manteiga
439,Öl::N,నూనె,azeite
440,Salz::N,ఉప్పు,sal
441,Suppe::N,చారు,sopa
442,Suppe::N,చారు,caldo
443,Honig::N,తెనె,mel
444,Milch::N,పాలు,leite
445,Tee::N,తేనీరు,chá
446,Leder::N,బాగుచేసివతోలు,couro
447,Wolle::N,ఉన్ని,lã
448,Stoff::N,బట్ట,pano
449,Stoff::N,బట్ట,tecido
450,Nadel::N,సూది,agulha
451,Faden::N,దారము,fio
452,Knopf::N,బొత్తాము,botão
453,Knoten::N,ముడి,nó
454,Farbe::N,రంగు,corante
455,Kleidung::N,బట్టలు,roupa
456,Kleidung::N,బట్టలు,vestuário
457,Hemd::N,చొక్కాయ,camisa
458,Kragen::N,మాల,gola
459,Ärmel::N,చొక్కాయచెయ్యి,manga
460,Hose::N,ఇజారు,calça
461,Gürtel::N,పటకా,cinto
462,Mütze::N,టోపి,boné
463,Mütze::N,టోపి,barrete
464,Schuh::N,పాదరక్ష,sapato
465,Stiefel::N,బూటు,bota
466,Ring::N,ఉంగరము,anel
467,Band::N,నాడా,fita
468,Band::N,నాడా,faixa
469,Kamm::N,దువ్వెన,pente
470,Spiegel::N,అద్దము,espelho
471,Riemen::N,వాడా,correia
472,Schnur::N,దారము,corda
473,Schnur::N,దారము,cordel
474,Leine::N,వారు,trela
475,Decke::N,కంబళి,cobertor
476,Kissen::N,తలగడ,almofada
477,Tuch::N,బట్ట,pano
478,Handtuch::N,తువాలు,toalha
479,Kraft::N,బలము,força
480,Stärke::N,శక్తి,força
481,Gesundheit::N,ఆరోగ్యము,saúde
482,Krankheit::N,రోగము,doença
483,Krankheit::N,రోగము,enfermidade
484,Schmerz::N,నొప్పి,dor
485,Wunde::N,గాయము,chaga
486,Wunde::N,గాయము,ferida
487,Fieber::N,జ్వరము,febre
488,Arznei::N,మందు,remédio
489,Brücke::N,వంతెన,ponte
490,Brunnen::N,బావి,poço
491,Brunnen::N,కూపము,poço
492,Brunnen::N,నుయ్యి,poço
493,Weide::N,పచ్చికబయలు,pastagem
494,Pfad::N,కాలిత్రోవ,senda
495,Pfad::N,కాలిత్రోవ,trilho
496,Weg::N,మార్గము,caminho
497,Straße::N,బాట,via
498,Straße::N,బాట,estrada
499,Dorf::N,గ్రామము,aldeia
500,Stadt::N,పట్టణము,cidade
501,Brief::N,జాబు,carta
502,Buch::N,పుస్తకము,livro
503,Buchstabe::N,అక్షరము,letra
504,Zeitung::N,వార్తాపత్రిక,jornal
505,Leben::N,ప్రాణము,vida
506,Tod::N,మరణము,morte
507,Grab::N,సమాధి,túmulo
508,Grab::N,సమాధి,sepultura
509,Kirche::N,క్రెస్తవులగుడి,igreja
510,Sünde::N,పాపము,pecado
511,Gott::N,దేవుడు,deus
512,Arbeiter::N,పనిపాటుచేశేవాడు,operário
513,Arbeiter::N,పనిపాటుచేశేవాడు,trabalhador
514,Chef::N,యజమానుడు,chefe
515,Chef::N,యజమానుడు,patrão
516,Meister::N,కళాకారుడు,mestre
517,Arzt::N,వైద్యుడు,médico
518,Lehrer::N,ఉపాధ్యాయుడు,professor
519,Geld::N,ద్రవ్యము,dinheiro
520,Geschäft::N,వ్యాపారము,negócio
521,Laden::N,అంగడి,loja
522,Preis::N,వెల,preço
523,Ware::N,సరకులు,mercadoria
524,Nutzen::N,ప్రయోజనము,proveito
525,Reichtum::N,ధనము,riqueza
526,Welt::N,ప్రపంచము,mundo
527,Land::N,దేశము,país
528,Staat::N,రాజ్యము,Estado
529,König::N,రాజు,rei
530,Macht::N,అధికారము,poder
531,Macht::N,అధికారము,potência
532,Grenze::N,సరిహద్దు,fronteira
533,Krieg::N,యుద్ధము,guerra
534,Feind::N,శత్రువు,inimigo
535,Gewalt::N,దౌర్జన్యము,violência
536,Kampf::N,పోట్లాట,luta
537,Kampf::N,పోట్లాట,combate
538,Bogen[Waffe]::N,విల్లు,arco
539,Pfeil::N,బాణము,seta
540,Pfeil::N,బాణము,flecha
541,Gewehr::N,తుపాకి,espingarda
542,Fehler::N,తప్ప,erro
543,Fehler::N,తప్ప,falha
544,Lüge::N,అసత్యము,mentira
545,Schaden::N,నష్టము,dano
546,Schaden::N,నష్టము,estrago
547,Unglück::N,దురదృష్టము,desgraça
548,Schuld::N,తప్పు,culpa
549,Alter::N,వయస్సు,idade
550,Schluss::N,ముగింపు,fim
551,Zeit::N,కాలము,tempo
552,Tag::N,దినము,dia
553,Morgen::N,ఉదయము,manhã
554,Mittag::N,మధ్యాహ్నము,meio-dia
555,Abend::N,సాయంకాలము,noite
556,Abend::N,సాయంకాలము,tardinha
557,Nacht::N,రత్రి,noite
558,Woche::N,వారము,semana
559,Monat::N,నెల,mês
560,Jahr::N,సంవత్సరము,ano
561,Frühling::N,వసంతకాలము,primavera
562,Sommer::N,వేసవికాము,verão
563,Herbst::N,ఆకురాలుకాలము,outono
564,Winter::N,శీతకాలము,inverno
565,Januar::N,జనవరి,Janeiro
566,Februar::N,ఫిబ్రవరి,Fevereiro
567,März::N,మార్చి,Março
568,April::N,ఏప్రిలు,Abril
569,Mai::N,మే,Maio
570,Juni::N,జూన్,Junho
571,Juli::N,జూలై,Julho
572,August::N,ఆగస్టు,Agosto
573,September::N,సెప్ఠెంబరు,Setembro
574,Oktober::N,అక్టోబరు,Outubro
575,November::N,నవంబరు,Novembro
576,Dezember::N,డిసెంబర్,Dezembro
577,Montag::N,సోమవారము,segunda-feira
578,Dienstag::N,మంగళవారము,terça-feira
579,Mittwoch::N,బుధవారము,quarta-feira
580,Donnerstag::N,గురువారము,quinta-feira
581,Freitag::N,శుక్రవారము,sexta-feira
582,Samstag::N,శనివారము,sábado
583,Sonntag::N,ఆదివారము,domingo
584,groß::A,గొప్పైన,grande
585,klein::A,చిన్న,pequeno
586,lang::A,పొడుగాటి,comprido
587,kurz::A,పొట్టి,curto
588,breit::A,వెడల్పైన,largo
589,schmal::A,ఇఱుకైన,estreito
590,dicht::A,దట్టమైన,denso
591,dick[Gegenstand]::A,దట్టమైన,grosso
592,dünn::A,పలుచని,delgado
593,fein::A,నాజాకైన,fino
594,fein::A,నాజాకైన,subtil
595,fest::A,దృడమైవ,firme
596,fest::A,దృడమైవ,sólido
597,flach::A,చదువైన,plano
598,glatt::A,నున్నని,liso
599,hart::A,కఠినమైన,duro
600,weich::A,మృదువైన,mole
601,rund::A,గుండ్రని,redondo
602,spitz::A,మొనగల,agudo
603,scharf::A,పదనైన,afiado
604,stumpf::A,వాడిలేని,rombo
605,schwer::A,బరువ్తెన,pesado
606,schön::A,సుందరమైన,belo
607,schön::A,సుందరమైన,bonito
608,heiß::A,వేడియైన,quente
609,warm::A,వెచ్చని,quente
610,kalt::A,చల్లని,frio
611,kühl::A,చల్లని,fresco
612,frisch::A,తాజాయైన,fresco
613,feucht::A,చెమ్మగానున్న,húmido
614,nass::A,తడిగామన్న,molhado
615,trocken::A,ఎండిన,seco
616,voll::A,నిండు,cheio
617,leer::A,శూన్యమైన,vazio
618,offen::A,తెఱచియున్న,aberto
619,geschlossen::A,మూసిన,fechado
620,sauber::A,పరిశుద్ధమైన,limpo
621,schmutzig::A,ముఱికియైన,sujo
622,roh::A,పచ్చి,cru
623,reif::A,పండివ,maduro
624,lecker::A,రుచి గల,delicioso
625,süß::A,తియ్యని,doce
626,bitter::A,చేదైన,amargo
627,sauer::A,పుల్లని,azedo
628,hell::A,కాంతిగల,claro
629,dunkel::A,చీకటియైన,escuro
630,dunkel::A,చీకటియైన,sombrio
631,schwarz::A,నల్లని,preto
632,weiß::A,తెలుపు,branco
633,rot::A,ఎఱ్ఱని,vermelho
634,gelb::A,పసుపు పచ్చ,amarelo
635,blau::A,నీలవర్ణము,azul
636,grün::A,ఆకుపచ్చని,verde
637,grau::A,నెరిసిన,cinzento
638,bunt::A,రంగేలీ,colorido
639,billig::A,చౌకయైన,barato
640,teuer::A,వెలపొడుగైన,caro
641,wertvoll::A,విలుప్తెన,valioso
642,wertvoll::A,విలుప్తెన,precioso
643,blind::A,గ్రుడ్డి,cego
644,taub::A,చెవిటి,surdo
645,kräftig::A,శక్తి గల,forte
646,kräftig::A,శక్తి గల,poderoso
647,stark::A,బలమైన,forte
648,stark::A,బలమైన,robusto
649,schwach::A,బలహీనమైన,débil
650,fett::A,క్రొవ్విన,gordo
651,schlank::A,సన్నని,esbelto
652,hübsch::A,సాగప్తెన,giro
653,hübsch::A,సాగప్తెన,bonito
654,böse::A,చెడ్డ,mau
655,dumm::A,తెలివిలేని,parvo
656,dumm::A,తెలివిలేని,estúpido
657,faul::A,సోమరియైన,preguiçoso
658,fleißig::A,శ్రద్దగల,aplicado
659,fleißig::A,శ్రద్దగల,diligente
660,geizig::A,పిసినారియైన,avarento
661,klug::A,తెలివిగల,prudente
662,klug::A,తెలివిగల,inteligente
663,geschickt::A,నిపుణతగల,hábil
664,lieb::A,ప్రియమైన,caro
665,lieb::A,ప్రియమైన,querido
666,lustig::A,ఉల్లాసము గల,alegre
667,sanft::A,సాధువైన,suave
668,sanft::A,సాధువైన,brando
669,hungrig::A,ఆకలిగొనిన,faminto
670,krank::A,వ్యాధిగల,doente
671,krank::A,వ్యాధిగల,enfermo
672,nackt::A,దిగంబరమైన,nu
673,nackt::A,దిగంబరమైన,despido
674,traurig::A,విచారముగల,triste
675,lebendig::A,ప్రాణముతో నున్న,vivo
676,gut::A,మంచి,bom
677,schlecht::A,చెడ్డ,mau
678,schlecht::A,చెడ్డ,ruim
679,richtig::A,సరియైన,justo
680,richtig::A,సరియైన,correcto
681,schlimm::A,అసహ్యమైన,mau
682,schlimm::A,అసహ్యమైన,grave
683,wahr::A,నిజమైన,verdadeiro
684,alt::A,ముసలి,velho
685,alt::A,ముసలి,antigo
686,neu::A,క్రొత్త,novo
687,ehemalig::A,పూర్వపు,antigo
688,alt[Lebewesen]::A,ముసలి,velho
689,jung::A,పసి,jovem
690,arm::A,బీద,pobre
691,reich::A,ధనవంతుడైన,rico
692,bekannt::A,తెలిసిన,conhecido
693,berühmt::A,ప్రపిద్దికెక్కివ,famoso
694,berühmt::A,ప్రపిద్దికెక్కివ,célebre
695,fremd::A,అన్యమైన,alheio
696,fremd::A,అన్యమైన,estranho
697,verschieden::A,భేదమైన,diverso
698,verschieden::A,భేదమైన,diferente
699,nah::A,దగ్గఱనున్న,próximo
700,fern::A,దూరమందున్న,remoto
701,fern::A,దూరమందున్న,distante
702,linker::A,ఎడమప్రక్కగ,esquerdo
703,rechter::A,కుడి,direito
704,anderer::A,వేఱ్తెన,outro
705,erster::A,మొదటి,primeiro
706,zweiter::A,రెండన,segundo
707,dritter::A,మూడో,terceiro
708,letzter::A,కడపటి,final
709,letzter::A,కడపటి,último
710,allein::ADV,ఒంటిగా,só
711,auf einmal::ADV,హరాత్తుగ,de vez
