,Concept_ID,uz,es
99,Anhöhe::N,adir,cerro
100,Berg::N,tog',monte
101,Berg::N,tog',montaña
102,Gipfel::N,cho'qqi,cima
103,Gipfel::N,cho'qqi,cumbre
104,Höhle::N,kavak,cueva
105,Höhle::N,kavak,caverna
106,Abhang::N,to'sh,cuesta
107,Abhang::N,to'sh,declive
108,Quelle::N,buloq,fuente
109,Quelle::N,buloq,manantial
110,Bach::N,o'zan,arroyo
111,Fluss::N,daryo,río
112,Ufer::N,sohil,orilla
113,Küste::N,qirg'oq,costa
114,Festland::N,materik,tierra firme
115,Meer::N,dengiz,mar
116,Bucht::N,qo'ltiq,cala
117,Bucht::N,qo'ltiq,bahía
118,Insel::N,orol,isla
119,Blume::N,gul,flor
120,Gras::N,sabza,hierba
121,Wurzel::N,tub,raíz
122,Wurzel::N,tomir,raíz
123,Baum::N,daraxt,árbol
124,Stamm::N,o'simta,tronco
125,Rinde::N,qobiq,corteza
126,Ast::N,shox,rama
127,Zweig::N,butoq,ramo
128,Blatt::N,barg,hoja
129,Birke::N,qayin,abedul
130,Kiefer[Baum]::N,qarag'ay,pino
131,Weide[Baum]::N,shum,sauce
132,Tanne::N,archa,abeto
133,Horn::N,mugiz,asta
134,Horn::N,mugiz,cuerno
135,Feder::N,par,pluma
136,Fell::N,mo'yna,piel
137,Flügel::N,qanot,ala
138,Klaue::N,tirnoq,garra
139,Kralle::N,tirnoq,uña
140,Kralle::N,tirnoq,garra
141,Schwanz::N,quyruq,cola
142,Ei::N,tuxum,huevo
143,Nest::N,oshyon,nido
144,Bau::N,o'pqon,madriguera
145,Tier::N,hayvon,animal
146,Herde::N,gala,rebaño
147,Kuh::N,inak,vaca
148,Bulle::N,ho'kiz,toro
149,Pferd::N,ot,caballo
150,Schaf::N,qo'y,oveja
151,Schwein::N,cho'chqa,cerdo
152,Hund::N,it,perro
153,Katze::N,mushuk,gato
154,Bär::N,ayiq,oso
155,Eichhörnchen::N,tiyin,ardilla
156,Elch::N,los,alce
157,Fuchs::N,tulki,zorro
158,Hase::N,kuyon,liebre
159,Maus::N,sichqon,ratón
160,Wolf::N,bo'ri,lobo
161,Vogel::N,qush,ave
162,Vogel::N,qush,pájaro
163,Schwarm::N,to'da,bandada
164,Huhn::N,tovuq,gallina
165,Hahn::N,xo'roz,gallo
166,Gans::N,g'oz,oca
167,Gans::N,g'oz,ganso
168,Adler::N,burgut,águila
169,Ente::N,o'rdak,pato
170,Eule::N,boyo'g'li,lechuza
171,Kranich::N,turna,grulla
172,Krähe::N,qarg'a,corneja
173,Kuckuck::N,kakku,cuco
174,Schwan::N,oqkush,cisne
175,Fisch::N,baliq,pez
176,Barsch::N,olabug'a,perca
177,Hecht::N,cho'rtan,lucio
178,Schlange[Tier]::N,ilon,serpiente
179,Wurm::N,qurt,gusano
180,Spinne::N,o'rgimchak,araña
181,Ameise::N,chumoli,hormiga
182,Laus::N,bit,piojo
183,Mücke::N,chivin,mosquito
184,Fliege::N,pashsha,mosca
185,Schmetterling::N,kapalak,mariposa
186,Beere::N,meva,baya
187,Apfel::N,olma,manzana
188,Pilz::N,qo'ziqorin,seta
189,Pilz::N,qo'ziqorin,hongo
190,Zwiebel::N,piyoz,cebolla
191,Saat::N,äkin,siembra
192,Korn::N,zarra,grano
193,Heu::N,xashak,heno
194,Schale::N,po'choq,cáscara
195,Grube::N,co'ra,foso
196,Falle::N,qopqon,trampa
197,Schlinge::N,sirtmoq,lazo
198,Spur::N,iz,huella
199,Asche::N,kul,ceniza
200,Dreck::N,kir,suciedad
201,Eisen::N,temir,hierro
202,Gold::N,tilla,oro
203,Silber::N,kumush,plata
204,Kohle::N,ko'mir,carbón
205,Glas::N,oyna,vidrio
206,Glas::N,oyna,cristal
207,Lehm::N,loy,barro
208,Sand::N,qum,arena
209,Mensch::N,odam,hombre
210,Mensch::N,odam,ser humano
211,Mann::N,ärkak,hombre
212,Frau::N,ayol,mujer
213,Kind::N,bola,niño
214,Kind::N,kichkintoy,niño
215,Junge::N,bola,chico
216,Junge::N,bola,muchacho
217,Mädchen::N,qiz,chica
218,Mädchen::N,qiz,muchacha
219,Familie::N,oila,familia
220,Großvater::N,buva,abuelo
221,Großvater::N,katta ota,abuelo
222,Großmutter::N,buvi,abuela
223,Großmutter::N,katta oyi,abuela
224,Eltern::N,ota-ona,padres
225,Vater::N,ota,padre
226,Mutter::N,ona,madre
227,Sohn::N,o'g'il,hijo
228,Tochter::N,qiz,hija
229,Bruder::N,og'a,hermano
230,Bruder::N,uka,hermano
231,Schwester::N,opa,hermana
232,Schwester::N,singil,hermana
233,Onkel::N,amaki,tío
234,Tante::N,amma,tía
235,Tante::N,xola,tía
236,Ehemann::N,är,esposo
237,Ehefrau::N,rafiqa,esposa
238,Freude::N,ayish,placer
239,Freude::N,ayish,alegría
240,Gelächter::N,kulgi,risa
241,Gelächter::N,kulgi,carcajada
242,Glück::N,saodat,felicidad
243,Kummer::N,g'am,pena
244,Wunsch::N,orzu,deseo
245,Lust::N,rag'bat,ganas
246,Geist::N,ruh,mente
247,Geist::N,ruh,espíritu
248,Gedanke::N,fikr,idea
249,Gedanke::N,fikr,pensamiento
250,Gedächtnis::N,äs,memoria
251,Verstand::N,aql,razón
252,Verstand::N,aql,entendimiento
253,Sinn::N,ma'ni,sentido
254,Sinn::N,ma'ni,significado
255,Grund::N,sabab,causa
256,Wahrheit::N,haq,verdad
257,Gespräch::N,gap,conversación
258,Märchen::N,ärtak,cuento
259,Erzählung::N,rivoyat,cuento
260,Erzählung::N,rivoyat,narración
261,Nachricht::N,xabar,mensaje
262,Neuigkeit::N,yangilik,noticia
263,Name::N,ot,nombre
264,Rätsel::N,topishmoq,acertijo
265,Rätsel::N,topishmoq,adivinanza
266,Rede::N,nutq,discurso
267,Sprache::N,til,lengua
268,Stimme::N,ovoz,voz
269,Wort::N,so'z,palabra
270,Zeichen::N,alomat,señal
271,Ruf::N,chaqiriq,llamada
272,Lärm::N,taraq,ruido
273,Lärm::N,taraq,barullo
274,Laut::N,tovush,sonido
275,Ton::N,un,tono
276,Lied::N,ashula,canción
277,Ruhe::N,tinchlik,calma
278,Ruhe::N,tinchlik,silencio
279,Leute::N,xaloyiq,gente
280,Volk::N,xalq,pueblo
281,Arbeit::N,ish,trabajo
282,Gast::N,mehmon,huésped
283,Gast::N,mehmon,invitado
284,Geschenk::N,hadya,regalo
285,Spiel::N,o'yin,juego
286,Gesellschaft::N,jamiyat,compañía
287,Hilfe::N,yordam,ayuda
288,Hilfe::N,yordam,socorro
289,Freund::N,do'st,amigo
290,Kamerad::N,yo'ldosh,camarada
291,Kamerad::N,yo'ldosh,compañero
292,Angelegenheit::N,daxl,asunto
293,Anzahl::N,son,cantidad
294,Art::N,tur,tipo
295,Art::N,tur,clase
296,Stück::N,parcha,pieza
297,Teil::N,bo'lak,parte
298,Hälfte::N,yarim,mitad
299,Kreis::N,aylana,círculo
300,Kreuz::N,xoch,cruz
301,Linie::N,liniya,línea
302,Strich::N,chiziq,raya
303,Strich::N,chiziq,trazo
304,Abstand::N,oralik,distancia
305,Entfernung::N,uzoqlik,distancia
306,Gegend::N,yer,región
307,Gegend::N,yer,comarca
308,Platz::N,oralig,espacio
309,Ort::N,joy,sitio
310,Seite::N,yon,lado
311,Seite::N,yon,costado
312,Mitte::N,o'rta,medio
313,Mitte::N,o'rta,centro
314,Gegenstand::N,ashyo,objeto
315,Sache::N,buyum,cosa
316,Rand::N,chek,borde
317,Kante::N,tig',borde
318,Ecke::N,burchak,esquina
319,Spitze::N,uch,punta
320,Ende::N,oxir,cabo
321,Ende::N,oxir,extremo
322,Loch::N,teshik,agujero
323,Loch::N,teshik,abertura
324,Winkel::N,go'sha,ángulo
325,Muster::N,nusha,dibujo
326,Größe::N,kattalik,tamaño
327,Länge::N,uzunlik,longitud
328,Höhe::N,yuksaklik,altura
329,Höhe::N,yuksaklik,altitud
330,Gewicht::N,solmoq,peso
331,Menge::N,miqdor,cantidad
332,Haufen::N,uyum,montón
333,Reihe::N,saf,fila
334,Boot::N,qayiq,bote
335,Boot::N,qayiq,barca
336,Ruder::N,äshkak,remo
337,Schlitten::N,chana,trineo
338,Ski::N,chang'i,esquí
339,Lagerfeuer::N,gulxan,hoguera
340,Last::N,yuk,carga
341,Gang::N,yurish,marcha
342,Schritt::N,qadam,paso
343,Norden::N,shimol,norte
344,Süden::N,janub,sur
345,Westen::N,g'arb,oeste
346,Osten::N,sharq,este
347,Holz::N,yog'och,madera
348,Brett::N,taxta,tabla
349,Platte::N,tabaqa,placa
350,Platte::N,tabaqa,plancha
351,Stütze::N,tayanchi,sostén
352,Stütze::N,tayanchi,soporte
353,Stange::N,qo'noq,vara
354,Stange::N,qo'noq,percha
355,Stock::N,tayoq,palo
356,Stock::N,tayoq,bastón
357,Stab::N,gavron,vara
358,Stab::N,gavron,bastón
359,Rohr::N,tarnov,tubo
360,Haus::N,uy,casa
361,Heim::N,makon,hogar
362,Ofen::N,pechka,estufa
363,Fußboden::N,pol,suelo
364,Tisch::N,mosa,mesa
365,Stuhl::N,o'rindiq,silla
366,Wiege::N,beshik,cuna
367,Bett::N,yotoq,cama
368,Regal::N,tokcha,estantería
369,Kiste::N,sandiq,caja
370,Fenster::N,deraza,ventana
371,Tür::N,äshik,puerta
372,Tor::N,darvoza,puerta
373,Zaun::N,panjara,valla
374,Zaun::N,panjara,cercado
375,Dach::N,tom,techo
376,Dach::N,tom,tejado
377,Leiter::N,narvon,escalera
378,Besen::N,supurgi,escoba
379,Spaten::N,bel,pala
380,Schaufel::N,kurak,pala
381,Schaufel::N,kurak,paleta
382,Gabel::N,bilka,tenedor
383,Löffel::N,qoshiq,cuchara
384,Messer::N,pichoq,cuchillo
385,Nagel::N,mix,clavo
386,Netz::N,to'r,red
387,Haken::N,ilgak,gancho
388,Haken::N,ilgak,corchete
389,Griff::N,sop,asa
390,Griff::N,sop,mango
391,Griff::N,tutqich,asa
392,Griff::N,tutqich,mango
393,Schloss::N,qulf,cerradura
394,Bild::N,rasm,imagen
395,Figur::N,shakl,figura
396,Puppe::N,ko'g'irchoq,muñeca
397,Beutel::N,to'rva,bolsa
398,Bündel::N,bog'lam,haz
399,Tasche::N,kissa,bolso
400,Eimer::N,chelak,cubo
401,Deckel::N,qopqoq,tapa
402,Deckel::N,qopqoq,tapadera
403,Geschirr::N,idish,vajilla
404,Sack::N,qop,saco
405,Tasse::N,piyola,taza
406,Topf::N,tuvak,olla
407,Topf::N,tuvak,marmita
408,Kessel::N,qozon,caldera
409,Essen::N,tomoq,comida
410,Nahrung::N,emak,alimento
411,Speise::N,taom,plato
412,Fleisch::N,go'sht,carne
413,Getreide::N,g'alla,cereales
414,Brei::N,bo'tqa,puré
415,Brei::N,bo'tqa,papilla
416,Brot::N,non,pan
417,Scheibe::N,disk,lonja
418,Scheibe::N,disk,rebanada
419,Fett::N,moy,grasa
420,Butter::N,yog',mantequilla
421,Öl::N,moy,aceite
422,Salz::N,tuz,sal
423,Suppe::N,sho'rva,sopa
424,Honig::N,asal,miel
425,Milch::N,sut,leche
426,Tee::N,choy,té
427,Leder::N,charm,cuero
428,Wolle::N,jun,lana
429,Stoff::N,mato,tela
430,Stoff::N,mato,tejido
431,Nadel::N,igna,aguja
432,Faden::N,ip,hilo
433,Knopf::N,tugma,botón
434,Knoten::N,tugun,nudo
435,Farbe::N,bo'yok,pintura
436,Kleidung::N,kiyim,ropa
437,Kleidung::N,kiyim,vestidos
438,Hemd::N,ko'ylak,camisa
439,Kragen::N,yoqa,cuello
440,Ärmel::N,yeng,manga
441,Hose::N,shim,pantalón
442,Gürtel::N,tasma,cinturón
443,Mütze::N,shapka,gorro
444,Schuh::N,but,zapato
445,Stiefel::N,botinka,bota
446,Ring::N,yuzuk,anillo
447,Band::N,rishta,cinta
448,Kamm::N,taroq,peine
449,Spiegel::N,ko'zgu,espejo
450,Riemen::N,qayish,correa
451,Schnur::N,bog'ich,cuerda
452,Leine::N,etak,correa
453,Decke::N,odyol,manta
454,Kissen::N,yostiq,almohada
455,Tuch::N,gazlama,pañuelo
456,Handtuch::N,sochiq,toalla
457,Kraft::N,kuch,fuerza
458,Stärke::N,quvvat,fuerza
459,Gesundheit::N,sog'lik,salud
460,Krankheit::N,kasallik,enfermedad
461,Schmerz::N,og'riq,dolor
462,Wunde::N,yara,llaga
463,Wunde::N,yara,herida
464,Fieber::N,bezgak,fiebre
465,Arznei::N,dori,medicina
466,Arznei::N,dori,medicamento
467,Brücke::N,ko'prik,puente
468,Brunnen::N,buloq,pozo
469,Weide::N,yaylov,pasto
470,Pfad::N,dorojka,sendero
471,Weg::N,yo'l,camino
472,Straße::N,ko'cha,vía
473,Straße::N,ko'cha,carretera
474,Dorf::N,ovul,aldea
475,Dorf::N,ovul,pueblo
476,Stadt::N,shahar,ciudad
477,Brief::N,maktub,carta
478,Buch::N,kitob,libro
479,Buchstabe::N,harf,letra
480,Buchstabe::N,harf,carácter
481,Zeitung::N,gazet,diario
482,Zeitung::N,gazet,periódico
483,Leben::N,hayot,vida
484,Tod::N,o'lim,muerte
485,Grab::N,go'r,tumba
486,Grab::N,go'r,sepulcro
487,Kirche::N,cherkov,iglesia
488,Sünde::N,gunoh,pecado
489,Gott::N,olloh,dios
490,Arbeiter::N,ishchi,obrero
491,Arbeiter::N,ishchi,trabajador
492,Chef::N,rais,jefe
493,Meister::N,usta,maestro
494,Arzt::N,hakim,médico
495,Lehrer::N,muallim,profesor
496,Geld::N,pul,dinero
497,Geschäft::N,savdo,negocio
498,Laden::N,do'kon,tienda
499,Preis::N,baho,precio
500,Ware::N,mol,mercancía
501,Nutzen::N,foyda,provecho
502,Reichtum::N,boylik,riqueza
503,Welt::N,olam,mundo
504,Land::N,o'lka,país
505,Staat::N,davlat,Estado
506,König::N,qirol,rey
507,Macht::N,iqtidor,poder
508,Macht::N,iqtidor,potencia
509,Grenze::N,chegara,frontera
510,Krieg::N,harb,guerra
511,Feind::N,dushman,enemigo
512,Gewalt::N,zo'rlik,violencia
513,Kampf::N,kurash,lucha
514,Kampf::N,kurash,combate
515,Bogen[Waffe]::N,yoy,arco
516,Pfeil::N,o'q,flecha
517,Gewehr::N,vintovka,fusil
518,Gewehr::N,vintovka,escopeta
519,Fehler::N,xato,error
520,Lüge::N,yolg'on,mentira
521,Schaden::N,ziyon,daño
522,Unglück::N,balo,desgracia
523,Schuld::N,ayb,culpa
524,Alter::N,yosh,edad
525,Schluss::N,tamom,fin
526,Schluss::N,tamom,final
527,Zeit::N,vaqt,tiempo
528,Tag::N,kun,día
529,Morgen::N,saboh,mañana
530,Mittag::N,kun tushlik,mediodía
531,Abend::N,oqshom,noche
532,Nacht::N,tun,noche
533,Woche::N,hafta,semana
534,Monat::N,oy,mes
535,Jahr::N,yil,año
536,Frühling::N,bahor,primavera
537,Sommer::N,yoz,verano
538,Herbst::N,kuz,otoño
539,Herbst::N,xazon,otoño
540,Winter::N,qish,invierno
541,Januar::N,yanvar',enero
542,Februar::N,fevral',febrero
543,März::N,mart,marzo
544,April::N,aprel',abril
545,Mai::N,may,mayo
546,Juni::N,iyun',junio
547,Juli::N,iyul',julio
548,August::N,avgust,agosto
549,September::N,sentyabr',septiembre
550,Oktober::N,oktyabr',octubre
551,November::N,noyabr',noviembre
552,Dezember::N,dekabr',diciembre
553,Montag::N,dushanba,lunes
554,Dienstag::N,seshanba,martes
555,Mittwoch::N,chorshanba,miércoles
556,Donnerstag::N,payshanba,jueves
557,Freitag::N,juma,viernes
558,Samstag::N,shanba,sábado
559,Sonntag::N,yakshanba,domingo
560,groß::A,buyuk,grande
561,klein::A,kichik,pequeño
562,lang::A,uzun,largo
563,kurz::A,qisqa,corto
564,breit::A,keng,ancho
565,schmal::A,änsiz,estrecho
566,dicht::A,quyuq,denso
567,dick[Gegenstand]::A,qalin,grueso
568,dünn::A,ingichka,fino
569,dünn::A,ingichka,delgado
570,fein::A,mayin,fino
571,fein::A,mayin,delicado
572,fest::A,qattiq,firme
573,fest::A,qattiq,sólido
574,flach::A,yalpoq,plano
575,glatt::A,tekis,liso
576,hart::A,qattiq,duro
577,weich::A,yumshoq,muelle
578,rund::A,yumaloq,redondo
579,spitz::A,uchli,agudo
580,spitz::A,uchli,apuntado
581,scharf::A,keskir,agudo
582,scharf::A,keskir,afilado
583,stumpf::A,to'mtoq,sin filo
584,schwer::A,salmoqli,pesado
585,schön::A,go'zal,bello
586,schön::A,go'zal,hermoso
587,heiß::A,qiziq,caluroso
588,warm::A,issiq,cálido
589,warm::A,issiq,caliente
590,kalt::A,sovuq,frío
591,kühl::A,salqin,fresco
592,frisch::A,toza,fresco
593,feucht::A,namli,húmedo
594,nass::A,nam,mojado
595,trocken::A,quruq,seco
596,voll::A,to'la,lleno
597,leer::A,puch,vacío
598,offen::A,ochiq,abierto
599,geschlossen::A,berk,cerrado
600,sauber::A,ozoda,limpio
601,schmutzig::A,kir,sucio
602,roh::A,xom,crudo
603,reif::A,pishiq,maduro
604,lecker::A,shirin,rico
605,lecker::A,shirin,sabroso
606,süß::A,shirin,dulce
607,bitter::A,achchiq,amargo
608,sauer::A,achchiq,agrio
609,hell::A,yorug',claro
610,dunkel::A,qorong'i,oscuro
611,schwarz::A,qora,negro
612,weiß::A,oq,blanco
613,rot::A,qizil,rojo
614,gelb::A,sariq,amarillo
615,blau::A,zangori,azul
616,grün::A,yashil,verde
617,grau::A,bo'z,gris
618,bunt::A,ola,multicolor
619,billig::A,arzon,barato
620,teuer::A,qimmat,caro
621,wertvoll::A,qimmat,valioso
622,wertvoll::A,qimmat,precioso
623,blind::A,ko'r,ciego
624,taub::A,garang,sordo
625,kräftig::A,kuchli,fuerte
626,stark::A,quvvatli,fuerte
627,stark::A,quvvatli,vigoroso
628,schwach::A,kuchsiz,débil
629,fett::A,semiz,obeso
630,schlank::A,ingichka,esbelto
631,hübsch::A,ko'rkam,mono
632,hübsch::A,ko'rkam,guapo
633,böse::A,yovuz,malo
634,dumm::A,aqlsiz,tonto
635,dumm::A,aqlsiz,estúpido
636,faul::A,ärinchak,vago
637,faul::A,ärinchak,perezoso
638,fleißig::A,ishchan,aplicado
639,fleißig::A,ishchan,diligente
640,geizig::A,qurumsoq,avaro
641,klug::A,oqil,sensato
642,klug::A,oqil,inteligente
643,geschickt::A,äpchil,hábil
644,lieb::A,aziz,querido
645,lustig::A,chaqchaq,alegre
646,sanft::A,asta,suave
647,hungrig::A,och,hambriento
648,krank::A,kasal,enfermo
649,nackt::A,yalang,desnudo
650,traurig::A,xafa,triste
651,lebendig::A,hayotiy,vivo
652,lebendig::A,hayotiy,viviente
653,gut::A,soz,bueno
654,schlecht::A,yomon,malo
655,richtig::A,rost,justo
656,richtig::A,rost,correcto
657,schlimm::A,yovuz,malo
658,schlimm::A,yovuz,grave
659,wahr::A,haqiqiy,verídico
660,wahr::A,haqiqiy,verdadero
661,alt::A,äski,viejo
662,neu::A,yangi,nuevo
663,ehemalig::A,sobiq,antiguo
664,alt[Lebewesen]::A,qari,viejo
665,jung::A,navqiron,joven
666,arm::A,abgor,pobre
667,reich::A,boy,rico
668,bekannt::A,ma'lum,conocido
669,berühmt::A,mashhur,famoso
670,berühmt::A,mashhur,célebre
671,fremd::A,yot,extraño
672,verschieden::A,turli,diverso
673,verschieden::A,turli,distinto
674,verschieden::A,turli,diferente
675,nah::A,yaqindagi,cercano
676,fern::A,uzoq,lejano
677,linker::A,so'l,izquierdo
678,rechter::A,o'ng,derecho
679,anderer::A,boshqa,otro
680,erster::A,birinchi,primero
681,zweiter::A,ikkinchi,segundo
682,dritter::A,uchinchi,tercero
683,letzter::A,oxirgi,último
684,allein::ADV,o'zicha,a solo
685,auf einmal::ADV,varakay,de una vez
686,zusammen::ADV,barobar,juntos
687,lange::ADV,uzoq,mucho tiempo
688,plötzlich::ADV,qo'qqisdan,de repente
689,sofort::ADV,darrov,en seguida
690,später::ADV,so'ngra,más tarde
691,jetzt::ADV,hozirgina,ahora
692,heute::ADV,bugun,hoy
693,morgen::ADV,ärta,mañana
694,bald::ADV,toz,pronto
695,bald::ADV,toz,en breve
696,dann::ADV,keyin,luego
697,dann::ADV,keyin,entonces
698,gestern::ADV,kecha,ayer
699,einst::ADV,avvallari,antaño
700,damals::ADV,ugal,entonces
701,danach::ADV,so'ngra,después
702,vorher::ADV,avval,antes
703,zuerst::ADV,avval,primero
704,einmal::ADV,bir marta,una vez
705,manchmal::ADV,onda-sonda,a veces
706,oft::ADV,tez-tez,a menudo
707,oft::ADV,tez-tez,con frecuencia
708,immer::ADV,har vaqt,siempre
709,niemals::ADV,hargiz,jamás
710,hier::ADV,shu erda,aquí
711,hierhin::ADV,beri,acá
712,von hier::ADV,shu erdan,desde aquí
713,dort::ADV,ana,ahí
714,dort::ADV,ana,allí
715,dorthin::ADV,u yerga,allí
716,dorthin::ADV,u yerga,hacia allí
717,geradeaus::ADV,to'g'ri,todo derecho
718,vorwärts::ADV,ilgari,adelante
719,rückwärts::ADV,qoloq,hacia atrás
720,zurück::ADV,orqada,atrás
721,unten::ADV,pastda,abajo
722,hinab::ADV,tubanga,hacia abajo
723,oben::ADV,ustida,arriba
724,hinauf::ADV,yuqorida,hacia arriba
725,überall::ADV,har erda,por todas partes
726,nicht::ADV,ämas,no
727,ein wenig::ADV,biroz,un poco
728,kaum::ADV,arang,apenas
729,sehr::ADV,ancha,muy
730,sehr::ADV,ancha,mucho
731,so::ADV,shunday,tan
732,noch::ADV,hali,aún
733,noch::ADV,hali,todavía
734,nur::ADV,yolg'iz,solamente
735,schon::ADV,endi,ya
736,wieder::ADV,yana,de nuevo
737,vergebens::ADV,bekorga,en vano
738,vor::PRP,burun,antes de
739,vor::PRP,burun,delante de
740,hinter::PRP,ketida,tras
741,hinter::PRP,ketida,detrás de
742,unter::PRP,ostida,bajo
743,unter::PRP,ostida,debajo de
744,durch::PRP,bo'ylab,por
745,durch::PRP,bo'ylab,a través de
746,neben::PRP,yonida,al lado de
747,zwischen::PRP,orada,entre
748,wegen::PRP,sababli,por
749,wegen::PRP,sababli,a causa de
750,dies::PRN,o'sha,esto
751,das::PRN,narigi,eso
752,das::PRN,narigi,esto
753,alles::PRN,har nima,todo
754,ich::PRN,men,yo
755,du::PRN,sen,tú
756,er::PRN,u,él
757,wir::PRN,biz,nosotros
758,ihr::PRN,siz,vosotros
759,sie::PRN,ular,ellos
760,was::FPRN,nima,qué
761,wer::FPRN,kim,quién
762,wo::FADV,qaerda,dónde
763,wohin::FADV,qayerga,adónde
764,wohin::FADV,qayerga,hacia dónde
765,wie::FADV,qanday,cómo
766,warum::FADV,nega,por qué
767,wieviel::FNUM,qancha,cuánto
768,eins::NUM,bir,uno
769,zwei::NUM,ikki,dos
770,drei::NUM,uch,tres
771,vier::NUM,to'rt,cuatro
772,fünf::NUM,besh,cinco
773,sechs::NUM,olti,seis
774,sieben::NUM,etti,siete
775,acht::NUM,sakkiz,ocho
776,neun::NUM,to'qqiz,nueve
777,zehn::NUM,o'n,diez
778,elf::NUM,o'n bir,once
779,zwölf::NUM,o'n ikki,doce
780,zwanzig::NUM,yigirma,veinte
781,dreißig::NUM,o'ttiz,treinta
782,vierzig::NUM,qirq,cuarenta
783,fünfzig::NUM,ällik,cincuenta
784,sechzig::NUM,oltmish,sesenta
785,siebzig::NUM,etmish,setenta
786,achtzig::NUM,sakson,ochenta
787,neunzig::NUM,to'qson,noventa
788,hundert::NUM,yuz,cien
789,hundert::NUM,yuz,ciento
790,tausend::NUM,ming,mil
791,und::CNJ,va,y
792,oder::CNJ,yo,o
793,stehen::V,turmoq,estar de pie
794,sitzen::V,o'tirmoq,estar sentado
795,liegen::V,yotmoq,yacer
796,liegen::V,yotmoq,estar acostado
797,hängen::V,osilmoq,pender
798,werden::V,bo'lmoq,hacerse
799,passieren::V,bo'lib o'tmoq,suceder
800,beginnen::V,boshlanmoq,iniciarse
801,beginnen::V,boshlanmoq,principiar
802,enden::V,bitmoq,acabar
803,enden::V,bitmoq,terminar
804,wechseln::V,o'zgarmoq,variar
805,wechseln::V,o'zgarmoq,alternar
806,aufgehen[Sonne]::V,chiqmoq,salir
807,untergehen[Sonne]::V,botmoq,ponerse
808,untergehen[Sonne]::V,botmoq,descender
809,scheinen[Sonne]::V,yaraqlamoq,brillar
810,donnern::V,gulduramoq,tronar
811,wehen::V,elpimoq,soplar
