,Concept_ID,it,uz
87,Eis::N,ghiaccio,muz
88,Frost::N,gelo,ajoz
89,Kälte::N,freddo,ajoz
90,Hitze::N,caldo,issiq
91,Hitze::N,calura,issiq
92,Raureif::N,brina,qirov
93,Regenbogen::N,arcobaleno,kamalak
94,Donner::N,tuono,guldur
95,Strömung::N,corrente,oqim
96,Tropfen::N,goccia,tomchi
97,Schaum::N,spuma,ko'pik
98,Schaum::N,schiuma,ko'pik
99,Schmutz::N,sudiciume,gard
100,See::N,lago,ko'l
101,Sumpf::N,palude,botqoq
102,Moor::N,torbiera,qir-adir
103,Wiese::N,prato,o'tzor
104,Wald::N,bosco,o'rmon
105,Wald::N,foresta,o'rmon
106,Hügel::N,colle,tepa
107,Hügel::N,collina,tepa
108,Anhöhe::N,altura,adir
109,Berg::N,monte,tog'
110,Berg::N,montagna,tog'
111,Gipfel::N,cima,cho'qqi
112,Höhle::N,grotta,kavak
113,Höhle::N,caverna,kavak
114,Abhang::N,pendìo,to'sh
115,Quelle::N,sorgente,buloq
116,Bach::N,ruscello,o'zan
117,Fluss::N,fiume,daryo
118,Ufer::N,riva,sohil
119,Küste::N,costa,qirg'oq
120,Festland::N,terraferma,materik
121,Meer::N,mare,dengiz
122,Bucht::N,cala,qo'ltiq
123,Insel::N,ìsola,orol
124,Blume::N,fiore,gul
125,Gras::N,erba,sabza
126,Wurzel::N,radice,tub
127,Wurzel::N,radice,tomir
128,Baum::N,àlbero,daraxt
129,Stamm::N,tronco,o'simta
130,Rinde::N,corteccia,qobiq
131,Ast::N,ramo,shox
132,Zweig::N,ramo,butoq
133,Blatt::N,foglia,barg
134,Birke::N,betulla,qayin
135,Kiefer[Baum]::N,pino,qarag'ay
136,Weide[Baum]::N,sàlice,shum
137,Tanne::N,abete,archa
138,Horn::N,corno,mugiz
139,Feder::N,penna,par
140,Fell::N,manto,mo'yna
141,Fell::N,pelame,mo'yna
142,Flügel::N,ala,qanot
143,Klaue::N,grinfia,tirnoq
144,Kralle::N,unghia,tirnoq
145,Kralle::N,artiglio,tirnoq
146,Schwanz::N,coda,quyruq
147,Ei::N,uovo,tuxum
148,Nest::N,nido,oshyon
149,Bau::N,covo,o'pqon
150,Tier::N,bestia,hayvon
151,Tier::N,animale,hayvon
152,Herde::N,gregge,gala
153,Kuh::N,vacca,inak
154,Bulle::N,toro,ho'kiz
155,Pferd::N,cavallo,ot
156,Schaf::N,pècora,qo'y
157,Schwein::N,porco,cho'chqa
158,Schwein::N,maiale,cho'chqa
159,Hund::N,cane,it
160,Katze::N,gatta,mushuk
161,Bär::N,orso,ayiq
162,Eichhörnchen::N,scoiàttolo,tiyin
163,Elch::N,alce,los
164,Fuchs::N,volpe,tulki
165,Hase::N,lepre,kuyon
166,Maus::N,topo,sichqon
167,Maus::N,sorcio,sichqon
168,Wolf::N,lupo,bo'ri
169,Vogel::N,uccello,qush
170,Schwarm::N,stormo,to'da
171,Huhn::N,gallina,tovuq
172,Hahn::N,gallo,xo'roz
173,Gans::N,oca,g'oz
174,Adler::N,àquila,burgut
175,Ente::N,ànatra,o'rdak
176,Eule::N,gufo,boyo'g'li
177,Eule::N,civetta,boyo'g'li
178,Kranich::N,gru,turna
179,Krähe::N,cornacchia,qarg'a
180,Kuckuck::N,cuccù,kakku
181,Kuckuck::N,cùculo,kakku
182,Schwan::N,cigno,oqkush
183,Fisch::N,pesce,baliq
184,Barsch::N,pèrsico,olabug'a
185,Hecht::N,luccio,cho'rtan
186,Schlange[Tier]::N,serpente,ilon
187,Wurm::N,baco,qurt
188,Wurm::N,verme,qurt
189,Spinne::N,ragno,o'rgimchak
190,Ameise::N,formica,chumoli
191,Laus::N,pidocchio,bit
192,Mücke::N,zanzara,chivin
193,Fliege::N,mosca,pashsha
194,Schmetterling::N,farfalla,kapalak
195,Beere::N,bacca,meva
196,Apfel::N,mela,olma
197,Pilz::N,fungo,qo'ziqorin
198,Zwiebel::N,cipolla,piyoz
199,Saat::N,semente,äkin
200,Korn::N,grano,zarra
201,Heu::N,fieno,xashak
202,Schale::N,buccia,po'choq
203,Grube::N,cava,co'ra
204,Grube::N,fossa,co'ra
205,Falle::N,tràppola,qopqon
206,Schlinge::N,laccio,sirtmoq
207,Spur::N,traccia,iz
208,Asche::N,cenere,kul
209,Dreck::N,fango,kir
210,Eisen::N,ferro,temir
211,Gold::N,oro,tilla
212,Silber::N,argento,kumush
213,Kohle::N,carbone,ko'mir
214,Glas::N,vetro,oyna
215,Lehm::N,argilla,loy
216,Sand::N,arena,qum
217,Sand::N,sabbia,qum
218,Mensch::N,uomo,odam
219,Mensch::N,èssere umano,odam
220,Mann::N,uomo,ärkak
221,Frau::N,donna,ayol
222,Kind::N,bambino,bola
223,Kind::N,bambino,kichkintoy
224,Junge::N,ragazzo,bola
225,Mädchen::N,ragazza,qiz
226,Familie::N,famiglia,oila
227,Großvater::N,nonno,buva
228,Großvater::N,nonno,katta ota
229,Großmutter::N,nonna,buvi
230,Großmutter::N,nonna,katta oyi
231,Eltern::N,genitori,ota-ona
232,Vater::N,padre,ota
233,Mutter::N,madre,ona
234,Sohn::N,figlio,o'g'il
235,Tochter::N,figlia,qiz
236,Bruder::N,fratello,og'a
237,Bruder::N,fratello,uka
238,Schwester::N,sorella,opa
239,Schwester::N,sorella,singil
240,Onkel::N,zio,amaki
241,Tante::N,zia,amma
242,Tante::N,zia,xola
243,Ehemann::N,marito,är
244,Ehefrau::N,moglie,rafiqa
245,Freude::N,gioia,ayish
246,Freude::N,piacere,ayish
247,Gelächter::N,risata,kulgi
248,Glück::N,felicità,saodat
249,Kummer::N,afflizione,g'am
250,Wunsch::N,desiderio,orzu
251,Lust::N,voglia,rag'bat
252,Geist::N,mente,ruh
253,Geist::N,spìrito,ruh
254,Gedanke::N,idea,fikr
255,Gedanke::N,pensiero,fikr
256,Gedächtnis::N,memoria,äs
257,Verstand::N,intelletto,aql
258,Sinn::N,senso,ma'ni
259,Sinn::N,significato,ma'ni
260,Grund::N,causa,sabab
261,Grund::N,motivo,sabab
262,Grund::N,ragione,sabab
263,Wahrheit::N,verità,haq
264,Gespräch::N,discorso,gap
265,Gespräch::N,conversazione,gap
266,Märchen::N,fiaba,ärtak
267,Märchen::N,fàvola,ärtak
268,Erzählung::N,racconto,rivoyat
269,Erzählung::N,narrazione,rivoyat
270,Nachricht::N,messaggio,xabar
271,Neuigkeit::N,notizia,yangilik
272,Name::N,nome,ot
273,Rätsel::N,indovinello,topishmoq
274,Rede::N,discorso,nutq
275,Sprache::N,lingua,til
276,Sprache::N,linguaggio,til
277,Stimme::N,voce,ovoz
278,Wort::N,parola,so'z
279,Zeichen::N,segno,alomat
280,Zeichen::N,segnale,alomat
281,Ruf::N,chiamata,chaqiriq
282,Lärm::N,chiasso,taraq
283,Lärm::N,strèpito,taraq
284,Laut::N,suono,tovush
285,Ton::N,tono,un
286,Lied::N,canto,ashula
287,Lied::N,canzone,ashula
288,Ruhe::N,calma,tinchlik
289,Ruhe::N,tranquillità,tinchlik
290,Leute::N,gente,xaloyiq
291,Volk::N,pòpolo,xalq
292,Arbeit::N,lavoro,ish
293,Gast::N,òspite,mehmon
294,Gast::N,invitato,mehmon
295,Geschenk::N,regalo,hadya
296,Spiel::N,gioco,o'yin
297,Gesellschaft::N,compagnìa,jamiyat
298,Hilfe::N,aiuto,yordam
299,Hilfe::N,soccorso,yordam
300,Freund::N,amico,do'st
301,Kamerad::N,camerata,yo'ldosh
302,Angelegenheit::N,affare,daxl
303,Angelegenheit::N,faccenda,daxl
304,Anzahl::N,nùmero,son
305,Anzahl::N,quantità,son
306,Art::N,tipo,tur
307,Art::N,specie,tur
308,Stück::N,pezzo,parcha
309,Teil::N,parte,bo'lak
310,Hälfte::N,metà,yarim
311,Kreis::N,cìrcolo,aylana
312,Kreuz::N,croce,xoch
313,Linie::N,lìnea,liniya
314,Strich::N,tratto,chiziq
315,Abstand::N,distanza,oralik
316,Entfernung::N,distanza,uzoqlik
317,Entfernung::N,lontananza,uzoqlik
318,Gegend::N,regione,yer
319,Platz::N,posto,oralig
320,Platz::N,spazio,oralig
321,Ort::N,luogo,joy
322,Ort::N,località,joy
323,Seite::N,lato,yon
324,Seite::N,parte,yon
325,Mitte::N,mezzo,o'rta
326,Mitte::N,centro,o'rta
327,Gegenstand::N,oggetto,ashyo
328,Sache::N,cosa,buyum
329,Rand::N,orlo,chek
330,Rand::N,bordo,chek
331,Kante::N,spìgolo,tig'
332,Ecke::N,canto,burchak
333,Spitze::N,punta,uch
334,Ende::N,capo,oxir
335,Ende::N,estremità,oxir
336,Loch::N,buco,teshik
337,Winkel::N,àngolo,go'sha
338,Muster::N,disegno,nusha
339,Größe::N,taglia,kattalik
340,Größe::N,grandezza,kattalik
341,Länge::N,lunghezza,uzunlik
342,Höhe::N,altezza,yuksaklik
343,Gewicht::N,peso,solmoq
344,Menge::N,quantità,miqdor
345,Haufen::N,cùmulo,uyum
346,Haufen::N,mucchio,uyum
347,Reihe::N,fila,saf
348,Boot::N,barca,qayiq
349,Boot::N,battello,qayiq
350,Ruder::N,remo,äshkak
351,Schlitten::N,slitta,chana
352,Ski::N,sci,chang'i
353,Lagerfeuer::N,falò,gulxan
354,Lagerfeuer::N,fuoco di bivacco,gulxan
355,Last::N,càrico,yuk
356,Gang::N,andata,yurish
357,Schritt::N,passo,qadam
358,Norden::N,nord,shimol
359,Norden::N,settentrione,shimol
360,Süden::N,sud,janub
361,Süden::N,meridione,janub
362,Westen::N,òvest,g'arb
363,Westen::N,occidente,g'arb
364,Osten::N,est,sharq
365,Osten::N,oriente,sharq
366,Holz::N,legno,yog'och
367,Brett::N,asse,taxta
368,Brett::N,tàvola,taxta
369,Platte::N,lastra,tabaqa
370,Platte::N,piastra,tabaqa
371,Stütze::N,supporto,tayanchi
372,Stange::N,sbarra,qo'noq
373,Stange::N,pèrtica,qo'noq
374,Stock::N,verga,tayoq
375,Stock::N,bastone,tayoq
376,Stock::N,bacchetta,tayoq
377,Stab::N,asta,gavron
378,Rohr::N,tubo,tarnov
379,Haus::N,casa,uy
380,Heim::N,casa,makon
381,Ofen::N,stufa,pechka
382,Fußboden::N,pavimento,pol
383,Tisch::N,tàvolo,mosa
384,Stuhl::N,sedia,o'rindiq
385,Wiege::N,culla,beshik
386,Bett::N,letto,yotoq
387,Regal::N,scaffale,tokcha
388,Kiste::N,cassa,sandiq
389,Fenster::N,finestra,deraza
390,Tür::N,porta,äshik
391,Tor::N,portone,darvoza
392,Zaun::N,recinto,panjara
393,Dach::N,tetto,tom
394,Leiter::N,scala,narvon
395,Leiter::N,scala a pioli,narvon
396,Besen::N,scopa,supurgi
397,Spaten::N,vanga,bel
398,Schaufel::N,pala,kurak
399,Gabel::N,forchetta,bilka
400,Löffel::N,cucchiaio,qoshiq
401,Messer::N,coltello,pichoq
402,Nagel::N,chiodo,mix
403,Netz::N,rete,to'r
404,Haken::N,uncino,ilgak
405,Griff::N,mànico,sop
406,Griff::N,mànico,tutqich
407,Griff::N,maniglia,sop
408,Griff::N,maniglia,tutqich
409,Schloss::N,serratura,qulf
410,Bild::N,quadro,rasm
411,Bild::N,immàgine,rasm
412,Figur::N,figura,shakl
413,Puppe::N,bàmbola,ko'g'irchoq
414,Beutel::N,borsa,to'rva
415,Beutel::N,sacchetto,to'rva
416,Bündel::N,fascio,bog'lam
417,Bündel::N,fagotto,bog'lam
418,Tasche::N,borsa,kissa
419,Eimer::N,secchio,chelak
420,Deckel::N,coperchio,qopqoq
421,Geschirr::N,stoviglie,idish
422,Sack::N,sacco,qop
423,Tasse::N,tazza,piyola
424,Topf::N,pèntola,tuvak
425,Kessel::N,paiolo,qozon
426,Kessel::N,calderone,qozon
427,Essen::N,pasto,tomoq
428,Essen::N,mangiare,tomoq
429,Nahrung::N,cibo,emak
430,Nahrung::N,alimento,emak
431,Speise::N,piatto,taom
432,Fleisch::N,carne,go'sht
433,Getreide::N,cereali,g'alla
434,Brei::N,purè,bo'tqa
435,Brei::N,pappa,bo'tqa
436,Brot::N,pane,non
437,Scheibe::N,fetta,disk
438,Scheibe::N,trancia,disk
439,Fett::N,grasso,moy
440,Butter::N,burro,yog'
441,Öl::N,olio,moy
442,Salz::N,sale,tuz
443,Suppe::N,zuppa,sho'rva
444,Suppe::N,minestra,sho'rva
445,Honig::N,miele,asal
446,Milch::N,latte,sut
447,Tee::N,tè,choy
448,Leder::N,pelle,charm
449,Wolle::N,lana,jun
450,Stoff::N,panno,mato
451,Stoff::N,tessuto,mato
452,Nadel::N,ago,igna
453,Faden::N,filo,ip
454,Knopf::N,bottone,tugma
455,Knoten::N,nodo,tugun
456,Farbe::N,pittura,bo'yok
457,Kleidung::N,vestiti,kiyim
458,Kleidung::N,vestiario,kiyim
459,Hemd::N,camicia,ko'ylak
460,Kragen::N,bàvero,yoqa
461,Kragen::N,colletto,yoqa
462,Ärmel::N,mànica,yeng
463,Hose::N,calzoni,shim
464,Gürtel::N,cintura,tasma
465,Mütze::N,berretto,shapka
466,Schuh::N,scarpa,but
467,Stiefel::N,stivale,botinka
468,Ring::N,anello,yuzuk
469,Band::N,nastro,rishta
470,Band::N,fettuccia,rishta
471,Kamm::N,pèttine,taroq
472,Spiegel::N,specchio,ko'zgu
473,Riemen::N,cinghia,qayish
474,Schnur::N,corda,bog'ich
475,Leine::N,guinzaglio,etak
476,Decke::N,coperta,odyol
477,Kissen::N,cuscino,yostiq
478,Kissen::N,guanciale,yostiq
479,Tuch::N,fazzoletto,gazlama
480,Handtuch::N,asciugamano,sochiq
481,Kraft::N,forza,kuch
482,Stärke::N,forza,quvvat
483,Stärke::N,vigore,quvvat
484,Stärke::N,fortezza,quvvat
485,Gesundheit::N,salute,sog'lik
486,Krankheit::N,malattìa,kasallik
487,Schmerz::N,dolore,og'riq
488,Wunde::N,piaga,yara
489,Wunde::N,ferita,yara
490,Fieber::N,febbre,bezgak
491,Arznei::N,fàrmaco,dori
492,Arznei::N,medicina,dori
493,Brücke::N,ponte,ko'prik
494,Brunnen::N,pozzo,buloq
495,Weide::N,pàscolo,yaylov
496,Pfad::N,sentiero,dorojka
497,Weg::N,via,yo'l
498,Weg::N,cammino,yo'l
499,Straße::N,strada,ko'cha
500,Dorf::N,paese,ovul
501,Dorf::N,villaggio,ovul
502,Stadt::N,città,shahar
503,Brief::N,lèttera,maktub
504,Buch::N,libro,kitob
505,Buchstabe::N,lèttera,harf
506,Zeitung::N,giornale,gazet
507,Leben::N,vita,hayot
508,Tod::N,morte,o'lim
509,Grab::N,tomba,go'r
510,Grab::N,sepolcro,go'r
511,Kirche::N,chiesa,cherkov
512,Sünde::N,peccato,gunoh
513,Gott::N,dio,olloh
514,Arbeiter::N,operaio,ishchi
515,Arbeiter::N,lavoratore,ishchi
516,Chef::N,capo,rais
517,Chef::N,padrone,rais
518,Meister::N,mastro,usta
519,Meister::N,maestro,usta
520,Arzt::N,mèdico,hakim
521,Arzt::N,dottore,hakim
522,Lehrer::N,professore,muallim
523,Geld::N,soldi,pul
524,Geld::N,denaro,pul
525,Geschäft::N,affare,savdo
526,Geschäft::N,negozio,savdo
527,Laden::N,negozio,do'kon
528,Preis::N,prezzo,baho
529,Ware::N,merce,mol
530,Nutzen::N,ùtile,foyda
531,Nutzen::N,profitto,foyda
532,Reichtum::N,ricchezza,boylik
533,Welt::N,mondo,olam
534,Land::N,paese,o'lka
535,Staat::N,Stato,davlat
536,König::N,re,qirol
537,Macht::N,potere,iqtidor
538,Grenze::N,confine,chegara
539,Grenze::N,frontiera,chegara
540,Krieg::N,guerra,harb
541,Feind::N,nemico,dushman
542,Gewalt::N,violenza,zo'rlik
543,Kampf::N,lotta,kurash
544,Bogen[Waffe]::N,arco,yoy
545,Pfeil::N,freccia,o'q
546,Gewehr::N,fucile,vintovka
547,Fehler::N,errore,xato
548,Fehler::N,sbaglio,xato
549,Lüge::N,bugìa,yolg'on
550,Lüge::N,menzogna,yolg'on
551,Schaden::N,danno,ziyon
552,Unglück::N,sfortuna,balo
553,Schuld::N,colpa,ayb
554,Alter::N,età,yosh
555,Schluss::N,fine,tamom
556,Zeit::N,tempo,vaqt
557,Tag::N,giorno,kun
558,Tag::N,giornata,kun
559,Morgen::N,mattina,saboh
560,Mittag::N,mezzogiorno,kun tushlik
561,Abend::N,sera,oqshom
562,Abend::N,serata,oqshom
563,Nacht::N,notte,tun
564,Woche::N,settimana,hafta
565,Monat::N,mese,oy
566,Jahr::N,anno,yil
567,Frühling::N,primavera,bahor
568,Sommer::N,estate,yoz
569,Herbst::N,autunno,kuz
570,Herbst::N,autunno,xazon
571,Winter::N,inverno,qish
572,Januar::N,gennaio,yanvar'
573,Februar::N,febbraio,fevral'
574,März::N,marzo,mart
575,April::N,aprile,aprel'
576,Mai::N,maggio,may
577,Juni::N,giugno,iyun'
578,Juli::N,luglio,iyul'
579,August::N,agosto,avgust
580,September::N,settembre,sentyabr'
581,Oktober::N,ottobre,oktyabr'
582,November::N,novembre,noyabr'
583,Dezember::N,dicembre,dekabr'
584,Montag::N,lunedì,dushanba
585,Dienstag::N,martedì,seshanba
586,Mittwoch::N,mercoledì,chorshanba
587,Donnerstag::N,giovedì,payshanba
588,Freitag::N,venerdì,juma
589,Samstag::N,sàbato,shanba
590,Sonntag::N,domenica,yakshanba
591,groß::A,grande,buyuk
592,klein::A,pìccolo,kichik
593,lang::A,lungo,uzun
594,kurz::A,corto,qisqa
595,breit::A,largo,keng
596,schmal::A,stretto,änsiz
597,dicht::A,denso,quyuq
598,dick[Gegenstand]::A,spesso,qalin
599,dünn::A,sottile,ingichka
600,fein::A,fine,mayin
601,fein::A,delicato,mayin
602,fest::A,sodo,qattiq
603,fest::A,fisso,qattiq
604,flach::A,piano,yalpoq
605,flach::A,piatto,yalpoq
606,glatt::A,liscio,tekis
607,hart::A,duro,qattiq
608,weich::A,molle,yumshoq
609,rund::A,rotondo,yumaloq
610,spitz::A,aguzzo,uchli
611,spitz::A,appuntito,uchli
612,scharf::A,affilato,keskir
613,scharf::A,tagliente,keskir
614,stumpf::A,smussato,to'mtoq
615,schwer::A,pesante,salmoqli
616,schön::A,bello,go'zal
617,heiß::A,caldo,qiziq
618,heiß::A,bollente,qiziq
619,warm::A,caldo,issiq
620,kalt::A,freddo,sovuq
621,kühl::A,fresco,salqin
622,frisch::A,fresco,toza
623,feucht::A,ùmido,namli
624,nass::A,bagnato,nam
625,trocken::A,secco,quruq
626,voll::A,pieno,to'la
627,leer::A,vuoto,puch
628,offen::A,aperto,ochiq
629,geschlossen::A,chiuso,berk
630,sauber::A,netto,ozoda
631,sauber::A,pulito,ozoda
632,schmutzig::A,sporco,kir
633,schmutzig::A,sùdicio,kir
634,roh::A,crudo,xom
635,reif::A,maturo,pishiq
636,lecker::A,ghiotto,shirin
637,lecker::A,squisito,shirin
638,süß::A,dolce,shirin
639,bitter::A,amaro,achchiq
640,sauer::A,aspro,achchiq
641,sauer::A,acerbo,achchiq
642,hell::A,chiaro,yorug'
643,dunkel::A,buio,qorong'i
644,dunkel::A,oscuro,qorong'i
645,schwarz::A,nero,qora
646,weiß::A,bianco,oq
647,rot::A,rosso,qizil
648,gelb::A,giallo,sariq
649,blau::A,blu,zangori
650,blau::A,azzurro,zangori
651,grün::A,verde,yashil
652,grau::A,grigio,bo'z
653,bunt::A,variopinto,ola
654,billig::A,a buon prezzo,arzon
655,billig::A,a buon mercato,arzon
656,teuer::A,caro,qimmat
657,wertvoll::A,prezioso,qimmat
658,blind::A,cieco,ko'r
659,taub::A,sordo,garang
660,kräftig::A,forte,kuchli
661,kräftig::A,robusto,kuchli
662,stark::A,forte,quvvatli
663,stark::A,vigoroso,quvvatli
664,schwach::A,dèbole,kuchsiz
665,fett::A,grasso,semiz
666,schlank::A,snello,ingichka
667,schlank::A,slanciato,ingichka
668,hübsch::A,bello,ko'rkam
669,hübsch::A,carino,ko'rkam
670,böse::A,cattivo,yovuz
671,dumm::A,stùpido,aqlsiz
672,faul::A,pigro,ärinchak
673,fleißig::A,diligente,ishchan
674,geizig::A,avaro,qurumsoq
675,klug::A,intelligente,oqil
676,geschickt::A,àbile,äpchil
677,lieb::A,caro,aziz
678,lustig::A,gaio,chaqchaq
679,lustig::A,allegro,chaqchaq
680,sanft::A,dolce,asta
681,hungrig::A,affamato,och
682,krank::A,malato,kasal
683,krank::A,infermo,kasal
684,nackt::A,nudo,yalang
685,traurig::A,triste,xafa
686,lebendig::A,vivo,hayotiy
687,gut::A,buono,soz
688,schlecht::A,cattivo,yomon
689,richtig::A,giusto,rost
690,schlimm::A,grave,yovuz
691,wahr::A,vero,haqiqiy
692,alt::A,vecchio,äski
693,neu::A,nuovo,yangi
694,ehemalig::A,vecchio,sobiq
695,ehemalig::A,d'una_volta,sobiq
696,alt[Lebewesen]::A,anziano,qari
697,jung::A,giovane,navqiron
698,arm::A,pòvero,abgor
699,reich::A,ricco,boy
700,bekannt::A,noto,ma'lum
701,bekannt::A,conosciuto,ma'lum
702,berühmt::A,famoso,mashhur
703,berühmt::A,cèlebre,mashhur
704,fremd::A,estràneo,yot
705,fremd::A,straniero,yot
706,verschieden::A,diverso,turli
707,verschieden::A,differente,turli
708,nah::A,vicino,yaqindagi
709,nah::A,propinquo,yaqindagi
710,fern::A,lontano,uzoq
711,linker::A,sinistro,so'l
712,rechter::A,destro,o'ng
713,anderer::A,altro,boshqa
714,erster::A,primo,birinchi
715,zweiter::A,secondo,ikkinchi
716,dritter::A,terzo,uchinchi
717,letzter::A,ùltimo,oxirgi
718,allein::ADV,solo,o'zicha
719,allein::ADV,da solo,o'zicha
720,auf einmal::ADV,insieme,varakay
721,zusammen::ADV,insieme,barobar
722,lange::ADV,a lungo,uzoq
723,plötzlich::ADV,all'improvviso,qo'qqisdan
724,sofort::ADV,sùbito,darrov
725,sofort::ADV,all'istante,darrov
726,später::ADV,più tardi,so'ngra
727,jetzt::ADV,ora,hozirgina
728,jetzt::ADV,adesso,hozirgina
729,heute::ADV,oggi,bugun
730,morgen::ADV,domani,ärta
731,bald::ADV,presto,toz
732,bald::ADV,tra poco,toz
733,dann::ADV,allora,keyin
734,gestern::ADV,ieri,kecha
735,einst::ADV,prima,avvallari
736,einst::ADV,un tempo,avvallari
737,damals::ADV,allora,ugal
738,danach::ADV,poi,so'ngra
739,danach::ADV,dopo,so'ngra
740,vorher::ADV,prima,avval
741,zuerst::ADV,prima,avval
742,zuerst::ADV,dapprima,avval
743,einmal::ADV,una volta,bir marta
744,manchmal::ADV,talvolta,onda-sonda
745,manchmal::ADV,qualche volta,onda-sonda
746,oft::ADV,spesso,tez-tez
747,immer::ADV,sempre,har vaqt
748,niemals::ADV,non mai,hargiz
749,hier::ADV,qua,shu erda
750,hierhin::ADV,qua,beri
751,von hier::ADV,ne,shu erdan
752,von hier::ADV,da qui,shu erdan
753,dort::ADV,lì,ana
754,dorthin::ADV,là,u yerga
755,geradeaus::ADV,diritto,to'g'ri
756,vorwärts::ADV,avanti,ilgari
757,rückwärts::ADV,all'indietro,qoloq
758,zurück::ADV,di indietro,orqada
759,unten::ADV,giù,pastda
760,unten::ADV,sotto,pastda
761,hinab::ADV,giù,tubanga
762,hinab::ADV,in giù,tubanga
763,oben::ADV,su,ustida
764,oben::ADV,sopra,ustida
765,hinauf::ADV,in sù,yuqorida
766,hinauf::ADV,in alto,yuqorida
767,überall::ADV,dappertutto,har erda
768,nicht::ADV,non,ämas
769,ein wenig::ADV,un po',biroz
770,ein wenig::ADV,un poco,biroz
771,kaum::ADV,a appena,arang
772,sehr::ADV,molto,ancha
773,so::ADV,così,shunday
774,so::ADV,tanto,shunday
775,noch::ADV,ancora,hali
776,nur::ADV,solo,yolg'iz
777,nur::ADV,soltanto,yolg'iz
778,schon::ADV,già,endi
779,wieder::ADV,di nuovo,yana
780,vergebens::ADV,invano,bekorga
781,vor::PRP,davanti a,burun
782,hinter::PRP,dietro,ketida
783,unter::PRP,sotto,ostida
784,durch::PRP,per,bo'ylab
785,durch::PRP,attraverso,bo'ylab
786,neben::PRP,a accanto a,yonida
787,zwischen::PRP,fra,orada
788,wegen::PRP,a causa di,sababli
789,dies::PRN,ciò,o'sha
790,dies::PRN,questo,o'sha
791,das::PRN,ciò,narigi
792,das::PRN,quello,narigi
793,alles::PRN,tutto,har nima
794,ich::PRN,ìo,men
795,du::PRN,tu,sen
796,er::PRN,lui,u
797,er::PRN,egli,u
798,wir::PRN,noi,biz
799,ihr::PRN,voi,siz
800,sie::PRN,loro,ular
801,was::FPRN,che,nima
802,was::FPRN,che cosa,nima
803,wer::FPRN,chi,kim
804,wo::FADV,dove,qaerda
805,wohin::FADV,dove,qayerga
806,wie::FADV,come,qanday
807,warum::FADV,perche,nega
808,wieviel::FNUM,quanto,qancha
809,eins::NUM,uno,bir
