,Concept_ID,lt,uz
71,Boden::N,dugnas,tuproq
72,Erde::N,žemė,er
73,Staub::N,dulkės,chang
74,Rauch::N,dūmai,tutun
75,Funke::N,kibirkštis,yalt
76,Feuer::N,ugnis,o't
77,Licht::N,šviesa,yorug'
78,Schatten::N,paūksmė,soya
79,Wetter::N,oras,havo
80,Nebel::N,migla,tuman
81,Nebel::N,rūkas,tuman
82,Wolke::N,debesis,bulut
83,Regen::N,lietus,yomg'ir
84,Schnee::N,sniegas,qor
85,Eis::N,ledas,muz
86,Frost::N,šalna,ajoz
87,Kälte::N,šaltis,ajoz
88,Hitze::N,karštis,issiq
89,Raureif::N,šerkšnas,qirov
90,Regenbogen::N,vaivorykštė,kamalak
91,Donner::N,perkūnas,guldur
92,Donner::N,griaustinis,guldur
93,Strömung::N,tėkmė,oqim
94,Tropfen::N,lašas,tomchi
95,Schaum::N,putos,ko'pik
96,Schmutz::N,purvas,gard
97,See::N,ežeras,ko'l
98,Sumpf::N,klampynė,botqoq
99,Sumpf::N,liūnas,botqoq
100,Moor::N,pelkė,qir-adir
101,Wiese::N,pieva,o'tzor
102,Wald::N,miškas,o'rmon
103,Hügel::N,kalva,tepa
104,Anhöhe::N,kauburys,adir
105,Berg::N,kalnas,tog'
106,Gipfel::N,viršūnė,cho'qqi
107,Höhle::N,ola,kavak
108,Abhang::N,šlaitas,to'sh
109,Abhang::N,nuokalnė,to'sh
110,Quelle::N,versmė,buloq
111,Quelle::N,šaltinis,buloq
112,Bach::N,upelis,o'zan
113,Fluss::N,upė,daryo
114,Ufer::N,krantas,sohil
115,Küste::N,pajūris,qirg'oq
116,Festland::N,sausuma,materik
117,Meer::N,jūra,dengiz
118,Bucht::N,įlanka,qo'ltiq
119,Bucht::N,užutekis,qo'ltiq
120,Insel::N,sala,orol
121,Blume::N,gėlė,gul
122,Gras::N,žolė,sabza
123,Wurzel::N,šaknis,tub
124,Wurzel::N,šaknis,tomir
125,Baum::N,medis,daraxt
126,Stamm::N,kamienas,o'simta
127,Rinde::N,žievė,qobiq
128,Ast::N,šaka,shox
129,Zweig::N,šakelė,butoq
130,Blatt::N,lapas,barg
131,Birke::N,beržas,qayin
132,Kiefer[Baum]::N,pušis,qarag'ay
133,Weide[Baum]::N,karklas,shum
134,Tanne::N,eglė,archa
135,Tanne::N,kėnis,archa
136,Horn::N,ragas,mugiz
137,Feder::N,plunksna,par
138,Fell::N,kailis,mo'yna
139,Flügel::N,sparnas,qanot
140,Klaue::N,kanopa,tirnoq
141,Kralle::N,nagas,tirnoq
142,Schwanz::N,uodega,quyruq
143,Ei::N,kiaušinis,tuxum
144,Nest::N,gūžta,oshyon
145,Nest::N,lizdas,oshyon
146,Bau::N,ola,o'pqon
147,Tier::N,gyvūnas,hayvon
148,Herde::N,banda,gala
149,Herde::N,kaimenė,gala
150,Kuh::N,karvė,inak
151,Bulle::N,bulius,ho'kiz
152,Pferd::N,arklys,ot
153,Schaf::N,avis,qo'y
154,Schwein::N,kiaulė,cho'chqa
155,Hund::N,šuo,it
156,Katze::N,katė,mushuk
157,Bär::N,lokys,ayiq
158,Eichhörnchen::N,voveraitė,tiyin
159,Elch::N,briedis,los
160,Fuchs::N,lapė,tulki
161,Hase::N,kiškas,kuyon
162,Maus::N,pelė,sichqon
163,Wolf::N,vilkas,bo'ri
164,Vogel::N,paukštis,qush
165,Schwarm::N,spiečius,to'da
166,Huhn::N,višta,tovuq
167,Hahn::N,gaidys,xo'roz
168,Gans::N,žąsis,g'oz
169,Adler::N,erelis,burgut
170,Ente::N,antis,o'rdak
171,Eule::N,pelėda,boyo'g'li
172,Kranich::N,gervė,turna
173,Krähe::N,varna,qarg'a
174,Kuckuck::N,gegužė,kakku
175,Schwan::N,gulbė,oqkush
176,Fisch::N,žuvis,baliq
177,Barsch::N,ešerys,olabug'a
178,Hecht::N,lydeka,cho'rtan
179,Schlange[Tier]::N,gyvatė,ilon
180,Wurm::N,kirmėlė,qurt
181,Spinne::N,voras,o'rgimchak
182,Ameise::N,skruzdė,chumoli
183,Laus::N,utėlė,bit
184,Mücke::N,uodas,chivin
185,Fliege::N,musė,pashsha
186,Schmetterling::N,drugys,kapalak
187,Schmetterling::N,peteliškė,kapalak
188,Beere::N,uoga,meva
189,Apfel::N,obuolys,olma
190,Pilz::N,grybas,qo'ziqorin
191,Zwiebel::N,svogūnas,piyoz
192,Saat::N,sėkla,äkin
193,Korn::N,grūdai,zarra
194,Heu::N,šienas,xashak
195,Schale::N,žievelė,po'choq
196,Grube::N,duobė,co'ra
197,Falle::N,pinklės,qopqon
198,Falle::N,žabangai,qopqon
199,Schlinge::N,kilpa,sirtmoq
200,Spur::N,vėžė,iz
201,Spur::N,pėdos,iz
202,Spur::N,pėdsakas,iz
203,Asche::N,pelenai,kul
204,Dreck::N,purvas,kir
205,Eisen::N,geležis,temir
206,Gold::N,auksas,tilla
207,Silber::N,sidabras,kumush
208,Kohle::N,anglis,ko'mir
209,Glas::N,stiklas,oyna
210,Lehm::N,molis,loy
211,Sand::N,smėlis,qum
212,Mensch::N,žmogus,odam
213,Mann::N,vyras,ärkak
214,Mann::N,vyriškis,ärkak
215,Frau::N,moteris,ayol
216,Kind::N,vaikas,bola
217,Kind::N,vaikas,kichkintoy
218,Junge::N,vaikinas,bola
219,Junge::N,berniukas,bola
220,Mädchen::N,mergytė,qiz
221,Mädchen::N,mergaitė,qiz
222,Familie::N,šeima,oila
223,Großvater::N,senelis,buva
224,Großvater::N,senelis,katta ota
225,Großmutter::N,senelė,buvi
226,Großmutter::N,senelė,katta oyi
227,Eltern::N,tėvai,ota-ona
228,Vater::N,tėvas,ota
229,Mutter::N,motina,ona
230,Sohn::N,sūnus,o'g'il
231,Tochter::N,duktė,qiz
232,Bruder::N,brolis,og'a
233,Bruder::N,brolis,uka
234,Schwester::N,sesuo,opa
235,Schwester::N,sesuo,singil
236,Onkel::N,dėdė,amaki
237,Tante::N,teta,amma
238,Tante::N,teta,xola
239,Ehemann::N,vyras,är
240,Ehefrau::N,žmona,rafiqa
241,Freude::N,džiaugsmas,ayish
242,Gelächter::N,juokas,kulgi
243,Glück::N,laimė,saodat
244,Kummer::N,vargas,g'am
245,Kummer::N,rūpestis,g'am
246,Wunsch::N,troškimas,orzu
247,Wunsch::N,pageidavimas,orzu
248,Lust::N,noras,rag'bat
249,Lust::N,geidulys,rag'bat
250,Geist::N,dvasia,ruh
251,Gedanke::N,mintis,fikr
252,Gedächtnis::N,atmintis,äs
253,Verstand::N,protas,aql
254,Sinn::N,prasmė,ma'ni
255,Grund::N,priežastis,sabab
256,Wahrheit::N,tiesa,haq
257,Wahrheit::N,teisybė,haq
258,Gespräch::N,pokalbis,gap
259,Märchen::N,pasaka,ärtak
260,Erzählung::N,apsakymas,rivoyat
261,Erzählung::N,pasakojimas,rivoyat
262,Nachricht::N,žinia,xabar
263,Neuigkeit::N,naujiena,yangilik
264,Name::N,vardas,ot
265,Rätsel::N,mįslė,topishmoq
266,Rede::N,kalba,nutq
267,Sprache::N,kalba,til
268,Stimme::N,balsas,ovoz
269,Wort::N,žodis,so'z
270,Zeichen::N,žymė,alomat
271,Zeichen::N,ženklas,alomat
272,Ruf::N,šauksmas,chaqiriq
273,Lärm::N,triukšmas,taraq
274,Laut::N,garsas,tovush
275,Ton::N,tonas,un
276,Ton::N,garsas,un
277,Lied::N,daina,ashula
278,Lied::N,giesmė,ashula
279,Ruhe::N,ramybė,tinchlik
280,Ruhe::N,ramumas,tinchlik
281,Leute::N,žmonės,xaloyiq
282,Volk::N,tauta,xalq
283,Arbeit::N,darbas,ish
284,Arbeit::N,triūsas,ish
285,Gast::N,svečias,mehmon
286,Geschenk::N,dovana,hadya
287,Spiel::N,žaismas,o'yin
288,Spiel::N,žaidimas,o'yin
289,Gesellschaft::N,draugija,jamiyat
290,Gesellschaft::N,kompanija,jamiyat
291,Hilfe::N,pagalba,yordam
292,Freund::N,draugas,do'st
293,Freund::N,bičiulis,do'st
294,Kamerad::N,draugas,yo'ldosh
295,Angelegenheit::N,dalykas,daxl
296,Angelegenheit::N,reikalas,daxl
297,Anzahl::N,kiekis,son
298,Anzahl::N,skaičius,son
299,Art::N,rūšis,tur
300,Stück::N,gabalas,parcha
301,Teil::N,dalis,bo'lak
302,Hälfte::N,pusė,yarim
303,Kreis::N,ratas,aylana
304,Kreis::N,apskritis,aylana
305,Kreis::N,apskritimas,aylana
306,Kreuz::N,kryžius,xoch
307,Linie::N,linija,liniya
308,Strich::N,brėžis,chiziq
309,Strich::N,brūkšnys,chiziq
310,Abstand::N,atstumas,oralik
311,Entfernung::N,atstumas,uzoqlik
312,Gegend::N,vietovė,yer
313,Platz::N,vieta,oralig
314,Ort::N,vieta,joy
315,Ort::N,vietovė,joy
316,Seite::N,pusė,yon
317,Seite::N,šonas,yon
318,Mitte::N,vidurys,o'rta
319,Gegenstand::N,dalykas,ashyo
320,Sache::N,daiktas,buyum
321,Rand::N,kraštas,chek
322,Rand::N,pakraštys,chek
323,Kante::N,kraštas,tig'
324,Ecke::N,kertė,burchak
325,Ecke::N,kampas,burchak
326,Spitze::N,priekis,uch
327,Spitze::N,priešakys,uch
328,Ende::N,galas,oxir
329,Loch::N,skylė,teshik
330,Winkel::N,kampas,go'sha
331,Winkel::N,kampelis,go'sha
332,Muster::N,raštas,nusha
333,Größe::N,dydis,kattalik
334,Größe::N,didumas,kattalik
335,Länge::N,ilgis,uzunlik
336,Länge::N,ilgumas,uzunlik
337,Höhe::N,aukštis,yuksaklik
338,Höhe::N,aukštuma,yuksaklik
339,Gewicht::N,svoris,solmoq
340,Gewicht::N,svarstis,solmoq
341,Menge::N,kiekis,miqdor
342,Menge::N,daugybė,miqdor
343,Haufen::N,krūva,uyum
344,Haufen::N,šūsnis,uyum
345,Reihe::N,greta,saf
346,Boot::N,valtis,qayiq
347,Boot::N,laivelis,qayiq
348,Ruder::N,irklas,äshkak
349,Schlitten::N,rogės,chana
350,Schlitten::N,rogutės,chana
351,Ski::N,slidė,chang'i
352,Lagerfeuer::N,laužas,gulxan
353,Last::N,našta,yuk
354,Last::N,nešulys,yuk
355,Gang::N,eisena,yurish
356,Schritt::N,žingsnis,qadam
357,Norden::N,šiaurė,shimol
358,Norden::N,žiemiai,shimol
359,Süden::N,pietūs,janub
360,Westen::N,vakarai,g'arb
361,Osten::N,rytai,sharq
362,Holz::N,mediena,yog'och
363,Brett::N,lenta,taxta
364,Platte::N,plokštė,tabaqa
365,Stütze::N,atrama,tayanchi
366,Stütze::N,atspara,tayanchi
367,Stange::N,lazda,qo'noq
368,Stange::N,kartis,qo'noq
369,Stock::N,lazda,tayoq
370,Stab::N,kartis,gavron
371,Rohr::N,vamzdis,tarnov
372,Haus::N,namas,uy
373,Heim::N,namai,makon
374,Ofen::N,krosnis,pechka
375,Fußboden::N,grindys,pol
376,Tisch::N,stalas,mosa
377,Stuhl::N,kėdė,o'rindiq
378,Wiege::N,lopšys,beshik
379,Bett::N,lova,yotoq
380,Bett::N,patalai,yotoq
381,Regal::N,lentyna,tokcha
382,Kiste::N,dėžė,sandiq
383,Fenster::N,langas,deraza
384,Tür::N,durys,äshik
385,Tor::N,vartai,darvoza
386,Zaun::N,tvora,panjara
387,Dach::N,stogas,tom
388,Leiter::N,kopėčios,narvon
389,Besen::N,šluota,supurgi
390,Spaten::N,lopeta,bel
391,Spaten::N,kastuvas,bel
392,Schaufel::N,semtuvas,kurak
393,Gabel::N,šakutė,bilka
394,Löffel::N,šaukštas,qoshiq
395,Messer::N,peilis,pichoq
396,Nagel::N,vinis,mix
397,Netz::N,tinklas,to'r
398,Haken::N,vagis,ilgak
399,Haken::N,kablys,ilgak
400,Griff::N,kotas,sop
401,Griff::N,kotas,tutqich
402,Griff::N,rankena,sop
403,Griff::N,rankena,tutqich
404,Schloss::N,spyna,qulf
405,Schloss::N,užraktas,qulf
406,Bild::N,paveikslas,rasm
407,Figur::N,figūra,shakl
408,Puppe::N,lėlė,ko'g'irchoq
409,Beutel::N,krepšys,to'rva
410,Beutel::N,maišelis,to'rva
411,Bündel::N,ryšulys,bog'lam
412,Tasche::N,krepšelis,kissa
413,Eimer::N,kibiras,chelak
414,Deckel::N,dangtis,qopqoq
415,Geschirr::N,indai,idish
416,Sack::N,maišas,qop
417,Tasse::N,puodukas,piyola
418,Topf::N,puodas,tuvak
419,Kessel::N,katilas,qozon
420,Essen::N,valgis,tomoq
421,Nahrung::N,penas,emak
422,Nahrung::N,maistas,emak
423,Speise::N,patiekalas,taom
424,Fleisch::N,mėsa,go'sht
425,Getreide::N,javai,g'alla
426,Brei::N,košė,bo'tqa
427,Brot::N,duona,non
428,Scheibe::N,riekė,disk
429,Fett::N,taukai,moy
430,Fett::N,riebalai,moy
431,Butter::N,sviestas,yog'
432,Öl::N,aliejus,moy
433,Salz::N,druska,tuz
434,Suppe::N,sriuba,sho'rva
435,Honig::N,medus,asal
436,Milch::N,pienas,sut
437,Tee::N,arbata,choy
438,Leder::N,oda,charm
439,Wolle::N,vilna,jun
440,Stoff::N,audeklas,mato
441,Nadel::N,adata,igna
442,Faden::N,gija,ip
443,Faden::N,siūlas,ip
444,Knopf::N,saga,tugma
445,Knoten::N,mazgas,tugun
446,Farbe::N,dažai,bo'yok
447,Kleidung::N,rūbai,kiyim
448,Kleidung::N,drabužiai,kiyim
449,Hemd::N,marškiniai,ko'ylak
450,Kragen::N,apykaklė,yoqa
451,Ärmel::N,rankovė,yeng
452,Hose::N,kelnės,shim
453,Gürtel::N,juosta,tasma
454,Gürtel::N,diržas,tasma
455,Mütze::N,kepurė,shapka
456,Schuh::N,batas,but
457,Stiefel::N,auliniai batai,botinka
458,Ring::N,žiedas,yuzuk
459,Band::N,kaspinas,rishta
460,Kamm::N,šukos,taroq
461,Spiegel::N,veidrodis,ko'zgu
462,Riemen::N,diržas,qayish
463,Schnur::N,virvė,bog'ich
464,Leine::N,pavadėlis,etak
465,Decke::N,antklodė,odyol
466,Kissen::N,pagalvė,yostiq
467,Kissen::N,priegalvis,yostiq
468,Tuch::N,skarelė,gazlama
469,Handtuch::N,rankšluostis,sochiq
470,Kraft::N,jėga,kuch
471,Stärke::N,stiprumas,quvvat
472,Gesundheit::N,sveikata,sog'lik
473,Krankheit::N,liga,kasallik
474,Schmerz::N,skausmas,og'riq
475,Wunde::N,žaizda,yara
476,Fieber::N,karštis,bezgak
477,Arznei::N,vaistas,dori
478,Brücke::N,tiltas,ko'prik
479,Brunnen::N,šulinys,buloq
480,Weide::N,ganykla,yaylov
481,Weide::N,gluosnis,yaylov
482,Pfad::N,takas,dorojka
483,Weg::N,kelias,yo'l
484,Straße::N,gatvė,ko'cha
485,Dorf::N,kaimas,ovul
486,Dorf::N,sodžius,ovul
487,Stadt::N,miestas,shahar
488,Brief::N,laiškas,maktub
489,Buch::N,knyga,kitob
490,Buchstabe::N,raidė,harf
491,Zeitung::N,laikraštis,gazet
492,Leben::N,gyvybė,hayot
493,Leben::N,gyvenimas,hayot
494,Tod::N,mirtis,o'lim
495,Grab::N,kapas,go'r
496,Kirche::N,bažnyčia,cherkov
497,Sünde::N,nuodėmė,gunoh
498,Sünde::N,nusidėjimas,gunoh
499,Gott::N,dievas,olloh
500,Arbeiter::N,darbininkas,ishchi
501,Chef::N,šefas,rais
502,Chef::N,vadovas,rais
503,Chef::N,viršininkas,rais
504,Meister::N,meistras,usta
505,Arzt::N,gydytojas,hakim
506,Lehrer::N,mokytojas,muallim
507,Geld::N,pinigai,pul
508,Geschäft::N,biznis,savdo
509,Laden::N,krautuvė,do'kon
510,Laden::N,parduotuvė,do'kon
511,Preis::N,kaina,baho
512,Ware::N,prekė,mol
513,Nutzen::N,nauda,foyda
514,Nutzen::N,pelnas,foyda
515,Reichtum::N,turtas,boylik
516,Welt::N,pasaulis,olam
517,Land::N,žemė,o'lka
518,Land::N,šalis,o'lka
519,Staat::N,valstija,davlat
520,König::N,karalius,qirol
521,Macht::N,galia,iqtidor
522,Macht::N,valdžia,iqtidor
523,Grenze::N,riba,chegara
524,Grenze::N,siena,chegara
525,Krieg::N,karas,harb
526,Feind::N,priešas,dushman
527,Gewalt::N,jėga,zo'rlik
528,Gewalt::N,smurtas,zo'rlik
529,Gewalt::N,prievarta,zo'rlik
530,Kampf::N,kova,kurash
531,Bogen[Waffe]::N,lankas,yoy
532,Pfeil::N,strėlė,o'q
533,Gewehr::N,šautuvas,vintovka
534,Fehler::N,klaida,xato
535,Lüge::N,melas,yolg'on
536,Schaden::N,nuostolis,ziyon
537,Schaden::N,apgadinimas,ziyon
538,Unglück::N,nelaimė,balo
539,Schuld::N,kaltė,ayb
540,Alter::N,amžius,yosh
541,Schluss::N,pabaiga,tamom
542,Zeit::N,laikas,vaqt
543,Tag::N,diena,kun
544,Morgen::N,rytas,saboh
545,Mittag::N,vidurdienis,kun tushlik
546,Abend::N,vakaras,oqshom
547,Nacht::N,naktis,tun
548,Woche::N,savaitė,hafta
549,Monat::N,mėnuo,oy
550,Jahr::N,metai,yil
551,Frühling::N,pavasaris,bahor
552,Sommer::N,vasara,yoz
553,Herbst::N,ruduo,kuz
554,Herbst::N,ruduo,xazon
555,Winter::N,žiema,qish
556,Januar::N,sausis,yanvar'
557,Februar::N,vasaris,fevral'
558,März::N,kovas,mart
559,April::N,balandis,aprel'
560,Mai::N,gegužė,may
561,Juni::N,birželis,iyun'
562,Juli::N,liepa,iyul'
563,August::N,rugpjūtis,avgust
564,September::N,rugsėjis,sentyabr'
565,Oktober::N,spalis,oktyabr'
566,November::N,lapkritis,noyabr'
567,Dezember::N,gruodis,dekabr'
568,Montag::N,pirmadienis,dushanba
569,Dienstag::N,antradienis,seshanba
570,Mittwoch::N,trečiadienis,chorshanba
571,Donnerstag::N,ketvirtadienis,payshanba
572,Freitag::N,penktadienis,juma
573,Samstag::N,šeštadienis,shanba
574,Sonntag::N,sekmadienis,yakshanba
575,groß::A,didis,buyuk
576,groß::A,didelis,buyuk
577,klein::A,mažas,kichik
578,lang::A,ilgas,uzun
579,kurz::A,trumpas,qisqa
580,breit::A,platus,keng
581,schmal::A,smulkus,änsiz
582,dicht::A,tankus,quyuq
583,dick[Gegenstand]::A,storas,qalin
584,dünn::A,plonas,ingichka
585,fein::A,smulkus,mayin
586,fest::A,kietas,qattiq
587,fest::A,tvirtas,qattiq
588,flach::A,lėkštas,yalpoq
589,flach::A,plokščias,yalpoq
590,glatt::A,slidus,tekis
591,hart::A,kietas,qattiq
592,weich::A,minkštas,yumshoq
593,rund::A,apvalus,yumaloq
594,rund::A,apskritas,yumaloq
595,spitz::A,aštrus,uchli
596,spitz::A,smailus,uchli
597,scharf::A,aštrus,keskir
598,stumpf::A,bukas,to'mtoq
599,stumpf::A,atšipęs,to'mtoq
600,schwer::A,sunkus,salmoqli
601,schön::A,gražus,go'zal
602,heiß::A,karštas,qiziq
603,warm::A,šiltas,issiq
604,kalt::A,šaltas,sovuq
605,kühl::A,vėsus,salqin
606,kühl::A,bejausmis,salqin
607,frisch::A,šviežias,toza
608,feucht::A,drėgnas,namli
609,nass::A,šlapias,nam
610,trocken::A,sausas,quruq
611,voll::A,pilnas,to'la
612,leer::A,tuščias,puch
613,offen::A,atviras,ochiq
614,geschlossen::A,uždaras,berk
615,geschlossen::A,uždarytas,berk
616,sauber::A,švarus,ozoda
617,schmutzig::A,nešvarus,kir
618,schmutzig::A,purvinas,kir
619,roh::A,žalias,xom
620,reif::A,prinokęs,pishiq
621,reif::A,pribrendęs,pishiq
622,lecker::A,gardus,shirin
623,süß::A,saldus,shirin
624,bitter::A,kartus,achchiq
625,sauer::A,gižus,achchiq
626,sauer::A,rūgštus,achchiq
627,hell::A,šviesus,yorug'
628,hell::A,skaistus,yorug'
629,dunkel::A,tamsus,qorong'i
630,schwarz::A,juodas,qora
631,weiß::A,baltas,oq
632,rot::A,raudonas,qizil
633,gelb::A,geltonas,sariq
634,blau::A,mėlynas,zangori
635,grün::A,žalias,yashil
636,grau::A,pilkas,bo'z
637,bunt::A,margas,ola
638,bunt::A,spalvotas,ola
639,billig::A,pigus,arzon
640,teuer::A,brangus,qimmat
641,wertvoll::A,vertingas,qimmat
642,blind::A,aklas,ko'r
643,taub::A,kurčias,garang
644,kräftig::A,stiprus,kuchli
645,stark::A,stiprus,quvvatli
646,schwach::A,silpnas,kuchsiz
647,fett::A,riebus,semiz
648,schlank::A,laibas,ingichka
649,schlank::A,lieknas,ingichka
650,hübsch::A,gražus,ko'rkam
651,böse::A,blogas,yovuz
652,dumm::A,paikas,aqlsiz
653,dumm::A,kvailas,aqlsiz
654,faul::A,tingus,ärinchak
655,fleißig::A,stropus,ishchan
656,fleißig::A,kruopštus,ishchan
657,geizig::A,šykštus,qurumsoq
658,klug::A,sumanus,oqil
659,klug::A,protingas,oqil
660,geschickt::A,apsukrus,äpchil
661,lieb::A,mielas,aziz
662,lustig::A,smagus,chaqchaq
663,lustig::A,linksmas,chaqchaq
664,sanft::A,švelnus,asta
665,sanft::A,minkštas,asta
666,hungrig::A,alkanas,och
667,krank::A,ligotas,kasal
668,krank::A,sergantis,kasal
669,nackt::A,nuogas,yalang
670,traurig::A,liūdnas,xafa
671,lebendig::A,gyvas,hayotiy
672,gut::A,geras,soz
673,schlecht::A,blogas,yomon
674,schlecht::A,prastas,yomon
675,richtig::A,tikras,rost
676,richtig::A,teisingas,rost
677,schlimm::A,blogas,yovuz
678,schlimm::A,prastas,yovuz
679,wahr::A,tikras,haqiqiy
680,alt::A,senas,äski
681,neu::A,naujas,yangi
682,ehemalig::A,buvęs,sobiq
683,alt[Lebewesen]::A,pagyvenęs,qari
684,jung::A,jaunas,navqiron
685,arm::A,neturtingas,abgor
686,reich::A,turtingas,boy
687,bekannt::A,žinomas,ma'lum
688,bekannt::A,pažįstamas,ma'lum
689,berühmt::A,žymus,mashhur
690,berühmt::A,garsus,mashhur
691,fremd::A,svetimas,yot
692,verschieden::A,įvairus,turli
693,nah::A,artimas,yaqindagi
694,fern::A,tolimas,uzoq
695,linker::A,kairys,so'l
696,rechter::A,dešinys,o'ng
697,anderer::A,kitas,boshqa
698,erster::A,pirmas,birinchi
699,zweiter::A,antras,ikkinchi
700,dritter::A,trečias,uchinchi
701,letzter::A,paskutinis,oxirgi
702,allein::ADV,vienas,o'zicha
703,auf einmal::ADV,iš karto,varakay
704,zusammen::ADV,kartu,barobar
705,zusammen::ADV,drauge,barobar
706,lange::ADV,ilgai,uzoq
707,plötzlich::ADV,staiga,qo'qqisdan
708,sofort::ADV,tuojau,darrov
709,später::ADV,vėliau,so'ngra
710,später::ADV,paskiau,so'ngra
711,jetzt::ADV,dabãr,hozirgina
712,heute::ADV,šiandien,bugun
713,morgen::ADV,rytoj,ärta
714,bald::ADV,greitai,toz
715,bald::ADV,netrukus,toz
716,dann::ADV,po to,keyin
717,gestern::ADV,vakar,kecha
718,einst::ADV,kadaise,avvallari
719,einst::ADV,kitą kartą,avvallari
720,damals::ADV,anuomet,ugal
721,damals::ADV,anuokart,ugal
722,danach::ADV,po to,so'ngra
723,danach::ADV,paskui,so'ngra
724,vorher::ADV,anksčiau,avval
725,zuerst::ADV,pirma,avval
726,zuerst::ADV,iš pradžių̃,avval
727,einmal::ADV,kartą,bir marta
728,einmal::ADV,vieną kartą,bir marta
729,manchmal::ADV,kai kada,onda-sonda
730,oft::ADV,dažnai,tez-tez
731,immer::ADV,visada,har vaqt
732,immer::ADV,visuomet,har vaqt
733,niemals::ADV,niekada,hargiz
734,niemals::ADV,niekuomet,hargiz
735,hier::ADV,čia,shu erda
736,hierhin::ADV,šen,beri
737,hierhin::ADV,čionai,beri
738,von hier::ADV,iš čia,shu erdan
739,dort::ADV,ten,ana
740,dort::ADV,tenai,ana
741,dorthin::ADV,ten,u yerga
742,dorthin::ADV,ten link,u yerga
743,geradeaus::ADV,tiesiai,to'g'ri
744,vorwärts::ADV,pirmyn,ilgari
745,rückwärts::ADV,atbulai,qoloq
746,zurück::ADV,atgal,orqada
747,unten::ADV,žemai,pastda
748,unten::ADV,apačioje,pastda
749,hinab::ADV,žemyn,tubanga
750,oben::ADV,viršuj,ustida
751,hinauf::ADV,aukštyn,yuqorida
752,hinauf::ADV,į viršų,yuqorida
753,überall::ADV,visur,har erda
754,nicht::ADV,ne,ämas
755,ein wenig::ADV,truputį,biroz
756,kaum::ADV,vos,arang
757,sehr::ADV,labai,ancha
758,sehr::ADV,baisiai,ancha
759,so::ADV,taip,shunday
760,noch::ADV,dar,hali
761,nur::ADV,tik,yolg'iz
762,nur::ADV,vien,yolg'iz
763,schon::ADV,jau,endi
764,wieder::ADV,vėl,yana
765,wieder::ADV,iš naujo,yana
766,vergebens::ADV,veltui,bekorga
767,vergebens::ADV,bergždžiai,bekorga
768,vor::PRP,prieš,burun
769,hinter::PRP,už,ketida
770,unter::PRP,po,ostida
771,durch::PRP,pro,bo'ylab
772,durch::PRP,per,bo'ylab
773,neben::PRP,prie,yonida
774,neben::PRP,šalia,yonida
775,zwischen::PRP,tarp,orada
776,wegen::PRP,dėl,sababli
777,wegen::PRP,dėlei,sababli
778,dies::PRN,šis,o'sha
779,dies::PRN,šitas,o'sha
780,das::PRN,tat,narigi
