,Concept_ID,sv,av
78,Feuer::N,eld,цӏа
79,Licht::N,ljus,канлъи
80,Schatten::N,skugga,рагӏад
81,Wetter::N,väder,гьава-бакъ
82,Nebel::N,dimma,гӏодобнакӏкӏ
83,Nebel::N,töcken,гӏодобнакӏкӏ
84,Wolke::N,sky,накӏкӏ
85,Wolke::N,moln,накӏкӏ
86,Regen::N,regn,цӏад
87,Schnee::N,snö,гӏазу
88,Eis::N,is,цӏер
89,Frost::N,frost,замгьари
90,Kälte::N,köld,квач
91,Hitze::N,hetta,багӏари
92,Raureif::N,rimfrost,мартӏ
93,Regenbogen::N,regnbåge,нур
94,Regenbogen::N,regnbåge,чамбара
95,Donner::N,åska,гъугъай
96,Donner::N,åska,гъугъади
97,Donner::N,dunder,гъугъай
98,Donner::N,dunder,гъугъади
99,Strömung::N,strömning,чвахи
100,Tropfen::N,dropper,резел
101,Tropfen::N,dropper,тӏинкӏ
102,Tropfen::N,dropper,къатӏра
103,Tropfen::N,dropper,тӏенкӏел
104,Schaum::N,skum,полоп
105,Schmutz::N,lort,чороклъи
106,Schmutz::N,smuts,чороклъи
107,See::N,sjö,хӏор
108,Sumpf::N,träsk,хьуцӏ
109,Moor::N,myr,
110,Moor::N,mosse,
111,Wiese::N,äng,мегъ
112,Wiese::N,äng,гӏурдаллъи
113,Wald::N,skog,рохь
114,Hügel::N,höjd,гохӏ
115,Hügel::N,kulle,гохӏ
116,Anhöhe::N,höjd,сийитма
117,Anhöhe::N,backe,сийитма
118,Berg::N,berg,мегӏер
119,Berg::N,fjäll,мегӏер
120,Gipfel::N,topp,тӏогь
121,Höhle::N,håla,нохъо
122,Höhle::N,grotta,нохъо
123,Abhang::N,slänt,лабаллъи
124,Abhang::N,sluttning,лабаллъи
125,Quelle::N,källa,ицц
126,Bach::N,bäck,лъар
127,Fluss::N,älv,гӏор
128,Fluss::N,flod,гӏор
129,Ufer::N,strand,рагӏал
130,Küste::N,kust,рагӏал
131,Festland::N,fastland,ракь
132,Festland::N,fastland,ракъдаллъи
133,Meer::N,hav,ралъад
134,Bucht::N,vik,кӏветӏ
135,Bucht::N,bukt,кӏветӏ
136,Insel::N,ö,чӏинкӏиллъи
137,Blume::N,blomma,тӏегь
138,Blume::N,blomster,тӏегь
139,Gras::N,gräs,хер
140,Wurzel::N,rot,кьибил
141,Baum::N,träd,гъветӏ
142,Stamm::N,stam,рохти
143,Rinde::N,bark,макъар
144,Ast::N,gren,ноцӏ
145,Zweig::N,kvist,гӏаркьел
146,Blatt::N,löv,тӏамах
147,Blatt::N,blad,тӏамах
148,Birke::N,björk,мах
149,Birke::N,björk,махигъветӏ
150,Kiefer[Baum]::N,tall,накӏкӏигъветӏ
151,Weide[Baum]::N,pil,рицӏцӏ
152,Weide[Baum]::N,pil,рицӏцӏигъветӏ
153,Weide[Baum]::N,vide,рицӏцӏ
154,Weide[Baum]::N,vide,рицӏцӏигъветӏ
155,Tanne::N,gran,ёлка
156,Horn::N,horn,лълъар
157,Feder::N,fjäder,хӏули
158,Fell::N,fäll,тӏом
159,Fell::N,fäll,цӏоко
160,Fell::N,skinn,тӏом
161,Fell::N,skinn,цӏоко
162,Flügel::N,vinge,кваркьи
163,Klaue::N,klöv,галъ
164,Kralle::N,klo,квачӏ
165,Kralle::N,klo,катиквачӏ
166,Schwanz::N,svans,рачӏ
167,Schwanz::N,stjärt,рачӏ
168,Ei::N,ägg,хоно
169,Nest::N,rede,бусен
170,Nest::N,näste,бусен
171,Bau::N,bo,каратӏ
172,Tier::N,djur,хӏайван
173,Herde::N,flock,рехъен
174,Herde::N,flock,рехъед
175,Kuh::N,ko,гӏака
176,Bulle::N,tjur,оц
177,Pferd::N,häst,чу
178,Schaf::N,får,чахъу
179,Schwein::N,svin,болъон
180,Hund::N,hund,гьой
181,Katze::N,katt,кету
182,Bär::N,björn,ци
183,Eichhörnchen::N,ekorre,гвангва
184,Elch::N,älg,
185,Fuchs::N,räv,цер
186,Hase::N,hare,гӏанкӏ
187,Maus::N,mus,гӏункӏкӏ
188,Wolf::N,varg,бацӏ
189,Vogel::N,fågel,хӏинчӏ
190,Schwarm::N,svärm,тӏел
191,Huhn::N,höns,гӏанкӏу
192,Hahn::N,tupp,хӏелеко
193,Gans::N,gås,хъаз
194,Adler::N,örn,цӏум
195,Ente::N,anka,ордек
196,Eule::N,uggla,беццаруз
197,Kranich::N,trana,къункъра
198,Krähe::N,kråka,гъеду
199,Kuckuck::N,gök,гагу
200,Schwan::N,svan,хӏанкъва
201,Fisch::N,fisk,ччугӏа
202,Barsch::N,abborre,окунь
203,Hecht::N,gädda,щука
204,Schlange[Tier]::N,orm,борохь
205,Wurm::N,mask,хӏапара
206,Spinne::N,spindel,хъанхъра
207,Ameise::N,myra,цӏунцӏра
208,Laus::N,lus,нацӏ
209,Mücke::N,mygga,кӏкӏара
210,Fliege::N,fluga,тӏутӏ
211,Schmetterling::N,fjäril,кӏалкӏучӏ
212,Beere::N,bär,
213,Apfel::N,äpple,гӏеч
214,Pilz::N,svamp,гӏурдахӏан
215,Zwiebel::N,lök,кӏочӏопер
216,Saat::N,sådd,хьон
217,Korn::N,korn,мугь
218,Heu::N,hö,хер
219,Schale::N,skal,хъал
220,Grube::N,grop,гвенд
221,Falle::N,fälla,къор
222,Falle::N,fälla,къотен
223,Schlinge::N,snara,кӏичӏ
224,Spur::N,spår,лъалкӏ
225,Asche::N,aska,рахъу
226,Dreck::N,lort,гъиз
227,Dreck::N,lort,хӏарщ
228,Eisen::N,järn,махх
229,Gold::N,guld,месед
230,Silber::N,silver,гӏарац
231,Kohle::N,kol,тӏурччи
232,Glas::N,glas,цӏер
233,Lehm::N,lera,хӏатӏ
234,Sand::N,sand,сали
235,Mensch::N,människa,чи
236,Mann::N,man,бихьинчи
237,Frau::N,kvinna,гӏадан
238,Kind::N,barn,лъимер
239,Junge::N,pojke,вас
240,Mädchen::N,flicka,яс
241,Familie::N,familj,хъизан
242,Großvater::N,morfar,кӏудада
243,Großmutter::N,farmor,кӏодо
244,Eltern::N,föräldrar,эбел-эмен
245,Vater::N,far,эмен
246,Mutter::N,mor,эбел
247,Sohn::N,son,вас
248,Tochter::N,dotter,яс
249,Bruder::N,bror,вац
250,Schwester::N,syster,яц
251,Onkel::N,morbror,даци
252,Tante::N,tant,ада
253,Ehemann::N,äkta man,рос
254,Ehefrau::N,hustru,чӏужу
255,Freude::N,fröjd,ракӏбохи
256,Freude::N,glädje,ракӏбохи
257,Gelächter::N,åtlöje,релъи
258,Glück::N,lycka,талихӏ
259,Glück::N,lycka,талихӏ-рохел
260,Kummer::N,sorg,хӏалкъай
261,Wunsch::N,önskan,къасд
262,Lust::N,lust,гъира
263,Geist::N,ande,чӏанкӏ
264,Geist::N,ande,рухӏ-жан
265,Gedanke::N,tanke,пикру
266,Gedächtnis::N,minne,
267,Verstand::N,förstånd,лумалъи
268,Verstand::N,förstånd,цӏодорлъи
269,Sinn::N,mening,магӏна
270,Sinn::N,betydelse,магӏна
271,Grund::N,skäl,багьана
272,Grund::N,grund,багьана
273,Wahrheit::N,sanning,ритӏухълъи
274,Gespräch::N,samtal,накъит
275,Märchen::N,saga,маргьа
276,Erzählung::N,berättelse,къиса
277,Nachricht::N,meddelande,хабар
278,Neuigkeit::N,nyhet,хабар-гӏазаб
279,Name::N,namn,цӏар
280,Rätsel::N,gåta,бицанкӏо
281,Rede::N,tal,речь
282,Rede::N,tal,калам
283,Sprache::N,språk,мацӏ
284,Stimme::N,stämma,гьаракь
285,Wort::N,ord,рагӏи
286,Zeichen::N,tecken,ишара
287,Zeichen::N,tecken,гӏаламат
288,Ruf::N,rop,ахӏи
289,Lärm::N,bråk,хъуй
290,Lärm::N,bråk,хъуди
291,Lärm::N,oväsen,хъуй
292,Lärm::N,oväsen,хъуди
293,Laut::N,ljud,гьаракь
294,Laut::N,ljud,сас
295,Ton::N,ton,
296,Lied::N,sång,кечӏ
297,Ruhe::N,ro,рахӏат
298,Ruhe::N,lugn,рахӏат
299,Leute::N,folk,гӏадамал
300,Volk::N,folk,халкъ
301,Arbeit::N,arbete,хӏалтӏи
302,Gast::N,gäst,гьобол
303,Geschenk::N,gåva,сайигъат
304,Geschenk::N,present,сайигъат
305,Spiel::N,lek,хӏай
306,Spiel::N,lek,расанди
307,Spiel::N,spel,хӏай
308,Spiel::N,spel,расанди
309,Gesellschaft::N,sällskap,жамагӏат
310,Hilfe::N,hjälp,кумек
311,Freund::N,vän,гьудул
312,Kamerad::N,kamrat,гьалмагъ
313,Angelegenheit::N,ärende,къваригӏел
314,Angelegenheit::N,angelägenhet,къваригӏел
315,Anzahl::N,antal,рикӏкӏен
316,Art::N,art,жинс
317,Art::N,slag,жинс
318,Stück::N,stycke,кесек
319,Teil::N,del,пай
320,Hälfte::N,halva,бащдаб
321,Kreis::N,krets,гор
322,Kreis::N,cirkel,гор
323,Kreuz::N,kors,хъанч
324,Kreuz::N,kryss,хъанч
325,Linie::N,linje,мухъ
326,Strich::N,streck,хӏучч
327,Abstand::N,avstånd,манзил
328,Entfernung::N,avstånd,манзил
329,Gegend::N,trakt,рахъ
330,Platz::N,plats,бакӏ
331,Ort::N,plats,бакӏ
332,Ort::N,ställe,бакӏ
333,Seite::N,sida,рахъ
334,Mitte::N,mitt,бакьулъбакӏ
335,Gegenstand::N,föremål,жо
336,Sache::N,sak,жо
337,Rand::N,rand,мицӏир
338,Kante::N,kant,рагӏал
339,Kante::N,kant,рагӏа-ракьан
340,Ecke::N,vrå,цили
341,Ecke::N,hörn,цили
342,Spitze::N,spets,тӏогь
343,Ende::N,ända,кӏал
344,Loch::N,hål,каратӏ
345,Winkel::N,vinkel,
346,Muster::N,mönster,накъиш
347,Größe::N,storlek,кӏодо́лъи
348,Länge::N,längd,халалъи
349,Höhe::N,höjd,борхалъи
350,Gewicht::N,tyngd,бакӏлъи
351,Menge::N,mängd,
352,Haufen::N,hög,гъуни
353,Reihe::N,rad,ирга́
354,Boot::N,båt,раса
355,Ruder::N,åra,раххан
356,Schlitten::N,släde,чанагъ
357,Ski::N,skida,лыжаби
358,Lagerfeuer::N,lägereld,цӏа
359,Last::N,last,бакӏлъи
360,Last::N,börda,бакӏлъи
361,Gang::N,gång,хьвади
362,Gang::N,gång,хьвада-чӏвади
363,Schritt::N,steg,гали
364,Norden::N,norr,шимал
365,Süden::N,söder,юг
366,Süden::N,söder,къибла
367,Westen::N,väster,гъарб
368,Westen::N,väster,магъриб
369,Osten::N,öster,шаркъ
370,Osten::N,öster,машрикъ
371,Holz::N,trä,цӏул
372,Brett::N,bräda,хъарщи
373,Platte::N,platta,къоно
374,Stütze::N,stöd,
375,Stütze::N,stötta,
376,Stange::N,stång,гӏер
377,Stock::N,käpp,тӏил
378,Stock::N,pinne,тӏил
379,Stab::N,stav,гӏер
380,Rohr::N,rör,турба
381,Haus::N,hus,ригь
382,Haus::N,hus,рукъзал
383,Heim::N,hem,рукъ
384,Ofen::N,ugn,печь
385,Fußboden::N,golv,чӏабар
386,Tisch::N,bord,стол
387,Stuhl::N,stol,бакӏу
388,Wiege::N,vagga,кини
389,Bett::N,säng,кровать
390,Regal::N,hylla,хъарщи
391,Kiste::N,låda,ящик
392,Kiste::N,låda,тӏалагъуд
393,Fenster::N,fönster,гордо
394,Tür::N,dörr,нуцӏа
395,Tor::N,port,каву
396,Zaun::N,staket,раци
397,Zaun::N,stängsel,раци
398,Dach::N,tak,тӏох
399,Leiter::N,stege,мали
400,Besen::N,kvast,жул
401,Spaten::N,spade,бел
402,Schaufel::N,skovel,раххан
403,Schaufel::N,skyffel,раххан
404,Gabel::N,gaffel,гӏучӏ
405,Löffel::N,sked,гъуд
406,Messer::N,kniv,нус
407,Nagel::N,spik,магӏ
408,Netz::N,nät,гьин
409,Haken::N,krok,гъанцӏа
410,Griff::N,tag,гӏоркь
411,Griff::N,handtag,гӏоркь
412,Schloss::N,las,кӏулал
413,Bild::N,bild,сурат
414,Figur::N,figur,
415,Puppe::N,docka,нани
416,Beutel::N,påse,таргьа
417,Bündel::N,bunt,къай
418,Bündel::N,knippa,къай
419,Tasche::N,väska,сумка
420,Tasche::N,väska,къвачӏа
421,Eimer::N,hink,ведро
422,Eimer::N,ämbar,ведро
423,Deckel::N,lock,тӏалъел
424,Deckel::N,lock,дадитӏалъел
425,Geschirr::N,servis,цӏарагӏ
426,Geschirr::N,porslin,цӏарагӏ
427,Sack::N,säck,хъап
428,Sack::N,säck,къандалъо
429,Tasse::N,kopp,чашка
430,Topf::N,gryta,хьаг
431,Topf::N,kastrull,хьаг
432,Kessel::N,kittel,хьаг
433,Kessel::N,kittel,гереги
434,Essen::N,mål,тӏагӏам
435,Nahrung::N,näring,квен
436,Speise::N,maträtt,квен
437,Fleisch::N,kött,гьан
438,Getreide::N,säd,бугӏа-ролъ
439,Getreide::N,säd,могьолабл_культураби
440,Getreide::N,spannmål,бугӏа-ролъ
441,Getreide::N,spannmål,могьолабл_культураби
442,Brei::N,gröt,карщ
443,Brot::N,bröd,чед
444,Scheibe::N,skiva,мочӏу
445,Fett::N,fett,беэнлъи
446,Butter::N,smör,нах
447,Öl::N,olja,нах
448,Salz::N,salt,цӏам
449,Suppe::N,soppa,чурпа
450,Honig::N,honung,гьоцӏо
451,Milch::N,mjölk,рахь
452,Tee::N,te,чай
453,Leder::N,läder,тӏом
454,Wolle::N,ull,квас
455,Wolle::N,ylle,квас
456,Stoff::N,tyg,ххам
457,Stoff::N,stoff,ххам
458,Nadel::N,nål,рокӏкӏен
459,Faden::N,tråd,кун
460,Knopf::N,knapp,маргъал
461,Knoten::N,knut,гарацӏ
462,Farbe::N,färg,релъен
463,Kleidung::N,klädsel,ретӏел
464,Hemd::N,skjorta,гурде
465,Kragen::N,krage,габур
466,Ärmel::N,ärm,къвал
467,Hose::N,byxor,тӏажу
468,Gürtel::N,bälte,рачел
469,Mütze::N,mössa,тӏагъур
470,Schuh::N,sko,
471,Stiefel::N,stövel,этек
472,Stiefel::N,stövel,чакма
473,Ring::N,ring,баргъич
474,Band::N,band,лента
475,Kamm::N,kam,гьоркьо
476,Spiegel::N,spegel,матӏу
477,Riemen::N,rem,рижу
478,Schnur::N,snöre,
479,Leine::N,lina,
480,Decke::N,täcke,одея́ло
481,Kissen::N,dyna,къандалъо
482,Kissen::N,kudde,къандалъо
483,Tuch::N,sjal,квархьи
484,Handtuch::N,handduk,беркӏалрацӏцӏ
485,Kraft::N,kraft,гуч
486,Kraft::N,kraft,къуват
487,Stärke::N,styrka,хӏалкӏвей
488,Gesundheit::N,hälsa,сахлъи́
489,Krankheit::N,sjukdom,унти
490,Krankheit::N,sjukdom,щокълъи
491,Schmerz::N,smärta,унти
492,Wunde::N,sår,ругъун
493,Fieber::N,feber,цӏа-кан
494,Arznei::N,medicin,дару
495,Arznei::N,läkemedel,дару
496,Brücke::N,bro,кьо
497,Brunnen::N,brunn,гъуй
498,Weide::N,bete,рицӏцӏ
499,Weide::N,bete,лъичӏирма
500,Weide::N,bete,гӏурдаллъи
501,Weide::N,bete,ри́цӏигъветӏ
502,Weide::N,bete,рицӏцӏигъветӏ
503,Pfad::N,stig,сухъмахъ
504,Weg::N,väg,нух
505,Straße::N,gata,нух
506,Dorf::N,by,росу
507,Stadt::N,stad,шагьар
508,Brief::N,brev,кагъат
509,Brief::N,brev,рисалат
510,Buch::N,bok,тӏехь
511,Buchstabe::N,bokstav,хӏарп
512,Zeitung::N,tidning,газет
513,Leben::N,liv,яшав
514,Tod::N,död,хвел
515,Grab::N,grav,хоб
516,Kirche::N,kyrka,килиса
517,Sünde::N,synd,хӏакъ
518,Sünde::N,synd,мунагь
519,Gott::N,gud,бичас
520,Gott::N,gud,аллагь
521,Arbeiter::N,arbetare,хӏалтӏухъан
522,Chef::N,chef,хӏаким
523,Chef::N,chef,начальник
524,Meister::N,mästare,устар
525,Meister::N,mästare,мастер
526,Meister::N,mästare,махщалилав
527,Arzt::N,läkare,жайрахӏ
528,Lehrer::N,lärare,мугӏалим
529,Geld::N,pengar,гӏарац
530,Geschäft::N,rörelse,
531,Laden::N,affär,тукен
532,Preis::N,pris,багьа
533,Ware::N,vara,къайи
534,Nutzen::N,gagn,мунпагӏат
535,Nutzen::N,nytta,мунпагӏат
536,Reichtum::N,rikedom,бечелъи
537,Welt::N,värld,дуниял
538,Land::N,land,улка
539,Land::N,land,икълим
540,Staat::N,stat,пачалихъ
541,König::N,kung,пача
542,König::N,kung,малик
543,König::N,kung,къирал
544,König::N,kung,падишагь
545,König::N,konung,пача
546,König::N,konung,малик
547,König::N,konung,къирал
548,König::N,konung,падишагь
549,Macht::N,makt,кверщел
550,Grenze::N,gräns,гӏорхъи
551,Krieg::N,krig,рагъ
552,Feind::N,fiende,тушман
553,Gewalt::N,våld,зулму
554,Kampf::N,kamp,къеркьей
555,Kampf::N,strid,къеркьей
556,Bogen[Waffe]::N,båge,газаргъо
557,Pfeil::N,pil,чӏор
558,Gewehr::N,gevär,туманкӏ
559,Fehler::N,fel,гъалатӏ
560,Lüge::N,lögn,гьереси
561,Schaden::N,skada,зиян
562,Schaden::N,skada,зарал
563,Unglück::N,otur,балагь
564,Unglück::N,olycka,балагь
565,Schuld::N,skuld,гӏайиб
566,Alter::N,ålder,гӏумру
567,Schluss::N,slut,ахир
568,Zeit::N,tid,заман
569,Tag::N,dag,къо
570,Morgen::N,morgon,радалмех
571,Mittag::N,middag,къадемех
572,Abend::N,kväll,релъедамех
573,Nacht::N,natt,сордо
574,Woche::N,vecka,анкь
575,Monat::N,månad,моцӏ
576,Jahr::N,år,сон
577,Jahr::N,år,лъагӏел
578,Frühling::N,vår,их
579,Sommer::N,sommar,рии
580,Herbst::N,höst,хасалихълъи
581,Winter::N,vinter,кьин
582,Januar::N,januari,январь
583,Februar::N,februari,февра́ль
584,März::N,mars,март
585,April::N,april,апрель
586,Mai::N,maj,май
587,Juni::N,juni,июнь
588,Juli::N,juli,июль
589,August::N,augusti,август
590,September::N,september,сентябрь
591,Oktober::N,oktober,октябрь
592,November::N,november,ноябрь
593,Dezember::N,december,декабрь
594,Montag::N,måndag,итни
595,Dienstag::N,tisdag,талат
596,Mittwoch::N,onsdag,арбагӏ
597,Donnerstag::N,torsdag,хамиз
598,Freitag::N,fredag,рузман
599,Samstag::N,lördag,щамат
600,Sonntag::N,söndag,гьатӏан
601,groß::A,stor,кӏудияб
602,klein::A,liten,гьитӏинаб
603,lang::A,lång,халатаб
604,kurz::A,kort,къокъаб
605,breit::A,bred,гӏебаб
606,schmal::A,smal,къваридаб
607,dicht::A,tät,ризаб
608,dick[Gegenstand]::A,tjock,бицатаб
609,dünn::A,tunn,тӏеренаб
610,fein::A,fin,тӏеренаб
611,fest::A,fast,къвакӏараб
612,flach::A,platt,чӏепараб
613,glatt::A,glatt,цӏвакараб
614,hart::A,hård,кьварараб
615,weich::A,mjuk,тамахаб
616,rund::A,rund,гургинаб
617,spitz::A,toppig,бегӏераб
618,spitz::A,spetsig,бегӏераб
619,scharf::A,vass,рекӏараб
620,scharf::A,skarp,рекӏараб
621,stumpf::A,slö,тӏехӏараб
622,stumpf::A,slö,рекӏинчӏеб
623,schwer::A,tung,бакӏаб
624,schön::A,skön,берцинаб
625,schön::A,vacker,берцинаб
626,heiß::A,het,лагьараб
627,warm::A,varm,хинаб
628,kalt::A,kall,квачараб
629,kühl::A,sval,квачараб
630,kühl::A,kylig,квачараб
631,frisch::A,färsk,цӏияб
632,feucht::A,fuktig,рагьараб
633,nass::A,våt,би́ччараб
634,trocken::A,torr,бакъвараб
635,voll::A,full,
636,leer::A,tom,чӏобогояб
637,offen::A,öppen,рагьараб
638,geschlossen::A,stängd,рахараб-къараб
639,sauber::A,ren,бацӏцӏадаб
640,schmutzig::A,snuskig,гъизараб
641,roh::A,rå,хамаб
642,roh::A,rå,гӏатӏгояб
643,reif::A,mogen,барщараб
644,lecker::A,läcker,тӏагӏамаб
645,süß::A,söt,гьуинаб
646,bitter::A,besk,кьогӏаб
647,bitter::A,bitter,кьогӏаб
648,sauer::A,sur,цӏекӏаб
649,hell::A,ljus,канаб
650,dunkel::A,mörk,бецӏаб
651,schwarz::A,svart,чӏегӏераб
652,weiß::A,vit,хъахӏаб
653,rot::A,röd,багӏараб
654,gelb::A,gul,гӏобилаб
655,gelb::A,gul,тӏогьилаб
656,blau::A,blå,хъахӏилаб
657,grün::A,grön,гӏурччинаб
658,grau::A,grå,накӏкӏуяб
659,bunt::A,brokig,къвекӏаб
660,bunt::A,brokig,чара-гъараб
661,billig::A,billig,учузаб
662,teuer::A,dyr,хири́яб
663,wertvoll::A,värdefull,къиматаб
664,blind::A,blind,беццаб
665,taub::A,döv,гъугъаб
666,kräftig::A,kraftig,гучаб
667,stark::A,stark,къуватаб
668,schwach::A,svag,гӏажизаб
669,fett::A,fet,кьарияб
670,schlank::A,slank,чергесаб
671,hübsch::A,snygg,гьайбатаб
672,hübsch::A,vacker,гьайбатаб
673,böse::A,ond,ракӏквешаб
674,böse::A,elak,ракӏквешаб
675,dumm::A,dum,гьагаб
676,dumm::A,dum,гӏантаб
677,faul::A,lat,кӏохӏалаб
678,faul::A,lat,кӏухӏа́лаб
679,fleißig::A,flitig,хӏаракатаб
680,geizig::A,snål,къарумаб
681,geizig::A,girig,къарумаб
682,klug::A,klok,лумияб
683,geschickt::A,händig,махщел бугев
684,geschickt::A,skicklig,махщел бугев
685,lieb::A,kär,гӏазизаб
686,lieb::A,snäll,гӏазизаб
687,lustig::A,rolig,кепаб
688,lustig::A,lustig,кепаб
689,sanft::A,mild,хӏалимаб
690,sanft::A,mild,хӏере́наб
691,hungrig::A,hungrig,бакъараб
692,krank::A,sjuk,щокъаб
693,krank::A,sjuk,унтараб
694,nackt::A,naken,гӏицӏаб
695,nackt::A,naken,чӏанкӏараб
696,traurig::A,ledsen,пашманаб
697,traurig::A,sorgsen,пашманаб
698,lebendig::A,levande,чӏагояб
699,gut::A,bra,лъикӏаб
700,schlecht::A,dålig,къадараб
701,richtig::A,riktig,битӏараб
702,schlimm::A,illa,нажасаб
703,schlimm::A,illa,къабихӏаб
704,wahr::A,sann,хӏакъаб
705,wahr::A,sann,битӏараб
706,alt::A,gammal,басрияб
707,neu::A,ny,цӏияб
708,ehemalig::A,forn,цебе́госеб
709,ehemalig::A,tidigare,цебе́госеб
710,alt[Lebewesen]::A,gammal,хераб
711,jung::A,ung,тӏинчӏаб
712,jung::A,ung,гӏолохъанаб
713,arm::A,fattig,пакъираб
714,reich::A,rik,бечедаб
715,bekannt::A,känd,лъалеб
716,berühmt::A,berömd,машгьураб
717,fremd::A,främmande,чияр
718,verschieden::A,åtskillig,батӏи-батӏияб
719,nah::A,nära,гӏагарда бугеб
720,fern::A,fjärran,рикӏкӏадаб
721,linker::A,vänster,квегӏаб
722,rechter::A,höger,кваранаб
723,anderer::A,annan,батӏияб
724,erster::A,första,тӏоцебесеб
725,zweiter::A,andra,кӏиабилеб
726,dritter::A,tredje,лъабабилеб
727,letzter::A,sist,ахирисеб
728,allein::ADV,allena,ялгъузго
729,auf einmal::ADV,på en gång,цихӏинтӏаго
730,zusammen::ADV,tillsammans,цойида
731,lange::ADV,länge,
732,plötzlich::ADV,plötsligt,цойидасанго
733,sofort::ADV,strax,гьебсагӏат
734,sofort::ADV,genast,гьебсагӏат
735,später::ADV,senare,
736,jetzt::ADV,nu,гьанже
737,heute::ADV,i dag,жакъа
738,morgen::ADV,i morgon,метер
739,bald::ADV,snart,гьабсагӏаталъ
740,dann::ADV,då,цинги
741,gestern::ADV,i går,сон
742,einst::ADV,en gång,цин
743,damals::ADV,då,гьебмехалъ
744,damals::ADV,då,гьебмехалда
745,damals::ADV,den gången,гьебмехалъ
746,damals::ADV,den gången,гьебмехалда
747,danach::ADV,därefter,цинги
748,danach::ADV,därefter,хадуса
749,vorher::ADV,före,цебе
750,vorher::ADV,förut,цебе
751,zuerst::ADV,först,тӏоцебе
752,einmal::ADV,en gång,цинцӏул
753,einmal::ADV,en gång,цихӏин
754,einmal::ADV,en gång,цоцӏул
755,manchmal::ADV,ibland,олоцӏул
756,oft::ADV,ofta,гӏемерго
757,immer::ADV,alltid,кидаго
758,niemals::ADV,aldrig,киданиги
759,hier::ADV,här,аниб
760,hierhin::ADV,hit,анибехун
761,von hier::ADV,härifrån,гьаниса
762,dort::ADV,där,гьениб
763,dorthin::ADV,dit,гьадаба
764,geradeaus::ADV,rätt fram,битӏутӏа
765,vorwärts::ADV,fram,цебехун
766,vorwärts::ADV,framåt,цебехун
767,rückwärts::ADV,baklänges,нахъ-нахъ
768,zurück::ADV,tillbaka,нахъе
769,unten::ADV,nere,ахакь
770,unten::ADV,nere,гъоркь
771,unten::ADV,nedanför,ахакь
772,unten::ADV,nedanför,гъоркь
773,hinab::ADV,ned,эхебе
774,hinab::ADV,nedåt,эхебе
775,oben::ADV,ovan,тӏад
776,oben::ADV,ovan,тӏадехун
777,oben::ADV,ovanpå,тӏад
778,oben::ADV,ovanpå,тӏадехун
779,hinauf::ADV,upp,эхеде
