,Concept_ID,ml,fa
280,Stimme::N,സ്വരം,صدا
281,Wort::N,വാക്ക്,کلمه
282,Zeichen::N,സംജ്ഞ,نشان
283,Zeichen::N,സംജ്ഞ,علامت
284,Ruf::N,വിളി,صدا
285,Lärm::N,ആരവം,هیاهو
286,Laut::N,ശബ്ദം,صدا
287,Ton::N,സ്വരഭേദം,آهنگ
288,Lied::N,പാട്ട്,آواز
289,Lied::N,പാട്ട്,ترانه
290,Ruhe::N,നിശ്ചലത,آرامش
291,Leute::N,ജനങ്ങൾ,مردم
292,Volk::N,രാഷ്ടം,خلق
293,Arbeit::N,ജോലി,کار
294,Gast::N,അതിലി,مهمان
295,Geschenk::N,സമ്മാനം,هدیه
296,Spiel::N,കളി,بازی
297,Gesellschaft::N,കൂട്ടായ്മ,جمعیت
298,Hilfe::N,സഹായം,کمک
299,Freund::N,സുഹൃത്ത്,دوست
300,Kamerad::N,കൂട്ടാളി,رفیق
301,Angelegenheit::N,കാര്യം,امر
302,Angelegenheit::N,കാര്യം,قضیه
303,Anzahl::N,എണ്ണം,عده
304,Anzahl::N,എണ്ണം,شمار
305,Art::N,തരം,نوع
306,Stück::N,കഷണം,تکه
307,Stück::N,കഷണം,قطعه
308,Teil::N,ഭാഗം,بخش
309,Teil::N,ഭാഗം,قسمت
310,Hälfte::N,പകുതി,نیم
311,Kreis::N,വൃത്തം,حلقه
312,Kreis::N,വൃത്തം,دایره
313,Kreuz::N,കുരിശടയാളം,صلیب
314,Linie::N,വര,خط
315,Linie::N,വര,سطر
316,Linie::N,രേഖ,خط
317,Linie::N,രേഖ,سطر
318,Strich::N,പക്ഷാഘാതം,خط
319,Abstand::N,വിടവ്,فاصله
320,Entfernung::N,അകലം,مسافت
321,Gegend::N,പ്രദേശം,منطقه
322,Platz::N,ഇടം,گنجایش
323,Ort::N,സ്ഥലം,جا
324,Ort::N,സ്ഥലം,محل
325,Ort::N,സ്ഥലം,مکان
326,Seite::N,വശം,طرف
327,Mitte::N,മധ്യസ്ഥാനം,وسط
328,Mitte::N,മധ്യസ്ഥാനം,میان
329,Gegenstand::N,സാധനം,چیز
330,Sache::N,വസ്തു,چیز
331,Rand::N,തൊങ്ങൽ,کنار
332,Rand::N,തൊങ്ങൽ,حاشیه
333,Kante::N,അറ്റം,لبه
334,Ecke::N,മൂല,گوشه
335,Spitze::N,അഗ്രം,سر
336,Spitze::N,അഗ്രം,نوک
337,Ende::N,അവസാനം,ته
338,Ende::N,അവസാനം,آخر
339,Loch::N,ദ്വാരം,سوراخ
340,Winkel::N,കോൺ,کنج
341,Muster::N,ക്രമം,نقش
342,Größe::N,വലുപ്പം,قد
343,Größe::N,വലുപ്പം,بزرگی
344,Länge::N,നീളം,طول
345,Höhe::N,ഉയരം,بلندی
346,Gewicht::N,കട്ടി,وزن
347,Menge::N,അളവ്,مقدار
348,Menge::N,അളവ്,اندازه
349,Haufen::N,കൂമ്പാരം,توده
350,Reihe::N,വരി,ردیف
351,Boot::N,ബോട്ട്,قایق
352,Ruder::N,പങ്കായം,پارو
353,Schlitten::N,ഉരുളില്ലാവണ്ടി,سورتمه
354,Ski::N,ഹിമപാദുകം,اسکی
355,Lagerfeuer::N,തീ,آتش
356,Last::N,ഭാരം,بار
357,Last::N,ഭാരം,سنگینی
358,Gang::N,നടത്തം,راه رفتن
359,Schritt::N,ചുവട്,قدم
360,Norden::N,വടക്ക്,شمال
361,Süden::N,തെക്ക്,جنوب
362,Westen::N,പടിഞ്ഞാറ്,غرب
363,Osten::N,കിഴക്ക്,شرق
364,Holz::N,തടി,چوب
365,Brett::N,ബോർഡ്,تخته
366,Platte::N,തകിട്,صفحه
367,Stütze::N,താങ്ങ്,تکیه
368,Stange::N,കമ്പ്,میله
369,Stock::N,വടി,چوب
370,Stab::N,കുറുവടി,عصا
371,Rohr::N,കുഴൽ,لوله
372,Haus::N,വീട്,منزل
373,Heim::N,വീട്,خانه
374,Heim::N,വീട്,کاشانه
375,Ofen::N,സ്റ്റൌ,بخاری
376,Fußboden::N,തറ,کف اتاق
377,Tisch::N,മേശ,میز
378,Stuhl::N,കസേര,صندلی
379,Wiege::N,തൊട്ടിൽ,گهواره
380,Bett::N,കിടക്ക,تختخواب
381,Regal::N,ഷെൽഫ്,قفسه
382,Kiste::N,പെട്ടി,صندوق
383,Fenster::N,ജനൽ,پنجره
384,Tür::N,വാതിൽ,در
385,Tür::N,വാതിൽ,درب
386,Tor::N,കവാടം,دروازه
387,Zaun::N,വേലി,حصار
388,Dach::N,മേൽക്കുര,بام
389,Leiter::N,ഏണി,نردبان
390,Besen::N,ചൂല്,جارو
391,Spaten::N,തൂമ്പ,بیل
392,Schaufel::N,തൂമ്പ,بیل
393,Schaufel::N,തൂമ്പ,پارو
394,Gabel::N,മുൾക്കത്തി,چنگال
395,Löffel::N,സ്പൂൺ,قاشق
396,Messer::N,കത്തി,کارد
397,Nagel::N,ആണി,میخ
398,Netz::N,വല,تور
399,Netz::N,വല,شبکه
400,Haken::N,കൊളുത്ത്,قلاب
401,Griff::N,കൈപ്പിടി,دسته
402,Schloss::N,പൂട്ട്,قفل
403,Bild::N,ചിത്രം,عکس
404,Bild::N,ചിത്രം,تصویر
405,Figur::N,കണക്ക്,تندیس
406,Puppe::N,പാവ,عروسک
407,Beutel::N,ബാഗ്,کیسه
408,Bündel::N,കെട്ട്,بسته
409,Tasche::N,ബാഗ്,کیف
410,Eimer::N,ബക്കറ്റ്,سطل
411,Deckel::N,ഉറ,در
412,Geschirr::N,പിഞ്ഞാണം,ظرف
413,Sack::N,ചാക്ക്,گونی
414,Tasse::N,കപ്പ്,فنجان
415,Topf::N,പാത്രം,دیگ
416,Topf::N,പാത്രം,قابلمه
417,Kessel::N,കെറ്റ്ല്,دیگ
418,Essen::N,ആഹാരസമയം,خوراک
419,Nahrung::N,ഭക്ഷണം,غذا
420,Speise::N,ഡിഷ്,خوراک
421,Fleisch::N,മാംസം,گوشت
422,Getreide::N,ചോളം,غله
423,Brei::N,കഞ്ഞി,فرنی
424,Brei::N,കഞ്ഞി,حریره
425,Brot::N,റോട്ടി,نان
426,Scheibe::N,തുണ്ട്,قاچ
427,Scheibe::N,തുണ്ട്,لزگه
428,Fett::N,കൊഴുപ്പ്,چربی
429,Butter::N,വെണ്ണ,کره
430,Öl::N,എണ്ണ,روغن
431,Salz::N,ഉപ്പ്,نمک
432,Suppe::N,സൂപ്പ്,آش
433,Suppe::N,സൂപ്പ്,سوپ
434,Honig::N,തേൻ,عسل
435,Milch::N,പാൽ,شیر
436,Tee::N,ചായ,چای
437,Leder::N,തുകൽ,چرم
438,Wolle::N,കമ്പിളി,پشم
439,Stoff::N,തുണി,پارچه
440,Nadel::N,സൂചി,سوزن
441,Faden::N,നൂല്,نخ
442,Knopf::N,ബട്ടൺ,دکمه
443,Knoten::N,കുരുക്ക്,گره
444,Farbe::N,പെയിൻറ്,رنگ
445,Kleidung::N,വസ്ത്രങ്ങൾ,لباس
446,Kleidung::N,വസ്ത്രങ്ങൾ,پوشاک
447,Hemd::N,ഷർട്ട്,پیراهن
448,Kragen::N,കുപ്പായക്കഴുത്ത്,یقه
449,Ärmel::N,കുപ്പായക്കൈ,آستین
450,Hose::N,ട്രൌസർ,شلوار
451,Gürtel::N,ബെൽറ്റ്,کمر‌بند
452,Mütze::N,തൊപ്പി,کلاه
453,Schuh::N,ഷൂ,کفش
454,Stiefel::N,ബൂട്ട്,چکمه
455,Ring::N,മോതിരം,حلقه
456,Ring::N,മോതിരം,انگشتر
457,Band::N,റിബൺ,نوار
458,Band::N,റിബൺ,روبان
459,Kamm::N,ചീപ്പ്,شانه
460,Spiegel::N,കണ്ണാടി,آینه
461,Riemen::N,സ്ട്രാപ്പ്,تسمه
462,Schnur::N,ചരട്,ریسمان
463,Leine::N,കെട്ടാനുള്ള തോൽവാർ,قلاده
464,Decke::N,പുതപ്പ്,پتو
465,Kissen::N,തലയിണ,بالش
466,Tuch::N,സ്കാർഫ്,شال
467,Handtuch::N,തോർത്ത്,حوله
468,Kraft::N,ശക്തി,نیرو
469,Stärke::N,ശക്തി,زور
470,Gesundheit::N,ആരോഗ്യം,سلامتی
471,Gesundheit::N,ആരോഗ്യം,تندرستی
472,Krankheit::N,അസുഖം,بیماری
473,Schmerz::N,വേദന,درد
474,Wunde::N,മുറിവ്,زخم
475,Fieber::N,പനി,تب
476,Arznei::N,മരുന്ന്,دارو
477,Brücke::N,പാലം,پل
478,Brunnen::N,കിണർ,چاه
479,Weide::N,മേച്ചൽ,چراگاه
480,Pfad::N,വഴി,راه
481,Weg::N,വഴി,راه
482,Weg::N,വഴി,طریق
483,Straße::N,റോഡ്,راه
484,Straße::N,റോഡ്,جاده
485,Dorf::N,ഗ്രാമം,ده
486,Dorf::N,ഗ്രാമം,روستا
487,Stadt::N,നഗരം,شهر
488,Brief::N,കത്ത്,نامه
489,Buch::N,പുസ്തകം,کتاب
490,Buchstabe::N,അക്ഷരം,حرف
491,Zeitung::N,വർത്തമാനപത്രം,روزنامه
492,Leben::N,ജീവൻ,عمر
493,Leben::N,ജീവൻ,زندگی
494,Tod::N,മരണം,مرگ
495,Grab::N,ശവക്കുഴി,گور
496,Grab::N,ശവക്കുഴി,مزار
497,Kirche::N,പള്ളി,کلیسا
498,Sünde::N,പാപം,بزه
499,Sünde::N,പാപം,گناه
500,Gott::N,ദൈവം,خدا
501,Arbeiter::N,ജോലിക്കാരൻ,کارگر
502,Chef::N,മേധാവി,رئیس
503,Meister::N,യജമാനൻ,استاد
504,Arzt::N,ഡോക്ടർ,پزشک
505,Lehrer::N,അധ്യാപകൻ,معلم
506,Lehrer::N,അധ്യാപകൻ,آموزگار
507,Geld::N,പണം,پول
508,Geschäft::N,ബിസിനസ്,کار
509,Geschäft::N,ബിസിനസ്,بیزنس
510,Laden::N,കട,دکان
511,Laden::N,കട,مغازه
512,Preis::N,വില,بها
513,Preis::N,വില,قیمت
514,Ware::N,ചരക്ക്,جنس
515,Ware::N,ചരക്ക്,کالا
516,Nutzen::N,ലാഭം,مزیت
517,Nutzen::N,ലാഭം,امتیاز
518,Reichtum::N,ധനം,مال
519,Reichtum::N,ധനം,ثروت
520,Welt::N,ലോകം,دنیا
521,Land::N,രാജ്യം,کشور
522,Land::N,രാജ്യം,مملکت
523,Staat::N,രാജ്യം,دولت
524,König::N,രാജാവ്,شاه
525,König::N,രാജാവ്,پادشاه
526,Macht::N,അധികാരം,قدرت
527,Macht::N,അധികാരം,اختیار
528,Grenze::N,അതിർത്തി,مرز
529,Krieg::N,യുദ്ധം,جنگ
530,Feind::N,ശത്രു,دشمن
531,Gewalt::N,അക്രമം,زور
532,Gewalt::N,അക്രമം,خشونت
533,Kampf::N,പോരാട്ടം,نبرد
534,Kampf::N,പോരാട്ടം,مبارزه
535,Bogen[Waffe]::N,വില്ല്,کمان
536,Pfeil::N,അമ്പ്,تیر
537,Gewehr::N,തോക്ക്,تفنگ
538,Fehler::N,പിശക്,غلط
539,Fehler::N,പിശക്,اشتباه
540,Lüge::N,കള്ളം,دروغ
541,Schaden::N,കേടുപാട്,آسیب
542,Schaden::N,കേടുപാട്,خسارت
543,Unglück::N,ദൌർഭാഗ്യം,بلا
544,Schuld::N,തെറ്റ്,گناه
545,Schuld::N,തെറ്റ്,تقصیر
546,Alter::N,വയസ്സ്,سن
547,Alter::N,വയസ്സ്,عمر
548,Schluss::N,നിഗമനം,انتها
549,Zeit::N,സമയം,وقت
550,Zeit::N,സമയം,زمان
551,Tag::N,ദിവസം,روز
552,Morgen::N,പ്രഭാതം,صبح
553,Mittag::N,ഉച്ച,ظهر
554,Abend::N,സായാഹ്നം,شب
555,Abend::N,സായാഹ്നം,عصر
556,Nacht::N,രാത്രി,شب
557,Woche::N,ആഴ്ച,هفته
558,Monat::N,മാസം,ماه
559,Jahr::N,വർഷം,سال
560,Frühling::N,വസന്തം,بهار
561,Sommer::N,വേനൽ,تابستان
562,Herbst::N,ശരത്കാലം,پاییز
563,Winter::N,ശൈത്യം,زمستان
564,Januar::N,ജനുവരി,ژانویه
565,Februar::N,ഫെബ്രുവരി,فوریه
566,März::N,മാർച്ച്,مارس
567,April::N,ഏപ്രിൾ മാസം,آوریل
568,Mai::N,മെയ് മാസം,مه
569,Juni::N,ജൂൺ,ژوئن
570,Juli::N,ജൂലൈ,ژویه
571,August::N,ആഗസ്റ്റ്,اوت
572,September::N,സെപ്തംബർ,سپتامبر
573,Oktober::N,ഒക്ടോബർ,اکتبر
574,November::N,നവംബർ,نوامبر
575,Dezember::N,ഡിസംബർ,دسامبر
576,Montag::N,തിങ്കളാഴ്ച,دو‌شنبه
577,Dienstag::N,ചൊവ്വ,سه‌شنبه
578,Mittwoch::N,ബുധനാഴ്ച,چهار‌شنبه
579,Donnerstag::N,വ്യാഴാഴ്ച,پنج شنبه
580,Freitag::N,വെള്ളിയാഴ്ച,جمعه
581,Samstag::N,ശനിയാഴ്ച,شنبه
582,Sonntag::N,ഞായറാഴ്ച,یکشنبه
583,groß::A,വലിയ,بزرگ
584,klein::A,ചെറിയ,کوچک
585,lang::A,നീണ്ട,بلند
586,kurz::A,ഹ്രസ്വമായ,کوتاه
587,breit::A,വിശാലമായ,پهن
588,schmal::A,ഇടുങ്ങിയ,تنگ
589,schmal::A,ഇടുങ്ങിയ,نازک
590,dicht::A,നിബിഡമായ,چگال
591,dicht::A,നിബിഡമായ,انبوه
592,dick[Gegenstand]::A,തടിച്ച,ضخیم
593,dünn::A,മെലിഞ്ഞ,نازک
594,fein::A,നേർത്ത,ریز
595,fein::A,നേർത്ത,باریک
596,fest::A,ഉറപ്പുള്ള,محکم
597,flach::A,പരന്ന,صاف
598,flach::A,പരന്ന,مسطح
599,glatt::A,മിനുസമുള്ള,لیز
600,hart::A,കട്ടിയുള്ള,سفت
601,weich::A,മൃദുവായ,نرم
602,weich::A,മൃദുവായ,ملایم
603,rund::A,വട്ടത്തിലുള്ള,گرد
604,spitz::A,മുനയുള്ള,تیز
605,spitz::A,മുനയുള്ള,نوک‌تیز
606,scharf::A,മൂർച്ചയുള്ള,تیز
607,scharf::A,മൂർച്ചയുള്ള,برنده
608,stumpf::A,തുറന്നടിക്കുന്ന,کند
609,schwer::A,ഭാരമുള്ള,سنگین
610,schön::A,മനോഹരമായ,زیبا
611,heiß::A,ചൂടുള്ള,داغ
612,warm::A,ചൂടുള്ള,گرم
613,kalt::A,തണുത്ത,سرد
614,kühl::A,തണുപ്പുള്ള,خنک
615,frisch::A,ശുദ്ധമായ,تازه
616,feucht::A,ഈറനുള്ള,مرطوب
617,nass::A,നനഞ്ഞ,تر
618,nass::A,നനഞ്ഞ,خیش
619,trocken::A,വരണ്ട,خشک
620,voll::A,നിറയെ,پر
621,leer::A,ഒഴിഞ്ഞ,خالی
622,offen::A,തുറന്ന,باز
623,geschlossen::A,അടച്ച,بسته
624,sauber::A,വൃത്തിയുള്ള,پاک
625,sauber::A,വൃത്തിയുള്ള,تمیز
626,schmutzig::A,അഴുക്കുനിറഞ്ഞ,کثیف
627,schmutzig::A,അഴുക്കുനിറഞ്ഞ,آلوده
628,roh::A,അസംസ്കൃതമായ,خام
629,reif::A,പഴുത്ത,رسیده
630,lecker::A,രുചികരമായ,لذیذ
631,lecker::A,രുചികരമായ,خوشمزه
632,süß::A,മധുരമുള്ള,شیرین
633,bitter::A,കടുത്ത,تلخ
634,sauer::A,പുളിപ്പുള്ള,ترش
635,hell::A,ജ്വലിക്കുന്ന,روشن
636,dunkel::A,ഇരുണ്ട,تاریک
